-0.00333327-0j -0.000555545-0j -0.000340201-0j -6.94431e-05-0j -4.09198e-06-0j -0.0029934-0j -0.000483057-0j -0.000394415-0j -5.69289e-05-0j -4.93018e-05-0j -5.81028e-06-0j -2.65202e-07-0j -0.00192013-0j -0.00194003-0j -0.000303599-0j -0.000306745-0j -0.000240016-0j -0.000160011-0j -0.000242503-0j -3.46433e-05-0j -0.000161669-0j -3.50023e-05-0j -4.00026e-05-0j -1.41431e-05-0j -4.04172e-05-0j -3.33355e-06-0j -1.42896e-05-0j -3.53577e-06-0j -3.3681e-06-0j -3.57241e-06-0j -2.94647e-07-0j -2.97701e-07-0j -1.09809e-08-0j -1.10947e-08-0j -0.00144239-0j -0.00178486-0j -0.00104117-0j -0.000224872-0j -0.000278265-0j -0.000162321-0j -0.000174185-0j -2.51414e-05-0j -0.000159008-0j -0.000215543-0j -0.000125733-0j -3.11109e-05-0j -0.000196763-0j -2.8109e-05-0j -1.8148e-05-0j -1.87393e-05-0j -0.000114778-0j -2.34241e-06-0j -1.62287e-05-0j -3.47831e-05-0j -2.31887e-05-0j -3.31267e-06-0j -2.02901e-05-0j -2.89859e-06-0j -2.0082e-05-0j -1.65634e-06-0j -1.35268e-05-0j -1.95201e-07-0j -1.69084e-06-0j -1.17145e-05-0j -4.09922e-06-0j -2.39072e-07-0j -2.04961e-06-0j -2.39121e-06-0j -2.41549e-07-0j -1.5432e-08-0j -1.19561e-06-0j -2.95836e-07-0j -1.40904e-07-0j -4.86063e-10-0j -1.90961e-08-0j -1.72571e-07-0j -1.11394e-08-0j -6.01472e-10-0j -3.50859e-10-0j 
0.000510301-0j -0.00402309-0j 5.20824e-05-0j -0.0010164-0j -0.000120411-0j 0.000458268-0j -0.00349815-0j 6.03822e-05-0j -0.000833238-0j -0.000357029-0j -0.000128008-0j -9.76495e-06-0j 0.000293958-0j 0.000297004-0j -0.00219857-0j -0.00222135-0j 3.67448e-05-0j 2.44965e-05-0j 3.71256e-05-0j -0.000507056-0j 2.47504e-05-0j -0.000512311-0j -0.000289687-0j 2.16521e-06-0j -0.000292689-0j -7.34424e-05-0j 2.18764e-06-0j -5.17512e-05-0j -7.42035e-05-0j -5.22875e-05-0j -8.67031e-06-0j -8.76016e-06-0j -4.85525e-07-0j -4.90557e-07-0j 0.00022082-0j 0.00027325-0j 0.000159396-0j -0.00162845-0j -0.00201511-0j -0.00117548-0j 2.66665e-05-0j -0.000367982-0j 2.43431e-05-0j 3.29981e-05-0j 1.92489e-05-0j -0.000455354-0j 3.0123e-05-0j -0.000203557-0j -0.000265623-0j -0.000135704-0j 1.75718e-05-0j -5.16063e-05-0j 2.48451e-06-0j -0.000251888-0j -0.000167926-0j -4.84859e-05-0j -0.000146935-0j -6.38596e-05-0j 3.07442e-06-0j -1.19947e-05-0j -9.79566e-05-0j -5.744e-06-0j -3.72514e-05-0j 1.79341e-06-0j -5.99982e-05-0j -5.26705e-06-0j -1.48427e-05-0j -3.4999e-05-0j -7.10784e-06-0j -5.68219e-07-0j -8.65822e-06-0j -6.51764e-06-0j -4.14624e-06-0j -2.50859e-08-0j -7.03136e-07-0j -3.80196e-06-0j -4.10163e-07-0j -3.10422e-08-0j -1.8108e-08-0j 
0.000385751-0j 6.42919e-05-0j -0.00761537-0j -0.000773222-0j 4.73554e-07-0j 0.000346418-0j 5.5903e-05-0j -0.00439165-0j 6.58823e-06-0j -0.00110362-0j -6.46951e-05-0j 3.06911e-08-0j 0.000222211-0j 0.000224514-0j 3.51347e-05-0j 3.54988e-05-0j -0.00267248-0j 1.85176e-05-0j -0.00270018-0j 4.00918e-06-0j 1.87095e-05-0j 4.05073e-06-0j -0.000445414-0j -0.000475706-0j -0.000450029-0j 3.85784e-07-0j -0.000480636-0j -7.91479e-05-0j 3.89782e-07-0j -7.99681e-05-0j -3.28078e-06-0j -3.31478e-06-0j 1.27079e-09-0j 1.28396e-09-0j -0.0584414-0j -0.0723175-0j -0.0421852-0j 2.60238e-05-0j 3.22029e-05-0j 1.8785e-05-0j -0.00193948-0j 2.90955e-06-0j 1.84016e-05-0j -0.00239998-0j -0.00139999-0j 3.60039e-06-0j 2.27709e-05-0j -0.000312982-0j 2.10023e-06-0j 2.16865e-06-0j 1.3283e-05-0j 2.71082e-07-0j -0.000363279-0j -0.000387296-0j 2.68357e-06-0j -3.68853e-05-0j -0.000225923-0j 3.35447e-07-0j -0.000449535-0j -5.57113e-05-0j 1.56542e-06-0j 2.25901e-08-0j 1.95677e-07-0j -0.000262229-0j -4.56432e-05-0j -5.3516e-06-0j -6.89393e-05-0j -2.66252e-05-0j 2.79539e-08-0j -1.71829e-07-0j -4.02146e-05-0j -6.62227e-06-0j 1.63064e-08-0j 5.62508e-11-0j -2.12628e-07-0j -3.86299e-06-0j -1.24033e-07-0j 6.96068e-11-0j 4.0604e-11-0j 
-5.56784e-05-0j 0.000887189-0j -5.68265e-06-0j -0.00518976-0j -0.00188734-0j -5.00012e-05-0j 0.000771428-0j -6.58823e-06-0j -0.00425452-0j 7.87336e-05-0j -0.00133061-0j -0.000204575-0j -3.20735e-05-0j -3.24058e-05-0j 0.000484838-0j 0.000489863-0j -4.00918e-06-0j -2.67279e-06-0j -4.05073e-06-0j -0.00258903-0j -2.70049e-06-0j -0.00261586-0j 6.38831e-05-0j -2.36243e-07-0j 6.45451e-05-0j -0.000763415-0j -2.38692e-07-0j -0.000264242-0j -0.000771326-0j -0.00026698-0j -0.0001359-0j -0.000137308-0j -1.27323e-05-0j -1.28643e-05-0j 0.00843529-0j 0.0104381-0j 0.00608891-0j 0.000359114-0j 0.00044438-0j 0.000259222-0j -2.90955e-06-0j -0.00187892-0j -2.65605e-06-0j -3.60039e-06-0j -2.10023e-06-0j -0.00232504-0j -3.28669e-06-0j 4.48892e-05-0j -0.00135627-0j 2.99261e-05-0j -1.91724e-06-0j -0.000536435-0j -2.71082e-07-0j 5.55476e-05-0j 3.70317e-05-0j -0.000247569-0j 3.24027e-05-0j -0.000663804-0j -3.35447e-07-0j 2.64512e-06-0j 2.16018e-05-0j -9.00325e-05-0j -0.000387219-0j -1.95677e-07-0j -0.000306351-0j -5.47497e-05-0j 3.27317e-06-0j -0.000178705-0j -0.00011141-0j -1.19042e-05-0j 1.90935e-06-0j -6.77493e-05-0j -6.49889e-05-0j -7.90123e-07-0j -1.47306e-05-0j -3.95204e-05-0j -8.59288e-06-0j -9.77727e-07-0j -5.70341e-07-0j 
0.000340201-0j -0.00826348-0j 3.47216e-05-0j 7.08751e-06-0j 4.17636e-07-0j 0.000305512-0j 4.93018e-05-0j -0.00586673-0j -0.00084679-0j 5.03185e-06-0j 5.93009e-07-0j 2.7067e-08-0j -0.0584124-0j -0.0590177-0j 3.09859e-05-0j 3.1307e-05-0j 2.44965e-05-0j -0.0047765-0j 2.47504e-05-0j 3.53577e-06-0j -0.004826-0j 3.57241e-06-0j -0.000595021-0j 1.44347e-06-0j -0.000601187-0j -4.95851e-05-0j 1.45843e-06-0j 3.60868e-07-0j -5.00989e-05-0j 3.64607e-07-0j 3.00723e-08-0j 3.0384e-08-0j 1.12073e-09-0j 1.13234e-09-0j 0.000147213-0j 0.000182167-0j 0.000106264-0j -0.00684084-0j -0.00846511-0j -0.00493798-0j 1.77777e-05-0j 2.56599e-06-0j -0.00236518-0j 2.19987e-05-0j 1.28326e-05-0j 3.17525e-06-0j -0.00292675-0j 2.86886e-06-0j 1.85223e-06-0j -0.00055939-0j -0.00170727-0j 2.39072e-07-0j -0.000241395-0j 3.55003e-06-0j -0.000692209-0j -4.92745e-05-0j 2.07085e-06-0j 2.95836e-07-0j -0.000298711-0j 1.69049e-07-0j -0.000403789-0j -2.90353e-06-0j 1.72571e-07-0j -0.000174248-0j -6.09741e-05-0j 2.44001e-08-0j 2.09188e-07-0j -3.55682e-05-0j -3.59293e-06-0j 1.57502e-09-0j 1.22026e-07-0j 3.01936e-08-0j -2.09588e-06-0j 4.96086e-11-0j 1.94899e-09-0j 1.7613e-08-0j 1.13691e-09-0j 6.13875e-11-0j 3.58093e-11-0j 
-0.063221-0j 5.37904e-05-0j 3.29398e-05-0j 6.7238e-06-0j 3.96204e-07-0j -0.0714904-0j -0.00916198-0j 3.8189e-05-0j 5.51211e-06-0j 4.77363e-06-0j 5.62578e-07-0j 2.5678e-08-0j 0.000185915-0j 0.000187842-0j -0.00725076-0j -0.0073259-0j -0.00455229-0j 1.5493e-05-0j -0.00459947-0j -0.000657067-0j 1.56535e-05-0j -0.000663876-0j 3.87324e-06-0j 1.3694e-06-0j 3.91338e-06-0j 3.2277e-07-0j 1.38359e-06-0j 3.42349e-07-0j 3.26115e-07-0j 3.45897e-07-0j 2.85291e-08-0j 2.88247e-08-0j 1.06322e-09-0j 1.07423e-09-0j 0.000139659-0j 0.000172819-0j 0.000100811-0j 2.17731e-05-0j 2.69429e-05-0j 1.57167e-05-0j -0.00416001-0j -0.000600445-0j -0.00301585-0j -0.00514775-0j -0.00300285-0j -0.000743013-0j -0.00373193-0j -0.000533133-0j -0.000433424-0j 1.81443e-06-0j -0.00217696-0j -4.44277e-05-0j 1.57134e-06-0j -0.000659718-0j 2.24524e-06-0j 3.20748e-07-0j -0.000384836-0j -5.49765e-05-0j 1.94443e-06-0j 1.60374e-07-0j 1.30972e-06-0j 1.89003e-08-0j -3.20696e-05-0j 1.13425e-06-0j 3.96906e-07-0j 2.3148e-08-0j 1.98453e-07-0j 2.31528e-07-0j 2.33879e-08-0j 1.4942e-09-0j 1.15764e-07-0j 2.86442e-08-0j 1.36429e-08-0j 4.70628e-11-0j 1.84898e-09-0j 1.67091e-08-0j 1.07857e-09-0j 5.82373e-11-0j 3.39717e-11-0j 
-6.01395e-05-0j 0.000474125-0j 0.00118725-0j -0.0115249-0j 1.41905e-05-0j -5.40075e-05-0j 0.000412261-0j 0.000684669-0j 9.8198e-05-0j -0.00813872-0j -0.00145147-0j 1.15081e-06-0j 0.0103259-0j 0.0104329-0j 0.000259104-0j 0.000261789-0j 0.000416646-0j -2.88694e-06-0j 0.000420964-0j 5.97571e-05-0j -2.91686e-06-0j 6.03764e-05-0j -0.00328474-0j 7.41637e-05-0j -0.00331878-0j 8.65527e-06-0j 7.49323e-05-0j -0.0011797-0j 8.74496e-06-0j -0.00119193-0j -9.8312e-05-0j -9.93308e-05-0j 5.72197e-08-0j 5.78127e-08-0j -2.60238e-05-0j -3.22029e-05-0j -1.8785e-05-0j -0.057203-0j -0.0707852-0j -0.0412913-0j 0.00030237-0j 4.33671e-05-0j -2.86886e-06-0j 0.000374163-0j 0.000218262-0j 5.3664e-05-0j -3.55003e-06-0j -0.00230811-0j 3.1304e-05-0j 1.59929e-05-0j -2.07085e-06-0j 6.08187e-06-0j 5.6636e-05-0j -0.00285614-0j 1.97902e-05-0j -0.000549778-0j -0.00166608-0j 7.52593e-06-0j 7.00835e-05-0j -0.000410848-0j 1.15443e-05-0j 6.76937e-07-0j 4.39012e-06-0j 4.08821e-05-0j -0.000680315-0j -0.000120066-0j -0.000508398-0j -0.000396851-0j 8.37667e-07-0j -6.443e-06-0j -0.000296566-0j -0.000148574-0j 4.88639e-07-0j 2.9564e-09-0j -7.9728e-06-0j -8.66683e-05-0j -4.6508e-06-0j 3.65836e-09-0j 2.13404e-09-0j 
5.01163e-06-0j -0.000120202-0j 5.11497e-07-0j 0.00143145-0j -0.0161272-0j 4.50062e-06-0j -0.000104518-0j 5.93009e-07-0j 0.00117349-0j -1.06673e-05-0j -0.0055439-0j -0.00264063-0j -0.000860495-0j -0.000869412-0j -6.56889e-05-0j -6.63696e-05-0j 3.60868e-07-0j 2.40578e-07-0j 3.64607e-07-0j 0.00071411-0j 2.43072e-07-0j 0.00072151-0j -8.65527e-06-0j 2.12643e-08-0j -8.74496e-06-0j -0.00318073-0j 2.14847e-08-0j 7.28835e-05-0j -0.00321369-0j 7.36388e-05-0j -0.00116125-0j -0.00117329-0j -0.00021982-0j -0.000222098-0j 2.16865e-06-0j 2.68357e-06-0j 1.56542e-06-0j 0.0145023-0j 0.0179457-0j 0.0104683-0j 2.6189e-07-0j 0.000518245-0j 2.39072e-07-0j 3.24072e-07-0j 1.89042e-07-0j 0.000641296-0j 2.95836e-07-0j -6.08187e-06-0j 0.000374089-0j -4.05458e-06-0j 1.72571e-07-0j -0.00223503-0j 2.44001e-08-0j -7.52593e-06-0j -5.01728e-06-0j 6.82848e-05-0j -4.39012e-06-0j -0.0027657-0j 3.01936e-08-0j -3.58377e-07-0j -2.92675e-06-0j -0.00076932-0j -0.00161333-0j 1.7613e-08-0j 8.44982e-05-0j -0.000228111-0j -4.43469e-07-0j 4.92906e-05-0j -0.000951985-0j -0.000153657-0j -2.58691e-07-0j -0.000282273-0j -0.000555325-0j -1.70813e-05-0j -0.000190141-0j -0.000164659-0j -0.000110916-0j -2.1137e-05-0j -1.23299e-05-0j 
-5.37904e-05-0j -0.0618041-0j -5.48996e-06-0j 0.000107138-0j 1.26924e-05-0j 0.0119151-0j 0.000368738-0j 0.000927612-0j -0.0128005-0j 3.76341e-05-0j 1.34932e-05-0j 1.02932e-06-0j -3.09859e-05-0j -3.1307e-05-0j -0.0571632-0j -0.0577556-0j -3.87324e-06-0j 0.00075523-0j -3.91338e-06-0j 5.34484e-05-0j 0.000763057-0j 5.40023e-05-0j -0.00445027-0j -2.28233e-07-0j -0.00449639-0j -0.00112825-0j -2.30598e-07-0j 5.45505e-06-0j -0.00113994-0j 5.51158e-06-0j 9.13931e-07-0j 9.23402e-07-0j 5.11789e-08-0j 5.17092e-08-0j -2.32764e-05-0j -2.88031e-05-0j -1.68018e-05-0j 0.000171654-0j 0.000212411-0j 0.000123906-0j 0.000693334-0j -0.0095676-0j 0.000373967-0j 0.000857958-0j 0.000500475-0j -0.0118393-0j 0.000462761-0j 2.14567e-05-0j -0.00690626-0j -0.00418378-0j 0.000269944-0j 5.43979e-06-0j 3.81678e-05-0j 2.65514e-05-0j -0.00517716-0j -0.000744857-0j 1.54883e-05-0j 6.73139e-06-0j 4.72303e-05-0j 1.26435e-06-0j -0.00302001-0j -8.82414e-05-0j 3.92665e-06-0j 2.7551e-05-0j -0.000921714-0j 5.55196e-07-0j 1.56455e-06-0j -0.000537666-0j -0.000109193-0j 5.98956e-08-0j 9.12657e-07-0j 6.8702e-07-0j -6.3696e-05-0j 2.64428e-09-0j 7.4117e-08-0j 4.00762e-07-0j 4.32349e-08-0j 3.27214e-09-0j 1.90875e-09-0j 
0.014465-0j 0.000290341-0j -3.75872e-06-0j 7.33526e-05-0j 8.68989e-06-0j -3.30727e-05-0j -0.0991585-0j -4.35771e-06-0j 6.01338e-05-0j 2.57663e-05-0j 9.23816e-06-0j 7.04724e-07-0j -2.12146e-05-0j -2.14345e-05-0j 0.000158668-0j 0.000160312-0j 0.00104157-0j -1.76788e-06-0j 0.00105236-0j -0.014373-0j -1.7862e-06-0j -0.0145219-0j 2.09063e-05-0j -1.5626e-07-0j 2.1123e-05-0j 5.30025e-06-0j -1.5788e-07-0j 3.73482e-06-0j 5.35518e-06-0j 3.77352e-06-0j 6.25725e-07-0j 6.3221e-07-0j 3.50398e-08-0j 3.54029e-08-0j -1.59363e-05-0j -1.97201e-05-0j -1.15034e-05-0j 0.000117523-0j 0.000145428-0j 8.48329e-05-0j -1.92449e-06-0j 2.65568e-05-0j 0.000690028-0j -2.38143e-06-0j -1.38917e-06-0j 3.28624e-05-0j 0.000853866-0j -0.00577001-0j 1.91697e-05-0j 9.79362e-06-0j 0.000498089-0j -0.00146283-0j -1.79304e-07-0j -0.00714002-0j 1.2119e-05-0j 3.49917e-06-0j -0.00416501-0j -0.00181016-0j -2.21877e-07-0j 8.65642e-07-0j 7.06941e-06-0j 4.14537e-07-0j -0.00105593-0j -1.29428e-07-0j 4.33e-06-0j 3.80117e-07-0j 1.07118e-06-0j 2.52583e-06-0j 5.12964e-07-0j 4.10077e-08-0j 6.24853e-07-0j 4.7037e-07-0j 2.99229e-07-0j 1.81042e-09-0j 5.07445e-08-0j 2.74383e-07-0j 2.96009e-08-0j 2.24028e-09-0j 1.30683e-09-0j 
-3.29398e-05-0j -5.48996e-06-0j -0.0622398-0j 0.000132739-0j -4.04374e-08-0j 0.00729646-0j -4.77363e-06-0j 0.000753915-0j -5.62578e-07-0j -0.00901978-0j 1.11062e-05-0j -2.62075e-09-0j -1.89749e-05-0j -1.91716e-05-0j 0.000740027-0j 0.000747696-0j 0.000458785-0j -1.58124e-06-0j 0.000463539-0j -3.42349e-07-0j -1.59763e-06-0j -3.45897e-07-0j 7.64642e-05-0j -0.00784368-0j 7.72566e-05-0j -3.29426e-08-0j -0.00792496-0j -0.000646869-0j -3.3284e-08-0j -0.000653573-0j 5.63212e-07-0j 5.69048e-07-0j -1.08514e-10-0j -1.09639e-10-0j -1.42538e-05-0j -1.76382e-05-0j -1.0289e-05-0j -2.22221e-06-0j -2.74984e-06-0j -1.60408e-06-0j -0.0821254-0j 6.12827e-05-0j -1.57134e-06-0j -0.101625-0j -0.0592813-0j 7.58335e-05-0j -1.94443e-06-0j 5.37297e-05-0j 4.42362e-05-0j -1.85184e-07-0j -1.13425e-06-0j -2.3148e-08-0j -0.00296905-0j 6.64871e-05-0j -2.29154e-07-0j 6.3321e-06-0j 3.87841e-05-0j -2.86442e-08-0j -0.00367401-0j -0.000918596-0j -1.33673e-07-0j -1.929e-09-0j -1.67091e-08-0j -0.00214317-0j 7.83558e-06-0j -4.37382e-05-0j -0.0011367-0j 4.57075e-06-0j -2.38702e-09-0j 2.94979e-08-0j -0.000663078-0j -5.41233e-05-0j -1.39243e-09-0j -4.80333e-12-0j 3.65018e-08-0j -3.15719e-05-0j 2.12927e-08-0j -5.94381e-12-0j -3.46723e-12-0j 
