-0.131066+0.142641j -0.147908-0.144408j -0.141125+0.179992j 0.187139+0.0568193j 0.0923991-0.0637281j 0.0620521+0.170897j 0.0143147-0.252556j -0.200209-0.0406304j 0.0360874+0.145877j 0.0340913+0.0789713j -0.0501805+0.0736164j -0.141918+0.0448186j -0.0729201+0.0568411j 0.064865-0.125913j -0.0636084-0.0396581j -0.120378-0.093895j 0.178815-0.0250016j -0.21961+0.0980193j -0.0569061+0.0907674j -0.0248881-0.0154816j -0.0944349+0.00637665j -0.0726223-0.0519419j 0.105986+0.165179j 0.00646872+0.00075163j -0.0258578-0.156816j 0.149418+0.0204173j 0.12317+0.0714643j -0.0345554+0.125579j 0.0531705+0.165734j -0.0933094+0.0241587j 0.206731+0.102086j -0.0928556+0.21089j -0.211523+0.127832j 0.128599+0.191544j 0.0255518+0.074482j -0.0563426+0.0315024j -0.0597186-0.000766493j -0.026376+0.0844468j 0.0462625-0.0388601j -0.0281221-0.0243649j -0.0164583-0.0144722j 0.0226539+0.0187826j -0.0369322-0.022014j 0.050702-0.00358244j 0.022798+0.020725j 0.0166408-0.00910737j -0.00308626+0.03438j 0.0178051+0.0536256j -0.00705429-0.000646019j 0.0129365-0.0192315j -0.0454408-0.0063341j -0.0171269+0.046594j -0.0303639-0.0119221j 0.0252997-0.0101185j 0.0049404+0.0215582j 0.00237661-0.00427848j 0.0122805-0.0204041j -0.0219538+0.022083j 0.0103964+0.0384173j 0.00439918+0.0147692j -0.0160019-0.00761885j 0.0373722-0.0163222j 0.00369192-0.0177921j 0.00197007+0.0171177j -0.0118776-0.0168156j -0.0061196+0.0297486j -0.0373526+0.00144636j -0.00837578+0.00050996j -0.0312737+0.00659219j -0.00725381-0.0326453j -0.0769516+0.0125854j 0.0113698+0.0761204j 
0.0480772+0.127759j -0.127126+0.041918j -0.203663-0.157283j -0.13561+0.180442j 0.0847658-0.0440074j -0.0990192-0.0322655j -0.127005+0.187517j 0.139641-0.0207186j 0.171699+0.206518j 0.108209+0.0596631j -0.190423-0.0227832j 0.102355-0.0522829j 0.0707501-0.0315902j -0.0676606-0.140946j 0.0470448+0.0706107j 0.116303+0.0344926j -0.012466-0.183213j -0.0711566+0.0637202j -0.097893+0.0432602j 0.0337011-0.201395j 0.0141803+0.00740824j 0.0367951+0.0728465j 0.0906984-0.151781j 0.0369545-0.0197109j -0.144924+0.0669883j -0.0153207+0.242588j -0.233577+0.00947876j -0.076048-0.0466035j -0.216389+0.173743j -0.193416-0.23907j 0.210162-0.0963275j 0.0638841+0.148263j 0.0554312+0.00819562j -0.026515-0.0612462j -0.00833383-0.0644065j 0.0846665-0.0628744j -0.0444545-0.0730884j -0.0696371+0.00693941j -0.0383602-0.0168983j -0.0106388-0.0352169j 0.0262546-0.00738933j 0.0535412+0.0269869j 0.014635+0.0233904j -0.00597065-0.0401604j 0.00927745+0.0169223j 0.0257665-0.0306474j -0.0150326+0.00100697j 0.00964466+0.0225612j -0.0173977+0.0113884j 0.00325113+0.0421993j -0.0256042+0.0232615j -0.00478279-0.0152353j -0.011285-0.0101735j 0.0238831-0.00667598j 0.00324904+0.00629536j 0.00536123-0.0204547j 0.000879817-0.000566913j 0.0127766-0.00643259j 0.0218424+0.0156296j 0.0231233-0.00595304j 0.0126488-0.0136683j 0.000884456+0.0050353j -0.0183658-0.0242002j -0.00647532+0.00702743j 0.00912557-0.0193953j -0.000567875-0.013368j 0.00972173+0.0115998j -0.0241223+0.00907517j -0.0169788-0.0352743j 0.0334833-0.0162555j -0.0165346+0.0309843j 0.0304157+0.0159872j 
-0.0280147+0.0717782j -0.0749317-0.030421j 0.00666973+0.0951227j 0.0744358+0.0224423j -0.0736333+0.055269j 0.0309966-0.0506621j -0.0187165+0.0802511j 0.0769044+0.0490707j -0.00855501-0.0391955j -0.0174141+0.00404186j 0.026574-0.00611422j 0.0385547-0.00754328j 0.00361506+0.011532j -0.0355557+0.0203026j 0.00413314-0.00695046j 0.0404251+0.00998613j -0.018021+0.0434633j 0.0448363-0.0323464j -0.00985456-0.03116j 0.0147912+0.00352278j -0.000481653-0.0104384j 0.00144472+0.0080054j -0.0627525-0.0475635j 0.0120148+0.00258581j 0.0305327+0.0361187j -0.030731-0.0158149j -0.057964-0.013983j 0.00666162-0.0545823j 0.0113401-0.0482451j 0.0790096+0.0123921j -0.0663243+0.0449467j -0.0494347-0.0222077j 0.0987875-0.138095j -0.101576-0.147856j 0.0913101+0.00353019j 0.0331368+0.0296827j -0.14494+0.0481304j 0.0543637+0.0722528j 0.0864112-0.0640899j 0.0349169-0.00272366j 0.0702672+0.00488541j -0.00842068+0.0403053j -0.00839558-0.0581613j 0.0425947+0.0935616j 0.00745559+0.0131378j -0.0328686-0.0768411j 0.00923905-0.017995j 0.0215038+0.0805642j -0.0303855-0.0465716j 0.0609258-0.0115509j -0.0466723-0.031635j 0.0175407-0.00265864j -0.0104678+0.00688262j 0.00319028-0.0268486j -0.0240808+0.0397188j 0.0388944+0.0226408j 0.129671-0.0469772j 0.00356434+0.0590364j 0.0173979+0.0184545j 0.019605+0.0116117j -0.054479-0.0181465j -0.0107863-0.0426541j -0.043676-0.0592807j 0.0155593-0.0718461j 0.0537463-0.0832463j -0.00534072-0.043063j -0.022763+0.0454363j -0.0567341+0.00351964j -0.137052+0.0966677j -0.0978923-0.143278j -0.154219+0.0266783j 0.0243169+0.156516j 
0.0747422+0.0735534j -0.073351+0.0715321j 0.00251096+0.0156908j -0.00448844-0.0271329j -0.0689646-0.0525573j -0.0756845+0.0713407j 0.0125419+0.0279227j -0.0650789-0.025085j 0.0286729-0.0164761j -0.025022-0.00792642j 0.0152339-0.0561427j -0.0328577-0.0318j -0.00117613-0.0139414j 0.0408334-0.00103324j 0.0309578-0.0361394j -0.0156816+0.00721429j 0.0166898+0.0340076j 0.041341-0.0243655j -0.00707856-0.00671526j -0.00214037+0.0123154j 0.0205279-0.00499931j 0.0164435-0.0197612j -0.0206476+0.0338789j -0.0252434-0.0298043j 0.0247707+0.0252433j -0.0385599-0.00923237j 0.0140392-0.00443355j -0.0446214-0.00351562j 0.0104269-0.0758919j 0.0693554+0.00429001j 0.0157774+0.000210703j -0.0224531+0.0267941j 0.045217-0.0549729j -0.0195499-0.00507335j -0.00779627+0.19825j -0.156339+0.10749j 0.154165+0.0242526j -0.091926-0.120038j 0.0851561+0.0827344j -0.0173306-0.0653354j 0.0677093-0.0362996j 0.0826451-0.0504459j -0.0155815+0.0861748j -0.0167267-0.113302j 0.012865+0.105033j -0.0212894-0.035094j 0.11772-0.0298879j 0.0309793+0.0621414j -0.0114466-0.0110629j 0.0371109+0.0351387j -0.0433656+0.00788599j 0.0219849-0.0333508j 0.0748893+0.0377654j 0.113957-0.0417117j 0.0864541+0.0273117j 0.0751916-0.0242901j -0.0652273-0.044098j 0.0273554-0.033558j 0.0843078-0.0514041j 0.0603335-0.00509382j -0.0202666+0.0409265j 0.079165+0.0371313j -0.0250561-0.178721j -0.0229578+0.0771851j 0.146516+0.0431268j -0.0576631-0.0607585j 0.0148209-0.133806j 0.0798181-0.0188954j -0.115225-0.105816j 0.125666-0.111654j -0.0068147+0.158052j 0.15439+0.00497784j 
-0.0874414+0.0441138j -0.044451-0.0864594j 0.101974-0.0362857j -0.0378464-0.0918582j 0.0262225+0.036199j 0.0101627+0.0487888j 0.0491915+0.0185989j -0.0268164+0.0090675j 0.0910473-0.0226702j -0.0199559-0.0924043j -0.0233589-0.016937j 0.0134946-0.0622731j -0.0369608-0.0033654j 0.0147323-0.048529j 0.0307231-0.00872556j 0.0130693-0.0103114j -0.0244142+0.00617163j 0.00589624+0.0315994j -0.0222536+0.0186163j 0.00795866-0.0487761j 0.0609075-0.00240035j -0.0324875-0.0120607j -0.0104423-0.0149903j 0.0302762+0.0137717j -0.0122476+0.0364723j -0.0236341-0.0257145j -0.0494733-0.0467511j 0.061125-0.062149j 0.0720216+0.0727758j -0.0900126+0.0346351j 0.0113723-0.105j 0.0901386+0.0241619j -0.0648147-0.0901198j -0.0932926+0.0745765j 0.060271-0.0164308j -0.0262392+0.130804j 0.116906+0.00170118j 0.0116955-0.0587234j 0.189206+0.0806276j 0.136045-0.245147j -0.0284624+0.083389j 0.102017-0.0602297j -0.109869+0.012811j -0.0906026+0.0552216j -0.100575-0.0497924j 0.139233+0.121122j 0.0112183-0.0144548j 0.016464+0.0399716j -0.112795-0.102829j 0.0404432-0.0272396j 0.0770449+0.036916j 0.0653198+0.0664792j 0.059799+0.0495621j -0.029341+0.0675924j 0.0948579+0.0108135j 0.123681+0.0642389j -0.00151323+0.0108791j -0.100441+0.111636j -0.100881-0.179332j -0.0691589+0.0526061j -0.0904367+0.118128j -0.131752+0.124253j -0.0300366-0.127014j -0.170927-0.139812j 0.0948561-0.172933j -0.0226994+0.21437j -0.278948+0.0391894j -0.103385-0.172599j 0.112531-0.111874j 0.0963929+0.0943008j -0.0544228+0.0113634j 0.0112708+0.054965j 
-0.0833379+0.00280151j -0.00618375-0.0866937j 0.00271146+0.0554227j 0.0533012+0.0186533j 0.0111405+0.0674848j 0.0794059-0.0510472j -0.0108692+0.000131387j 0.053196+0.0422422j -0.0184906-0.0123285j 0.00668992-0.00577733j -0.0065682+0.0444088j 0.0343147+0.0266332j -0.00388181+0.0151639j -0.0413382-0.0125567j -0.016093+0.0109769j 0.0173406-0.00770916j -0.0145399+0.00486846j -0.0124036+0.00522965j -0.0041762-0.00298593j 0.00635917-0.0132288j -0.0161295+0.00277565j -0.0294029+0.0112538j -0.0166733-0.0346997j 0.0228155+0.0230456j 0.000705527-0.00406842j 0.0161062-0.0117965j -0.0323406-0.00670168j 0.0334656-0.0242797j 0.0211211+0.049073j -0.025276+0.00402243j -0.0372727+0.0188903j -0.0121275-0.0115735j -0.0121598-0.0344888j -0.0357697-0.0666005j 0.105086-0.122286j 0.116848-0.0291903j -0.197773-0.00245694j 0.0628491+0.118507j 0.0333475-0.0844742j 0.0714552-0.00157977j 0.0106052-0.022415j -0.0643821+0.0662681j 0.00442806-0.147176j 0.0262661+0.171688j -0.059995-0.0607464j 0.0118151-0.0228551j -0.0827099+0.00673222j -0.0273606+0.0370229j -0.0224598-0.0529716j 0.0382386-0.0346567j -0.0216719-0.0377926j -0.00124016+0.0427743j -0.0754289-0.024079j -0.0980713+0.0268384j -0.075254-0.00274898j -0.00878353+0.0490762j 0.147272+0.0332008j -0.0370329+0.0740442j -0.0596121+0.0234977j -0.0477464+0.0449203j -0.0318097-0.0193823j -0.086977-0.0379954j -0.022353+0.0697608j -0.0166539-0.111536j -0.0669935-0.0920766j 0.0504394+0.0491989j -0.0276572+0.127126j -0.0588207+0.0208295j 0.0208894+0.127361j -0.141831+0.0208738j -0.110242-0.060787j -0.0622256+0.105863j 
-0.013125+0.115183j -0.115924-0.0209632j -0.0569937+0.101271j 0.0803295+0.0510601j -0.0845009-0.00167992j -0.00204032+0.00824629j -0.0292306+0.047866j 0.00834628+0.038173j 0.00761404-0.00119687j -0.0209847+0.0180767j 0.0149295-0.0143143j 0.0141744-0.0139569j -0.00444133+0.00587031j -0.0146132-0.00674435j 0.00295197-0.0275598j 0.018919+0.00407849j 0.0213192+0.040138j 0.0129075-0.0242469j -0.0231175-0.0146893j 0.00597224-0.00052834j -0.00544503-0.00843503j 0.00452542+0.0028731j -0.0353528-0.00678848j -0.00317148-0.00988564j 0.0274034+0.0189791j -0.0182995+0.0011511j -0.0357253-0.00463148j -0.0266201-0.0272931j 0.00383326-0.0334836j 0.0859403+0.00450559j -0.0186+0.0463253j -0.0679202+0.0176841j 0.0867072-0.11129j -0.0411072-0.125082j 0.0627332+0.149689j -0.0465334+0.0512805j -0.113368+0.0180243j -0.0404209+0.0151795j 0.113666-0.0402886j 0.0285372-0.0236521j 0.122136-0.00159916j 0.0468707+0.0667658j -0.016132-0.0287633j 0.0616454+0.0241537j 0.0204956+0.0768886j -0.029212-0.123285j 0.0780573-0.0173484j 0.0113818+0.139543j -0.0224216-0.039237j 0.0712173+0.000869014j -0.0885743-0.0188175j 0.0322364-0.00666247j 0.0187706+0.02083j 0.0581102-0.0537599j 0.00837729+0.0747231j 0.0709674-0.015309j 0.0954117-0.0860368j 0.040174+0.0339608j 0.0823194+0.0142424j 0.0620997+0.00679274j -0.0865413+0.00279062j 0.0581911-0.058129j -0.0716784-0.137009j 0.00474875-0.0143911j 0.0783104-0.0730207j -0.0738957-0.0586228j 0.00177972-0.0117965j -0.0174882+0.0507382j -0.155685+0.0765197j -0.071478-0.159349j -0.121861+0.103447j 0.105072+0.117454j 
0.00504138-0.00154306j -0.00128824+0.00271275j 0.00652498+4.47823e-05j -0.00485576-0.0116299j 0.00405278-0.000438169j 0.016072+0.010275j 0.00268449-0.00821388j -0.0110967-0.00977275j 0.00878449+0.00114235j 0.00917979-0.00455409j 0.00175241+0.0148419j -0.00152321+0.0109233j -0.00478685+0.0112816j 0.00638749+0.00389115j 0.0158309-0.00209179j -0.00579842-6.22547e-05j -0.000333977+0.00896978j -0.0100596+0.00633691j -0.00899725-0.00276023j -0.00711694-0.0034525j -0.00598608+0.00363019j -0.00456196+0.00718059j -0.0146103+0.000568167j -0.00649801+0.00861089j 0.0040375-0.00291915j -0.00478062-0.00100726j -0.00140939+0.0115747j 0.0051513-0.0202654j 0.00347354+0.01524j -0.0130407-0.0141832j -0.00330404+0.00334854j -0.0116645+0.00219339j -0.00932266-0.0204623j -0.0181833-5.72313e-05j 0.0458749+0.00360896j 0.00609686+0.0336828j -0.00479978-0.0185852j -0.0140474+0.0239211j -0.014659+0.00253212j 0.0373212-0.00718663j -0.0142219+0.0318166j 0.027968+0.0311521j -0.0174566+0.00837866j 0.0122723-0.0398102j 0.0290331-0.0101237j 0.0516111-0.00585453j 0.0236208+0.0142983j -0.0146227-0.00826255j -0.00470177-0.0263761j -0.0220128-0.0188901j 0.0460001+0.0298534j 0.0228725+0.001989j 0.00139051+0.0292311j 0.00155257+0.0438229j -0.0045925+0.0144353j 0.0254697-0.00383602j -0.00784878+0.00960397j -0.00479576+0.0113094j 0.0068053-0.0154666j 0.0138927+0.0181981j -0.0378152+0.0446091j -0.0209891+0.00425836j 0.0273967+0.0150801j 0.00276678-0.0445359j -0.0132478+0.00982945j 0.0162752+0.0119494j 0.00396243+0.0218899j -0.0255064+0.0163983j -0.039181-0.0101484j -0.00432637-0.0380931j 0.00415649+0.00264692j 0.00164709-0.00282398j 
-0.00550587+0.0146622j -0.0124071-0.00496551j -0.012463+0.0215001j 0.0251384+0.0111721j 0.00405703+0.0189561j 0.0119452+0.0160523j 0.00720666+0.00276163j 0.00986953+0.0344218j -0.0178881+0.0248974j -0.0172031+0.0109934j -0.0140268+0.01906j 0.0187324-0.0147159j -0.0165492+0.000900093j -0.0305577+0.00914629j -0.0127164-0.00822415j -0.00239739-0.0045532j 0.0317492+0.0113369j -0.0200316-0.0193767j -0.0143561+0.00320339j -0.0105833-0.00889203j 0.00270883+0.0129005j -7.6401e-05+0.0163157j -0.00351117+0.0113398j -0.00874373-0.00834679j 0.00907786-0.0087458j 0.0133071+0.00287116j -0.0135228+0.00988966j 0.00446328+0.00115721j 0.00853144-0.00942567j 0.0240267+0.00237895j 0.0147564-0.0182075j 0.0341388+0.0167945j -0.00607018-0.0191402j -0.0208671+4.55789e-05j 0.0320954-0.01174j 0.00817062+0.0146045j 0.00317096-0.00173234j 0.0018602+0.00346044j -0.00258727-0.00369785j 0.0191787+0.00214846j 0.00964111-0.00595739j -0.00230259+0.00700037j 0.00917956-0.00438327j -0.00173549-0.00730094j 0.00362633-0.0126562j 0.0197012-0.00317075j 0.00413723+0.00942411j -0.00869084+0.000142548j 0.00262208-0.0196091j -0.00276765-0.00243209j 0.00256316-0.00534458j -0.0046599+0.00512858j -0.0132197+0.00439468j 0.00415245+0.0131417j -0.00865301-0.00595261j 0.022815+0.0057836j 0.0121438+0.0180693j -0.0135404+0.00778814j 0.00381341+0.00529216j 0.00166825+0.0165332j -0.00495814+0.00458783j -0.0166381+0.000682988j 0.0188064-0.00128057j -0.00142431-0.0277632j -0.00150708+0.00626639j 0.014662+0.00548594j 0.00412127+0.013982j 0.0138634+0.0246615j -0.0246806+0.0012854j 0.00847309-0.0200649j -0.0150281+0.00885356j 0.00838528+0.0151258j 
0.00826338+0.00412204j -0.00291992+0.010648j -0.00171972+0.000569054j 0.00186322+0.00965227j -0.00790423+0.0227515j -0.0094988-0.00704451j 0.000709524+0.0119529j 0.00962996+0.00546057j 0.01517-0.00668981j -0.012453-0.0132364j -0.00188748-0.0378456j 0.000495325-0.0137788j 0.0153272+0.00870009j 0.0307794-0.00990977j -0.0110139-0.0165536j 0.00073536+0.0215313j 0.00889354-0.0151341j 0.0240949+0.0164591j 0.0040426+0.00953379j -0.0111194+0.0038946j 0.00507393-0.014384j 0.00983055-0.0261489j 0.0295503+0.014019j -0.00202606-0.0106772j -0.00186806+0.0115448j 0.00519876+0.0278823j -0.00176593-0.0125637j -0.0108773+0.0317932j -0.00291913-0.0054693j -0.00502151+0.0223978j -0.015255-0.00472232j 0.00744615-0.00421577j -0.00979601-0.0173002j -0.016522+0.0129771j 0.0126242+0.000405367j 0.00260489+0.014448j 0.0212281-0.0137851j -0.0146699-0.00721003j -0.00520871+0.00613963j 0.0165743+0.00407978j -0.017431-0.00140236j 0.00150918+0.0205409j 0.000394772+0.00645749j 0.00627537-0.0227458j 0.0155424+0.00477416j 0.0234163+0.00635957j 0.0122718+0.0128425j -0.00876849-0.0130363j 0.00524526-0.016799j -0.00853198-0.00166071j 0.00469784+0.0141219j 0.00689628-0.00100263j -0.00222188+0.0164857j 0.00341114+0.0268311j -0.0122736-0.00284804j 0.018585-0.00674781j -0.00545973+0.008698j -0.00480557-0.000221223j 0.0112856-0.00537512j 0.0125101+0.0155034j -0.00687767+0.0112955j -0.0148995-0.00477693j 0.0130743-0.0027086j -0.00207861-0.0157664j -0.00317288+0.0180683j 0.00569943+0.00179721j 0.00291216+0.00683803j -0.00512302+0.0237566j -0.016573-0.0114363j 0.0107218-0.00627425j 0.00982251+0.00702259j 0.00765442-0.0100002j 
0.000424182+0.00903613j -0.00841877+0.00349381j 0.00642783+0.00462495j -0.00460522+0.00151772j -0.0362367+0.0125308j -0.0113358+0.0229144j 0.0118719+0.00637032j -0.0133613+0.0119882j -0.00783437-0.010611j 0.0173957+0.00142626j 0.0138399-0.00236989j -0.0137834+0.00354383j -0.0137941-0.0289714j -0.0127916+0.00779102j 0.000408711+0.0177418j 0.00193779-0.0151476j -0.0331595+0.0046783j -0.0336817-0.000586745j 0.0195622-0.0047337j 0.0220675-0.00644785j -0.0101156+0.00117297j 0.0150634-0.00448447j -0.00585897-0.0211933j 0.0230749-0.000683064j -0.0310059-0.025135j -0.00877527-0.00194151j 0.0112799-0.000737879j -0.0248494+0.012068j -0.0019499-0.0222538j 0.00826697+0.00701887j -0.0110867-0.000165068j 0.0101909-0.0049666j -0.0216362+0.00130056j -0.00100898+0.0200796j 0.0112711-0.0160435j 0.0186946+0.00757214j 0.00043593-0.0105201j -0.0011701+0.010868j 0.00310521+0.00817957j 0.0181556-0.00236121j -0.0203288-0.00933355j 0.00475085+0.0211055j 0.00952643-0.00165736j -0.00202748-0.0115724j 0.0122836-0.00913454j 0.014336-0.0011836j 0.00561343+0.00260791j -0.0136501-0.00836323j 0.00348775-0.0261138j -0.00833307+0.00151563j -0.00284312+0.00282717j -0.00060443-0.000831371j 0.00158129+0.00529882j 0.00262998+0.0307453j -0.0169949-0.00233822j 0.0169071-0.0185225j 0.00071962+0.011608j -0.0101489-0.00094294j 0.00781255-0.00308709j 0.0161324+0.00427208j 0.00632773-0.00137898j -0.0249518-0.00959284j 0.0124519-0.0100151j -0.00386615-0.0174816j -0.0129586+0.0105742j 0.0109473+0.00244322j 0.00310422+0.013113j -0.00697786+0.018279j -0.00428555-0.00461758j 0.00464841+0.00324932j 0.00567262+0.00167138j 0.00248298-0.00520951j 
