0.0986462-0j 8.58555e-05-0j -0.00513704-0j -0.00118475-0j -0.000120919-0j 0.0250091-0j -2.02585e-05-0j -0.000588546-0j 0.020431-0j 5.05908e-06-0j -1.13445e-06-0j -0.0102577-0j 7.71013e-05-0j -0.00104692-0j -0.00470837-0j 0.114759-0j -0.0167407-0j -3.46804e-05-0j -0.00106395-0j 0.000686844-0j -0.00014921-0j -1.52287e-05-0j 0.00242041-0j -1.6429e-06-0j 0.00063846-0j -7.25312e-08-0j 
-0.016453-0j 0.00103256-0j 0.00129783-0j -0.00693042-0j 0.136818-0j -0.00204354-0j 0.035001-0j -0.0143062-0j 0.0789006-0j 0.000183798-0j -3.40824e-05-0j -8.79794e-06-0j 0.000927278-0j 0.000173686-0j 0.00118953-0j 9.91279e-05-0j -7.15463e-06-0j -0.00254653-0j -0.00622376-0j -8.58555e-05-0j -0.0017769-0j 0.0350789-0j -0.000298226-0j 0.00379387-0j -7.98074e-05-0j -2.61722e-06-0j 
-8.58555e-05-0j 0.100908-0j -0.000651597-0j 0.0145648-0j -7.58863e-06-0j -7.15463e-06-0j -6.32386e-07-0j 0.0146235-0j -8.79794e-06-0j -3.03545e-05-0j -2.35676e-08-0j 0.0827232-0j -0.000462608-0j -4.31009e-05-0j -0.000597224-0j -4.97687e-05-0j -0.000343422-0j -4.39897e-06-0j -6.67717e-05-0j -0.00412106-0j 0.00121863-0j -6.34937e-07-0j -5.18424e-07-0j -4.0985e-08-0j -0.00383076-0j -1.29091e-09-0j 
-0.00169493-0j -0.0101696-0j 6.65034e-05-0j 7.58863e-06-0j 0.0143387-0j 7.30216e-07-0j -1.24843e-05-0j -0.00147377-0j -0.000173686-0j 0.173866-0j 2.40536e-09-0j 4.31009e-05-0j -0.00913265-0j 0.0814393-0j 6.09539e-05-0j 5.0795e-06-0j 3.50504e-05-0j 0.0251966-0j 6.81486e-06-0j 0.000420604-0j 6.34937e-07-0j 0.00119971-0j 5.29114e-08-0j -8.09112e-07-0j 0.000390975-0j 1.31753e-10-0j 
-2.02585e-05-0j 6.32386e-07-0j -0.000153751-0j 0.00252036-0j 0.000257233-0j -0.0230232-0j 0.0931537-0j -1.76151e-05-0j 0.000298226-0j 3.72637e-08-0j 0.0551441-0j 5.18424e-07-0j 5.67905e-07-0j 5.29114e-08-0j -0.000140921-0j -1.17434e-05-0j 4.2159e-07-0j -1.03798e-06-0j 0.00226337-0j 5.05908e-06-0j -0.0200191-0j -0.00204319-0j 0.0763665-0j 0.0315193-0j 4.7027e-06-0j 0.00709721-0j 
-0.142452-0j 0.00586462-0j -7.71013e-05-0j -8.79794e-06-0j 0.000173686-0j 0.000123381-0j 7.1995e-06-0j 1.20973e-05-0j -0.000207779-0j 0.00104391-0j -2.78868e-09-0j 0.000103659-0j 7.49645e-05-0j -0.00204639-0j -1.00587e-06-0j 2.45164e-05-0j 0.0118852-0j 2.15335e-06-0j -1.1246e-07-0j -0.000487632-0j -1.04778e-08-0j 2.06849e-07-0j 1.27253e-07-0j 6.64152e-09-0j -6.45192e-06-0j -2.1742e-12-0j 
0.000588546-0j 0.0146235-0j 0.00446675-0j -0.201796-0j 0.000105141-0j 0.00014921-0j 1.76151e-05-0j -0.00142688-0j 1.73505e-06-0j -4.39897e-06-0j 9.86424e-07-0j 0.000170639-0j -9.54252e-07-0j -8.89071e-08-0j 5.82736e-05-0j 4.85613e-06-0j -4.97687e-05-0j 4.29225e-07-0j 1.31681e-05-0j -0.000597224-0j -0.000361747-0j 1.8848e-07-0j 2.05547e-07-0j 2.03335e-08-0j -7.90195e-06-0j 8.9769e-10-0j 
0.0116189-0j -0.00147377-0j -0.000455886-0j -0.000105141-0j -0.198664-0j -1.52287e-05-0j 0.000347752-0j 0.000143802-0j 3.42528e-05-0j 0.0251966-0j -1.00677e-07-0j 8.89071e-08-0j -1.88385e-05-0j 0.00016799-0j -5.94752e-06-0j -4.95627e-07-0j 5.0795e-06-0j -0.00245853-0j -1.34396e-06-0j 6.09539e-05-0j -1.8848e-07-0j -0.000356132-0j -2.09786e-08-0j 4.01418e-07-0j 8.0649e-07-0j -9.16201e-11-0j 
0.020431-0j 8.79794e-06-0j -0.00106395-0j 0.00568149-0j 0.000579865-0j -0.244155-0j 0.000298226-0j -1.73505e-06-0j -0.00139459-0j 5.18424e-07-0j 2.79405e-05-0j -1.49618e-05-0j 1.1246e-07-0j -1.52704e-06-0j -1.38804e-05-0j 0.000338312-0j -0.00171548-0j -1.02239e-07-0j 7.26236e-05-0j 7.03836e-05-0j 2.07342e-05-0j 2.11617e-06-0j -0.000507164-0j 4.60118e-07-0j 9.31254e-07-0j 3.05397e-08-0j 
-0.00207213-0j 8.6394e-05-0j 0.000163452-0j -0.0017769-0j 0.0350789-0j 0.00791451-0j -0.278012-0j -2.56459e-05-0j 0.000287942-0j 1.53783e-05-0j 0.000546972-0j -1.04778e-08-0j 1.10433e-06-0j 2.06849e-07-0j 2.1324e-06-0j 1.777e-07-0j -5.98624e-07-0j -4.565e-06-0j -2.27132e-05-0j -7.18349e-06-0j 9.79546e-05-0j -0.00193379-0j 3.3717e-05-0j -0.000647939-0j -9.50457e-08-0j 7.48621e-07-0j 
7.71013e-05-0j 0.000462608-0j -0.144335-0j 6.67717e-05-0j 6.81486e-06-0j 6.42511e-06-0j 5.67905e-07-0j 9.54252e-07-0j 1.1246e-07-0j 2.72594e-05-0j 2.11646e-08-0j 5.39806e-06-0j -0.00145857-0j 5.50937e-07-0j 7.63401e-06-0j 6.36168e-07-0j 0.000308405-0j 5.62298e-08-0j -0.000210526-0j 0.00370086-0j 7.9521e-08-0j 8.11607e-09-0j 6.62675e-09-0j 5.2389e-10-0j 4.89666e-05-0j 1.6501e-11-0j 
