-0.0690742-0j -8.58555e-05-0j 0.00018201-0j 0.000588546-0j -0.0143062-0j 0.0146235-0j 0.00147377-0j 1.76151e-05-0j 0.00060097-0j -0.0708843-0j -0.00714379-0j 8.61936e-05-0j -0.00127403-0j 0.000594806-0j -0.0701572-0j -0.00707052-0j 8.53096e-05-0j -0.00126097-0j -4.6919e-05-0j -4.74052e-05-0j 1.01013e-06-0j 9.99767e-07-0j 
0.016453-0j -0.00147462-0j 0.00204354-0j 0.020431-0j -0.0789006-0j 8.79794e-06-0j -0.000173686-0j 0.000298226-0j 0.010322-0j -8.61936e-05-0j 0.00170161-0j -0.0692802-0j -0.0143043-0j 0.0102162-0j -8.53096e-05-0j 0.00168415-0j -0.0685696-0j -0.0141576-0j 5.52946e-06-0j 5.58676e-06-0j 2.28577e-05-0j 2.26232e-05-0j 
-0.00904892-0j 0.000532027-0j 7.8375e-06-0j 7.71013e-05-0j -0.000927278-0j 0.000462608-0j -0.00913265-0j 5.67905e-07-0j -0.00372408-0j 4.74052e-05-0j -0.000935858-0j 5.58676e-06-0j -5.48608e-05-0j -0.00368588-0j 4.6919e-05-0j -0.000926259-0j 5.52946e-06-0j -5.42981e-05-0j -0.0717154-0j -0.0724585-0j 2.60258e-08-0j 2.57588e-08-0j 
0.00169493-0j 0.00722415-0j -7.30216e-07-0j 0.00104692-0j 0.000173686-0j -4.31009e-05-0j -0.0814393-0j -5.29114e-08-0j -0.101661-0j -4.41672e-06-0j -0.0083454-0j 7.586e-05-0j 1.02758e-05-0j -0.100618-0j -4.37142e-06-0j -0.0082598-0j 7.50819e-05-0j 1.01704e-05-0j -2.70887e-05-0j -2.73694e-05-0j -2.42481e-09-0j -2.39994e-09-0j 
-0.00574338-0j 0.000686844-0j -0.00145608-0j -0.00470837-0j -0.00118953-0j 0.000597224-0j 6.09539e-05-0j -0.000140921-0j 4.99695e-05-0j -0.00289491-0j -0.00029546-0j -0.000689549-0j -0.000105933-0j 4.9457e-05-0j -0.00286522-0j -0.00029243-0j -0.000682477-0j -0.000104847-0j 0.000375352-0j 0.000379242-0j -8.08102e-06-0j -7.99813e-06-0j 
0.000478615-0j 0.0167407-0j 0.00012134-0j -0.114759-0j 9.91279e-05-0j -4.97687e-05-0j -5.0795e-06-0j 1.17434e-05-0j 0.00121792-0j 0.000241242-0j 2.46217e-05-0j -0.0168066-0j 8.82777e-06-0j 0.00120543-0j 0.000238768-0j 2.43692e-05-0j -0.0166342-0j 8.73723e-06-0j -3.12793e-05-0j -3.16035e-05-0j 6.73418e-07-0j 6.66511e-07-0j 
0.0122953-0j 5.05908e-06-0j -1.07251e-05-0j -3.46804e-05-0j 0.00254653-0j 4.39897e-06-0j 0.0251966-0j -1.03798e-06-0j -0.000106974-0j -2.1323e-05-0j -0.122135-0j -5.07901e-06-0j 0.00022678-0j -0.000105876-0j -2.11043e-05-0j -0.120882-0j -5.02692e-06-0j 0.000224454-0j 2.76473e-06-0j 2.79338e-06-0j -5.95223e-08-0j -5.89118e-08-0j 
0.00129783-0j -7.67915e-05-0j -0.0155094-0j 0.00106395-0j -0.00622376-0j -6.67717e-05-0j -6.81486e-06-0j -0.00226337-0j -5.58676e-06-0j 0.000654164-0j 6.67653e-05-0j -0.00360779-0j -0.00112834-0j -5.52946e-06-0j 0.000647454-0j 6.60805e-05-0j -0.00357079-0j -0.00111677-0j 0.0103512-0j 0.0104585-0j -0.000173478-0j -0.000171698-0j 
8.58555e-05-0j -0.0707819-0j 7.15463e-06-0j -0.0102577-0j 8.79794e-06-0j -0.0827232-0j 4.31009e-05-0j 5.18424e-07-0j -0.00514954-0j -0.00847696-0j 4.41672e-06-0j -0.000743273-0j 5.20515e-07-0j -0.00509673-0j -0.00839002-0j 4.37142e-06-0j -0.000735649-0j 5.15177e-07-0j 0.000265414-0j 0.000268164-0j 2.37582e-08-0j 2.35145e-08-0j 
-0.00018201-0j 7.15463e-06-0j -0.0668869-0j -0.00014921-0j 0.0017769-0j -0.00121863-0j 6.34937e-07-0j -0.0200191-0j 5.20515e-07-0j 0.0179708-0j -9.36327e-06-0j 0.00103003-0j -0.00486618-0j 5.15177e-07-0j 0.0177865-0j -9.26723e-06-0j 0.00101947-0j -0.00481627-0j 3.90992e-06-0j 3.95043e-06-0j -0.00231782-0j -0.00229405-0j 
-0.00359318-0j -7.30216e-07-0j 0.00682662-0j 1.52287e-05-0j 0.0350789-0j -6.34937e-07-0j -0.00119971-0j 0.00204319-0j 1.02758e-05-0j 9.36327e-06-0j 0.0176919-0j -0.000105127-0j -0.0960665-0j 1.01704e-05-0j 9.26723e-06-0j 0.0175105-0j -0.000104049-0j -0.0950811-0j -3.99054e-07-0j -4.0319e-07-0j 0.000236562-0j 0.000234135-0j 
