-0.00619555-0.0282448j 0.0778562-0.107032j -0.19587+0.0760501j 0.0148791-0.0937032j -0.000248821-0.023977j -0.0603759+0.0449296j -0.0655171-0.170783j -0.0352044-0.00886662j 0.0877235+0.0345904j 0.0950247+0.150961j 0.0927739+0.00281353j 0.015322+0.055041j 0.0167532-0.00486376j -0.0260461+0.13631j -0.00774575-0.030173j 0.00726598+0.0287677j -0.00383087-0.0653337j 0.157325-0.030422j 
-0.0657333+0.169153j 0.0559007+0.0498504j 0.000453872+0.0230723j -0.0111478-0.0912054j -0.198307-0.077842j -0.0754953-0.107376j -0.00400646+0.0317758j 0.157661+0.0318448j -0.00821174+0.0637215j 0.00573204-0.0301032j 0.00800447-0.027906j 0.0252028+0.137215j -0.0168265-0.00305504j -0.0169682+0.0543168j -0.0917346+0.000160558j 0.0961261-0.151345j 0.0858775-0.0318243j -0.038373+0.00992378j 
0.016944+0.0140279j -0.0460648+0.0135774j 0.0160775-0.0563977j -0.142964-0.225598j 0.0878839-0.212156j -0.183411-0.0160629j 0.217012-0.142264j 0.00261283-0.00377356j 2.87769e-05-0.00649979j -0.0076444+0.00205987j 0.0248392-0.0284229j -0.00821869-0.00358799j -0.043733-0.00075713j 0.0294165+0.00418358j -0.000340025-0.0205583j 0.00309474+0.0131554j 0.012547-0.0141419j 0.0109602+0.0371884j 
-0.0181838+0.051768j -0.176497-0.140654j -0.144941+0.0803442j -0.120269-0.00449088j 0.145766+0.0810736j -0.181708+0.143317j 0.0234376+0.047692j 0.00275667+0.00272941j 0.0127248-0.0307048j 0.0270385-7.43517e-05j 0.00158766-0.0174762j -0.0347317+0.0150613j 0.0135793+0.00017007j -0.0336895-0.0149541j 0.00137631+0.0171414j -0.025791-7.06941e-05j -0.0134054-0.0306915j -0.00322168+0.00423052j 
-0.212074-0.139233j -0.186158+0.0109j -0.0935259-0.210573j -0.144106+0.22993j -0.0147216-0.0526748j -0.0490431-0.00946544j -0.0166278+0.015483j -0.0105191+0.0368937j -0.0140263-0.014984j -0.00148456+0.013463j 3.89049e-05+0.0213317j 0.0290886-0.00417018j -0.0428009+0.00109345j -0.00821108+0.00380809j 0.0251898+0.0283297j 0.00724118+0.00185785j -0.000349037-0.00720154j -0.00293472-0.00368399j 
-0.0105711-0.00706641j 0.0138676-0.0182406j -0.0100369+0.0435983j -0.00624581+0.101738j -0.0166239+0.0735392j -0.268409+0.121539j 0.345255+0.0167717j 0.00546787-0.00249585j -0.00457709-0.0131436j -0.0141138-0.0158339j 0.0327632+0.0114105j -0.00116143+0.00052919j -0.0181953+0.0138556j 0.00984063+0.0508438j 0.00327334+0.157822j 0.111223-0.0348081j -0.105584-0.0512969j 0.134791-0.00920165j 
0.000148138-0.00937685j 0.0368466+0.0331516j -0.00638618+0.0324701j -0.000682838+0.0880228j 0.244513-0.0666819j -0.0793543+0.18956j -0.0615933-0.192423j 0.00878423+0.0170879j 0.0292116-0.0112789j 0.00846368-0.0588976j 0.0112986+0.0942283j 0.000211185-0.00676984j 0.0368496+0.0310767j 0.0210806-0.0278539j -0.141038+0.0506663j 0.121678+0.165111j -0.0445777-0.117008j 0.016105+0.149606j 
-0.00518553+0.0251242j -0.0738657-0.0445969j 0.0742221-0.0419667j 0.125025-0.130638j -0.169516+0.164674j 0.297052+0.084032j 0.04716-0.284706j 0.00192137-0.0169197j -0.0232612-0.0115264j 0.00267217+0.0421673j 0.00260596-0.0588301j -0.00854366+0.000600704j -0.0716155-0.0982478j -0.15847+0.0500284j -0.143757+0.0108669j -0.00749414-0.0297301j 0.121747-0.0505349j 0.0728597+0.0877345j 
-0.00339158-0.0157045j -0.0110174+0.0576362j 0.0696149-0.0826475j -0.217193-0.0313191j 0.0667257+0.248103j -0.0993366-0.254202j -0.0952141-0.0148433j 0.013998-0.0197335j -0.0331933-0.0406643j -0.0475008+0.039681j 0.107398-0.0154797j -0.050874+0.0456607j 0.0329415-0.111991j -0.0554557-0.187426j 0.0635714-0.0364182j 0.0575737-0.115503j 0.0133948+0.155302j 0.0329756+0.0136355j 
0.0390923-0.0212268j 0.0173473+0.0734914j -0.158804+0.193308j 0.0582564-0.154245j 0.224808-0.0520308j -0.0350741-0.150149j -0.0511078+0.0110207j -0.00809046+0.0100435j -0.00282134+0.0180383j -0.0172235-0.0952714j 0.0508405-0.107165j 0.139159-0.110107j 0.0709036+0.0420284j -0.23165+0.0478002j -0.0560247-0.0398482j 0.120749-0.0290175j 0.00953005+0.0390277j -0.00596935+0.0043103j 
-0.0563236-0.00564865j 0.0328081-0.157799j 0.226244+0.0351263j -0.0503143-0.158299j -0.160099-0.188451j -0.0126537+0.0775431j 0.0390362+0.0170729j -0.00325192-0.00685038j 0.0115752-0.0450137j 0.121072+0.0341834j 0.0577172-0.0406525j 0.232325+0.0389601j -0.0715317+0.0367742j -0.141191-0.11097j -0.0556287-0.105838j -0.0201386+0.0933996j -0.00339981-0.0167807j -0.00583764-0.00748537j 
-0.0942546+0.0249394j 0.0886546-0.23921j 0.0631135-0.252727j 0.220769-0.0308713j 0.0755064+0.0963194j 0.0153323+0.0526558j -0.00353884+0.011013j 0.0352425-0.0193611j 0.0136648-0.150141j 0.053917+0.114124j -0.0597518-0.0363125j 0.0470623-0.189258j -0.0319924-0.11602j 0.0525005+0.0513443j -0.10931-0.0111916j -0.0467137-0.0440689j -0.03123+0.0436901j 0.0166277+0.0197936j 
0.0582729+0.279338j -0.289753+0.0986556j -0.177314-0.162236j -0.13353-0.129809j 0.0800336+0.0440511j 0.0708541-0.0515775j -0.00907981-0.0259964j 0.0735749-0.0863179j 0.115564+0.0547455j -0.00729358+0.0292884j 0.146945+0.0119787j 0.156186+0.0517356j 0.0748619-0.098422j 0.00614969-0.0015603j -0.00147842-0.0601086j 0.00591466-0.0430327j -0.0217945+0.0136188j 0.00235802+0.017159j 
-0.0618979+0.188649j 0.0695215+0.194528j 0.243295+0.0722171j -0.000529233+0.0886323j -0.010522-0.0337793j -0.0347577+0.0330162j 0.00212336+0.00829216j 0.0160601-0.147345j -0.0413225+0.120456j 0.116447-0.168717j 0.143024+0.0474358j -0.0229149-0.0258316j -0.0368709+0.0319936j -0.00208433-0.00524945j -0.00907876+0.096358j 0.00923466+0.0585316j 0.0298135+0.00928585j 0.00851254-0.0177869j 
0.337632-0.0222087j 0.280898+0.120788j -0.00811433-0.0689876j 0.0101431+0.104501j -0.011732-0.0435734j -0.0162589-0.0166519j -0.0109112+0.00753099j 0.129271+0.0109217j -0.10402+0.0512509j 0.11305+0.0324637j -0.00225268+0.159855j -0.0119683+0.0489377j 0.0165717+0.0152902j 0.000151785-0.0009937j -0.0332075+0.0129228j -0.0135915+0.0171485j -0.00437064+0.0132407j 0.00526232+0.00221179j 
-0.00693284+0.00322635j 0.00757241-0.00220874j 0.0138274-0.0115504j 0.0159273-0.00849552j 0.00754488+0.0309457j -0.0624801+0.0257455j -0.255439+0.282369j 0.00245912-0.00927495j -0.0136243-0.0157795j -0.0203293+0.00643118j 0.0304519-0.0215598j -0.00587152+0.0128457j -0.0338092+0.0381251j 0.0102274+0.0225637j -0.0888249+0.107672j 0.0268188-0.0498435j 0.30796-0.00912501j -0.310464-0.152031j 
0.00661829-0.00256661j 0.0180969-0.0160493j -0.0452787+0.0151533j -0.0416268+0.0328532j 0.086582-0.0331949j 0.108925-0.151319j 0.301322+0.147398j 0.0117376+0.0171736j 0.0203752-0.0179939j -0.00268664-0.0596986j 0.0224178+0.0695469j -0.0224228-0.00487895j -0.0629957+0.0172808j 0.0110578-0.0315832j -0.0855649+0.0598976j -0.288383-0.0348033j 0.215616+0.155091j 0.170097-0.0573603j 
0.00408555+0.0157751j -0.0121824-0.00361393j 0.00483883-0.0502251j -0.0111703-0.0529794j 0.0161987+0.0126405j 0.0551142+0.255297j 0.329896+0.37418j 0.00300256-0.0134752j -0.0181574-0.00629116j -0.0244434+0.0376842j -0.000623178-0.0406438j 0.0266599+0.00491873j 0.0775738-0.0126008j 0.0215224+0.0232653j 0.0193651-0.0353155j 0.198081+0.0488685j -0.0927708-0.0509057j -0.0761133-0.0350134j 
0.00147307+0.00883968j 0.0376133-0.00165151j -0.0245876-0.0685694j -0.0908527-0.0202307j 0.105965-0.0172612j 0.362288+0.0387233j -0.0316293+0.0363302j 0.015371-0.00682923j -0.0276709-0.0381621j -0.047072+0.0098111j 0.00537452+0.00512731j 0.0401984+0.0249271j 0.143003+0.000480857j 0.137845-0.00212724j -0.0768047+0.0216248j 0.0150206+0.0871378j 0.0799667-0.0142846j 0.0939919-0.0135272j 
-0.00692109+0.00863269j -0.045129-0.0651382j 0.0120889-0.0169858j 0.0430934+0.0601577j -0.0199607-0.316782j -0.0924094-0.275061j 0.0361425-0.206754j 0.0161995-0.0105806j -0.0184531-0.046955j -0.0626819+0.0419429j -0.0300906-0.0125717j 0.048668+0.0586016j 0.166967+0.010431j 0.211592+0.0323567j -0.182948+0.0169276j 0.174413+0.0512588j 0.136806-0.0315832j -0.10984-0.0275192j 
-0.0131075+0.00968388j -0.0187781-0.00699551j 0.0408994-0.0181936j 0.0631561-0.0417388j -0.0422792-0.0573263j -0.233372+0.023267j -0.291121+0.28993j 0.00717041+0.00539543j 0.00245389-0.00838663j -0.00521759-0.00478329j -0.0275784+0.0305087j 0.0157376+0.0087435j 0.0688738-0.0347679j 0.071323-0.0195939j -0.0291502-0.0747849j -0.023527+0.0669961j -0.136176+0.0638588j 0.275099+0.0455836j 
-0.00596504-0.00977703j 0.0321478+0.0546452j 0.0771945-0.028545j -0.0459326-0.325321j 0.150079-0.0383808j 0.0921126+0.173378j 0.0378185+0.0117112j -0.0243485+0.00113841j -0.00700782+0.0535985j 0.114343+0.0168505j -0.154073+0.0293312j -0.0477879+0.0823182j -0.163813-0.059272j 0.0889901-0.0549453j -0.231766-0.0792091j 0.0316454+0.00400189j 0.0175715+0.0109799j -0.0390378-0.00520684j 
0.0236028+0.00361508j -0.0491718+0.0237829j -0.150146-0.0196942j -0.0788711-0.161657j -0.340067-0.123601j -0.0431921-0.0889491j -0.0200299+0.050991j 0.00212267+0.00982514j 0.0297193+0.0317796j 0.00128734+0.00638643j -0.117176+0.00810815j 0.00201419+0.0183125j -0.127736+0.00372468j -0.0715864-0.0144103j -0.0175368-0.0927455j -0.0146029-0.00560486j -0.114517+0.0160097j -0.0162364+0.0275248j 
0.00805275-0.00604169j -0.0668471+0.079832j -0.0177053+0.0116648j 0.0575744-0.102384j -0.233624+0.13047j -0.179125+0.276019j -0.0254331-0.0149795j 0.00914743+0.00238276j -0.0223658-0.0321735j -0.0390243-0.0307773j 0.0353089+0.0267378j 0.0196709+0.0108699j 0.0458801+0.0211539j 0.0783643-0.0330959j -0.083217+0.11371j -0.184307+0.0342234j 0.289187+0.0219938j 0.0555624-0.0814515j 
