-0.0118678+0.0276207j 0.071658-0.122615j -0.0818021-0.053274j 0.244652+0.0688546j -0.194224+0.221628j -0.0317739+0.00717238j 0.0129469-0.0196973j -0.0802532-0.0594625j 0.0989471+0.0524497j 0.0899009-0.0222094j 0.0462712+0.177174j -0.106781-0.0626626j -0.00979414-0.0129204j 0.00321889+0.00595441j -0.0186756+0.0304928j -0.00600767+0.0226187j 0.00934866+0.0180494j -0.0252216+0.00423702j -0.033984+0.0222706j -0.0437298+0.000908238j 0.0199386-0.00148997j 0.0261757+0.0223271j 0.0799366+0.0121777j -0.00870223+0.0675981j -0.00947751-0.0241509j -0.041745+0.012428j 0.0347441-0.0503072j -0.0797962+0.0204128j -0.0738125+0.053173j -0.10897+0.00912918j -0.0287678-0.0521423j -0.0943967+0.108544j 0.0118739+0.0467684j -0.0633455-0.0277559j 
0.00159469-0.0811973j 0.155312-0.125378j 0.0836235-0.0107459j -0.152288+0.161189j 0.0458732-0.0868058j 0.0122362-0.0183387j 0.112351-0.0142167j -0.000253891-0.0548431j 0.0375725+0.0453511j 0.00947343+0.111622j -0.161163-0.106629j -0.12989-0.162885j -0.00189649-0.005388j -0.0145621-0.0296579j -0.012038-0.00116432j 0.017665+0.00218242j -0.0573168+0.067081j -0.0604858-0.00573559j -0.0317643+0.026342j -0.0121461-0.0207945j 0.0420768-0.0222392j -0.00736151-0.010342j -0.00385074+0.0460421j -0.0622831+0.0121648j 0.030049-0.0538035j 0.00792548+0.0278226j 0.044594+0.0318562j -0.0315572-0.0303675j -3.82028e-05-0.083157j 0.0585596+0.000806524j 0.0346273-0.0814393j 0.102917-0.127063j 0.0406086-0.0599284j 0.0870425+0.0420363j 
0.120871+0.149658j -0.00832702+0.156117j 0.00409846-0.0178018j -0.337025+0.0802352j -0.160347-0.29436j -0.020066+0.0515343j -0.094634+0.0566538j -0.0466628-0.0441568j 0.00789461+0.016444j 0.0469757+0.0587316j 0.049025+0.0323301j -0.140157-0.0663464j -0.0143124-0.00730328j 0.0306321+0.0185513j 0.00671368+0.0431657j -0.00871132+0.0491486j 0.0281181-0.0442464j 0.00299393+0.0267215j -0.0151778-0.0127084j -0.0308265+0.0130367j -0.021589+0.0163491j 0.0159479+0.0261657j 0.0401059-0.0140985j 0.0376147+0.0264149j -0.0392463-0.0599714j 0.0251448+0.0470467j 0.0392261-0.00500295j -0.0684804+0.0384636j -0.0852367-0.0744505j -0.0402072+0.0392522j 0.00512432-0.134951j -0.0244906+0.0314371j 0.0649814-0.00813083j -0.00321839+0.00644703j 
0.110497+0.181445j -0.182113-0.269419j -0.24388+0.136825j -0.0915276-0.188199j 0.361356-0.187851j -0.0278514+0.102023j -0.0574745-0.0485553j -0.0716623+0.0352256j 0.0437715-0.0143823j 0.00496706-0.00422966j -0.060372-0.160992j -0.0708392-0.128309j -0.0338355-0.00075331j 0.0119753+0.00203263j 0.0278642+0.0765826j 0.0050222+0.0450301j 0.0285299+0.0132836j -0.0483035+0.0874527j 0.0100149+0.0120195j 0.023402+0.0105054j -0.0138517-0.0138057j -0.0482278-0.025378j -0.0120983+0.0621979j -0.0703403+0.0554772j 0.0923341-0.0129104j -0.00356507-0.0173588j 0.0485325+0.00201743j -0.0227443-0.00479623j 0.0384222+0.0703663j -0.0446791+0.0744936j -0.00370006-0.0454609j -0.0550352-0.0113131j 0.0326714+0.00133335j 0.00138164-0.0193039j 
0.120104-0.107095j -0.118079+0.133406j -0.649192-0.120396j -0.0629156-0.064545j -0.124103-0.0690779j 0.0368294-0.00700116j 0.0371511+0.0448087j -0.134537+0.0799172j -0.186483+0.0690274j -0.00958788-0.0396594j -0.205369-0.0198749j -0.106015+0.199696j 0.00184811+0.00511472j -0.00372509-0.0182615j 0.011874-0.0146915j 0.0305138+0.00247483j -0.0164193+0.0244563j 0.00193855+0.0230769j -0.0317159+0.00108195j -0.0277622+0.0461706j -0.014142+0.0322347j 0.0677006+0.0266378j -0.066499+0.0252794j -0.032329-0.0450585j 0.00651359+0.0535878j 0.0696424-0.00922856j 0.0177127+0.0495441j 0.0138081+0.00933994j -0.0661896-0.00406458j -0.117463-0.0647481j 0.0990507+0.0256924j -0.0128424+0.139689j 0.00854354+0.115711j -0.0876329+0.0219161j 
0.253501+0.133514j -0.190142+0.329682j 0.180156+0.127687j 0.174936-0.0623797j -0.0375312+0.540532j 0.0297789+0.134097j 0.0630404+0.0260754j 0.107096+0.0124852j 0.00923251-0.0209715j 0.0148477-0.0894395j -0.118592+0.0417199j 0.116228-0.0882681j -0.0248784+0.0172499j -0.00838776-0.0104739j 0.0430712+0.0459392j -0.0323719+0.018595j -0.0453614+0.0138196j -0.0632968-0.0365841j -0.0066698+0.0186497j 0.00129515-0.0437561j 0.0489767-0.0516502j -0.0309844-0.0170769j -0.0141519+0.037414j -0.100339+0.0303193j 0.0333543-0.000855725j -0.0700897+0.0136721j -0.00284209-0.0571863j -0.0320279+0.000524233j 0.0658362+0.135241j -0.0467506+0.0157208j -0.0441303+0.0693731j -0.0941417+0.000342114j -0.0473571+0.0248892j -0.0233718-0.0549986j 
0.17373+0.0840544j 0.128804-0.345165j 0.167253+0.181094j 0.219935+0.294856j 0.391608-0.101928j 0.107769-0.0413685j -0.0865213-0.152789j -0.0428302-0.201393j -0.204909-0.0096074j -0.110022-0.101027j 0.0181039-0.0294735j -0.102864-0.0100572j 0.0159012+0.00198179j -0.00534693+0.0217083j -0.00908235-0.0205688j -0.0206211+0.0167361j 0.0239512+0.0100605j -0.0179529+0.0597113j -0.0805362-0.0485247j 0.0193062-0.0106696j 0.0275961+0.134505j -0.0605431+0.0694872j -0.063846-0.0684204j -0.00920458-0.135971j -0.0246113-0.076143j -0.0579114+0.00456584j 0.0652003-0.0520597j -0.0574627+0.0061743j -0.0669382+0.0392203j -0.0420973+0.00700067j -0.0319913-0.0376597j 0.0352264+0.044575j 0.0203881+0.000178053j -0.0116615+0.0218988j 
-0.185472-0.0842864j -0.0183819-0.0631142j 0.00332218-0.197034j -0.0218318+0.0724758j -0.185227+0.0791284j -0.0457221+0.0768962j 0.106495-0.192166j -0.106615+0.0407055j -0.00611037-0.0912166j -0.108385-0.0451384j -0.105595-0.185845j 0.0477357+0.0865949j -0.0248895+0.0222732j -0.0667975+0.0261438j 0.0169375+0.0484536j -0.0977572-0.0718863j 0.0540968+0.0353276j 0.00822155-0.0876278j -0.00922884+0.0383748j -0.0433073+0.0011955j 0.0560022-0.051722j 0.0976726+0.00068355j -0.0161841+0.00479644j -0.0132554-0.00937917j -0.0993305-0.000481507j 0.0553184+0.0537969j -0.0416487-0.000899159j 0.00603985+0.0379893j -0.0123706-0.0881177j -0.0571433+0.0333013j 0.0966255-0.0698533j 0.0220213-0.051523j 0.0655879+0.0242517j 0.0265295+0.0233966j 
-0.394324-0.0974802j -0.21461+0.29203j 0.164407-0.176194j -0.123388-0.349312j -0.16911+0.0908552j -0.104934+0.00790411j 0.0131239+0.034002j 0.116778-0.102591j -0.204115+0.00731008j 0.0477199-0.198456j -0.0799887+0.155226j 0.111701+0.0350062j -0.0131093-0.0223977j 0.0213564-0.0030376j -0.0347603+0.0462455j -0.0275919+0.0392027j -0.0482857-0.00454429j -0.0695348-0.0383958j -0.0564038-0.00411891j -0.0627414-0.051083j 0.0564297-3.80959e-05j -0.0271721+0.0731508j 0.0087479-0.138351j 0.0625236-0.0626708j -0.0580331-0.0688947j -0.02905+0.135489j -0.017546-0.0100715j -0.0801217+0.0459834j -0.0160291-0.0584505j 0.0277577-0.0108274j -0.0219728-0.0143849j 0.0085245-0.0229206j -0.00865631-0.0219901j 0.0160622-0.00373558j 
-0.0303413-0.535878j 0.167705+0.0733224j -0.183716+0.131796j -0.185806-0.33217j 0.255093-0.122484j -0.112527-0.0898795j 0.121063+0.0455092j 0.0194754+0.0906523j -0.011909-0.0190373j 0.107348-0.0125403j -0.0662771+0.0297337j -0.0254773+0.13344j 0.0215443-0.0560231j 0.0448703+0.0222551j -0.0955992-2.05458e-06j 0.0457936+0.0663033j 0.0462327+0.0207207j -0.0645135+0.13689j 0.0353494+0.000949042j -0.0018374+0.0561656j -0.0717048-0.0165687j -0.0337896-0.00197192j -0.0985003-0.0298454j -0.0139042-0.0348594j 0.03355-0.0165161j 0.047468+0.051574j 0.000206616+0.0433621j 0.00737182+0.0179884j 0.0652571-0.0335141j 0.042585+0.0115346j 0.0332621+0.0213467j 0.0403985-0.0476585j 0.00586176-0.00928821j 0.0255769+0.0151305j 
-0.133135+0.0629635j -0.0648101+0.0591505j 0.645639-0.123767j -0.113378-0.141169j 0.126007+0.112998j 0.107439+0.201099j 0.204669-0.0207521j -0.00916735+0.0351165j 0.178179+0.0687607j -0.135695-0.083545j -0.0441237+0.045276j -0.0371567-0.00902873j 0.0878954+0.021095j -0.00677373+0.117525j -0.0156815-0.136176j -0.102968+0.0307587j 0.11504-0.0683824j 0.0639751-0.00474891j -0.016379+0.00836586j 0.0155203-0.0497313j 0.0702152+0.00993716j -0.00530121+0.0549959j -0.0342107+0.0425005j -0.065944-0.0265165j -0.0698004+0.024798j -0.0126545-0.0283569j -0.02806-0.0470385j 0.0299302+0.0030442j -0.00263408+0.0208772j 0.0171319+0.0265037j -0.0300465+0.00176051j 0.010106+0.0151844j 0.00368658-0.0181362j -0.00167497+0.00442375j 
