0.00415681+0.000152256j 0.00851042-0.00457167j 0.00609787-0.00621712j -0.00403987-0.00030873j 0.0013793-0.00509798j -0.00282232-0.000780827j 0.0044978+0.00323695j 0.00575842-0.0059591j -0.00536127+0.00159248j 0.00320109-0.00407613j 0.0043264-0.00311809j -0.00826008-0.00127758j 0.00384444-0.00620439j 0.00230741-0.00518383j 1.60299e-05+0.000739558j -0.00120668-0.00147245j 0.00463062-0.00228155j 0.00526137-0.000723723j 0.00363537-0.000179557j -0.00322212-0.00052191j -0.000193732-0.0045446j -0.00212996+0.00102708j 0.00203077-0.000688193j -0.00176137-0.000976098j 0.000216918-0.000219512j 0.00431558-0.00374945j 0.000400072-0.0016352j -0.00149974-0.00040445j -0.00185068+0.00430402j -0.00437589+0.00297289j 0.00394976-1.84324e-05j 0.00315516+0.00470686j 0.00403042-0.00153973j 0.00523994-0.00346924j -0.00452438+0.00115474j 0.0044699-0.00158898j -0.00384724+0.00128969j -0.00286942-0.00266756j 0.00245181+0.0069082j 0.000273003-0.00505618j 0.0158365-0.0135004j 0.00562398+0.00435104j -0.00208619+0.0174507j 0.0217871-0.00261698j -0.00206431+0.000151302j 0.00357962+0.0235847j 0.0191636+0.00897207j 0.00889782-0.0224754j -0.00862247+0.0258707j 0.030323+0.00275049j -0.00138276-0.0841269j 0.126033-0.00745862j 
0.00940972-0.00419272j -0.0056226+0.000754185j -0.00278524-0.000585659j -0.00624693+0.00732128j -0.0011361-0.00361414j 0.00484514+0.00430499j 0.00207229-0.00265683j -0.00113719-0.00412258j -0.00181593+0.00158897j -0.00622417+0.00117573j -0.00687566-0.00312352j -0.0019497+0.00537249j -0.00221994-0.0013696j -0.00280109-0.000378131j -0.00105347+0.00164869j 0.000150003-0.00315539j -0.00124162-0.00321027j -0.00364794-0.00178154j 0.00133321-0.00106911j -0.00206443+0.00201235j -0.00795935+0.00217j -0.00246193+0.000447387j -0.00231165-0.00399518j -0.00158439+0.00137639j 0.000581034+0.0014045j 0.00352248+0.00395042j 0.00017464+0.00161619j -0.00182837+0.00148133j 0.0044391+0.000130039j -0.000128001+0.00479057j -0.00177154-0.00141046j 0.00857495-0.00458488j -0.0011041+0.00023377j -0.00332367+0.000567224j -0.0032998+0.000661819j -2.65424e-05-0.00536901j -0.00170897-0.00554071j -0.00552946-0.000583396j 0.000969058-0.00457658j 0.000684412+0.00294416j -0.00304335-0.00882629j 0.0161228-0.0164726j 0.0159013-0.00319892j 0.0051681-0.0128442j -0.00389618-0.00703575j -0.0137592+0.00422098j -0.01487+0.0321643j 0.0253076+0.0263026j -0.029941-0.00521568j 0.000856548+0.0235408j -0.123018+0.00673822j -0.00274479-0.0824535j 
0.00723815-0.000727495j -0.00296252+0.0019124j 0.00538139-0.00141934j 0.00303555+0.00206676j 0.00490294-0.00379244j 0.00767327+0.000541973j -0.00388923+0.000569931j 0.0185368-0.00855944j 0.00310984+0.00175437j -0.00441198+0.00185284j -0.00721652-0.000481648j 0.00215632-0.000658703j 0.0146082-0.0073336j 0.00825861-0.00345755j -0.00818529+0.00234724j 0.00438255-0.00318548j 0.00394424-0.00298769j 0.00725442-0.000714845j -0.0016185-0.0025164j -0.00085224-0.000212984j -0.002961+0.00161334j -0.000815993+0.00309791j -0.00413412+0.00137698j -0.0019567+0.0048455j 0.00661902-0.00444643j 0.016006+0.00407096j -0.000524551-0.00468391j 0.00244012+5.75729e-05j -0.00646378+0.00637156j -0.00665489+0.00852353j 0.00771833+0.00403721j 0.00898012-0.00333858j 0.00409504+0.00449965j 0.00876876-0.00565877j -0.00269219+0.00319071j 0.0024607-0.00450916j -0.00954075+0.0114763j -0.000718391-0.0157841j -0.00982062+0.00528385j 0.00113043-7.0301e-05j 0.00277184-0.00879354j -0.0154103-0.00435033j 0.00759286+0.00564436j -0.0359569+0.00573166j -0.00222171+0.000287625j -0.0032719-0.0197324j -0.0193447+0.00104614j -0.0120845-0.0177756j -0.0608084-0.0364399j 0.0301324-0.042575j -0.00731357-0.0089758j 0.00941907-0.00322507j 
6.17654e-05+0.00123156j -0.00753583+0.00161916j 0.00651026-0.00135065j -0.00136554+0.00205073j 0.00527172-0.00129235j 0.00661079-0.00109931j -0.000926012-0.00134861j 0.00519748-0.00453887j 0.0093417-0.00182299j 0.000800588+0.00315498j -0.00521435+0.00212243j 0.00443458+0.00170835j -0.00113472-0.00143874j -0.00456634+0.00131605j -0.000759933+0.00259078j -0.000566807+0.00121159j -0.00521153+0.00017313j -0.00758821-0.000456219j 0.00363116-0.00479432j -0.00175804+0.00257712j -0.0032791+0.00353885j 0.00440134-0.000802584j 0.00219631-0.00250829j 0.00476867+0.00320123j -0.00838397-0.000129229j -0.000548255+0.00313099j -0.0095679+0.00492529j 0.00344977-0.00306825j 0.0050903+0.00293726j 0.00218366-0.000371769j 0.00261233-0.000222788j 0.00997204-0.00678671j -0.0067737+0.00726677j -0.0252719+0.00184184j -0.0115722+0.00205383j 0.00708071-0.0102037j 0.0165397-0.0014175j -0.0163772-0.000448508j 0.0119301-0.00928378j 0.00822431+0.00659668j 0.0272183+0.00633644j 0.0133546-0.00515743j -0.0274586+0.00512181j -0.0219107-0.0092295j -0.00510576-0.00296559j 0.042341+0.0184743j 0.00277654-0.0139928j 0.0217383+0.0283585j -0.0332641+0.0231249j -0.038528-0.0258907j -0.0153548+0.00333414j -0.0049045-0.00587165j 
0.00168598-0.000585255j 0.00134647-0.000528076j -0.0101335+0.00218062j 0.0033353-0.00206315j -0.00612002+0.00109252j -0.00889674+0.00374922j 0.00546476-0.00171869j -0.00235624+0.00160874j -0.00289891+0.00123192j -0.000582038-0.0018116j 0.00969473-0.0060213j -0.0067342+0.000959817j -0.00278412+0.00111964j 0.00083837-0.000835286j -0.00102934-0.00110621j -0.00445336-0.00441818j 0.00423018-0.00185109j 0.00892548-0.000909169j -0.00696334+0.00731197j 0.00632182-0.00336796j 0.00455481-0.00274925j -0.0057486+0.000243153j 0.00210082-0.00092851j -0.00793184-0.00262484j 0.0083295+0.00147753j -0.0164122-0.0112706j 0.0111974-0.00376627j -0.0112085+0.00805105j 0.00319689-0.00461377j 0.00205797+0.00922949j -0.00722514-0.00478835j 0.00413503+0.000431644j -0.0118209-1.59036e-05j 0.00265836+0.00504561j -0.0161793-0.00656942j 0.0286197+0.0026149j -0.0109048-0.0196837j -0.0354578+0.00165025j -0.0371521+4.60478e-05j 0.0238911-0.00138954j -0.00222167-0.00409273j 0.0268618+0.00489937j -0.00231936+0.000865032j -0.0141839+0.0065009j 0.0272822+0.0142301j 0.0227375+0.0152565j 0.026476+0.023742j -0.0283741+0.00906277j 0.0118837-0.00359937j 0.0111386+0.00955026j -0.00272192-0.00272324j 0.00559462-0.00163914j 
-0.00479724+0.000569398j -0.00130251-0.000512987j -6.11279e-05+0.000306095j 0.00560243-0.000965477j -0.00412968+0.00308811j 0.00562767-0.00175515j 0.00092815-0.00176038j 0.00397821+0.00108495j -0.000679227-0.000187322j 0.001354+0.00169408j -0.00752304+0.00444675j 0.00815127-0.000968277j -0.00556191+0.0046108j 0.00516022+0.00206011j 0.000823976-0.00267194j -0.00921613+0.00485562j -0.000466681+0.00134012j 7.64853e-05-0.0026756j 0.00396055-0.00268727j -0.00777697+0.00494413j -0.00993747+0.00955248j 0.00838125-0.00155466j -0.0104988+0.00526481j 0.00691438+0.000816493j 0.016401-0.00529407j -0.0153766+0.00427201j 0.0108703+0.000726301j -0.0187543+0.00529739j 0.00801836-0.00379285j -0.00504221+0.00557823j 0.0097402-0.0012082j 0.0242237-0.0111774j 0.0282333+0.00168711j 0.0127224+0.00183687j 2.59084e-06-0.00256179j 0.0141461+0.00128438j 0.0351516+0.00657589j 0.0124919-0.0116945j -0.0141733-0.00709026j -0.00228218+0.00416375j -0.0261693-0.0181296j 0.012422+0.0155161j -0.0197503-0.0156277j 0.00408136+0.00237375j -0.00784825+0.0161384j -0.0200398-0.0236477j 0.0362398+0.003449j 0.0185044+0.0136507j 0.000132818-0.00270257j -0.00342133-0.00171614j -0.00210157+0.00604403j -0.0101673+0.000483415j 
-0.00283835-0.00106491j 0.0074638-0.00176166j -0.00394324+0.000843506j 0.0045843-0.00358793j -0.00324914+0.00157639j 0.00760164-0.00459256j 0.000404471+0.00192246j -0.00675012+0.00586037j -0.00518511+0.00125502j 0.00122387-0.00292871j 0.00427111+0.00123659j 0.00249933-0.0039582j -0.0113579+0.00588697j 0.00684347-0.00161323j -0.00248624-0.00394503j -0.00810527+0.00577265j 0.0052834+0.00112569j 0.000573438-0.00210624j -0.00316686+0.00316394j -0.00581917+0.00138115j 0.00676043-0.000983968j 0.00537379-0.00150756j 0.00440744+0.00512949j 0.00959955-0.00634462j -0.0101528+0.00430389j -5.8123e-05+0.000298181j -0.00293433-0.00155062j 0.0153129-0.00571018j -0.0152198-0.000987004j 0.00318248-0.0029252j 0.0234028-0.00322881j 0.024519-0.00436721j 0.00534014-0.00229335j -0.00851098+0.00118912j 0.0389987+0.00891398j 0.0096562+0.00498805j -0.0165348+0.0116074j -0.00800755-0.0024761j 0.0211716-0.00166904j 0.0101331-0.00403751j 0.0249398-5.84342e-06j -0.0061306-0.0079741j 0.0265386+0.00551546j -0.0140568+0.0035677j 0.0333495+0.0212524j -0.028455+0.0034842j 0.000915404-0.0152037j 0.016327+0.00667417j 0.01052-0.000216774j 0.00322224+0.00615471j 0.0128656+0.00159826j -0.00108542+0.00533856j 
0.00184583+0.000465703j -0.00321014+0.00075488j 0.00217918-0.000730478j 0.000962715+0.000555414j -0.000381022-0.00035149j -0.00311645+0.00209255j 0.00884538-0.00369272j 0.00933344-0.00520028j 0.0054115-0.000704247j 0.00667797+7.89345e-05j 0.0128819-0.00609002j 0.0039854-0.00229222j 0.00626472-0.00398536j 0.0017551-0.00183433j -0.00748877+0.00239193j -0.016948+0.000395654j -0.000520474-0.00144774j 0.00232064-0.000563336j -0.000568388+0.000395937j 0.00983256-0.000802008j 0.00228565+0.00262902j -0.0108271+0.00186486j -0.00824316+0.00241809j -0.00701009+0.0023449j -0.00242953+0.00239605j -0.00276435-0.00104145j 0.0366084-0.00894624j -0.00696715-0.00330059j -0.0243011-0.00101566j 0.0289222+0.00793926j -0.0231829-0.000162774j 0.0125678+0.000838978j 0.00856156-0.00335392j -0.0227156+0.00169571j -0.00957573-0.00891431j 0.0011449+0.00823191j 0.0290076+0.000694872j 0.0218922-0.00610247j 0.00803837-0.0102139j 0.0277967+0.00756472j -0.00972522+0.00372486j -0.00613754-0.00350499j -0.0064921+0.0096815j 0.0349586+0.0184592j 0.00385011-0.00417303j 0.0133082-0.0009639j 0.0124317+0.00653168j -0.00553706+0.00104477j -0.00866218-0.0040094j 0.00207324-0.00453832j -0.00286087-0.00162065j 0.00277371-0.00189119j 
0.000276638-8.24399e-06j -0.00115315+0.000152285j -0.00176445+0.00037704j -0.00258245+0.000984428j -0.000442798-1.77773e-05j 0.00066319+0.000452816j -0.00406878+0.000556773j -0.00467368+0.000878095j -0.00869465+0.00205347j -0.00806213+0.0013886j -0.00482105+9.96511e-05j -0.0059103+0.004589j -0.00157801+0.000918896j -0.000108836+0.000836221j -0.00104519+0.000556972j 0.01228-0.00172801j -0.00854716+0.00160224j -0.00807577+0.00183857j -0.00124276-0.000974509j -0.0138957+0.000299052j -0.0157573+0.000577618j 0.00157737-0.000433276j 0.0172845-0.00790019j 0.0112301+0.000130275j -0.0468102+0.0108268j 0.00979303+0.00840997j -0.00177643+0.00195099j -0.0407029+0.00755602j -0.0260005+0.00489697j 0.0232521-0.00255134j 0.0122272-0.00081741j 0.0170387+0.00674225j 0.00599432+0.00750763j 0.0425716+0.00528316j -0.0120817-0.0014104j -0.0301635+0.00206243j -0.000841015-0.000347487j 0.0356888+0.0190412j -0.0147804-0.0112856j -0.000484096-0.00136278j -0.016113-0.0116992j 0.0025895-0.00459043j 0.0169754+0.00840519j -0.000818148-0.00847183j -0.00524507-0.000445674j -0.00251539-0.000296201j -0.00510841-0.0030113j -0.00140177-0.00139973j 0.00227031+0.00256287j -0.00248239+0.00219117j -0.00519354+0.00043968j -0.000775072-0.00194101j 
-0.00112505+0.000506128j -0.00353406+0.000372454j -0.00706546+0.00196804j 0.00427479-0.000595666j -0.00398903+0.00206505j -0.0108536+0.00478535j 0.00215139-0.00474786j -0.00571615+0.00164652j 0.00877441-0.00407351j -0.0157574+0.00495492j 0.0013678-0.00409433j -0.00809311+0.00473512j -0.00377382+0.00416642j -0.00665422+0.00278613j -0.00641419+0.00439224j 0.0119768-0.0084117j -0.0074051-0.000429146j -0.00314639+0.00311469j -0.023135+0.0114059j -0.0224241+0.00699392j -0.00178302+0.00365165j -0.0217224-0.000737641j 0.0179801-0.014166j -0.00728063-0.00507267j 0.0258166-0.00104381j 0.0266326+0.0289847j 0.00549736-0.00356457j 0.0121977+0.0105511j -0.00374321-0.00541659j -0.0136028+0.000220406j 0.0289519+0.000581545j -0.00894072-0.000873843j -0.0152584+0.00337963j -0.0106582+0.00317203j 0.0184314+0.00269675j 0.00583705+0.00124782j 0.00686831-0.0023165j -0.00722965+0.00299797j 0.00509462-0.00190317j 0.00178857+0.00188835j -0.0119969+0.00186715j -0.0314141-0.0190127j 0.00761451-0.00142906j -0.00852978-0.00511424j 0.00348445-0.000784691j 0.0115574+0.00534201j 0.0111943+0.00722807j -0.00903011-0.00215158j 0.0037429-0.00174134j -0.000458531+0.00371162j -0.00765637+0.00268651j -0.00654053-0.00225918j 
-0.00315731+0.000805142j -0.00116598-6.12801e-05j 0.00879777-0.00142434j -0.00514379+0.00253134j 0.00400053+0.00105368j 0.000854348-0.00206901j -0.00749892+0.00267638j 0.00361735-0.0012792j 0.00829366-0.00320833j 0.002423+0.00227421j -0.0129565+0.0095846j 0.00847331-0.000769388j 0.00616001-0.00119776j -0.000501157+0.00122126j 0.00312351+0.00470001j -0.0021378+0.00895499j -0.0141735+0.00504447j -0.00369269-0.000490964j -0.02386+0.00211986j 0.00418618+0.00286548j -0.00229754+0.00480353j -0.00860242+0.00295936j 0.00273668-0.0037006j -0.0329435+0.00956195j -0.0113179-0.00823476j -0.0336717-0.0266471j 0.0171168-0.00532939j 0.0281079+0.000889302j 0.0142224+0.00826548j -0.0186777-0.00542211j 0.0302705-0.00316437j -0.0100488+0.0050898j -0.00211464+0.00350164j -0.00303225-0.00637823j -0.00439636+0.00158403j 0.0157407+0.00993465j 0.00806671+0.012536j -0.00346694+0.00477507j -0.0282342-0.0060929j 0.0290476+0.00533005j 0.00484973+0.00591721j 0.00458781+0.00337454j -0.00468095-0.00064507j -0.0026793-0.0040105j -0.01492-0.00292609j -0.00476854-0.00332478j -0.00604951-0.0026942j 0.00867782+1.94753e-05j -0.00315207+0.00199944j -0.00728703-0.00651727j 0.00305219+0.00199787j -0.00470191+0.00186446j 
