0.0956069-0.160205j -0.0496627-0.0236443j -0.172614-0.000369169j 0.053379-0.0213032j 0.0947646+0.160786j -0.150306-0.057749j -0.0128971-0.0770453j 0.0400125+0.130651j -0.0409564-0.000627843j 0.0402805-0.130062j 0.013978-0.0787153j 0.149552-0.056665j -0.0367781+0.0916162j 0.0496902-0.0221771j -0.099622-0.0390548j -0.0188117-0.0324879j -0.0272681+0.0550752j -0.0122431+0.0356457j -0.0355201+0.0433234j 0.0423898+0.0383749j -0.0383823-0.0476049j 0.0312142-0.0106488j -0.0594566-0.0512464j -0.0598708+0.0500589j -0.0312294-0.0109263j 0.0395601-0.0488907j 0.0424596-0.037941j 0.0362671+0.0420139j 0.0116803+0.0329935j 0.0240652+0.0574417j 0.0186006-0.0320388j -0.0995527+0.0374789j 0.0508443+0.0231429j -0.0364227-0.090506j 
0.0384072-0.0229126j 0.145705+0.189301j 0.0113103-0.288071j -0.170791-0.0303869j 0.219242-0.166894j -0.00113469-0.00640172j -0.0170359+0.0242733j -0.0446999+0.0172574j 0.0031431-0.0208816j 0.000375014+0.00507693j -0.0126075+0.0101759j -0.0148664-0.0381373j 0.0217765+0.00428073j 0.0498949-0.00616283j -0.00198526-0.0119312j 0.0497957+0.0924983j 0.0831826-0.0235108j -0.08056+0.104812j 0.0088936+0.00756367j -0.0644898+0.0092278j 0.00242735-0.0671979j 0.0323027+0.0102213j 0.0200722+0.0084469j 0.0208086+0.00311703j 0.0908891+0.0492858j 0.0137252+0.0201072j 0.0502749-0.0495707j 4.34648e-05+0.00801679j 0.0402301-0.0227622j 0.0276707+0.0146198j -0.0295052+0.0275593j 0.0172647+0.110599j -0.00880189+0.0617883j 0.0921278+0.00416539j 
-0.216238-0.164332j -0.173015+0.0242481j -0.0127937-0.287474j 0.148366-0.190905j -0.0418265-0.0195476j -0.0146914+0.0383482j -0.0135645-0.0111603j 0.000442574+0.00550364j -0.00270451-0.0207332j 0.0439968+0.0173679j -0.0174901-0.0239727j -0.00114959+0.00709526j -0.0924469+0.00261257j 0.00646942+0.0616867j -0.0178616+0.110986j -0.0309456-0.0291151j 0.0255834-0.0122782j 0.0403009+0.0222249j -0.000167423-0.00917618j -0.0510655-0.0498033j 0.0155838-0.0204135j 0.0902987-0.0490964j -0.0203237+0.00349032j -0.0225615+0.00930343j 0.0323747-0.0101337j 0.00249899+0.0660764j 0.065312+0.0108418j 0.00775212-0.00941771j -0.0792431-0.105653j 0.0810349+0.0246319j 0.0530389-0.0909298j 0.000410298-0.0134161j -0.048616-0.00783789j -0.0230868+0.00422136j 
0.0127322-0.0138628j 0.0236842+0.0809384j -0.0281537-0.0543056j 0.263614-0.174289j -0.343496+0.0359461j -0.000374307+0.013998j 0.0259004+0.0239809j 0.0203496-0.0255631j 0.01296-0.16755j -0.12311+0.0590057j -0.0954424-0.0802414j 0.156305+0.016209j 0.00991094-0.00694011j -0.0141497+0.0213491j -0.00636814-0.0178252j -0.00758255-0.00511471j 0.0180836+0.000826569j 0.0538182-0.00874754j -0.0526864+0.0884922j -0.0190063+0.00214575j 0.123476+0.0388847j -0.0400627-0.0457345j 0.0699158-0.0518759j 0.0562279+0.132186j -0.0745041+0.0279842j -0.0104792+0.0198728j 0.0554398+0.0615267j 0.0340831-0.0424702j -0.0341989+0.00425128j 0.00382519-0.0520113j 0.0451271+0.0161211j 0.0774711+0.0203176j 0.085878-0.00889852j 0.0413175-0.117944j 
-0.0087876-0.0129585j 0.00523731-0.011492j 0.132581-0.0423975j 0.100667+0.211274j -0.0819813-0.290909j 0.0178247-0.00821327j -0.00846031-0.0666142j -0.0130776-0.0220978j -0.167816+0.0454793j 0.12996+0.134249j -0.0268957+0.112713j -0.0348858-0.186902j -0.00458303-0.0138506j 0.0285008-0.0120532j -0.0154389+0.00650079j 0.0277389+0.000152041j 0.000676288-0.0243963j -0.00842961-0.0291011j 0.0741125+0.0720584j 0.0118311+0.00942547j 0.0454304-0.0740291j -0.00789344+0.0371907j -0.00721686-0.105947j 0.107644-0.0183934j -0.0371176+0.0871592j 0.0197665+0.0421211j 0.0717535-0.0243556j -0.0331718-0.03372j -0.0109228+0.046203j -0.0403893-0.030449j -0.0141428-0.0277325j 0.0572524-0.0550887j 0.000267666-0.0423979j -0.10676-0.0376724j 
0.0852399+0.0302577j -0.162713+0.262747j -0.190086+0.204358j 0.275204-0.0612963j 0.0123013-0.162274j -0.0293108-0.0106096j -0.00859194+0.151719j -0.0968188-0.0654365j -0.103736-0.048015j 0.0242038-0.0863645j -0.152425-0.0168534j -0.0409797-0.011995j -0.0164597+0.0119087j -0.067778+0.0565408j 0.0131946-0.0224377j -0.0995325-0.0627005j -0.00179339+0.0174823j 0.0441886-0.0750579j 0.0142518+0.01801j -0.0748207-0.00843902j 0.0195904-0.0586478j -0.0586078-0.0781982j -0.0444638-0.00807029j 0.0146807-0.0605466j 0.0885905+0.0343623j 0.0273826-0.0219088j -0.00747485-0.108925j -0.0401314+0.0108661j 0.0536138-0.0691684j -0.0394575+0.0344325j 0.0727731+0.0770658j -0.0210025+0.00319006j 0.0519789-0.0956405j -0.0167325-0.00290684j 
-0.0196974-0.165533j 0.271043+0.048424j 0.189347+0.201919j -0.173033-0.265222j -0.0816854+0.0385897j -0.0437369+0.0150226j -0.147785+0.0137947j -0.0256542-0.0846542j 0.109962-0.0457865j 0.096041-0.0646207j -0.00623013-0.152184j -0.0281148+0.0151188j 0.0198817-0.00055437j -0.0509212-0.0966896j 0.0227674+0.00370907j 0.0755582-0.0735512j -0.0372787-0.0361352j 0.0511029+0.0690891j -0.0439551-0.0141769j 0.00697917-0.111007j 0.0262106+0.0244762j 0.0908408-0.0353715j -0.0142288-0.0597462j 0.0446619-0.00681525j -0.0575438+0.0753651j 0.0165994+0.0604355j 0.0734889-0.00853046j 0.0159772-0.0153877j 0.0423952+0.0771073j 0.00133513-0.0195946j -0.0995539+0.0605242j -0.0141468-0.0207025j 0.0655149+0.0571091j 0.0188813+0.0132441j 
-0.0781063+0.285138j -0.101716+0.219189j 0.132239+0.04689j -0.00427718-0.0165407j -0.00815366+0.0114566j 0.0341428-0.184783j 0.0242424+0.11657j 0.125947-0.137247j -0.170082-0.0443417j -0.0100549+0.0214487j 0.00604006-0.0692869j -0.0190569-0.00715223j -0.10674+0.0380754j -0.00192616+0.0434329j 0.0566818+0.0547696j 0.0124911-0.0293497j 0.0413351-0.0305663j 0.0115522+0.0461577j 0.0343819-0.0345603j 0.0701756+0.0229306j -0.0209577+0.0414878j 0.0374304+0.0870877j 0.107152+0.0179976j -0.00746427+0.103413j 0.00993527+0.038048j -0.045099-0.075312j 0.0129817-0.0117581j -0.0735173+0.0713745j 0.0105554-0.0301236j -0.00149284-0.0234897j -0.0282122+0.00138169j -0.016098-0.00613078j 0.0295497+0.0107882j -0.00393527+0.014757j 
0.338255+0.0301715j 0.273649+0.174034j 0.0320536-0.0516941j 0.0188032-0.0848363j -0.0147863-0.0132402j 0.151414-0.0151577j -0.0957623+0.0795123j 0.123843+0.0565967j -0.0131125-0.169578j -0.0188188-0.0238828j 0.0260867-0.0263399j -0.000631969-0.0137419j -0.0399955-0.117278j -0.0884548-0.0114116j -0.0770735+0.0189301j 0.0486323-0.0176965j 0.00315564+0.0507204j -0.0345022-0.0033369j 0.0340899+0.0442688j -0.0554451+0.0603243j -0.0101536-0.0208636j -0.074174-0.0288545j -0.0553074+0.13185j -0.066341-0.0523451j -0.0411155+0.0479727j 0.124054-0.037245j 0.0203783+0.00266647j -0.05185-0.0875435j 0.0544085+0.011962j 0.018157-0.00288679j -0.00924409+0.00556985j 0.00612847-0.0181632j 0.0149716+0.0221514j -0.0096975-0.00655185j 
-0.00445349+0.00374839j -0.00842585+0.00238888j 0.0254544+0.0015373j -0.0631833+0.0223043j -0.151128+0.341945j -0.00325472-0.0123417j -0.026034-0.00196918j -0.0394773+0.0345112j -0.0677577+0.0985387j 0.000958619-0.0703876j -0.331033-0.0188789j 0.294511+0.162857j -0.000426928+0.00391042j -0.00777145+0.000700006j -0.000410155+0.00367744j -0.00663+0.00743222j -0.014598+0.00502934j 0.00163965+0.00535277j 0.0194588-0.0189736j 0.00335758+0.00336343j 0.0132467-0.00401542j -0.00249894+0.00141537j 0.016625+0.00188713j 0.0276299-0.00569043j -0.0151559-0.0184296j 0.100486+0.00651247j -0.0071435+0.0356445j -0.0197569-0.00867718j 0.00634043-0.0744916j 0.0173747-0.0533034j -0.0487075+0.0317681j -0.00735884+0.0770845j -0.00361399-0.0249209j -0.0111313-0.0452068j 
-0.00664919+0.0058497j 0.0324868-0.0401966j 0.0171844-0.0258137j 0.0801114-0.13038j 0.408922+0.0853275j 0.0247486-0.00274139j 0.000558454-0.072348j -0.0999722-0.0180778j -0.121464+0.0187622j -0.25609-0.026314j -0.12926-0.13458j -0.150883+0.0346252j -0.0149146+0.00461052j 6.92712e-05-0.0216837j -0.0171917+0.000902146j -0.0424315+0.0101642j -0.0260707-0.00661584j -0.0114184+0.0192077j 0.0567163+0.0092379j -0.00331092+0.0199389j 0.0217409+0.0258768j -0.00734085-0.0149972j 0.0423801-0.037376j 0.00440287+0.000966662j 0.00213003-0.0494337j -0.0231852+0.0599104j -0.0487706+0.020315j -0.0363573+0.0201006j 0.140691-0.00430879j 0.0349626-0.0483111j -0.0501596-0.100604j -0.0720114-0.0242525j 0.0164894-0.10135j 0.0300376-0.0469541j 
