-0.017067+0.035507j -0.0337267-0.086864j -0.0174537-0.0652903j -0.0110618+0.0291555j 0.00048948+0.0165089j 0.00184833-0.0615457j 0.00117275-0.0210631j 0.00581399-0.0335244j -0.00439592-0.0218689j -0.0165155-0.00731254j -0.00508623+0.0194748j -0.0109054-0.0401669j -0.0389838+0.0498275j 0.09659-0.16583j -0.112405+0.0741552j 0.00623225-0.0505874j 0.0159756-0.00509112j -0.0203221-0.0255249j 0.0263375-0.0286856j 0.0136108+0.020498j 0.0125613+0.0162899j 0.0260287-0.0252076j -0.0241102+0.0168009j -0.00969511-0.00466743j -0.0124139+0.0097558j -0.0136367+0.0470043j -0.00205463+0.00963396j 0.00148365-0.0114802j 0.0292523-0.0125813j 0.00831179-0.0201995j 0.00101319+0.00987946j -0.00409464+0.0150093j -0.0102942+0.0304717j 0.015894-0.0273451j -0.0255469+0.0526794j -0.187412+0.11826j -0.0945673+0.143646j -0.017629+0.0345633j -0.0137423+0.0468434j 0.0119815-0.02589j 0.00151333-0.0191034j 0.0069611-0.00595136j 0.0110747-0.0256503j -0.0121073+0.0190689j 0.00150274-0.00626571j 0.0184409-0.029053j -0.00413806-0.00275912j -0.00772982+0.000871148j 0.00306604-0.00247038j 0.000807652-0.00196969j -0.0121963+0.0127459j 0.00296947-0.005981j -0.00597993+0.00312743j 0.00830185-0.00101571j 0.0136104-0.0154464j -0.00840517+0.00657792j -0.0029518+0.000301716j 0.000791616-0.00150753j 0.00902673-0.00407994j 0.00137777-0.00246189j -0.00407712-0.00115554j 0.00757911-0.00730838j 0.0058293-0.00477825j 0.00242832-0.000555551j 0.0038996-0.00114402j -0.00289826+0.00520814j -0.00250858+0.00332536j -0.0019117-0.00177077j -0.00359951-0.00179827j 0.00157955-0.00201082j 0.0120728-0.00655655j -0.00180689-0.0023549j 0.00659719-0.00797861j -0.00434857-0.000790457j 0.0065495-0.000992712j -0.00557695+0.00935314j 0.000747127+0.00252743j -0.0028949+0.0103957j 0.00254825-0.000492398j 0.00790437-0.00212073j -0.00253894-0.0032156j -0.0124966+0.0115647j -0.0168045-0.000484501j 0.0027498-0.00502651j 0.0247491-0.00278418j 0.0100136+0.0286503j 0.00539772+5.21834e-05j 0.00983476-0.0237368j -0.00117182+0.0147139j 0.00529971+0.0116967j 0.00974064-0.00774382j -0.0132193+0.0236225j -0.0280079+0.031162j -0.0635008+0.112691j -0.0927814+0.0484444j 
-0.0334832-0.108819j 0.00109556-0.0311589j 0.0166096-0.00666991j -0.00710864-0.077571j 0.00817033+0.00787396j 0.00876397+0.016448j 0.027908-0.0669471j 0.029544-0.00941664j -0.000490846-0.000817641j -0.0118539+0.0734499j -0.00811501+0.0339919j -0.0012386+0.012778j 0.00345062+0.0808512j -0.14583+0.0763899j -0.105192+0.17257j 0.0207023-0.00537791j -0.0085054+0.0496375j 0.0284654-0.0402948j 0.0106831+0.0247927j -0.0081504+0.0287086j -0.0125352+0.0296991j 0.00849425+0.023795j -0.00312349-0.0349172j 0.00404739-0.0159464j 0.00118853-0.0333284j -0.0291351+0.00341343j -0.0308582+0.0123927j 0.0149779-0.021506j 0.0181486+0.017439j 0.0109845+0.0187359j -0.00193281-0.029557j -0.0194747+0.0397849j -0.00166671-0.0112591j -0.0114772+0.0538618j 0.0256204+0.0231944j -0.11388+0.149836j 0.198399-0.107682j -0.00616195+0.0501441j 0.0302502-0.0525488j -0.000831006+0.011084j 0.0164877-0.0282737j 0.00759029-0.0120915j -0.0138206+0.015848j 0.00183128-0.0033629j 0.0121855-0.0202783j -0.00318738+0.000276246j -0.00112456-0.00401667j -0.00306458+0.013122j 0.0102622-0.017385j 0.000804086-0.00153121j -0.00452157+0.00219671j -0.00135701-0.00301085j 0.00891005-0.0123548j 0.00347149-0.00697171j -0.00243186-0.000295243j -0.0041755+0.00799271j 0.00509523-0.00731929j 0.000500784-0.00153841j 0.00511873-0.00881422j 0.00185837+0.00362639j 0.00142869+0.000921008j 0.00797664-0.00921612j 0.00573905-0.00327001j 0.00630446-0.00498281j 0.00753778-0.00389671j -0.00040516+0.00444529j -0.00440591+0.00582517j -0.00262113+0.00421819j -0.00281166-0.00264304j -0.00283704+0.00154141j -0.0074358+0.00660001j -0.00443216-1.79472e-05j 0.00226203+0.0038423j 0.000586177-5.12372e-05j -0.00379518-0.00488061j 0.00361375+0.0058558j 0.00368944-0.000895687j 0.000136412-0.00775197j -0.00207864+7.55599e-05j -0.0169819+0.0081117j 0.00314294+4.44262e-05j -0.00464607+0.0006793j -0.00412693+0.0120834j -0.00275845+0.00120719j -0.0108075-0.0271994j 0.0318085-0.00274676j 0.00373451+0.0248888j 0.00208812-0.00219015j -0.014449+0.00235033j -0.0106705+0.01335j 0.00922491+0.00889801j 0.0247929-0.0334528j -0.0103892+0.0223432j 0.0925659-0.0457726j -0.07026+0.118483j 
-0.0108117+0.0205144j -0.100939+0.0795096j -0.0542405-0.00135926j 0.0122492-0.0300846j 0.047359-0.0177656j -0.0194338-0.0115912j 0.0191338-0.0106236j 0.00283585-0.0559371j -0.0239723+0.00163884j 0.0235962+0.0267758j 0.0207945+0.0410775j -0.0539334-0.0180882j 0.167279-0.0413005j -0.0785208+0.228418j 0.199501+0.0691912j -0.0750245+0.00213224j -0.0180041+0.0268681j -0.0116276-0.010842j -0.0329609+0.00285138j -0.00538567+0.014284j 0.00442013-0.00195171j -0.0412087-0.00135706j -0.000621195-0.00823779j -0.0260469-0.00891593j -0.00471576+0.00359424j 0.00135288-0.00796572j -0.0107414-0.0120662j -0.000147743+0.000858282j 0.0406774-0.0265935j -0.0101042-0.00269947j 0.00908847-0.00706095j 0.0280065+0.0134394j -0.0271428+0.0116683j 0.0317021-0.04877j 0.0896475-0.0302784j 0.107786-0.00485681j 0.0138545-0.102584j 0.0309311-0.0131745j 0.0211912-0.0113095j -0.029417+0.0168036j -0.0220443+0.00120244j 0.012566-0.00312211j -0.0118667+0.00650591j -0.00267894-0.00465751j -0.00506741-0.00152328j -0.0174149+0.00490755j 0.00826754-0.00599306j -0.00227364-0.0026694j 0.00231273-0.000495029j -0.000677883-0.00443071j 0.0164449+0.00243016j 0.00499633+2.44252e-05j -0.000665182-0.00930109j -0.0017941+0.0021076j -0.0137272+0.00767334j 0.00510856-0.000923623j 0.00181263+0.000993592j -0.00356658+0.0071878j -0.00170905+0.00788016j -0.00508704-0.00272123j 0.00812454-0.00593428j -0.0068599-0.00187046j -0.00800967+0.00630002j 0.00256719-0.000877625j -0.0115475+0.00298998j 0.00735418-0.00306795j 0.00252104-0.00480123j -0.00318598-0.00355598j -0.00215491+0.00271273j -0.0122363+0.0139818j 0.00262854+0.00799041j -0.0157513+0.00477264j 0.0106154+0.0030591j 0.00211615-1.88314e-05j -0.0126807+0.0028462j -0.00401597-0.00602281j -0.0133818+0.00102641j 0.0136213+0.00882151j -0.0020857+0.00202395j 0.00167954+0.0224851j 0.00866718-0.00990093j 0.0123709-0.006847j 0.00648813-0.025554j -0.00461327-0.000620498j 0.0114846+0.00055132j 0.026705+0.000811512j -0.000703756-0.00295441j -0.0161111+0.00885752j -0.0135421+0.00700085j 0.00538143+0.00271707j -0.00919658+0.0389852j -0.0222955-0.00397784j 0.0190059+0.0174182j 0.0277579-0.0426504j 0.0370182-0.0184247j 
-0.127627+0.065326j -0.0181567-0.00355801j -0.00406999+0.0249992j -0.0216006+0.0101368j 0.0525765+0.0179403j 0.060649+0.0386996j -0.0256412+0.032135j 0.0919417+0.014051j 0.0124221+0.0116136j 0.0675921-0.00869159j -0.03884-0.00972672j 0.101192-0.0169673j 0.0695026-0.0529238j 0.223768+0.0815969j 0.0393083-0.224394j -0.0308498+0.024281j 0.0631085+0.00309954j -0.0303203-0.000121293j -0.00988294+0.0221432j -0.00831565+0.00177181j 0.0274831+0.0109061j 0.00122055-0.0100611j -0.00140428-0.0360214j 0.000304445-0.031556j -0.0333137-0.0191479j 0.00719197-0.0169213j 0.00634142-0.000786358j -0.0189677-0.00165862j 0.0043964+0.0433777j 0.0028709+0.0177222j 0.00115067-0.00875569j 0.0273823-0.00255293j -0.020762-0.0413096j 0.0845353+0.0157096j -0.0118952+0.0234028j 0.00406067-0.117288j -0.117763+0.00645384j 0.0275911-0.0137318j -0.0339635+0.0081868j 0.018533+0.00122494j -0.0226978+0.0189458j 0.00329391-0.00124858j 0.000148224-0.000447742j -0.00480046-0.00781167j -0.0209116+0.00298793j 0.00374322+0.00793778j 0.0010436+0.000936835j 0.0011436-0.00401402j -0.00449884+0.0187565j 0.00856289+0.00897443j 0.0015178-0.00409559j -0.000745987+0.00463899j -0.012381-0.00505591j 0.00213469+0.00480517j -0.00294969+0.00704479j -0.00526175-0.00440881j -0.00603339+0.00200819j -0.00209728+0.00323624j -0.00265402+0.00671205j 0.0077252-0.000473004j -0.00029565-0.00393403j -0.00115766+0.00408114j -0.0030166+0.00991248j -0.00110589-0.00100816j -0.000961046+0.00375016j 0.00626157-0.000299072j 0.0065595-0.0048039j -0.00246844+0.000914303j 0.000354142-0.000932585j 0.0107344+0.00336857j 0.0109308-0.00190552j 0.00158676+0.00159907j -0.00706647-0.00559115j -0.00732747-0.00747339j 0.00408624+0.00485515j -0.00119996+0.0029072j 0.00229085+0.0061523j 0.00485639-0.000930688j 0.00650058+0.00849736j 0.0294341-0.00800093j 0.00413568-0.00103306j -0.00347564-0.0062688j -0.0175473-0.0254626j 0.0190088+0.0164357j -0.0214798-0.0240052j 0.00517491+0.00619859j 0.0230945-0.00512926j -0.0130883+0.00538367j -0.0111213-0.00365263j 0.00538616-0.0353268j 0.0139102+0.00400033j -0.0177933-0.0159417j -0.0227471-0.00647634j -0.0356068+0.0144319j 0.0202458-0.039048j 
0.00363717-0.0188729j 0.0165038-0.0681443j -0.020939-0.0016823j 0.125813+0.0115532j 0.0221871+0.0455591j 0.0466218+0.034164j 0.0494348+0.0323844j 0.0852162+0.0373586j -0.034825+0.00702437j 0.00832085+0.0320881j -0.0386703-0.00105225j -0.0464993+0.0832508j 0.0488862+0.0418028j 0.0854394-0.139597j -0.230094-0.113715j 0.019351-0.00331338j 0.00284152-0.0128005j 0.0207703+0.00913628j 0.00824248+0.00285845j -0.0206071-0.0151726j 0.00492724+0.0162469j -0.00201414-0.0160654j 0.00301069-0.0152462j 0.00408659-0.0108979j -0.00945506-0.00971128j -0.00585891-0.0202419j 0.00289277-0.00432427j -0.000679573-0.00354201j -0.000403879+0.00956311j -0.0121087-0.00800479j 0.0268179-0.00280822j 0.00537483+0.0413884j -0.00298092-0.0378389j 0.00598683+0.0223731j 0.037145-0.0149185j -0.0606652-0.0055236j -0.0228783+0.0321306j -0.00291817+0.0104484j -0.00311633+0.00365711j 0.00451747-0.0121723j 0.0153163+0.000718127j 0.0033082+0.00391481j -0.00499329-0.00296696j -0.00760436-0.00638836j 0.00152103-0.0024987j 0.00915992-0.00205829j 0.0048051+0.00541111j -0.00834178-0.00296469j 0.015561+0.0137516j 0.0101811+0.0100696j -0.00745148+0.00181736j 0.000486093+0.00264982j -0.0017726-0.00166808j 0.00381213+0.00288044j 0.00128152+0.00250685j -0.00908979+0.00725044j 0.00444198-0.000838869j 0.000205644+0.0044089j 0.00368813+0.00314752j 0.00158318-0.00407155j -0.00248888-0.00155746j 0.00565392+0.000287087j 0.0110574+0.00450742j 0.00066467-0.00211505j 0.00209467+0.00198842j 0.00162914+0.00293673j -0.000534145-0.00495157j -0.00366115+0.00232282j -0.00288361-0.00162571j 0.0154438+0.00564313j 0.00633552-0.00511375j 0.000328315+0.00323241j 0.000872078-0.00862767j -0.00965935-0.0065091j 0.0104059+0.00269731j 0.00815349+0.0113889j -0.00608864+0.000665519j -0.0129768-0.0076026j -0.00735717+0.00948323j -0.0155483-0.0147144j 0.00377521+0.0050593j 0.00355386+0.0134377j 0.00725796+0.0025263j -0.0123929+0.00556234j 0.0169871+0.0242873j 0.0189712-0.01535j 0.00591958-0.00575835j -0.00826512+0.00907053j -0.00643916-0.0210608j -0.0205156+0.0113657j 0.0121586-0.01515j -0.0139266+0.0097059j -0.00193694+0.00779831j -0.006836+0.0216576j -0.0307011+0.0141105j 
0.0322458-0.10906j 0.0394943-0.119762j 0.122013-0.0896978j -0.0890098+0.0432599j 0.0497728+0.0211752j -0.0276431-0.0498653j 0.0562415+0.107312j -0.0401237+0.0864547j 0.0194594-0.0240787j -0.118277+0.0447214j 0.0402603+0.0286549j -0.139706-0.226881j -0.151943+0.192114j 0.125017+0.155746j 0.140995-0.096527j 0.0263182-0.0610327j -0.00516874-0.0199289j 0.0019367+0.00060168j 0.0217981+0.0276454j 0.0126565+0.0572075j -0.00121907+0.00977902j 0.0145307-0.00416836j -0.0273679-0.000926698j -0.00281448-0.0045567j 0.0176433+0.0153788j 0.017688+0.016501j 0.013329-0.0202033j -0.00861482+0.0118054j -0.0284748+0.0401941j -0.00304327+0.0144827j 0.000599622-0.0367964j -0.0503534+0.0354709j 0.0104686+0.0149229j -0.0761833-0.0165823j 0.00449347+0.107223j 0.00575169-0.0200731j -0.0558792-0.0248055j -0.0159379+0.0268255j -0.00555902+0.00478259j 0.016874-0.0139673j 0.0105152-0.0132961j -0.00779953+0.0059111j 0.0189735+0.00231563j -0.00371608-0.00528164j 0.00611331+0.00444133j 0.00664453-0.00774182j -0.00349904+0.00295348j 0.0106834-0.001956j -0.00791158+0.00518919j -0.0111757-0.00179396j 0.00457398+0.00695936j -0.00347394+0.00217529j -0.00703495-0.00462383j 0.00203007+0.00353435j 0.00829113+0.0027794j -0.00438257+0.00576426j -0.00434205+0.00347653j -0.00474242+0.0111633j -0.00306423+0.0108945j -0.00111961-0.000258144j -0.00152399+0.00440223j 0.00301901-0.00433278j -0.00385364+0.000588126j -0.00318348+0.00794966j 0.00163835+0.00375134j -0.00485107-0.0010017j -0.000627963-0.0026635j -0.00423368+0.00319872j 0.0127487+0.00188833j 0.00442018-0.00083272j 0.00223794+0.000208423j 0.00253645+0.00735956j -0.0050512-0.0119796j 0.00959409+0.00133824j -0.00437759-0.0048713j -0.00288769+0.0113179j -0.00195107-0.00798469j -0.00221162-0.00630133j 0.00802818-0.00255864j 0.00529175-0.0132145j -0.00644349-0.00335954j 0.00662898-0.007173j -0.00899752-0.00366647j -0.0117304+0.0125568j 0.0163047+0.00256347j 0.00975407+0.0218293j -0.0192151+0.0106684j 0.000550323+0.00886528j 0.0166893+0.0108554j 0.0157973-0.0165685j 0.00737346-0.0223404j -0.00397467-0.0127015j 0.0141604+0.0120027j -0.0258292+0.0367003j 0.00110833+0.00404826j 
-0.0420525+0.155362j 0.0469743-0.103238j 0.0526358+0.0425173j -0.0909766-0.00401967j -0.0438756-0.00160872j 0.0444417-0.079435j -0.0371203-0.0386028j -0.0277289-0.0530152j 0.0406405-0.00283479j 0.0159383-0.138998j -0.0565788+0.0186309j 0.302441-0.0753404j -0.112294-0.197098j -0.0334586-0.0395875j 0.0809343+0.117173j 0.0187084+0.0300773j 0.0647277-0.0577578j -0.0333072-0.000512501j -0.022519-0.00722797j -0.0197428+0.00197984j 0.00646941-0.0152631j 0.00167099+0.015253j -0.00120314-0.00420375j 0.0132218-0.0139765j -0.0259665+0.00969753j -0.0270011+0.0247296j -0.0112944-0.00602508j 0.00231939-0.000482749j -0.0439515+0.000345292j 0.00187708+0.000480963j -0.0141489+0.020172j 0.00966271-0.0239048j -0.0100194+0.0338817j 0.0391675-0.059792j -0.0752174+0.00945018j 0.0307854-0.00736851j -0.0015854+0.0132128j 0.0135889-0.0134454j -0.0170141+0.0295626j 0.0176858-0.0188556j -0.0100281+0.0157587j -0.00580391-0.00726216j -0.00512709+0.000759339j 0.00416662+0.0110232j -0.0147582+0.00986525j -0.00187171-0.00537241j -0.00652178-0.00339135j 0.00433758+0.00455703j -0.012189+0.0022458j 0.00540835-0.00352502j 0.00339697-0.00477266j -0.00116685+0.00319963j 0.0018563+0.00618719j -0.00513205+0.000562551j -0.00188649-0.000907973j -0.00427964-0.00320613j -0.00190398+0.00156652j 4.54846e-05+0.0004251j -0.00433174+0.00430316j 0.0119919+0.00446512j 0.0037461-0.000824174j 0.000900511+0.00392529j 0.000107319-0.000305397j 0.00551731+0.00392103j -0.00626973+0.00496123j 0.00766032-0.00730645j 0.00795098-0.00794278j -0.00905253-0.00756253j 0.00929651-0.00596341j 0.0064281+0.00646711j 0.0153063-0.011136j -0.00564701+0.0085938j 7.82704e-05-0.00753985j -0.0025741-0.0027023j -0.0061405+0.00959517j 0.00141992+0.00366759j -0.00383046+0.00394385j 0.00201396+0.00460592j -0.00476623-0.0114569j 0.00158334+0.00245711j -0.0162369-0.00787122j -0.0027569-0.00689584j 0.00431364-0.00287402j -0.00733185-0.00756073j -0.00531981+0.0160187j -0.0107553-0.00776117j 0.00497408-0.00684205j 0.0084602-0.00414816j -0.0104568+0.0224811j -0.00548461-0.0248114j -0.00454226+0.0097164j 0.00749073+0.0141034j -0.00781959+0.0160526j -0.014227+0.0132676j 0.0114191-0.0322189j 
0.0646111-0.0457998j 0.00899379-0.138759j -0.0181894+0.0456917j 0.00356966-0.0190718j -0.118034+0.0652007j -0.0318551-0.0203523j -0.0429506+0.0134459j -0.12504+0.0253575j -0.0663535-0.014856j -0.0702919-0.0449096j 0.00923308+0.0918011j 0.0568292-0.101283j -0.119356-0.0500281j -0.0667439+0.0179426j 0.0155+0.0911768j 0.0562296-0.0296608j -0.00940098-0.0401303j -0.00160588+0.0012292j -0.00969425-0.0168306j -0.0240797-0.0113365j -0.00757867+0.00132184j 0.0256045+0.0109783j -0.002518+0.00508462j 0.0147364+0.0100545j -0.0224175+0.00571925j -0.0119258+0.00737195j 0.0041636-0.0174929j -0.000585372+0.00152456j -0.0368815-0.0239098j 0.00206455-0.0162494j 0.0232706+0.0253307j -0.0390613+0.0075218j 0.0191462+0.0312867j 0.00793988-0.0293174j -0.0434035+0.0395545j -0.00191331+0.0196252j 0.0252026+0.0145816j -0.00913891+0.0157123j -0.00654638+0.0131216j 0.00110609-0.018172j 0.0077047-0.0124146j -0.0118146+0.00901772j -0.00332592+0.000577835j 0.0147477-0.00303302j -0.00919311+0.00169043j 0.000802797-0.0023368j -0.0122369+0.000617237j -0.00243571+0.0021698j 0.00539911+0.00120672j 0.00546426-0.00471081j -0.0107606-0.000594568j 0.00208004+0.00102866j 0.00870274-0.00434086j -0.00469058-0.00157011j 0.00234058+0.00526495j -0.00670477+0.0123828j 0.00239526-0.00162167j 0.00353237+0.0055132j -0.00526367+0.00142806j 0.00071481-0.00790957j -0.00745777-0.00603791j 0.000991348-0.00527543j 0.0154882-0.00549732j 0.00215836+0.00482157j -0.0018729-0.000762802j 0.00332525+0.00309988j 0.0108899-0.00218448j 0.000474064-0.00191759j 0.00344457-0.00404422j 0.00421019-0.00267942j -0.00228312-0.00476763j 0.00413315-0.0032639j -0.00987391+0.000777666j -0.00830542-0.00724348j -0.0011528+0.00357179j -0.00645742+0.00830352j 0.00393187+0.0055606j 0.00119559+0.00342622j 0.00435515-0.0022057j -0.00265418-0.00116448j 0.00530394-0.00465418j -0.00126031-0.0029256j 0.00964395-0.0038441j -0.00555844-0.000746497j 0.00471819+0.00788917j -0.0203485-0.00429692j -0.012221-0.00336397j -0.00182388-0.00445943j 0.0087009+0.00827437j -0.0073872+0.000736336j -0.0190098-0.00145621j 0.0215696-0.00924844j -0.0092358+0.00669073j 0.00324618+0.0184523j -0.00308376+0.00723366j 
-0.00543891+0.0823005j 0.00470714-0.0228022j -0.069584+0.121418j 0.030237-0.0342865j -0.00834673+0.0373108j -0.0247833+0.116891j -0.0561862-0.0664094j -0.114206-0.0470208j 0.180089+0.122636j 0.101197+0.0845837j 0.196223-0.242319j 0.0641238-0.139522j -0.0887878+0.164042j -0.0161278-0.16779j -0.0056328-0.0783658j 0.00824989+0.0332542j 0.0303752-0.0244526j -0.0121108-0.000994944j -0.0307194-0.0018187j -0.0137404-0.010401j 0.0022463-0.00513305j -0.00872786-0.0134255j 0.0295663+0.00546099j 0.032705+0.0106466j -0.00578613+0.00458953j -0.00387441-0.00823415j -0.0169349+0.0162854j -0.0204636+0.0186385j -0.0318495+0.0136034j 0.00577773+0.032721j -0.0285552-0.0294027j 0.00271436-0.0540942j 0.010643-0.0467961j 0.00604658-0.0152384j -0.00807506-0.0010507j -0.0383322+0.0129976j -0.0123414-0.0263232j 0.00599286-0.0127023j -0.00404539-0.00353247j 0.00102265-0.00142133j 0.000401882+0.00613625j -0.000652558-0.0020141j -0.00888446+0.0104407j 0.00425001-0.00238613j -0.00842461-0.00426236j -0.0050863+0.000322402j -0.00557574-0.000967641j -0.00390177+0.00348674j -0.00174292+0.00958849j 0.0057086+0.00720102j 0.00416902+0.00464843j -0.00157865+0.00434771j 0.00350572-0.00375848j 0.000949237+0.00411969j -0.00351292+0.00623557j -0.00383919+0.000355318j 0.00745861+0.000715685j -4.29318e-05+0.00131102j -0.00211602+0.00291534j 0.0140354-0.00401284j 0.0116737+0.00549565j 0.0114127-0.00458787j 0.00440098-0.000532358j 0.00734468-0.00542869j -0.00199356+0.00288244j 0.00234208-0.0136152j -0.0152562-0.0119075j 0.00351173+0.00465054j -0.0151186+0.0050824j -0.00331208-0.0180692j -0.00176196+0.0181726j 0.00595226-0.003148j 0.000924663-0.0078241j 0.0210519-0.00271376j 0.00489331+0.0132544j 0.00607647+0.013144j 0.004988+0.00989041j -0.0139047-0.00246707j 0.00825795+0.0021607j -0.00881436-0.0131347j -0.0132245-0.0109589j -0.00729312+0.0054803j 0.00742413-0.00744217j -0.00791194+0.0107967j -0.000216857+0.00350199j -0.000814998+0.00285934j 0.00247847-0.00947513j 0.0100189+0.0111632j -0.00810475-0.00550328j 0.0139781-0.00994292j -0.0161442-0.0266603j -0.00736464+0.00495674j -0.00242255+0.00768732j 0.00555254-0.00554234j -0.00282377-0.00542721j 
-0.0275718-0.0461406j -0.0420041+0.00367231j 0.0249707+0.0365804j -0.0282984-0.0648646j 0.0118622+0.0492597j -0.101798+0.0294296j 0.041654+0.0285183j 0.0819973-0.0624014j -0.0591022+0.103818j -0.027198+0.0342052j 0.0694903+0.186918j 0.0910208-0.056711j -0.194422-0.0659009j 0.0280539+0.040073j -0.00786049-0.0316298j -0.00314713-0.0060645j -0.0021838+0.0213704j -0.0097118-0.0153391j -0.0188736+0.00656523j -0.0229049+0.010168j -0.0213152-0.00123353j 0.00158209+0.0215653j 0.00467376+0.00108808j -0.00217363-0.0188672j -0.0303283-0.0296207j 0.0043546+0.0132609j -0.00940219-0.0352965j -0.00569726-0.0110289j -0.0151969+0.00138465j -0.0150244+0.0284411j 0.0240839-0.00900917j 0.031723+0.0176765j 0.0389805+0.0170502j 0.00972774-0.0447762j 0.00181667+0.00917911j -0.0077301+0.0246248j -0.0428169-0.021715j 0.00775568+0.0145887j -0.0014299-0.00437859j -0.00235345-0.000220286j 0.000796625-0.00512067j 0.00314668-0.00367823j -0.00373161+0.00574183j -0.00565181-0.00288678j 0.00202496+0.00286668j 0.00178214-0.000863012j -0.00300544+0.000819446j 0.00129795+0.00610678j -0.00511779-0.00614883j -0.00472006-0.00440694j -0.00390554+0.00354718j 0.00654374+0.00336301j 0.00632334-0.00404754j -0.00241255-0.00292189j 0.000915785-0.00294019j -0.00691464-0.00296652j -0.00429031+0.00105288j -0.00184228+0.00472373j -0.00385473+0.00243335j 0.0131587+0.0118294j 0.00124431+0.00462641j -0.00654533-0.00732828j 0.000623782+0.00177207j 0.00406251+0.00998169j 0.00689889-0.00834468j -0.000151397-0.00318491j 0.00480656-0.0108797j -0.0030918-0.0046245j -0.00966998-0.00764743j 0.0131598+0.00220329j 0.00592855-0.0104439j 0.00539218+0.00996267j -0.0080054-0.00166261j 0.00512253+0.00258103j -0.0107459-0.00172077j -0.0175917-0.00641518j -0.0109585-0.0128943j 0.0124655-0.00101762j -0.00117854-0.00243216j 0.015418-0.00191136j 0.00397802-0.00217819j -0.00693821-0.014007j 0.00136475+0.00657927j -0.000850417-0.0122365j 0.0337591+0.0128107j 0.00259337-0.0143482j 0.00411861-0.00282123j -0.00230337+0.00662774j 0.00975525+0.00526702j -0.0086765-0.015516j -0.00500471+0.0113435j 0.000191066+0.0122349j 0.0164332+0.0137027j -0.00505771-0.0042756j -0.00930815+0.00920739j 
-0.00102261-0.127899j 0.0325028+0.0439891j -0.129797-0.00740014j 0.14989-0.128313j -0.0213877+0.0167769j -0.126044-0.042531j -0.0904793+0.0155048j 0.0573894-0.0440759j -0.105678+0.0248413j -0.0596554+0.102139j 0.0210705+0.229084j 0.0107968+0.025539j -0.144877-0.0827248j 0.106379-0.0274619j -0.0526208-0.144755j -0.00420834-0.0224786j -0.0158794+0.0310366j 0.058407-0.00920664j 0.0168311-0.00221022j -0.020221+0.0103132j 0.0143943+0.00715672j 0.00135123-0.000549575j -0.0125877+0.0310436j 0.00356498+0.0136636j 0.00764835-0.00676244j 0.0190285+0.00320227j -0.00337384+0.0033324j -0.00807359-0.00982169j -0.0159117-0.00612472j -0.0258956+0.0111027j 0.0267515-0.0270913j 0.0540721+0.0367009j 0.0107377+0.0103023j -0.000559861+0.017739j -0.0302583-0.0132208j 0.00296756+0.0240443j -0.0135705+0.0187761j -0.00846976+0.0149197j -0.00354375-0.0178761j 0.00221132+0.00792426j 0.00799529-0.0183614j 0.00317997-0.000310584j 0.00512744+0.000149791j -0.00142303+0.00640329j 0.00248273-0.0100532j 0.00477157-0.0081376j 0.00474896-0.00907575j -0.00585099+0.00115414j 0.00200442+0.000297909j 0.0015391+0.00162306j -0.00743081+0.00542147j -0.00582089+0.00487043j -0.000305643+0.00277568j -0.000670613+0.00213367j 0.00205518+0.00061276j -0.00612024+0.00815995j -0.00193288-0.00225546j -0.00758741+0.00665086j -0.00218936+0.00777886j 0.00756831+0.0118177j -0.0033634+0.00460965j 0.00394007-0.00578734j 0.0112363-0.00157363j -0.00531219-0.00707405j 0.00198774-0.00648926j -0.00160118-0.00099044j 0.00696376-0.0101686j -0.00376399+0.00574317j -0.00228953-0.0251055j 0.00372823-0.0111368j -0.00646684-0.0162692j 0.00292886+0.0116434j -0.0169492-0.00384331j -0.010071+0.0104377j -0.00204333-0.00142648j 0.0056267-0.0133658j 0.00473188+0.00126732j 0.00216013+0.00227155j -0.00675657+0.00162828j 0.0083772+0.00254495j 0.00504155+0.00627135j 0.00308184-0.0126348j 3.1095e-05+0.00168422j 0.00102652+0.00244299j -0.0198689+0.00526993j -0.00541298+0.0143518j 0.0150022+0.0101537j -0.00179371+0.00488674j -0.00668305+0.000134577j -0.0251219-0.00244896j -0.0129137+0.0119807j 0.000500884-0.00488609j 0.00211567-0.000914034j -0.000453757-0.00219171j -0.014458+0.0201132j 
