0.0109217+0.0175942j -0.00998756+0.0295978j -0.00704892+0.0271703j -0.00268055-0.010322j 0.00353332-0.010635j 0.00179956-0.0241325j -0.00352173-0.00856945j 0.00307617-0.0209388j 0.000174154+0.00665593j 0.00188287-0.00888108j 0.00357544+0.00137905j 9.20668e-05-0.0223464j -0.0013534-0.00153887j -0.00122407+0.0112039j 0.00145429-0.00698189j 0.000470623+0.00516617j 0.00119295-0.0202706j -2.89167e-05+0.00435025j 0.00239757+0.00389766j 0.000614812+0.000493115j 0.000632779-0.00237674j -0.00232124+0.0234443j 0.00187008-0.00714143j -0.0024885-0.00819708j 0.000793069-0.000698805j -0.000241196-0.00469066j 0.00222177-0.0216493j 0.00107323-0.0236256j 0.00184288+0.0076146j -0.00399432+0.00940889j -0.000179413+0.0238062j 0.00191892-0.00944704j -0.00145235-0.0454256j -0.0042279+0.0220364j -0.00347381-0.0385839j 0.00438188-0.0130731j -0.00330323-0.0642022j 0.0058979+0.112689j 0.0102715-0.258606j 0.00528751+0.175155j 0.000948869+0.510053j 0.00243711-0.0746949j -0.00345756-0.130065j 0.00672124-0.00656313j 0.00495377+0.00940135j -0.000717812+0.0454342j -0.00899538+0.0188697j -0.00637572-0.0512366j -0.00351497-0.00544875j 0.00143812-0.00794473j 0.00514516+0.0087842j -0.00286639+0.0421084j 0.00314984+0.0138684j -0.00824843-0.0104603j 0.00144403+0.00950373j -0.00195819-0.00552804j 0.00182201+0.0152041j 0.000515508-0.0332229j 0.00182258+0.00109947j -0.00161092-0.0159752j 0.00594961-0.00759413j 0.00270079+0.00411804j -0.00445665-0.0116054j 0.000798172-0.00892115j -1.40029e-05+0.000791057j -0.00131926-0.00794207j 0.00226032-0.0100025j -0.000592324+0.00295397j 0.00583703+0.000500585j 0.00292474+0.00997464j -0.00112992-0.010412j 0.00505074-0.0118711j -0.00317006+0.00999345j 0.000144461-0.00982443j -0.00145207+0.0042977j -0.0035373-0.0108454j 0.00176967+0.00633172j 0.00353113-0.00052455j -0.00578708+0.0100236j 0.00369934-0.00809365j 0.0110677+0.0027354j -0.000166618-0.0120143j -0.0107975-0.00296007j 0.00614018+0.0165146j 0.000696311+0.0142076j 0.0293248-0.0100105j -0.00516583-0.0356573j -0.0302733+0.0314263j 0.0632472+0.0142031j -0.0114439+0.039248j 0.071805+0.00534263j 0.0188753-0.13842j 
0.00943749-0.0292519j 0.0102198+0.0268962j 0.00344501+0.0125903j -0.00701282+0.0276965j -0.00287361-8.38066e-05j -0.0052635-0.00759131j -0.00449573+0.0315424j -0.00175084-0.00175221j 0.000673529+0.0132241j -0.00231252-0.00287289j 0.0019051-0.0250489j -0.00551012+0.0182742j -0.000735184+0.00975805j -0.000223661+0.00671689j 0.000624414-0.00981081j 0.000982574-0.0126296j -0.00316693+0.000237033j -0.000242055-4.89393e-05j 0.00142427-0.0224651j 0.0016088-0.00601988j -0.000371727+0.00454593j 0.00209587+0.0118042j 0.00111977-0.00292876j -0.00291386+0.0182466j 0.00187154+0.0146352j -0.000919227+0.00446048j -0.000144398-0.00682191j -0.00329067-0.00605155j 0.00288463-0.00479285j -0.00134832+0.0312036j 0.00252145-0.030995j 0.00145384-0.013812j -0.00200693+0.00563462j 0.00265687+0.0564792j -0.00446874+0.0545256j 0.00270847-0.0132525j -0.00260215-0.119808j -0.00374159-0.108985j -0.0071487-0.253717j 0.00970309-0.195277j 0.00581092-0.126171j -0.000370181-0.471172j 0.00592275-0.016448j 0.00276336+0.127952j -0.00379744+0.0164636j -0.00840539+0.0341058j -0.00143776-0.0591135j 0.00614873-0.0207213j 0.000861973-0.0236903j 0.0021273-0.0061559j -0.00371045+0.0281026j -0.00986631-0.0070765j -0.000957835+0.00416192j 0.000680135-0.0218132j -0.00136711+0.00259855j 0.00334161-0.00559844j -0.00395234+0.00992842j 0.00655732+0.000898983j -0.000833846+0.0071598j 0.00687227-0.00519975j 0.00279397+0.0180922j -0.000897393+0.00857907j 0.0060782-0.0135481j 0.00208137-0.00283972j -0.00218497-0.00100264j 0.00299038+0.00362565j 0.00538678-0.000314098j -0.000650402+0.000213809j 0.00229945+0.0132911j -0.00322279+0.00891521j 0.0040734+0.000306259j 0.00582162+0.0143586j -0.00465986-0.00484259j -0.000686454-0.00261154j 0.00261234-0.00323321j 0.00749621-0.00832059j -0.00706914+0.00730246j 0.0012123+0.0146968j -0.00713344-0.00635549j 0.00432702-0.00469079j -0.00450548+0.0158947j 0.0128663-0.000532334j -0.00646725-0.0172224j -0.00910965-0.00528655j -0.00428868+0.0239779j -0.00323502+0.0305077j 0.0510803-0.018581j -0.016561-0.0240666j 0.0112185-0.0362519j 0.0569825+0.0145115j 0.0190087-0.129058j -0.0702564-0.00647228j 
0.00455588-0.0151971j 0.00994631+0.00633219j 0.00307355-0.0151571j 0.00333389+0.0124418j 0.000801862+0.00281549j -0.00492979+0.000354258j 0.00274968+0.0202296j -0.0035489+0.0217846j 0.00575617+0.00958566j -0.000975942-0.00291273j 0.00134162-0.0200524j 0.0019725+0.0152718j 0.00207263+0.00440402j 0.00333515-0.0112122j -0.00581643+0.00982142j 0.00120302-0.0213737j -0.0048471+0.0121214j 0.00100265-0.00634958j 0.00124778-0.0212456j -0.00131526+0.0082715j 0.00455792+0.0051958j 0.00167871+0.00107281j -0.00279497+0.0219824j 0.00498644+0.00324794j 0.00393155+0.0365878j -0.00454669+0.00334639j -0.0057396+0.0258357j -0.00440013-0.00939437j 0.00248193+0.0213668j 0.00174386+0.0056889j 0.00127306-0.0664759j 0.00136778+0.0151972j 0.0079697+0.0421652j 0.00396307+0.0863239j -0.00235189+0.095447j -0.00430394+0.1589j -0.0105698-0.00896137j 0.00474443-0.336859j -0.00375865+0.154496j -0.00313404+0.158754j -0.00324548+0.0242074j -0.00467229-0.0669539j -0.00205991+0.0251855j -0.00191867-0.00255344j 0.00346459+0.00158611j -0.00628683+0.0192765j 0.00562274-0.0111178j 0.00308994+0.0330408j 0.0128261-0.0136483j 0.0102981-0.0069037j 0.00442582+0.00850199j 0.00282881-0.0100719j -0.00505652-0.0180989j 0.00267149+0.0126345j 0.00425989-0.0102587j 0.00126668+0.00232557j -0.00247592-0.000451674j -0.00128114+0.0220076j -0.0109688+0.00636544j 0.00677007-0.00121008j 0.00917027+0.00313927j -0.0124975+0.00190048j -0.00727284-2.41425e-05j 0.00730041+0.00222807j 0.00661578+0.00113739j -0.00765543+0.0107612j -0.012889+0.00222431j 0.00423628-0.00565119j -0.00404193-0.0057265j -0.0114657-0.000492404j -0.00960804+0.00491994j 0.0063538+0.00199483j 0.0131898+0.00267406j 0.001617+0.00901881j 0.00345942-0.0229549j 0.00341129-0.00307259j 0.0162308+0.00436819j -0.0219165-0.0017513j 0.0140658+0.000910148j 0.00128538-0.00393291j -0.0291792+0.0245208j 0.0204206-0.000367397j 0.012602+0.0292006j 0.016135-0.0234879j 0.0611667-0.0061629j 0.0202712+0.0302811j 0.00569068+0.0188738j 0.0154858+0.0145389j 0.0662186+0.024747j -0.0546784+0.042976j -0.00876267-0.00975869j -0.00921903+0.0236454j 
-0.00856141-0.00234836j 0.00364041-0.014324j -0.00463766-0.0115435j -0.00133262-0.015062j -0.00104853-0.00621808j -0.00144844+0.0186787j 0.00329661-0.0152049j 0.00589245-0.00726642j 0.000676845-0.0262779j -0.00263866-0.000727869j -0.00352995+0.00575902j 0.000698182-0.0018504j 0.000595382+0.00252809j -0.00219245-0.00864295j 0.000278066-0.00410029j -0.00260264+0.0129142j 0.00127998+0.0020128j -0.00083016-0.00585451j -0.00182788+0.00580192j -0.00151581-0.00864973j 0.00127461-0.00829031j -0.000745612-0.0229901j 0.000984146-0.00542032j 0.00261158+0.0118467j 0.000100896-0.0237852j 0.000130205-0.00470482j 0.00157986+0.0101152j 0.000505247+0.0226825j -0.00114543-0.025715j 0.00745861-0.0112467j 0.00155357+0.0328015j 0.00525837+0.0087887j 0.00710281+0.107348j -0.00974935-0.0472768j -0.000374385-0.0230567j -0.0103157-0.0143166j -0.0110034+0.345799j -0.00520604-0.0436795j 0.00446685-0.103669j -0.00256581+0.11782j -0.00466366-0.0401554j 0.00357486+0.00636679j 0.000185824-0.00682134j 0.00704033-0.0305537j -0.00566716+0.0163246j -0.0061865-0.0220147j 0.000438394+0.00700671j -0.00954043-0.0102041j 0.00132074+0.0126401j -0.00430123+0.0178722j -0.00646169-0.00315225j 0.00158115-0.0021743j 0.00455451+0.00221748j -0.00485153-0.00532013j 0.00660724-0.00223089j 0.00243033-0.00493037j -0.000149345-0.0038859j -0.0083246-0.00302836j 0.000358494-0.00833136j -0.00200863-0.000707522j 0.000709588+0.000148946j 0.00154357-0.00625633j -0.00520191+0.000687312j -0.00438515+0.00976361j 0.000243561+0.00265916j -0.0089292-0.00516341j -0.00380156+0.00164477j 0.00818847-0.00432782j 0.00223439-0.00607672j -0.00309592-0.00270609j -0.00432794-0.0013812j -0.00440143-0.00295653j 0.000535183+0.00393213j 0.00508877+0.00441521j -0.00266467-0.000470463j -0.00972317+0.00228394j 0.00668417-0.00443142j 0.00755388-0.0100077j 0.0188659+0.00226375j -0.0111932+0.0180332j -0.026828-0.00685886j -0.0488972+0.0104358j -0.0213533+0.0104647j -0.00435274+0.0173386j 0.000534351-0.0397767j 0.0670539+0.00858552j 0.0487381+0.00201583j 0.0595396+0.0180097j 0.035511-0.0380374j 0.0467159+0.0187455j -0.00662683+0.0222788j 0.00408832+0.00592938j 
-0.00106845-0.00444397j 0.00320674-0.00172566j -0.00735332-0.00257529j -0.0046613-0.0107474j -0.00261462-0.0141676j -0.00603319+0.0104227j -0.000435177-0.00139471j 0.00489502-0.0154905j -0.00108728-0.0180489j -0.00234881-0.00388627j -0.00462785-0.00690186j -0.00454739+0.00462958j -0.00148556+0.00983315j -0.0048726+0.000774666j 0.0015236-0.0198083j -0.00256905+0.00441551j -0.000361567-0.0120099j -0.00147309-0.00815947j 0.000513061+0.00154499j -0.00565213-0.0271474j 0.00130136-0.00494672j -0.000622064-0.0171715j 0.00412081-0.00783376j -0.00317557+0.0338803j -0.00652825-0.0114306j 0.00392813-0.0211991j 0.00478128-0.00342858j -0.00366891+0.0027363j -0.00278993-0.0352113j 0.00484378+0.00644362j 0.00163265+0.052542j -0.000272786-0.035689j 0.00216879+0.120332j 0.00879462+0.0600059j -0.00728287-0.0446916j 0.00567317-0.311483j 0.00852378-0.00823983j -0.00568114-0.0115314j -0.00395887+0.0229063j 0.0036047+0.0199679j 0.000452509-0.0199642j -0.00105963-0.0099308j -0.00286769-0.0171241j 0.0100581-0.0223452j -0.00620302+0.0205536j -0.0115016-0.0108734j 0.000105145-0.00547164j -0.00420435-0.0151687j -0.00278773+0.00401706j -0.00379831+0.00933282j -0.00914023-0.00184154j 0.00182576-0.00742733j 0.00526954+0.00406272j 0.000301895-0.0111478j 0.000989248-0.00116998j 0.012867-0.0107384j -0.00819261+0.00094437j 0.00443202-0.000759051j 0.0150218-0.00715147j -0.0075905-0.000194841j -0.00231323-0.00169771j 0.0108549+0.00081293j -0.000213462+0.00239542j -0.00544162+0.0061931j 4.00603e-05+0.00071876j -0.0108302-0.0026081j 0.00973311+0.0120362j 0.00835171-0.00674644j 0.00160668-0.00137602j -0.00982911+0.00668853j 0.00917876+0.00434764j -0.00149574+0.00104093j -0.0133413-0.00184038j 0.00342977-0.00196422j -0.0186658+0.00902071j -0.011383+0.00217645j -0.0449638+0.00412297j 0.0303131-0.00511231j 0.0368821-0.0170996j 0.0210003+0.0262244j -0.00512923-0.00363491j -0.00982881-0.0183771j 0.0194118-0.0171299j 0.0152848-0.00571919j 0.0573348+0.00284335j -0.0288701-0.00750292j 0.0521891+0.00968865j -0.0343073+0.00863307j 0.0104988-0.0214523j 0.0171327-0.00297625j -0.000157122-0.00505094j -0.00064196+0.00687661j 
0.00120982-0.0106802j 0.00819588-0.000521813j 0.00446689-0.00367056j -0.00377521+0.0148176j -0.00642316+0.00748254j 0.000721626+0.0171075j 0.00389141+0.0143782j -0.0033538+0.00513228j 0.000325108+0.00245636j 0.00123156-0.00391695j -0.00463966-0.00829166j -0.00225994+0.0247557j 0.000347154+0.0136573j 0.00468191+0.00462044j -0.00108348-0.00253507j -0.0046513-0.00297472j -0.00480262+0.00848115j -0.00479363+0.000426245j -0.00394197-0.0235726j -0.00703344-0.014724j -0.0059949+0.01045j 0.00320049-0.00764303j -0.00249373-8.69216e-05j 0.00271393+0.0267322j 0.00316159+0.0524983j 8.34795e-05+0.0130869j 0.00681075+0.0233724j 0.00529392+0.0352021j -0.00527841-0.00329145j 0.000957223+0.0611901j 0.00519628-0.081644j 0.000317843+0.0662101j -0.00539738+0.129274j 0.00871161-0.0631865j -0.000217171+0.245948j -0.00762177-0.00570526j -0.00194098+0.00995218j -0.00118292+0.103j -0.00319911+0.0396715j -0.00203409+0.0407699j -0.00377921-0.00800137j -0.00338904-0.0147099j 0.00473658+0.0104886j 0.000766413+0.0210066j -0.00645074-0.00437172j 0.0039422-0.0154814j 0.00701683-0.00797682j -5.08504e-05+0.00370862j -0.0020898-0.00674261j 0.00491506+0.000651047j -0.00603326-0.00112639j 0.00378075-0.0103133j 0.00375504-0.00153356j 0.0120851-0.00564463j -0.016282+0.00117281j 0.00582873+0.00540406j -0.00366358-0.000932243j -0.0146894+0.0111797j 0.00629055+0.000135183j -0.00246756+0.00440608j -0.0116491+0.00414265j -0.00766947+0.00641927j 0.013615+0.00545421j -0.00209969+0.00295999j 0.00269434-0.00150557j 0.0128136+0.00142855j -0.0216746+0.0174104j 0.00688966-0.00411946j -0.00867813-0.0014699j 0.00103472-0.00428353j -0.00637934+0.00358145j -0.0323444+0.0103641j 0.00809075+0.00485172j 0.0279061-0.00486863j 0.0250842-0.0249307j 0.0157257+0.00272818j -0.0200394-0.0215391j 0.0341659-0.0168386j 0.00944031-0.00212179j -0.0536202+0.0055939j 0.0560391+0.00995688j 0.00415429+0.0193581j 0.00098946+0.0169273j -0.0396862-0.00789781j -0.0435823-0.00562715j -0.0498863-0.00779992j 0.0200801-0.0138812j 0.0264377+0.00736153j -0.00117321-0.000493131j 0.00192353+0.00156872j -0.00481707+0.000367265j -0.00425691+0.017288j 
0.00992049-0.000807061j -0.00226946+0.0130699j 0.00331363+0.0149422j -0.00179452+0.0135226j -0.000689544-0.00251329j -0.00407887-0.0120251j -0.000345409+0.0224306j -0.00210257-0.000978182j 0.00176212+0.027653j 0.00496021+0.0017455j 0.00261868-0.0144302j -0.000640198+0.00736613j -0.00276034-0.000922728j 0.002151+0.0204662j -0.00343803+0.00152676j -0.000362074-0.0241462j -0.00115536-0.00423819j 0.000228273+0.00499046j 0.00316764-0.0162058j 0.00517598+0.0101017j 0.000910035-0.00159895j 0.000816006+0.0344565j -0.000521683+0.010705j 0.00102652-0.0156695j -0.00199898+0.0493191j -0.00616037+0.0178212j 0.00194126-0.00264183j -0.0136891-0.0806419j 0.00361561+0.0515476j 0.00356252+0.0389598j -0.0016129-0.0500815j 0.00334967-0.00421908j -0.00226315-0.101452j -0.00707823+0.212966j -0.00391556+0.0691143j 0.00298716-0.0444188j -0.00320138+0.0631511j 0.00291937-0.0157266j -0.00131648+0.0359891j 0.000991241-0.0381061j 0.0036447+0.0233149j -0.00374046-0.00869871j 0.00207804-0.00749996j -0.00103318+0.0294508j 0.00032049-0.000850392j -0.00416128+0.00758421j 0.00325493-0.0159739j 0.000497075+0.00511932j -0.00384807-0.00620505j 0.00987536-0.0138512j 0.00402983+0.0059323j -0.00225041-0.00481504j -0.00963982-0.00369732j -0.00389194+0.00329699j -0.00246056+0.00594944j 0.00600642+0.00101729j 0.000177702+0.00258712j 0.000504667+0.0150471j -0.00786956+0.00899268j 0.0048007+0.0025288j 0.0100179+0.00335467j -0.00616099+0.0012448j -0.00194863-0.00528597j 0.00601724-0.00475572j 0.00286128-0.00117207j -0.000849079+0.0030193j 0.0051022-0.00216676j -0.00279318-0.00102971j -0.00254328+0.00382003j -0.0146237+0.00676274j -0.00776508-0.00177216j 0.0237673+0.00283011j 0.0258906-0.0055171j -0.00140432-0.00161054j -0.0148529-0.0175822j 0.0179995-0.00661467j -0.061315+0.0213652j -0.0168419-0.00314929j 0.0116029-0.0107454j -0.041107-0.0184094j -0.0344131+0.0133896j -0.0607409-0.00446743j -0.0634596-0.0120789j -0.00411796-0.00753985j -0.037106-0.00702255j 0.0319698-0.00178305j 0.0271536+0.00225031j -0.00630501-5.44272e-05j -0.00356739+0.0087137j -0.0150959+0.00713763j 0.00298415-0.0183595j -0.00249829-0.00307264j 
-0.00404192+0.00569413j -0.00387896-0.00430054j -0.00172978+0.0057514j -0.00251911-0.00794114j 0.00274155+0.00484341j 0.00697229+0.00382972j 0.00203449-0.0200059j 0.00578995-0.00291942j 0.00168157-0.0134377j -0.0025887-0.00587566j 0.00859779+0.0169699j -0.000338095-0.0286221j -0.00084484-0.0128257j -0.00119484+0.00491187j 0.00115145+0.0166404j -0.00130712+0.0208583j 0.00373843+0.00982399j -0.00232161+0.00546372j -0.00123338+0.00669231j 0.00864994+0.00437111j -0.00571017-0.0197648j -0.000935396+0.00802232j -0.00533043-0.0494444j -0.00575234-0.0321567j -0.000871401-0.089907j 0.002069+0.0497646j -0.00125279-0.0384921j -0.0013682+0.0158484j -0.00176136-0.0405579j 0.00226328+0.0141716j -0.00189238+0.138334j 0.0118337+0.0118077j 0.00125477-0.153398j -0.00116226-0.0443532j 0.00355168+0.091408j 0.000791641-0.0113062j 0.0066989-0.0128221j -0.000321419-0.0202362j 7.53242e-07-0.0262197j 0.00230027+0.000662944j 0.0012054-0.00222368j 0.00318855+0.0126674j 0.00199527-0.00982769j 0.00310594-0.00359228j 0.0013647-0.00691856j 0.0070615-0.00681249j -0.00375108+0.0143641j -0.0110674-0.00131707j 0.00508273+0.00405006j -0.00349962+0.0083809j 0.00647801+0.000974049j -0.0176267+0.0187703j -0.00559468+0.00698909j -0.00877324+0.000693831j 0.00450138+0.00371376j -0.0033925+0.00507817j 0.0109584-0.00108168j -0.0064977-0.0132701j -0.00493878-0.00244407j 0.00558114+0.00145963j -0.0067575+0.00385377j -0.000665299-0.00397507j 0.0059158-0.00535104j -0.000924945-0.00282061j 0.00188393-0.00374571j 0.0253503-0.00844695j 0.0148462-0.0137107j -0.0144097+0.00774753j 0.0168869+0.00710373j 0.0305575-0.00423975j -0.0088037-0.00992549j 0.00630663+0.0030782j 0.0125864-0.00946635j 0.0329775-0.014798j 0.00967316+0.0259668j 0.0314203-0.00172813j -0.0193103-0.00495967j -0.0118554-0.00226376j 0.0746478-0.00240851j 0.021712-0.00846955j -0.00341311-0.00236512j -0.0260539-0.00503971j -0.0481165-0.010909j -0.0481122-0.00296018j 0.0234894-0.00313323j -0.000510217+0.00537062j -0.00822848-0.00382956j 0.011209-0.00546409j -0.00630531-0.00630583j 0.005598-0.00929602j 0.00147306+0.00266549j 0.00292063-0.00910465j 
-0.00394715-0.00216386j 0.00248862-0.00417541j -0.00510486-0.00461919j -0.00179293-0.00755538j 0.00189609-0.00132482j 0.00348945+0.00439844j -0.00293629-0.0184993j 0.00635768-0.00381368j 0.000745736-0.0320824j -0.00835038-0.00756856j -0.00125682-0.00309116j -0.00315369-0.0157672j 0.000811449+0.00282273j -0.00202813-0.0220232j 0.00660459+0.000871623j 0.000489748+0.0238106j 0.00351675+0.00407807j 0.000501105+0.00220572j -0.00308547-0.0083663j 0.00607291-0.0118414j -0.00596794-0.0273452j 0.00141022+0.000943497j 0.00400687-0.0178785j 0.00330902+0.0312273j -0.0010828-0.122431j -0.000678567-0.0555133j 0.00301869-0.0336002j -0.00394094+0.0332981j 0.00959299-0.1266j 0.00190899+0.0423653j 0.00699918-0.0083071j -0.00102817-0.154305j 0.00678868-0.0195429j -0.000394331-0.00208032j 0.00340975-0.00574178j 0.0024799+0.00971369j 0.00557367-0.00525956j -0.0035344+0.0222304j -0.00246096-0.00466169j 0.00405946+0.0159077j 0.000202085-0.0153089j 0.000847281-0.0067963j -0.00154059+0.000564976j 0.00473496-0.0125906j 0.00014284+0.00168874j 0.00211604-0.00234372j -0.00964854+0.0123235j -0.0056326-0.00939464j 0.00546893+0.00686774j -0.0129591+0.0147165j -0.0106058+0.00293823j -0.00681702+0.00610724j 0.00578137+0.00326863j -0.00462812-0.0062623j 0.00846631-0.00396896j -0.0139064-0.00121196j 0.000721895-0.00058879j -0.00177186-0.0173202j -0.00560613-0.00710491j -0.00281896-0.00271927j -0.00695605+0.00408123j 0.00112086-0.00233464j 0.0170026-0.00248871j 0.000734851+0.00567769j -0.038091+0.0100467j 0.0130004-0.00799272j 0.00385035-0.00319137j -0.00797623+0.00586365j -0.00538857+0.00504989j -0.00318148+0.00467762j 0.0412219+0.00611955j -0.0196993+0.00615455j 0.0467787-0.00405099j 0.00385663-0.00589434j 0.0136221+0.0242441j -0.0296821+0.00349607j -0.0270721-0.000279276j 0.00306809+0.0128868j -0.0646409-0.00820232j -0.0433977+0.0024503j -0.0411138-0.0111693j 0.00687405+0.00110586j -0.000360719-0.000196549j -0.0235237-0.00129856j 0.0148735+0.00385671j 0.000769933+0.0069033j -0.016302+0.00185034j 0.000747213-0.00366302j 0.000580314-0.0107357j 0.00967134-0.00595303j -0.000482988-0.000661345j 0.000732054+5.8989e-05j 
-0.00504055+0.00124746j 0.000683922-0.00591628j -0.0058422-0.0149438j 0.00577098-0.0145522j 0.00131928-0.00865762j -0.00110486+0.00518608j -0.00165469-0.0161117j 0.000597238-0.0024287j -0.00177068-0.0149798j 0.000959019-0.00158225j -0.00402855+0.00902077j 0.000224632-0.00514226j 0.00199212+0.00577671j -0.00536814-0.0191947j 0.00211591-0.0123383j 0.00314466+0.0120235j -0.00245968-0.0195061j 0.000704067-0.0262199j 0.00160259+0.0300354j -0.00618278+0.00136332j 0.00304826-0.000767534j -0.00813561-0.0583697j -0.00110459-0.0149889j -0.00200094+0.0390265j 0.00306242-0.0276219j -0.0010747-0.116624j -0.0059842+0.0574562j -0.000953838-0.00403538j -0.00190634+0.00119218j 0.000462377-0.122453j -0.00815833+0.111774j -0.00793714+0.0604853j 0.00670338+0.0439864j -0.00209164+0.0526377j -0.00532472-0.0137951j 0.00283598+0.00868789j -0.00200546-0.0159478j -0.00190322+0.00107797j 0.00251155-0.011365j -0.000565002+0.00952775j -0.00154689-0.00589907j 0.00183113+0.0030841j -0.00717142+0.00728795j -0.000242304-0.028753j 0.000449448+0.00914635j -0.00238989-0.00270916j -0.00234229+0.00974154j 0.0011406-0.00588501j -0.00245231+0.00386948j 0.000745035+0.00316495j -0.00189657-0.00443066j 0.00872298-0.000551458j 0.0108435-0.00212637j 0.00332431-0.0025376j 0.00455822-0.00364933j 0.0040014-0.00588922j -0.00479344-0.000193903j 0.00989305-0.00590092j 0.0178589-0.00573333j 0.00282372-0.0112654j -0.00181377-0.00724544j 0.0145629+0.00223685j -0.0273927+0.00360912j -0.0162614+0.00919901j 0.0113671-0.000174024j -0.0272628-0.00642945j 0.000292709+0.00350516j -0.0051332-0.00190462j 0.0147416-0.0103515j 0.000843061+0.00233376j 0.0362819+0.0140143j 0.0356528-0.0111208j 0.00884973-0.00861923j 0.0435+0.0114064j 0.0195074+0.013363j 0.0112077-0.0123136j -0.0171905+0.000244641j -0.0804121-0.0128598j -0.0128974+0.00413359j -0.0517781+0.0071912j 0.0286336+7.85476e-05j -0.00290505-0.00706353j -0.0210165-0.0027476j 0.0369628+0.00355808j 0.00465349+0.00742603j -0.00453875+0.000753222j 0.00134449+0.00872245j -0.00933696+0.00427612j 0.00599466-0.00451718j 0.0054985+0.00208351j -0.00135177+0.00952779j 0.00147665-0.000720149j 
-0.00633764-0.000630718j 0.00283755-0.00856226j 0.00478915-0.00785898j 0.00113474+0.00339895j 0.00150396+0.0145844j 0.00508828+0.00938231j 0.00302352-0.00309455j 0.000402389+0.0187587j -0.00359723-0.00886637j -0.00220511+0.0177904j 0.00383163+0.0166961j 0.0056681+0.00160444j 0.00273937-0.0103045j -0.000622285-0.0228056j -0.00613748+0.0252599j 0.00469006+0.00730974j 0.00355359+0.035732j 0.00962119-0.0182087j -0.00513092-0.0241546j 0.00442655+0.045624j -0.00836279-0.0326408j -0.00250016-0.0492371j -0.0039855-0.00591156j -0.00067374-0.0144619j 0.00354467-0.0573336j -0.00117726+0.073866j -0.00127906+0.0991987j 0.000717461+0.0805489j -0.0044731-0.0194138j 0.00886003-0.129889j 2.48012e-05-0.0825734j -0.00107221+0.00710109j 0.000811291-0.0631087j -0.00347911-0.00128825j 0.00348682-0.0155751j -0.000583457-0.00578292j 0.000364332-0.0226434j 0.000465307+0.0151441j -0.000975163-0.0124281j -0.00180134+0.0198582j -0.00266469-0.0113607j 0.0018082+0.00807955j 0.00358573+0.0126465j -0.00390241-0.000286962j 0.00217049-0.0103623j 0.00525695-0.0038733j 0.00266361+0.00635654j -0.00259901+0.0153706j 0.00226239+0.00745816j -0.00780155+0.00185962j 0.012186-0.00678064j 0.00155531+0.00455384j -0.0152738-0.00201602j -0.004599+0.0100893j 0.0225441-0.00412813j -0.00681063+0.00511787j 0.0060851-0.00652679j 0.000668984-0.00360801j -0.0199622-0.000545894j 0.00159248+0.000489844j -0.011642+0.00297909j -0.00771698-0.00229056j -0.0349995+0.00229848j -0.00965172+0.0084317j -0.0188215+0.0037293j 0.00227519-0.00494055j -0.0278957-0.0126247j -0.0619283+0.00890189j -0.033985-0.00232929j 0.0330634-0.0176248j -0.00363746-0.000177242j 0.0420638-0.00161361j 0.00252878+0.00116977j 0.0201358+0.00471799j -0.00829927+0.00722739j 0.050178+0.00919981j -0.0166486+0.00227711j 0.00788152-0.00998331j 0.0171101+0.00421836j -0.0103638-0.00800504j -0.0184016-0.00476047j -0.0565352-0.00885065j 0.0128017-0.000321805j 0.00789209+0.0022306j 0.00627293-0.00349465j 0.00679731+0.00427341j -0.0101555+6.21842e-05j 0.00244991-0.00564717j -0.000487072+0.00115138j 0.000821535-0.00219305j -0.001913+0.00924888j 0.000375265+0.00585869j 
