-0.121883+0.140833j -0.0136784+0.0475105j -0.0457658+0.0319012j 0.108997+0.0499742j 0.0117007+0.0383222j 0.0138152-0.0540282j 0.116373+0.0951872j -0.0420141-0.126539j -0.0105259+0.0208716j -0.0896003+0.0418244j -0.016189-0.049801j -0.134103-0.117985j 0.188513-0.010229j 0.0621905-0.167287j -0.0864334+0.157636j -0.00898285-0.00476935j -0.100936+0.0733825j -0.0932909+0.000802162j 0.00805338-0.0227695j 0.0403338+0.0248927j -0.0519586+0.0152198j -0.0321885-0.0138485j -0.0144932+0.00288048j -0.00333923+0.0132101j -0.0388481+0.0209962j 0.0229655+0.0388922j 0.0118546+0.0322718j 0.0391795-0.00175846j -0.0130123-0.0505081j 0.00507436-0.0110889j -0.0113942+0.000264117j -0.0228883+0.064621j -0.0048009+0.0961572j 0.155512+0.0312864j 0.068587-0.0869641j 0.00854148-0.112448j -0.0283485+0.0491267j -0.0264443+0.000413495j 0.07059-0.0352984j 0.0356207-0.0208156j -0.0206114-0.0247824j 0.00841064+0.0226949j -0.0392217-0.00314483j -0.0192303+0.0445246j 0.0135021+0.00665455j -0.0441839+0.0319533j 0.000818754+0.00339802j 0.00916086+0.00959643j 0.0151671+0.0311288j 0.0066596-0.00509249j -0.0236624+0.00410846j -0.00310251+0.0194749j -0.0152211+0.0190914j 0.000796318-0.00385126j 0.0214334-0.0117171j -0.0121771+0.0100665j 0.00676235+0.00364579j -0.0104953-0.0101838j -0.00266675-0.0118142j -0.00566295+0.00842442j 0.00351427+0.0122059j 0.0076872-0.0114835j -0.0023812-0.00799556j -0.00245058-0.0120243j 0.00174485+0.0167241j 0.00181585+0.00444287j -0.00863002-0.00816024j -0.005357+0.00401238j 0.00929277-0.010492j 0.0156093-0.000870005j -0.0209956+0.00699372j -0.00355977+0.00652589j 0.0096164-0.00289845j 0.00198211-0.00841157j 0.00739626-0.0114728j -0.00604215-0.00055867j 0.005071-0.00728446j 0.0276372-0.0273727j -0.00712492-0.0126646j -0.00162089-0.0125055j 0.0202522+0.0100762j 0.0333116-0.0358808j -0.000641124-0.00265265j 0.000277598-0.0264347j 0.03322-0.00301256j -0.012632-0.0475912j -0.0558842+0.0257374j -0.0340404-0.0266604j 0.0434175-0.113022j -0.0167482+0.0675729j 0.0275153+0.00767118j -0.0618232+0.200858j 0.189587+0.0235482j 0.0361902-0.0350597j -0.0704301-0.112874j 
0.00164359+0.0260357j 0.142008-0.143265j 0.141223-0.0117174j 0.155972+0.024945j 0.0472748-0.0368642j 0.0519288-0.0144694j 0.0500232-0.0346864j -0.0493778+0.0201417j 0.057181-0.0088513j 0.0244479+0.0304023j -0.031759-0.0474499j -0.167325+0.172513j -0.0845804-0.109767j -0.0617626+0.186648j -0.0727459+0.175163j 0.0924553-0.0822415j -0.024386-0.0123976j 0.0177529-0.00462449j 0.083578+0.006223j 0.00605213+0.0320901j 0.00834239-0.0153304j -0.0598321-0.00378932j -0.0305511-0.0306605j 0.0087688-0.0273956j -0.00432738+0.0137466j -0.0101118-0.000617664j 0.00722588-0.00360018j -0.00318362-0.0171421j -0.00291703+0.0408463j -0.0475566+0.00111573j 0.0314564+0.0212742j 0.0423563-0.033686j 0.0547963+0.0251498j 0.0770578-0.147094j -0.128832-0.0310875j 0.014727-0.039295j 0.0191337-0.122205j 0.0618296-0.0315687j 0.0236297+0.0103649j 0.0296782+0.0025313j 0.0322363-0.0228749j 0.00346937-0.00703708j -0.00870609-0.0354523j 0.0171036-0.0251623j -0.0290149+0.00548557j -0.0121293-0.000384731j -0.00524279+0.0144736j -9.04188e-05-0.00145373j -0.00791373+0.00447881j 0.00216016-0.0131212j -0.0188869-0.0111838j -0.00434444-0.00443659j 0.028439-0.0163808j -0.00252124+0.0116244j 0.00409525+0.0122971j -0.0187164+0.00947322j -0.00898346+0.0058497j -0.00411023+0.0069644j 0.00347743+0.0157809j -0.00464569+0.00322649j -0.00151669+0.00190801j 0.0206757-0.00648561j 0.00408094+0.0118995j 0.0115643+0.0090862j -0.00114481-0.00022044j 0.00592847-0.00518068j 0.00223647+0.00602429j 0.00675777+0.00289847j -0.000577909+0.0174384j 0.00867839-0.0114745j 0.00576079-0.0188126j -0.00276329-0.00462086j 0.0174114+0.0184911j -0.00447155+0.0106615j 0.0109158-0.00827728j -0.00113628+0.00829826j 0.00454008+0.00617725j 0.0114348-0.0136628j -0.0180241-0.000506289j -0.0284949+0.046068j -0.0156819-0.0100846j 0.0181426-0.018057j 0.00399558+0.0193866j -0.00139416+0.00643107j -0.00202987-0.0338914j -0.0369276+0.0271591j -0.00124963-0.0114956j 0.0426416+0.0415489j -0.0294447-0.0760842j 0.0305332+0.0111393j 0.00707458-0.0645455j 0.170203-0.00604833j 0.114201-0.21891j 0.0699728+0.107171j 0.0339304-0.0438329j 
0.0374662-0.108889j 0.0257467-0.169077j 0.0921669-0.0518331j 0.100205+0.0295755j 0.0719398-0.0610082j -0.0859259-0.101645j 0.145712+0.0573692j -0.159662+0.0766813j 0.0130928+0.034463j 0.0710556+0.0796945j -0.0587441-0.040882j -0.141144-0.177829j -0.0681548+0.355066j -0.074412-0.00673369j 0.291548-0.0881994j 0.0231304-0.105262j -0.0247088+0.00879641j -0.0278221+0.00594503j -0.0144229-0.025572j -0.00329379-0.00494464j 0.00879164+0.000564874j -0.0177479+0.0225442j 0.0242879+0.0272514j 0.0264203+0.003735j 0.0187502+0.0119185j 0.0451151+0.0420984j 0.0116612+0.0262534j 0.0202476-0.00330262j -0.0522571+0.081896j -0.00412967-0.00854632j -0.0012668+0.0156693j 0.0530294+0.0382598j 0.0674166+0.0200328j 0.00174146+0.0815753j 0.00215616+0.0671685j -0.0588754+0.0104769j -0.0103542+0.017611j 0.00248717-0.0307517j 0.0199432-0.00608658j 0.0136387-0.0141146j -0.01749-0.0354661j 0.0150195-0.0105518j -0.0185566+0.00016718j 0.0263045+0.017535j 0.00543356+0.0158279j 0.00931576+0.0166172j 0.0147931+6.6491e-05j 0.00869045+0.00151628j 0.0322194+0.0034577j -0.0166795+0.00565291j -0.00762681-0.0042303j 0.0085962-0.0102489j 0.00885688+0.0036907j -0.0084306+0.002613j -0.00239896-0.0216922j 0.00356607-0.0208403j 0.00953847+0.000981346j -0.00351287-0.0150124j -0.0132348-0.0146502j -0.0102185-0.00805135j 0.00139392-0.00675025j 0.00335372-0.00271797j -0.0143104-0.0174392j -0.0033198+0.00525069j -0.000780978+0.00858109j 0.00499457-0.0132108j -0.00446357-0.0146028j 0.00603746-0.00111196j 0.00776819+0.00512444j 0.000733194+0.0130442j 0.00628491-0.0126502j 0.00765507-0.0175504j -0.00488172-0.00126927j -0.00262441+0.0199217j -0.00966367-0.0147491j 0.00681955+0.00518968j -0.0050739+0.00649382j 0.00765862+0.00102685j -0.00997344+0.00744949j 0.0245614+0.00576777j -0.010166-0.0175755j -0.00039992+0.0132417j -0.0312547+0.0174787j -0.0345821+0.0819179j -0.0199544+0.0222515j 0.00914885-0.00129135j 0.01046-0.013147j -0.0255994-0.0243252j -0.0626984-0.0418949j -0.0112703+0.0169637j -0.0201645-0.0259059j 0.0203708+0.00396069j 0.0245806+0.0479638j 0.0344217-0.0184787j -0.0534017-0.0351659j 
-0.0287142-0.233294j 0.00428695+0.0421546j 0.036104-0.0882718j 0.0716012-0.076924j 0.0155192+0.00599643j -0.159837+0.0156267j 0.0414343+0.0199099j -0.122104+0.113662j 0.0266472+0.00549693j 0.0797824-0.165191j -0.166576-0.00285353j 0.1183-0.0596061j 0.224632-0.205837j 0.224534+0.0661421j -0.0780234-0.0537316j -0.00749574-0.056709j 0.00105637-0.068574j 0.00307415+0.0060741j 0.00393941+0.00686436j 0.0286957-0.00181852j 0.00535233-0.0190453j -0.0191038-0.0041985j -0.00165823+0.0223377j 0.0076211+0.0182623j 0.0199969-0.00821345j 0.0115341+0.00105253j 0.00565097+0.00727692j -0.00828366-1.67306e-05j 0.0246378+0.00240482j -0.027186+0.0251485j 0.0321603+0.0128788j 0.052105-0.0751476j 0.0475341-0.00902837j -0.0183904+0.0112667j 0.0652948-0.0741629j 0.0179313-0.0263573j -0.0722676+0.0156158j 0.0158302-0.0220589j 0.012519+0.0235564j 0.0174244+0.0225627j -0.00641954-0.0160568j -0.002738-0.0116077j -0.0229708+0.0113574j 0.00200113-0.00878641j -0.00375742+0.00445626j 0.00572214-0.00925004j 0.0166843-0.00235766j -0.00432451-0.00282056j -0.000798679+0.00438119j -0.0157751+0.0102204j 0.0029085-0.00922689j -0.0107417+0.00450588j -0.00292496-0.0030194j 0.000438811+0.000663743j 0.00331601-0.000879467j -0.0132359-0.000779439j -0.0023586+0.00305426j 0.012017+0.00749812j 0.00266068+0.00480724j -0.00101386-0.00490209j 0.00570626+0.000607244j 0.00110941+0.00114879j 0.00847949+0.0137755j 0.00563393+0.00522054j 0.000822615-0.0108059j -0.00148038-0.00392977j 0.000462296-0.00184166j 0.00508235+0.000333126j -0.000607122-0.000733634j 0.00777228-0.0363968j -0.0137506-0.0253497j -0.0166248+0.0117665j 0.020903-0.00264315j 0.0067096+0.0127097j -0.0136964-0.0108753j 0.00858222+0.00857941j 0.00339629+0.00199721j 0.00750206+0.0195674j 0.0263362+0.0140148j 0.0101876-0.00735238j 0.00645611+0.0118356j 0.0324133+0.00139851j 0.0253456-0.00132814j 0.0284521+0.0280905j 0.0276508-0.00157052j 0.00688283-0.0330011j -0.00492959-0.0377858j 0.022176+0.0267708j -0.047256+0.0247528j -0.0211402-0.0346578j 0.0162062-0.0122821j 0.0166797+0.00590984j 0.00499837-0.0188863j 0.0310603+0.0225054j 0.0160208+0.00651969j 
0.0976012+0.0511815j -0.0644578-0.0954079j 0.018264+0.159978j -0.0945642+0.203194j 0.0250159-0.133096j 0.0718494-0.0433791j 0.080417-0.0110002j -0.0356142-0.0373267j -0.119279+0.021474j 0.0702363-0.0212621j 0.0200537+0.0409489j -0.0197958+0.104519j 0.0483099+0.0186641j 0.0988718+0.164152j 0.0796721+0.232851j 0.0376398-0.02465j 0.0181632+0.0290558j -0.00188317-0.0252979j -0.00428324-0.0092241j -0.0475846+0.0215307j -0.00142305+0.00405536j 0.0100621+0.0170469j -0.00807464-0.02243j -0.0119499-0.0199031j -0.0205614+0.0420972j -0.0199918+0.0342929j -0.00474895+0.000900619j 0.00159291+0.00630934j -0.0352782-0.00697689j 0.0144658-0.0141369j -0.0552689+0.00648222j 0.0157124-0.0149506j 0.0119742-0.0150147j -0.0457118-0.0351899j 0.0546919-0.0361711j -0.0151795-0.0172526j -0.0282965+0.00360177j -0.00668812+0.00550109j -0.00120428-0.0157845j -0.0152513-0.00251123j 0.0108486-0.00164667j -0.000211007-0.00153876j -0.000350058-0.0230254j -0.00891818-0.0102489j 0.00240883+0.000481037j -0.0102697+0.00850818j -0.0062299+0.0141396j -0.00252762+0.0134382j -0.00374937+0.00739131j 0.00251993-0.0208939j -0.0130445+0.0173899j 0.00532655+0.000209737j -0.00584671-0.0138572j 0.000733138+0.00779304j 0.00286855+0.0091747j -5.6168e-05+0.0100157j 0.00201355+0.0100995j -0.0151169-0.00243692j -0.00659375-0.00270661j 0.0070989-0.000222312j -0.00185926+0.000493927j 0.000253822-0.00419446j -0.0114442-0.0217924j -0.00469001-0.00274835j 0.0136484-0.00259863j -0.00033781-9.22675e-06j -0.00670397+0.0212732j 0.0156254+0.00642657j 0.0146787-0.00560255j -0.00271436+0.00102883j 0.00529439+9.9093e-05j -0.0126766-0.00986986j 0.00588691+0.00853363j 0.00480227-0.015983j -0.00388034-0.0157006j 0.000967313+0.0351251j -0.00786438+0.00383905j -0.00206946+0.0140068j 0.00291326+0.0199562j -0.00766425+0.00723966j 0.00791738+0.0190626j -0.0003231-0.012434j -0.00187822+0.0118892j -0.0131042-0.0192503j 0.0205443+0.0284968j -0.0306224+0.0188063j 0.00730922-0.0121753j -0.0100022+0.00251529j 0.00671123-0.00372964j -0.00630775+0.00993287j -0.0156267-0.0214954j -0.00376096+0.000935565j 0.0100702-0.022282j 0.00971993+0.0195867j -0.000461911-0.0147556j 
0.0238289-0.0465178j 0.0353317+0.0824095j 0.020572+0.00483523j 0.0318401-0.0246049j 0.0444151-0.0457792j -0.118973+0.0215922j 0.118421+0.0684449j 0.0970168+0.0954344j -0.0247567-0.00810142j 0.14445-0.0392769j -0.124208+0.158993j -0.0867159+0.0232074j -0.0171455-0.170254j 0.295028+0.169524j -0.220309+0.256427j 0.0145983-0.00719562j -0.0135593-0.0493862j -0.0016885-0.00250519j -0.00751303+0.0109548j -0.012415+0.00918156j -0.000889062-0.0142979j -0.0260101+0.00846375j -0.00879856+0.0073797j -0.0133383-0.000527983j -0.000242626-0.012977j -0.00122121+0.00858881j 0.00313794+0.0413097j 0.00835222+0.0323498j 0.0275606+0.0215437j -0.0108695+0.0177267j -0.00931991-0.0161658j -0.0397022+0.00784526j 0.0177264+0.000271626j 0.0196743-0.00116001j -0.0194208+0.0375182j 0.00109164+0.0106829j 0.00157586-0.00187484j 0.00595083-0.00513537j -0.00505347+0.00969084j 0.0042045+0.0123945j 0.00404752+0.00561734j -0.000185475-0.00349804j 0.00152918+0.00780663j 0.00513932-0.0111442j -0.00335756+0.000588599j 0.00252307-0.0142641j 0.00765517-0.00871803j 0.000636924+0.00172078j 0.00617628-0.00889282j -0.00750062+0.00443967j -0.0121665-0.000143829j -0.00281627+0.000271043j 0.00849042-0.0127354j -0.00296399+0.00628203j -0.0117519-0.00389031j -0.00601164-0.00278893j 0.00330806-0.00271557j -0.00217643-0.00570879j -0.00310187-0.000124052j -0.0176348+0.00699778j -0.00270832-0.00591502j 0.00676715+0.003989j -0.00497235+0.0129671j 0.000317956-0.0110371j 5.867e-05-0.0113765j -0.00318777+0.00542734j 0.00951588+0.0237991j 4.03728e-05-0.0214512j 0.0367325-0.00346264j 0.00614422-0.000949861j 0.0288779-0.0173757j 0.000759109+0.012291j 0.0164145+0.0136219j -0.0178543-0.0171547j -0.01551-0.0106532j -0.00594777-0.00638743j -0.00129605-0.00267819j 0.00427316+0.0155938j 0.0120412-0.0237537j 0.00734389-0.000590791j 0.00240847-0.00965489j 0.0114108-0.0224393j 0.00660892-0.00894317j 0.00291271-0.00163665j -0.0226621-0.0101063j 0.0132638-0.000357282j -0.0157443+0.00141029j 0.00559689-0.00256474j -0.00363829+0.011393j -0.0155489+0.00802467j -0.0210835-0.00999544j 0.0173331-0.0385471j -0.0162596-0.010898j 0.0127323+0.021783j 0.0298819+0.005378j 
0.076061+0.136985j -0.0659523-0.0296011j -0.0320553+0.0561503j 0.0126052-0.0472391j 0.028151-0.0624984j -0.0460245+0.144552j -0.120032+0.0483064j 0.0714063+0.0445591j 0.000981006-0.110456j -0.184529-0.0663449j -0.0392239+0.0138567j -0.00314512+0.0533635j -0.351677+0.0451383j -0.331268+0.217276j -0.153467-0.224419j 0.0283598+0.0704313j 0.0463868+0.0268266j 0.0151125-0.00453651j 0.00223487+0.0243132j -0.0077645+0.0138625j 0.0178005-0.00677592j -0.0239752-0.0126619j 0.0211823-0.00789548j 0.0214873-0.0118369j -0.00313663-0.00407231j -0.0176982+0.000428223j -0.0272548+0.000441438j -0.00650387+0.00368924j -0.00770374+0.00953019j 0.00111873+0.0153603j -0.00130418-0.0200935j -0.00517563-0.0171713j -0.00548555+0.021682j 0.000489287+0.0101838j 0.0140104+0.00615166j -0.00927347+0.00681708j 0.00473526+0.0135847j -0.011042+0.0157304j -0.00995123-0.00467822j -0.0226837-0.0148443j 0.00746743+0.0187664j 0.00132751+0.00653913j 0.0101459+0.00154338j -0.00544405-0.0001928j -0.00252796-0.00550034j 0.00194989-0.0129155j -0.0081385-0.0130913j -0.000301368-0.000415273j 0.000497491-0.0119309j 0.00317908+0.00543254j 0.002715-0.00428458j -0.00343037-0.000847333j 0.00288129-0.00985365j -0.00658428+0.00529561j 0.00109061+0.00538105j 0.0185389+0.00482675j -0.00704843-0.00581153j 0.0111224-0.00453741j 0.0151082+0.0160086j -0.00388966+0.0199039j -0.0173327+0.00264743j -0.00331517+0.00182438j -0.00752307-0.00112728j 0.0179954-0.00959487j -0.000213303-0.00187062j 0.0033803+0.0171257j 0.0300458+0.000924534j 0.000974077+0.00833671j -0.00564282-0.0120472j 0.00545933+0.00307703j -0.00874879-0.00275435j 0.0128924-0.00650176j -0.0083029+0.0130552j -0.00472583+0.0253565j -0.0103688-0.0124914j 0.0159732+0.00953068j -0.0104171-0.00749038j 0.00249743-0.00693133j -0.00778495+0.0198364j -0.0153299+0.0159231j 0.011789-0.00190259j -0.00375682+0.00257046j -0.0114107-0.00829651j -0.00998304-0.016192j 0.00797049+0.0176749j -0.00145167-0.00104576j 0.000895566-0.00244563j 0.00792133-0.0114116j 0.0228279+0.0180056j -0.0201523-0.0139089j 0.0139753-0.0150691j -0.0144888-0.0128081j -0.0238407+0.0254892j -0.0359852+0.00167603j 0.0157136+0.0276508j 
-0.00109046-0.108817j 0.0316164+0.107842j 0.17103+0.0213203j 0.110721-0.0408722j 0.0153303-0.127687j -0.076267+0.0206119j 0.0275338+0.00406136j -0.0135068-0.0853577j 0.0488269-0.16382j 0.157602-0.249559j -0.161718+0.0952075j -0.107589-0.249366j -0.196468+0.121157j 0.0808412+0.0315264j -0.03698-0.203156j 0.027168-0.0481361j -0.0291182-0.0777922j -0.0414867+0.00434943j -0.0155973+0.0162097j -0.0127272+0.0229873j -0.00678557-0.021224j -0.0317778+0.0209025j -0.0138959+0.00954728j -0.0178793+0.0169701j -0.03264+0.0447326j 0.0297399+0.00118649j -0.00719746+0.0101449j -0.00293447-0.0277971j 0.00273126+0.0160679j -0.0065095-0.0291872j -0.00621916-0.0208001j -0.0170461-0.0246189j -0.0308962-0.0205441j 0.018927-0.00298868j -0.0112901-0.000570313j 0.0239584-0.00544147j -0.000558481-0.0224204j 0.006975-0.0120162j 0.00691099+0.00577217j 0.0154224+0.0233822j 0.0029414-0.0115738j 0.00272397-0.00534017j -0.00632565+0.000714284j -0.00151393-0.00516142j -0.00725409+0.00615451j -0.00699076-0.00150763j 0.00851069-0.00468958j 0.0117536+0.0082375j 0.00942748+0.00793159j -0.0144682+0.00586301j -0.00923706+0.0139894j -0.0026043+0.00847263j -0.00720374-0.0039776j -0.0059084+0.00398133j 0.0032893-0.00722171j -0.0117323+0.00996125j 0.0041505-0.00657382j 0.00123234-0.00628627j -0.0100457+0.00525775j -0.00291624-0.0066575j 0.00339431-0.00969707j -0.0147536+0.0217323j 0.000410889-0.00142457j 0.0138994-0.00102584j 0.0140256+0.00151714j 0.00646773-0.0134978j -0.00296755+0.000508478j 0.00915433-0.0222424j -0.0123364-0.0207339j 0.00287816+0.0199673j 0.00465242+0.00758141j -0.0068551-0.0034747j 0.0248781+0.00758366j 0.00765114+0.00788573j -0.00589299+0.0149376j 0.00759047+0.00702948j 0.00552292-0.00593725j 0.00413513+0.0121429j -0.00789403-0.000858176j 0.012979-0.0119094j -0.00700163-0.00937678j -0.00370854-0.0105626j 0.000129801-0.00884509j 0.00113922+0.00518794j -0.00480197+0.0108053j -0.0189803-0.0113148j 0.00827333+0.00332529j -0.00156013+0.00305753j -0.0178535+0.00376638j -0.00693289+0.00613514j -0.004095-0.00052186j 0.0149633+0.00128181j 0.0153181+0.0149825j 0.0197926+0.00934765j 0.00712702-0.0114475j 
-0.0240739-0.0639307j 0.00418034+0.049023j 0.0949955+0.0343376j 0.089465+7.27422e-05j 0.078951-0.0491388j 0.00395313-0.0739771j 0.0118464+0.0926168j 0.136749+0.160713j -0.0963257+0.260401j 0.00298145-0.062261j 0.280576+0.0526296j -0.0897676+0.102696j -0.114058+0.160589j 0.0843536-0.083356j 0.130752-0.113077j -0.00791951-0.0283236j -0.019261-0.0217726j -0.0252826+0.00401647j -0.0170696+0.0119248j -0.00979054+0.0128289j -0.0181195-0.00713171j -0.0115364-0.00204464j -0.0188937-0.00833984j -0.00798744-5.46727e-05j 0.0149627+0.0116203j -0.0112207+0.0103069j 0.00757851-0.0187525j 0.0642913+0.016395j 0.0223167+0.00715747j -0.027406+0.0635381j 0.00258705+0.0422295j -0.0210499+0.00606485j -0.00847512-0.004117j 0.00654067-0.00849794j 0.00359049-0.00530356j 0.00341798-0.00815454j -0.00667562+0.0017251j -0.00454527-0.00588993j 0.00512242-0.00139754j 0.00639315+0.00368502j -0.00426329-0.00563569j -0.00310357-0.00279901j -0.00158376+0.0012203j -0.00681159+0.000814341j 0.000377903-0.000820128j -0.00755808+0.00402049j 0.00452054-0.00615957j 0.00803235+0.00467406j 0.0056649+0.00213803j -0.0112145+0.00401393j -0.0070841+0.00504046j 0.00181922-0.0015851j -0.0159732+0.00408893j -0.00472742+0.000547033j -0.000207654-0.00624129j 0.00296634-0.00042729j 0.00475863+0.00337504j 0.00535117+0.00401848j -0.0122595-0.00531469j 0.0162885+0.00214832j 0.0101487-0.00522998j 0.00235229+0.000531549j -0.00673409+0.00594508j 0.00672551+0.015215j 0.00289034+0.00807631j -0.0203016-0.013206j 0.00499312+0.0121074j 0.00869601+0.00343936j -0.00798322-0.00360668j -0.00189489+0.0200977j -0.0148594+0.0120046j 0.000174599+0.00373236j -0.0171479-0.0056243j 0.000949387-0.00356777j 0.00140989+0.00092772j -0.00520221+0.000736298j 0.00974833-0.00103203j -0.00266129-0.000460786j -0.00600924-0.00121579j 0.0016564-0.0165865j -0.00559504-0.000878838j -0.0038994-0.00335893j -0.00246707-0.00083517j -0.00391828+0.00607833j 0.00180102+0.00608821j -0.00991586-0.0032687j 0.00227748+0.00148714j -0.00635394+0.00444803j -0.000234425+0.00543375j 3.38859e-05+0.0092346j -0.00758401+0.00955142j -0.00992309-0.00347422j -0.00164319+0.0156906j 0.0134366-0.0118723j -0.00583795-0.00817178j 
-0.00819888+0.0280801j -0.0839838-0.011967j 0.0769584+0.112875j -0.107808-0.074004j -0.167051-0.115741j -0.0390844-0.250807j 0.00151788+0.033985j -0.311126+0.2295j -0.221777+0.0915015j -0.371346+0.0336867j -0.0976+0.0638189j -0.0628826-0.028102j 0.176685+0.000794404j -0.0407915+0.00757759j -0.0774047-0.126953j -0.0199884-0.00165606j 0.0280505+0.00087223j -0.00725424+0.00780875j -0.0151585+0.0234914j -0.0219794-0.020933j 0.0172677+0.0117249j 0.0202864+0.00123017j -0.0174087-0.0455732j 0.0138506-0.0270198j 0.0427497+0.00303749j 0.00310151-0.0127384j -0.0345284+0.00540316j -0.0277093-0.0105187j 0.0268405+0.025126j -0.0130939-0.00398851j -0.0135451-0.000850845j -0.0103653-0.0051832j -0.018714+0.0215447j 0.0083192-0.00781902j -0.00635429+0.0112914j -0.01093+0.0122407j 0.0123654+0.000658013j -0.0010095+0.000505254j -0.00996914-0.00724282j -0.0139198+0.00910952j -5.70499e-05+0.0131086j -0.00779297-0.00186284j 0.00280427-0.00644801j -0.00380197-0.0171374j 0.000159876-0.0151902j 0.00699611-0.00624509j -0.00211525+0.000252879j 0.00200711+0.00935618j -0.00555036-0.00487764j 0.00383208-0.00526185j 0.0026857-0.0019145j 0.00521484-0.00695911j 0.00760619-0.00941933j 0.00638773+0.00384812j 0.0163055+0.00565425j 0.00458441-0.0131333j -0.00903939+0.0166442j -0.0154447+0.000369847j -0.0145845-0.00527634j 0.00741726-0.0201383j -0.00595391+0.0118469j -0.00191391-0.0175922j 0.00172503+0.0073764j -0.00339173+5.8727e-05j 0.000620216-0.00351178j 0.0113811+0.000494904j 0.00226344+0.00819746j 0.00268487-0.00761255j 0.017095-0.0130254j 0.00810338+0.0149382j -0.0172657+0.00431985j -0.0195844+0.00380028j -0.00960489-0.0188897j -0.00614343+0.0105123j 0.00640466+0.00529159j 0.0171818-0.00876097j -0.0058034+0.00905348j -0.00353038-0.00706079j 0.00309199-0.00173723j 0.00784396-0.0172039j -0.0044551-0.00583322j -0.0077606+0.0010382j -0.00973722-0.00520182j -0.00341201+0.00114095j 0.00358207+0.00201589j -0.00847386+0.00858693j 0.00961037-0.00213705j -0.00253143+0.0044263j 0.000248775+0.00610358j 0.011668-0.0149044j 0.00851252+0.00722853j 0.0146094-0.0118037j -0.00290166-0.0207066j -0.0110947+0.000729849j -0.0073249+0.0200831j 
-0.0397537-0.0317887j 0.065071-0.00275449j -0.136915-0.0694316j 0.169628+0.0199632j -0.193101+0.152298j -0.10033-0.104648j -0.0211725-0.0363346j 0.106086+0.142806j 0.0156541-0.0417684j -0.0022969+0.266029j -0.051188+0.247005j -0.325398-0.0729248j -0.270359+0.251447j -0.00644022-0.0110421j 0.0559583+0.035274j -0.0226064+0.00128584j -0.0360368+0.00894494j 0.0164439-0.000916259j -0.0214365-0.0172011j 0.0116739-0.0114382j 0.00542597+0.00689511j -0.00348702-0.00439763j -0.0238268-0.00845723j 0.0149223+0.0070398j -0.00252557-0.0275587j 0.000930368-0.0135923j 0.0328977+0.0228097j -0.0258672+0.015959j 0.0212893-0.0246069j -0.0133109-0.0127791j -0.0127135-0.0165536j -0.0124808-0.00788626j 0.0187621-0.00035432j -0.00774361-0.00280374j 0.00635554-0.0169527j -0.00391342+0.00648793j 0.00115168+0.0101286j 0.000627277-0.000751813j -0.00148814+0.00957586j 0.0144228-0.00636819j -0.00318174-0.000271346j 0.00300348-9.69656e-05j -0.000702218+0.0131443j 0.0110046+0.0104673j 0.00460555+0.00332985j 0.0118499-0.0011591j 0.0141102+7.12737e-05j -0.00315086-0.00661671j 0.00388405+0.00282405j -0.00931483+0.00633606j 0.00297804-0.00843079j -0.00694385-0.00540366j 0.00201018+0.0131305j 0.00556547-0.0087399j -0.00118729-0.0164707j 0.00103267-0.00351412j 0.000922888-0.00185602j 0.00530512-0.00374642j -0.0142497-0.00294902j 0.00342086+0.00871243j 0.00138072-0.0028514j 0.00712552+0.0149177j 0.00490792+0.0065321j 0.0206554+0.00771402j 0.00185737+0.0101894j 0.00628778-0.0041269j -0.0244257+0.0157488j 0.0113204+0.0079274j -0.0224802+0.000572635j -0.0284586+0.0276328j -0.00814713-0.030302j 0.00131376-0.00346866j -0.0117198-0.0223123j -0.0105048+0.00598117j 0.00570193-0.00397127j 0.00731807-0.000606994j -0.00591646-0.00740217j 0.0117723-0.0110959j -0.00960795+0.00499755j 0.00696832+0.0010121j 0.00462389-0.00105155j 0.00934891+0.00645048j 0.008716-0.00199347j 0.0182779+0.0166834j 0.00138606-0.00243312j 0.0108492-0.00428242j -0.0060813-0.00689091j 0.00420159-0.00645295j -0.0136086+0.00523395j 0.00646213+0.00555234j -0.00591623+0.0115001j -0.00189915-0.00667364j -0.00904765+0.0134033j 0.00717081-0.0107126j -0.00190443+0.000434469j 
