-0.0492456+0.0222277j -0.0115982-0.0333194j 0.045798+0.0613059j 0.0330475+0.0287491j -0.012794-0.0427017j 0.00879121-0.0312169j -0.0190814-0.0875204j 0.00624242+0.0485626j 0.0142056-0.0114078j -0.00822046-0.000870547j -0.00731654-0.00618115j 0.0184408+0.0290576j -0.0188344+0.0400275j 0.040242-0.0363279j -0.00978092+0.0415681j -0.0310234+0.056099j -0.029203+0.0299846j 0.00335552-0.0106724j 0.00566896+0.0156809j -0.00614281-0.00125659j 0.00393046+0.0378784j 0.0173309-0.00176679j 0.0247519+0.0335034j 0.0780713-0.0783576j -0.0136896-0.0176015j -0.0232397+0.0256884j -0.0290708-0.0032914j -0.0355857+0.0572922j 0.000584654+0.025422j 0.0220204+0.00766005j -0.0303117-5.22431e-05j 0.009252+0.0271873j -0.0148011-0.00411439j 0.0182678+0.0208922j 0.0239978+0.0186268j -0.038946+0.0126442j 0.00576962-0.018668j 0.0269591+0.000876783j 0.00906055-0.00578603j -0.0149418+0.0285945j -0.00582875+0.0232097j -0.0155972+0.0619703j 0.00758776-0.0127862j -0.0128761-0.0370507j -0.0182278-0.036515j -0.0310268+0.0131856j 0.0175269+0.0370378j 0.0189078+0.0319765j 0.0160317-0.032954j -0.0638488+0.00335388j -0.000500161+0.0291706j -0.0252548+0.00701523j -0.00680136-0.0247448j 0.0553589-0.0935875j -0.0489288+0.0395271j 0.0273738+0.0376918j 0.0227643-0.0401976j -0.00478904+0.0127815j -0.184727-0.0417949j 0.0969145+0.160629j 0.0583228-0.0878456j -0.0455728-0.0268316j -0.148052+0.0601984j -0.0486485+0.132839j -0.00625359-0.050059j -0.0524917+0.0307417j 0.00501445-0.0522236j 0.0937659+0.0138857j -0.0873382+0.0298641j -0.02249-0.132418j 0.039767-0.0696562j -0.0346324-0.0153003j -0.147736+0.0393128j -0.0646868+0.171638j 0.188375-0.0491331j -0.17141+0.274641j -0.206233+0.12255j 
-0.0116566-0.0332756j 0.0505306-0.0221774j -0.0339533-0.025482j 0.0475118+0.0601169j -0.014667+0.0140663j -0.0190902-0.0442939j -0.0120523-0.0106469j -0.00425185-0.0917067j 0.0272522-0.043708j 0.00922472-0.0184516j -0.0251111+0.0400238j 0.0322006-0.0309227j -0.0066197+0.0724149j 0.0227066-0.0369892j -0.00723184-0.0492183j 0.00988983+0.0160933j -0.0210322+0.0107107j 0.00940773-0.0409276j -0.0012918-0.0463872j 0.00020961-0.00380581j -0.0238516-0.0144857j 0.00651473-0.0321277j 0.00348173+0.00341452j -0.0261091+0.00206769j 0.00441966+0.0347565j 0.0213797+0.0211856j 0.00395964-0.0202953j 0.0375207+0.0223609j 0.0245339-0.00634261j -0.0356336+0.0449029j 0.0220018-0.013163j -0.0243768+0.0252199j 0.0225049-0.009111j -0.00203821-0.00792574j 4.77238e-05+0.0181913j -0.0822944+0.0130134j 0.0129806+0.0238116j -0.00965048+0.0261863j 0.0281701-0.0333732j -0.051016+0.00818471j 0.00486222-0.0275191j 0.00221677-0.0182215j -0.00973827-0.011089j -0.0329806+0.0194088j 0.0622074-0.00804706j 0.0402413-0.057655j -0.0203634-0.00380494j -0.0710606+0.0264592j 0.0388232+0.00932781j -0.0234837-0.0467244j 0.00673245+0.0540857j -0.00506971-0.0339535j 0.00588351+0.0186506j 0.0863925+0.0608889j -0.0277765+0.0291841j -0.0443228+0.00649984j 0.0284532+0.00303891j 0.00542159+0.0151542j 0.0712663-0.150251j -0.155374+0.0954718j 0.108385+0.0624188j 0.0351975-0.0757224j -0.104504-0.146225j -0.0948199-0.0642292j 0.01934-0.0128863j 0.0161149-0.0772272j 0.0834805-0.0535631j 0.029579+0.0240146j 0.0485336+0.0529058j -0.0698102-0.0292492j -0.0313987+0.0773274j -0.146417+0.0803049j 0.0223719+0.101445j 0.198521-0.051507j 0.0633068-0.158826j 0.206183-0.122723j -0.17143+0.274722j 
0.0342742+0.0284767j -0.0486774+0.0473699j 0.0358805-0.00141886j -0.044089-0.0127576j 0.0371857+0.0292177j 0.060856+0.0612076j -0.00215553-0.00300855j 0.0439998-0.00449862j -0.0432936-0.0880988j -0.00718542-0.0360797j 0.0183783+0.0244299j -0.0241512-0.0098596j -0.0461019-0.0316408j -0.0335922-0.0292462j 0.0135098+0.0977792j -0.0106911-0.0197153j 0.0322756+0.0638676j -0.044987+0.0969069j 0.0192312+0.100508j 0.0126925+0.0429483j 0.0165375-0.000406506j 0.00679058-0.00954j -0.0535804-0.0167267j -0.0905535+0.0492303j -0.0617173-0.0701624j 0.0348474-0.00759226j 0.000306388+0.0510998j 0.0468315-0.100008j 0.0365843+0.0524452j -0.0564869-0.0812191j 0.0320188-0.0278831j -0.0380124+0.00684451j 0.0667283-0.0352709j 0.0711869+0.0300505j -0.0306735-0.0412167j -0.0537845-0.0376394j -0.0193279+0.0692586j -0.0462592+0.0321207j 0.0272534+0.0503627j -0.080798-0.0367605j 0.0690889+0.0235163j 0.0136748-0.0283778j 0.141217+0.0517137j -0.0429893+0.0701621j -0.0539365+0.0661336j 0.000108126-0.160426j -0.0330102-0.0138095j -0.0112507+0.0473702j -0.0806063-0.0242924j -0.0577624+0.0854441j -0.0590871-0.0450711j -0.0704284+0.0242109j -0.220281+0.00377358j 0.0330366+0.00116869j 0.0287831-0.128864j 0.0211941-0.051571j -0.158319+0.0976876j 0.0142343+0.144159j 0.016787-0.0263494j -0.0691773-0.0553123j -0.0425214-0.121863j 0.124632-0.0328015j -0.137601-0.0578788j -0.0346585-0.072321j 0.0549159-0.0937297j -0.0182075+0.110215j -0.00819403-0.000719156j 0.0831375+0.104085j 0.137934+0.0112782j 0.0573586+0.178282j 0.130772-0.22926j -0.202295-0.00465451j 0.0845009+0.0551149j -0.136655-0.0389939j -0.0136933-0.138966j 0.0752759-0.0159123j 0.0213616-0.055272j 
0.0554085-0.0639553j 0.0458065+0.0355853j -0.0357731+0.0146057j -0.015801-0.000963682j 0.0555471+0.0413411j -0.0897811-0.0153853j 0.0379959+0.0561771j 0.0454221+0.0314027j 0.0188062-0.0493472j 0.0199001+0.00717253j -0.0229148+0.0217219j 0.00557692-0.0560101j -0.0777383-0.066885j -0.0558032-0.0713402j -0.0340805-0.0658135j -0.0271213+0.0347158j -0.110413-0.0306264j 0.114361-0.0416612j -0.0255802-0.154463j 0.0311483-0.0819789j -0.0649138-0.00366926j 0.00135579-0.0126911j -0.0252984-0.0549221j 0.0241505-0.0191405j 0.0609258+0.0590694j -0.0306597+0.0198091j -0.0384772+0.0257953j -0.0671873+0.030589j 0.00643163-0.00472552j 0.0243583+0.0173676j 0.0107125+0.0119677j 0.098463+0.000728547j -0.00893052+0.015739j 0.0387147-0.130597j 0.0736138+0.0148372j 0.0233426+0.037785j 0.0648493+0.0153156j 0.0771767-0.0293199j 0.0559338+0.062773j 0.0502656-0.0362392j 0.064379+0.0202184j 0.0648671-0.00477322j 0.00581216-0.0473486j 0.0280199-0.0465927j 0.0662268+0.0226131j -0.145892-0.0360584j 0.0362984+0.00990449j 0.0405465+0.0475064j -0.0684473+0.0897256j 0.0420336+0.123032j -0.0607822+0.022929j 0.0290942+0.0612347j 0.00563921+0.18532j 0.0613533+0.114638j -0.112896-0.00376718j 0.0198439+0.0234535j 0.0193956+0.11707j 0.0862381-0.0187013j -0.0511846+0.0150838j -0.0864506+0.12632j -0.0730047-0.0217671j -0.0138745-0.0739707j -0.0894711+0.0470327j 0.0576544-0.0104651j 0.00666627+0.109101j -0.0108766+0.00967789j 0.0292245-0.0287072j 0.0432838+0.0932195j 0.0425928+0.0995763j -0.275935+0.136956j 0.202878+0.154324j 0.0335999-0.235639j -0.109673+0.0274693j 0.035563+0.144066j -0.156087-0.0349509j 0.0190482-0.0615768j -0.0757313+0.0215748j 
0.0262071-0.0218092j 0.0223103+0.0290615j -0.0186214+0.0631862j 0.033238+0.0267644j 0.0332526+0.0159569j -0.0414484-0.0313732j -0.0238808+0.0433193j -0.0244449+0.0471099j -0.0289652-0.0652931j -0.00894979+0.0154176j -0.033551+0.0039996j 0.0568198-0.0173698j -0.0791249-0.0113992j -0.116482-0.0621011j -0.0601773-0.0299057j -0.0380389+0.0782431j -0.132443-0.0153145j 0.126626-0.113097j 0.00284445-0.188149j -0.0689662-0.0355497j 0.0383071+0.0488036j -0.00847202-0.0149737j -3.86514e-05-0.000557015j 0.106357-0.0338995j 0.0962444-0.058731j 0.00998064+0.0246184j -0.0818643-0.00511611j -0.0674147+0.0268785j -0.0511028-0.0317763j -0.00945785-0.00868528j 0.00360637+0.0339153j 0.0967147+0.110177j -0.123705+0.0180176j -0.0011438-0.0782013j -0.00152741+0.0699818j 0.0845635+0.0989121j -0.0379702-0.056664j 0.033612-0.0158789j 0.00682708-0.069832j 0.0741876-0.0626043j 0.0165215-0.0702619j -0.00425542+0.0351063j -0.0318138-0.00594198j 0.0443321-0.0995267j 0.0771824-0.0387925j -0.0432529+0.0481553j 0.109875+0.0561945j -0.0198662-0.00572393j -0.0456382-0.0175137j -0.0932474+0.0255403j 0.0871858+0.160683j -0.00928037+0.0508962j 0.121512-0.0487931j -0.142221-0.0196393j 0.0748806-0.0339407j 0.0778466+0.142091j -0.0269639-0.046919j 0.0165439-0.0581605j 0.00551425+0.0685584j 0.0372644-0.0581643j 0.153642-0.155041j 0.263166+0.131377j 0.0102224-0.206284j 0.0281549-0.0206576j 0.0322449-0.0300492j -0.0590366+0.0339482j 0.0102694+0.0325343j -0.060685+0.0536166j 0.0271606+0.0214294j -0.0137466-0.0865194j -0.0523067-0.0360149j 0.00736757-0.000953074j 0.111697-0.0903818j -0.0231235+0.0145844j -0.00698106-0.0271601j -0.0099579-0.0286193j -0.000677843+0.00614614j 
-0.0642387-0.002893j -0.00616974-0.0664897j 0.037234-0.0314337j 0.0343803-0.0380906j 0.0119925-0.0384422j -0.0111566-0.0457999j -0.0175536-0.0983464j 0.0535742-0.00399061j -0.0587522+0.0256136j -0.016893-0.00313403j 0.0367652-0.0384476j -0.0411569-0.0190869j 0.0333463+0.00871147j 0.115706+0.0639387j 0.00500295-0.0468841j 0.0534728+0.00736791j 0.0830147+0.0254729j -0.0681898-0.00390547j -0.0563967+0.0713845j 0.0334733-0.00919911j 0.00847188+0.105529j -0.091568+0.0859401j 0.118493+0.0347861j -0.00582682-0.0586031j -0.103815-0.0175378j -0.0288431-0.0774668j 0.0553555+0.0369589j -0.0102653+0.0828691j -0.0844677+0.0834509j 0.200854-0.0320392j -0.0325477+0.0243517j 0.112199-0.0876276j 0.00393333+0.0635546j 0.136154+0.0662523j -0.0392542-0.0179598j 0.0273452+0.0495929j 0.0306081+0.0839428j -0.100725+0.074985j -0.0573527+0.132296j -0.0704898-0.06678j 0.00269517-0.0500486j 0.0832195-0.178342j 0.0428084-0.0916622j 0.017984+0.077709j -0.0800925-0.0677015j 0.0772887+0.0778789j -0.0555567+0.0580541j 0.0609878-0.034607j 0.0909824-0.128061j 0.124345+0.0704432j -0.0430067-0.0849186j 0.0376579+0.133415j 0.0630592-0.00118587j -0.07938-0.0737735j 0.0241064+0.0243335j 0.105639-0.0346787j 0.0758502+0.0418157j 0.059931-0.0616194j -0.0758463-0.0651007j -0.0140548-0.00600768j 0.0240922-0.0136145j 0.121217+0.0483438j -0.0130414-0.0544529j 0.120228-0.0269109j 0.0156255+0.00191394j 0.0689947-0.105254j -0.0354319-0.0877217j -0.0531929+0.100995j -0.112318-0.00843197j -0.0293561-0.042689j -0.110959+0.128876j -0.0161034+0.0623627j -0.0321701-0.143842j -0.0137176+0.0362699j 0.00661829+0.0221874j -0.0411622+0.0308261j 0.031616+0.0519926j 
0.0214198+0.00358079j -0.0116818+0.0151123j 0.0589401-0.0182457j -0.0503774-0.0222436j 0.0185957-0.0398299j -0.0776728+0.0369453j 0.0710118-0.0340684j 0.051356-0.00956517j 0.0280739+0.0559257j -0.0289765+0.000991747j 0.0917208-0.00123792j -0.055315+0.0347646j 0.0279266-0.0374994j -0.0543277-0.0253738j 0.0176352+0.072024j 0.0636672-0.0552198j 0.0122484+0.062347j 0.0812515+0.060103j 0.0254121-0.0357742j 0.0267777+0.05995j 0.0210099-0.012957j 0.0200527+0.0373781j -0.00484821-0.0589088j -0.0393602+0.0622337j 0.0110476+0.0151604j 0.0560583+0.0724549j 0.0447128+0.193453j 0.0160679+0.0338269j -0.0211664-0.00670841j -0.062392+0.159527j 0.00320064+0.163585j -0.015756-0.10028j 0.170906+0.18518j -0.0856421-0.0915397j -0.0437922+0.121119j 0.0179404-0.0782547j 0.11909+0.0692093j -0.0576559-0.0794724j 0.0600403+0.0357606j -0.0306705+0.142159j 0.0149735+0.12281j -0.0460711-0.129746j -0.0818119+0.0660007j 0.034391-0.128688j 0.00151464-0.0327968j -0.0653964-0.0532333j 0.0150315-0.178557j 0.000110003+0.0330688j 0.0630687-0.051172j -0.0257317-0.154453j 0.0151926+0.0640592j 0.0269696-0.0307965j -0.0616147+0.0952294j 0.0334969+0.0840531j 0.0117198-0.123238j 0.0355831-0.0863338j -0.0227736-0.145196j 0.0847684-0.113887j -0.0741688+0.0521911j 0.0673286+0.039731j 0.0851345-0.0365734j 0.0544016-0.0220627j 0.0787815-0.0799505j -0.0413902+0.0169451j -0.00482388+0.166929j 0.0715768+0.190944j 0.241432-0.10333j -0.128633-0.162783j 0.00750274-0.0853597j -0.0405319-0.0925953j -0.020536-0.0150483j 0.0185034+0.145379j -0.0479751-0.104361j 0.061419-0.0290031j -0.0561053+0.0368215j 0.0376683+0.0216191j 0.0230476-0.0226385j 
-0.0358896-0.05402j 0.0444915-0.0402297j -0.0519632-0.0444228j -0.024207-0.0216395j -0.0117712+0.0309173j -0.024609-0.0142537j 0.0102091-0.0316218j 0.0230562-0.0439274j 0.0282978+0.0314608j 0.0325636-0.00696472j 0.0136867+0.010415j -0.0782405-0.0558041j 0.0491107+0.0664306j 0.120531+0.0255736j -0.0131399+0.0829755j 0.0510421-0.0166258j 0.142096-0.0244883j -0.0274859+0.0639826j -0.106278+0.0706781j 0.0374744+0.128507j -0.0996671-0.0048171j -0.0839534-0.0184802j 0.0488519+0.000383817j -0.0209483-0.0492757j -0.0348086-0.00463294j 0.0192783+0.00889682j 0.0225368-0.00102247j 0.0480326-0.00436487j -0.0534927-0.0380865j 0.00803433-0.0535919j 0.146177-0.0584302j -0.110587+0.0779675j 0.0960158+0.0622401j -0.0592076+0.0754945j 0.0128923-0.0121193j -0.00334959-0.0354915j -0.122529+0.145843j -0.0371396-0.00654622j 0.178862+0.0341597j 0.00617945-0.100421j 0.0254656-0.0345316j -0.00683707-0.0459408j -0.02403-0.134535j -0.13571+0.0180635j 0.000743638+0.028475j -0.0813+0.0534803j -0.0336831-0.0203608j -0.00153772+0.0487038j 0.0194746+0.0629597j -0.241298+0.0476349j 0.068454+0.00368199j -0.124312-0.0103302j 0.0390713-0.0433533j 0.139662+0.0680421j -0.0535828+0.00369961j -0.109443+0.158356j -0.0718245+0.0103227j 0.0268539-0.092637j -0.0477651+0.0445546j 0.0823279+0.0807981j -0.0210118-0.0543811j 0.0787193+0.0207507j -0.0437848-0.028013j -0.0522716-0.0996719j -0.157675+0.033454j -0.17056+0.0640715j 0.144333+0.266305j 0.165701-0.11549j -0.0465602+0.0741605j -0.0708714+0.0238918j -0.147537+0.026582j 0.0840233-0.00942463j -0.0579403-0.0872256j 0.103412-0.0327589j 0.0813682-0.0312007j -0.00672211-0.0208755j -0.0394565+0.0170746j 
-0.00651489-0.0276016j 0.0252353+0.0021747j -0.0618435-0.0072254j -0.0354199+0.0139957j -0.0527643+0.0378512j -0.0304485+0.00295155j -0.0243917+0.018365j -0.052983+0.0155259j -0.00389157-0.00450387j -0.011002-0.0169533j -0.0407165+0.0601389j 0.123072-0.00720332j -0.0244896+0.0270509j -0.0391735-0.0247044j -0.0321823-0.0681851j 0.0100806+0.133367j -0.104025-0.133121j 0.0842593+0.0146819j -0.0498874-0.0305642j -0.0723161-0.112111j -0.140427+0.0679084j 0.00627173+0.102692j 0.178628+0.12441j 0.0837669-0.0312429j 0.0181325+0.00921287j -0.0232565-0.068368j 0.055788-0.0967689j -0.0506843+0.0161743j -0.0529771-0.0115258j 0.0829071-0.0354829j -0.0358236-0.0738223j 0.00675598-0.0816963j 0.0346905+0.0250293j -0.00820189+0.0956255j -0.0649512+0.104965j -0.11425+0.143885j -0.15553-0.0856625j 0.046238-0.273884j 0.0735867+0.0199196j 0.120629+0.129294j -0.0637685+0.00073119j -0.0531371-0.0593244j -0.0805433-0.021968j -0.0345536+0.0120491j -0.0654156-0.0740454j -0.0302355+0.0413799j -0.110948+0.0665334j 0.253028-0.0368861j 0.021009-0.169067j -0.0236454-0.0435956j 0.040435+0.0550529j 0.0604212-0.0131841j -0.12971+0.00269195j -0.0811318+0.0826604j -0.0457692-0.0424754j -0.134847-0.131145j 0.00268907+0.0433411j -0.133742+0.0266725j -0.0844028+0.012651j 0.0417243-0.0704533j -0.0181991+0.0228907j -0.071577-0.0515354j -0.0332878-0.0430069j -0.121056-0.165985j -0.0877783+0.0454889j -0.0514039+0.140166j 0.0382465+0.047412j 0.0223412-0.0703551j 0.049855+0.0681109j 0.0637375+0.0531942j 0.0137455-0.0698727j 0.018668+0.0542676j -0.0450343+0.0371479j 0.0169237+0.0329681j 0.00785632-0.0179643j -0.00904713-0.0283803j -0.0463617+0.0101801j 
-0.00630325-0.0316153j 0.0169257-0.00572633j 0.00513964-0.012314j -0.0364704-0.031444j 0.00339548+0.0157336j -0.00125238+0.00519693j -0.0365552-0.0263526j 0.0618562+0.0235595j 0.0367774-0.0031059j 0.0173749+0.000340618j 0.0607359-0.0391822j -0.111784+0.00758395j 0.0429517+0.0159803j 0.0336311+0.00502666j 0.0177337+0.0269637j 0.0601001+0.0058439j 0.10291-0.103249j -0.0515411+0.0660121j -0.00804169+0.0840112j -0.0403428-0.0223595j -0.0766788+0.0274697j 0.0623505+0.0014415j 0.032891-0.00647731j -0.0910943-0.050809j 0.0530639-0.018637j -0.174504-0.0780204j -0.0212946-0.121838j -0.141357+0.0424421j -0.0763449-0.0694687j -0.00357774-0.0238877j 0.139204+0.00487675j -0.0138005+0.0678063j -0.116617-0.0163346j -0.0130253-0.00176293j 0.1621-0.0904661j 0.0094691+0.0299296j -0.113562+0.024698j -0.109827+0.0202882j 0.00116624-0.0595465j 0.118304+0.100726j 0.0303792+0.077229j 0.0266501+0.00803548j 0.0786311+0.0414523j -0.0898617-0.00433074j -0.121913+0.0484461j -0.117372+0.00689133j -0.0118707+0.151584j -0.199917+0.114694j 0.0272188-0.0531236j 0.0888679-0.0375165j 0.0132209+0.002635j 0.00561733-0.0487393j 0.0430471-0.0321816j -0.162082-0.0164571j -0.0311093+0.0205223j -0.0693228+0.0701358j 0.0325877+0.0100396j 0.0192525+0.0825934j 0.12912-0.0581858j -0.0975945+0.0991866j -0.00117477-0.0449685j -0.0721775-0.0136617j 0.112786+0.104555j 0.0092682+0.0219351j -0.0691811+0.0400411j 0.0422323+0.00669602j 0.096095-0.00423889j 0.0332867+0.0179216j 0.0583133+0.00609918j -0.0491962+0.0132899j -0.0309563+0.0154215j 0.0819336-0.0109152j -0.0319517+0.00667554j 0.0294522-0.00727276j -0.0581458+0.042674j -0.00259943-0.00171444j 0.00943471+0.00681049j 
-0.0342125-0.0203704j 0.00382016-0.0194566j -0.00355156-0.00638235j 0.0600904-0.046919j 0.0415118-0.048171j 0.0292004-0.0928021j -0.0433898-0.0448799j -0.00916405-0.0981225j 0.0183247+0.00444406j 0.00302559-0.011883j 0.0167699-0.0198146j -0.0142288-0.0240936j -0.0147137-0.0664074j 0.101929+0.000322775j 0.00609162+0.0384102j 0.058273+0.0360605j -0.0606084+0.0553808j -0.0516385+0.00613593j 0.0505634+0.0793394j 0.0840577+0.0454172j 0.0209852-0.00948691j -0.0489643+0.0777724j 0.00215439-0.0424865j 0.0405172-0.0413421j -0.00106963-0.0150454j 0.0362011-0.0515865j 0.0389201-0.0420851j 0.019252-0.000401979j -0.0177316+0.0166582j 0.0810728+0.187192j -0.144746+0.0881076j 0.0310355-0.0712855j -0.0551939+0.0456449j 0.169642-0.0221044j -0.0614305-0.023036j -0.0258162+0.0424028j 0.0200671+0.00868169j -0.0446664+0.0271915j -0.00847807+0.133625j 0.0520065+0.0288013j 0.0377552+0.143481j -0.0452667-0.0978173j -0.0910747+0.062773j -0.0482543-0.0285273j 0.0143173-0.0530696j -0.00511222+0.0665421j 0.0198987-0.0450375j 0.178764-0.0101621j -0.0108022+0.0422607j -0.154794-0.0458731j -0.125622+0.00617613j -0.0841653-0.0276652j -0.0311271+0.0769083j 0.0449369+0.0687383j 0.0242306-0.0609291j 0.0272298+0.00846456j 0.0876776+0.0459574j 0.00738789+0.0527556j -0.0450815-0.0555675j -0.00222103-0.0655981j -0.0152201+0.0548725j -0.168052+0.0729119j -0.059317+0.0683696j 0.0293088-0.0272808j 0.0439099+0.0141972j 0.0311766-0.0364176j -0.0537512+0.0490388j 0.0302978+0.0362698j 0.0136126-0.0376985j -0.0588048-0.0095094j 0.0726157+0.0496386j -0.030188-0.0787821j -0.00184094+0.0239038j -0.0317399+0.054545j 0.0345567+0.00249432j -0.0467216-0.0115803j -0.0244439+0.0288508j 
