0.69955-0j -0.721838-0j 0.119053-0j -0.00214833-0j -0.0850694-0j 0.00923986-0j 0.0510089-0j 0.0073625-0j -0.0372179-0j -0.00537194-0j 0.0640156-0j -0.00124034-0j -0.000179027-0j -0.0520942-0j -0.00751915-0j 
0.0751445-0j -0.0744358-0j 0.261915-0j -0.489371-0j 0.4123-0j 0.145109-0j 0.00547929-0j -0.0751323-0j -0.0038379-0j 0.0526255-0j -0.0105826-0j 0.00601146-0j -0.0824295-0j -0.00537194-0j 0.0736604-0j 
0.0744358-0j -0.0706653-0j -0.294561-0j 0.484352-0j -0.408071-0j -0.0306982-0j -0.00520607-0j 0.071386-0j -0.0110855-0j 0.152005-0j 0.00223877-0j 0.00620298-0j -0.0850557-0j 0.00531684-0j -0.0729049-0j 
-0.00394047-0j -0.00443162-0j 0.136682-0j -0.119034-0j 0.0496158-0j -0.105613-0j -0.000287326-0j -0.183181-0j -0.000228494-0j -0.145674-0j -0.000165658-0j 0.000723413-0j 0.461204-0j -0.000319825-0j -0.203901-0j 
0.0273003-0j 0.0307032-0j 0.00996801-0j -0.00868096-0j 0.00361841-0j 0.000165658-0j -0.189112-0j 0.000287326-0j -0.15039-0j 0.000228494-0j -0.109033-0j 0.476136-0j -0.000723413-0j -0.210502-0j 0.000319825-0j 
0.0510089-0j 0.0504857-0j 0.00868096-0j 0.000150255-0j -0.00620298-0j 0.00067374-0j 0.338921-0j -0.000514937-0j -0.752388-0j 0.00114314-0j -0.443441-0j 0.00859192-0j -1.30541e-05-0j 0.360861-0j -0.000548271-0j 
-0.0073625-0j -0.00728698-0j 0.119034-0j 0.00206031-0j -0.0850557-0j -0.429535-0j 0.000514937-0j 0.328292-0j -0.00114314-0j -0.728794-0j -0.00067374-0j 1.30541e-05-0j 0.00832248-0j 0.000548271-0j 0.349544-0j 
0.0429755-0j 0.0425347-0j 0.00361841-0j 0.00620298-0j -0.00971863-0j 0.000186564-0j -0.297695-0j 0.000452301-0j -0.208343-0j 0.000316545-0j -0.122793-0j 0.659616-0j -0.00100218-0j -0.29162-0j 0.00044307-0j 
-0.00620298-0j -0.00613936-0j 0.0496158-0j 0.0850557-0j -0.133262-0j -0.118942-0j -0.000452301-0j -0.288359-0j -0.000316545-0j -0.201809-0j -0.000186564-0j 0.00100218-0j 0.63893-0j -0.00044307-0j -0.282474-0j 
