-0.531589-0j 0.270872-0j -0.260325-0j -0.014309-0j 0.295552-0j 0.157758-0j -0.0231268-0j -0.364379-0j -0.0346902-0j 0.171042-0j -0.0396459-0j 
-0.513687-0j -0.0539424-0j -0.201287-0j -0.21844-0j 0.281997-0j 0.235562-0j 0.0723832-0j 0.0965414-0j -0.104143-0j -0.266266-0j 0.124085-0j 
0.070516-0j -0.471991-0j 0.0765513-0j -0.666394-0j 0.173655-0j 0.00914509-0j -0.0877417-0j 0.127549-0j 0.384094-0j -0.00339751-0j -0.150414-0j 
-0.301037-0j -0.299383-0j 0.109609-0j -0.0626857-0j 0.176468-0j -0.329718-0j 0.494171-0j 0.15342-0j -0.151973-0j 0.184386-0j -0.173683-0j 
0.0165226-0j -0.0607502-0j -0.316861-0j -0.302617-0j -0.198463-0j 0.326336-0j -0.489102-0j 0.151973-0j -0.144275-0j 0.190261-0j 0.171902-0j 
-0.0987018-0j -0.226376-0j -0.127549-0j 0.0759865-0j -0.243067-0j 0.00438617-0j 0.122813-0j 0.521019-0j -0.537619-0j 0.00475553-0j 0.210536-0j 
-0.0179139-0j -0.0686687-0j -0.117718-0j -0.0672673-0j -0.110985-0j -0.190261-0j -0.10872-0j -0.164771-0j -0.163081-0j 0.804081-0j -0.186378-0j 
