-0.00850517-0j -0.00122762-0j 1.00335-0j -0.00124034-0j -0.000103361-0j -0.00434118-0j -0.00044307-0j 0.103465-0j -9.04413e-05-0j -5.3293e-06-0j -0.00429666-0j -0.000438526-0j 0.102404-0j -8.95137e-05-0j -5.27464e-06-0j 
-0.142834-0j -0.0206163-0j 0.00124034-0j 0.979008-0j -0.00261288-0j 0.00076742-0j -0.01496-0j -0.00601146-0j 0.144291-0j -0.00017994-0j 0.000759549-0j -0.0148065-0j -0.0059498-0j 0.142811-0j -0.000178095-0j 
-0.000125293-0j -0.24481-0j -0.000103361-0j 0.00261288-0j 0.947872-0j -6.39516e-05-0j -6.52704e-06-0j 0.00152418-0j -0.0180357-0j 0.20191-0j -6.32957e-05-0j -6.46009e-06-0j 0.00150855-0j -0.0178507-0j 0.199839-0j 
0.00744203-0j 0.00107416-0j 0.000125293-0j 2.21489e-05-0j 1.84574e-06-0j 0.695907-0j -0.000371862-0j -0.000607249-0j -7.59061e-05-0j -4.47281e-06-0j -0.718079-0j 0.00038371-0j 0.000626596-0j 7.83245e-05-0j 4.61531e-06-0j 
0.145074-0j -0.000109631-0j -1.27877e-05-0j 0.000431767-0j -1.8838e-07-0j 0.000371862-0j 0.685014-0j 6.19771e-05-0j -0.0014797-0j 4.56504e-07-0j -0.00038371-0j -0.706839-0j -6.39516e-05-0j 0.00152685-0j -4.71048e-07-0j 
-0.00124034-0j 0.0170076-0j 0.00298615-0j 0.0001735-0j 4.39902e-05-0j 0.000607249-0j 6.19771e-05-0j 0.68022-0j -0.00120185-0j -0.000142384-0j -0.000626596-0j -6.39516e-05-0j -0.701892-0j 0.00124014-0j 0.000146921-0j 
-0.014729-0j 0.0988455-0j 2.61027e-06-0j 0.00416445-0j 0.000520537-0j -7.59061e-05-0j 0.0014797-0j 0.00120185-0j 0.663569-0j -0.00254065-0j 7.83245e-05-0j -0.00152685-0j -0.00124014-0j -0.684711-0j 0.00262159-0j 
-9.13595e-06-0j -0.0359533-0j -1.53812e-07-0j 5.19335e-06-0j 0.00582743-0j 4.47281e-06-0j 4.56504e-07-0j -0.000142384-0j 0.00254065-0j 0.642161-0j -4.61531e-06-0j -4.71048e-07-0j 0.000146921-0j -0.00262159-0j -0.662621-0j 
