-0.00405032-0.00889987j -0.0723927-0.101724j 0.0196776-0.107283j 0.0126889-0.0338165j -0.0164156+0.0368687j -0.00775156+0.0526394j 0.00202822-0.0131176j 0.0898676-0.0651962j -0.00399252-0.00150934j 0.0135431-0.00668947j 0.0233523-0.0196686j -0.0440849-0.0024181j -0.054238+0.00511215j 0.00468105-0.00335523j 0.0115827+0.00173864j -0.0183002-0.0016966j 0.0065031-0.0113591j -0.0519664-0.020452j 0.0139845-0.0174385j -0.00633606+0.00030333j -0.0235718+0.0116617j 0.0145286-0.00777531j -0.0314865-0.0283686j 0.0162137+0.00314701j -0.00712692-0.00237962j -0.00677445-0.0479897j -0.0459189-0.0194675j 0.00377027+0.0120529j 0.0132192-0.0124382j -0.00704123+0.017351j 0.0122089-0.0248908j 0.0374366+0.0170141j -0.0722593-0.0383928j -0.0394589-0.0139384j -0.0657533-0.0150748j 0.00726133+0.00524349j -0.00908857+0.000743561j 0.044652-0.0129047j 0.0352647+0.0242343j 0.0131025-0.00994332j -0.0357315-0.132907j 0.113615+0.061482j -0.0989204+0.164202j 0.11192+0.0188609j -0.0235133+0.134468j -0.0397449-0.0489952j 0.177024+0.0175574j 0.0200729+0.042956j 0.0206304+0.0628762j -0.145598-0.00536708j -0.0386807-0.0212097j -0.161033-0.128991j 
-0.0809127-0.112583j 0.0151341+0.0287872j 0.000962565-0.0198888j -0.0321888+0.112047j -0.00507776-0.0168027j 0.0184365-0.00678789j -0.0684996+0.0788996j -0.0134271-0.0156306j -0.0296107-0.0109779j 0.0165667-0.00643989j -0.00541501+0.0183955j -0.0751513+0.0289289j 0.0441668-0.00337905j 0.0122146-0.0107154j -0.0138615+0.0171706j 0.0251489-0.00679062j -0.025521+6.60226e-05j -0.0387006+0.0208613j -0.00696794-0.0125453j -0.0583492+0.0154974j -0.00685295+0.0208253j 0.00319276+0.0178406j -0.00810959-0.00033997j -0.0351868-0.00598577j -0.00555248+0.0137043j -0.00476699-0.0452621j -0.0354469+0.00789294j 0.00364247+0.000223392j -0.0332315-0.0231757j 0.0670901+0.0303611j 0.000321703+0.018223j -0.0291381+0.00610446j 0.0177558+0.0276491j -0.0273319-0.0257929j 0.0187422+0.077363j 0.0245455-0.00308608j -0.0199759+0.0107646j -0.0333177-0.0311814j 0.0301066-0.00600659j 0.0392121-0.022946j -0.0849266-0.0483143j 0.0125963-0.196236j 0.134839+0.0543064j 0.0740709-0.116682j 0.11282-0.0034415j -0.142416+0.0636874j -0.0191908-0.0943626j 0.0888379+0.0619578j 0.122787-0.0477026j -0.0263722+0.0809702j 0.179868+0.129614j -0.0186475-0.0518712j 
-0.143331-0.0137464j 0.0418998+0.00688763j -0.0186618-0.0390025j 0.00541473-0.0149699j 0.0032395-0.0301899j 0.010852-0.0743689j 0.000423326+0.00132219j 0.00785623-0.133669j 0.0619343-0.0102541j -0.00170111+0.00883614j -0.0840636+0.0918378j -0.0405753-0.0265158j -0.0856681+0.0657598j 0.0138971+0.0644278j -0.0500467-0.00117764j 0.0157418+0.0242345j -0.0257176-0.0211971j -0.0670447+0.074657j 0.0348962+0.0340124j -0.0772697+0.0426306j -0.0116746+0.0362324j -0.0713152-0.0350214j 0.0370331-0.0484588j -0.014366+0.0420991j -0.0029747-0.0190929j 0.0701318+0.00960821j -0.0164055-0.0188755j -0.0312979-0.0291901j -0.00701636+0.00772466j 0.0394038+0.076883j -0.0271744-0.0355392j 0.0193086-0.114919j -0.0825617-0.0222412j -0.00348624-0.0270536j -0.0784148-0.047048j -0.0151412+0.0231959j -0.0437473+0.095078j 0.0276188-0.00956418j -0.155839-0.0589012j -0.0112453-0.189472j 0.0996356-0.0399342j -0.0475295+0.0973947j 0.0933102-0.0276548j 0.014317-0.0698296j 0.0621952-0.0705887j -0.0567718-0.00561329j 0.0360128+0.0176659j -0.180324-0.182716j 0.025197+0.0773254j -0.0498351-0.171409j 0.135356-0.417319j -0.314782+0.0132213j 
0.0205288+0.0133578j 0.118767-0.0011383j -0.0233628-0.004833j 0.0433291+0.0232649j 0.02373+0.060707j -0.00792751-0.149155j -0.013284-0.00705091j 0.0167462-0.0476345j 0.00921454+0.0612946j 0.0339762-0.0460085j 0.012404+0.0208099j -0.0306089-0.0148734j 0.014397+0.00136928j -0.0291467+0.0222443j 0.0165133+0.00969465j 0.0012409+0.00807852j 0.00082517+0.0142994j -0.014599-0.00359686j -0.0657395+0.0129778j 0.0407468+0.0276896j 0.132104-0.0222524j 0.0020058+0.0406849j -0.0708887-0.00570409j -0.034037+0.0078286j -0.0503476+0.0524903j 0.0215995-0.0773579j -0.032394+0.0258623j -0.00719067+0.0794434j -0.0236116-0.0304841j 0.0438099-0.0178076j 0.0145344+0.0696804j -0.05624-0.0528314j 0.0432474+0.126258j -0.0842799+0.0907845j 0.0848217-0.051817j 0.073893-0.0473952j 0.043592-0.0343575j 0.00468946+0.00628858j 0.00298433+0.0975456j -0.227824+0.0454572j 0.010008-0.111581j 0.115025+0.123448j -0.0536682-0.0861918j -0.065147-0.202063j 0.0553849-0.0485418j -0.0188685+0.013779j 0.0135321+0.136336j -0.131466+0.173917j 0.0225771+0.0692205j -0.101975+0.0749807j 0.303775-0.00249294j 0.0754553-0.413858j 
-0.047614+0.0123499j 0.0119527+0.0454644j 0.0731079+0.0447485j -0.0493744+0.00456742j -0.0777913-0.0767722j 0.0503404+0.122761j 0.0317209+0.0367841j 0.0206436+0.058508j -0.0677825+0.0172289j -0.00842363-0.005471j -0.0205106-0.0627448j 0.0474422+0.0240349j -0.00726599-0.0302557j -0.0548199-0.0485522j 0.0298031+0.00958634j -0.0178421-0.0595069j 0.0256576+0.000318915j -0.0664705+0.0342881j -0.0366159+0.0496391j 0.0128943-0.0799817j -0.0308942-0.0280442j 0.0444905+0.0226931j -0.00842572+0.0475913j -0.00345411-0.0332035j 0.0319879+0.0142364j -0.0914271+0.0115525j 0.00612673+0.015068j -0.00934863-0.0351866j 0.00807835+0.0577479j 0.0289347-0.00110867j -0.0799404+0.0263043j -0.0396001+0.0293643j -0.0222638+0.118466j -0.0266414+0.0867698j 0.13704+0.065475j 0.038289-0.0408091j 0.120523+0.097409j -0.176176-0.0593929j -0.0816007-0.234409j 0.122097-0.14368j 0.0459554-0.0950006j 0.134068+0.142522j -0.0311147-0.0284062j 0.0633051-0.0849084j -0.106712-0.00906546j -0.0455706+0.0451806j -0.0174689+0.0511302j -0.105298+0.205101j -0.410688+0.123249j 0.135073+0.322865j 0.00531574-0.115605j -0.0306431+0.0915977j 
0.0734068+0.0391904j -0.0423732-0.00919496j 0.0144194+0.00481987j -0.0829709-0.098409j -0.0662553-0.0508441j -0.0310512-0.0759492j 0.0395958-0.00016303j 0.0196139-0.0455695j -0.0310158-0.0671964j 0.0493496-0.0295063j -0.0318724+0.0373413j 0.0410102-0.0207445j -0.0295685-0.0302871j 0.0500957+0.0545382j -0.0251947-0.0359858j -0.00189016-0.0965977j 0.0184318+0.00230253j 0.0541311-0.0590294j 0.0465675-0.0608061j 0.0631019+0.0583286j 0.0192998+0.00491286j 0.0708638+0.0224191j 0.0057786-0.0116938j 0.0320536+0.0155305j 0.0387621-0.0587781j -0.00114664+0.00579803j 0.10853-0.0408406j 0.0301282-0.0124121j -0.0642179-0.0308896j 0.0411888+0.0352996j -0.000867716+0.0869158j 0.11843-0.00799031j 0.158379+0.102191j -0.142147-0.0784336j -0.0741587-0.128163j -0.0517655-0.00222167j 0.210292-0.0710639j 0.127642+0.179241j -0.113587+0.0242895j 0.0721929-0.207228j -0.0490232+0.0157004j 0.0305741-0.0419993j -0.0058414-0.042107j 0.0818229-0.0306607j -0.0350466+0.0384325j -0.0940483+0.0459256j 0.0305237-0.0617687j 0.170835-0.0279759j -0.0600183-0.0639308j -0.159372-0.11099j -0.101009-0.0871267j -0.0822761-0.0377285j 
-0.0656307-0.0137094j -0.0991908+0.0196631j 0.00485611-0.0475928j -0.0366331-0.000921283j -0.025077+0.0081952j -0.0242745+0.0182104j -0.0300309-0.0200021j 0.0444198+0.0091748j -0.0347586-0.0111941j 0.0385534+0.075977j 0.0643803-0.0610596j 0.0512794-0.0215919j 0.036659-0.046833j -0.0577328+0.0245126j 0.0695835-0.0940248j -0.0546193-0.000159285j 0.0118884-0.0265253j 0.0118882-0.0336772j -0.0866146+0.0807882j 0.031657-0.0468646j 0.000377014-0.0447901j 0.0740827+0.0176057j -0.0155207+0.0196423j -0.0381085-0.0189714j -0.0693432+0.0758709j -0.0391893-0.000638997j -0.09608+0.0211025j -0.0111372+0.110077j -0.0108612-0.0355227j 0.0396481-0.0615515j -0.00129431-0.0260247j -0.0868661-0.0408265j 0.069096-0.00777258j -0.0297311+0.112152j -0.208962+0.0547519j -0.0671055+0.0407824j -0.128379-0.294116j 0.157609-0.0704749j 0.035965+0.0932238j 0.0599795-0.155006j 0.0426151-0.0494831j -0.0266461+0.100905j 0.134555-0.0548282j 0.00906318+0.0499025j 0.0668742+0.0156258j -0.165493+0.170466j -0.160121+0.0188424j -0.0789478+0.144331j -0.0884333+0.297789j 0.131548+0.0730779j 0.0570993-0.0059402j -0.105627+0.0185397j 
-0.0640858+0.0438765j 0.0177463-0.0139864j -0.0134712-0.0367486j -0.127856+0.0318786j -0.0938203-0.0289936j -0.00381841+0.044786j 0.0341349+0.030458j 0.00499835-0.0438787j -0.0219366+0.0645923j 0.00509029-0.0376948j -0.0790826-0.0699956j 0.053207-0.00629298j 0.0342522+0.0153538j -0.051459+0.0210473j -0.0202169-0.0300813j -0.0146906-0.0644792j 0.00987366-0.0101976j -0.0258184+0.0644509j 0.0118194+0.113094j -0.0265591+0.00896948j -0.0431664-0.0281917j -0.0738265+0.0849181j 0.032204-0.0335758j -0.0212146+0.0285542j 0.00920762+0.0734909j 0.136383+0.0347416j 0.0609165-0.0172501j 0.0725691+0.0375154j 0.00753652+0.0923963j -0.0902522+0.00589416j -0.146085+0.148488j 0.0497408+0.0224558j -0.0357081-0.010251j -0.0168938-0.0836662j -0.0120095+0.0295188j -0.00950535+0.0301952j -0.0277745-0.15029j -0.0119217-0.0958643j -0.194283+0.0150297j -0.182136+0.129079j -0.123714+0.0347358j 0.0496004-0.0007635j 0.0203429-0.0187918j 0.065982-0.0374673j -0.0935463+0.0434625j 0.207192+0.0509419j 0.0322826-0.0365024j 0.21274-0.131455j -0.0975774-0.152263j -0.220381+0.327312j -0.0100706-0.0346837j 0.00387789-0.0661048j 
-0.00279817-0.0408265j 0.0339477-0.0284139j -0.0237782+0.00466815j 0.0965638+0.0429058j 0.0118281+0.0605139j 0.0244259-0.0541347j 0.0566732+0.0161309j -0.00393546-0.0353776j -0.0290276-0.0358416j -0.0508195-0.0746666j -0.0633222-0.0258195j 0.0203327-0.00873815j 0.0308369+0.049067j 0.0239588+0.0226528j -0.00764822-0.0353308j 0.0304326-0.0184333j 0.0150103+0.0408836j 0.0183661-0.044289j 0.0501033-0.051293j -0.00264681-0.0122216j -0.0489374-0.0179335j -0.0749127+0.0898945j -0.0453099+0.0361505j -0.0298738-0.109242j -0.0239419+0.0148019j -0.0454797-0.0473289j -0.00247981+0.00424486j 0.122537-0.0923234j 0.0847349+0.0975871j 0.00567974-0.0561946j 0.0740449-0.0459703j 0.00744454-0.0316622j 0.0471502+0.0696816j -0.133238-0.0347606j -6.56317e-05+0.0424054j -0.0380001-0.179153j 0.100145+0.06474j 0.0631989-0.00590479j -0.0719546+0.111804j 0.175243-0.0162878j 0.0467939-0.0301543j 0.0351952-0.155914j 0.0136009+0.00870675j 0.0593219-0.060691j 0.00469167-0.0892747j -0.174357+0.0863184j -0.0587767-0.0655109j 0.00395905+0.18319j 0.0748501-0.0872977j 0.0264737-0.0640085j 0.0391446+0.0270855j -0.0249017+0.00936386j 
0.0305821+0.00937214j -0.0147889-0.0203405j 0.00643604-0.0249676j 0.0272408-0.0450455j 0.0173838+0.00714231j 0.104576-0.0122209j 0.0233975+0.00657981j -0.0136566-0.0483895j 0.0387956+0.121016j -0.0527563-0.0913368j -0.0372737+0.00351804j -0.0523732-0.0380429j -0.061385+0.0265582j -0.0191445+0.00588795j 0.0290019+0.0339885j 0.0143249-0.0187961j -0.0128897-0.094867j 0.0095915+0.0892699j 0.00477567+0.0457373j 0.0401763-0.133054j 0.0351611-0.0487535j -0.0112517+0.0152144j 0.0318755+0.0260586j 0.0784303-0.0547128j 0.189921+0.023462j 0.109612-0.0219329j -0.008139+0.0257271j -0.00980949+0.147799j -0.0345363-0.0479503j 0.139656-0.0636421j -0.0998261-0.16646j -0.0982086+0.133348j -0.0465574+0.0604771j 0.0524841-0.0818346j 0.0390441+0.0212172j -0.0765936+0.0882127j 0.118099-0.0761313j 0.000709642-0.0566262j 0.0590735-0.109411j 0.0338087-0.02499j 0.0604881-0.0997237j -0.122162+0.0234522j -0.0660184+0.12373j 0.047461+0.0796358j 0.0269705+0.095265j -0.0175101+0.0646071j 0.108357-0.0501646j 0.0116289+0.145745j -0.0212433+0.0555674j -0.0030588+0.0386096j -0.0776507+0.0479741j 0.0122452-0.0323727j 
0.0370363+0.00386387j 0.0539557+0.0034736j 0.0568011+0.0148515j 0.0060478-0.0336576j 0.00204408-0.0365062j 0.0415965+0.00874662j 0.000943299+0.00482838j -0.0666654+0.0565337j -0.0326668+0.0647026j 0.0241573+0.0845309j 0.0396629-0.00450049j 0.0192882+0.0705293j 0.0153692-0.0939278j -0.0102431+0.0352809j 0.0661998-0.0151726j -0.0351495+0.0278663j -0.0646331+0.0748202j -0.0358114+0.0667409j -0.00724293+0.109771j 0.0269828+0.06048j 0.0176155+0.0265389j -0.0471782-0.00870676j -0.100214+0.032159j 0.0420369-0.030108j -0.0183625+0.109611j 0.0487165+0.15498j -0.0979149+0.0708886j 0.0477465+0.161709j 0.0262939-0.0412048j 0.0396761-0.0847355j 0.0904736-0.11983j -0.0368563-0.0784556j -0.107895+0.0571555j 0.157358-0.0369495j -0.0119598-0.00436816j -0.032335-0.108527j 0.150869-0.0916328j 0.138264+0.127425j 0.00790916-0.051379j -0.0886285-0.0234892j -0.0849183+0.0952303j -0.132885-0.0841049j 0.0135083+0.120825j -0.144632+0.0278237j 0.105349+0.00233089j 0.115293+0.0601883j 0.0597528-0.0811714j 0.0728703-0.086426j -0.0281181+0.0441325j 0.0687486+0.0474538j -0.014424-0.0141347j 0.0641518-0.061706j 
