0.0621754+0.146303j -0.189578-0.118202j -0.0829768-0.1891j 0.0256262-0.26257j 0.0548115+0.0170272j -0.0870015-0.133042j 0.0470222-0.0694939j 0.0866316+0.0413662j -0.182383+0.00679727j 0.209068+0.167643j 0.159256-0.197262j 0.0563469-0.0392938j -0.0908528-0.200359j 0.275329+0.0667986j 0.0784792-0.0173016j -0.043158-0.00735799j 0.0622434+0.104591j -0.0049692+0.0456194j 0.00677318-0.0483496j 0.03318-0.0368104j 0.00704032+0.0368054j -0.0518056+0.00557409j -0.0181295+0.013357j -0.00693768+0.0191199j -0.0218454-0.029685j 0.016366-0.0288288j 0.0454616+0.0203788j 0.0253564-0.0417411j 0.0312654-0.00311898j 0.00789936-0.00594613j -0.0909177-0.00935253j -0.00822729-0.0199297j -0.00412378+0.0710912j -0.0605976-0.020536j -0.0131104-0.0344929j 0.0448077+0.0129539j -0.0358653-0.0435185j -0.010331+0.0122933j -0.0286735-0.021016j -0.0275476-0.0285612j 0.0105597-0.00184512j -0.00161812+0.0051611j -0.0104244+0.0183247j -0.0110432+0.0207451j -0.0223105+0.00841878j -0.0104134+0.013187j 0.00531609+0.00400172j -0.00415512-0.0117151j -0.0112327+0.00645843j -0.0146644+0.00309526j -0.0419679+0.000851645j -0.000633922+0.00436492j -0.00100689-0.00246809j 0.0085534+0.00410799j 0.017036-0.00530971j -0.00141215-0.0116002j -0.019944-0.00252155j -0.02067-0.00272927j 0.0157892-0.000215533j 0.0220538+0.00410892j 0.00694923+0.00192343j -0.00142897-0.00335762j 0.0219501+0.00331669j -0.0108367+0.00751541j -0.0107999+0.00997239j 0.0159692+0.0103821j 0.00621432+0.00280926j -0.017452-0.0102703j 0.00330797+0.00116005j 0.00422053-0.0159649j -0.0253667+0.00492643j 0.00709465+0.0200322j 0.011348+0.00610693j -0.0003194-0.0150214j -0.0402244-0.0228937j -0.00528034+0.00115599j 0.00506443-0.0271314j 0.00381843-0.0357997j 0.00979718+0.0167644j 0.0163926-0.0127956j -0.0261771+0.0151909j -0.00481471+0.0161114j 0.0266788-0.0174498j -0.0288279-0.0106107j 0.00728758-0.00205492j -0.022201+0.0168287j -0.017098-0.0545196j -0.0617339-0.00432738j -0.00349276-0.00986764j 0.0127318-0.0320888j 0.00154278+0.0172927j -0.00545474-0.00291145j -0.0572808-0.0466896j 0.014911+0.00134338j 0.0515101+0.0656116j 
-0.0547512-0.0198251j 0.0683375-0.0402215j 0.0393426+0.0792539j -0.0286906-0.00500884j 0.0124153-0.0210091j -0.021069-0.0182596j 0.0110361-0.000325927j -0.01012+0.0124531j 0.00689001-0.00139488j -0.00483501-0.00833871j -0.0186537+0.0151556j 7.55257e-05+0.0175964j -0.00405167+0.00572778j -0.000250696+0.0152516j -0.0124269-0.0110344j 0.081853-0.000439389j 0.0979063-0.0977202j 0.0566778+0.264765j -0.0863158-0.208854j 0.00886292-0.0480117j -0.0899873+0.143665j 0.334305-0.0207471j -0.151966+0.0256789j -0.082767-0.156035j -0.0126543-0.0324698j 0.305367+0.293381j 0.0814333-0.12602j 0.160606+0.0313635j -0.00404266-0.0265173j -0.00441049-0.134115j -0.0393757+0.139328j 0.0112544+0.080335j 0.0563195+0.0574609j -0.0167904-0.078056j -0.00882373-0.0605543j -0.100204+0.0158181j -0.126233+0.0226082j 0.0398386-0.019243j 0.0789997-0.0824135j 0.0336677+0.029653j -0.00868054+0.0958689j -0.0151186-0.0856786j -0.0631625-0.0786239j 0.020884-0.00345213j -0.0613825+0.030328j 0.0103587-0.0764819j 0.0173378+0.00224338j -0.00606709+0.0152898j -0.00538464+0.00767424j -0.0225943-0.00207927j -0.00446627-0.0201889j 0.0147374-0.000216442j 0.00911773+0.0266267j 0.0177481+0.0147617j -0.0157951-0.0105495j 0.0302233-0.0157223j -0.00566899-0.0386377j -0.0121721+0.00763541j 0.0168151-0.000464175j -0.0170248+0.00700225j -0.00242277+0.0129841j 0.00397793-0.00354808j 0.0330442-0.00212483j 0.0115215-0.0054112j -0.00947772-0.00954585j -0.0065392+0.0059592j 0.00480559+0.00835892j -0.00300169+0.00931607j -0.0130987-0.0099643j -0.0124081-0.00545312j 0.000246154+0.0163096j -0.0151068-0.0161657j 0.00210725-0.00668417j -0.0107907-0.00492801j -0.00763547-0.00914596j -0.00391587-0.00138231j -0.00294522-0.000564665j -0.00951742-0.0124802j 0.0126725+0.00583088j -0.0178998+0.013733j -0.0137687+0.0139689j -0.00827383-0.012043j 0.00191273+0.00840966j 0.0195534-0.0168725j -0.00373885+0.0025556j -0.00149032+0.00550342j -0.00234812+0.0250978j -0.00536216-0.0108419j -0.00294394-0.00720249j 0.00482083-0.000478151j -0.00869026+0.00397559j -0.0211567+0.0315923j -0.0157598+0.00102325j -0.0184389+0.00986619j -0.0194177+0.0167209j 
0.0386499+0.0508137j -0.0436593-0.0838956j -0.0264018+0.0053228j 0.0576894+0.00365935j -0.00898017-0.00753444j 0.0193807-0.00953543j -0.00738845-0.010768j 0.0181883+0.0168049j 0.00286199-0.0171084j -0.00598383+0.0123809j 0.0158985+0.0124044j -0.00400228-0.00373397j -0.00405823+0.000500284j -0.022356-0.0168373j -0.00114727-0.00980388j -0.055309-0.127854j -0.149525-0.209778j -0.1092-0.0566732j 0.175347-0.0641215j -0.136123+0.224723j -0.280802+0.109629j -0.347717-0.153549j -0.077548-0.0534709j -0.0556541-0.1044j 0.00379649+0.0186421j -0.0665078-0.0420403j -0.0493015-0.0588414j -0.066152-0.0296222j 0.114256-0.0878787j -0.06788-0.0214864j 0.0123094+0.060143j 0.0737887+0.0524453j 0.028144+0.062212j -0.0280941-0.11299j -0.0613095+0.0825829j 0.180524-0.0856977j -0.0661088-0.0109313j -0.0286484-0.054288j -0.202288-0.27454j -0.0202987-0.0521863j -0.0259357+0.0237882j 0.0485199-0.0210472j 0.0068527+0.0383657j -0.0222802+0.0522179j 0.0577718-0.00887003j 0.0411027-0.0116159j -0.0213086+0.0186356j 0.0178728-0.00897254j 0.0070444+0.0193663j -0.00427921+0.0443617j -0.00600889+0.0162569j -0.0278135-0.0145595j -0.0393545-0.00224922j 0.00197834-0.0267007j -0.00301455+0.0100993j 0.00997075-0.00691739j -0.00747011-0.00595174j -0.0188466-0.00369803j -0.00774026-0.0176653j -0.0163357-0.0040322j 0.00532855+0.00213627j -0.00169515+0.00468421j -0.006859-0.0133622j 0.00302699+0.00148314j 0.00560453-0.000211877j -0.00916627+0.00629679j -0.0127028+0.00279859j -0.0130923+0.00220134j 0.00764729+0.0011769j -0.000930408-0.00379628j -0.00405344+0.00588681j 0.00114528-0.00158367j -0.00960932-0.000315763j 0.00570305+0.00186369j -0.0029421-0.00174119j 0.0111817+0.00147231j 0.0165428-0.00547499j 0.0162437-0.0110768j -0.000834006+0.00444869j 0.0147792+0.00115141j 0.00313103+0.0150736j -0.00783676-0.00904098j 0.00386124+0.000358318j 0.0163587-0.0141637j -0.00339841+0.00570388j -0.0012093+0.000928823j -0.0116205+0.0232012j -0.00883012-0.0334862j 0.000533443-0.0269987j -0.00915835+0.0105916j -0.00618914+0.00620666j -0.0118842+0.0319165j -0.011239-0.0222292j 0.00110684-0.0240641j -0.0353167+0.0336002j 
0.0668853+0.0912574j 0.0060597+0.0572773j -0.0633392-0.0434015j 0.0322186+0.0262252j -0.00169589+0.00550039j 0.016222+0.027164j 0.00204978-0.00366913j -0.00346365+0.000532527j 0.0131318+0.00359267j 0.000720834+0.00572676j -0.00377124+0.00918048j 1.04854e-06+0.0035601j -0.00391166+7.90406e-05j 0.00279381+0.00856161j -0.0155978-0.012723j -0.204508-0.180777j 0.0430525+0.157912j -0.270393-0.123057j 0.0839728-0.0659013j 0.0412617-0.225758j -0.229688-0.245279j 0.0618857-0.243178j 0.0153218+0.182688j 0.143321+0.177055j -0.123169+0.0722409j -0.135814+0.0097326j 0.0765219-0.085827j 0.0373112-0.0348196j -0.131075-0.0612711j 0.00318327+0.00437067j -0.0450625-0.0094796j 0.0227796+0.0303348j 0.0248509+0.0801225j 0.0098661-0.0582886j -0.0114015-0.0394192j -0.0481084-0.00760457j -0.136176+0.075816j 0.238232+0.268169j -0.0564136-0.0181809j -0.0204544+0.00402467j -0.0166112+0.0231665j 0.0385596+0.0214171j 0.0662725+0.0325978j -0.0145319-0.0457664j 0.0222554+0.00192435j 0.0496491+0.04222j -0.0353799-0.0271423j -0.0099816-0.00180777j -0.0359943-0.0277227j -0.0464556-0.00419877j -0.00723699+0.00463626j 0.00572162-0.0106925j 0.00729517-0.0210833j 0.00733912+0.00856796j -0.0391631-0.00972875j 0.00674081+0.0183274j -0.0130373+0.0162403j -0.00772533-0.00967226j 0.00103814-0.00605758j 0.00763498-0.0152637j -0.00614536+0.000602593j -0.0213999+0.00270967j -0.0196766+0.0149338j -0.00078935-0.013894j -0.000917804+0.00962497j -0.00610483+0.00104668j -0.00217188-0.00349334j 0.00106223-0.0017237j -0.00486189-0.00645632j -0.00306139-0.00723115j 0.00572293-0.00574127j 0.00282709-0.00673118j -0.0108823+0.0019794j -0.00853174-0.00342603j -0.00711347-0.01451j 0.0049311-0.0174588j 0.0015728-0.0143809j -0.0162638+0.000189382j 0.0109018+0.00248212j -0.000654762-0.00855007j 0.0041635-0.00512929j -0.0161645-0.00299329j -0.0014201+0.000618697j -0.0024666-0.0011163j 0.0036418-0.00193532j 0.000937095+0.00113377j 0.0155138+0.0151799j -0.00871409+0.00962583j -0.0144464+0.0218732j 0.00181465-0.00517256j -0.00640711+0.00725366j 0.00338823+0.0103631j -0.0181972+0.0217121j -0.0303637+0.0281975j -0.00574076+0.0198804j 
-0.0375027-0.00758014j -0.0479861-0.0122842j -0.0212005-0.0195037j -0.0269504-0.00838931j -0.0022198+0.00475767j -0.00551387-0.0176176j -0.00533797+0.00306374j 0.011948-0.00689769j -0.0123983-0.0005677j -0.00157516+0.00939099j 0.0114846+0.00504455j 0.028419-0.0278106j 0.0154589+0.0178945j -0.00627526-0.0296058j 0.0132955+0.00123592j 0.128153+0.0209261j -0.0558708-0.039637j -0.0404393-0.0358426j -0.0152713+0.0839831j -0.0303673+0.0168579j 0.0531096-0.110104j 0.11931+0.00293537j 0.0409047-0.14968j 0.0306816-0.0663901j -0.010837+0.0293934j -0.0961128-0.00958016j -0.0874676+0.0438403j -0.0928485+0.00194169j 0.15616-0.115366j -0.0600727-0.0270462j 0.0277916+0.175792j -0.0841019-0.0812126j 0.156711+0.125485j 0.00352597+0.0298146j -0.0356972+0.116364j 0.0893791+0.0992022j 0.0452147+0.0239149j -0.135242-0.0664926j 0.0333536-0.0363326j -0.0319916-0.031293j -0.00864625-0.0356728j -0.0207868+0.0247561j 0.0288659+0.0551377j -0.0386126+0.0330333j -0.0445274-0.0201548j -0.0235587+0.100239j 0.0281319+0.0102099j -0.0292878+0.0143438j 0.0208773+0.00459494j -0.0110513+0.0116128j -0.0575962+0.0357567j 0.0160312+0.0238301j -0.000937923+0.0283238j 0.0461698-0.00887978j 0.0175146-0.0219275j 0.025477-0.00854666j 0.0339485-0.0194376j 0.012711+0.00604339j 0.0170981+0.00154305j -0.0208489+0.00793172j 0.0202381+0.00501769j 0.018222-0.0105848j 0.0232837-0.0146475j 0.000906103+0.00867739j 0.0165969+0.00546444j 0.00316633-0.00102059j -0.0219413+0.00434291j -0.00692733-0.004598j -0.0182689+0.0155325j 0.00655684+0.00323609j 0.00447661-0.0131136j 0.036424-0.00957534j -0.0339916+0.020754j -0.0079119+5.71876e-06j -0.0480051-0.000612632j -0.0111077+0.000831363j 0.0187505+0.0142751j 0.0226913-0.00197156j 0.0309438-0.00186978j 0.0463738-0.0634387j 0.0445904-0.0240266j -0.0203532+0.031343j 0.0385689+0.0344522j -0.0272383+0.036587j 0.0236718+0.0125732j 0.0303726-0.0199667j 0.127635-0.00309083j -0.015434-0.115693j 0.0514155+0.0651141j -0.000592542+0.0347639j -0.00916669+0.0269911j 0.0880349+0.0557634j 0.0155158-0.0639j -0.00431699+0.108952j -0.0136142+0.0369397j 
-0.045643-0.00966876j 0.0298264+0.0133264j -0.0107416+0.0101708j 0.0112129+0.033671j 0.00052806-0.0029886j -0.00544957-0.0092648j 0.0100924+0.0177006j -0.00168361-0.0260849j -0.00105572+0.00465708j -0.00407094-0.00408238j -0.00246382-0.0193106j -0.0238341-0.0178118j 0.025813-0.00246372j 0.0206829+0.00484805j 0.00164796+0.0351727j 0.038915+0.043705j 0.126098+0.0430194j 0.0465087+0.130357j -0.00150314+0.120484j -0.0660298-0.0338589j -0.040842-0.0268573j 0.0788485-0.144584j -0.0525684-0.061671j -0.00713643-0.0442506j 0.0591282-0.0102552j -0.0033946+0.0363113j 0.0439086+0.0346735j -0.011151+0.0811024j -0.163085-0.0334972j -0.0462381+0.0120829j 0.204965+0.0108138j -0.0571418+0.0553437j 0.0790075-0.204688j 0.0671234+0.0362007j 0.0959131+0.0430103j -0.0277445+0.000977163j 0.141591+0.0790036j 0.0360511-0.0288412j 0.120379+0.0931018j 0.0297203+0.0358358j -0.0120455-0.0535331j -0.00435066+0.0592389j -0.0129671-0.0816204j -0.0334729+0.0268001j -0.0193157+0.0740737j 0.0280034+0.0375376j 0.0176461-0.0398701j -0.0192118+0.0543697j -0.0114922+0.0235863j 0.00415954+0.022524j -0.00179416+0.0619816j -0.00492721+0.011597j 0.0157329+0.0146116j 0.0161692-0.0537945j 0.0040172-0.0225129j -0.0269393+0.0270573j -0.0133771-0.00535611j -0.00375275+0.00965959j 0.0229066-0.029625j -0.0100789+0.0163483j -0.00193485-0.0131728j 0.016783-0.0290168j -0.00542866+0.00386282j 0.0282097-0.0206827j -0.0025966+0.00600189j -0.000350584-0.00236042j 0.00999098+0.00984642j -0.000442882-2.80746e-06j 0.0220158-0.00486846j 0.00994984-0.0285941j -0.0144163-0.00277434j -0.0149156-0.0154376j 0.0226152+0.0171684j 0.00490815+0.00148737j 0.00630282+0.0190787j -0.00556808-0.00258144j 0.00688757-0.0287907j 0.0024756-0.0484149j -0.00873952-0.0220462j -0.0747898-0.0318634j -0.0210704+0.00559254j 0.0190255-0.0223314j 0.0324793-0.0260283j 0.0185373-0.013063j 0.0182021-0.00424178j -0.0384463-0.0324252j -0.0184798-0.111631j -0.134624-0.0225956j 0.00505231-0.0834937j 0.0126832+0.0321359j 0.00291958-0.0194989j 0.0545614-0.0459801j -0.109245-0.00865838j 0.0369146-0.057828j -0.0167568+0.0878308j 
0.0328037+0.00533768j 0.0143684-0.0159782j 0.0165171+0.00322697j 0.0189473-0.000794051j 0.003268+0.00233242j 0.00503835-0.0152294j 0.0167318-0.000804102j -0.0169866+0.00184614j 0.00273393-0.00599999j -0.00113079+0.0159714j -0.000566991+0.000816852j -0.0141384-0.00139803j 0.00170509+0.0160301j -0.00477334-0.0140423j 0.0247035-0.0157125j -0.0734853+0.019219j 0.020048-0.0125103j 0.0569608+0.00143243j 0.0205602+0.0115911j -0.00280707+0.0737025j -0.0164679+0.00205843j -0.0443225-0.0266534j -0.0877219+0.00529908j -0.0537555+0.00327464j -0.0123796-0.010619j -0.0373125+0.0234942j 0.0288-0.0766577j -0.0119576+0.0161957j 0.00870069-0.105084j -0.00950637+0.0583762j 0.020546-0.0857131j 0.00263731-0.111471j -0.0200485+0.0831407j 0.0671821-0.0679517j 0.07756+0.0598j -0.192405+0.0661122j 0.0129277+0.135629j 0.0566418-0.0255083j 0.106618-0.00336386j 0.0571697+0.00107198j -0.0382859-0.0320917j 0.0578024+0.0167004j -0.0699771+0.00266863j 0.0182295+0.111135j 0.0603924+0.0525535j 0.0506559-0.0347356j -0.0187571-0.0501893j 0.0468873+0.0643076j 0.106062-0.00993107j 0.0492198+0.00521117j 0.0168805+0.0190857j 0.0610271-0.0457855j 0.0474194-0.0142317j 0.019547-0.0640748j -0.0288805-0.0101398j 0.0684957-0.0898091j 0.010264-0.0914708j 0.0309762-0.06155j 0.00560097-0.0316579j 0.00509353+0.0483562j -0.000301558-0.0118356j -0.0271621-0.037964j 0.000362967-0.0994793j 0.011761-0.0118151j 0.0293123-0.0102745j -0.02727-0.00786577j -0.0259917-0.00693844j -0.0319257-0.037014j 0.0255297+0.001849j 0.00575469+0.0305694j -0.0181379-0.0173971j 0.0303865-0.0626924j -0.0522562+0.00552493j 0.0381955-0.0348348j -0.0465272-0.0244947j 0.0486088-0.0675143j 0.110437+0.00924373j 0.0289257+0.0367065j -0.0653944+0.00191878j 0.0773785-0.0866172j 0.0383141-0.0476607j 0.090703+0.0763247j -0.0381672-0.0681959j 0.00571661+0.145197j 0.0109469+0.0630782j -0.0453631+0.0836787j -0.0443283+0.128359j -0.00154245+0.0373995j 0.0302872+0.223783j 0.0413276-0.00106297j 0.0076053+0.0268837j -0.0661944+0.166428j -0.0491684-0.179438j -0.0152324+0.277136j 0.312637-0.11684j 
0.00795596-0.0402766j -0.0136392-0.0088392j 0.0201083-0.0282599j 0.0168805-0.00696005j 0.00388799-0.00701732j -0.00453572-0.0138312j 0.00839031-0.00391601j -0.00295335+0.00778219j -0.00187784-0.0040432j 0.00865123-0.0142866j -0.00543924-0.0105862j -0.00229504+0.0103658j 0.015706+0.0137024j 0.0279781-0.0234223j 0.0119852+0.00955116j -0.00463067+0.0459166j -0.0429685+0.0234498j 0.0445996-0.058262j 0.0231648+0.0258941j -0.00194741+0.0445269j 0.00508714-0.0302322j -0.0246067+0.0500973j -0.0347164-0.0104229j -0.0235494-0.0183486j -0.0317252-0.0418923j 0.0273714-0.0300556j -0.0302688-0.0326639j 0.0180298+0.012915j -0.0371816+0.00130161j 0.0229577-0.0541529j -0.0749665+0.0327273j -0.0976473-0.0285815j -0.0277514-0.0188143j 0.129783-0.0668618j -0.025709+0.12261j 0.00507474-0.0690278j -0.117912+0.0371701j 0.144483-0.0647059j 0.0139411+0.0503755j 0.0693794-0.00812756j 0.0347949-0.0333163j 0.0479704+0.0348148j -0.14912+0.0699529j 0.0537325+0.106203j 0.0146727-0.0683049j -0.0421083-0.00223581j -0.0255196-0.0123943j 0.0398236+0.0513661j 0.0585756+0.0488606j 0.0321149-0.05167j 0.0246364-0.0405378j 0.00175823-0.000227877j -0.0109216-0.0131443j -0.01798-0.0173405j 0.0140593+0.00312933j -0.01146+0.0258858j -0.0236094-0.00159021j 0.019169-0.0322104j -0.00181778-0.0132898j 0.0128667-0.0300139j -0.00639318-0.00209697j 0.0120047+0.0113149j -0.0185251-0.0187486j -0.0139637+0.00430923j -0.0217727-0.0156971j 0.00588792+0.00732615j -0.00617369-0.0111696j 0.00924344+0.00582289j -0.0304039-0.00674391j -0.0106773-0.00160499j -0.0682367+0.0251524j -0.00980295+0.00161622j 0.0415195+0.017416j -0.0209652-0.0415116j -0.00276288+0.0167378j -0.157456+0.00152539j -0.109618-0.0550116j 0.0299762-0.0381058j -0.0423532+0.0744371j -0.114195-0.026998j 0.0318392+0.0479014j 0.119528-0.233093j -0.112892+0.0437691j 0.00928225+0.0668915j 0.0774001-0.043469j 0.0505401-0.00313811j 0.00159341-0.099907j 0.0917125-0.162528j 0.153789-0.0653939j 0.0433655+0.0196143j -0.0377942+0.0685438j 0.159422-0.0870206j -0.140939+0.00911567j -0.3398+0.144951j -0.0294377+0.301703j 
0.0235674+0.0221994j 0.0193182+0.0131343j 0.00946795+0.0141019j 0.00837151-0.01649j 0.00242607+0.00692336j 0.00214631+5.34895e-05j 0.0216216-0.00837439j -0.0313523+0.0108144j 0.00647307-0.00667106j -0.0118321+0.018365j 7.67805e-05+0.0249487j -0.0190774+0.00948439j 0.00884213-0.0338874j -0.0366338-0.0116724j 0.0297321+0.0214472j 0.0199743+0.0139743j 0.00557156+0.0114718j -0.00950055+0.0182887j -0.00514609+0.0082166j -0.00328634-0.00546269j -0.0124071+0.0113592j 0.00100361-0.0202701j 0.00565826+0.0147392j 0.00256395+0.00726949j 0.0138258+0.000694954j 0.0161397+0.0140892j 0.00947519+0.0187548j 0.0156006+0.0107051j -0.0342631+0.0179119j 0.0023034+0.00374673j 0.0165185-0.012527j 0.0188883+0.0306469j 0.00496321-0.0272302j 0.0125492+0.000146517j -0.00340356-0.0273374j -0.0212311-0.0300156j 0.0171237-0.00311191j 0.0248493+0.0308354j -0.0164806-0.0039376j 0.0962961+0.106646j -0.0306446-0.0492939j -0.0217266-0.0696954j 0.042445+0.0139165j 0.00966666-0.0468579j 0.00456576+0.0182386j -0.0137104-0.0120829j -0.0309425+0.151174j 0.00631051+0.0478118j -0.0361271+0.0522199j 0.0538365-0.0974542j 0.049988+0.0205921j -0.024394+0.0686083j 0.0447537-0.110116j -0.00414923+0.0138761j -0.0200017+0.0283903j 0.0288977+0.0229062j -0.00335507+0.0391687j 0.0714527-0.0225378j 0.01418-0.00684009j -0.0163475+0.0275628j -0.0272105+0.0212869j 0.0378356-0.0351293j 0.00730679-0.0332768j 0.0437282-0.0236732j -0.0291633-0.020527j -0.00426302+0.00808788j 0.0356036-0.0345421j -0.0100017-0.0226313j 0.0355725+0.0139307j 0.00546121+0.130251j 0.026423-0.0547588j 0.0244412-0.0577626j -0.0392376-0.0521229j 0.0068583-0.0721773j -0.0559715+0.0376132j -0.0689374-0.00487509j -0.0248743-0.00092159j -0.0258164-0.0209487j 0.25229+0.137698j 0.165451-0.0439449j -0.00500526+0.175268j 0.125009+0.11943j -0.0368155+0.0902923j -0.0462623-0.0408284j -0.0171571-0.0109053j 0.188872+0.0732503j -0.0731803-0.0892896j -0.0586733+0.0334655j 0.0162081+0.000720176j -0.102529-0.0654725j -0.0442158+0.158515j 0.0130219-0.012353j -0.00636212-0.029762j 0.0307665-0.064185j -0.0468179+0.0134848j 
-0.0087719-0.00865427j 0.021297+0.0233439j 0.00304644+0.0256124j -0.00778335+0.0325003j -0.00255465-0.00121068j 0.00427715+0.0186958j -0.00515291+0.00922653j -0.00310863-0.0122128j 0.0134406+0.00960943j -0.0124349-0.0169416j -0.0111771-0.00119719j -0.0250198-0.0208286j 0.0227216+0.00553705j -0.0327057-0.0275644j -0.0277348-0.0154718j 0.00163617+0.0171408j -0.0195053-0.0184898j 0.00805654-0.0144737j -0.00780002+0.0147633j -0.0158038+0.00952259j -0.000418898-0.0192592j 0.022695-0.00404368j -0.00861003-0.0171963j -0.0056354-0.0145872j 0.00304858-0.00355492j -0.00543116+0.00121122j -0.0110209-0.00591596j -0.0113176+0.0140334j -0.00479313-0.0204005j 0.00305189-0.0115555j 0.00890521+0.0172853j -0.0407378+0.0141515j 0.00665812-0.00502365j 0.0445858+0.00732148j 0.00733119+0.0297252j 0.00748939-0.0070947j 0.0166125+0.0409161j 0.0304947-0.00450285j 0.0393931+0.0232097j -0.0363254-0.0746533j -0.073895-0.0920478j -0.0588108-0.0609352j -0.0344241-0.076875j 0.00807268+0.0575863j 0.00517609+0.108177j 0.00442057+0.0254525j -0.00542638+0.053877j 0.00819658-0.0896106j -0.0161794+0.0207536j 0.00404284-0.0151051j -0.00328372+0.0589633j -0.0354875-0.0234334j -0.00647275-0.0187235j -0.0354159+0.0388108j 0.0446471-0.00929915j 0.000626226+0.0137187j -0.038261+0.0218384j 0.0545164+0.00596173j 0.0128588+0.0179415j 0.0622648-0.00886003j 0.0409859-0.0152345j -0.0564258+0.0151868j 0.0545788-0.0133128j -0.0382183+0.00974442j 0.0503297-0.0310698j 0.0182878+0.0107438j 0.0494587+0.050009j 0.0221778+0.00332675j 0.0860305+0.063193j -0.0707819+0.0139026j -0.0763166+0.0599378j -0.0295583+0.0450231j 0.17451-0.0939269j 0.0679434+0.0389929j -0.0569846-0.0329079j -0.0194496-0.0573117j -0.0137814-0.018826j -0.0217508+0.004692j -0.136234+0.201963j 0.174295+0.0865204j -0.196158-0.0765224j -0.0274072+0.0257567j -0.0555943-0.154758j 0.0150453-0.0275768j -0.106447-0.119518j 0.026087+0.0170173j 0.0848318-0.0431316j -0.00509142-0.0689447j 0.00100478-0.00823336j 0.0670475-0.186906j -0.108298-0.0325443j 0.0693167+0.00394797j 0.0259134+0.0150383j -0.0776893+0.0544009j -0.0117644+0.0767985j 
-0.0225474-0.0120213j 0.0212024+0.025161j 0.00191073-0.0075841j 0.00300561-0.0011045j 9.92713e-06-0.00501933j -0.00197026+0.0188674j 0.00331254+0.000204951j 0.000804988+0.00611918j 0.00811191+0.00804001j -0.00853926-0.0152123j -0.0031354+0.0056206j -0.0252788-0.00724326j 0.00124973+0.0146985j -0.00628144+0.00575542j -0.0219392+0.00750978j 0.0349435-0.0171716j 0.0195751+0.0363434j 0.0185267-0.00273287j -0.00708803+0.0183932j -0.0578738-0.031443j -0.00313663-0.0163827j 0.0064327+0.0205395j -0.0166558-0.0166984j -0.00502586-0.013158j -0.0225556+0.0375983j -0.0237517-0.0115275j -0.0246645+0.0508038j 0.00317398+0.0166495j -0.0764226-0.00259861j -0.0340967-0.0147873j -0.0593609+0.0416982j 0.0456374-0.0428753j 0.0110379-0.0589306j -0.000245328+0.0265268j 0.0439935+0.00319721j 0.0257722+0.0127791j 0.0398038+0.00402766j 0.0587827-0.0431523j -0.0372041+0.105355j 0.0157374+0.00636171j 0.0111528-0.0576561j 0.0489537+0.0537353j -0.106618+0.0303919j 0.0882354+0.0424992j -0.100397-0.063205j 0.0592395+0.0465797j -0.0225675+0.0442608j 0.0612885+0.0173264j 0.0482764+0.0571326j 0.00438439-0.0856651j 0.0576204-0.0247736j 0.0120141-0.013567j 0.0220391-0.0360834j -0.0265301+0.0213019j 0.0106618-0.00823596j -0.035918+0.00783185j -0.0992138+0.0108168j -0.0178467-0.00724738j 0.00751165-0.0115683j 0.0697527-0.0832734j 0.0316902-0.0376057j -0.0539899+0.0222967j -0.0715324-0.0399477j -0.0143663+0.0454689j -0.0396189+0.0346236j 0.0012814-0.0348504j -0.0243688-0.0624185j 0.0409132-0.0517342j -0.0134431+0.076492j 0.0782642+0.0411113j 0.048753-0.0534252j 0.100626+0.112781j 0.0251598+0.0435082j -0.0756892+0.0772548j -0.0238415-0.0365821j -0.0559666+0.0828017j 0.0390986-0.0765259j -0.0030489-0.00761653j 0.0300174-0.00659841j 0.049409+0.0152553j 0.0763872+0.0177632j -0.248403+0.112582j -0.103019-0.0369903j 0.138926-0.0662154j -0.0384725+0.0251706j -0.035079+0.0639832j -0.162921+0.0574454j -0.0334671-0.0705539j -0.0383889+0.052705j 0.012977-0.053843j 0.0835505-0.0270771j -0.354533+0.233524j -0.255549-0.180699j 0.0350637-0.133074j -0.0754241+0.118775j 
