-0.171907-0j 0.806227-0j -0.148876-0j -0.0992507-0j -0.148876-0j -0.171907-0j -0.0607784-0j -0.0992507-0j -0.105271-0j -0.0607784-0j -0.0156929-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.192198-0j -0.0023172-0j -0.529143-0j 0.110966-0j 0.540791-0j -0.00211531-0j 0.0679523-0j -0.225595-0j -0.120288-0j -0.206848-0j -0.0888846-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.156929-0j 0.171907-0j -0.141921-0j -0.471163-0j 0.135905-0j 0.344163-0j -0.284782-0j -0.19028-0j -0.296805-0j -0.0579388-0j 0.0143256-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
-0.156929-0j 0.175691-0j -0.135905-0j 0.471163-0j 0.135872-0j -0.336829-0j -0.0554828-0j 0.202983-0j 0.0960758-0j -0.287265-0j -0.279806-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
-0.135905-0j 0.00163851-0j 0.36351-0j -0.0784646-0j 0.120288-0j -0.00461966-0j -0.663494-0j 0.15952-0j 0.10045-0j -0.451741-0j 0.0628509-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.110966-0j -0.247127-0j -0.100353-0j 0.064066-0j 0.102515-0j 0.235581-0j -0.201371-0j 0.26261-0j -0.223884-0j -0.0353782-0j -0.498505-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
-0.0350904-0j 0.155874-0j -0.0303892-0j -0.0202595-0j -0.344389-0j 0.142293-0j -0.0124063-0j 0.300652-0j -0.243519-0j 0.238267-0j -0.503905-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.143707-0j 0.839321-0j -0.120233-0j -0.120233-0j -0.109758-0j -0.134425-0j -0.0896168-0j -0.0776104-0j -0.0776104-0j -0.109758-0j -0.0548788-0j -0.0448084-0j -0.0548788-0j -0.0245426-0j -0.00535563-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.157423-0j -0.00187139-0j -0.563883-0j 0.576295-0j 0.120233-0j -0.00162067-0j -0.00108045-0j -0.172843-0j 0.0850179-0j -0.12288-0j -0.000661637-0j -0.149416-0j -0.122218-0j -0.10902-0j -0.0356527-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.124453-0j 0.134425-0j -0.108734-0j 0.104125-0j -0.302175-0j 0.38647-0j 0.0776104-0j -0.21367-0j -0.207588-0j -0.0992605-0j -0.243944-0j 0.0388052-0j -0.146787-0j -0.0221953-0j 0.00463811-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.082969-0j 0.0896168-0j 0.0694168-0j 0.0694168-0j -0.329535-0j 0.0776104-0j 0.404673-0j 0.0448084-0j -0.233017-0j -0.329535-0j 0.0316843-0j -0.134532-0j 0.0316843-0j 0.0141697-0j 0.00309207-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.124453-0j 0.137384-0j -0.104125-0j 0.1041-0j 0.302175-0j -0.378234-0j 0.0793187-0j 0.227935-0j -0.0672126-0j 0.0950299-0j 0.0485726-0j -0.200916-0j -0.0506994-0j -0.240868-0j -0.138102-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.143707-0j 0.00170834-0j 0.125556-0j 0.12288-0j 0.230507-0j -0.00154495-0j -0.0051291-0j 0.157783-0j -0.50341-0j 0.246009-0j -0.00310015-0j -0.286455-0j -0.344586-0j -0.103926-0j 0.0325464-0j 
