0.111613+0.0906145j 0.0363342+0.0873947j 0.0157274-0.0410123j -0.0207326+0.14411j 0.0586539-0.0755446j 0.0221495+0.0642261j -0.070414+0.0965401j 0.00177604+0.039591j -0.0744582+0.0816007j -0.0383392+0.0033289j 0.0217251+0.0178825j -0.0139469-0.0398985j -0.0500983+0.0192289j 0.0146496-0.00606714j -0.0259712-0.0192647j -0.0409076+0.0136409j -0.0357294-0.0197743j -0.00970878+0.0744141j -0.0279745+0.0968797j 0.0144327-0.00141427j -0.0337575-0.08576j -0.0240367+0.00195831j -0.0763605+0.096441j -0.229638-0.0979755j 0.0356526-0.101516j 0.120824+0.0749353j -0.0162594-0.0336379j 0.0991781+0.0922746j 0.0408811-0.0288308j -0.0269744-0.0331801j 0.0434585+0.0596983j 0.025383-0.0777457j -0.000786937+0.0135032j -0.00314995+0.0143857j -0.0125005+0.0353887j 0.0214912+0.00369917j 0.0638639-0.0313173j -0.00325477-0.00239597j 0.0292038+0.0013891j -0.00078584-0.013302j -0.0434278-0.00854178j -0.0217224-0.00635064j -0.00396941+0.0025403j 0.0105911+0.00502141j -0.0406784-0.010073j 0.00398526+0.00559787j -0.000354124-0.0115085j -0.0358453+0.00195386j 0.00422801-0.00433603j 0.0634027+0.0308069j -0.0193754+0.00358927j -0.00529214-0.0215436j -0.0108414-0.0122924j -0.0600735-0.0176042j -0.0203612-0.0134753j -0.0533222+0.00347675j -0.00128694+0.0221889j -0.00554161-0.0522825j -0.0414495-0.121007j 0.031292-0.0828288j -0.127103+0.0446337j 0.0183623+0.0767424j -0.00230177-0.0619355j -0.144815-0.022932j -0.00075626+0.0263269j -0.0273493+0.0209343j -0.113545-0.0467028j -0.0469965-0.0367232j -0.121179-0.109752j 
0.0472847+0.106013j -0.118065-0.102484j 0.0066594+0.14808j 0.00320212+0.0488716j -0.018052+0.0233028j 0.0456873-0.0790925j 0.0220903+0.0441189j -0.0407317-0.0132901j 0.0218312+0.0123193j 0.0484033+0.0221657j 0.0724966-0.00918375j -0.0572283+0.0225503j -0.00846778+0.00241742j -0.0175466-0.0175294j -0.0242922+0.0163324j 0.020008+0.0450437j 0.0808985+0.0380414j 0.0863206+0.00682528j 0.0121656+0.0499073j 0.0431596-0.0588977j -0.175604+0.0666277j 0.00790977+0.0370783j 0.181433+0.0496686j -0.076834+0.171678j -0.0794518-0.117222j 0.0203626-0.0637177j -0.0693209-0.0674533j 0.0517942-0.0527717j -0.0946423-0.0766257j 0.0504056+0.0524633j 0.0285029+0.0244365j -0.0120361-0.00783833j 0.0321166-0.0604126j -0.0226983+0.00775518j 0.0255151-0.0044194j 0.0493289-0.0429936j -0.021935+0.00652097j -0.0215507+0.0187149j 0.0280369-0.00493649j -0.0269011+0.0186526j -0.0362513+0.010065j 0.00343608-0.000715345j -0.0153991+0.0143957j -0.0351174-0.0177541j -0.0603782+0.0172849j 0.0154412+0.0128137j -0.0284231+1.81631e-05j 0.0308793+0.0255317j 0.0158888-0.00206151j 0.0501243+0.016064j 0.00340013-0.00138759j -0.0048434+0.00260959j 0.00431275+0.0228925j 0.0298754+0.0599972j 0.021026-0.0112786j 0.0274768+0.0501301j 0.0412462+0.0231546j -0.0403829-0.0534473j -0.0503647+0.0628479j -0.112532+0.00151522j -0.0065402+0.126453j 0.02074-0.0244509j -0.128379+0.0320606j 0.00512238+0.0747701j 0.0425517+0.0679978j 0.0723848+0.00345373j -0.0624885+0.0511848j 0.127022+0.10593j -0.0466937-0.043436j 
0.0655703+0.0201375j -0.153758+0.00682826j 0.0653667+0.00269176j 0.0856368+0.059981j -0.0376238-0.156034j 0.0328007-0.0720189j 0.0595961+0.0714176j 0.155874-0.0676056j -0.00754826-0.0008465j -0.12061+0.12848j -0.042204+0.125756j 0.01077-0.165493j 0.0120197-0.00153524j -0.000470397-0.0411143j -0.0627348-0.0484019j -0.0526523+0.0133543j 0.0055094-0.115697j -0.0373135+0.0494919j -0.0910394-0.0838141j -0.147357+0.147331j -0.126968-0.0656564j -0.0255824+0.190695j -0.00374758-0.134317j 0.0716471+0.0867611j 0.0935685+0.233507j 0.120238+0.218999j -0.0389415+0.146867j 0.134375+0.245271j -0.346888+0.284628j -0.0170764+0.0181015j 0.075467-0.0591675j -0.0331539+0.0151927j 0.0424265+0.00583763j -0.0008622-0.0348015j 0.0107402-0.0253054j 0.0357839-0.0069856j 6.51908e-05-0.0147006j -0.0372956-0.00552829j 0.0129208-0.0208j -0.058057+0.0237568j -0.0253287-0.0161269j 0.00869988-0.0238763j -0.0176914+0.0250071j 0.0370142+0.0114718j -0.0521834+0.0211493j -0.0353897+0.0144308j -0.0147498+0.00564705j -0.0054226+0.0391228j 0.00554233+0.0181161j -0.00606501+0.0360194j -0.0332612+0.0495116j -0.0201721-0.0152591j -0.0330767-0.00741483j -0.0258463-0.0399375j -0.00626855-0.0546675j -0.0184238-0.00587925j -0.027577-0.0345807j -0.00313517+0.00977952j 0.030472-0.0105624j -0.0359669+0.0584459j 0.0209107-0.00703243j 0.033325-0.0270352j 0.00675796-0.0215648j -0.00258574+0.023349j -0.060306-0.0491818j 0.0130148+0.0089394j -0.0278634-0.0750864j 0.0628225-0.151377j -0.130256-0.0130485j 
-0.122514+0.0209117j -0.122109+0.0245818j 0.0890471-0.0389906j 0.0436944+0.0377969j -0.0690126-0.133823j -0.00814113-0.011898j -0.0111075-0.0206434j 0.0203485+0.0119885j 0.0182614-0.0558322j 0.0368062-0.0231397j 0.0537847-0.0531484j -0.0333097+0.0449695j 0.0410978-0.0561022j 0.0114706-0.0046039j 0.0560672+0.0228642j 0.00038922+0.0112j -0.0647118-0.0138951j 0.278295+0.0132716j -0.0170051+0.12258j 0.0280011+0.0295981j -0.0642476+0.213561j 0.0429404+0.183178j -0.0833234+0.085837j 0.0940366-0.29175j 0.0386026-0.122272j 0.306686-0.128854j 0.0435015-0.00540661j -0.392059+0.3205j -0.0941469-0.228798j 0.0615528-0.0761822j 0.0741765-0.0478245j -0.0676659+0.0419704j 0.00837711+0.0242066j -0.0038633-0.00616917j 0.0399068-0.0618213j 0.00365049+0.0157866j 0.00139858-0.0050123j -0.00759837-0.0155763j 0.0244439-0.032853j 0.00231726-0.00769179j -0.0129476-0.0189803j -0.00221461-0.0132537j -0.000297134+0.00564387j 0.0016391-0.0165358j -0.00416314-0.0100841j 0.00761606+0.00333797j -0.00831591-0.00563671j 0.0453477-0.00348244j 0.0181748-0.0185646j 0.00200839-0.0352713j 0.011575+0.00342265j -0.00503639+0.0244309j 0.00108362+0.0450982j 0.0256122+0.0130202j -0.0234069-0.0104219j 0.0135516-0.00811277j -0.02007+0.0253386j 0.0362641+0.0067531j -0.0293589-0.0610087j 0.0374693+0.0630797j 0.0126439+0.0170578j 0.040247-0.0236522j -0.022147-0.00372385j -0.00167544-0.0386335j -0.0145183+0.0238004j -0.0279448+0.00884949j -0.044219+0.0384168j 0.1058-0.00497113j 0.0273098-0.119595j 
0.0676669-0.0882761j 0.008332-0.019294j -0.079379+0.053953j -0.128112-0.0740324j 0.155425+0.113861j -0.0969391-0.0193765j 0.0202242+0.0581401j -0.0567643+0.00977257j -0.0559433+0.120318j -0.037748+0.0212689j -0.0458049+0.0398447j 0.149594+0.00198328j 0.00197834+0.0438904j 0.0194965+0.0069744j -0.0658277+0.151914j 0.123586+0.175597j 0.0275254-0.0921241j 0.0650528-0.0813756j 0.00944882-0.0690102j 0.0727064+0.0564144j -0.0980779+0.0566275j -0.363111+0.0459075j -0.246195+0.150961j 0.126038+0.027345j 0.0354972-0.025838j 0.00561175-0.293291j 0.396741-0.0618761j -0.0814086+0.0497468j -0.131548+0.105062j -0.0557383+0.108994j -0.0202429-0.050732j 0.0410709-0.0115544j -0.0243564-0.0337424j 0.0205862-0.0135645j -0.00672198+0.0507317j -0.0147731-0.023063j -0.024499+0.0100582j 0.0175479+0.00584905j -0.0163802+0.0148931j -0.0161205-0.000666499j 0.0231938+0.00919739j 0.00774153+0.01982j -0.00227364-0.00152384j -0.012978+0.00445781j -0.0135332+0.0155466j 0.00542332-0.0333569j 0.0154955+0.0107449j -0.01611+0.00834275j -0.0131174+0.0195688j -0.00778898-0.00548535j 0.0243238+0.00817937j -0.0174277-0.0217302j -0.0269203-0.00155828j -0.0138487+0.0422711j 0.0173656-0.0386521j 0.0417667+0.0344903j -0.0382406-0.0461839j 0.00975557-0.00368197j -0.0184841-0.00765207j 0.00403393-0.00150209j -0.00354054-0.00480978j 0.0167005-0.032334j -0.0218806-0.00531307j -0.0317506-0.0255192j 0.00729011-0.0141949j -0.0649526+0.0543475j 0.052019+0.0487839j -0.0255203-0.00915337j -0.00856136+0.0485526j 
-0.0434534-0.0179376j 0.060437+0.0260138j -0.0482319-0.0781815j 0.00543933-0.0229423j -0.0428031-0.0587248j -0.046615-0.0789614j 0.00203857+0.000935674j 0.0232047-0.14216j -0.0334493-0.0842625j -0.0233694+0.0953856j -0.0719663+0.0559474j -0.114438-0.0796139j -0.0578836+0.00848572j -0.00376168-0.0699935j 0.110197+0.0747889j 0.293992-0.0402816j 0.0468005-0.346152j -0.0265851+0.216052j -0.0562993-0.213231j 0.190894-0.153423j 0.0116478+0.0627549j -0.0223774+0.127552j 0.00706057+0.00322735j -0.278218-0.0582881j -0.142337-0.0815587j 0.0330165+0.247211j -0.0310396+0.162154j 0.0058203+0.00953738j 0.116021-0.00415362j -0.00750517-0.0343236j -0.031022-0.0315652j 0.0128286+0.0427058j 0.000547584+0.0154738j -0.00231589-0.0276972j -0.00604596-0.0166919j -0.00253491-0.00811519j -0.00220255+0.0163856j -0.012756+0.0238708j 0.000103832-0.00178897j -0.0154764+0.0183474j -0.0123989-0.0180004j -0.0111946-0.0283756j 0.00170388-0.00259073j 0.0111324+0.0423323j 0.00947103+0.00546908j -0.0139321+0.00542173j 0.043557+0.0158478j -0.00415961+0.0292308j -0.0328888+0.0381982j 0.0138621-0.0203456j -0.000751416-0.0125622j 0.011909+0.0223167j 0.0364835+0.0114288j 0.00385198-0.00681899j 0.00903881-0.00891213j 0.00158355-0.0190155j -0.0307105-0.0254812j -0.0107963-0.0161954j 0.0154572+0.0194006j 0.0172332+0.0170358j -0.0181049+0.0282745j 0.00648461+0.0182706j 0.00529487-0.00559303j 0.00845874+0.0120612j 0.0205424-0.00572791j 0.0013165-0.0365655j -0.02082-0.0116932j -0.0143893-0.0252234j -0.00171577+0.00736059j 
0.123799-0.0459766j 0.0894007+0.00663679j -0.105223-0.026626j 0.00231843+0.0151138j -0.0155981-0.0268312j -0.0438815-0.0340001j -0.0291211-0.0361583j -0.0421585+0.00424034j -0.115558-0.141053j 0.125977-0.0860505j -0.04163+0.0774087j -0.0176614-0.116476j -0.114549-0.0338813j -0.0347192+0.129938j 0.0390643+0.0803912j -0.0641987-0.263596j -0.0893368+0.0165343j 0.0745881-0.0922939j -0.126983+0.0680932j -0.188696-0.0621335j -0.222834-0.0431791j -0.105478+0.190187j 0.154823+0.0776575j 0.182379+0.0405849j -0.136837+0.0889141j 0.0291937+0.029217j 0.100125-0.220736j 0.075666-0.00865492j -0.0553361+0.0429166j -0.0892628+0.0212322j -0.0113377+0.0100628j 0.049233-0.00337085j 0.01107+0.018853j -0.000671013-0.0207555j -0.0215441+0.0026354j 0.00452236-0.00105161j 0.0238368-0.00136517j 0.00274562+0.012462j 0.00684673+0.0313906j 0.00668109+0.010577j 0.00309143+0.000570092j 0.0025617-0.00849701j 0.0166119-0.0241548j -0.0169714+0.0261807j 0.018248+0.0161994j 0.00903516+0.00942554j 0.0154443-0.024998j 0.0183875+0.0115608j 0.0309294+0.00311772j -0.0301859-0.00617651j -0.0259492-0.0141049j 0.030451-0.000615167j 0.000850082+0.00345712j -0.0172185+0.0186607j 0.0356015-0.031753j -0.0369996-0.0323204j -0.00498555+0.0339157j -0.0351318+0.0160974j -0.0179425-0.0143344j -0.0263908+0.00848419j 0.0040224-0.0386589j 0.00467559-0.00174632j -0.00456345+0.0102384j 0.000204077-0.00671851j -0.000236651-0.00740322j -0.0134458+0.0241011j 0.0203702-0.0144825j -0.0201912-0.00179953j -0.0108296+0.0132345j 
-0.0425746+0.0193767j -0.0412918+0.043437j -0.0412884+0.0609162j -0.0265819+0.0753414j 0.0166781-0.106096j -0.128758+0.0118574j 0.0423799+0.0777007j -0.00414696+0.024062j 0.0801299+0.0675903j 0.0253205-0.0307105j -0.221143-0.111516j -0.039083-0.00964909j -0.00612538-0.101929j 0.0782603+0.152173j 0.00127553+0.133919j 0.136058+0.0559074j -0.194197+0.101284j -0.311474+0.0849473j -0.0174076+0.0126542j 0.0268143+0.0649935j 0.0165107+0.283189j 0.0352321+0.130856j -0.0839302-0.0836515j -0.09348+0.220104j -0.135269-0.0101242j 0.0966986-0.136912j -0.0685066+0.0911462j 0.0287545+0.0367647j 0.0570289-0.0499326j 0.018248-0.0309914j 0.0155644-0.0461563j 0.00790949-0.0150508j -0.0184082+0.0230951j 0.00658165-0.0260055j 0.0311885-0.0050376j -0.0176135+0.00267784j -0.00480019-0.0138767j 0.0078002-0.00183381j 0.0141225-0.0381534j -0.0251395-0.0345581j -0.0121543-0.0154945j -0.00494605-0.0124711j 0.0144466-0.0149139j 0.00507745-0.0230707j -0.0168578+0.0225384j -0.0065564-0.0130191j 0.0130922-0.00884832j 0.0115359-0.00664786j -0.0201933-0.0152497j 0.0212785+0.017307j 0.026083-0.00312814j 0.023115+0.0158298j 0.0146542-0.0125792j 0.0169662+0.0217842j 0.000673709+0.00372737j 0.00851908-0.0133629j -0.0302951+0.0244889j -0.0220625+0.0277271j -0.0151976-0.0011379j -0.0331686+0.00134271j -0.0158467-0.0107906j 0.00781853+0.0249267j -0.00255348-0.00124818j 0.00562481-0.0117819j 0.0160436+0.00345774j -0.0165286-0.0101698j -0.0134931+0.0219711j 0.0020733-0.0123513j -0.0143502-0.0150912j 
0.00839088-0.00356032j 0.00602996+0.0425478j -0.0460786+0.0196966j -0.0141732+0.0721348j 0.0139031-0.087663j -0.0146548+0.00497342j 0.0227071+0.0882329j 0.0283671+0.0885407j 0.0109941+0.125442j 0.00714845-0.0908694j -0.0321064+0.0219j -0.0420536+0.0295481j 0.132746-0.191709j -0.0442513-0.139107j -0.177035+0.149025j 0.104788-0.0456634j -0.03495+0.0223651j -0.172555-0.121328j -0.0153225+0.150908j -0.0943756+0.0945649j 0.08191-0.130762j -0.0183969-0.110924j -0.0868419+0.0408949j -0.030043+0.0398869j -0.0190807+0.0030859j 0.0625708-0.103284j -0.0251115-0.0369959j 0.0661133+0.00599103j 0.0711878-0.0172431j -0.0121501-0.0191378j 0.00527226-0.0237777j 0.0136659-0.013249j -0.0100001+0.032647j 0.00605487-0.0232903j 0.00264167-0.00303929j -0.00511223+0.0210098j 0.0116338-0.0116255j 0.0125479-0.0254498j 0.0142622-0.0179792j -0.00614774-0.00313461j -0.00359581-0.0220603j 0.000208092+0.00195227j -0.0103324+0.00998817j -0.000807454-0.00569682j -0.0223427+0.00751747j 0.00732091+0.0112255j 0.039072-0.0082018j 0.0109311-0.00514188j -0.0123979-0.0319869j -0.00306714+0.0170282j -0.00077316-0.0028453j -0.0220572-0.00792236j 0.0138122+0.0315941j -0.00688278+0.0176494j 0.000764267+0.0251236j 0.0198562-0.00494389j 0.0136521-0.0161458j 0.00621559+0.00168667j -0.00668616-0.0107172j -0.0123472+0.00419914j -0.00251477-0.0154538j 0.00328403+0.0148222j 0.000456141+0.00172296j 0.00417594-0.0145472j 0.00545566-0.000233566j -0.0105921-0.000694984j -0.000718764+0.00264136j -0.011217-0.00893645j -0.00818688-0.00668358j 
-0.060256-0.053237j 0.0221698+0.00171722j -0.107407+0.0592187j -0.0982283-0.0591006j 0.0572841+0.109356j -0.0511963-0.0444366j -0.0144836-0.00159125j 0.0478277+0.173731j -0.0181788+0.0711643j -0.0884706+0.134517j 0.274346-0.0104265j 0.0742049+0.12216j -0.056755+0.0440498j -0.0476051+0.151808j 0.00882065-0.0409097j 0.18071+0.0207877j -0.066769-0.241661j -0.160582-0.0799333j -0.0140617+0.184373j -0.229996-0.0296459j 0.160347-0.0964966j 0.114467+0.065439j -0.145688-0.107742j -0.0576709+0.00766971j -0.0771764+0.149275j -0.0351293-0.0394283j -0.000494684+0.0929655j -0.0867739+0.0194462j 0.0309225-0.0431742j 0.0140348+0.0260169j -0.0299161-0.0512665j 0.0243214-0.00228686j -0.0338861-0.00697237j 0.0101471-0.00956742j -0.0078471+0.0206328j -0.0272918-0.00474319j -0.0318165-0.0063182j 0.0230771-0.0261328j -0.0213952+0.0129002j 0.0147108+0.00316996j 0.0166933+0.00903554j 0.00731243+0.0136603j 0.0120427+0.0143478j -0.0107471-0.00416938j 0.01813+0.0261835j -0.0262411-0.00996206j -0.050185+0.00483025j -0.0165428+0.00973751j 0.0175722-0.0256741j 0.0240791-0.00302511j -0.0134689+0.0113011j -0.0302662+0.0352238j 0.00260402-0.00596919j 0.0107461+0.0087505j 0.00900923+0.0106416j -0.0166597-0.0137675j -0.0116839-0.0224531j 0.0117119-0.00351432j 0.00561997+0.0170705j -0.00291662+0.00752978j -0.00962991+0.00465448j 0.0152212+0.00617715j -0.000551989+0.0135763j -0.0103023-0.000558498j 0.0155263-0.0141827j -0.0109368+0.00406832j 0.0174381+0.0266639j -0.00221411+0.00350994j 0.0133439+0.0159533j 
-0.0413137+0.0633583j 0.0213396-0.0382534j 0.130406-0.136893j 0.0298984+0.0444623j -0.00597966-0.0802275j 0.08015+0.0213424j 0.0443537-0.0417199j 0.0939967+0.0656605j 0.015129+0.0306724j 0.0509901+0.0275711j -0.133658+0.0711284j -0.0937523+0.0317308j 0.0780685-0.183399j -8.84835e-05+0.135819j -0.148969-0.0488053j 0.164062+0.200921j 0.0866587+0.261568j 0.0600311-0.178487j -0.373554-0.00714085j -0.174539-0.107497j 0.139757-0.143757j -0.00960538+0.117274j -0.0174273-0.0529265j 0.145552+0.0964749j 0.0953123-0.202412j 0.0273625+0.0551645j -0.0326364-0.0690148j 0.0566903-0.0211339j 0.0524373+0.0148239j 0.0310469-0.0523593j -0.0232319+0.0676068j -0.0459026+0.0340749j -0.00470588+0.0140321j 0.00471981+0.0203736j 0.00894772-0.019585j 0.018777+0.0229857j 0.00684028-0.00235354j 0.01232-0.0225646j -0.00171658-0.00213823j -0.0155574+0.00152081j -0.0199658-0.0125603j -0.0104356-0.00999323j 0.0182356-0.0170186j 0.00701617+0.00212865j -0.0216265-0.00768983j 0.0299547+0.00196166j -0.000842772+0.0082309j 0.000896947-0.0376305j 0.00576685-0.0142225j -0.0195183+0.0287481j -0.00236593+0.038404j 0.0156867+0.0153401j 0.0273137-0.00461319j -0.0149034+0.00842772j 0.0283867-0.0173203j -4.73574e-05+0.0144998j -0.017783-0.0175081j 0.000998299-0.0108413j -0.00422483+4.75464e-05j 0.0188794+0.00843046j 0.000528889+0.00329612j -0.0165123-0.0103053j -0.000708678+0.0118304j 0.00317916+0.0045365j -0.013152+0.0139093j 0.0201956-0.0171124j -0.0138605-0.0228468j 0.0118281-0.00149129j 0.00852701-0.021177j 
