-0.0070329+0.0698612j 0.0112106+0.0300251j 0.00524648+0.0244249j -0.0105183+0.0225025j -0.00148163-0.0117599j 0.00589286+0.0132726j -0.00836437+0.025222j -0.00306969+0.00737344j 0.00358031+0.00632515j 0.0100227-0.0316669j 0.00324013-0.0199349j 0.00915361-0.00431556j 0.00784533-0.0718472j 0.0137351+0.062809j 0.018424-0.0926123j -0.00328189-0.0848655j 0.00573856-0.0491443j 0.0031629-0.0545698j 0.00473+0.0617499j 0.00128347+0.0360494j -0.000670853+0.0740636j 0.00481265+0.0452826j 0.00275144+0.0275389j -0.000189528+0.00233626j -0.000650163-0.0535513j -0.000240107-0.0358609j -0.00232062-0.0361036j 0.000658949+0.0566582j -0.00298762-0.0551113j -0.00189008-0.0161487j 0.00148136+0.0517576j 0.00148245-0.106055j -0.000160652-0.0248847j -0.00536558-0.134322j 0.00258663-0.152455j -0.00693439-0.492284j 0.0058177-0.0847677j 0.00957067-0.141373j 0.0106124+0.0898154j -0.0393764+0.0283686j 0.0153056+0.0854362j -0.00894417+0.0281138j -0.00255743+0.00815753j -0.00201981+0.0248388j -0.0164166-0.046986j 0.00747302-0.0474281j -0.027631+0.0148062j -0.000474461+0.0196331j -0.0110387-0.0202924j 0.00577956-0.00941128j 0.0028746+0.0364699j -0.0113571+0.00170626j -0.0185155-0.00146223j -0.00895438+0.0225589j 0.00310347-0.0380152j -0.00941778+0.0268854j -0.0180935+0.000857066j -0.00406299+0.00658666j -0.00205438-0.0211002j 0.0116404-0.00371548j -0.00957609+0.013852j 0.00349613+0.0195092j 0.00964881+0.0131479j -0.00411386-0.00186314j 0.00261622-0.0128859j 0.00893394+0.0153598j 0.0180725+0.00643317j -0.00660636+0.00452962j 0.0151882-0.0134768j -0.000102667-0.00490101j 0.00294376-0.0036333j -0.00225512-0.00592769j -0.0159378-0.00621868j 0.00905347-0.0103576j 0.00372739-0.0180695j 0.0104679+0.0174439j 0.0198248-0.0108863j -0.0049429+0.00585463j -0.0114962+0.00737817j 0.033522-0.00401465j 0.00313859+0.00088192j -0.0108791+0.0143638j -0.00268409+0.0177889j -0.017215+0.0224346j 0.00100848-0.0105455j 0.0802652-0.0105134j -0.0496502-0.0101066j 0.00606253-0.0336887j -0.00960047+0.021977j -0.151752+0.00751708j -0.331569+0.00677571j 0.0452246-0.00181648j -0.0777762-0.0551339j 0.1305+0.0359074j -0.0338123+0.293351j 
-0.0116867-0.0265253j -0.00737303+0.0765976j -0.007289+0.0343352j -0.00167651-0.0431093j 0.00320465-0.00997966j -0.00472759+0.0313379j -0.00372674-0.0273519j -0.00094709-0.00848634j -0.00249167+0.0178975j 0.00573213+0.0329889j 0.00442955+0.00678558j -0.00129724+0.0406976j 0.0163851+0.00759846j -0.0209913+0.107012j 0.0127805+0.0582991j -0.00522807+0.0501768j -0.00381947-0.0951054j -0.00398736-0.0797994j 0.000217063-0.0713977j -0.00056451+0.0146198j 0.0019489+0.0285166j 0.000621681-0.0873313j 0.000604199-0.0530238j 0.000133157+0.0138466j -0.00231566+0.0234461j -0.000180798-0.0505149j -0.000961762+0.0392781j 0.00195521+0.00552481j -0.00254556+0.0411554j 0.000222217+0.0576902j 0.00114302-0.0439831j -0.00445361-0.0408734j 0.000417714-0.0230037j -0.00348423+0.108144j -0.00666931-0.175243j -0.00570087+0.102344j -0.00776358-0.511845j -0.0099712-0.0864409j 0.0104487-0.160045j 0.0161059+0.08501j 0.037985-0.0220795j -0.0183917-0.0145765j -0.0109859+0.0942185j 0.01269+0.00502385j -0.0233697+0.0450464j -0.0124255-0.0483134j 0.00507918+0.00447623j -0.0156564-0.0117723j -0.0026969+0.033462j -0.0136693+0.0115243j 0.0206024-0.00265213j 0.0123455-0.00647258j 0.00806542+0.0200226j -0.0040257-0.00945816j -0.020237-0.0135836j 0.00607518+0.00513838j -0.00361802+0.0175102j 0.0135813-0.00810108j 0.0041346+0.0137905j -0.00174302-0.00898015j 0.00741755+0.00561119j -0.00933643-0.00285083j 0.00500108-0.0074129j 0.0118805+0.0122166j -0.0080818+0.0125598j 0.0075851-0.0023954j 0.00153219-0.0151138j -0.0101947-0.00166655j -0.0115643-0.00881663j -0.0093288-0.00405606j 0.00663613-0.0212711j -0.00501749-0.00580114j -0.00933697+0.000966543j -0.0200349+0.00372908j 0.000415655-0.00425341j -0.000877635+0.00904496j -0.00285316-0.000608403j 0.016684+0.016101j 0.0206534-0.0103583j 0.019693-0.0326202j 0.0147247+0.00380163j 0.0135799+0.00151234j -0.00722721-0.00563129j 0.0123669-0.000722901j 0.0796139-0.0162865j -0.0055607+0.0224546j 0.0146933+0.0346175j -0.0145856-0.0215j 0.0276386+0.000479902j -0.333572+0.00940404j 0.15416-0.00349964j 0.0736823+0.0597527j 0.0101708-0.00752075j -0.0340639+0.285183j -0.127691-0.0363156j 
-0.00576418-0.0174807j -0.000916469+0.061087j -0.00373083+0.018916j 0.00500313-0.0482164j 0.00283563-0.0182813j 0.00251385+0.018022j 0.00696656-0.0602388j 0.00914924-0.0378077j -0.00140978+0.0217545j 0.000962879+0.0476107j -0.00351445+0.0190479j -0.0101153+0.128596j -0.0117353+0.129792j 0.0275131-0.0414415j 0.00754556-0.0130211j -0.00121001+0.00986771j 0.000355997-0.0662078j -0.00182463-0.00853613j -0.00504982-0.0452016j -0.00617742-0.0420669j -0.00306705+0.0121968j -0.0038224-0.0999362j -0.00181233-0.0300352j -7.33577e-05+0.0369077j -0.00149937+0.00109384j 0.00683057+0.0593733j 0.00406784+0.0899085j -0.00213399-0.0400283j 0.00498365+0.181384j 0.00165491+0.0663253j -0.0032882-0.0801412j -0.000895759-0.0959233j 0.00518076+0.0956725j 0.00748823+0.641336j 0.00816646+0.169302j -0.000360911-0.399251j 0.0094468+0.187681j -0.00369947-0.110678j 0.00714369-0.0870404j 0.00809591+0.0440193j 0.0152833-0.0272605j -0.00983401-0.0270398j -0.00245155+0.0268554j 0.00386783-0.0591542j -0.00824584+0.0480826j -0.00288134-0.0233022j 0.015552-0.0205022j -0.00911618-0.0174993j 0.0111904+0.0124019j -0.0142155+0.0369428j 0.0137418-0.0274019j 0.0186653-0.0251646j 0.00285911-0.00800147j 0.00364168-0.0338758j -0.00948751+0.0174559j -0.00273717+0.0315113j 0.0114736-0.0197695j 0.018582+0.00534717j 0.0100252+0.0187874j -0.0120846-0.00486539j 0.00347314-0.00806468j -0.00681835+0.00284804j -0.00771484-0.0153068j 0.00917747-0.00231017j 0.00217372+0.00908756j -0.00299764-0.00815555j -0.0218872+0.000280134j -0.0117388+0.00432434j -0.0241433+0.0213263j 0.0171064+0.0034682j 0.0341852-0.0326242j -0.014769+0.0313238j 0.0293897-0.0391709j -0.0399221+0.0209752j 0.0051837+0.0222994j -0.0159843+0.0193141j -0.0220941+0.00251956j 0.0335408+0.0125559j 0.0525808-0.0249363j 0.00563253+0.0484462j 0.000523007-0.00524935j 0.0101426+0.0387478j -0.0777853-0.0262396j 0.0863701-0.0604431j 0.0270063+0.0124705j -0.201758+0.0182711j 0.0946942+0.0288556j 0.0413481+0.0364779j 0.0666014+0.0745533j 0.0237042-0.00122072j -0.0558227+0.0194544j 0.0801769-0.0185417j 0.0231678-0.128117j 0.00321798+0.00211262j 0.00186662+0.00670714j 
0.000630753-0.0541582j -0.00621428-0.0408293j -0.000390591-0.0440136j -0.000283995+0.039939j 0.00260306+0.0246329j -0.00385902-0.0101536j 0.0028359+0.0293713j 0.00069421+0.0449295j -0.00171257-0.0237127j -0.00346129+0.0215091j 0.00162479-0.00814282j -0.00842178-0.0896518j -0.00993314+0.0864207j -0.000407332-0.0300403j 0.024427-0.0512155j -0.00286323+0.065072j -0.00217634+0.0197388j 0.000649798+0.040543j 0.00248754+0.0632171j 0.000678636+0.0792643j 0.00188834-0.0280775j 0.00053168+0.0606369j -2.21728e-05+0.0552956j -0.000366876+0.0162427j -0.000474986+0.0701615j 0.000594201-0.0611673j -0.000321247-0.0377419j -0.000403394-0.0250707j 0.00343375-0.0636692j -0.000888469-0.0473182j 0.000872111+0.0273606j -0.000343425+0.211206j 0.00148771-0.170828j 0.00101222-0.0435524j 0.00845931+0.664408j -0.0108588-0.240657j 0.00281566-0.453142j -0.00634586+0.112146j -0.00462362-0.104198j 0.0133592-0.0239156j -0.0132197+0.000950517j 0.00465389+0.0358845j -0.000977358-0.0253404j -0.0124077+0.0997506j 0.0192858+0.00330954j -0.000499833-0.00694093j 0.00347513+0.000981034j 0.0113177+0.0227469j -0.00922079-0.0304407j 0.0170388-0.0169161j -0.0124553+0.0129636j -0.00863238-0.0140696j 0.00186592+0.0354161j 0.00404433+0.0137144j 0.00862407-0.0029732j 0.0124242-0.0203414j -0.000714742+0.0112727j -0.0154922+0.00175366j -0.00824533-0.0117954j -0.00360943-0.000316378j 0.00684192-0.0268129j 0.0101261-0.00567417j 0.00803647+0.00538124j -0.00616895-0.0068542j -0.00679418-0.00932565j -0.0077569-0.0121288j -0.00111218+0.00845491j 0.0127404-0.0150843j 0.00318741+0.0162421j -0.0124877+0.0142489j -0.0119107-0.00125984j 0.0042307+0.0202126j 0.0158787-0.00562449j 0.0285039-0.00115348j -0.0169927+0.00414938j -0.00805687-0.0230603j -0.0241713+0.0252739j -0.0165318+0.0255786j -0.028804+0.0245568j -0.0475473+0.0195336j -0.0231016-0.0265904j 0.0127639+0.0121972j 0.0404002+0.0161164j -0.0308282-0.0513465j -0.185872+0.0270944j -0.0867917-0.0411161j -0.0293998-0.0232841j 0.00242837+0.0044275j -0.0444599+0.020766j -0.0383571+0.0212612j -0.0132474-0.00814652j -0.0113859+0.0873716j 0.0524335+0.0109105j 0.000892104-0.0155841j -0.000396397-0.00586022j 
0.00772561+0.0292116j 0.00320693-0.00510121j 0.00238137+0.023231j 0.00170097-0.0355188j -0.00541602-0.00845541j 0.00257881-0.0401792j -0.00115164-0.0235054j -0.00355169-0.0520447j -0.000249969+0.0138948j -0.00517607-0.0797899j -0.00707168+0.0768529j 0.00368149+0.0786925j -0.0174194+0.0137905j 0.00548817+0.0046723j -0.00404074-0.048239j 0.00574031-0.027299j -0.000345069+0.0287883j 0.00101277-0.0237732j -0.00127255-0.0586225j -4.25198e-05-0.10657j -0.000751874-0.0136566j -0.000528644+0.00676423j 0.000975103+0.00757719j 0.00147907-0.00617678j 0.000575428-0.116137j -0.000544337+0.151804j 0.000866429-0.00193369j 0.000266919+0.0260248j -0.000235106-0.0403261j 0.000740549+0.0365607j -0.00133403-0.0352514j 0.000512876-0.341575j 0.00308383+0.733265j 0.000756444-0.20395j 0.00229127+0.302804j -0.0077291+0.0716348j -0.00387233-0.212021j 0.00365939+0.0101085j -0.00240507+0.0506544j -0.0067189+0.0063482j 0.000702861-0.0301917j 0.00436415-0.0365679j 0.00550806+0.0431071j 0.0129124-0.0962897j -0.0071854-0.0161166j 0.00362482+0.0318442j -0.00110771+0.00405799j -0.00378521-0.0167328j 0.015996-0.00572468j -0.0129709-0.00343739j -0.00126485+0.00774343j 0.0025668-0.00987076j -0.00555827-0.0140105j 0.000206411-0.00398546j 0.00423972-0.00237458j -0.0109926+0.0558934j 0.00522593-0.0305667j 0.00855787+0.0051689j 0.00482929+0.0053211j -0.0023797+0.00484042j -0.0206656+0.0347491j 0.000276805+0.00913273j -0.0187262-0.0151362j -0.00934836-0.00444207j 0.0117471+0.00853181j 0.00331588+0.0139543j -0.00274172-0.0055517j -0.00586927+0.0204813j 0.00740314+0.00591796j 0.033418-0.00828714j -0.00435406-0.00384535j 0.00128381-0.00811721j -0.0173012-0.020006j -0.0321061+0.0068662j 0.0396367-0.0069843j 0.0221664+0.013021j 0.0358182-0.0131482j -0.00187923-0.0374282j 0.00230191-0.022486j 0.00576491-0.00710857j -0.0685317+0.0312984j -0.043219+0.0465232j -0.126371-0.00979211j 0.0954604+0.0300321j -0.0184723+0.0123356j 0.0252761+0.000469446j -0.0214482-0.0199939j 0.0363499+0.00307094j 0.0190454-0.0246893j 0.00184357-0.00639089j 0.00668671-0.00898533j -0.000445792-0.0169708j -0.0115475+0.00487516j 0.00325334-0.00973969j 0.000591135+0.00886801j 
0.00151668+0.0374654j 0.00694672-0.0196007j 0.0050773-0.00117471j -0.00118851+0.0255065j 2.0844e-05-0.0162526j 0.0125274-0.0144628j -0.000411137+0.0150217j 0.0016771-0.000529069j 0.00453931-0.029748j 0.0155904-0.0999583j 0.00541319-0.124296j -0.00953226+0.0536395j -0.00753079-0.0208221j 0.0115373+0.0295872j 0.0137626+0.0536643j 0.000908258-0.0424551j 0.00295939+0.0182489j 0.00188701+0.0059093j -8.68705e-05+0.0481402j -0.00212615+0.00300356j -0.000591976+0.0636173j 0.00133103+0.00936318j 0.00266943+0.0577043j 0.00116224+0.0141524j -0.00218273-0.0684662j 0.00153427+0.0430246j -0.00143256-0.0308124j 0.000405025+0.0277611j -0.00266001-0.11496j -0.000516046-0.1336j 0.00237919+0.39457j -0.00643085-0.625843j -0.00138177-0.352124j 0.00245005+0.207299j -0.00479549+0.204453j 0.00234014+0.266886j -0.0109651-0.0231287j 0.00401597+0.0142064j -0.00211867+0.0775014j -0.0114204-0.0260836j -0.00408462+0.0156982j -6.85291e-05+0.00696663j 0.00317427-0.0381263j -0.0052467-0.0220653j -0.00284398-0.000461096j 0.00592776-0.0204445j -0.00999353-0.00652274j 0.00227681+0.00334587j 0.00212208-0.0338763j 0.00453734-0.00220468j 0.0036535-0.000498645j -0.00627147-0.0109245j -0.0170968+0.00295349j -0.00445078-0.0069842j 0.0117918-0.0118176j -0.00854482+0.0366019j -0.00709975-0.0158421j 8.85638e-05+0.0292802j 0.00647154-0.00598517j 0.00332801+0.0106889j -0.00562702-0.00350842j 0.00848838-0.00183486j -0.00358603-0.00013582j -0.00373264+0.00975738j 0.00733244-0.000811312j 0.00215019-0.00974784j 0.0171726-0.0200673j -0.00902408+0.00412703j 0.0521644-0.0572159j 0.0325793+0.00689434j 0.00870194-0.0307256j 0.00814233+0.028048j -0.0267699+0.00644449j 0.0358609-0.0200503j -0.0234707-0.0411453j 0.0192501+0.0619317j 0.0638926-0.0252617j 0.0214431+0.0146006j -0.0310025-0.00047469j 0.128823-0.0121365j 0.0605695-0.0295374j -0.0658064-0.0417251j 0.0381676+0.00871993j 0.0377784+0.0104842j -0.00169297-4.3644e-05j -0.0361297+0.0150587j -0.0202165+0.0119539j -0.0414023+0.0075038j 0.0211705-0.00812269j 0.00388973-0.0142652j 0.00571475-0.000429805j 0.00809222-0.00464919j -9.24458e-05+0.0192533j 0.00147751+0.00386381j -0.00215897+0.0216682j 
-0.00462205+0.0425149j 0.00130232+0.061058j -0.00291852+0.0605654j -0.00268882-0.046252j 0.00115208-0.0183216j -0.0048317+0.0670199j 0.00160954-0.0442649j -0.00242533-0.0564187j 0.00160375+0.0741496j -0.00276912+0.0756153j 0.0080085-0.00893942j 0.00192825+0.027184j -0.00432405-0.00395435j -0.00834683-0.0513833j 0.00958923-0.0153467j -0.000299331-0.033691j -0.00100931-0.0446688j -0.00157055-0.0866467j -0.00183835-0.0635002j -0.000812357+0.0145815j -0.000704441+0.0183394j -0.00351073-0.110467j -0.00178015-0.138612j 0.00074782-0.0319043j 0.00131592-0.0156167j 0.001953-0.0403434j 0.00256413+0.151821j -0.00119663+0.0279457j 0.00478735+0.288741j 0.000865958+0.227398j -0.00133231-0.433988j 0.00105031-0.297598j -0.000828434-0.348023j 0.00521415-0.415345j 0.00707104+0.274972j 0.0063137+0.016241j 0.00222785+0.161729j 0.00309948-0.111592j 0.004806+0.0444301j -0.00676407+0.0534455j 0.0166339+0.0179766j -0.00575969-0.0114026j -0.00327954+0.0766029j 0.0130446-0.00961881j -0.0191653+0.0296452j -0.0101759+0.0034383j -0.00369221+0.00293777j -0.0126008-0.0137816j -0.000987688+0.0324621j -0.0181405+0.026831j 0.0195023-0.0498859j 0.0149293+0.00646116j 0.0127499-0.022235j -0.00156594-0.0289779j -0.0267501+0.00896892j -0.00904026-4.49034e-05j 0.00473152+0.00175864j 0.0289138-0.0414581j 0.00579005+0.0256241j 0.00585558+0.0114469j 0.000332049-0.00389817j -0.0225144-0.00597911j -0.00582978-0.00725073j 0.0241793+0.0106148j 0.0102649+0.00262066j 0.00697175+0.00988513j -0.0121069+0.0220879j -0.0227802+0.00111175j -0.0363104+0.0101918j -0.0107501+0.00317371j 0.0534942-0.0055485j -0.0271854+0.0163696j 0.0129344-0.000959518j -0.0806329+0.0187259j 0.0353632+0.0235316j 0.0162191+0.00640736j -0.0198729+0.00037573j 0.0326605+0.0171138j 0.0386843-0.0537152j 0.0209998+0.015724j 0.073176+0.0203399j 0.08101+0.0352307j -0.0217645-0.0243933j -0.00916117+0.0124651j -0.0326507+0.0171546j 0.0178385-0.0215253j 0.0262807-0.0224584j -0.0147355-0.0161201j -0.00391378-0.0139864j 0.00645881-0.00292673j -0.00378006+0.0113199j 0.00243293-0.0326012j 0.0023036-0.0247995j -0.00149504+0.0195946j -0.000593776-0.00175989j 
-0.00290668+0.0130673j 0.00214475+0.0265936j -0.00527239+0.0192629j 0.00686419-0.0262838j -0.000272365-0.0250205j 0.00438753+0.047364j 0.00218771-0.0501718j 0.0029647-0.0429909j -0.00492498-0.0318253j 0.00612181+0.0854572j -0.00663133-0.0425181j 0.00906146-0.0320124j 0.0056732+0.0339378j 0.00394274-0.0191418j -0.00284435-0.0378346j -0.000386968-0.0176888j 0.00128855-0.0152206j -0.00287428-0.000141734j -0.0035089-0.0331823j -0.00260347-0.00200462j -0.0029869+0.0444007j -0.00153416-0.111813j -0.00110563-0.0972131j -7.16123e-05-0.028663j -0.000812096+0.0632839j 0.00222488-0.00253648j 0.00214826+0.0826948j -0.000948312-0.0921107j 0.00164562+0.562132j 0.000705+0.113407j -0.000365626+0.68825j 0.00277794+0.128439j 0.00134297+0.0906687j 0.00182089-0.224335j 0.0042695+0.0348375j 3.11161e-05-0.0285972j 0.000471525+0.00461049j 0.00108097-0.0537501j 0.00235531+0.0269434j -0.000104371+0.00975802j 0.0057267-0.00259209j -0.00422869-0.0139688j 0.000615765+0.00524852j 0.00202225-0.0120039j -0.00991556+0.0415937j -0.00569895-0.0307616j 0.00620913-0.00529694j -0.00308746-0.0104144j -0.0029925+0.0429817j -0.0110696+0.0189214j 0.0206828-0.0392154j 0.00816272+0.0252118j 0.010407-0.0240749j 0.00185222-0.0265319j -0.017543+0.0239523j -0.0091389-0.048009j 0.011509-0.00572787j 0.0089384+0.0128612j 0.00720727+0.00180304j 0.00211567+0.0068761j 0.0271613-0.0146107j -0.0137211-0.0122662j -0.000643693+0.00877824j 0.0128943+0.0070057j -0.00112653-0.0104828j -0.0075426-0.00950119j -0.0243335+0.0110152j -0.0169667-0.00238103j -0.0481061+0.0261714j 0.0167699-0.00662179j 0.0646721-0.017461j -0.0170919+0.00122652j 0.0363562-0.0267662j 0.00319821+0.0184049j 0.00815564+0.0457269j -0.0350513+0.00661857j -0.0874904-0.0330368j 0.0156671+0.0261219j -0.054214+0.0173994j 0.028478+0.0212507j 0.00468235-0.0127008j -0.0205856+0.0102297j -0.00379007-0.0105252j -0.0326812-0.0114499j -0.00989569+0.00469572j -0.000885406-0.018053j 0.00165263-0.0171117j -0.00741291-0.0130107j 0.0102548+0.00107969j 0.00156326+0.00370328j -0.00120324+0.00661991j 0.0065708-0.00515048j 0.0024673-0.0265903j -0.00115575+0.00480654j -0.000155618-0.00561438j 
0.00157314-0.00526858j 0.00117278-0.0131298j -0.00198639-0.0156648j 0.00730829-0.000361652j -0.000740131+1.72015e-05j 0.00366245-0.00400439j 0.0030517-0.00797109j 0.00670581-0.0480739j 0.0145066-0.0810589j -0.000498416+0.0348112j 0.00360672-0.0210788j 0.00406381-0.00123896j 0.0016822+0.0153474j 0.00676319+0.00424224j -0.00234085-0.0292851j 0.000511805-0.00563236j 0.00118636+0.01656j -0.00108234+0.0429058j -0.00182803+0.00497984j -0.0019182-0.0135597j -0.00138704-0.00538442j -0.000778738-0.00526594j -3.17925e-05-0.0108276j -0.000590807-0.026242j -0.000340774-0.00908707j 0.0023246+0.0810744j -0.00162253-0.0408596j -0.00177993-0.101584j 0.000996034+0.396534j -0.0035819-0.838067j 0.000474864-0.219242j -0.000949821-0.0669054j -0.000868026+0.00800898j -0.000954122-0.047678j -3.24351e-05-0.0747196j -0.00298697-0.0144346j -0.00120456-0.106166j 6.09069e-05+0.00638178j -0.000726086+0.0106681j 0.00179847-0.0151955j -0.00464747-0.011603j 0.000810886-0.00989797j 0.00286637-0.0254338j -0.00292427-0.00938382j 0.00442307+0.01072j 5.43278e-06+0.00619059j 0.00591041-0.0024297j 0.00359714-0.00659381j 3.70812e-05+0.0213248j -0.00155887+0.00863802j 0.000475064-0.0201869j 0.00266852+0.0251876j 0.00327674-0.0300426j 0.00470751-0.0118339j 0.000570685-0.00512345j -0.0104662-0.0143158j 0.0111986-0.00195367j -0.00622685+0.031269j 0.00145909-0.013684j 0.00600807+0.00290045j 0.0142167-0.0150207j 0.0109008-0.015159j -0.00162478+0.00823836j -0.00519245-0.00101267j -0.0101434-0.0119491j -0.0133876-0.00684497j -0.0202726+0.00392535j 0.0176541-0.0107549j 0.00533529+0.00580248j 0.0264618-0.00342618j 0.0160418-0.00536887j -0.0122909+0.0246144j 0.103728-0.0126161j 0.0410221-0.0115212j 0.022744-0.00238575j 0.0354228-0.0196077j -0.00854601-0.00842073j -0.0403235-0.00407706j 0.00917902+0.00139113j 0.0348917+0.0315323j -0.0119709-0.0406091j -0.000249251+0.0318634j -0.00497235+0.0129462j -0.0149824+0.00322267j 0.0045053-0.00567383j -0.00218688+0.0024459j 0.000751714+0.00587967j -0.00912307+0.000375926j 0.00633615+0.00121096j 0.000818405+0.00392334j -0.00046612-0.00242726j 0.00353657+0.0112297j -0.000119287-0.0092021j 0.000101694-0.0120375j 0.0011247-0.0016557j 
-0.00697724+0.0329314j 0.00448998+0.0195665j -0.00168671+0.00524553j -0.00531206+0.0515193j 0.000885576-0.0179809j -0.00868222+0.0992146j -0.00831297+0.0927915j 0.00301961+0.0407072j -0.00113792+0.0679783j 0.00244751+0.0192174j -0.00406663+0.00667806j 0.00809899+0.00028266j 0.0116288+0.0277731j -0.00266308-0.000202085j 0.00611609+0.023747j -0.00349652-0.0303959j 0.00154783-0.0323377j -0.00254868-0.0249856j 0.000838104+0.051935j 0.00296539+0.129306j 0.000446411+0.11052j -0.000790787+0.00427003j -0.00342736-0.0698788j -0.00161361+1.81675e-05j 0.000509943+0.0527248j -0.00227505-0.552251j 0.000912446+0.0144776j 0.000690683+0.6544j 0.00146408+0.0866795j 0.00131599-0.163933j -0.0020111+0.0158041j 0.00208804+0.0275721j 0.00166337+0.18927j 0.00392267+0.0982668j 0.00143569+0.138474j 0.00600915+0.150681j -0.00146973+0.125968j 0.00159811-0.0507863j 0.00248125+0.0354393j -0.00871881+0.00532466j 0.0045727+0.0395871j -0.00647627+0.0233012j -0.00299202-0.0147386j -0.00791423+0.0698265j -0.00469041+0.000680563j -0.00264646-0.0353232j -0.0127001+0.0190878j 0.000383599+0.0221792j -0.0254715+0.0394257j 0.0102053+0.020623j 0.00525427+0.00112075j -0.0103509+0.0111108j -0.00416982+0.0108467j -0.00957879+0.0129161j -0.0218527-0.00340646j -0.000233306-0.0417387j -0.0237203+0.039687j 0.0010398-0.0415747j -0.0111867-0.00230988j 0.0166836-0.033675j -0.00367372+0.0251225j -0.0203667+0.0206118j 0.0523889-0.00141104j 0.00461937+0.00673631j -0.0016952+0.0268085j 0.0377688+0.00926523j 0.0707938-0.0250871j -0.0337262+2.05186e-05j -0.00961915-0.00062545j -0.0675055+0.038015j 0.0163425-0.0129571j -0.0811185-0.0363653j -0.00580952+0.00356247j 0.00848981+0.00972848j -0.032577-0.0164005j 0.0264614-0.00388493j 0.0188852+0.0274571j 0.0285322+0.0278747j 0.00325196-0.00525613j -0.0077061-0.00378534j -0.0222932-0.00537054j 0.0243675+0.00537117j 0.0079222+0.00674285j -0.0117275-0.00779955j -0.0110579+0.00422813j -0.0163077+0.00349645j 0.0158977-0.0154331j 0.000729707+0.000771837j -0.00431728+0.0174066j -0.00366619-0.0092905j -0.00200966+0.00548064j 0.00145066-0.001477j 0.00722557+0.0159575j 0.000193244+0.0190183j -0.00156344+0.0182884j 
0.00849357+0.0385539j 0.00138981-0.0184594j 0.00660937+0.0332652j -0.00128598-0.0236109j -0.00349732+0.00338959j -0.000148971-0.0320168j 0.00198071-0.013179j 0.00333584-0.123258j -0.0012564+0.0680005j -0.00971304-0.0791442j -0.00677121-0.0305381j 0.00417631+0.00388772j 0.000634363+0.015647j 0.00684277+0.000218467j 8.72617e-05-0.0058825j 0.00409797-0.0296495j -0.00169519+0.0332938j 0.0026793-0.0439947j -0.000610675-0.023598j -0.000449324-0.0932974j 0.000584062-0.0276954j -0.000393125+0.0308707j -0.000300798-0.0140561j 0.000681924-0.0561266j -0.000857506-0.422158j 0.000952433+0.518587j 0.00146736-0.0211839j 0.000567973+0.544652j 0.00165004+0.127736j 0.000686497+0.0254356j 0.00109044+0.00781703j -0.00286637+0.269435j -0.00017528-0.184343j 0.00142072+0.0680689j -0.00281771+0.0145168j -0.00320895+0.0452157j -0.00253489-0.121018j 0.00301863+0.0207525j -0.00292219+0.0592552j -0.00908744+0.0115201j -0.00144425-0.000800154j 0.00664833-0.0128752j 0.00398191+0.0482892j 0.0115367-0.0607533j -0.00457007-0.0114877j 0.00140484+0.047777j -0.00885922+0.0063523j -0.00235578-0.0204031j 0.0169378-0.000169309j -0.0136523+0.0160578j -0.00751193-0.0136447j 0.00505681-0.00417073j -0.00277244-0.0342419j 0.000345957-0.0101855j -0.000146012-0.00885557j -0.0268258+0.0720588j 0.0119051-0.0404494j 0.0180316+0.00133069j 0.00696044-0.00879278j 0.00568428+0.00814485j -0.0473489+0.0783901j -0.00320944+0.0289041j -0.0506747-0.0284194j -0.0427762+0.00726227j 0.0564889-0.0321809j 0.0201071+0.0464278j 0.0433834+0.0188956j 0.0310441+0.0459703j 0.0148944-0.021343j 0.0546729+0.0351805j 0.0607502+0.0064989j -0.00982833+0.0083735j -0.0159546-0.0124774j -0.0219361-0.0110304j -0.00215144+0.00173487j 0.0277368+0.0214296j -0.010716+0.000606626j -0.0127917+0.0209402j -0.00249123+0.00430845j 0.00249527+0.0057298j 0.00735443-0.00351421j 0.0061315-0.00775593j -0.0105633-0.00847391j 0.0155576-0.0105486j 0.00833411+0.00786349j 0.00441065-0.00590633j 0.00153849-0.00313501j 0.000610617+0.010523j 0.00724295-0.0295246j 0.00442215-0.00623231j 9.67443e-05-0.00751732j 0.00282068-0.0137146j -0.00672029+0.00216589j 0.00157506-0.0137275j 0.000840104+0.00911303j 
