-0.0321516-0j -0.00535859-0j -0.00328146-0j -0.000669824-0j -3.94698e-05-0j -0.0289641-0j -0.00467406-0j -0.00381636-0j -0.000550844-0j -0.000477045-0j -5.62202e-05-0j -2.56609e-06-0j -0.0186376-0j -0.0188307-0j -0.00294686-0j -0.0029774-0j -0.0023297-0j -0.00155313-0j -0.00235384-0j -0.000336263-0j -0.00156923-0j -0.000339748-0j -0.000388283-0j -0.000137279-0j -0.000392307-0j -3.2357e-05-0j -0.000138702-0j -3.43197e-05-0j -3.26923e-05-0j -3.46754e-05-0j -2.85998e-06-0j -2.88962e-06-0j -1.06585e-07-0j -1.0769e-07-0j -0.0140445-0j -0.0173792-0j -0.0101379-0j -0.00218957-0j -0.00270946-0j -0.00158052-0j -0.00169604-0j -0.000244802-0j -0.00154826-0j -0.00209874-0j -0.00122426-0j -0.000302927-0j -0.000273697-0j -0.00191588-0j -0.000176707-0j -0.000182464-0j -0.00111759-0j -2.28081e-05-0j -0.000158019-0j -0.000338682-0j -0.000225788-0j -3.22555e-05-0j -2.82235e-05-0j -0.000197565-0j -0.000195538-0j -1.61277e-05-0j -0.00013171-0j -1.90067e-06-0j -1.64637e-05-0j -0.000114064-0j -3.99141e-05-0j -2.32784e-06-0j -1.99571e-05-0j -2.32832e-05-0j -2.35196e-06-0j -1.50261e-07-0j -1.16416e-05-0j -2.88055e-06-0j -1.37198e-06-0j -4.73279e-09-0j -1.85939e-07-0j -1.68032e-06-0j -5.85652e-09-0j -1.08464e-07-0j -3.4163e-09-0j 
0.0363191-0j 0.00605318-0j 0.0037068-0j 0.000756647-0j 4.45859e-05-0j 0.000566875-0j 9.1479e-05-0j 7.46923e-05-0j 1.07809e-05-0j 9.33654e-06-0j 1.10032e-06-0j 5.02226e-08-0j 0.0210534-0j -0.0205345-0j 0.00332884-0j -0.00324679-0j 0.00263168-0j 0.00175445-0j -0.00256681-0j 0.00037985-0j -0.00171121-0j -0.000370487-0j 0.000438613-0j 0.000155073-0j -0.000427802-0j 3.65511e-05-0j -0.000151251-0j 3.87683e-05-0j -3.56502e-05-0j -3.78127e-05-0j 3.23069e-06-0j -3.15106e-06-0j 1.20401e-07-0j -1.17433e-07-0j 0.015865-0j 0.000340139-0j -0.0223086-0j 0.00247339-0j 5.30285e-05-0j -0.00347797-0j 0.00191588-0j 0.000276533-0j 0.00174895-0j 4.10757e-05-0j -0.00269402-0j 5.92877e-06-0j 0.000309173-0j 3.74968e-05-0j -0.000388849-0j 0.000206116-0j -0.0024593-0j 2.57644e-05-0j 0.000178501-0j 6.62856e-06-0j 4.41904e-06-0j 3.64364e-05-0j 5.5238e-07-0j -0.000434746-0j 3.827e-06-0j 1.82182e-05-0j -0.000289831-0j 2.14704e-06-0j -3.62288e-05-0j -0.000251001-0j 7.81184e-07-0j 2.62957e-06-0j 3.90592e-07-0j -5.12353e-05-0j 4.60317e-08-0j 1.69738e-07-0j -2.56177e-05-0j 5.63771e-08-0j -3.01907e-06-0j 5.34625e-09-0j 3.63913e-09-0j -3.69759e-06-0j 1.14622e-10-0j -2.38678e-07-0j -7.51767e-09-0j 
0.0296544-0j 0.0049424-0j 0.00302659-0j 0.0006178-0j 3.64042e-05-0j 0.0267145-0j 0.00431103-0j 0.00351994-0j 0.00050806-0j 0.000439993-0j 5.18537e-05-0j 2.36679e-06-0j -0.0167007-0j 0.0173682-0j -0.00264061-0j 0.00274615-0j -0.00208759-0j -0.00139172-0j 0.00217102-0j -0.000301317-0j 0.00144735-0j 0.00031336-0j -0.000347931-0j -0.000123012-0j 0.000361837-0j -2.89942e-05-0j 0.000127929-0j -3.0753e-05-0j 3.01531e-05-0j 3.19822e-05-0j -2.56275e-06-0j 2.66518e-06-0j -9.55082e-08-0j 9.93255e-08-0j -0.0254748-0j -0.0155731-0j 0.00935047-0j -0.00397158-0j -0.00242788-0j 0.00145776-0j -0.00307637-0j -0.000444036-0j -0.00280833-0j -0.00188063-0j 0.00112918-0j -0.000271445-0j -0.000496447-0j -0.00171677-0j 0.000162983-0j -0.000330965-0j 0.00103079-0j -4.13706e-05-0j -0.000286624-0j -0.000303485-0j -0.000202323-0j -5.85069e-05-0j -2.52904e-05-0j 0.00018222-0j -0.000175217-0j -2.92534e-05-0j 0.00012148-0j -3.44755e-06-0j 1.5185e-05-0j 0.000105205-0j -3.5766e-05-0j -4.22237e-06-0j -1.7883e-05-0j 2.14748e-05-0j -2.10753e-06-0j -2.72553e-07-0j 1.07374e-05-0j -2.58119e-06-0j 1.26542e-06-0j -8.58461e-09-0j -1.66615e-07-0j 1.54981e-06-0j -5.24788e-09-0j 1.0004e-07-0j 3.15096e-09-0j 
-0.0299617-0j -0.00499362-0j -0.00305795-0j -0.000624202-0j -3.67815e-05-0j 0.026056-0j 0.00420478-0j 0.00343318-0j 0.000495538-0j 0.000429148-0j 5.05756e-05-0j 2.30845e-06-0j -0.0173682-0j 0.0175376-0j -0.00274615-0j 0.00277294-0j -0.00217102-0j -0.00144735-0j 0.0021922-0j -0.00031336-0j 0.00146147-0j 0.000316417-0j -0.000361837-0j -0.000127929-0j 0.000365367-0j -3.01531e-05-0j 0.000129177-0j -3.19822e-05-0j 3.04473e-05-0j 3.22942e-05-0j -2.66518e-06-0j 2.69118e-06-0j -9.93255e-08-0j 1.00295e-07-0j 0.0257388-0j 0.0156343-0j -0.00848228-0j 0.00401274-0j 0.00243742-0j -0.00132241-0j 0.00310825-0j 0.000448638-0j 0.00283743-0j 0.00188802-0j -0.00102433-0j 0.000272512-0j 0.000501592-0j 0.00172352-0j -0.00014785-0j 0.000334395-0j -0.000935084-0j 4.17993e-05-0j 0.000289594-0j 0.000304678-0j 0.000203119-0j 5.91132e-05-0j 2.53898e-05-0j -0.000165301-0j 0.000175906-0j 2.95566e-05-0j -0.000110201-0j 3.48328e-06-0j -1.37751e-05-0j -9.54366e-05-0j 3.59066e-05-0j 4.26613e-06-0j 1.79533e-05-0j -1.94809e-05-0j 2.11582e-06-0j 2.75377e-07-0j -9.74045e-06-0j 2.59134e-06-0j -1.14792e-06-0j 8.67357e-09-0j 1.6727e-07-0j -1.40591e-06-0j 5.26851e-09-0j -9.07513e-08-0j -2.8584e-09-0j 
-0.0259476-0j -0.0043246-0j -0.00264826-0j -0.000540575-0j -3.18537e-05-0j -0.000404995-0j -6.53558e-05-0j -5.33627e-05-0j -7.70225e-06-0j -6.67034e-06-0j -7.86108e-07-0j -3.58807e-08-0j 0.0442675-0j 0.0146706-0j 0.0069993-0j 0.00231962-0j 0.00553344-0j 0.00368896-0j 0.00183382-0j 0.000798683-0j 0.00122255-0j 0.000264689-0j 0.000922239-0j 0.000326061-0j 0.000305637-0j 7.68533e-05-0j 0.000108059-0j 8.15152e-05-0j 2.54697e-05-0j 2.70147e-05-0j 6.79293e-06-0j 2.25123e-06-0j 2.53158e-07-0j 8.38982e-08-0j -0.0113345-0j 0.000715186-0j 0.0159381-0j -0.00176707-0j 0.000111499-0j 0.00248478-0j -0.00136877-0j -0.000197565-0j -0.00124951-0j 8.63669e-05-0j 0.0019247-0j 1.2466e-05-0j -0.000220884-0j 7.88418e-05-0j 0.000277807-0j -0.000147256-0j 0.00175701-0j -1.8407e-05-0j -0.000127527-0j 1.39374e-05-0j 9.2916e-06-0j -2.60314e-05-0j 1.16145e-06-0j 0.000310598-0j 8.04676e-06-0j -1.30157e-05-0j 0.000207065-0j -1.53392e-06-0j 2.58831e-05-0j 0.000179324-0j 1.64254e-06-0j -1.87866e-06-0j 8.21269e-07-0j 3.66043e-05-0j 9.67875e-08-0j -1.21267e-07-0j 1.83021e-05-0j 1.1854e-07-0j 2.15693e-06-0j -3.81955e-09-0j 7.65172e-09-0j 2.64169e-06-0j 2.41007e-10-0j 1.7052e-07-0j 5.37088e-09-0j 
0.0214057-0j 0.00356761-0j 0.00218471-0j 0.000445951-0j 2.62779e-05-0j -0.0375648-0j -0.00606199-0j -0.00494959-0j -0.000714412-0j -0.000618699-0j -7.29144e-05-0j -3.32807e-06-0j -0.0120552-0j 0.0112563-0j -0.00190609-0j 0.00177978-0j -0.0015069-0j -0.0010046-0j 0.00140704-0j -0.000217502-0j 0.000938026-0j 0.000203089-0j -0.00025115-0j -8.87949e-05-0j 0.000234506-0j -2.09291e-05-0j 8.29106e-05-0j -2.21987e-05-0j 1.95422e-05-0j 2.07276e-05-0j -1.84989e-06-0j 1.7273e-06-0j -6.89414e-08-0j 6.43728e-08-0j 0.00935047-0j 0.0218982-0j 0.0259458-0j 0.00145776-0j 0.00341398-0j 0.00404502-0j 0.00112918-0j 0.000162983-0j 0.00103079-0j 0.00264445-0j 0.00313326-0j 0.000381694-0j 0.00018222-0j 0.00241405-0j 0.000452247-0j 0.00012148-0j 0.00286026-0j 1.5185e-05-0j 0.000105205-0j 0.000426747-0j 0.000284498-0j 2.14748e-05-0j 3.55622e-05-0j 0.000505627-0j 0.000246382-0j 1.07374e-05-0j 0.000337085-0j 1.26542e-06-0j 4.21356e-05-0j 0.000291924-0j 5.02926e-05-0j 1.54981e-06-0j 2.51463e-05-0j 5.95888e-05-0j 2.96352e-06-0j 1.0004e-07-0j 2.97944e-05-0j 3.62956e-06-0j 3.5113e-06-0j 3.15096e-09-0j 2.34287e-07-0j 4.30045e-06-0j 7.37934e-09-0j 2.77593e-07-0j 8.74335e-09-0j 
-0.00683921-0j -0.00113987-0j -0.000698024-0j -0.000142484-0j -8.39593e-06-0j 0.024111-0j 0.0038909-0j 0.0031769-0j 0.000458546-0j 0.000397113-0j 4.68002e-05-0j 2.13613e-06-0j -0.00396455-0j -0.042004-0j -0.000626851-0j -0.00664142-0j -0.000495569-0j -0.000330379-0j -0.0052505-0j -7.15292e-05-0j -0.00350034-0j -0.000757845-0j -8.25949e-05-0j -2.92017e-05-0j -0.000875084-0j -6.8829e-06-0j -0.000309389-0j -7.30042e-06-0j -7.29237e-05-0j -7.73472e-05-0j -6.08369e-07-0j -6.4456e-06-0j -2.26726e-08-0j -2.40213e-07-0j -0.00298752-0j 0.0144672-0j 0.0274658-0j -0.000465762-0j 0.00225547-0j 0.00428199-0j -0.000360777-0j -5.20737e-05-0j -0.000329343-0j 0.00174708-0j 0.00331682-0j 0.00025217-0j -5.82202e-05-0j 0.00159486-0j 0.000478741-0j -3.88135e-05-0j 0.00302782-0j -4.85168e-06-0j -3.36134e-05-0j 0.000281934-0j 0.000187956-0j -6.86131e-06-0j 2.34945e-05-0j 0.000535249-0j 0.000162775-0j -3.43066e-06-0j 0.000356833-0j -4.04307e-07-0j 4.46041e-05-0j 0.000309026-0j 3.32263e-05-0j -4.95173e-07-0j 1.66131e-05-0j 6.30797e-05-0j 1.95788e-06-0j -3.19633e-08-0j 3.15398e-05-0j 2.3979e-06-0j 3.71701e-06-0j -1.00675e-09-0j 1.54784e-07-0j 4.55238e-06-0j 4.87523e-09-0j 2.93855e-07-0j 9.25557e-09-0j 
0.00422305-0j -0.0331869-0j 0.000431014-0j -0.0083847-0j -0.000993331-0j 0.00380439-0j -0.0289474-0j 0.000501272-0j -0.00689533-0j -0.00295444-0j -0.00105932-0j -8.08099e-05-0j 0.00244802-0j 0.00247339-0j -0.0182505-0j -0.0184397-0j 0.000306002-0j 0.000204001-0j 0.000309173-0j -0.00420926-0j 0.000206116-0j -0.00425289-0j -0.00240472-0j 1.80314e-05-0j -0.00242964-0j -0.00060968-0j 1.82182e-05-0j -0.000429606-0j -0.000615998-0j -0.000434058-0j -7.19767e-05-0j -7.27226e-05-0j -4.03062e-06-0j -4.07239e-06-0j 0.00184472-0j 0.00228273-0j 0.00133159-0j -0.0135605-0j -0.0167802-0j -0.00978847-0j 0.000222771-0j -0.00306437-0j 0.000203362-0j 0.000275666-0j 0.000160805-0j -0.00379196-0j -0.00169506-0j 0.000251647-0j -0.00221198-0j -0.00113004-0j 0.000146794-0j -0.000429757-0j 2.07555e-05-0j -0.00209753-0j -0.00139835-0j -0.000403766-0j -0.000531797-0j -0.00122356-0j 2.56836e-05-0j -9.98824e-05-0j -0.000815706-0j -4.7834e-05-0j -0.000310215-0j 1.49821e-05-0j -0.000499635-0j -4.38619e-05-0j -0.000123598-0j -0.000291454-0j -5.91915e-05-0j -4.73194e-06-0j -7.20989e-05-0j -5.42763e-05-0j -3.45284e-05-0j -2.08908e-07-0j -5.85548e-06-0j -3.16612e-05-0j -2.5851e-07-0j -3.4157e-06-0j -1.50798e-07-0j 
-0.00467406-0j 0.0367311-0j -0.000477045-0j 0.00928016-0j 0.00109942-0j -7.29536e-05-0j 0.000555102-0j -9.61249e-06-0j 0.000132226-0j 5.66548e-05-0j 2.03137e-05-0j 1.54963e-06-0j -0.00270946-0j 0.00264268-0j 0.0201996-0j -0.0197018-0j -0.000338682-0j -0.000225788-0j 0.000330335-0j 0.0046588-0j 0.000220223-0j -0.00454397-0j 0.00266154-0j -1.99571e-05-0j -0.00259594-0j 0.000674792-0j 1.94652e-05-0j 0.000475487-0j -0.00065816-0j -0.000463767-0j 7.96636e-05-0j -7.77001e-05-0j 4.46108e-06-0j -4.35112e-06-0j -0.00204173-0j -4.3774e-05-0j 0.002871-0j 0.0150087-0j 0.000321781-0j -0.0211046-0j -0.000246563-0j 0.00339164-0j -0.00022508-0j -5.28622e-06-0j 0.000346706-0j 7.27155e-05-0j 0.00187609-0j -4.82563e-06-0j -0.00476917-0j 0.00125073-0j 0.000316498-0j 0.000475653-0j -2.29721e-05-0j 4.02226e-05-0j 2.68151e-05-0j 0.000446887-0j 1.01978e-05-0j -0.00263807-0j -4.92514e-07-0j 0.00011055-0j -0.00175872-0j 5.29425e-05-0j -0.000668843-0j 3.23024e-05-0j 9.5811e-06-0j 4.85462e-05-0j 2.37014e-06-0j -0.000628394-0j 1.13507e-06-0j 5.2373e-06-0j -0.00015545-0j 1.04081e-06-0j -7.44454e-05-0j 2.31218e-07-0j 1.12286e-07-0j -6.82635e-05-0j 4.95724e-09-0j -7.36447e-06-0j -3.25129e-07-0j 
-0.00369517-0j 0.0290385-0j -0.000377137-0j 0.00733661-0j 0.000869164-0j -0.00332884-0j 0.025329-0j -0.000438613-0j 0.00603341-0j 0.00258513-0j 0.000926905-0j 7.07086e-05-0j 0.00208104-0j -0.00216421-0j -0.0155146-0j 0.0161347-0j 0.00026013-0j 0.00017342-0j -0.000270527-0j -0.00357826-0j -0.000180351-0j 0.00372127-0j -0.00204423-0j 1.53283e-05-0j 0.00212594-0j -0.000518283-0j -1.59409e-05-0j -0.000365204-0j 0.000538998-0j 0.000379801-0j -6.11867e-05-0j 6.36323e-05-0j -3.42639e-06-0j 3.56334e-06-0j -0.00161413-0j 0.00194053-0j -0.00116514-0j 0.0118654-0j -0.0142647-0j 0.00856491-0j -0.000194925-0j 0.00268132-0j -0.000177941-0j 0.000234341-0j -0.000140704-0j -0.00322351-0j 0.00148318-0j 0.000213923-0j 0.00193548-0j 0.000988785-0j -0.000128445-0j 0.000376037-0j -1.81611e-05-0j -0.00178309-0j -0.00118873-0j 0.000353295-0j -0.000452076-0j 0.00107061-0j 2.18334e-05-0j 8.73971e-05-0j 0.000713743-0j 4.18547e-05-0j 0.000271438-0j -1.31094e-05-0j -0.000424735-0j 3.83791e-05-0j -0.00010507-0j 0.000255022-0j -5.03182e-05-0j 4.14045e-06-0j 6.30866e-05-0j -4.61398e-05-0j 3.02123e-05-0j 1.82794e-07-0j -4.97769e-06-0j 2.77035e-05-0j -2.19757e-07-0j 2.98873e-06-0j 1.31948e-07-0j 
-0.00246345-0j 0.019359-0j -0.000251425-0j 0.00489108-0j 0.000579443-0j -0.00221922-0j 0.016886-0j -0.000292409-0j 0.00402228-0j 0.00172342-0j 0.000617936-0j 4.71391e-05-0j -0.00142801-0j -0.00144281-0j 0.0106461-0j 0.0107565-0j -0.000178501-0j -0.000119001-0j -0.000180351-0j 0.0024554-0j -0.000120234-0j 0.00248085-0j 0.00140275-0j -1.05183e-05-0j 0.00141729-0j 0.000355647-0j -1.06273e-05-0j 0.000250604-0j 0.000359332-0j 0.000253201-0j 4.19864e-05-0j 4.24215e-05-0j 2.35119e-06-0j 2.37556e-06-0j 0.00530857-0j -0.00133159-0j -0.000776762-0j -0.0390231-0j 0.00978847-0j 0.00570994-0j 0.00064107-0j -0.00881835-0j 0.000585215-0j -0.000160805-0j -9.38029e-05-0j 0.00221198-0j -0.00487788-0j -0.000146794-0j 0.00129032-0j -0.00325192-0j -8.56299e-05-0j -0.00123671-0j 5.97282e-05-0j 0.00122356-0j 0.000815706-0j -0.00116192-0j 0.000310215-0j 0.000713743-0j -1.49821e-05-0j -0.000287432-0j 0.000475829-0j -0.000137652-0j 0.000180959-0j -8.73957e-06-0j 0.000291454-0j -0.000126221-0j 7.20989e-05-0j 0.000170015-0j 3.45284e-05-0j -1.36171e-05-0j 4.20577e-05-0j 3.16612e-05-0j 2.01416e-05-0j -6.01175e-07-0j 3.4157e-06-0j 1.8469e-05-0j 1.50798e-07-0j 1.99249e-06-0j 8.79652e-08-0j 
