-0.0321516-0j -0.00518844-0j -0.00423634-0j -0.000611463-0j -0.000529543-0j -6.24072e-05-0j -2.84849e-06-0j -0.0295614-0j -0.00467406-0j -0.00369517-0j -0.00246345-0j -0.000533352-0j -0.000615862-0j -0.00021774-0j -5.13218e-05-0j -5.4435e-05-0j -4.53625e-06-0j -1.69056e-07-0j -0.0192918-0j -0.0194917-0j -0.00300763-0j -0.0030388-0j -0.0023297-0j -0.00235384-0j -0.000336263-0j -0.00212672-0j -0.000339748-0j -0.00214876-0j -0.000375954-0j -0.000250636-0j -0.00037985-0j -3.13295e-05-0j -0.000217057-0j -0.000253233-0j -3.16542e-05-0j -0.000219306-0j -4.43066e-05-0j -2.21533e-05-0j -4.47657e-05-0j -2.61079e-06-0j -3.19755e-06-0j -2.23829e-05-0j -2.63785e-06-0j -3.23069e-06-0j -2.06401e-07-0j -2.0854e-07-0j -6.50102e-09-0j -6.56839e-09-0j 
0.0375102-0j 0.00605318-0j 0.0049424-0j 0.000713374-0j 0.0006178-0j 7.28084e-05-0j 3.32323e-06-0j 0.000597538-0j 9.44791e-05-0j 7.46923e-05-0j 4.97949e-05-0j 1.07809e-05-0j 1.24487e-05-0j 4.40129e-06-0j 1.03739e-06-0j 1.10032e-06-0j 9.16934e-08-0j 3.41721e-09-0j 0.022507-0j -0.0219523-0j 0.0035089-0j -0.00342242-0j 0.00271798-0j -0.00265099-0j 0.000392307-0j 0.00248117-0j -0.000382638-0j -0.00242001-0j 0.000438613-0j 0.000292409-0j -0.000427802-0j 3.65511e-05-0j 0.000253233-0j -0.000285201-0j -3.56502e-05-0j -0.000246992-0j 5.1691e-05-0j 2.58455e-05-0j -5.04169e-05-0j 3.04592e-06-0j 3.73048e-06-0j -2.52085e-05-0j -2.97085e-06-0j -3.63853e-06-0j 2.40801e-07-0j -2.34866e-07-0j 7.58453e-09-0j -7.39759e-09-0j 
0.0229702-0j 0.0037068-0j 0.00302659-0j 0.00043685-0j 0.000378323-0j 4.45859e-05-0j 2.03506e-06-0j 0.0211197-0j 0.00333931-0j 0.00263996-0j 0.00175997-0j 0.000381045-0j 0.000439993-0j 0.000155561-0j 3.66661e-05-0j 3.88902e-05-0j 3.24085e-06-0j 1.2078e-07-0j -0.0405634-0j 0.0139255-0j -0.00632393-0j 0.00217102-0j -0.00489849-0j 0.00168167-0j -0.000707036-0j -0.00447169-0j 0.000242728-0j 0.00153514-0j -0.000790491-0j -0.000526994-0j 0.000271378-0j -6.58742e-05-0j -0.00045639-0j 0.000180919-0j 2.26148e-05-0j 0.00015668-0j -9.31602e-05-0j -4.65801e-05-0j 3.19822e-05-0j -5.48952e-06-0j -6.72326e-06-0j 1.59911e-05-0j 1.88457e-06-0j 2.30812e-06-0j -4.33985e-07-0j 1.48988e-07-0j -1.36692e-08-0j 4.69269e-09-0j 
-0.0328214-0j -0.00529653-0j -0.0043246-0j -0.000624202-0j -0.000540575-0j -6.37073e-05-0j -2.90783e-06-0j 0.0291315-0j 0.0046061-0j 0.00364144-0j 0.00242763-0j 0.000525597-0j 0.000606907-0j 0.000214574-0j 5.05756e-05-0j 5.36435e-05-0j 4.47029e-06-0j 1.66598e-07-0j 0.019133-0j 0.0198858-0j 0.00298289-0j 0.00310024-0j 0.00231053-0j 0.00240144-0j 0.000333497-0j 0.00210922-0j 0.000346618-0j 0.0021922-0j 0.000372861-0j 0.000248574-0j 0.000387531-0j 3.10717e-05-0j 0.000215271-0j 0.000258354-0j 3.22942e-05-0j 0.000223741-0j 4.39421e-05-0j 2.1971e-05-0j 4.56709e-05-0j 2.58931e-06-0j 3.17125e-06-0j 2.28355e-05-0j 2.69118e-06-0j 3.29601e-06-0j 2.04703e-07-0j 2.12757e-07-0j 6.44754e-09-0j 6.70121e-09-0j 
0.0135381-0j 0.00218471-0j 0.00178381-0j 0.00025747-0j 0.000222976-0j 2.62779e-05-0j 1.19942e-06-0j -0.0364798-0j -0.00576796-0j -0.00455997-0j -0.00303998-0j -0.000658175-0j -0.000759995-0j -0.000268699-0j -6.33329e-05-0j -6.71747e-05-0j -5.59789e-06-0j -2.08621e-07-0j 0.00812322-0j 0.0387914-0j 0.00126643-0j 0.00604767-0j 0.000980972-0j 0.0046845-0j 0.000141591-0j 0.000895501-0j 0.00067615-0j 0.00427635-0j 0.000158304-0j 0.000105536-0j 0.000755959-0j 1.3192e-05-0j 9.13967e-05-0j 0.000503972-0j 6.29966e-05-0j 0.000436453-0j 1.86563e-05-0j 9.32814e-06-0j 8.90906e-05-0j 1.09933e-06-0j 1.3464e-06-0j 4.45453e-05-0j 5.24971e-06-0j 6.42956e-06-0j 8.69098e-08-0j 4.15026e-07-0j 2.7374e-09-0j 1.30721e-08-0j 
0.00413773-0j -0.0314838-0j 0.000545194-0j -0.0074995-0j -0.00321331-0j -0.00115214-0j -8.78905e-05-0j 0.00380439-0j -0.0283626-0j 0.000475548-0j 0.000317032-0j -0.00654148-0j -0.0037371-0j 2.80219e-05-0j -0.000947484-0j -0.000667637-0j -0.000111857-0j -6.26386e-06-0j 0.00248274-0j 0.00250847-0j -0.0182505-0j -0.0184397-0j 0.00029982-0j 0.000302927-0j -0.00412422-0j 0.000273697-0j -0.00416696-0j 0.000276533-0j -0.00228132-0j -0.00152088-0j -0.00230496-0j -0.000578393-0j 2.79341e-05-0j -0.00153664-0j -0.000584387-0j 2.82235e-05-0j -0.000543414-0j -0.000134428-0j -0.000549045-0j -6.43779e-05-0j -5.9032e-05-0j -0.000135821-0j -6.50451e-05-0j -5.96438e-05-0j -6.36854e-06-0j -6.43454e-06-0j -2.81161e-07-0j -2.84075e-07-0j 
-0.00467406-0j 0.0355648-0j -0.000615862-0j 0.00847159-0j 0.00362982-0j 0.00130148-0j 9.92829e-05-0j -7.4458e-05-0j 0.000555102-0j -9.30725e-06-0j -6.20483e-06-0j 0.000128027-0j 7.31411e-05-0j -5.48435e-07-0j 1.85438e-05-0j 1.30667e-05-0j 2.18922e-06-0j 1.22594e-07-0j -0.00280456-0j 0.00273543-0j 0.0206162-0j -0.020108-0j -0.000338682-0j 0.000330335-0j 0.0046588-0j -0.000309173-0j -0.00454397-0j 0.000301553-0j 0.00257702-0j 0.00171801-0j -0.0025135-0j 0.000653365-0j -3.15549e-05-0j -0.00167567-0j -0.000637261-0j 3.07771e-05-0j 0.000613851-0j 0.000151853-0j -0.000598721-0j 7.27226e-05-0j 6.66838e-05-0j -0.00014811-0j -7.09301e-05-0j -6.50401e-05-0j 7.19403e-06-0j -7.01672e-06-0j 3.17605e-07-0j -3.09777e-07-0j 
-0.00381636-0j 0.0290385-0j -0.000502849-0j 0.00691703-0j 0.00296373-0j 0.00106265-0j 8.10641e-05-0j -0.0035089-0j 0.0261597-0j -0.000438613-0j -0.000292409-0j 0.00603341-0j 0.00344684-0j -2.58455e-05-0j 0.000873894-0j 0.000615783-0j 0.000103169-0j 5.77735e-06-0j 0.00222472-0j -0.00231364-0j -0.0163538-0j 0.0170075-0j 0.000268661-0j -0.000279399-0j -0.00369561-0j 0.000245253-0j 0.00384332-0j -0.000255055-0j -0.00204423-0j -0.00136282-0j 0.00212594-0j -0.000518283-0j 2.5031e-05-0j 0.00141729-0j 0.000538998-0j -2.60314e-05-0j -0.000486939-0j -0.000120457-0j 0.000506401-0j -5.76874e-05-0j -5.28971e-05-0j 0.000125272-0j 5.99931e-05-0j 5.50113e-05-0j -5.70669e-06-0j 5.93478e-06-0j -2.51941e-07-0j 2.62011e-07-0j 
0.00385591-0j -0.0293394-0j 0.00050806-0j -0.00698871-0j -0.00299444-0j -0.00107366-0j -8.19042e-05-0j -0.00342242-0j 0.0255149-0j -0.000427802-0j -0.000285201-0j 0.0058847-0j 0.00336188-0j -2.52085e-05-0j 0.000852354-0j 0.000600605-0j 0.000100626-0j 5.63495e-06-0j 0.00231364-0j -0.00233621-0j -0.0170075-0j 0.0171734-0j 0.000279399-0j -0.000282125-0j -0.00384332-0j 0.000255055-0j 0.00388081-0j -0.000257543-0j -0.00212594-0j -0.00141729-0j 0.00214668-0j -0.000538998-0j 2.60314e-05-0j 0.00143112-0j 0.000544257-0j -2.62854e-05-0j -0.000506401-0j -0.000125272-0j 0.000511342-0j -5.99931e-05-0j -5.50113e-05-0j 0.000126494-0j 6.05784e-05-0j 5.5548e-05-0j -5.93478e-06-0j 5.99268e-06-0j -2.62011e-07-0j 2.64567e-07-0j 
0.00333931-0j -0.0254087-0j 0.000439993-0j -0.0060524-0j -0.00259327-0j -0.000929821-0j -7.09311e-05-0j 5.31954e-05-0j -0.000396584-0j 6.64942e-06-0j 4.43295e-06-0j -9.14672e-05-0j -5.22545e-05-0j 3.91821e-07-0j -1.32483e-05-0j -9.33534e-06-0j -1.56405e-06-0j -8.75853e-08-0j -0.00589694-0j -0.00195429-0j 0.0433481-0j 0.0143659-0j -0.000712123-0j -0.000236002-0j 0.00979572-0j -0.000650076-0j 0.00324637-0j -0.00021544-0j 0.00541852-0j 0.00361234-0j 0.00179573-0j 0.00137378-0j -6.63481e-05-0j 0.00119716-0j 0.000455281-0j -2.19882e-05-0j 0.0012907-0j 0.000319289-0j 0.000427747-0j 0.000152908-0j 0.000140211-0j 0.000105815-0j 5.06749e-05-0j 4.64669e-05-0j 1.51264e-05-0j 5.01298e-06-0j 6.67805e-07-0j 2.21315e-07-0j 
-0.00275479-0j 0.0209611-0j -0.000362976-0j 0.00499297-0j 0.00213933-0j 0.000767063-0j 5.85152e-05-0j 0.00493407-0j -0.0367846-0j 0.000616759-0j 0.000411172-0j -0.00848393-0j -0.0048468-0j 3.63428e-05-0j -0.00122883-0j -0.000865887-0j -0.000145072-0j -8.12386e-06-0j 0.00160589-0j -0.00149947-0j -0.0118048-0j 0.0110225-0j 0.00019393-0j -0.000181078-0j -0.00266763-0j 0.000177033-0j 0.00249085-0j -0.000165301-0j -0.0014756-0j -0.000983736-0j 0.00137782-0j -0.000374117-0j 1.80683e-05-0j 0.000918545-0j 0.000349325-0j -1.6871e-05-0j -0.000351491-0j -8.69508e-05-0j 0.000328198-0j -4.1641e-05-0j -3.81831e-05-0j 8.11887e-05-0j 3.88815e-05-0j 3.56528e-05-0j -4.11931e-06-0j 3.84633e-06-0j -1.81861e-07-0j 1.69809e-07-0j 
