-0.0131874-0j -0.00240768-0j -0.00393172-0j -0.00087916-0j -9.26716e-05-0j -0.0121057-0j -0.00285334-0j -0.00349461-0j -0.000638026-0j -0.00073673-0j -0.000134508-0j -1.09825e-05-0j 0.741503-0j -0.00119554-0j -0.00179331-0j -0.000189031-0j -0.00226838-0j -0.000534661-0j -0.00046303-0j -8.45374e-05-0j -7.97026e-05-0j -1.26021e-05-0j -8.40139e-07-0j 0.717957-0j -0.00115758-0j -0.00173636-0j -0.000183029-0j -0.00219635-0j -0.000517684-0j -0.000448327-0j -8.18529e-05-0j -7.71717e-05-0j -1.22019e-05-0j -8.13461e-07-0j 
0.00196586-0j 0.000358916-0j -0.0531673-0j 0.000131057-0j 1.38147e-05-0j 0.00180461-0j -0.0385847-0j 0.000520946-0j 9.51114e-05-0j -0.00996252-0j 2.00512e-05-0j 1.63718e-06-0j 0.00119554-0j 0.717011-0j 0.000267331-0j 2.81791e-05-0j 0.000338149-0j -0.00723003-0j 6.90245e-05-0j 1.26021e-05-0j -0.00107779-0j 1.87861e-06-0j 1.25241e-07-0j 0.00115758-0j 0.694243-0j 0.000258842-0j 2.72843e-05-0j 0.000327412-0j -0.00700044-0j 6.68327e-05-0j 1.22019e-05-0j -0.00104356-0j 1.81895e-06-0j 1.21264e-07-0j 
-0.178482-0j -0.0321725-0j 0.00087916-0j -0.00577558-0j 2.0722e-05-0j 0.00270692-0j -0.0187448-0j -0.047297-0j -0.0085256-0j 0.000164738-0j -0.000883639-0j 2.45577e-06-0j 0.00179331-0j 0.000267331-0j 0.71307-0j -0.00381002-0j 0.000507224-0j -0.00351242-0j -0.00626677-0j -0.00112963-0j 1.7822e-05-0j -8.27885e-05-0j 1.87861e-07-0j 0.00173636-0j 0.000258842-0j 0.690427-0j -0.00368904-0j 0.000491118-0j -0.00340088-0j -0.00606778-0j -0.00109376-0j 1.72561e-05-0j -8.01596e-05-0j 1.81895e-07-0j 
-0.00031083-0j -0.30396-0j -9.26716e-05-0j 0.00186784-0j -2.18429e-06-0j -0.000285334-0j 0.00606214-0j -8.23689e-05-0j -0.0805482-0j -1.73649e-05-0j 0.000285772-0j -2.5886e-07-0j -0.000189031-0j -2.81791e-05-0j 0.00381002-0j 0.67672-0j -5.34661e-05-0j 0.00113593-0j -1.09137e-05-0j -0.0106725-0j -1.87861e-06-0j 2.67741e-05-0j -1.98023e-08-0j -0.000183029-0j -2.72843e-05-0j 0.00368904-0j 0.655232-0j -5.17684e-05-0j 0.00109986-0j -1.05672e-05-0j -0.0103336-0j -1.81895e-06-0j 2.59239e-05-0j -1.91735e-08-0j 
0.00372996-0j 0.000680995-0j -0.015674-0j -0.00725828-0j -0.00155639-0j -0.261572-0j 0.000807047-0j -0.0139314-0j -0.00254352-0j -0.00608238-0j -0.00168475-0j -0.000231336-0j 0.00226838-0j 0.000338149-0j 0.000507224-0j 5.34661e-05-0j 0.690825-0j -0.00213145-0j -0.00382274-0j -0.000697934-0j -0.000998299-0j -0.000211648-0j -2.12836e-05-0j 0.00219635-0j 0.000327412-0j 0.000491118-0j 5.17684e-05-0j 0.668888-0j -0.00206377-0j -0.00370135-0j -0.000675771-0j -0.000966599-0j -0.000204927-0j -2.06078e-05-0j 
-0.00087916-0j 0.00959199-0j -0.165717-0j -0.050262-0j 0.000366845-0j -0.000807047-0j -0.250685-0j 0.00328367-0j -0.0358261-0j -0.0643073-0j -0.0116665-0j 5.45265e-05-0j -0.000534661-0j 0.00723003-0j 0.00351242-0j 0.00113593-0j 0.00213145-0j 0.66207-0j 0.000901029-0j -0.00983059-0j -0.0105547-0j -0.00146562-0j 5.0166e-06-0j -0.000517684-0j 0.00700044-0j 0.00340088-0j 0.00109986-0j 0.00206377-0j 0.641047-0j 0.000872417-0j -0.00951842-0j -0.0102196-0j -0.00141908-0j 4.8573e-06-0j 
0.0460838-0j -0.000139007-0j 0.00662587-0j -0.0201162-0j -0.013988-0j -0.000698923-0j -0.000164738-0j -0.356458-0j 0.00107522-0j -0.0168572-0j -0.00992086-0j -0.00279435-0j -0.00046303-0j -6.90245e-05-0j 0.00626677-0j -1.09137e-05-0j 0.00382274-0j 0.000901029-0j 0.641263-0j -0.00193431-0j -0.0058786-0j -0.00190218-0j -0.000322815-0j -0.000448327-0j -6.68327e-05-0j 0.00606778-0j -1.05672e-05-0j 0.00370135-0j 0.000872417-0j 0.6209-0j -0.00187289-0j -0.00569193-0j -0.00184178-0j -0.000312564-0j 
0.000139007-0j 0.0437866-0j -0.00120971-0j -0.219475-0j 0.00255385-0j 0.000127605-0j -0.00179736-0j -0.00107522-0j -0.338689-0j 0.00307769-0j -0.108241-0j 0.000510176-0j 8.45374e-05-0j 1.26021e-05-0j -0.00112963-0j 0.0106725-0j -0.000697934-0j 0.00983059-0j 0.00193431-0j 0.609296-0j 0.00107328-0j -0.0207536-0j 5.89376e-05-0j 8.18529e-05-0j 1.22019e-05-0j -0.00109376-0j 0.0103336-0j -0.000675771-0j 0.00951842-0j 0.00187289-0j 0.589948-0j 0.0010392-0j -0.0200945-0j 5.70661e-05-0j 
0.000131057-0j 2.39277e-05-0j 0.0776161-0j 0.0111618-0j -0.0686304-0j 0.000120307-0j -0.00127198-0j -0.00153796-0j -0.000280792-0j -0.419562-0j -0.0222822-0j -0.021055-0j 7.97026e-05-0j -0.00107779-0j 1.7822e-05-0j 1.87861e-06-0j -0.000998299-0j 0.0105547-0j 0.0058786-0j 0.00107328-0j 0.592252-0j -0.0093328-0j -0.00327689-0j 7.71717e-05-0j -0.00104356-0j 1.72561e-05-0j 1.81895e-06-0j -0.000966599-0j 0.0102196-0j 0.00569193-0j 0.0010392-0j 0.573446-0j -0.00903644-0j -0.00317283-0j 
-2.0722e-05-0j 0.000226085-0j 0.000366845-0j 0.106109-0j -0.135706-0j -1.90223e-05-0j 0.000131725-0j 0.000326061-0j -0.00355746-0j -0.00302657-0j -0.462732-0j -0.0937289-0j -1.26021e-05-0j -1.87861e-06-0j 8.27885e-05-0j 2.67741e-05-0j 0.000211648-0j -0.00146562-0j -0.00190218-0j 0.0207536-0j 0.0093328-0j 0.542172-0j -0.0225464-0j -1.22019e-05-0j -1.81895e-06-0j 8.01596e-05-0j 2.59239e-05-0j 0.000204927-0j -0.00141908-0j -0.00184178-0j 0.0200945-0j 0.00903644-0j 0.524956-0j -0.0218305-0j 
1.38147e-06-0j 2.5222e-07-0j -3.68904e-05-0j 0.000612932-0j 0.165799-0j 1.26815e-06-0j 2.98906e-07-0j -3.27891e-05-0j -5.98645e-06-0j 0.000513632-0j -0.00553014-0j -0.546269-0j 8.40139e-07-0j 1.25241e-07-0j 1.87861e-07-0j 1.98023e-08-0j -2.12836e-05-0j -5.0166e-06-0j 0.000322815-0j 5.89376e-05-0j -0.00327689-0j 0.0225464-0j 0.475546-0j 8.13461e-07-0j 1.21264e-07-0j 1.81895e-07-0j 1.91735e-08-0j -2.06078e-05-0j -4.8573e-06-0j 0.000312564-0j 5.70661e-05-0j -0.00317283-0j 0.0218305-0j 0.460446-0j 
