-3.97361e-13-0.11371j -2.57718e-14-0.0400016j 2.96027e-15-0.166559j 6.19403e-16-0.0958549j -1.24795e-15+0.0877726j -3.88438e-15+0.183694j 1.49854e-15-0.10159j 1.5577e-15+0.0581754j 4.69109e-15+0.0533614j -1.78784e-14-0.180864j 1.68866e-14+0.159273j 5.60309e-15+0.148764j 5.59395e-15+0.0660818j 1.99825e-15-0.015846j 9.7128e-15-0.0639748j -2.02137e-15+0.202566j 4.36714e-15+0.0790305j 4.3094e-15-0.0692294j -1.70238e-14+0.202159j 3.15342e-15-0.0542536j -3.85614e-14-0.125531j -4.36134e-15+0.120792j 1.69825e-14-0.206096j -5.21586e-15-0.097021j -1.56435e-14+0.0213004j -1.78287e-14-0.0994035j -1.85313e-14+0.0445649j 9.77473e-14-0.210523j 1.78626e-14+0.116544j 3.79951e-14+0.0514376j -2.53086e-14-0.0915169j -5.81522e-15+0.045047j 2.37332e-13-0.0232603j 3.40455e-14+0.0341073j 8.03997e-14-0.177252j -8.88334e-13-0.110614j 4.18695e-14+0.0584187j -7.62841e-14-0.117461j 2.4976e-13-0.221476j -1.67286e-13+0.100599j -1.8027e-14+0.0372094j -1.19865e-13+0.123328j 2.19417e-14+0.159272j -1.12055e-14+0.0495772j 9.12074e-15-0.0134457j 7.43493e-15+0.00341901j 3.19797e-14-0.0601218j 1.55225e-14-0.0818393j -1.32964e-15-0.176214j -1.25458e-13-0.0582859j -6.26646e-14-0.143934j -4.75212e-14-0.105788j -1.16723e-15+0.0294212j 5.54264e-14-0.108307j 1.60227e-14-0.164021j 6.61413e-15-0.0425026j -1.27339e-12-0.136583j 8.39568e-15+0.0226944j 2.51052e-14+0.19533j -1.33222e-14-0.0484739j 4.19477e-15+0.0326991j 1.83805e-14+0.144392j -5.00507e-15-0.0779243j 5.69622e-15-0.0474371j 8.86834e-16+0.0804828j 6.44657e-15-0.132912j -2.15938e-14+0.146576j 9.32372e-14+0.15417j 3.56023e-15-0.0465075j 1.31721e-15-0.0560814j 3.75634e-15+0.0946577j -4.45587e-15-0.169037j -1.5455e-15-0.0802742j -3.77151e-15-0.0906984j 1.39138e-14+0.156161j -1.28366e-14-0.0386313j 1.87464e-13+0.109046j 
-5.54196e-15-0.0015859j -3.59437e-16-0.000557898j 4.12867e-17-0.00232299j 8.63876e-18-0.00133688j -1.7405e-17+0.00122416j -5.41751e-17+0.00256197j 2.09e-17-0.00141687j 2.17251e-17+0.000811367j 6.54262e-17+0.000744227j -2.49349e-16-0.00252249j 2.35516e-16+0.00222137j 7.81458e-17+0.00207479j 7.80184e-17+0.000921638j 2.78694e-17-0.000221003j 1.35464e-16-0.000892251j -2.81919e-17+0.00282517j 6.09082e-17+0.00110223j 6.01028e-17-0.000965537j -2.37429e-16+0.00281949j 4.39805e-17-0.00075667j -5.37812e-16-0.00175077j -6.08273e-17+0.00168467j 2.36854e-16-0.0028744j -7.27452e-17-0.00135314j -2.18178e-16+0.000297075j -2.48655e-16-0.00138637j -2.58455e-16+0.000621543j 1.36327e-15-0.00293614j 2.49128e-16+0.00162543j 5.29915e-16+0.000717395j -3.52977e-16-0.00127638j -8.11044e-17+0.000628266j 3.31005e-15-0.000324409j 4.7483e-16+0.000475692j 1.12133e-15-0.00247212j -1.23895e-14-0.00154272j 5.8395e-16+0.00081476j -1.06393e-15-0.00163822j 3.48338e-15-0.0030889j -2.33312e-15+0.00140305j -2.51421e-16+0.000518957j -1.67174e-15+0.00172004j 3.06019e-16+0.00222135j -1.56282e-16+0.000691449j 1.27206e-16-0.000187526j 1.03694e-16+4.76846e-05j 4.46018e-16-0.000838513j 2.16491e-16-0.00114141j -1.85443e-17-0.00245764j -1.74975e-15-0.000812908j -8.73977e-16-0.00200743j -6.62774e-16-0.00147542j -1.62793e-17+0.000410335j 7.73027e-16-0.00151055j 2.23468e-16-0.00228759j 9.22467e-17-0.00059278j -1.77598e-14-0.00190491j 1.17094e-16+0.000316517j 3.5014e-16+0.00272425j -1.85803e-16-0.000676061j 5.85041e-17+0.000456052j 2.56351e-16+0.00201382j -6.98053e-17-0.0010868j 7.94446e-17-0.000661601j 1.23686e-17+0.00112249j 8.99097e-17-0.00185371j -3.01167e-16+0.00204428j 1.30037e-15+0.0021502j 4.96543e-17-0.000648636j 1.83711e-17-0.000782162j 5.23893e-17+0.00132018j -6.21457e-17-0.00235754j -2.1555e-17-0.00111958j -5.2601e-17-0.00126496j 1.94055e-16+0.00217796j -1.7903e-16-0.000538788j 2.61454e-15+0.00152086j 
-1.0484e-15-0.000300011j -6.79961e-17-0.00010554j 7.81038e-18-0.000439449j 1.63423e-18-0.000252903j -3.29258e-18+0.000231579j -1.02485e-17+0.000484659j 3.95375e-18-0.000268034j 4.10983e-18+0.00015349j 1.2377e-17+0.000140789j -4.71704e-17-0.000477191j 4.45535e-17+0.000420227j 1.47832e-17+0.000392497j 1.47591e-17+0.00017435j 5.27218e-18-4.1808e-05j 2.56262e-17-0.000168791j -5.33317e-18+0.00053445j 1.15223e-17+0.000208514j 1.13699e-17-0.000182655j -4.49155e-17+0.000533375j 8.31998e-18-0.000143142j -1.0174e-16-0.000331201j -1.1507e-17+0.000318696j 4.48067e-17-0.000543762j -1.37615e-17-0.00025598j -4.12737e-17+5.6199e-05j -4.70392e-17-0.000262266j -4.8893e-17+0.00011758j 2.57896e-16-0.000555442j 4.71287e-17+0.000307489j 1.00246e-16+0.000135713j -6.67742e-17-0.000241458j -1.53429e-17+0.000118852j 6.26177e-16-6.13698e-05j 8.98257e-17+8.99887e-05j 2.12126e-16-0.000467662j -2.34378e-15-0.000291844j 1.10468e-16+0.000154132j -2.01268e-16-0.000309909j 6.58966e-16-0.000584341j -4.41367e-16+0.000265421j -4.75624e-17+9.81733e-05j -3.16251e-16+0.000325388j 5.78909e-17+0.000420223j -2.95646e-17+0.000130804j 2.40641e-17-3.5475e-05j 1.96163e-17+9.02071e-06j 8.43752e-17-0.000158625j 4.09544e-17-0.000215925j -3.50811e-18-0.000464923j -3.31007e-16-0.000153781j -1.65334e-16-0.000379755j -1.2538e-16-0.000279111j -3.07962e-18+7.76248e-05j 1.46237e-16-0.000285758j 4.22744e-17-0.000432754j 1.74507e-17-0.000112139j -3.3597e-15-0.000360359j 2.21511e-17+5.98769e-05j 6.62375e-17+0.000515359j -3.51491e-17-0.000127893j 1.10675e-17+8.62733e-05j 4.84951e-17+0.000380964j -1.32054e-17-0.000205595j 1.50289e-17-0.000125158j 2.33982e-18+0.000212346j 1.70086e-17-0.000350673j -5.69731e-17+0.000386725j 2.45997e-16+0.000406763j 9.39331e-18-0.000122705j 3.47534e-18-0.000147965j 9.91071e-18+0.000249745j -1.17564e-17-0.000445986j -4.07765e-18-0.000211795j -9.95075e-18-0.000239298j 3.67102e-17+0.000412014j -3.3868e-17-0.000101925j 4.94603e-16+0.000287708j 
-5.01984e-15-0.00143649j -3.25573e-16-0.000505337j 3.7397e-17-0.00210413j 7.82488e-18-0.00121093j -1.57652e-17+0.00110883j -4.90712e-17+0.0023206j 1.8931e-17-0.00128338j 1.96783e-17+0.000734926j 5.92623e-17+0.000674112j -2.25857e-16-0.00228484j 2.13327e-16+0.00201209j 7.07835e-17+0.00187932j 7.06681e-17+0.000834808j 2.52438e-17-0.000200181j 1.22701e-16-0.00080819j -2.55358e-17+0.00255901j 5.51699e-17+0.000998387j 5.44404e-17-0.000874571j -2.15061e-16+0.00255386j 3.9837e-17-0.000685382j -4.87144e-16-0.00158583j -5.50966e-17+0.00152595j 2.14539e-16-0.00260359j -6.58917e-17-0.00122566j -1.97623e-16+0.000269087j -2.25229e-16-0.00125576j -2.34105e-16+0.000562986j 1.23484e-15-0.00265952j 2.25657e-16+0.00147229j 4.7999e-16+0.000649808j -3.19722e-16-0.00115613j -7.34633e-17+0.000569076j 2.99821e-15-0.000293846j 4.30095e-16+0.000430876j 1.01568e-15-0.00223922j -1.12223e-14-0.00139738j 5.28935e-16+0.000738j -9.63693e-16-0.00148388j 3.1552e-15-0.00279789j -2.11331e-15+0.00127087j -2.27734e-16+0.000470065j -1.51424e-15+0.00155799j 2.77188e-16+0.00201207j -1.41559e-16+0.000626306j 1.15222e-16-0.000169858j 9.3925e-17+4.31921e-05j 4.03998e-16-0.000759515j 1.96094e-16-0.00103387j -1.67972e-17-0.0022261j -1.5849e-15-0.000736322j -7.91638e-16-0.00181831j -6.00332e-16-0.00133641j -1.47456e-17+0.000371676j 7.00198e-16-0.00136824j 2.02414e-16-0.00207207j 8.35559e-17-0.000536933j -1.60866e-14-0.00172544j 1.06062e-16+0.000286697j 3.17153e-16+0.0024676j -1.68298e-16-0.000612367j 5.29923e-17+0.000413086j 2.322e-16+0.0018241j -6.32288e-17-0.000984413j 7.196e-17-0.00059927j 1.12033e-17+0.00101673j 8.14391e-17-0.00167906j -2.72793e-16+0.00185168j 1.17786e-15+0.00194763j 4.49762e-17-0.000587526j 1.66403e-17-0.000708473j 4.74536e-17+0.00119581j -5.62908e-17-0.00213543j -1.95242e-17-0.0010141j -4.76453e-17-0.00114579j 1.75772e-16+0.00197277j -1.62164e-16-0.000488028j 2.36822e-15+0.00137758j 
-6.92034e-16-0.000198034j -4.48834e-17-6.96657e-05j 5.15553e-18-0.000290075j 1.07874e-18-0.000166938j -2.17339e-18+0.000152862j -6.76494e-18+0.000319917j 2.60982e-18-0.000176926j 2.71285e-18+0.000101317j 8.16988e-18+9.29328e-05j -3.11366e-17-0.000314988j 2.94092e-17+0.000277386j 9.75819e-18+0.000259083j 9.74228e-18+0.000115086j 3.4801e-18-2.75969e-05j 1.69156e-17-0.000111417j -3.52036e-18+0.000352784j 7.6057e-18+0.000137637j 7.50513e-18-0.000120568j -2.96482e-17+0.000352074j 5.49191e-18-9.44866e-05j -6.71575e-17-0.000218622j -7.5956e-18+0.000210367j 2.95763e-17-0.000358931j -9.0838e-18-0.000168969j -2.72442e-17+3.70963e-05j -3.105e-17-0.000173119j -3.22737e-17+7.76131e-05j 1.70234e-16-0.00036664j 3.11091e-17+0.000202969j 6.61713e-17+8.95823e-05j -4.40768e-17-0.000159383j -1.01276e-17+7.84526e-05j 4.13332e-16-4.05095e-05j 5.92928e-17+5.94004e-05j 1.40022e-16-0.000308698j -1.5471e-15-0.000192642j 7.29188e-17+0.00010174j -1.32854e-16-0.000204567j 4.34975e-16-0.000385716j -2.91341e-16+0.000175201j -3.13954e-17+6.4803e-05j -2.08753e-16+0.000214784j 3.82131e-17+0.000277384j -1.95152e-17+8.63424e-05j 1.58844e-17-2.34166e-05j 1.29485e-17+5.95446e-06j 5.5695e-17-0.000104706j 2.70335e-17-0.000142529j -2.31566e-18-0.00030689j -2.18494e-16-0.000101509j -1.09135e-16-0.000250672j -8.27616e-17-0.000184238j -2.03282e-18+5.12392e-05j 9.65291e-17-0.000188625j 2.79048e-17-0.000285655j 1.1519e-17-7.40213e-05j -2.21769e-15-0.000237869j 1.46217e-17+3.9524e-05j 4.37225e-17+0.000340182j -2.32015e-17-8.44208e-05j 7.3055e-18+5.6948e-05j 3.2011e-17+0.000251469j -8.7167e-18-0.000135711j 9.92038e-18-8.26151e-05j 1.54449e-18+0.000140167j 1.12272e-17-0.000231475j -3.76072e-17+0.000255272j 1.62379e-16+0.000268499j 6.20041e-18-8.09962e-05j 2.29403e-18-9.76698e-05j 6.54194e-18+0.000164853j -7.76023e-18-0.00029439j -2.69161e-18-0.000139803j -6.56837e-18-0.000157958j 2.42319e-17+0.000271965j -2.23558e-17-6.72793e-05j 3.26482e-16+0.000189912j 
-2.03042e-15-0.00058103j -1.31688e-16-0.000204399j 1.51263e-17-0.000851078j 3.16501e-18-0.000489796j -6.37672e-18+0.000448498j -1.98483e-17+0.000938636j 7.65721e-18-0.000519101j 7.95949e-18+0.000297263j 2.39704e-17+0.000272664j -9.13546e-17-0.000924172j 8.62866e-17+0.00081385j 2.86305e-17+0.000760147j 2.85838e-17+0.000337663j 1.02106e-17-8.09693e-05j 4.96302e-17-0.000326896j -1.03287e-17+0.00103507j 2.23151e-17+0.000403827j 2.202e-17-0.000353746j -8.69876e-17+0.00103298j 1.61133e-17-0.000277223j -1.9704e-16-0.000641436j -2.22855e-17+0.000617217j 8.67768e-17-0.0010531j -2.66518e-17-0.000495755j -7.99345e-17+0.00010884j -9.11005e-17-0.000507929j -9.46908e-17+0.000227717j 4.99466e-16-0.00107572j 9.12739e-17+0.000595512j 1.94146e-16+0.000262834j -1.29321e-16-0.00046763j -2.97144e-17+0.00023018j 1.21271e-15-0.000118855j 1.73965e-16+0.000174281j 4.10824e-16-0.000905719j -4.53918e-15-0.000565212j 2.13943e-16+0.000298506j -3.89794e-16-0.000600199j 1.27621e-15-0.00113169j -8.54792e-16+0.00051404j -9.21139e-17+0.000190132j -6.12481e-16+0.000630176j 1.12117e-16+0.000813843j -5.72576e-17+0.000253328j 4.66049e-17-6.87043e-05j 3.79908e-17+1.74703e-05j 1.63409e-16-0.000307208j 7.93162e-17-0.00041818j -6.79413e-18-0.000900414j -6.41059e-16-0.000297827j -3.20201e-16-0.000735469j -2.42822e-16-0.000540552j -5.96429e-18+0.000150335j 2.83216e-16-0.000553426j 8.18725e-17-0.000838112j 3.37967e-17-0.000217178j -6.5067e-15-0.000697906j 4.29e-17+0.000115963j 1.28282e-16+0.000998092j -6.80731e-17-0.00024769j 2.14343e-17+0.000167085j 9.39201e-17+0.00073781j -2.55748e-17-0.000398175j 2.91063e-17-0.000242392j 4.53152e-18+0.000411248j 3.29405e-17-0.000679147j -1.10339e-16+0.000748968j 4.76421e-16+0.000787776j 1.8192e-17-0.000237642j 6.73066e-18-0.000286563j 1.9194e-17+0.000483679j -2.27685e-17-0.000863739j -7.89716e-18-0.000410183j -1.92716e-17-0.000463448j 7.10964e-17+0.000797946j -6.55919e-17-0.000197397j 9.57895e-16+0.000557202j 
-1.32396e-15-0.000378867j -8.58684e-17-0.00013328j 9.86327e-18-0.000554955j 2.06378e-18-0.000319377j -4.15801e-18+0.000292448j -1.29423e-17+0.000612048j 4.99296e-18-0.000338485j 5.19007e-18+0.000193833j 1.56301e-17+0.000177794j -5.95688e-17-0.000602616j 5.62641e-17+0.00053068j 1.86688e-17+0.000495662j 1.86384e-17+0.000220177j 6.65793e-18-5.27969e-05j 3.23619e-17-0.000213156j -6.73496e-18+0.000674926j 1.45508e-17+0.00026332j 1.43584e-17-0.000230664j -5.67212e-17+0.000673568j 1.05068e-17-0.000180766j -1.28482e-16-0.000418255j -1.45315e-17+0.000402463j 5.65838e-17-0.000686686j -1.73786e-17-0.000323262j -5.21221e-17+7.09704e-05j -5.9403e-17-0.000331201j -6.17441e-17+0.000148485j 3.25682e-16-0.000701436j 5.95161e-17+0.00038831j 1.26595e-16+0.000171384j -8.43252e-17-0.000304923j -1.93756e-17+0.000150091j 7.90763e-16-7.75004e-05j 1.13436e-16+0.000113642j 2.67882e-16-0.000590584j -2.95982e-15-0.000368553j 1.39504e-16+0.000194644j -2.5417e-16-0.000391366j 8.32169e-16-0.000737931j -5.57376e-16+0.000335185j -6.00639e-17+0.000123977j -3.99374e-16+0.000410913j 7.31071e-17+0.000530675j -3.73354e-17+0.000165185j 3.03892e-17-4.47993e-05j 2.47723e-17+1.13917e-05j 1.06553e-16-0.000200318j 5.1719e-17-0.000272679j -4.43019e-18-0.000587124j -4.18009e-16-0.000194201j -2.08791e-16-0.000479571j -1.58335e-16-0.000352473j -3.88908e-18+9.80278e-05j 1.84674e-16-0.000360867j 5.33858e-17-0.0005465j 2.20375e-17-0.000141613j -4.24277e-15-0.000455077j 2.79734e-17+7.56151e-05j 8.36475e-17+0.000650817j -4.43878e-17-0.000161509j 1.39765e-17+0.00010895j 6.12416e-17+0.000481097j -1.66763e-17-0.000259634j 1.89791e-17-0.000158055j 2.95482e-18+0.000268159j 2.14792e-17-0.000442845j -7.1948e-17+0.000488372j 3.10655e-16+0.000513677j 1.18623e-17-0.000154957j 4.3888e-18-0.000186856j 1.25157e-17+0.000315388j -1.48464e-17-0.00056321j -5.14943e-18-0.000267464j -1.25662e-17-0.000302196j 4.63592e-17+0.000520309j -4.27699e-17-0.000128715j 6.24606e-16+0.00036333j 
-2.37754e-16-6.80362e-05j -1.54201e-17-2.39343e-05j 1.77123e-18-9.96578e-05j 3.70609e-19-5.73531e-05j -7.46688e-19+5.25172e-05j -2.32415e-18+0.00010991j 8.96627e-19-6.07845e-05j 9.32023e-19+3.48082e-05j 2.80683e-18+3.19279e-05j -1.06973e-17-0.000108217j 1.01038e-17+9.52985e-05j 3.35251e-18+8.90101e-05j 3.34705e-18+3.95389e-05j 1.19562e-18-9.48117e-06j 5.81149e-18-3.82782e-05j -1.20945e-18+0.000121202j 2.613e-18+4.72865e-05j 2.57845e-18-4.14222e-05j -1.01859e-17+0.000120958j 1.8868e-18-3.24617e-05j -2.30725e-17-7.51095e-05j -2.60954e-18+7.22735e-05j 1.01612e-17-0.000123314j -3.12082e-18-5.80509e-05j -9.36e-18+1.27447e-05j -1.06675e-17-5.94764e-05j -1.10879e-17+2.66647e-05j 5.84854e-17-0.000125963j 1.06878e-17+6.9732e-05j 2.27337e-17+3.07768e-05j -1.5143e-17-5.47576e-05j -3.47944e-18+2.69531e-05j 1.42004e-16-1.39174e-05j 2.03706e-17+2.04075e-05j 4.81058e-17-0.000106056j -5.3152e-16-6.6184e-05j 2.50519e-17+3.49538e-05j -4.56433e-17-7.02809e-05j 1.49439e-16-0.000132516j -1.00093e-16+6.0192e-05j -1.07862e-17+2.22636e-05j -7.1719e-17+7.3791e-05j 1.31284e-17+9.52976e-05j -6.70463e-18+2.96637e-05j 5.45724e-18-8.04499e-06j 4.44856e-18+2.04571e-06j 1.91345e-17-3.59728e-05j 9.2876e-18-4.89672e-05j -7.95565e-19-0.000105435j -7.50654e-17-3.48743e-05j -3.74943e-17-8.61204e-05j -2.84335e-17-6.32964e-05j -6.98394e-19+1.76037e-05j 3.31634e-17-6.48039e-05j 9.58693e-18-9.81394e-05j 3.95745e-18-2.54307e-05j -7.61908e-16-8.17219e-05j 5.02341e-18+1.35788e-05j 1.50213e-17+0.000116873j -7.97108e-18-2.90035e-05j 2.50987e-18+1.9565e-05j 1.09977e-17+8.63945e-05j -2.9947e-18-4.66247e-05j 3.40823e-18-2.83831e-05j 5.30622e-19+4.81555e-05j 3.85719e-18-7.95253e-05j -1.29203e-17+8.7701e-05j 5.57869e-17+9.22453e-05j 2.1302e-18-2.7827e-05j 7.88133e-19-3.35553e-05j 2.24754e-18+5.66368e-05j -2.6661e-18-0.00010114j -9.24725e-19-4.80307e-05j -2.25662e-18-5.42678e-05j 8.3251e-18+9.34361e-05j -7.68054e-18-2.31144e-05j 1.12166e-16+6.52461e-05j 
1.42693e-15+0.000408331j 9.25465e-17+0.000143646j -1.06304e-17+0.000598114j -2.22428e-18+0.000344215j 4.48138e-18-0.000315192j 1.39488e-17-0.000659647j -5.38127e-18+0.000364809j -5.5937e-18-0.000208908j -1.68457e-17-0.000191621j 6.42015e-17+0.000649482j -6.06398e-17-0.000571951j -2.01207e-17-0.00053421j -2.00879e-17-0.0002373j -7.17573e-18+5.6903e-05j -3.48787e-17+0.000229734j 7.25874e-18-0.000727416j -1.56824e-17-0.000283799j -1.54751e-17+0.000248603j 6.11325e-17-0.000725952j -1.13239e-17+0.000194825j 1.38474e-16+0.000450783j 1.56616e-17-0.000433763j -6.09843e-17+0.00074009j 1.87302e-17+0.000348403j 5.61757e-17-7.64899e-05j 6.40229e-17+0.000356958j 6.65461e-17-0.000160033j -3.51011e-16+0.000755987j -6.41447e-17-0.000418509j -1.36441e-16-0.000184712j 9.08833e-17+0.000328637j 2.08825e-17-0.000161764j -8.52261e-16+8.35277e-05j -1.22258e-16-0.00012248j -2.88716e-16+0.000636514j 3.19001e-15+0.000397215j -1.50353e-16-0.000209782j 2.73937e-16+0.000421803j -8.96888e-16+0.00079532j 6.00724e-16-0.000361253j 6.47351e-17-0.000133619j 4.30434e-16-0.00044287j -7.87927e-17-0.000571946j 4.0239e-17-0.000178032j -3.27526e-17+4.82834e-05j -2.66989e-17-1.22777e-05j -1.14839e-16+0.000215897j -5.57412e-17+0.000293885j 4.77473e-18+0.000632786j 4.50518e-16+0.000209305j 2.25029e-16+0.000516867j 1.70649e-16+0.000379885j 4.19154e-18-0.000105652j -1.99036e-16+0.000388932j -5.75377e-17+0.000589002j -2.37514e-17+0.000152627j 4.57273e-15+0.000490469j -3.01489e-17-8.14958e-05j -9.01529e-17-0.000701432j 4.78399e-17+0.00017407j -1.50634e-17-0.000117423j -6.60044e-17-0.000518512j 1.79732e-17+0.000279826j -2.04551e-17+0.000170347j -3.18462e-18-0.000289014j -2.31496e-17+0.000477286j 7.75435e-17-0.000526354j -3.34815e-16-0.000553627j -1.27848e-17+0.000167009j -4.73012e-18+0.000201388j -1.3489e-17-0.000339916j 1.60011e-17+0.000607011j 5.5499e-18+0.000288265j 1.35435e-17+0.000325698j -4.99646e-17-0.000560774j 4.60961e-17+0.000138725j -6.73182e-16-0.000391586j 
2.42164e-15+0.000692982j 1.57061e-16+0.000243782j -1.80408e-17+0.00101506j -3.77484e-18+0.00058417j 7.60538e-18-0.000534914j 2.36726e-17-0.00111949j -9.13259e-18+0.00061912j -9.49311e-18-0.000354539j -2.8589e-17-0.000325201j 1.08957e-16+0.00110224j -1.02912e-16-0.000970662j -3.4147e-17-0.000906611j -3.40913e-17-0.000402723j -1.2178e-17+9.65704e-05j -5.91928e-17+0.000389882j 1.23189e-17-0.0012345j -2.66147e-17-0.000481636j -2.62628e-17+0.000421906j 1.03748e-16-0.00123202j -1.92179e-17+0.000330638j 2.35005e-16+0.000765027j 2.65794e-17-0.000736142j -1.03497e-16+0.00125601j 3.17871e-17+0.000591277j 9.53362e-17-0.000129811j 1.08654e-16+0.000605796j 1.12936e-16-0.000271593j -5.95702e-16+0.00128299j -1.0886e-16-0.000710254j -2.31554e-16-0.000313477j 1.54239e-16+0.000557733j 3.54398e-17-0.00027453j -1.44638e-15+0.000141755j -2.07484e-16-0.000207861j -4.89981e-16+0.00108023j 5.41379e-15+0.000674117j -2.55166e-16-0.000356022j 4.64899e-16+0.000715845j -1.52211e-15+0.00134974j 1.01949e-15-0.000613085j 1.09862e-16-0.000226766j 7.30493e-16-0.000751598j -1.3372e-16-0.000970653j 6.82899e-17-0.000302139j -5.55846e-17+8.19421e-05j -4.53108e-17-2.08365e-05j -1.94894e-16+0.000366401j -9.45988e-17+0.000498755j 8.10322e-18+0.0010739j 7.64578e-16+0.000355212j 3.81897e-16+0.000877179j 2.89609e-16+0.000644705j 7.11348e-18-0.000179302j -3.37786e-16+0.000660059j -9.76476e-17+0.000999598j -4.03086e-17+0.000259024j 7.76041e-15+0.000832378j -5.11659e-17-0.000138307j -1.52999e-16-0.0011904j 8.11894e-17+0.000295415j -2.55642e-17-0.000199279j -1.12017e-16-0.00087997j 3.05025e-17+0.000474895j -3.47145e-17+0.000289096j -5.40465e-18-0.000490487j -3.92874e-17+0.000810005j 1.316e-16-0.000893278j -5.68217e-16-0.000939563j -2.16972e-17+0.000283431j -8.02752e-18+0.000341778j -2.28923e-17-0.000576874j 2.71555e-17+0.00103016j 9.41878e-18+0.000489216j 2.29848e-17+0.000552744j -8.47952e-17-0.000951693j 7.823e-17+0.000235432j -1.14246e-15-0.000664564j 
2.22034e-15+0.000635377j 1.44005e-16+0.000223517j -1.65412e-17+0.000930685j -3.46105e-18+0.00053561j 6.97317e-18-0.000490448j 2.17048e-17-0.00102643j -8.37343e-18+0.000567655j -8.70398e-18-0.000325067j -2.62125e-17-0.000298168j 9.98995e-17+0.00101062j -9.43574e-17-0.000889974j -3.13085e-17-0.000831248j -3.12574e-17-0.000369246j -1.11657e-17+8.85428e-05j -5.42723e-17+0.000357473j 1.12948e-17-0.00113188j -2.44023e-17-0.0004416j -2.40797e-17+0.000386834j 9.51241e-17-0.0011296j -1.76204e-17+0.000303153j 2.1547e-16+0.000701433j 2.43699e-17-0.000674949j -9.48936e-17+0.0011516j 2.91447e-17+0.000542126j 8.74112e-17-0.000119021j 9.96216e-17+0.000555439j 1.03548e-16-0.000249016j -5.46184e-16+0.00117634j -9.98112e-17-0.000651213j -2.12306e-16-0.000287418j 1.41417e-16+0.00051137j 3.24938e-17-0.00025171j -1.32615e-15+0.000129972j -1.90237e-16-0.000190582j -4.49251e-16+0.000990436j 4.96376e-15+0.00061808j -2.33955e-16-0.000326427j 4.26254e-16+0.000656339j -1.39559e-15+0.00123754j 9.34746e-16-0.000562121j 1.0073e-16-0.000207916j 6.69769e-16-0.00068912j -1.22604e-16-0.000889966j 6.26132e-17-0.000277023j -5.09641e-17+7.51306e-05j -4.15443e-17-1.91044e-05j -1.78694e-16+0.000335943j -8.67351e-17+0.000457295j 7.42963e-18+0.000984634j 7.01021e-16+0.000325685j 3.50152e-16+0.000804262j 2.65535e-16+0.000591113j 6.52217e-18-0.000164397j -3.09707e-16+0.000605191j -8.95305e-17+0.000916505j -3.69579e-17+0.000237492j 7.11531e-15+0.000763185j -4.69127e-17-0.00012681j -1.40281e-16-0.00109145j 7.44404e-17+0.000270858j -2.34392e-17-0.000182713j -1.02705e-16-0.000806822j 2.79669e-17+0.000435419j -3.18288e-17+0.000265065j -4.95538e-18-0.000449715j -3.60216e-17+0.000742672j 1.2066e-16-0.000819023j -5.20983e-16-0.000861461j -1.98936e-17+0.000259871j -7.36022e-18+0.000313367j -2.09893e-17-0.00052892j 2.48982e-17+0.000944529j 8.63583e-18+0.00044855j 2.10741e-17+0.000506797j -7.77465e-17-0.000872582j 7.1727e-17+0.000215861j -1.04749e-15-0.000609321j 
