-0.0669592-0j -0.0141897-0j -0.134595-0j -0.0581453-0j -0.120131-0j 0.125277-0j -0.104708-0j 0.0748645-0j -0.201874-0j -0.161389-0j 0.217346-0j 0.0708899-0j -0.0805882-0j -0.308021-0j -0.295607-0j 0.063888-0j 0.0553386-0j -0.164882-0j 0.000252305-0j -0.129765-0j 0.104856-0j -0.0627572-0j 0.00666074-0j 0.0182288-0j 0.0953366-0j 0.159464-0j -0.108728-0j -0.376888-0j -0.00744132-0j -0.0894862-0j 0.12348-0j -0.06439-0j 0.0152021-0j -0.0271911-0j 0.0779342-0j -0.113735-0j -0.132003-0j 0.103324-0j -0.141203-0j -0.0350735-0j 0.203836-0j -0.183633-0j 0.243476-0j -0.0922743-0j 0.104645-0j -0.156368-0j -0.116497-0j -0.137277-0j 0.0702878-0j -0.087528-0j 0.108728-0j -0.102479-0j 0.0543818-0j -0.119803-0j 0.013549-0j -0.0626664-0j 
-0.00046572-0j -9.86932e-05-0j -0.000936145-0j -0.000404417-0j -0.000835543-0j 0.000871338-0j -0.000728275-0j 0.000520703-0j -0.00140409-0j -0.00112251-0j 0.0015117-0j 0.000493059-0j -0.000560514-0j -0.00214237-0j -0.00205603-0j 0.000444359-0j 0.000384895-0j -0.0011468-0j 1.75485e-06-0j -0.000902555-0j 0.000729301-0j -0.000436494-0j 4.63273e-05-0j 0.000126786-0j 0.000663093-0j 0.00110911-0j -0.000756237-0j -0.00262136-0j -5.17564e-05-0j -0.000622402-0j 0.000858837-0j -0.000447851-0j 0.000105735-0j -0.000189122-0j 0.000542054-0j -0.000791056-0j -0.000918119-0j 0.000718648-0j -0.000982105-0j -0.000243946-0j 0.00141774-0j -0.00127722-0j 0.00169344-0j -0.000641793-0j 0.000727838-0j -0.00108759-0j -0.000810268-0j -0.000954796-0j 0.000488871-0j -0.000608781-0j 0.000756233-0j -0.000712772-0j 0.000378241-0j -0.000833264-0j 9.42368e-05-0j -0.000435862-0j 
0.000529929-0j 0.0001123-0j 0.00106521-0j 0.000460173-0j 0.00095074-0j -0.000991469-0j 0.000828683-0j -0.000592493-0j 0.00159767-0j 0.00127726-0j -0.00172012-0j -0.000561037-0j 0.000637792-0j 0.00243774-0j 0.00233949-0j -0.000505622-0j -0.000437961-0j 0.00130491-0j -1.99679e-06-0j 0.00102699-0j -0.00082985-0j 0.000496673-0j -5.27145e-05-0j -0.000144266-0j -0.000754514-0j -0.00126203-0j 0.000860499-0j 0.00298277-0j 5.88921e-05-0j 0.000708212-0j -0.000977245-0j 0.000509596-0j -0.000120313-0j 0.000215196-0j -0.000616787-0j 0.000900119-0j 0.0010447-0j -0.000817728-0j 0.00111751-0j 0.000277579-0j -0.0016132-0j 0.00145331-0j -0.00192692-0j 0.000730277-0j -0.000828184-0j 0.00123753-0j 0.00092198-0j 0.00108643-0j -0.000556272-0j 0.000692714-0j -0.000860495-0j 0.000811042-0j -0.000430389-0j 0.000948146-0j -0.000107229-0j 0.000495954-0j 
3.18374e-18-0j 6.74684e-19-0j 6.39966e-18-0j 2.76467e-18-0j 5.71192e-18-0j -5.95662e-18-0j 4.97862e-18-0j -3.55962e-18-0j 9.59861e-18-0j 7.67365e-18-0j -1.03343e-17-0j -3.37064e-18-0j 3.83177e-18-0j 1.46456e-17-0j 1.40554e-17-0j -3.03772e-18-0j -2.63121e-18-0j 7.83976e-18-0j -1.19965e-20-0j 6.17003e-18-0j -4.98564e-18-0j 2.98395e-18-0j -3.16702e-19-0j -8.66734e-19-0j -4.53302e-18-0j -7.5821e-18-0j 5.16977e-18-0j 1.79201e-17-0j 3.53816e-19-0j 4.25485e-18-0j -5.87117e-18-0j 3.06159e-18-0j -7.22823e-19-0j 1.29287e-18-0j -3.70558e-18-0j 5.4078e-18-0j 6.27643e-18-0j -4.91281e-18-0j 6.71385e-18-0j 1.66766e-18-0j -9.69191e-18-0j 8.73132e-18-0j -1.15767e-17-0j 4.38741e-18-0j -4.97563e-18-0j 7.43494e-18-0j 5.53914e-18-0j 6.52716e-18-0j -3.34201e-18-0j 4.16174e-18-0j -5.16975e-18-0j 4.87264e-18-0j -2.58572e-18-0j 5.69634e-18-0j -6.44219e-19-0j 2.97963e-18-0j 
-0.000185443-0j -3.92982e-05-0j -0.00037276-0j -0.000161033-0j -0.000332701-0j 0.000346954-0j -0.000289989-0j 0.000207337-0j -0.000559088-0j -0.000446965-0j 0.000601938-0j 0.000196329-0j -0.000223188-0j -0.000853061-0j -0.000818681-0j 0.000176937-0j 0.00015326-0j -0.000456641-0j 6.98756e-07-0j -0.000359385-0j 0.000290397-0j -0.000173806-0j 1.84469e-05-0j 5.04845e-05-0j 0.000264034-0j 0.000441633-0j -0.000301123-0j -0.00104379-0j -2.06087e-05-0j -0.000247831-0j 0.000341977-0j -0.000178328-0j 4.21021e-05-0j -7.53056e-05-0j 0.000215838-0j -0.000314987-0j -0.000365582-0j 0.000286155-0j -0.00039106-0j -9.71358e-05-0j 0.000564523-0j -0.000508571-0j 0.000674304-0j -0.000255553-0j 0.000289814-0j -0.000433061-0j -0.000322637-0j -0.000380186-0j 0.000194662-0j -0.000242408-0j 0.000301121-0j -0.000283816-0j 0.00015061-0j -0.000331794-0j 3.75237e-05-0j -0.000173554-0j 
-2.19343e-05-0j -4.64822e-06-0j -4.40903e-05-0j -1.90471e-05-0j -3.93522e-05-0j 4.1038e-05-0j -3.43001e-05-0j 2.45239e-05-0j -6.61293e-05-0j -5.28674e-05-0j 7.11976e-05-0j 2.32219e-05-0j -2.63989e-05-0j -0.000100901-0j -9.68342e-05-0j 2.09283e-05-0j 1.81277e-05-0j -5.40118e-05-0j 8.26494e-08-0j -4.25083e-05-0j 3.43484e-05-0j -2.05579e-05-0j 2.18191e-06-0j 5.97134e-06-0j 3.12301e-05-0j 5.22367e-05-0j -3.5617e-05-0j -0.00012346-0j -2.43761e-06-0j -2.93137e-05-0j 4.04492e-05-0j -2.10927e-05-0j 4.97987e-06-0j -8.9072e-06-0j 2.55295e-05-0j -3.72569e-05-0j -4.32413e-05-0j 3.38467e-05-0j -4.62549e-05-0j -1.14893e-05-0j 6.67722e-05-0j -6.01542e-05-0j 7.97572e-05-0j -3.0227e-05-0j 3.42795e-05-0j -5.12228e-05-0j -3.81618e-05-0j -4.49687e-05-0j 2.30247e-05-0j -2.86722e-05-0j 3.56168e-05-0j -3.35699e-05-0j 1.78143e-05-0j -3.92448e-05-0j 4.43833e-06-0j -2.05281e-05-0j 
-0.000225369-0j -4.77591e-05-0j -0.000453015-0j -0.000195703-0j -0.000404332-0j 0.000421654-0j -0.000352424-0j 0.000251976-0j -0.00067946-0j -0.000543197-0j 0.000731536-0j 0.000238599-0j -0.000271241-0j -0.00103673-0j -0.000994944-0j 0.000215032-0j 0.000186257-0j -0.000554956-0j 8.49199e-07-0j -0.00043676-0j 0.00035292-0j -0.000211226-0j 2.24185e-05-0j 6.13538e-05-0j 0.000320881-0j 0.000536717-0j -0.000365954-0j -0.00126852-0j -2.50457e-05-0j -0.00030119-0j 0.000415604-0j -0.000216722-0j 5.11667e-05-0j -9.15189e-05-0j 0.000262308-0j -0.000382804-0j -0.000444292-0j 0.000347765-0j -0.000475256-0j -0.000118049-0j 0.000686065-0j -0.000618067-0j 0.000819483-0j -0.000310574-0j 0.000352212-0j -0.0005263-0j -0.000392101-0j -0.000462041-0j 0.000236572-0j -0.000294599-0j 0.000365953-0j -0.000344922-0j 0.000183037-0j -0.000403229-0j 4.56026e-05-0j -0.00021092-0j 
1.97143e-18-0j 4.17776e-19-0j 3.96278e-18-0j 1.71193e-18-0j 3.53692e-18-0j -3.68844e-18-0j 3.08285e-18-0j -2.20418e-18-0j 5.94362e-18-0j 4.75165e-18-0j -6.39915e-18-0j -2.08716e-18-0j 2.3727e-18-0j 9.06883e-18-0j 8.70334e-18-0j -1.88101e-18-0j -1.62929e-18-0j 4.85451e-18-0j -7.42842e-21-0j 3.82059e-18-0j -3.08719e-18-0j 1.84771e-18-0j -1.96107e-19-0j -5.36696e-19-0j -2.80693e-18-0j -4.69496e-18-0j 3.20121e-18-0j 1.10964e-17-0j 2.19089e-19-0j 2.63468e-18-0j -3.63553e-18-0j 1.89579e-18-0j -4.47584e-19-0j 8.00568e-19-0j -2.29456e-18-0j 3.3486e-18-0j 3.88647e-18-0j -3.0421e-18-0j 4.15733e-18-0j 1.03264e-18-0j -6.00139e-18-0j 5.40658e-18-0j -7.16847e-18-0j 2.71676e-18-0j -3.08099e-18-0j 4.60384e-18-0j 3.42993e-18-0j 4.04173e-18-0j -2.06943e-18-0j 2.57702e-18-0j -3.2012e-18-0j 3.01722e-18-0j -1.60112e-18-0j 3.52727e-18-0j -3.98912e-19-0j 1.84504e-18-0j 
-5.22172e-05-0j -1.10656e-05-0j -0.000104962-0j -4.53438e-05-0j -9.36823e-05-0j 9.76956e-05-0j -8.16553e-05-0j 5.8382e-05-0j -0.000157428-0j -0.000125857-0j 0.000169494-0j 5.52825e-05-0j -6.28456e-05-0j -0.000240206-0j -0.000230525-0j 4.98221e-05-0j 4.3155e-05-0j -0.000128581-0j 1.96756e-07-0j -0.000101196-0j 8.17703e-05-0j -4.89403e-05-0j 5.19429e-06-0j 1.42155e-05-0j 7.43469e-05-0j 0.000124355-0j -8.47903e-05-0j -0.000293911-0j -5.80301e-06-0j -6.97846e-05-0j 9.6294e-05-0j -5.02137e-05-0j 1.18551e-05-0j -2.12046e-05-0j 6.07759e-05-0j -8.86944e-05-0j -0.000102941-0j 8.05759e-05-0j -0.000110115-0j -2.73516e-05-0j 0.000158959-0j -0.000143204-0j 0.000189871-0j -7.19588e-05-0j 8.16062e-05-0j -0.000121942-0j -9.08484e-05-0j -0.000107053-0j 5.4813e-05-0j -6.82575e-05-0j 8.479e-05-0j -7.99171e-05-0j 4.24089e-05-0j -9.34267e-05-0j 1.0566e-05-0j -4.88695e-05-0j 
-0.000387717-0j -8.21632e-05-0j -0.000779352-0j -0.000336682-0j -0.0006956-0j 0.000725399-0j -0.000606298-0j 0.000433492-0j -0.00116892-0j -0.000934499-0j 0.00125851-0j 0.000410477-0j -0.000466634-0j -0.00178355-0j -0.00171167-0j 0.000369934-0j 0.00032043-0j -0.000954728-0j 1.46093e-06-0j -0.000751388-0j 0.000607152-0j -0.000363386-0j 3.8568e-05-0j 0.000105551-0j 0.000552033-0j 0.00092335-0j -0.000629576-0j -0.00218231-0j -4.30878e-05-0j -0.000518157-0j 0.000714992-0j -0.000372841-0j 8.80255e-05-0j -0.000157446-0j 0.000451267-0j -0.000658564-0j -0.000764345-0j 0.000598283-0j -0.000817614-0j -0.000203088-0j 0.00118028-0j -0.0010633-0j 0.00140981-0j -0.0005343-0j 0.000605933-0j -0.000905428-0j -0.000674558-0j -0.000794879-0j 0.000406991-0j -0.000506818-0j 0.000629573-0j -0.000593391-0j 0.00031489-0j -0.000693702-0j 7.84532e-05-0j -0.00036286-0j 
1.18164e-17-0j 2.50408e-18-0j 2.37522e-17-0j 1.0261e-17-0j 2.11997e-17-0j -2.21079e-17-0j 1.8478e-17-0j -1.32115e-17-0j 3.5625e-17-0j 2.84806e-17-0j -3.83554e-17-0j -1.25101e-17-0j 1.42215e-17-0j 5.43569e-17-0j 5.21663e-17-0j -1.12744e-17-0j -9.76569e-18-0j 2.90971e-17-0j -4.45247e-20-0j 2.28999e-17-0j -1.85041e-17-0j 1.10749e-17-0j -1.17543e-18-0j -3.21686e-18-0j -1.68242e-17-0j -2.81408e-17-0j 1.91875e-17-0j 6.651e-17-0j 1.31318e-18-0j 1.57918e-17-0j -2.17907e-17-0j 1.1363e-17-0j -2.68274e-18-0j 4.79846e-18-0j -1.37532e-17-0j 2.00709e-17-0j 2.32948e-17-0j -1.82338e-17-0j 2.49183e-17-0j 6.18948e-18-0j -3.59713e-17-0j 3.24061e-17-0j -4.29666e-17-0j 1.62838e-17-0j -1.84669e-17-0j 2.75946e-17-0j 2.05584e-17-0j 2.42254e-17-0j -1.24038e-17-0j 1.54462e-17-0j -1.91874e-17-0j 1.80847e-17-0j -9.59685e-18-0j 2.11418e-17-0j -2.39101e-18-0j 1.10588e-17-0j 
