-0.285059-0j 0.507729-0j -0.172375-0j 0.168715-0j 0-0j -0.243776-0j 0.243795-0j 0-0j -0.312267-0j 0-0j 0.496072-0j 0-0j 0.16253-0j 0-0j 0-0j 0-0j 0.0995289-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.28151-0j 0-0j 0-0j 0-0j 
0.28863-0j 0.102046-0j 0.525887-0j -0.16253-0j 0-0j -0.243795-0j 0.249961-0j 0-0j -0.308379-0j 0-0j -0.0256983-0j 0-0j -0.16253-0j 0-0j 0-0j 0-0j 0.505196-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.28151-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0.205371-0j 0-0j 0-0j 0.00156563-0j 0-0j -0.244304-0j 0-0j -0.426696-0j 0-0j -0.00101801-0j 0.609144-0j -0.282392-0j 0-0j 0.00316429-0j 0.197811-0j 0.182832-0j -0.219423-0j -0.222172-0j 0-0j -0.00176324-0j -0.058339-0j 0.258996-0j 
0-0j 0-0j 0-0j 0-0j -0.118553-0j 0-0j 0-0j 0.282392-0j 0-0j -0.0430311-0j 0-0j -0.080756-0j 0-0j 0.188261-0j -0.231652-0j -0.327605-0j 0-0j 0.115286-0j -0.114206-0j 0.369716-0j -0.129868-0j -0.125107-0j 0-0j 0.326078-0j 0.593687-0j -0.149531-0j 
0-0j 0-0j 0-0j 0-0j 0.332244-0j 0-0j 0-0j -0.197811-0j 0-0j 0.135638-0j 0-0j 0.234932-0j 0-0j 0.674426-0j -0.080756-0j -0.114206-0j 0-0j -0.080756-0j 0.332244-0j -0.0361152-0j -0.176928-0j -0.176928-0j 0-0j -0.228413-0j -0.00788098-0j -0.211469-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
