1.04769-6.45275e-14j -0.374295-3.08916e-14j -0.503032-4.29325e-15j 0.000302542+3.37138e-15j 0.101259+3.34608e-16j 0.147911+1.10787e-15j -0.0969584+2.14548e-17j -0.0738962-1.20684e-15j 0.108497+9.11928e-16j -0.0575744+3.94908e-17j 0.00401247+4.84474e-16j -0.0459957-7.16736e-16j 0.000486198-1.63432e-16j -0.00893453+3.97327e-16j 0.0620654+7.7533e-16j 0.0329806+3.04655e-16j 0.0316117+1.89796e-16j -0.00298755-8.51803e-17j 0.0413277+1.75865e-16j 0.00249171+9.90299e-17j 0.031875+8.73974e-18j -0.0282854-9.28999e-16j -0.014804-3.4237e-17j -0.00382871-4.07533e-17j 0.022966+1.54009e-16j -0.0175679-8.00763e-16j 0.0151538+2.834e-16j -0.032014-9.15849e-17j 0.0192598+3.77066e-16j -0.00943288+8.2557e-17j -0.0219441-1.17127e-15j -0.00267273+2.50765e-16j 0.00268654-3.01064e-16j -0.00404669-3.5636e-17j -0.0100763-6.94205e-15j -0.0195999-1.43569e-16j -0.0102577-3.01779e-16j 0.0340844+8.57223e-16j -0.00965283-6.09366e-16j -0.00506182+2.21897e-15j 0.0212167+3.80357e-15j 0.00962529-1.63399e-16j 0.0122261+4.97595e-16j -0.0210786-2.3227e-16j 0.002918+3.99059e-16j 0.0311421+3.79315e-16j -0.0202355-3.83543e-16j 0.000211387-8.94981e-17j 0.0385032-3.86676e-15j 0.00994971-1.49968e-16j 0.00619349-1.97726e-16j 0.0382684+1.21234e-16j 0.0312499+1.07395e-16j 0.000776081-5.58582e-17j 0.0514523+2.43325e-15j 0.0128854+9.11236e-15j -0.00520481-2.98131e-17j 0.0749369+5.19467e-16j 0.00173196+2.4452e-16j -0.0179031-7.4685e-17j -0.0625246+3.60032e-17j -0.000605282-1.66614e-16j -0.0273072-2.2089e-16j -0.00612497-1.78998e-16j -0.0902749-6.62641e-16j 0.0103829-6.28097e-16j -0.0815593-5.14817e-16j 0.0328175+3.2301e-16j -0.0437431+1.97398e-16j -0.125136-1.51701e-15j 0.152488+2.65442e-15j 0.100726-2.20746e-15j 
0.373944-6.4401e-14j 1.03944-3.0237e-14j 0.0102319-3.46617e-15j 0.491101+2.8663e-15j -0.0454903+3.4231e-16j 0.0852713+8.54232e-16j 0.152824+2.94559e-18j -0.0976044-9.5994e-16j 0.0178686+6.39355e-16j 0.0820044-2.25785e-17j 0.0832697+2.37258e-16j -0.00598386-4.18079e-16j -0.0176876-9.12974e-17j 0.0476867+1.20738e-16j 0.0591894+4.09538e-16j -0.00208205+4.61242e-16j -0.0162016+2.45959e-16j 0.0148585-2.44755e-16j -0.0281419+8.52747e-17j 0.018902+3.17214e-16j -0.0178471+2.37421e-16j -0.0207815-8.40995e-16j -0.00669475-1.5862e-17j -0.00579344+6.90663e-17j -0.00135802+1.77698e-16j -0.0277262-5.92284e-16j -0.00373615+5.82642e-16j 0.0242245-6.55292e-16j 0.0196775-5.94098e-17j 0.00128434+2.07532e-16j 0.00456932+1.50059e-16j 0.0219033+3.45282e-16j -0.0295992+7.07653e-18j -0.0168181-1.12005e-16j 0.00821971+5.39652e-15j 0.00884744+7.29932e-17j -0.0162862-3.77107e-16j -0.0186034-3.54736e-17j -0.00725073+1.61672e-16j -0.00129532-1.03085e-15j -0.00664611-1.32355e-15j -0.00330824+4.23647e-16j 0.0349856+4.40188e-16j -0.00988989-7.71919e-16j 0.0242077-3.14217e-15j 0.0343423+3.0017e-16j -0.0118745-3.39383e-16j -0.0186917-4.8707e-16j -0.0184428+1.88306e-15j -0.0149265+1.15921e-16j -0.00539584-9.80998e-18j 0.0174328+2.91867e-16j -0.0157795+1.70575e-16j 0.0361008+4.63438e-15j -0.0272587-1.35063e-15j -0.013826-9.85331e-15j 0.0182602+5.98852e-17j 0.0136675+3.88423e-16j -0.0120716+3.98722e-18j -0.0117209-1.04508e-16j 0.0457645+2.00736e-17j -0.077554-1.70282e-16j 0.0108451-1.40136e-16j -0.0352048-5.47288e-17j 0.0188798-4.51649e-16j -0.132081-3.96874e-16j -0.00899751-5.04073e-16j 0.000638066+1.76361e-16j 0.140356+4.99282e-16j -0.0566971-7.66741e-16j 0.101488-4.1718e-15j -0.153008+1.24703e-14j 
0.0863041-4.96906e-15j -0.0651243-2.24132e-15j 1.00236+3.61827e-16j 0.212411-2.68393e-16j 0.452478-2.24637e-16j -0.13006-6.50655e-17j 0.49014-1.84722e-18j 0.0681997-2.14064e-16j -0.241059-2.91252e-16j -0.147285+1.50854e-16j 0.182901-1.14762e-16j 0.129258+5.96144e-16j -0.0170989+1.39364e-16j 0.0470502-1.06755e-16j -0.0331895+7.02785e-16j 0.10021-8.00387e-16j -0.0783513-4.99381e-17j 0.00194309+5.2705e-16j -0.0861537+5.14466e-16j -0.0359115-2.61398e-16j -0.0507353-1.56348e-16j 0.0178052+3.37448e-16j -0.0517483-6.20677e-18j -0.0237703+3.21648e-16j -0.0327199-1.71723e-16j -0.00828451-1.71682e-16j 0.00620747+1.73142e-16j 7.75026e-05+1.12782e-15j -0.0123992+9.87206e-16j 0.0764342-1.15133e-15j 0.0751763+3.01243e-15j 0.0157543-1.68189e-16j -0.00360471+4.50087e-16j -0.00171086-2.49906e-16j -0.00745969-5.96437e-15j 0.0591905+1.05464e-15j -0.0601093-1.03703e-15j -0.0257451+5.89822e-16j -0.058848+3.53367e-16j 0.0173428-2.25399e-15j -0.033546-3.99658e-15j -0.0399784+1.63044e-16j -0.02616-3.95825e-16j 0.054248-5.68937e-17j -0.00624805-6.51895e-16j 0.0137789+2.90764e-16j 0.0088692+1.56154e-16j 0.000387724-1.44452e-16j -0.0646524+6.47262e-15j 0.0135761+1.8545e-16j 0.000301975+2.56621e-17j 0.0170442+1.07171e-16j -0.0401564+4.00395e-17j 0.037694+5.30064e-15j -0.104945-4.82481e-15j -0.052206-3.70663e-14j -0.0337688+6.36989e-17j -0.11027+4.78223e-16j 0.00269773-4.95448e-16j 0.0650968-1.69037e-16j 0.0040926+4.33025e-16j -0.110823+4.15576e-16j 0.0185951+6.11285e-17j -0.0534339-1.18027e-17j 0.129611+1.12405e-16j -0.108294+5.39331e-17j -0.0490004-3.84878e-17j -0.0314608-1.22809e-16j 0.129523+2.9233e-16j 0.0332566-2.2629e-17j 0.140509-5.35766e-15j -0.134722+1.26995e-14j 
-0.0764407+1.18507e-14j -0.134503+5.62123e-15j -0.180954-1.97235e-16j 0.816419+2.27216e-16j 0.0584853+2.30223e-16j 0.0341796-4.90291e-16j 0.0625501+1.73953e-16j -0.588481+5.58615e-16j -0.130206+1.1048e-16j 0.0242275-9.22426e-17j 0.0213771+2.49747e-16j 0.00526447-3.69634e-17j -0.0280461+5.38614e-17j 0.0314167+8.03352e-18j 0.173232-7.32952e-16j 0.0162598+9.19197e-16j -0.0722263+4.0771e-16j 0.0593008-1.36236e-15j 0.0240312-2.53194e-16j -0.0683631-1.13681e-15j -0.0284009+1.7827e-16j -0.0619542-1.73875e-15j -0.0593875+3.16982e-16j -0.0442723+4.77814e-16j -0.0268334+6.35182e-17j -0.0390919-6.8538e-16j 0.0192879+6.85168e-16j -0.000791-2.83254e-16j 0.0236594-3.38918e-16j -0.00974035+7.21255e-17j -0.0264419-7.82444e-16j 0.0114285+3.21356e-16j -0.0200258+1.17012e-16j -0.00901209+2.44311e-16j 0.00620261+3.90822e-15j 0.0113529+4.47276e-16j -0.036687-6.64929e-16j 0.0724313+1.80247e-15j -0.0427205-9.00575e-16j -0.0131969+8.48841e-17j 0.00437505-2.15339e-17j -0.0391354+1.00459e-16j -0.00704246+1.07013e-17j 0.00435765-1.14994e-16j 0.00217529-4.54612e-16j 0.060243+2.22796e-16j -0.00390808+6.64379e-16j 0.0284806+3.32601e-16j -0.0179992+1.63701e-15j 0.00918727+2.21595e-16j -0.0320255+6.79573e-18j 0.0334309+2.80851e-17j -0.0363264+5.00234e-17j 0.0342405+4.04283e-15j -0.0100865-7.13725e-16j -0.0636491-4.51231e-14j -0.0635329+2.78956e-17j -0.0148235+4.88672e-17j -0.0038477-1.35098e-16j 0.0345929-2.37597e-16j -0.0496427+5.18601e-16j -0.0554926+3.86141e-16j 0.0634742-1.20017e-16j -0.11906+3.28865e-16j 0.0428625+7.28682e-17j -0.0783252-1.98057e-17j -0.0987074+2.82776e-16j -0.13204+1.94515e-16j 0.128531+5.48227e-17j -0.140807+1.9376e-16j 0.171634+1.51682e-15j 0.137249-4.42853e-15j 
-0.424705+2.89205e-14j 0.198644+1.28379e-14j 0.215057-3.63109e-16j 0.0699688+2.18418e-16j 0.392409-4.05172e-16j 0.0431886-2.81209e-16j -0.136103+4.43538e-17j -0.0717064-2.2025e-16j 0.227081+8.94857e-17j -0.287646-3.2185e-17j 0.126281+5.8403e-17j -0.117105-6.97034e-16j -0.199837+2.25214e-16j -0.279174+7.26466e-16j 0.160867-3.31383e-16j 0.0418236+3.59697e-16j 0.0955357+8.38488e-17j 0.0073935+2.57882e-16j -0.00146269-1.73074e-16j 0.0133538+7.3469e-16j 0.114355+3.64509e-16j -0.0152315+7.22172e-16j -0.0658986-1.21256e-16j -0.00594569-5.26859e-16j -0.0431869+1.40278e-16j -0.0264634-1.94022e-15j 0.119909+9.6051e-16j -0.00884081-2.05378e-16j 0.0172526-1.43433e-16j -0.0761299+7.01663e-16j 0.031423+1.56856e-15j -0.0181927-9.94684e-16j 0.0579004-3.73539e-16j 0.0786525+4.63709e-16j -0.0246487-1.65137e-14j -0.0365988+1.41239e-16j 0.00631884-3.22655e-16j 0.0138411-7.97474e-17j 0.00540179-1.34583e-16j -0.051167+6.8868e-16j 0.042001+1.16764e-15j 0.0539551+7.36155e-17j 0.0323155+4.96887e-16j 0.0249107+2.22921e-16j -0.0177012+1.94945e-15j -0.0148517+7.7468e-18j -0.0108375-2.84833e-17j -0.0124325-2.16385e-16j 0.0242253-2.87165e-15j 0.0739278+1.01232e-17j -0.0718684+4.29512e-16j 0.00780033+2.81547e-16j -0.0343473+7.28383e-17j 0.00597794+1.04161e-15j -0.0265105-1.16393e-15j -0.0474624-3.36081e-14j -0.105415-1.71062e-16j -0.0405863+1.44942e-16j 0.0295543-3.06288e-16j -0.0571759-3.54573e-16j -0.0228273+1.33743e-16j -0.0576822+1.59439e-16j 0.0190713+3.14282e-17j -0.0488943-7.28061e-17j 0.076446+7.23076e-17j -0.0345639-1.6907e-16j -0.00736926-1.58733e-16j -0.0934569-1.67716e-17j 0.0764442+2.75896e-16j 0.0196847+1.75323e-17j -0.0713562+9.87944e-16j 0.00139294-2.10724e-15j 
0.18568-3.1415e-14j 0.405018-1.43772e-14j -0.0920303-4.21986e-16j 0.187855+6.37875e-16j 0.032369+5.04738e-16j -0.214625+7.90347e-16j -0.0518462+1.9994e-16j 0.0658621-3.92732e-18j -0.179107+3.05572e-16j -0.271474+3.64313e-16j -0.297615+8.1779e-16j 0.0832833+6.77033e-16j -0.221002+1.64918e-16j 0.0754032-2.61076e-16j -0.183799+1.60096e-15j 0.118148-1.8571e-15j 0.110727-6.3247e-17j 0.0287347-4.93696e-16j 0.0936332-4.20133e-16j -0.0454161-1.31309e-15j -0.0517218-1.4013e-16j -0.0426869-1.24501e-15j -0.0479962+2.70642e-16j 0.0471158-1.30213e-15j -0.0560861+8.55112e-17j -0.00484999+9.97945e-17j 0.0011236+9.48416e-17j 0.0342177-1.08627e-15j 0.0749031-7.25998e-16j 0.0152937+7.41824e-16j -0.0318571-3.30179e-16j -0.061261+2.45172e-16j 0.066617-4.50394e-17j 0.0493807+7.73128e-17j -0.00769783-5.00857e-15j 0.0146103+6.06884e-16j -0.0205803-8.53159e-16j 0.0365855+2.09006e-16j 0.0664644+2.09625e-17j -0.0909026-2.17512e-15j 0.036066-3.9872e-15j -0.0543981+3.53328e-16j 0.0337488+2.91846e-17j 0.0340739+1.40336e-18j -0.00573315+6.52953e-17j -0.0452466-4.24295e-16j -0.0721353-2.32141e-15j -0.0581487-1.1509e-15j 0.0268659-2.91616e-15j -0.0139905-2.55064e-16j -0.000883069-1.3026e-17j -0.0388278+1.31138e-16j 0.0957272-1.29239e-16j -0.0510088-5.98469e-15j 0.0230862+1.26188e-15j -0.0159397-1.12411e-14j 0.0215478-1.51211e-16j 0.00101435-2.47353e-16j -0.0988169+2.8503e-16j -0.0442675+1.03698e-16j -0.0609052+2.24852e-16j 0.0064401+2.25356e-16j 0.0180422-2.65283e-18j -0.0325824+2.07394e-17j -0.0174981-6.93932e-17j -0.0395556-8.37586e-17j -0.0215128-9.80938e-17j -0.0310567-8.65601e-17j 0.0778089+1.36557e-17j -0.0616731-1.16282e-16j 0.047198-2.00007e-15j -0.0527688+4.99144e-15j 
0.0341942-4.51406e-15j 0.035717-1.95912e-15j 0.0146126-3.01702e-17j -0.0164803+3.70902e-16j 0.806932-5.8645e-15j -0.0618223+1.5574e-17j -0.0190971+2.17939e-16j -0.0765033+6.26851e-16j -0.0115466+2.17378e-17j 0.0507387-3.16925e-16j -0.0711845+3.04104e-16j 0.386665-3.82057e-16j -0.00351054+2.58821e-16j -0.167738+1.33398e-15j 0.0639982-5.43811e-16j 0.113119-1.09987e-15j -0.255592+2.08208e-15j -0.0146959-1.38087e-16j 0.0850443-3.64066e-16j -0.1093-8.91897e-16j -0.13976+1.09714e-15j -0.0109894-1.04146e-15j -0.0287108+8.18316e-16j -0.0121115+3.57039e-16j 0.00383154-2.75889e-16j 0.0509414+1.1373e-15j -0.0337899-7.90686e-16j 0.0202585-9.90304e-17j -0.0308924+1.54572e-16j 0.0258128-5.77316e-16j -0.0163974-1.19915e-15j 0.0325304-4.49722e-17j 0.00748269+5.02827e-16j 0.00299852+3.97745e-16j 0.0110659+7.5029e-15j 0.0127483+1.54795e-16j -0.105073-6.7034e-16j 0.0580602+1.88642e-15j -0.113111-1.5365e-16j -0.00637546+3.46549e-15j 0.0224039+4.67641e-15j -0.0519531-2.46939e-16j -0.102432+3.22235e-16j -0.0378175+3.66936e-16j 0.00953792-6.904e-16j 0.0297425-5.35445e-16j -0.0591659-7.95296e-16j -0.00945747-2.73691e-16j 0.0724856-8.05855e-15j -0.0355796-1.02447e-16j -0.0597711+4.57636e-16j 0.012254-4.47038e-17j -0.0352954+2.90019e-16j -0.0414867-4.6475e-15j 0.0312167+1.58699e-15j -0.0668453-4.69927e-14j -0.0729817+5.33588e-16j -0.0348036+5.38666e-16j -0.00459904-4.43302e-16j 0.149697-1.46277e-15j -0.102304+1.1231e-15j 0.0196327+3.2423e-16j 0.0422241-3.15637e-16j -0.0234274+3.08825e-16j 0.091767-4.52519e-16j 0.0531551-4.3217e-16j -0.0471646+4.83851e-16j -0.208939+1.48981e-15j 0.0885403-4.05519e-16j -0.0817748+8.16361e-16j -0.0459229+4.6562e-15j 0.132205-1.08292e-14j 
0.156827-9.84691e-15j -0.0597529-4.89512e-15j -0.136056-6.74378e-16j -0.0193733+3.0661e-16j -0.00560766+7.61844e-16j -0.800813-3.03119e-15j 0.180104+2.46709e-16j 0.0984328+5.87876e-16j 0.0239296+5.36197e-16j 0.00169618-2.0149e-17j 0.210059+4.1709e-16j 0.337814+3.45482e-15j -0.170663-1.25146e-15j 0.00368218-5.09181e-16j 0.000781858-1.08644e-15j -0.198977-3.09904e-16j 0.0733631+7.98686e-16j -0.0798138+1.36253e-15j -0.211581+1.33904e-16j -0.117185-1.1413e-15j -0.00928962-6.2175e-17j 0.0662423+2.26809e-15j -0.0978596-5.67004e-16j -0.0591576+6.01904e-16j -0.00896474-6.28973e-16j 0.0607812+1.34178e-15j -0.0383176-1.0257e-15j 0.0796169-1.24313e-16j 0.0167839-1.01842e-15j -0.0117956-1.54165e-16j 0.0287361+1.92482e-15j -0.0236787-2.8704e-16j -0.0524548+6.00337e-16j 0.0196515+9.27963e-18j 0.062692+4.33042e-14j 0.10181+1.09546e-15j 0.035058+6.51136e-16j -0.0258635-3.01281e-16j -0.0144951+6.08683e-16j 0.0624132-1.17506e-14j -0.134866-2.00354e-14j 0.015303+1.6772e-15j 0.0182411+3.36146e-16j 0.0407991-5.06379e-16j 0.0266979-4.98558e-15j 0.00657385+2.05053e-16j 0.0389705+1.04722e-15j 0.0288924+6.36165e-16j -0.104232+1.04283e-14j -0.0182529+2.90228e-16j -0.0369382-1.60515e-16j -0.00276417+5.87912e-16j -0.0919243-3.09238e-16j 0.0005048-9.89148e-17j -0.0195291-6.11199e-16j -0.0895633-6.41407e-14j -0.00571985+1.38555e-17j -0.029171+2.29423e-17j 0.00841213+1.64542e-16j -0.0183135-2.12122e-16j 0.0897132+5.99652e-17j 0.0105054-1.7999e-16j -0.019354-3.80831e-16j -0.0716707+7.19436e-18j 0.0602184+3.96266e-16j -0.028299+2.0954e-16j 0.150458+8.42733e-16j -0.0772194-4.70368e-16j 0.169336+1.22759e-15j -0.0321216+4.95651e-16j 0.0305418-5.04693e-15j -0.16146+9.81421e-15j 
-0.10455+1.51354e-14j -0.172619+7.33367e-15j -0.105471+2.57901e-16j -0.156816-1.09156e-16j -0.0975278-2.51137e-17j 0.130165+8.47818e-16j 0.665036-5.06768e-16j -0.0342883-3.32138e-16j -0.100113-1.13063e-16j -0.161558-7.96562e-18j 0.285634-6.59599e-16j 0.223395+2.12945e-16j -0.0725395+4.33322e-16j 0.166662-2.03828e-16j 0.105502+1.081e-15j 0.271933-7.77099e-16j -0.0333816+3.06715e-16j 0.165482-1.86124e-15j -0.144914+3.91143e-16j -0.0605447-9.25606e-16j -0.102778+5.2022e-16j -0.0211828-8.88606e-16j -0.169852+1.7361e-16j -0.123601+2.01462e-15j -0.0576927-8.59444e-16j 0.0378616-4.31295e-17j 0.0303394+1.59845e-16j -0.0326966+7.93056e-16j 0.12786+8.88437e-16j 0.127352-1.00841e-15j 0.0400441+2.30127e-15j 0.00631613+8.43368e-16j 0.0116277+4.57212e-16j -0.018868-5.93036e-17j 0.0133768+8.40387e-15j 0.0579912+7.68e-16j -0.0508602-9.07154e-16j 0.0803317+2.5957e-15j -0.0252343-5.1196e-16j -0.0135982-5.40794e-15j -0.0423088-8.25137e-15j -0.111374+4.54563e-16j 0.0058572-3.50594e-16j 0.0447859+8.66599e-16j -0.0431463+5.18073e-15j 0.0653446+1.04575e-15j 0.0963005+2.55621e-15j 0.0244057+4.66187e-16j -0.12851+1.32804e-14j -0.0155693+4.70315e-16j -0.00660223+3.60659e-17j -0.0227003+5.81854e-16j -0.0679045+4.39054e-16j 0.160231+1.93627e-14j -0.0913356-5.13116e-15j -0.0956242-6.78288e-14j -0.0243357-8.93974e-17j -0.0318891+1.12021e-16j -0.0433526-3.23982e-17j -0.0238121+5.49234e-17j 0.0749901-1.35914e-16j -0.103336-3.8549e-17j 0.142+1.25395e-16j -0.18098+3.07473e-16j -0.0283149-3.24834e-16j -0.235889+1.16956e-16j -0.0160029-2.78168e-16j 0.0100047+7.70969e-17j 0.136127-4.60625e-16j -0.245617-1.10467e-16j 0.250331+4.87565e-16j 0.131624-1.06663e-15j 
-0.0472734+3.65915e-15j -0.0317957+1.05427e-15j 0.12818+4.49232e-15j -0.325175-1.1556e-14j 0.0107233-3.17939e-17j 0.0166833+3.64411e-16j 0.0195252+6.6406e-16j -0.345374-1.15522e-14j 0.0836776+2.65502e-15j 0.0825009+2.75152e-15j -0.127534-3.81769e-15j -0.163496-6.12568e-15j -0.0755215-2.34868e-15j -0.0234444-9.3612e-17j 0.34687+9.75334e-15j -0.0644905+4.38885e-16j -0.190785-5.97526e-15j 0.235927+3.34787e-15j 0.0993386+1.98171e-15j -0.123451-6.21405e-15j -0.032315-7.77198e-16j -0.0534581-3.35096e-15j -0.0675277-1.69009e-15j -0.0120401-6.51593e-16j -0.00122498+1.93381e-16j -0.0350713-1.91452e-15j 0.0037793+7.88467e-16j 0.000675697-1.48188e-15j 0.0520779+7.42681e-17j -0.120103-2.66379e-15j -0.0678789-4.52002e-15j 0.00672657-8.26649e-19j 0.030567+6.52156e-17j -0.0123516+6.21914e-16j -0.0203815-1.53803e-14j 0.00892507+1.48485e-15j -0.0711275-3.9726e-15j 0.0614539+3.92005e-15j -0.0917594-4.14476e-15j -0.0209345-1.11606e-15j 0.00747009-5.96575e-16j 0.024301+8.95239e-16j -0.03148-7.47858e-16j -0.0678728-1.76169e-15j -0.0180971+3.67892e-15j 0.0306741+1.08163e-15j -0.0215984-8.6266e-16j -0.0435239-1.63564e-15j 0.0969556-7.02026e-15j -0.0158441-9.04194e-16j -0.106107-3.05011e-15j -0.0156407+3.19251e-17j -0.0566396-1.87285e-15j 0.0147667+2.40215e-15j 0.00898992+5.97419e-16j -0.106432-7.89673e-14j -0.12946-4.44291e-15j 0.0104839+4.2572e-16j -0.0202663-6.87512e-16j 0.0560082+1.59698e-15j -0.0824831-2.17421e-15j -0.0213079-3.71898e-16j 0.0465731+1.5522e-15j -0.0231773-9.0662e-16j 0.0271648+8.16145e-16j -0.0501349-1.88069e-15j 0.0221801+6.35935e-16j -0.138454-4.45186e-15j 0.026403+5.92483e-16j -0.263926-8.92688e-15j -0.0631198+2.48552e-15j 0.137094-5.98498e-15j 
-0.0692524+1.32731e-14j -0.17896+5.31245e-15j 0.541017+5.18484e-16j 0.00947572-8.20329e-16j 0.213519+5.48282e-16j -0.0943477-2.38852e-16j 0.220664-2.79869e-18j -0.0747289+9.21843e-17j 0.195614+4.22968e-16j 0.198942+2.47569e-16j -0.109313-6.45578e-17j -0.0466161-2.917e-16j 0.00733876-4.04664e-16j -0.0622555-2.77174e-16j 0.148705-5.67364e-16j -0.10266+1.1337e-15j 0.390654+2.36942e-16j 0.00989406-1.17757e-16j 0.105331-4.43219e-16j 0.0108677+7.12772e-16j 0.393408+5.18965e-16j -0.0494181+8.51463e-16j -0.0839888+2.0031e-16j 0.0635777-1.83029e-15j -0.0316821+3.95137e-16j 0.0639979+3.82093e-16j -0.00961886-1.56729e-16j -0.00221667-1.63833e-15j 0.137562-1.12328e-15j -0.0538616+1.06013e-15j -0.0739408-1.6915e-15j -0.0843271-2.73858e-16j 0.138457-5.28966e-16j 0.110012+6.41106e-16j -0.013298-7.91195e-15j -0.0670795+5.19164e-17j 0.000252523-8.54784e-16j 0.0376152-1.62903e-15j 0.18488+7.53116e-16j -0.111852-3.27346e-15j 0.048673-4.55916e-15j -0.0172819+1.17846e-15j 0.137661+9.23381e-16j 0.0358015-1.09101e-15j 0.0273873-4.71717e-15j -0.0811193-6.09783e-16j -0.050139-2.00346e-15j -0.0786221-1.34203e-15j 0.00777543-1.36441e-15j 0.039997+5.39096e-16j -0.0151452-2.02723e-16j 0.00616957-3.57645e-17j 0.0908539-1.61676e-16j -0.087686-1.02378e-14j 0.0056855+5.01159e-16j -0.0446644-3.16452e-14j 0.0146995-2.69769e-16j -0.0192027-3.7515e-16j -0.123461-4.62462e-17j -0.00773532-4.30716e-16j -0.100114+9.71155e-17j 0.0207692+7.97641e-17j -0.0304049+9.11383e-17j 0.0013912-2.84741e-16j 0.0239718-1.23891e-16j 0.0395701-9.2259e-17j -0.00556781-8.89082e-17j -0.0186722-1.81862e-17j -0.0076778-7.68228e-17j 0.0143392+3.91834e-17j 0.0360283-2.37345e-15j -0.0663028+4.89988e-15j 
