5.89989e-15+0.400063j -1.32714e-15+0.042249j 2.40466e-16+0.0465615j 5.43913e-16+0.0124928j 4.2336e-16-0.0342201j -6.59788e-16-0.0578906j -3.06703e-16+0.0198636j -3.77838e-16-0.0249253j 1.01951e-15+0.106065j -1.38007e-15+0.0791469j 1.07924e-15+0.117657j -3.07984e-16-0.0735629j -6.62816e-16+0.0437111j 6.45605e-16+0.0507127j 4.50399e-16+0.0382904j -4.9603e-16-0.0177589j 1.47886e-16-0.016615j 1.96733e-17-0.00972885j -2.63656e-16-0.0230508j 4.04143e-17+0.0187228j -1.67865e-16-0.021295j 2.57728e-16-0.000165264j -3.62058e-16+0.0040658j -2.74118e-16-0.01386j 4.21962e-17+0.00189782j -2.0558e-16+0.0066288j -8.93395e-16-0.0222263j -3.44179e-17-0.00208532j -4.98209e-16-0.000795117j 7.83763e-16+0.0182146j 3.10165e-15+0.00783407j 2.24167e-16+0.00420426j 2.02904e-16+0.00102933j -1.23634e-16+0.00923721j 1.72843e-16+0.00149054j 4.75827e-17+0.0118448j -1.35593e-18+0.0096676j 1.07228e-16+0.0032764j 7.5537e-17-0.00286228j 1.54567e-15+0.00523412j 1.16821e-15-0.000171772j -3.12654e-14+0.0207182j -7.02357e-16-0.019131j 1.33555e-16+0.00105132j 4.66485e-17+0.00221655j 1.6952e-16+0.00864687j 3.82e-16+0.0118044j 1.82743e-16+0.000421363j -1.04618e-16-0.00231581j 6.94877e-17-0.0157036j 9.96773e-17+0.011771j -1.30392e-16-0.0110372j 1.7187e-15+0.0157806j -2.05703e-16-0.0189913j -6.92174e-17-0.00203527j -2.92188e-17-0.00333482j -3.19908e-16-0.0117388j -9.51086e-17-0.012544j 3.60274e-16+0.0199332j 1.75012e-16+0.0179303j 4.17619e-16+0.0148472j -7.41687e-17-0.0212831j 5.15381e-17+0.00535658j 4.82978e-18+0.00749119j -8.55693e-17+0.0041569j -2.28547e-16-0.0220408j 9.36373e-17-0.00243676j 1.30427e-17+0.00762543j 2.41585e-16+0.0128778j 3.18195e-18+0.0191039j -1.17928e-16-0.0306912j -3.147e-16-0.0116764j 
-2.35386e-15-0.0423519j 3.7719e-15+0.399802j -3.19624e-16+0.0107817j -5.78885e-16-0.0524805j 4.07116e-16-0.0273032j 6.7379e-16+0.0283651j 4.24861e-16+0.0573946j 3.73338e-16+0.0273768j -1.39604e-15-0.0421517j -2.92795e-16+0.147108j -1.48002e-15-0.09273j 3.93959e-16-0.0332406j -4.46233e-16+0.0790768j -3.40111e-16-0.0207836j -5.26013e-16-0.0106224j 4.61816e-16+0.0373428j -1.03188e-16-0.0336815j -7.36595e-17-0.00419126j 4.8778e-16+0.0213266j 9.4862e-17+0.00838491j 2.73199e-16+0.00103274j -2.42709e-16-0.0121313j -1.46031e-16+0.012648j 1.57621e-16+0.0103589j 8.4729e-18+0.00841576j -1.9647e-16+0.0111848j -6.42499e-16-0.0217409j 5.49049e-16-0.00261212j -1.41096e-15-0.016803j 6.01934e-16+0.00434691j -3.71598e-16-0.000502804j -7.38075e-18-0.0153231j -1.72427e-16-0.0204777j 1.82565e-17+0.0142351j 6.94169e-16+0.00943617j 1.78658e-17+0.00194264j -7.10651e-17+0.000697196j -1.45171e-16-0.00716236j -1.57664e-16-0.0100564j -3.19053e-15-0.0235292j -2.10952e-15+0.0150113j -6.74662e-16+0.000474706j -1.47661e-16-0.00664619j 1.50553e-16+0.00941789j -6.95255e-17-0.00948203j -2.02864e-16-0.0102437j -4.50787e-16-0.0153433j -9.76676e-17-0.0130972j 2.20783e-16+0.0138388j -2.6799e-17-0.0112908j -5.55877e-17+0.00418664j 6.83602e-17+0.00742964j -2.49528e-15-0.0227583j 2.37166e-16+0.00600766j 8.60513e-17+0.00794916j -2.10475e-17+0.00106537j -9.96373e-17-0.00985528j 1.60192e-17-0.00504686j -3.91728e-17-0.00968643j 2.86078e-16+0.027441j -5.51401e-16-0.025134j 4.33284e-17-0.00151523j -8.00621e-17+0.0043633j -2.55274e-17+0.00335497j 5.53058e-17+0.0151168j 2.76438e-16+0.00568782j -1.04555e-16-0.0160533j 2.18869e-17+0.00608736j -2.80047e-16-0.0185171j -4.0878e-17+0.0111196j 9.39927e-17-0.0120157j 3.85907e-16+0.0306836j 
-4.97704e-16-0.06546j -3.35695e-16-0.0328162j -2.80094e-16+0.393888j -3.82554e-17-0.0285094j -3.25962e-16+0.0232459j -1.92352e-17+0.00348585j 2.43659e-17+0.0442967j 6.65257e-17-0.031812j 2.57871e-17+0.0471324j 6.73059e-16-0.0852645j 5.15733e-16-0.0903077j -2.31084e-17-0.00256204j 7.77817e-18-0.0106065j -6.26158e-17+0.0372015j 2.19673e-16+0.0774196j -5.73039e-17+0.0167227j 4.82354e-17-0.134944j 6.68015e-17+0.0101006j 1.99004e-16+0.00735313j -2.3353e-16-0.0293791j 5.70577e-17-0.105677j 3.1937e-16-0.0107319j -1.45832e-15+0.0400088j 1.41854e-16+0.0218109j 1.12501e-17+0.0210504j -1.15473e-16+0.00148575j -3.31758e-16-0.00804146j 8.9868e-16-0.00710776j -1.85946e-15-0.0314661j 9.22313e-16+0.00237299j -2.05003e-15-0.00545022j 1.50522e-17-0.0181184j 2.67847e-17-0.0144897j -6.00573e-17+0.0118112j 4.95939e-16+0.00746003j 4.57164e-17+0.0012426j 7.10436e-17+0.00497147j 1.98592e-16-0.0179682j -4.12398e-16-0.0267229j -5.44071e-15-0.0325571j -4.29008e-15+0.0144861j 3.24532e-15-0.00201243j -7.26271e-16-0.0217733j 1.94105e-16+0.00337065j 7.56765e-17-0.00507952j -1.70115e-16-0.00901735j -2.04572e-17-0.00548975j 1.275e-16+0.0143477j 1.08511e-16-0.00595292j -4.14662e-17-0.0120851j -6.13859e-18-0.00100322j -1.27734e-16-0.00432454j -1.226e-15-0.0123793j 3.57049e-17+0.020307j 2.34222e-18-0.00250521j -6.04815e-17-0.00705872j -2.47851e-16-0.0125234j -1.87754e-17+0.0034318j 1.58588e-16-0.0231474j 7.93424e-17+0.027181j -1.35234e-16-0.0202471j -2.63465e-17+0.0104847j -9.0085e-18-0.0120975j 1.07718e-17+0.0246223j -1.43957e-17+0.0176105j 2.39641e-17+0.00285647j 4.15665e-18-0.0127868j -5.29426e-17-0.0128304j -2.70561e-17-0.000872912j -2.38508e-17+0.0207482j -3.45737e-17-0.00206925j 3.80332e-17+0.0402555j 
-1.01668e-16+0.0345146j 1.29995e-17-0.0736221j 8.57189e-17-0.0316798j 1.57821e-16-0.385488j -1.87168e-16+0.0140065j -6.46078e-18-0.0116953j -5.87643e-18-0.00797773j -1.45094e-17+0.0803234j -1.06309e-16+0.0731812j -3.0093e-17-0.0202731j -8.58849e-17+0.0340806j 9.03715e-18+0.0283245j 6.27059e-16-0.0330171j -1.53527e-16+0.0585127j -1.45938e-16-0.147711j 2.02376e-16+0.0312734j -8.4044e-17-0.0501088j -2.38918e-16-0.0572581j 1.63435e-16+0.0466954j -2.77052e-17-0.0204009j 1.50558e-16-0.015869j 3.3646e-16-0.0151819j 5.17589e-16-0.0166542j 1.74309e-16-0.00335282j -2.15024e-16+0.021783j 3.19166e-16-0.0327763j 6.21387e-16+0.0335168j 1.03016e-15+0.00441077j -3.97571e-16-0.0112887j -5.5398e-16-0.0134909j -1.04143e-14-0.0290175j -3.91553e-16-0.0117113j 8.09169e-17-0.0237872j -7.7559e-17+0.0212045j 5.18244e-17-0.0057523j -1.64521e-16+0.0251355j 4.74123e-17-0.0029708j -3.43563e-17-0.0203729j -8.90957e-16-0.052654j -4.51694e-16-0.00830648j -4.46393e-16+0.00724992j 3.40423e-14-0.0224104j -9.21865e-16-0.0270961j 1.43934e-16+0.00221489j 1.46124e-16+0.0126512j -2.60882e-16-0.0204411j 1.55747e-16+0.00872329j 1.05699e-17-0.00689905j 3.74172e-17+0.00693404j -2.92797e-17+0.0129135j 1.26686e-17-0.00705403j -5.28271e-17+0.00842932j -2.47656e-15-0.0258602j -7.5825e-17+0.0188082j -2.1827e-17+0.0184617j 4.2584e-17+0.00371093j 4.86312e-16+0.029069j 5.66922e-17-0.00802059j -2.06811e-16-0.0243597j -2.769e-16-0.018697j 1.62825e-16+0.00312398j -2.01953e-18+0.0351143j -9.57776e-18-0.00978853j 1.09153e-17-0.0157554j -2.99634e-17+0.01596j -1.21234e-17+0.0239601j 5.58078e-18+0.0205053j 1.01476e-17+0.00304906j 1.5878e-17-0.0203526j 8.19099e-18-0.00372713j 1.70622e-17+0.0426769j -1.45069e-17+0.00310195j 
-5.67318e-16-0.054208j -3.469e-16-0.0681841j 8.26598e-18-0.000325462j -1.60855e-17-0.0196403j 5.10968e-15-0.390036j 1.46815e-16+0.0236865j -1.05184e-16-0.00115187j -2.38556e-17-0.0118817j -5.24353e-17-0.00907516j 2.59072e-16-0.0483427j 9.82903e-17+0.0042658j -2.54502e-16+0.0931755j 4.01973e-16-0.00588465j -1.78008e-16+0.0876237j -2.93248e-16+0.0173349j 9.9259e-17+0.0989929j -1.39806e-16+0.0492428j 1.53391e-16+0.0612014j -3.1685e-16+0.0301891j -8.17173e-17-0.0582123j -3.20982e-16+0.0730557j -1.14929e-15+0.0202953j -1.32274e-15+0.0427761j -5.83033e-17+0.0440419j 1.48521e-16-0.0170528j -1.80913e-16+0.106881j 2.60166e-16-0.0366553j -1.52624e-15-0.0200578j -7.55898e-16+0.00698938j 1.7806e-15+0.06488j -1.04672e-15-0.005268j 1.20996e-16-0.0100493j 1.08802e-16+0.00633056j 1.61784e-16-0.0233666j -2.72183e-16+0.00258335j 1.0508e-16-0.017927j 5.17917e-17-0.00207102j 3.68939e-16-0.00721082j 6.96232e-16+0.0461906j 8.84892e-16-0.00139507j 9.40364e-16+0.00617583j -6.67615e-16+0.000527449j 2.61977e-15+0.0713883j -7.58681e-16-0.021798j -9.88196e-17-0.0286023j 2.82069e-16+0.00865368j -8.10103e-16-0.0499194j -8.12011e-17+0.0102928j 3.01554e-19+0.00527837j 4.51045e-17+0.00456555j 2.81768e-17-0.00747092j -1.17687e-16-0.00120888j 1.03682e-15+0.0105829j -1.8685e-18+0.00900729j 2.93621e-18-0.0174441j 6.17925e-17+0.00455864j -2.6215e-16-0.013643j -9.51826e-19+0.0314136j -5.88279e-17-0.0124194j -9.32697e-17-0.00356146j -2.35816e-16-0.032491j -5.49366e-17-0.00545269j -1.32242e-17-0.00982488j 1.13887e-17+0.00756504j -4.62269e-17-0.0133295j -3.8794e-17+0.00990807j -3.45119e-18-0.0349181j -1.06441e-16-0.0256752j -8.25505e-18+0.00985917j 1.52861e-17-0.0113361j -1.97483e-17+0.00193629j 1.06165e-17+0.0306908j 
-7.91833e-16-0.119034j -2.59407e-16+0.0369815j -2.91815e-17-0.0170279j -2.87098e-17-0.00880376j 2.37619e-16-0.0115878j -8.21419e-16-0.370848j 1.56332e-16-0.00988418j 7.21221e-17+0.0246046j -1.05325e-16-0.0726435j 3.78683e-16-0.0155101j 8.44707e-17-0.0718628j -1.64273e-16-0.0115486j 1.31909e-16-0.055839j -1.70691e-16-0.0168612j -1.68221e-17+0.0200891j 1.59058e-16+0.0870942j 1.07558e-16+0.0402261j -1.94589e-16-0.0340706j 6.7502e-16+0.0750753j 7.36505e-16+0.149444j 2.78045e-16-0.0273077j 2.58543e-16-0.0736827j 8.09939e-16-0.0144153j -8.33698e-17-0.0664655j -5.12971e-17-0.00895688j -1.59142e-16+0.0291549j -2.42658e-15-0.0575814j -1.54682e-15-0.0441166j 7.99965e-16-0.00353687j 2.13725e-18+0.0127673j -7.45374e-15-0.0202491j 4.10017e-16-0.0393298j 2.35118e-16-0.0394138j 4.16986e-17+0.0232867j 1.02276e-15+0.0149632j 3.76274e-16-0.00549942j 8.27577e-17+0.00296618j -3.43889e-16+0.0188584j 1.32674e-16+0.00819303j -5.47523e-15-0.00191536j -5.15724e-15-0.0225009j -2.62814e-15+0.00155273j -3.32598e-16-0.00303589j 2.8887e-16+0.0314256j -1.90693e-16+0.000660965j 3.47999e-16+0.00490027j 4.00762e-17+0.00393815j -3.28089e-16-0.0262795j -7.26391e-17+0.00374959j -3.71065e-17-0.0150377j 6.37311e-17-0.000872111j 2.69928e-17+0.0253534j -2.41882e-15-0.0261595j 5.41805e-18-0.0321653j 3.32412e-17+0.00834678j -5.56843e-18+0.00394725j -1.10687e-16-0.00595209j -6.63044e-17-0.0108045j 3.72034e-16-0.0076492j 4.19612e-16+0.0479052j -3.77626e-16-0.0309981j -1.00968e-16-0.0169582j -1.91419e-17-0.00152765j 7.3626e-18-0.00404822j 4.62535e-17+0.0211129j -1.47201e-17-0.0163429j -3.80692e-17-0.0261409j 1.86167e-16+0.0391996j -7.25296e-17-0.0351255j 4.23488e-17+0.0110154j -1.19608e-16-0.0303802j 1.13954e-16+0.0327914j 
-4.04689e-16-0.0083874j -1.07991e-17-0.110043j 1.68907e-16-0.0761344j -1.9105e-17+0.0491775j -3.56497e-16+0.0243908j -1.65241e-16-0.0148487j -3.86261e-16+0.363976j 1.34543e-16+0.0215862j 2.35028e-17-0.001226j 6.96852e-16-0.0765816j -2.39205e-16+0.0406281j 6.21759e-18-0.0180303j 4.85564e-16-0.0360356j -6.88515e-17+0.0181202j 2.94557e-16-0.0216248j 2.30726e-17-0.114674j 2.55249e-17+0.0417265j -1.89395e-17+0.120246j -1.28452e-17+0.0923195j 5.34087e-17+0.0414695j -4.2642e-16-0.0163408j -1.89008e-16+0.0363905j -6.25737e-16+0.00727193j -2.47322e-16+0.0274474j -3.51261e-16+0.00581121j 6.64487e-17-0.00785576j -4.47696e-16-0.00381601j -1.18593e-16-0.0498959j -1.50897e-15-0.0388519j 8.65153e-16+0.0233145j -2.12002e-14-0.0606815j -5.25847e-16-0.0321133j 6.64348e-16-0.0628656j 1.50766e-16+0.0133006j 1.55102e-16-0.00578468j -2.70248e-16+0.0473196j 4.31543e-18+0.0222685j -2.63489e-16-0.0155452j -6.5052e-16-0.0525664j 1.15674e-15-0.0250738j 1.27331e-15+0.0357327j 3.08494e-14-0.0200749j 6.08502e-16+0.0293172j -3.24247e-16+0.0225158j 2.40328e-16-0.0132984j -1.07596e-17-0.0260552j -2.44392e-16-0.020815j -8.21302e-17-0.0247979j -5.13482e-17+0.0198416j -8.58941e-17+0.0269045j 2.84542e-17-0.0282516j -1.32876e-16+0.0345613j -3.98877e-15-0.0441884j -1.2417e-16+0.0242639j -2.12568e-17+0.0162796j 2.3624e-16+0.0256687j 5.77987e-16+0.0315355j 4.06966e-17-0.00142826j -2.90586e-16-0.0324013j -4.44647e-16-0.0357308j -4.07108e-17-0.0195793j -7.79814e-17+0.037824j 9.09931e-17-0.0126309j 1.01841e-16-0.0388924j 1.72703e-17+0.00525222j -7.25554e-17+0.0357126j 8.249e-17-0.0126245j -2.26917e-18-0.00421622j 1.04124e-16-0.0433603j 8.54686e-17-0.0227611j -7.17831e-17+0.0551271j -6.86606e-17+0.0197302j 
1.57275e-16+0.0384531j 9.0657e-17-0.0129343j -4.43315e-17+0.0700839j 5.94123e-18+0.137489j 5.5032e-16-0.0386279j -3.74724e-17+0.0131996j 2.50193e-17-0.0316441j -5.01207e-17+0.340469j 9.4218e-17+0.00100306j 2.5114e-17-0.0233128j -1.00138e-16+0.0180698j 1.23492e-16-0.0305227j -1.03595e-16+0.0124502j 8.57378e-17-0.00865907j 4.59442e-17+0.0470838j 4.92096e-17+0.0257749j 7.0243e-17-0.0503263j 2.14379e-16+0.120207j -2.48947e-16-0.0979826j -9.37173e-17+0.0780417j -5.54289e-16+0.0195551j 3.18243e-16+0.0961373j 6.09902e-16-0.0399672j -3.31671e-16+0.0020451j -7.40661e-17+0.0241708j 3.96161e-16-0.0476162j 9.13268e-16+0.0390693j -1.22978e-15-0.0273405j 3.67455e-15+0.00527006j -2.35862e-15-0.0790453j 3.43722e-15+0.012787j 2.16087e-16+0.0071451j 4.10469e-16+0.00190572j 3.58745e-16-0.0343802j 7.87864e-16+0.0156064j -1.50394e-16+0.00819572j 4.01668e-17+0.0261356j -1.18391e-15+0.0452774j 9.28015e-18-0.0184412j 3.21536e-15+0.00233569j 2.91575e-15+0.0123219j -4.46767e-14+0.0295372j -1.68148e-15-0.0372756j 5.22663e-16+0.0454667j -3.27523e-17+0.00620778j -1.76762e-16-0.00530177j 6.73592e-16+0.0381184j 2.20273e-17+0.00622925j -7.13496e-17-0.0146572j 1.16172e-17+0.0228548j -3.57965e-18-0.0216309j 4.3182e-17+0.0313049j -1.79777e-15-0.0193795j -8.71512e-17-0.00331103j 7.13166e-17+0.00137771j 3.05699e-16+0.0319742j 3.4524e-16+0.0213426j 3.00719e-17-0.0146523j 4.07505e-18+0.0289863j 5.09818e-18-0.0139509j 2.52356e-16+0.0307254j 1.7118e-16+0.0005103j 1.46104e-17+0.0347956j 1.2369e-17-0.0271092j 4.39326e-17-0.0123757j -2.87897e-17+0.00777917j 2.15215e-17+0.00997806j 8.84426e-17+0.0277097j 5.3882e-17-0.0237196j 8.1946e-17-0.0544121j 5.92241e-17+0.00526005j -7.33167e-17-0.0434182j 
-7.43398e-16-0.164613j -4.01493e-16+0.0703135j 1.46059e-16-0.160002j -9.19458e-17+0.0841057j -2.15795e-16+0.0103655j 1.28146e-16+0.0234148j -2.49308e-17-0.0257173j 7.51125e-17+0.00373649j -6.07381e-18+0.220145j -5.07179e-16+0.0250173j 5.8499e-16-0.180754j -5.57402e-16+0.0875905j -2.39688e-16+0.0272052j -2.36613e-16-0.0991737j 1.0266e-16+0.0426093j 1.26371e-16-0.0455559j 1.87195e-16+0.092817j 6.08654e-17-0.00266346j -4.88732e-17+0.0211369j -8.43433e-17-0.00255778j 2.06975e-16+0.0468392j -1.86068e-16-0.00552556j 9.63723e-16-0.0184027j -2.93785e-16+0.0104654j 6.44106e-17-0.168122j -7.73919e-16-0.042918j -1.57714e-16+0.00585592j 2.69922e-15+0.039502j -6.88419e-15-0.035192j 3.83079e-15+0.0989392j -6.94538e-15-0.0230436j -1.0958e-15+0.0334506j -3.79578e-16+0.0112577j -7.88812e-16+0.0273875j -1.04665e-15-0.0232535j -3.42733e-16+0.0531166j -2.98042e-17+0.00835312j 7.90186e-16-0.0537519j -1.20879e-15-0.0591507j 1.19047e-14+0.0282737j 1.04138e-14+0.0204184j 1.36322e-15-0.00081134j -7.14639e-16-0.0323964j 1.55406e-16-0.029812j 8.55747e-17-0.000447588j -1.62193e-16-0.0115879j -5.0148e-16-0.0343171j -3.75427e-17-0.0713127j 1.76967e-16+0.0676363j -8.22148e-17+0.00899959j 1.01791e-17+0.0259899j -2.97099e-17-0.00219795j -3.64969e-15-0.0354405j -6.2584e-17+0.0157144j -1.35503e-16+0.0629519j 9.33855e-17+0.00751809j 2.79132e-16+0.0247317j 4.84485e-17-0.0635537j -2.07258e-16-0.00347552j -1.61307e-16-0.0137989j 2.51027e-17-0.0121975j 8.33701e-17+0.0111466j 1.47612e-16+0.0427315j -7.17424e-17-0.0463738j 9.17211e-17+0.0274144j -6.43814e-17+0.0332271j -1.12105e-16+0.017964j -1.34176e-17+0.0113676j 2.13394e-17-0.0350333j -7.14157e-17+0.0384554j -2.42782e-17+0.00272027j 1.52766e-17-0.00651737j 
2.19971e-15+0.165305j 8.93235e-16+0.352526j -1.18795e-16-0.0610453j 1.46425e-16-0.0825263j 9.8207e-16-0.0739692j -6.80316e-18+0.00731898j -1.62766e-16+0.0466854j 2.13856e-17+0.00980336j 3.35157e-16+0.00367094j 4.39151e-16-0.0596615j 7.54165e-17-0.0160537j 6.47266e-16-0.170416j -2.63249e-15+0.286338j 7.72538e-16-0.0152966j -2.07244e-16-0.0499823j 2.26127e-16+0.047896j 1.98411e-16+0.0233789j -4.92013e-17-0.0268445j 2.78849e-16+0.0238663j 2.25983e-17+0.0405183j 3.23744e-16-0.00522668j 4.51691e-16-0.0306117j 1.38606e-15-0.0531756j -3.41348e-17+0.0326728j 2.49042e-16+0.0847504j 1.0898e-15+0.130954j 3.59992e-15+0.0643994j 5.83095e-15+0.0722041j -9.3897e-15-0.0850756j 4.24736e-15+0.0667904j -1.76378e-14-0.0564183j -2.43633e-15+0.0379957j -2.11747e-16+0.00612277j -6.92836e-16+0.0321114j -2.61094e-15-0.060709j -7.26994e-16+0.0760378j 8.04954e-17+0.00199679j -7.38663e-16+0.00286556j -1.00707e-15-0.067615j 6.81165e-15+0.032504j 5.99e-15-0.00712019j -2.72249e-14+0.0179269j 9.52623e-17+0.00429538j -2.47583e-17-0.00831211j 1.50731e-16+0.0106202j 2.85672e-16-0.00324136j -4.91177e-16-0.0348094j -3.05452e-16-0.0240136j -4.64389e-17+0.0121196j 6.22296e-17+0.0221476j 2.30719e-17+0.0089269j 1.03166e-16+0.00473573j 1.24702e-15+0.0104417j -5.46436e-17-0.0251714j 1.53327e-16+0.000457804j 5.74504e-17+0.0226542j 6.42919e-16+0.0357742j 8.03757e-17-0.00394685j 4.42962e-17+0.0103591j 4.05129e-17+0.00770158j 3.76328e-16+0.0613454j 3.27408e-16-0.020864j 1.39404e-16-0.0201037j -5.32491e-17-0.0246484j 3.00231e-17+0.00324265j 3.12448e-17-0.0465928j 1.92282e-17-0.000439582j 3.28577e-17-0.00938241j -1.41432e-16+0.0465574j -6.0196e-17+0.020814j 7.10004e-17+0.00200949j -3.98875e-17-0.0447136j 
-1.77976e-15-0.398187j -1.02488e-15+0.198773j 9.25077e-17+0.0308415j 3.23118e-17-0.0350998j 3.71258e-16-0.0248285j -5.25725e-17+0.113877j 1.53353e-17+0.034227j -1.19976e-16+0.0217526j -1.10582e-17-0.0751769j 2.46112e-16-0.015885j 1.35646e-16-0.0333157j 5.51874e-16+0.0107089j -4.61421e-17-0.0557651j -2.49139e-18-0.264008j -4.79691e-17-0.0415769j 4.63139e-17+0.122086j -1.82402e-17-0.0764688j -4.74011e-17+0.0732523j 2.50163e-17+0.0537111j 2.15765e-16-0.0471158j -9.06732e-17-0.000205538j -3.45924e-16+0.00148656j -6.60472e-17+0.00935435j -3.42945e-16+0.00708946j -9.05179e-17-0.0301193j 1.48039e-16+0.061254j 9.41121e-16+0.00331381j 5.83567e-16-0.0452916j -2.54822e-15-0.0981438j 8.19792e-16-0.074294j 3.97772e-16-0.000165267j -1.16889e-15+0.0557918j 3.6053e-16+0.0470698j -1.55979e-16-0.0702838j 2.19947e-15+0.0407471j 9.41766e-16+0.0298701j -7.39827e-18-0.0309739j -1.13068e-16-0.0132987j 3.22969e-17-0.00633775j 6.79719e-15-0.00544279j 6.59683e-15+0.0377979j -9.15905e-14+0.0606051j -3.43092e-15-0.0957436j 1.22387e-15+0.023723j -1.89822e-16-0.0029843j 1.12525e-16+0.0294037j 2.16074e-16+0.00513284j 2.09838e-16+0.00890727j -4.18048e-17-0.00150112j -1.20557e-16-0.00748929j 2.79059e-16+0.00860889j -1.5459e-16-0.00986824j -4.58981e-15-0.0462522j 2.01492e-16+0.000500253j 4.28821e-18+0.0129913j 1.58836e-16+0.0248174j 7.6563e-17+0.00716587j -2.18992e-17-0.0511055j 5.85619e-16-0.017153j 5.65505e-16+0.0707462j -1.63577e-16-0.0137514j -7.51282e-18-0.0391953j -1.34837e-16+0.0486638j -3.22089e-17+0.00946512j -3.18795e-17+0.0556715j -3.95337e-17-0.0203294j 8.31681e-17-0.0476369j 1.35867e-16+0.0484248j -5.88611e-19-0.012315j -1.00022e-17+0.0227279j -1.22311e-16-0.065265j 5.62487e-17+0.00989504j 
