0.00259584-0.00625128j 0.00618387+0.00231116j 0.00202267-0.00108112j 0.000675685-0.00160257j -0.00437466-0.000350859j 0.000232427+0.00569145j -0.00115245-0.000780114j 0.000223094-0.00192898j 0.0008495+0.00102461j -0.000424088-0.0011101j -0.0022173+0.000559384j -0.00247301+0.000236094j -0.0040633+0.00210778j -0.0019984+0.00683869j -0.00153026-0.00476188j 0.00069053+0.00630406j -0.00264819-0.000980089j -0.00357165-0.00739128j 0.00650879-0.00486147j 0.0016532+0.00206796j -0.000622068+0.00650832j 0.00159991+0.00387383j 8.06424e-05-0.00285945j -0.000364536+0.00963351j -0.00511051-0.00348751j -0.000515112-0.00143727j 0.000782188+0.00524042j -0.00441373-0.00710047j 0.00362479-0.00119662j 0.00322379-0.00742108j 0.00237552+0.00461304j 0.00314591+0.00229002j -0.000522252-0.00553062j 0.00620542+0.000333628j -0.000142687+0.000938371j 0.00378371+0.00422268j 0.000213249+0.00125472j 0.000352083-0.00370206j -0.00418284+0.000428031j 0.00337312+0.000994649j 0.00317641+0.000463484j 0.000562112-0.00126118j 0.00082706-0.0016274j 0.00583044+0.00172806j -0.00169038-0.000752141j 0.00243842+0.00217008j -0.00401188+0.00251139j -0.000349247-0.00122173j 0.000796389+0.000111687j -0.000617283-0.00695993j 0.00011697-0.00109603j -0.000618697-0.00502366j 0.000390483-0.00173688j -0.00143329-0.00258874j -0.000417928-0.000309657j -0.000541513-0.00456466j 0.00779275+0.00331609j 0.00281787+0.000172237j -0.00213958-0.00130943j 0.00111578+0.00309958j 0.00257541-0.000192312j -0.000316527-0.000925423j -0.000487305+0.000215088j 0.00342083+0.000247875j -0.00326057-0.00360946j -0.000535572+0.00122825j 0.00266317+0.00117729j -0.00210681-0.0025334j -0.0012095+0.00234608j -0.00125191+0.00378692j 0.000767039-0.00159947j -0.00531028+2.61751e-05j -0.00217576+0.00509852j 0.00276738+0.00473112j -0.0036352+0.00209944j 0.0018019-0.00401018j -0.000255072-0.00166334j 9.41779e-07-0.00733884j -0.00298766-0.00183818j 0.00300816+0.0035189j -0.00403862-0.00402035j -0.00220708+0.000320105j -0.00816176+0.00225455j 0.000250534-0.00489121j 0.0029409+0.00379895j -0.00287235-0.00202894j -0.00042044+6.32644e-05j 0.00260351+0.00149326j 0.00484736-0.00255054j 0.00552871+0.0069189j 0.00161297-0.00221831j -0.00464727+0.00241862j -0.000503144-0.00700546j 0.00618212-0.00193175j -0.000191927-0.00527302j -0.0180188+0.00181295j 0.00305282+0.0178976j 
0.00582572+0.00252351j -0.00203714+0.0067643j 0.000915552+0.00198418j 0.00110438-0.000209961j 0.000524527-0.00441289j -0.00542766+0.000229582j 0.000865436-0.00110324j 0.00209563+0.000258475j -0.00120157+0.000329443j 0.00141323-0.000560608j -0.000823196-0.00244771j -0.000510837-0.00300084j -0.00235307-0.00395437j -0.00699498-0.00183859j 0.00510605-0.00121948j -0.00660689+0.000719456j 0.00103905-0.00227543j 0.00726041-0.00447427j 0.00511487+0.00676584j -0.00209187+0.00177794j -0.0067631-0.000636298j -0.00414439+0.0015529j 0.00284858+0.000147774j -0.00991555-0.00074543j 0.00323435-0.00526223j 0.00138871-0.000725515j -0.00548582+0.000794128j 0.00756805-0.00487519j 0.00135028+0.00368397j 0.0076452+0.00344934j -0.00482616+0.00279906j -0.00216134+0.00364035j 0.00562666-0.000589093j -0.000563073+0.00583231j -0.00138433+0.0001725j -0.0041847+0.00403699j -0.00141786+0.000183942j 0.00363864+0.00040229j -0.000264834-0.00380284j -0.000965382+0.00387199j -0.000356427+0.00277266j 0.00114517+0.00055186j 0.00139549+0.000657533j -0.00203081+0.00590115j 0.000644982-0.00181684j -0.00229953+0.00247528j -0.00269986-0.0042834j 0.00114791-5.63072e-06j 6.48456e-05+0.000507206j 0.00683775-0.000367292j 0.00107735+0.000246374j 0.0049856-0.000359898j 0.00175304+0.000907925j 0.00259621-0.00142655j 0.000567728-0.000407092j 0.0044173-0.000919073j -0.0040359+0.00759741j -0.000163547+0.00278532j 0.00132928-0.00197456j -0.00333408+0.00109001j 0.000332688+0.00298532j 0.00114921-0.000281032j -0.000415621-0.000564894j -0.00023725+0.00368209j 0.00399374-0.00348108j -0.00141573-0.000934742j -0.00100431+0.00307933j 0.00263078-0.00235695j -0.00258402-0.00121263j -0.00397796-0.00108212j 0.00166775+0.000176335j -0.000255758-0.00535396j -0.00495691-0.00257048j -0.00537786+0.00325623j -0.00194092-0.00386988j 0.0037039+0.00175557j 0.00215744-9.06411e-05j 0.00742338-0.000219244j 0.0020939-0.00315744j -0.00377755+0.00332917j 0.00478755-0.00372711j -7.47285e-05-0.00276946j -0.00210442-0.00774952j 0.00450144-0.000258458j -0.00397373+0.00263654j 0.00259812-0.00349796j 2.22939e-05-0.000354573j -0.00208034+0.00229657j 0.00229617+0.00454713j -0.00733359+0.00512564j 0.00171234+0.00103495j -0.00255921-0.00565648j 0.00800244-0.000705426j 0.00217525+0.00544949j 0.00500774-0.000892139j -0.00116701-0.0170518j -0.0178157+0.00324622j 
-0.0034366+0.000304129j -0.00217876-0.00181847j -0.00313229-0.00202082j -0.00402713+0.00348741j 0.00161417-0.00464771j -0.002798-0.000669054j 0.00204046+7.60597e-05j 0.000215676-0.00091422j 0.00144309+0.00333207j -0.000761844-0.00217318j -0.000181638+0.00295132j -0.00286441+0.00352996j -0.00293211+0.00186818j 0.000447844+0.00193564j 0.000117274-0.00387017j 0.00051174+0.0051339j 0.00131371+0.000546097j -0.00457284-0.00226594j 0.00554016-0.00656952j 8.48638e-05+1.56874e-05j 0.00321175+0.00526916j -3.2617e-05+0.00210164j -0.00318196-0.00277302j -0.00357095+0.00578754j -0.00425334+0.00171437j -0.00261432+0.00329976j 0.00160248+0.00705222j -0.00384445-0.00610933j -0.0037029-0.00052701j 0.00720874-0.00537964j 0.00535686+0.00434772j 0.00285215-0.00097198j 0.000564224-0.00368003j 0.000201099+0.00334228j 0.00259377+0.00114525j -0.00222145+0.00158701j 0.00144255+0.00112025j 0.00038062-0.00224387j 0.00179122-0.000398492j -0.000476372-0.00221706j -0.00679041-0.00207758j 0.000582539+0.00128996j 0.00124132+0.00026168j 6.8372e-05+0.000210134j -0.000498571-0.00167927j 0.00192334-0.000853088j -0.000876662+0.00316599j 0.00501627+0.000488009j -0.000762207-0.00380989j 0.00250552+0.000913471j 0.00028756-0.000529314j 0.00149569-0.00181735j 0.00182366-0.00234453j -0.000942522-4.30667e-05j -0.00165653-0.00089537j -0.000154582-0.00206797j -0.00622952+0.000806115j -0.00191366-0.00122179j 0.00308759-0.00151081j 0.00225972+0.00446767j 0.00123419-0.000547797j -0.00109813-0.00284122j -0.000812247+0.00190438j 0.000982253-0.00246883j 0.00228272-0.00365041j -0.00268548+0.00142765j -0.000765801-0.00102267j -0.00228717-0.00222732j -0.00176992+0.00304574j -0.00203917+0.00128216j -0.00574959+0.000254972j -0.00100057+0.00325448j -0.00080815+0.000642956j 0.00100465+0.00565669j -0.00238714+0.00140419j -0.00201925+0.00198226j 0.00146008-0.00375179j 0.00156291-0.00197707j 4.0359e-05-5.64475e-05j -0.00227343+0.000341614j 0.000809651-0.00631449j -0.00207109-0.00128308j 0.00328443+0.00155981j -0.000699639+0.0015496j -0.00207127+2.46516e-05j -0.00170382-0.0012743j 0.00523891-0.00165485j -0.0019837+0.00481482j 0.00137544-0.000179162j -0.00716445+0.00113116j -0.00443682+0.0041194j -0.0107734+0.00440926j -0.00451074-0.0124835j 0.000776302-0.0047097j -0.00445878+0.00149664j 0.00670284-0.000199547j -0.00303789-0.00340218j 
0.00295136+0.00109167j -0.000511857+0.00217703j -0.000862927+0.00326018j 0.0042678+0.00484956j -0.00449921-0.000949291j -0.000412657+0.00453779j -0.000201309-0.00137307j -0.00177547+0.0011048j 0.00209976-0.00115101j -0.00128019+0.000356977j 0.00275862+0.00256187j 0.00241336+0.00284599j 0.000813161+0.00442071j -0.000385275-0.000812435j -0.0011556-0.00202553j 0.00246683+0.000329637j 0.00214323+4.79248e-05j -0.000745123+0.00186967j -0.00829572-0.00906056j 0.00187242-0.000789527j 0.00617383-0.00589097j -0.000704201-0.00217254j -0.00331341+0.00361422j 0.00258086+0.00603092j 0.00556746+0.00470952j 0.00574338+0.00401916j 0.00805379-0.00101544j -0.00314106+0.0059229j 0.00433351+0.00573437j -0.00549785-0.00894508j 0.00122116-0.00845584j -0.00235836-0.00129352j -0.00142759+0.000405197j -0.000220351-0.00183894j -0.00104823-0.00147258j 0.00167554+0.00320375j 0.00103037-0.000974386j -0.00530174-0.000314748j 0.00140292-0.000602281j -0.00200604+0.00323608j -0.00131067+0.00666168j 0.000602171-0.0024696j -2.9572e-05-0.00421239j -0.000475923+0.00011849j -0.00189318+0.000745666j -0.00335523-0.0032105j 0.00263061+0.000642022j -0.000225397-0.0059686j -0.00103792-0.00179136j -0.00059339-0.00537347j 0.000417645-0.000756585j -0.00166185-0.00130568j -0.000956577+0.00153445j -0.00151374+0.00305989j -0.00177563+0.000993068j -0.00130964-0.00104616j -0.00364604+0.00992168j -0.00327913+0.00286963j -0.00216686-0.00317131j 0.00320178-0.00162685j -0.000170286+0.000710075j -0.00134005+0.0004876j -0.000352532+0.000295325j -0.0019684-0.00242527j -0.00297172-0.00135385j 0.0044699+0.00239101j -0.00167073+0.00330865j 0.000279971+0.00245155j 0.00194832+0.00346709j 0.000582478+0.00308949j 0.00216823+0.0059925j 0.00283217+0.00213749j -0.00100831-0.00186828j 0.00205093+0.000581385j 0.000137881+0.00325236j 0.00271475+0.00282527j -0.00387465-0.00239398j -0.00132853-0.00195251j 0.000495331-0.000869817j 0.00218805+0.00254909j -0.0039575+0.000689743j 0.000574863-0.000937201j 0.000287769-0.00490537j -0.000888033+0.000972404j -0.00408524+0.0014972j 0.00220732-0.00030306j -0.00291581-0.00932569j 0.00477075+0.00258202j 0.00329477-0.00187025j -4.46952e-05+0.00778088j -0.000645123+0.00707618j 0.00564442+0.00709138j -0.00694698+0.00783023j -0.00636368-0.00446276j -0.00381327+0.00671899j -0.00101573-0.00727552j -0.00265842+0.00248783j 
-0.00377437-0.00134782j 0.00185863-0.0046991j 0.000307348+0.00231083j 0.00301283-0.00051384j 0.000936385+0.00184552j 0.00253565-0.00138064j 0.00154697-0.00309299j 0.00120616+0.00123317j -0.00158055+0.00142753j -0.000945795-0.00176721j 0.0054872-0.00203367j 0.00281104+0.00220964j 0.0035337+0.00220691j -0.00340361+0.00390702j -0.0044962-0.00476459j 0.000561928+0.00447461j 0.00442418-0.00208684j -0.00188983-0.00118912j -0.00855423+0.0012373j -0.00194671-0.00487475j -0.0031344-0.00135831j -0.002914+0.00657355j -0.00139953+0.00120636j 0.0042632+0.00593407j 0.00106182-0.00570077j 0.00402257-0.0062478j 0.00108039+0.000481248j 0.00626333-0.00410104j 0.00483429-0.00879868j -0.00235117+0.00364758j -0.00716427+0.00295338j 0.00320222+0.000286033j 0.00454288-0.0045104j -0.00516983+0.00967778j 0.000761395+0.00218518j 0.000295925-0.000964656j 0.00233855+9.44013e-05j -0.000685587+0.00560643j 0.00285351-0.00440513j 0.00632498+0.000666568j -0.000483944+0.00276804j -0.00357632+0.00227936j -0.00400202-0.000383101j 0.000669041+0.00297251j 0.000763695+9.88101e-05j -0.00526221+0.00546502j 0.0007446+0.000776228j -0.00265574+0.00167051j -0.00265869-0.00494474j -0.00770329+0.00438437j -0.00229899-0.00189972j -0.000747281+0.00157784j 0.00388095-0.000508181j 0.00423038+0.00503509j -0.000939064+0.00375027j -0.00190913+0.000271474j 0.00184727+0.00479459j 0.000998153+0.00498035j -0.00163234+0.00139918j 0.000342084-6.84931e-05j 0.0037445-0.000617482j -0.00204599+0.000436396j -0.000291479+0.00449288j -0.00556259+0.000888843j 0.00194102+0.000266635j 0.00225489-0.00716407j 0.00305248+0.00138488j 0.00153309-0.00477543j 0.00239392+0.0028346j 0.00184047-0.00151479j 0.00260097-0.00104717j 0.00360203-0.00112577j -0.00397368+0.00250908j 0.00129357+0.00535953j 0.00317059+0.00119351j 0.00105749-0.000767131j -0.00387345+0.00294856j -0.00235268+0.000426743j -0.00127713+0.000818781j 0.00186596-0.00433686j 0.0023009-0.00473991j -0.00342065-0.00322905j -0.00186078-0.000606961j -0.00191+0.00224479j -0.00326747+0.00862508j -0.00217848-0.00358134j -0.00886001+0.00300548j 0.00216467-0.00196282j -0.000779306-0.00441781j 0.00137184+0.00504407j 0.00450007+0.00746692j -0.0041796-0.00282814j 0.00684709-0.00744092j -0.0120355+0.00514908j 0.00174904+0.00967132j 0.00150952+0.000185021j 0.00193759-0.000942404j 
-0.000632683-0.00441225j 0.00518092-0.000621966j -0.00243326-0.00097903j -0.00165204+0.00321477j 0.000692957+0.0011363j 0.000608899-7.95202e-05j 0.00401461+0.00193703j -0.000100214+0.00085676j -0.00281825-0.000403969j 0.0023019-0.000640681j 0.00165081+0.00544278j -0.00368072+0.00378188j -0.00337532+0.00112498j -0.004703-0.00465055j 0.00525434-0.00559681j -0.00665815+0.000946853j 0.000754272+0.00469745j 0.00227308-0.00111253j 0.00436887-0.00647215j 0.00496181-0.00238654j -0.00139835+0.00103184j -0.00681795-0.00130832j 5.08373e-05-0.00496595j -0.00866808+0.00301195j 0.00318207-0.00108259j 0.00400764+0.00346219j -0.00562335+0.00367404j 0.00618609+0.00452304j 0.00704865+0.00257172j -1.98339e-05+0.0028394j -0.00314711-0.00475874j 0.00159806+0.00302378j 0.00640084+0.00498566j -0.0107579-0.00340911j -0.000790431+9.77073e-05j -0.000195834-0.00196126j -0.00022861+0.00379209j -0.00279269-0.0020764j 0.00404824+0.00172163j 0.000367224+0.00458775j -0.00369219-0.00279507j -0.0030901-0.0025866j 0.00184453-0.00191009j -0.00187326+0.00084521j 0.0016005+0.000183336j -0.00391666-0.00426459j -0.00237116+0.00117552j -0.000789001-7.88851e-05j 0.0059252-0.00167796j -0.004022-0.00675796j 0.00122736-0.0038828j -0.000580961-0.000680866j -7.47186e-05+0.00177856j -0.005249+0.00396932j -0.00366854-0.00113274j 0.00114174-0.00111472j -0.00313195-0.00531793j -0.00398233-0.000503509j -0.000255891-0.00105961j -0.0011587+0.00139884j 0.000538667+0.00352577j -0.000198743-0.00254553j -0.00480947+0.000204744j 0.000436035-0.0053394j 0.000765144+0.00307169j 0.00608738+0.00166007j -0.00174303+0.000942652j 0.00522331+0.000809007j -0.00521082+0.000892217j 0.00136585-0.00116079j -0.0012149+0.00162223j -0.000358786+0.0019348j -0.00173432-0.00118233j -0.00698976+0.000347836j -0.00191785+0.0027799j -0.000487946-0.000777711j -0.00245009-0.00246212j 0.000743505-0.000857207j -0.00199427-0.000566282j 0.0042892-0.00035407j 0.00646961+0.000793123j 0.00382229-0.00115877j 0.00134649-0.000419974j -0.00108846-0.0039634j -0.00821542-0.00414929j 0.0013919+0.000807395j -0.000983862-0.00407496j 0.00110645+0.0014779j 0.00367063+0.000691243j -0.00664703-0.000947861j -0.00779153+0.00127568j -0.000661505-0.00656789j 0.0101335+0.0024865j -0.00280049-0.0100698j -0.00909034-0.00150439j 0.000638869+0.00512203j 0.00234488+0.000872227j 
0.00178321-0.00129107j 0.0015331+0.00147444j 0.0023958-0.000638905j 0.000625923-0.000640674j 0.00197994-0.00126906j -0.00152884-0.00251284j -0.00275417-0.00165203j 0.00141753-0.00128733j 0.0021426-0.00157062j 0.00322503-0.000390843j 0.00442791+0.00557737j -0.00140558-0.00174351j -0.000625545+0.00278773j -0.000670101+0.00234223j 0.000905384-0.00429716j 0.00252495-0.0012842j -0.004451-0.00166146j 0.000506159+0.00565228j -0.00223547+0.00358818j 0.00172071-0.000220735j -0.00197164-0.00694715j 6.09432e-05-0.00118677j 0.00415627+0.00298675j 0.00025954-0.00296096j 0.00561389-0.00700509j 0.00753872-0.00284928j -0.0026679-0.00700969j 0.00188381+0.00253616j 0.00152578+0.00022097j -0.00610294-0.000573155j -0.00535063+0.000244514j -0.00135762+0.00408337j 8.16191e-05+0.00522957j 0.00136123-0.00210182j -0.000430395+0.0016429j -0.00205998-0.00331031j 0.00129792+0.00131526j 0.0019659+0.00514495j -0.00337299+0.00478108j -0.00165485+0.00121448j 0.00228384-0.00335566j 6.32223e-06-0.00382427j -6.14746e-05+0.00092397j -0.000965955+0.00273121j 0.00160196+0.000628794j 0.0008111-0.00247659j 0.000720212-7.42563e-05j -0.00398808-0.000142847j 0.00286789-0.00119412j -0.0034539+0.00114301j 0.000595597+0.000400458j -0.000302652-0.00127759j -0.00146923+0.00041955j -8.83803e-05+0.0015742j 0.000817982-0.00118647j -0.000236751+0.00191709j -0.00386656-0.000237932j -0.00399934+0.00214607j 0.00169186+0.00151652j -0.00156498+0.000762748j -0.000721805-0.00119684j -0.00285203-0.00393251j 0.00189185+0.00247643j -0.00208058-0.00508917j 3.42987e-05+0.0011899j -0.00187178-0.000423793j -0.000672864-0.00211018j -0.00032098-0.00285742j -0.00037816-0.000585612j 0.000827443-0.000401029j -0.00075459+0.000124161j -0.00141693+0.00260103j 0.000752354-0.00363887j -0.000388212+0.000802375j 0.000264191-0.00245137j -0.00134572-0.000242284j 0.00224423-0.00361812j 0.000462124-0.00329896j -0.000799583+0.00137889j -0.000509891-0.000596438j -0.00173347-0.00280182j 0.00181609-0.00159779j 0.000302756+0.000158313j -0.00207893+0.00470038j 0.0020545+0.00204688j 0.00301314-0.00180958j 0.00337928+0.000694678j -0.00382477-0.000407049j -0.000503519+0.0039874j 0.000638451-0.0025515j -0.0040565+0.000959628j -0.00398905-0.000219604j -0.000774371-0.00611443j 0.00432999+9.14245e-05j -0.00223795-0.00231207j -0.00221429-0.00256653j 0.00120904+0.00258589j 
-0.000100497+0.00158036j -0.000175488+0.000355086j 0.000462052-0.000798361j -0.00069512+0.0025582j -0.00153542-0.000297212j 0.001391+0.00227001j -0.00312741+0.00209229j 0.000117183-0.00112449j -0.00317927-0.00107402j 0.00120024+9.47246e-05j 0.0019783-0.00120378j -0.00214063-0.000491234j 0.00528744+0.00255706j 0.00150856-0.000247272j -0.00380176-0.00121639j 0.000744287-0.00129891j 0.00187434+0.00147741j 0.0019328+0.000826345j -0.00216041+0.00460132j -0.00314004-0.0037994j -0.00769251-0.00382058j -0.000758449+0.000316825j 0.00344581+0.000120459j 0.0017438+0.00127385j -0.00305938-0.00910229j 0.00150081-0.00920727j -0.00087975-0.00259716j 0.00426497-0.00130377j 0.00278886-0.00128159j -0.000264649+0.00180587j -0.00459394+0.00281919j -0.00281509+0.000786752j -0.000347282+0.00183619j 0.00186796-0.00155051j -0.00319181+0.00146729j 0.00316923+0.00220542j -0.00135885-0.000774342j -0.00404635-0.00161812j -0.00222353-0.0026834j -0.00046985+0.00106967j 0.00172503+0.000822487j -0.00292503+0.00113655j -0.00458727-0.000348351j 0.00116525-0.00440824j -0.00512583-0.000490916j 0.00145431-0.000307665j -0.000672388-0.000623805j -0.000990553-0.0022595j 0.00190468+0.00780787j -0.00425454-0.00775609j -0.00199374+0.00131478j -0.00407615-0.00340141j 0.00143172+0.00461121j 3.25773e-05-0.00533382j -0.000798729-0.00198476j -0.00179183-0.00520865j 0.00169741-0.00114092j 0.00249037-0.00554525j -0.00262686+0.00144831j 0.000950642-0.00310309j -0.000219332+0.000332315j 0.00299618-0.00274736j 0.00023603-0.00257096j 0.00251314-0.00428503j -0.00274896+0.0041407j -0.00037736+0.000654267j 0.00122901+0.00334132j -0.00159936+0.000355867j 0.000635016+0.000190477j -0.00368925+0.0042802j 0.00421206+0.00055679j -0.0045284+0.00179063j 0.00281248-0.00214355j -0.00353447+0.0013659j 0.000867936-0.000936891j -0.0023103-0.0023469j 0.001473+0.00288879j -0.00347362-0.00560382j 0.00134462+0.00261955j 0.000779895-0.000805214j -0.000883641+0.00422913j 0.00296946-0.00320563j -0.00241645-0.00224391j -0.00457305-0.00115818j 0.000693877+0.00504725j 0.00899139-0.000384687j -0.00299347+0.00211804j -0.00163962-0.00907299j 0.00110477+0.00430593j 0.00207957+0.00164724j -0.00213376-0.00435652j 0.00742166-0.00372795j 0.00236563+0.00719195j 0.00209035+0.000669881j -0.00271258-0.00406168j -0.000233001-0.00097337j 0.00249716+0.00338497j 
-0.000919925+0.000663161j -0.00549603+0.000199836j 0.00114261-3.59189e-06j 0.00279798-0.00418961j 0.00144064-0.00266743j -0.00253861+0.00211821j -0.000570968-0.00391825j 0.00233115-0.000567311j 0.00347626+0.00224143j 0.000671016+0.00197523j -0.00251472-0.000145417j 0.00554549-0.00498708j -0.00557386+0.00564371j -0.00490241+0.00449064j -0.000861028-0.00354331j -0.00144236+0.00539339j 2.75582e-05+0.00443167j 1.09556e-05-0.00410435j -0.00273771-0.00465915j 0.00163058-0.0067565j 0.00904393-0.00361072j -0.000671977+0.00202026j -0.0071295+0.00122827j -0.00194301-0.000646518j 0.00943088-0.00626164j 0.0102934-0.000810149j 0.0065558+0.00617463j 0.00477092-0.00428069j 0.000262023-0.000407492j 0.00445961-0.00482363j -0.00463914+0.000403811j -0.00468788-0.000688398j -0.000411157-0.00212326j 0.00214184+0.00149081j -0.00605418-0.00255135j -0.00222233-0.00218422j 3.24724e-05+0.00143636j -0.00308576-0.00227363j -0.00474134+0.00325489j -0.00489314-0.00293777j 0.003069+0.00092j 0.00295662+0.00406118j 0.000185156-0.00465533j -0.00300302-0.00454754j -0.00234481-0.00405587j 0.00293407-0.0017287j -0.00108594+0.0025798j 0.000323282-0.00191945j 0.00366098-0.00237498j -0.00261377+0.00249274j -0.00291063+0.00360706j 0.00076772-8.87871e-05j -0.00278478+0.00710522j 0.000765522+0.00097154j -0.00164094+0.00362254j 0.00188342-0.00345824j -0.00458397-0.0074866j -0.00301553-0.00222504j -0.001455+0.000266065j 0.00203997+4.2931e-05j 3.28557e-05-0.000621576j 0.000244883+0.00103692j -0.000196793+0.000850974j 0.00185308-0.000623392j 0.000863051+0.00105835j 0.00155173-0.00501867j -0.00176427+0.00330967j 0.00262852-0.00485771j -0.000199733+0.0043359j -0.00424713+0.00146178j 0.00194486-0.000323525j -0.00307801+0.00164816j 0.00610841-0.00357759j -0.00475941+0.00344j 0.00377021+0.00263978j -0.00229799+0.000580556j 0.00120505+0.00603962j 0.00594706-0.00368452j -0.00257711+0.00299642j -0.00456682-0.00289364j -0.00251171+0.00185586j 0.00810596-0.00318414j -0.00200199+0.00319307j -0.00234515-0.0024868j -0.00232263+0.00160269j 0.0104091+0.00509261j 0.00187171-0.00175289j 0.00296594-0.00571752j 0.000691836-0.0043836j 0.00194064-0.00162989j -0.000644949-0.00256313j 0.000603834+0.000167095j 0.00176235-0.00244832j 0.0044215+0.00143038j 0.00223213-0.000576244j 0.000263404+0.00433648j -0.0019239-0.00218851j 
-0.00126085-0.00167042j 0.000916452-0.00192594j 0.000197005-0.00242106j -0.0029966+0.000621674j -0.00196611-0.00294292j -0.00255184+0.00347634j -0.00433018+0.000890132j -0.00219955-0.0013237j 0.00023686-0.00207894j 0.00201533-0.000228116j 0.00381263-0.000206106j -0.00334453-0.000463515j 0.00257618+0.00476824j 0.00485708+0.00188848j -0.00632959-0.0037592j 0.000653077-0.000293731j -0.00121391+0.00660956j 0.00533477+0.00263846j 0.00228418-0.00241556j -0.00117804-0.00461767j -0.00397116-0.00608665j 0.00103792+0.000288033j 0.00149077-0.000959529j -0.0062588+0.00280562j -0.00777358-0.0103833j -0.000890179-0.00973514j 0.000219052+0.00447681j -0.00021683-0.0044193j 0.000562402+0.000543998j 0.00112564+0.00256914j 0.00192945+0.0028107j 0.00343218-0.00136899j 0.00155745-0.0018315j 0.000748812-0.000634351j -0.00324824-0.00407108j -0.00486511+0.00214655j -5.29466e-05-0.00172939j 0.00350083-0.00550672j 0.00547401+0.00251505j -0.00107482+0.00103907j -0.000551803-0.00148938j -0.000821634-0.00460308j 0.000404666-0.00483924j 0.00190971+0.00195831j -0.000462355-0.00508374j -0.00234341-0.00149612j 0.00046978-0.00119516j 0.000460009+0.00109588j -0.0033538-0.00370842j 0.00768957+0.000795344j 0.00103232-0.00151321j 0.00198196-0.00245847j 0.000889954+0.00566331j 0.00377505+0.00144734j 0.00322615-0.000529762j 0.00283778-0.00224955j -0.00776477+0.00451724j 0.00295009+0.00671821j 0.00171126-0.00297396j 0.000402895+0.00171711j -0.00227856-0.000120385j -0.00109394+0.00330638j 0.00314368-0.00211602j -0.00137505+0.0022024j 0.000165998-0.000607568j -0.00407844-0.00122962j -0.00166549+0.00489722j -0.00422391-0.00298274j 7.61248e-05+0.00235334j -0.00192331-0.00270018j -0.000346019+0.00488131j 0.000922216-0.000262669j -0.00266493-0.00229734j 0.000737483-0.000965393j -0.00215134-0.00169703j 0.000580507+0.000132558j 0.000780501+0.00217541j 5.28501e-05-0.00526801j 0.00165625+0.00332478j -0.00107741-0.000760966j -0.00302794+0.00341751j 0.000590621-0.00310782j 0.0025925-0.00351791j 0.00192461+3.93916e-06j -0.000623577+0.00200216j 0.00036578+0.00134028j 0.00152429-0.00404304j 0.00116385-0.00066102j -0.00100365+0.00156189j -0.00326206-0.000424314j -0.000342703+0.00266009j 0.000782783+0.0067394j -0.00958753+0.00212292j 0.000698731-0.00119697j -0.00180689+0.000527477j 0.00189849+0.00105382j 0.00131745-0.00120939j 
0.00330226+0.000456563j 0.00033306+0.00169092j 0.00370381-0.00144297j -0.000685628-0.000426824j -0.000436051-0.00114258j -0.000265338+0.00128931j -0.00398731+0.00336055j 0.000711579-0.000420441j -0.00512298+0.0037079j 0.000350483+0.00037665j 0.00210116-0.00282847j -0.00419816+0.00259755j 0.00926963-0.00287943j 0.000893371-0.00114753j -0.00684324+8.28964e-05j 0.000253419-0.00137289j 0.00471348-0.00445526j -0.000180603+0.000488479j 0.00134341+0.00578364j -0.00702388-0.00115652j -0.00733409+0.00329001j 0.00210145+0.00285323j 0.00264129-0.00158859j -0.000328758-0.00212428j -0.00429423-0.00722678j -0.00391992-0.00541952j -0.00286502+0.00246163j 0.00427305-0.00808252j -0.000531944-0.00150626j 0.00372536-0.0049924j -0.000470435+0.00209644j 0.00141753+0.00262243j 0.00149467+0.00219592j 0.00288252-0.00056961j 0.00804643-0.00210298j 0.00558802-0.005869j -0.00125369+0.0045732j -0.000625981+0.005349j -0.00481001+0.00276072j -0.000638186+0.00306813j 0.000641332+0.00143999j 0.00644928-0.00269838j 0.00338305+0.00217696j -0.00312754+0.00404887j -2.59814e-05+0.00601137j 0.003554-0.00217062j 0.000892558+0.000888694j 0.00366591-0.00108384j 0.00715784-0.00638076j -0.00222935+0.00339308j 0.00120501-0.00048099j -0.00156062+0.00440145j -0.00286337-0.00352875j -0.00594244+0.00564683j -0.0042415+0.00403549j -0.00478966+0.00517314j -0.0051864+0.000692134j -0.00908181+0.00237798j 0.000761001+0.000526298j 5.04657e-05-0.00283796j 0.000970921-0.000304702j 0.000117522-0.00134468j -0.00120016+0.00311364j -0.000105262+8.06402e-05j -0.00141119-0.00114635j 0.00498673-0.000987674j -0.00294802-0.0018644j 0.00309172+0.00172382j 0.000195326-0.000968262j 0.00208479+2.33474e-05j -0.0022464-0.00115218j 0.00220123+0.000400708j 0.00313501-0.000661641j 0.00467799-0.000280979j 0.000556724+0.000184361j 0.000571198+0.001422j -0.00149486-0.00149422j -0.000364594+0.00439401j 0.000641462-0.00278939j 0.0019869+0.000611632j -0.000959274-0.00144663j -0.000455114+0.00128708j 0.00154505+0.000895099j -0.00323099+0.00149613j -0.000378016-0.0015557j -0.000377517-0.00245268j 0.00192239+0.00143247j -0.00174432+0.00268428j 0.0019729-0.00254945j 0.00403085+0.00118876j -0.00367978+0.000187359j -0.00020017+0.000913157j -0.00322014-0.00130992j -0.00275512-5.54843e-05j -0.00334698+0.001638j 0.00152714-0.000620486j 0.00283394-0.000170996j 
