0.00638566+0.00438783j -0.00462247+0.00626397j 0.0031055-0.00251432j -0.00411891-0.00375205j -0.000270348+0.00186469j 0.00109828+0.00127824j -2.13234e-05+0.0020926j 0.00105162+0.000416741j -0.00217418+0.00620257j -0.00722025+6.25562e-05j 0.00210286+0.00299733j -0.00419788+0.00217027j -0.000160013+0.000885873j 0.00508035-0.000439007j 0.00449677+0.00160697j 0.00277023-0.00217131j 0.00198721-0.000440316j 0.000385525+0.00404321j 0.00124615+0.00324407j 0.00225255+0.00304659j -0.0011231+0.000505926j 0.000639822+0.00322106j 0.00221533+0.000300069j 0.00449569-0.00135067j 0.000428294+0.00166699j -0.000210903-0.00100476j 0.00146924+0.00194116j -0.000589726+0.000460655j -0.00457524-0.00307662j -0.00322547+0.00134783j -0.00248793+0.00385239j 0.00204503+0.000545j 0.00199635-0.00319772j 0.00173485-0.00139976j 0.00140396-0.000344786j -0.000470131-0.00100242j -0.00411198+0.00232492j -0.00440162+0.00213373j -0.000869936-0.00204045j 0.00276417-0.00391081j 0.000642335-0.00110917j 0.00148676-5.99096e-05j 0.000694294-0.00229323j -0.00267468+0.001458j -0.000986996-0.00167769j -0.00583317-0.000364802j -0.00393012+0.000682351j 0.00111477-0.00101138j -0.00525354-0.00204177j 0.000244491-0.00107521j 0.0032297-0.00176301j -0.00237612+0.00427463j 0.00202818+0.00102718j 0.00391723-0.000715373j 0.000587295+0.00251494j 0.000245122-0.00537144j -0.00587602+0.000197645j 0.00171899-0.0033157j -0.00297431+0.00690588j -0.00596921-0.00216616j 0.00548386-0.00171945j 0.00264665+0.0034316j 0.00528863+0.00320344j -0.00443803+0.00212229j -0.00377645-0.00123194j 0.00123403+0.00222343j -0.0057325+0.00235842j -0.00229533-0.00201264j -0.00288165-0.00121973j -0.00179798-0.00426055j -0.0173609-0.00756269j -0.00928549+0.0158382j 
0.00486521-0.00705988j 0.00625116+0.00542479j -0.0016913-0.00380935j -0.00372604+0.00332992j 0.000673461+0.000557233j 0.000923798-0.000385828j 0.0020484+0.000958734j 0.0014252-0.00060131j 0.00589408+0.00234426j 0.000138582+0.00776989j 0.0038741-0.00225125j 0.00227771+0.00513042j 0.00129735+0.000492754j 0.0001631-0.00578484j 0.0016632-0.00449286j -0.00164969-0.0032759j -0.00126441-0.00216785j 0.00407459-0.000471005j 0.00284766-0.00131335j 0.00326957-0.00204404j 0.000379276+0.000879622j 0.00256394-6.33837e-05j 4.96843e-05-0.00268608j -0.00145451-0.00490017j 0.00197247-0.0001591j -0.000598634-9.3317e-05j 0.00132913-0.00117911j 0.00121805+0.000335025j -0.00264945+0.00475163j 0.00135779+0.00385505j 0.00420052+0.00254395j 0.000907915-0.00196308j -0.00287316-0.00263042j -0.00176758-0.00135135j -0.000685908-0.000399161j -0.00146235+0.000542545j 0.00258457+0.0045571j 0.00248973+0.00461205j -0.00164355+0.000464205j -0.00504604-0.00247924j -0.00192862-0.000600366j -0.000428556-0.000742691j -0.00327742-0.000410453j 0.00192366+0.00284301j -0.00194999+0.0010112j 0.000107413+0.00643007j 0.00139023+0.00451012j -0.00118889-0.00115588j -0.00189947+0.0067556j -0.000578539-0.000497083j -0.00269138-0.00381792j 0.00523702+0.00212642j 0.00124709-0.00269412j -1.16459e-05-0.00513089j 0.00304528-0.000463679j -0.00580362-0.000397837j 0.000478562+0.00607097j -0.00375783-0.00175204j 0.00765258+0.00362102j -0.00210593+0.00671358j -0.00159194-0.00621997j 0.00318394-0.00229688j 0.00253208-0.00546458j 0.00296923+0.00393327j -0.00110078+0.00443075j 0.00217624-0.000751619j 0.00268298+0.00549438j -0.00130598+0.0018713j -0.001427+0.00177892j -0.0033783+0.00122573j -0.00682571+0.0168366j 0.0159849+0.00958107j 
-0.000367471-0.00124832j 0.00295536-0.00249963j 6.25654e-05-0.00361551j -0.00445227-0.00255699j -0.000379152+0.00569405j 0.00216892+0.00140874j 0.00408539-0.00224123j 0.00295427-0.00364368j 0.000812027-0.00258244j 0.00372925-0.00286519j -0.00147213-0.00416805j 0.00357945-0.000848374j 0.00177616-0.00318014j -0.0033645-9.08052e-05j -0.000835787+2.14464e-05j 0.000293723+0.000794086j -0.00215387+0.00253322j -0.000727963-0.00319193j -1.42904e-05-0.000771539j -0.000123619-0.00366411j 0.000776742-0.000538003j 0.00157682+0.00108857j -0.000289224+0.00182873j -0.0035898+0.00171212j 0.00177069-0.00195446j -0.000656785+0.000201702j 0.000443412+0.00129232j 0.00199531-0.0017396j -0.00136517+0.00329015j 0.0030917+0.000553613j -0.00019985-0.00542483j 0.000796961+0.000847484j -0.00125989+0.00144013j 0.000480743+0.00252078j 0.00479562+0.00277673j -0.000333904+0.00151653j 0.00324395+0.000119063j 0.00105782-0.00444462j -0.00273572-0.000450565j -0.000970632+0.00304014j -0.000762399+0.00384627j 0.00408126+0.00146993j -0.00407718+0.00145007j 0.00273737-0.00385589j 8.26478e-05-0.000382697j -0.000168042+0.000100506j 0.000764047-0.00275719j -0.00275988+0.00110374j 0.00485401+0.000358326j -0.00391974-0.00243903j -0.00338561+0.00758859j 0.00121339-0.00480205j -0.00127438+0.000523696j -0.00452583-0.00200311j -0.000986192-0.00697232j 0.000593658+0.00743243j 0.00225293-0.00139348j -0.00315526-0.00114305j 0.00439837-0.00279737j 0.000562402-0.00110229j -0.00200166+0.00160971j -0.00179546-0.002043j 0.0011687+0.00180908j -0.000359643-0.000670407j -0.00158463-0.00412437j -0.00295095-0.00158538j 0.000128872-0.002233j -0.00271971-0.00137447j 0.000501447+0.00836128j -0.00675241-0.00165464j 0.000269535+0.000284489j 0.000793562-0.00314349j 
0.000225309-0.00355141j 0.00383937+0.00157944j 0.00338148+0.000945527j 0.00349937-0.00307384j -0.00667945+0.00173498j 0.000172709+0.00382507j 0.00187254+0.00141008j 0.00476549+0.00389702j 0.00193002+0.00183551j 0.00248776+0.00248039j 0.00443494-0.000716242j 0.0022033+0.000253928j 0.00422728-0.000199552j -0.000433035-0.00525603j 0.000418366+0.000382337j 0.000967606+0.00181558j -0.00601335+0.00145253j 0.00102723+0.00277235j -2.10883e-05+0.00477463j 0.00490723+0.00105047j 0.00160997+0.000937208j -0.00121703+0.00432088j -0.0047738+0.00399216j -0.00159755-0.0027967j 0.00091909+0.00189629j -0.0011264-0.00361838j -0.000648733+0.00212965j -0.000187814+0.000118544j -0.00146254-0.00845607j 0.0013112+0.0012125j 0.00574169-0.00167131j -0.00150628-0.000527916j -0.00379959-0.000121036j -0.00298909+0.000142206j -0.000941371+0.00311028j -0.000377888+0.00103393j -0.00154253-2.41872e-05j 0.00467076-0.00367212j 0.000163433-0.00210248j -0.00162197+0.00180527j -0.00500097+0.00151067j -0.00107973+0.00117422j 0.00247048-0.00600649j 0.00238296+0.0022325j -0.000217936+0.000950494j -0.00113668-0.0060588j 0.00324174-0.00663055j 0.00159617-0.00545057j -0.00138891-0.0027948j 0.00192221-0.00482327j -0.00849655-0.00404209j 0.00375695+0.000179071j -0.00292936-0.00161074j 0.00354685-0.000175887j 0.00664337-0.00029742j -0.00372533-0.00103633j 0.00121434-0.00103244j 0.00565007+0.00151781j 0.0020543+0.00189332j 0.00418744-0.000941564j -0.00186708-0.00361296j -0.000169662+0.000909867j -0.00332849+0.00599453j -0.00146995-0.00577429j 0.00802245-0.0036984j 0.000818471-0.00515883j 0.00175298-0.00172481j 0.00292222-0.00762027j -0.0152139-0.00205477j 0.00222676-0.0154535j 9.97906e-05-0.00334472j 0.00197505+0.00195957j 
-0.00391676-0.000932401j 0.00121266-0.00388459j 0.00333688-0.001355j -0.00109196-0.00268571j 2.21966e-05+0.00349817j 0.00252876-0.00171936j -0.00288275-1.86773e-05j 0.00504119-0.00125479j 0.000945264-0.00195224j 0.000453614-0.000206626j 0.00353223-0.00173135j -0.00255475-0.00214204j -0.00116464-0.00230233j -0.00142591+0.000671812j 0.00163954-0.00145125j 0.00471834-0.00194671j 0.000244998+0.00586639j 0.003296+0.0012258j 0.0049327+0.000126506j 0.00107295-0.0036023j -0.00026289-0.0034461j 0.00147584+0.000284419j 0.00481603+0.00521361j 0.000467408+0.000765068j 0.000808118+0.00103443j -0.00324154+0.00171439j 0.00119993-0.000846082j -0.000463268+0.00184196j -0.00719457-0.000608679j -0.00157265-0.00293471j -0.00339838-0.00400569j -0.000243575+0.00159384j 0.00302858+0.00468088j -0.00151434+0.00222719j -0.000686793-0.00155818j 0.00129444-0.000409586j -0.00158127+0.00144058j -0.00729611-0.00309695j 0.00101129+0.000691242j 0.000340367-0.000145253j -3.55434e-05+0.00319068j -0.00425955-0.000467333j -0.00870966-0.00439711j 0.0021447+8.24653e-05j -0.0001806+0.000617921j -0.00785262+0.00259207j -0.00836069-0.00170545j -0.00375807-0.00472271j -0.00937751+0.00331277j -0.00202442+0.000895235j -0.00323428+0.00323732j 0.00152336-0.00149417j -0.000349251+0.00314109j 0.00883439-0.00357012j -0.000546288-0.00163817j 0.000989807-0.00321813j -0.00391833-0.00106386j 0.00366373-0.00549976j 0.00188319-0.00194074j -0.00241108-0.0029979j -0.000289018-0.000516543j 0.000644541+0.00324133j 0.00509738+0.00110512j -0.00370973+0.000739455j -0.00584538-0.00444021j -0.00528425+0.00158346j -0.00304907-0.00161315j -0.00472137-0.00314036j -0.000712649+0.0114132j -0.012286-0.000120515j -0.000448095+0.00106356j 0.00203705-0.0026498j 
0.00213889-0.00323768j 0.00302856+0.00243295j -0.000657443+0.000667522j -0.00151748-7.12633e-05j 0.00195412+0.00105505j 0.00178298-0.00037817j -0.00190839-0.00169385j -0.00102244+0.00239285j 0.00192234+0.0021121j -0.00231162+0.000217899j -0.00128735+0.00459772j -0.000757124-0.0031738j -0.00100871-0.000913437j -9.52509e-05+0.00122221j 0.00355088+1.7304e-05j 0.0010879+0.000799162j -0.000662168+0.000789525j -0.00309347+0.00359666j -0.0015631+0.00524284j -0.000909189+0.00121214j 0.00299665-0.00258252j 0.000299027+0.000898819j -0.0019915+0.00304906j 0.00058798+0.00398654j -0.00153081-0.00143194j -0.00131799-0.00341021j 0.00191341+0.00390176j -0.00301777-0.00477044j 0.00211876-0.00284335j 0.00250272-0.00201598j 0.000718762-0.00296032j -0.000712947-0.000869032j -0.00303498+0.000382226j 0.000323252-0.00106375j 0.00371412+0.000555039j 0.000747174+0.00441234j 0.0013102-0.00225659j 0.00121322-0.0045575j -0.000351477+0.000882716j 0.00316322+0.00372036j 0.000357643-0.001808j 0.00181785-0.00386017j 0.00405042+0.000341781j -0.00195737+0.000322288j 0.000493626-0.000470334j 0.00220593-0.00143453j 0.000743004-0.00184861j 0.00464452-0.000540727j -0.00157491-0.00514772j -0.00384887+0.00279647j 0.00339165-0.0023054j -0.00105077+0.000465765j -0.000850082-0.00126871j 0.000458182+0.00851635j -0.00549359+0.00106439j 0.00614684-0.00033625j 0.00053256-0.00674089j 0.00284628+0.0080597j 0.00151468+0.000231683j 0.0021057+0.00205736j 0.0021748+0.00162378j -0.00286301+0.00371606j -0.00108197-0.00246774j -0.00114997-0.00436412j 0.000478207-0.000552859j -0.00296098+0.00124782j -0.00326864-0.0060846j 0.00286172-0.000633927j -0.00239283-0.00342433j -6.87529e-05-0.00075327j -0.0012937+0.000600509j 0.000618313-0.000681468j 
0.000263992-0.00229586j 0.002389-0.00223392j -0.00286903-0.00414476j -0.00771531+0.00407696j 0.00110668+0.00567825j 0.00408578+0.000129633j 0.00407183-0.00272083j 0.00567421-0.00581579j -0.00733116+0.00342339j -0.00201488-0.00382774j 0.000729596-0.00336878j 0.00319604-0.00251243j 0.00470534-0.00473122j 0.00120504-0.00393395j -0.00496729+0.00166222j 0.00312494-0.0049257j -0.00429419+0.0101559j -0.00114468+0.000601532j 0.00305649-0.00110166j -0.0032735-0.0025216j -0.00259549+0.00047896j 0.000415259+0.00706275j 0.000338999-6.36729e-05j -3.0035e-05+3.66294e-05j 0.000837632-0.00198235j 0.000901352-0.00321845j 0.00270015-0.000872347j 0.00177196-0.00530831j 0.00195916-0.00285767j 0.00341708-0.00400551j -0.00723773-3.87005e-05j 0.00107039-0.0017174j 0.00146962-0.000993405j 0.000889344+0.00357585j 0.00277843-0.0017996j 0.00216268-0.00126132j -0.000482899-0.000371544j -0.00443413-0.00133954j -0.000686403+0.000204109j 0.00224413+0.00670814j 9.74368e-05+0.0122139j 0.00345958+0.00028746j 0.000758278+0.00500928j -0.00132721-0.00328168j -0.000452856+0.00402864j -0.00166053+0.00235356j -0.0023477-0.00528223j -0.000621124-0.0031503j 0.00722135-0.000140372j -0.00217011-0.000499895j 0.000240924+0.00252511j -0.0036608-0.00267387j -0.000971318-0.00133316j -0.00461655-0.00356148j -7.1475e-05-0.000737019j 0.000302846-0.00306511j -0.00112309-0.000243724j -0.00116675+0.00641951j -0.00294755-0.00632231j -0.000225946+0.00208361j 1.13976e-05-0.00173112j 0.00192934+0.00242813j -0.00212008-0.00024168j -0.00427604-0.005364j 0.00433966+0.000236307j 0.00358512-0.00175232j -0.00396149+0.00217784j -0.00184255-0.00326669j -0.00146277-0.00147168j 0.00228955-0.00229375j -0.00458951-0.00157867j -0.00522814+0.00297819j 
0.000174308-0.00124949j 0.000979803-0.000295966j -5.24524e-05-0.00214617j -0.00249821-0.00251704j 0.00083967-0.000431041j -0.000755021+0.00189838j 0.0013802+0.00318267j 0.00307354+0.00523637j -0.00235986-0.00821585j 0.00301427-0.000929229j 0.00150103+0.00062074j -0.000651213+0.00169806j 0.00177752+0.00486353j 0.0019499+0.00140186j -0.00856672-0.0115183j 0.00215835+0.00257982j -0.00494112-0.00575256j 0.00471715+0.00322992j 0.00948989+0.00521741j -0.00123456-0.00195495j -0.000841128-0.00321321j -0.00292556-0.00242695j 0.00482482+0.00221114j 0.00426025+0.000646983j -0.00300564-0.00158388j -0.000211705+0.00150523j 0.00893499+0.0027473j -0.000906443+0.00366344j 0.00251497+0.00252491j 0.0062317+0.00328377j -0.00371196-0.00483693j -0.00161757-0.000136777j -0.00299041+0.0014172j -0.00518344-0.00222269j 0.00136074-0.00355897j 0.00911293+0.00188258j -0.00380846-0.00331707j 0.00114832-0.00265633j -0.000625042-2.05184e-05j 0.00324789-0.00302056j -0.0107972-0.00187496j -0.00121078-0.0016032j 0.00598785-0.00351795j -0.00124431+0.000717426j -0.0033305-0.00222814j -0.00104206-0.00574909j 0.00318815-0.00174869j 0.00552007-0.000701901j -0.00302315+0.000449015j 0.00233841+0.0018321j 0.00286995-0.00128238j -0.00176544+0.000629437j 0.000424946+0.000116079j 0.00303695+0.00118942j -0.00161261+0.00348741j 0.00253887-0.00173066j -0.00297658-0.000853555j 0.000657763-0.00136452j -0.00115344-0.00161314j -0.000401015-0.00279473j 0.000627588+0.000160508j 0.000965149+0.00127646j 0.000143533+0.000343289j -0.000822975+0.000484286j 0.000488901+0.000182641j 0.00245676+0.00244308j -0.00345889+0.0024671j -0.000797114-0.000973041j 0.00187822+0.00142622j -6.98438e-05+0.00212369j -0.00025252-0.000215491j -0.00121042-0.000513022j 
0.00128652+0.00262305j -0.00147836+0.00287268j -0.00145352+0.00587318j 0.00150811-0.000755756j 0.000389088-0.00634181j 0.000604498-0.000472953j 0.00203648-0.00233539j 0.0018018+0.00173656j -0.00416039+0.000870304j -0.000542469-0.00220486j -0.00250172+0.00501936j -0.000452623-8.39528e-05j 0.00288225+0.000478536j -0.000535563+0.00416419j -0.0113286+0.0103957j 0.000159523+0.00338402j -0.00295301-0.00321439j 0.00475161-0.00657908j 0.00725001-0.0110245j -0.00137777+0.00182178j 0.000844601-0.000503218j 6.34505e-05-0.00377018j 0.00177259-0.00687285j 0.000319924-0.000621005j -0.00284852+0.00348139j -0.000929889+0.0019057j 0.00531439-0.0101148j 0.000638877+0.00235372j 0.000774921+0.00271508j 0.00452828-0.00701218j -0.0010046+0.00130144j -0.00154791+0.00504107j -0.00233382+0.00712667j -0.00257024+0.00283194j -6.89943e-05+0.00119212j 0.00211302-0.00897079j -0.00119608+0.00684642j 0.00135623-0.00412961j -0.000624113+0.00297377j -0.00019032-0.00925909j -0.00108886+0.00266969j 0.00168701-0.00342238j -0.000710605-0.014649j 0.000879752+0.00486459j -0.000165819-0.000893643j -0.0027877-0.00144076j 0.000455051-0.00062328j -0.000460897-0.00124474j -0.000594702-0.00154365j 9.10857e-05+0.000205488j -0.0020362-0.00362432j 0.00223135+0.00514682j -0.000524421+0.00124576j 0.00180605+0.00842206j 0.00152766-0.00174387j -0.00105639+0.0064282j 0.000491452-0.000632627j 0.00183253-0.00458188j 0.000718643+0.00947749j -0.000220358-0.00200584j 0.00198286+0.00586984j -0.000992554-0.00603615j -0.00175454-0.000631239j 0.00164677+0.00917192j -0.0031274-0.00895792j -0.00279544-0.0032093j 0.00277764+0.00024722j 0.00124072+0.00532131j 0.00149471+0.00213733j 0.00161988+0.0013775j 0.00177002+0.00238519j 0.000271735-0.000472427j 
0.000261187+0.000322064j 0.000727767+0.00116686j -0.00114267+0.00215376j -0.000428545-0.00540963j -0.000191043-0.00163452j 0.00303902+0.00330087j 0.00107358-0.00206175j -0.0025031+0.00993427j -0.000642786-0.00691452j -0.00216013-0.00376031j -0.00217558+0.00578126j 0.0041535-0.000187165j 0.00157973+0.00299562j -0.00193389+0.00436055j 0.00256798-0.00604809j 0.000572105+0.00757699j -0.00177101-0.00843339j -0.00189473+0.000917863j 0.00129531+0.004466j 0.00249477-0.00458428j -0.00155976-0.00203668j 0.0016341-0.00444791j -0.000892433+0.0013982j -0.00317802+0.0038762j 0.0021999-0.00274311j -8.67263e-05+0.000893408j -0.000443039+0.00429167j 0.00225795+0.0017336j -0.00304904+0.00738962j 0.00117522+0.00579948j -0.0021674-0.00743823j -0.000570291+0.00118609j 0.000762263+0.00214284j 0.00165088-0.00472832j 0.00173141+0.00109598j -0.00109543+0.00355505j -0.00153666+0.000768099j -0.00288427-0.00375851j -0.00218085+0.00262491j -0.00149966-0.000644127j -9.79274e-05-0.00686427j 0.00337236-0.00218388j -0.00054668-0.00385174j -0.000311786-0.000124065j -0.000630178-0.00272338j -0.00350286+0.00237048j -0.00164839+0.00185229j -0.000707598+0.00522898j 0.00280711-0.00278253j -0.00216703-0.00109163j -0.000970374+0.0024593j -0.000870489+0.0027566j -0.00129846+0.00189205j -0.00189521+0.00836569j 0.00097137-0.00552655j 0.00181935+0.00793703j 3.46923e-05+0.000109218j -0.00266116-0.00141533j 0.0022121+0.00318883j -0.00184862-0.00232126j 0.000455643+0.00611415j -0.000960206-0.00593256j 0.00198226-0.00158892j 0.000338953+0.00460721j -0.00117727-0.00392004j 7.73884e-05-0.00397593j 0.00112295-0.0014219j -0.0010297+0.00521283j -0.000284548+0.00530301j -0.00254776+0.00235217j -0.00356543+0.00496812j 0.00118655-0.000665898j 
0.00230901-0.00230581j 0.00230742+0.00207823j 0.00096623+0.000522837j 0.000777698-0.00224551j -0.000774672-0.000936198j -0.0022942+0.00191263j -0.000212865-0.00172155j -0.00470003-3.10787e-05j 0.00582797-0.00125007j 0.00155557-0.00135532j 0.000107851+0.00354775j -0.000424132+0.00222039j -0.00272768-0.000888996j -7.54271e-07+0.00147314j 0.00959621+0.0051045j -0.0020315+0.00186141j 0.00344628-0.00132833j -0.00364784-0.00230532j -0.00484582-0.00281674j 0.00252388+0.0010463j 0.00221408-0.00504558j 0.00330916-0.00165692j -0.00463784+0.000104317j -0.000200843+0.000906567j 0.00281351+0.00173731j -0.000958497+0.00145878j -0.00444692-0.00345237j -0.00349022+0.0018389j -0.00220966-0.000138989j -0.00643387-0.00324699j 0.00278202-0.00466584j 0.00267328+0.00141059j 0.00181753+0.00493974j 0.00448098+0.000712837j 0.00442283-0.00398427j -0.00367028-0.00113169j 0.00357671-0.00256789j -0.00242396-0.00729658j 0.000655255+0.000126964j 0.000227004-0.00343008j 0.00465587-0.000622513j 0.000481137-0.00548639j -0.00346711-0.00529282j 0.00161216-3.4561e-05j 0.000753849-0.0030987j -0.0036059-0.00418484j -0.00248418-0.00381441j -0.00146851+0.00142816j 0.000178979-0.00347538j 0.000204488+0.00142651j -0.00171159+0.00129242j -0.00135364-0.000349926j -0.00114026+0.000698343j 0.00182352+0.00494489j -0.000943131-7.94634e-05j 0.00257764+0.00379095j -0.00351518-0.00295056j 0.000807764-0.00362439j 0.00305321+0.00187675j 0.00103668-0.00477978j 0.00138603+0.0016953j 0.000412457-0.000678224j 0.000313266+0.0050723j 0.00020225+0.00247231j -0.00525623-0.00358421j 3.00071e-05+0.00236232j -0.00266128+0.000795763j -0.00189252-0.00108812j -0.00217655+0.00236823j -0.00319393-0.00318234j -0.00510021-0.00248286j -0.000931319+0.00329228j 
