0.523571-0.486967j 0.494839+0.522075j 0.0459186-0.0808658j -0.100425-0.0214611j -0.0193105+0.0658524j 0.00547244-0.0131709j -0.0315077+0.0104653j 0.0109508+0.0232732j -0.0214566-0.046531j -0.00955366-0.0181868j 0.0428355-0.0334624j -0.00610505+0.00633204j -0.0324698+0.0242174j 0.0293684+0.0236002j 0.0150287+0.00859751j -0.0027234+0.000101138j 0.0102092+0.00532458j 0.00147306-0.00782508j 0.0128894+0.00993399j 0.0133928-0.0248623j -0.00582542+0.00899017j 0.0196309+0.00133228j 0.0004588+0.0213627j -0.00241028+0.0213805j 0.00128755-0.00440011j -0.0434222+0.000659448j -0.000184182-0.00205351j 0.0018685+0.00291497j 0.000234335-0.0373103j -0.0190437-0.00346819j 0.00334273+0.00527751j 0.0117791+0.0204999j 0.0211571-0.00866718j -0.00157207-0.00369009j 0.00697719-0.00298828j 0.000563264-5.40156e-05j 
-0.0929308-0.0724267j -0.0574366+0.0751541j 0.670785+0.0233729j 0.129877-0.00159102j 0.682483-0.0033218j 0.231593-0.0656668j 0.0927435-0.00347897j 0.0323425+0.0590578j 0.0406222+0.0146438j -0.0447098+0.0267491j 0.00319875+0.0413668j 0.0275152-0.0148705j -0.0271266+0.0424163j 0.0310154-0.0368371j 0.0168598+0.0716788j -0.0479599+0.0347064j 0.0117397+0.02646j 0.0223833-0.0366998j -0.0232423-0.00692791j 0.0109485-0.0171315j 0.00571794+0.00525721j 0.0139431+0.014369j 0.0113535-0.0206344j 0.00888171-0.00325559j -0.0197411+0.0208478j 0.00638595-0.0042064j 0.0123957+0.0126944j -0.0012368+0.00761886j -0.00243772+0.0264038j -0.000195667+0.024246j -0.0224992+0.018075j 0.000617187+0.0343671j -0.0125465-0.00519419j 0.0136494-0.0166475j 0.0347363+0.00491937j -0.019522+0.00934988j 
-0.0146141+0.0325165j 0.0250345+0.0158794j 0.00884543-0.0943061j 0.0777283+0.04439j -0.0177645+0.0339178j 0.105969+0.163279j 0.167132+0.203912j 0.149519-0.0681786j 0.188634-0.071635j 0.143717-0.150407j -0.0370877+0.0656743j -0.351106+0.43125j -0.00421186-0.218729j 0.12638-0.0279311j 0.504945-0.155484j -0.0709608-0.0435538j -0.12779-0.0651278j -0.0570133+0.0232095j 0.0678857+0.0612738j 0.0802115+1.00659e-06j 0.0407477+0.0782577j -0.0208951+0.0131123j 0.0763235+0.0637072j 0.023716-0.0813075j 0.00791061+0.0213522j -0.0169381-0.00422582j -0.0201442-0.0632749j -0.00068127-0.0732971j -0.0129201-0.0135299j 0.0848581+0.0106688j 0.0287537-0.015011j -0.0618133-0.035634j 0.00959078+0.00173311j -0.00826238-0.071096j 0.075001-0.0155484j 0.0228053-0.0749005j 
0.0266735+0.0344731j 0.0403561-0.0309349j 0.0243484+0.0632589j -0.0560279+0.0057485j -0.0251998-0.0243907j -0.153724-0.147875j -0.155164+0.129385j -0.203986+0.0710193j 0.238986-0.175479j -0.134557+0.497825j -0.0626661+0.223467j 0.0790506+0.45264j 0.158458-0.00149485j 0.377015-0.020046j -0.0693773+0.122502j 0.110498+0.0516565j 0.0928421+0.0163792j 0.0654058-0.0266954j -0.0452238+0.01443j -0.0574396-0.0389686j -0.0443439-0.102007j 0.0230345+0.0039326j 0.00387726-0.00536661j -0.00861175+0.0202761j 0.0243471+0.0168979j 0.0308579+0.00447897j -0.0362194-0.0459478j -0.0127732-0.0310997j 0.0350078+0.0327316j -0.0229034+0.0265802j 0.00918944-0.0394995j 0.0307548+0.0359574j 0.0376905-0.0232246j 0.0058551+0.00710936j -0.0330156+0.0464643j 0.00966378+0.035538j 
-0.0218317+0.0196807j 0.0194271+0.0254845j -0.115921+0.00647338j 0.00657197-0.0686558j -0.00629534+2.91072e-05j 0.0758058-0.0466059j 0.389266+0.168008j -0.15709+0.020822j 0.0988456-0.275011j -0.174098+0.212209j -0.00790133+0.0335245j -0.257974-0.526767j -0.200962-0.076173j 0.311446-0.14846j -0.0251073-0.187687j -0.0249985+0.0442004j -0.149189+0.0323984j -0.000144055-0.0284888j 0.125782+0.0180801j -0.0210546-0.0279326j -0.0318515-0.0855292j 0.0200974+0.00514203j 0.00189729-0.0523449j 0.0406722+0.0355406j -0.00288101-0.00243802j 0.0179764+0.0129866j 0.023668+0.0638373j 0.048094-0.00325932j 0.0151762+0.0203383j 0.0450554-0.0132455j -0.0413181+0.0863391j -0.0267339+0.0143739j 0.0341447-0.0336644j -0.00724323+0.00951693j 0.00579102+0.00813608j -0.01816-0.00926637j 
0.0397057-0.00939668j -0.00636598-0.0315872j -0.0902414-0.0434544j 0.0447275-0.0639504j 0.0457134+0.0160985j 0.385037+0.114313j -0.25916-0.0745187j 0.0114753-0.190168j -0.133624-0.157441j 0.29779+0.529559j -0.252091-0.117083j 0.0439712-0.0334745j -0.0598165-0.0137253j -0.114852+0.27348j 0.0405249-0.115381j -0.297892-0.00747721j -0.100433-0.0328181j -0.0184955-0.00310447j -0.0192728+0.0101781j 0.028023-0.0361632j -0.0268191-0.0421893j -0.0311628+0.0242919j -0.0303612-0.0283173j 0.0365719-0.004506j 0.0212015-0.0887506j -0.0428859+0.0075516j -0.00523929+0.0516968j 0.0315767-0.0444366j -0.0508883-0.00112625j 0.00873598-0.00231673j -0.00500264+0.0255362j -0.0338753-0.0024555j -0.0142998+0.0332595j -0.00182333+0.00590809j 0.00774446-0.0430764j -0.0201278-0.023334j 
-0.00220807+0.00671653j -0.00127737-0.00162506j -0.0223456+0.0248418j 0.013383-0.0308393j 0.0273765+0.030702j 0.0350015-0.0662428j 0.0413669-0.0244741j -0.000473525-0.0643964j 0.0149421-0.0391011j 0.00766081-0.0688856j 0.0125872+0.0301582j -0.0500531+0.105849j 0.0492198+0.0170212j 0.0200362-0.0123323j 0.0445468-0.0357174j 0.00602386-0.068516j 0.00601082-0.128433j -0.0643714-0.0864099j -0.0344791+0.108394j 0.0933323+0.0821082j -0.0925296-0.0622088j -0.0476664-0.0136643j -0.0072431+0.000794307j 0.193836+0.136539j -0.06891-0.0492313j -0.018314+0.0243433j 0.200403+0.169979j 0.115596+0.147713j -0.0180628-0.00949249j 0.0763727-0.0607793j 0.175683-0.278687j -0.0905871+0.000661332j -0.00935833-0.00990818j 0.16557+0.283251j 0.161933-0.0829194j -0.33177+0.158173j 
-0.00350192-0.0178559j 0.0171732-0.00156884j 0.00278494-0.0319546j 0.0173151+0.0242881j -0.0298292-0.00491863j 0.0536172+0.00875986j 0.004442+0.0591449j 0.0487936-0.0618324j 0.0428438+0.0387742j 0.0241017-0.0794646j 0.0279731+0.0190894j 0.00660708+0.0645005j -0.0155839-0.00240023j -0.0138027+0.0105327j 0.0727053-0.0310933j -0.0160869-0.0665409j 0.00206386+0.00836568j -0.0810207-0.0606404j 0.0205385-0.226783j 0.0138252+0.0186211j -0.162041-0.102697j -0.0191453+0.0297997j -0.290895-0.171355j 0.015538+0.0426643j -0.0526385-0.00484865j -0.103564+0.0712386j -0.0254833-0.24634j -0.175161+0.227923j -0.0738726-0.00766402j 0.0571717+0.000147065j 0.0137791+0.0273272j 0.13486+0.261898j -0.18545+0.047113j -0.0959641+0.0380121j -0.274833+0.179316j -0.1356-0.0586157j 
0.0123843+0.0138904j -0.00915802+0.0156582j 0.0260016-0.0507553j 0.00921526-0.00493635j 0.0296853-0.0315698j 0.0128396+0.0936905j 0.00496315+0.0500589j 0.053068+0.00785844j 0.0721827-0.00846101j 0.00857833+0.0183871j -0.000189131+0.00886819j 0.0934678+0.0472563j -0.0245814+0.0690708j 0.00304113-0.00704345j -0.0502134-0.00373571j 0.0128422+0.0860141j 0.0643288+0.179351j 0.0887551+0.0479433j -0.0739679-0.143561j -0.147629+0.0302781j 0.0791105+0.0137637j 0.0371468-0.0359163j -0.0703209+0.125172j -0.131743+0.0831811j 0.0305166-0.0439354j -0.00952838-0.0141193j 0.17174+0.144568j 0.120195-0.0740914j 0.00763471+0.00720629j 0.0978389-0.0933828j 0.0599585-0.170254j 0.0610923-0.0878544j 0.0724352-0.0181877j -0.268263+0.0758934j 0.146252+0.0949472j -0.063006-0.249187j 
0.0219357-0.0218924j 0.0188526+0.0209271j -0.0105731-0.00431108j -0.00791995-0.0205869j 0.00693997-0.00959327j -0.0628791-0.0480204j -0.0723997+0.0109897j -0.0367083+0.0241858j -0.0276318+0.0577726j 0.0139086+0.00654261j 0.0185278-0.0154422j 0.0165664-0.0192214j -0.0175555-0.0300766j -0.0164272-0.00183342j -0.00237071+0.00407957j -0.0174748-0.0715325j -0.108895-0.0885926j -0.095593-0.0224663j 0.165939-0.0816717j 0.103354-0.118928j -0.0832598+0.0183367j -0.0174404+0.0258363j 0.0397205-0.0157147j -0.172608-0.0718319j 0.0481396+0.147654j 0.101142-0.0365424j 0.0526398+0.431339j 0.238492+0.00984377j -0.0677583-0.00857429j 0.135978+0.0387156j 0.303589-0.14097j 0.0683379+0.102947j 0.0752698+0.0912405j 0.0591511-0.096391j -0.00118646+0.0843254j 0.0290783+0.083196j 
-0.0116248+0.0115202j -0.0127716-0.0149184j -0.00989486-0.0167946j 0.00326173+0.0104643j -0.0213434+0.00387561j -0.0508632+0.0670178j -0.0882133-0.0110259j 0.0676728+0.0040208j 0.00161164+0.0842129j -0.0559087-0.0458989j 0.0112996+0.0303281j 0.0755888-0.00322313j -0.000272612+0.0160951j -0.0297528+0.0264605j -0.0255536+0.0206843j 0.0114805+0.0257595j -0.0400445+0.17195j 0.00604549-0.0644754j 0.175049+0.203405j -0.228683-0.0260583j -0.0942773-0.0868557j -0.0857103+0.0592986j 0.0830679-0.115088j 0.0744413+0.0187824j -0.0677404+0.165059j -0.0838649+0.0107343j 0.0297755+0.148301j -0.0152036+0.137715j 0.137121+0.0844783j 0.0904032+0.0770182j 0.129797-0.0995802j -0.224182+0.0649613j 0.162734-0.210546j -0.0333297-0.0769198j -0.114153-0.155456j -0.0367177-0.0808385j 
