-0.165078-0.276864j -0.288293+0.135913j 0.341288-0.577903j 0.0536597-0.219576j 0.518958-0.11682j -0.12643-0.0750417j 0.0496053-0.0381718j 0.0398708+0.107519j -0.0408483-0.0193946j 0.0340585+0.00173078j -0.0109817-0.04006j 0.0056205-0.0447891j 0.0361919-0.00385966j 0.0241279+0.0100217j 0.00949365+0.00334875j -0.00963009-0.010855j 0.00359934+0.015063j -0.0021523-0.00922449j 0.0264492-0.0404372j -0.0152058+0.0301642j 0.0169772+0.00476472j 0.00971635+0.0191856j 0.0327829+0.010854j -0.0290612-0.0240236j 0.0125267-0.00409415j 0.0181322+0.00110255j -0.0198984-0.0138876j 0.00140614-0.00689244j -0.00723826-0.0118964j -0.0052225+0.00232573j -0.00391973+0.0366287j 0.0322559-0.00308192j -0.0287853+0.0287595j -0.0129178+0.0097505j 
-0.497262-0.103587j 0.0473249+0.189189j 0.325451+0.623513j -0.260404-0.102836j 0.102027-0.298378j -0.241736-0.000912695j 0.00243078-0.00971489j -0.0320956-0.0472651j -0.0299917+0.0198683j -0.0270869+0.0734876j -0.0185551+0.000187643j -0.0107569-0.0188332j 0.0582253-0.0190571j 0.034782+0.0135033j 0.0138037-0.0164593j -0.0425438+0.0178572j -0.0068966-0.00422045j 0.000369877-0.00736749j -0.00778074+0.00631045j 0.000502488+0.00153657j 0.0132732+0.00397903j -0.0199128-0.00201679j -0.0220362+0.0150207j 0.0221218+0.00305365j 0.0283319-0.013954j 0.0221013-0.0112982j 0.0153854+0.0427092j 0.0113206+0.0388474j -0.00811874-0.00454734j -0.00068637+0.0204587j -0.00785417+0.018403j 0.0147615-0.0135619j -0.00400023+0.0195611j -0.00240752+0.0112942j 
-0.0649746+0.0433389j -0.0228188+0.0743826j 0.0316159-0.0890983j 0.0306071+0.0175728j 0.0383728-0.0344888j 0.00723058-0.15914j 0.207424+0.156058j -0.327612-0.194089j -0.0702454+0.107123j 0.139975-0.352966j 0.100696+0.23218j -0.327861+0.164563j 0.0873168+0.135703j -0.0422828-0.0202917j -0.145585-0.00802295j -0.0165084-0.00469612j -0.0888822+0.0829782j -0.0489909+0.0819145j -0.0256957-0.00703427j 0.00986968-0.0302985j -0.0299594+0.0334491j -0.0234157-0.0110708j -0.0630479-0.0284912j -0.0239955-0.0237104j -0.0896381-0.0138373j 0.019655+0.0203316j 0.103392+0.0309859j -0.123978-0.0457742j -0.0363101+0.051102j 0.00787008-0.0118327j 0.0103187-0.0232767j -0.0474555-0.0988121j -0.045438-0.0646489j 0.0482973-0.048263j 
0.0399332-0.102205j -0.0608546-0.0314842j -0.0936496-0.024667j -0.0231455+0.0404499j -0.032041+0.00752825j 0.0150979+0.203665j -0.249907+0.0898141j -0.186435-0.170471j -0.176939+0.00819226j 0.149276-0.21235j -0.269466+0.021021j -0.0873277-0.299522j -0.0614861-0.131684j 0.0102856+0.00724596j 0.112338-0.0901768j 0.044152-0.0152205j -0.078062-0.0574334j 0.0520941+0.0474952j -0.039151-0.0423909j -0.0404226-0.0355657j 0.0207505+0.020141j -0.0116681-0.0216645j 0.0390689-0.0167461j 0.0170239-0.0127976j -0.0121018+0.00699468j 0.018792-0.0481983j 0.0283774-0.00596456j -0.0532487+0.0468779j 0.0278062-0.0841553j 0.0133405-0.031774j 0.0114817+0.023517j 0.033551+0.00528747j 0.0234734-0.000105254j 0.0355356+0.0512325j 
0.112025+0.0277661j 0.0360254-0.0605463j -0.0124171+0.0478734j -0.0186417-0.0210305j -0.0121492+0.00414459j -0.252343-0.11052j 0.0527807-0.258457j -0.149535-0.387389j -0.0747823-0.100071j 0.356243-0.258729j 0.0793732-0.180182j 0.121208+0.110495j 0.318268+0.0293729j -0.0579858+0.00415352j -0.0409071+0.130647j 0.0178757+0.0537972j -0.0490588-0.0816299j -0.021484-0.00856374j -0.0447813+0.00175575j -0.0273455+0.048006j -0.00688118-0.010717j -0.0194272+6.83031e-05j 0.00810736+0.00186053j 0.000940627-0.0137084j -0.00788679+0.00569357j -0.000103278+0.0144847j -0.0166609-0.0189286j -0.0024182-0.00923035j -0.00614358+0.0258737j 0.0448512+0.0354028j -0.0204944-0.0187253j -0.0194713+0.0138909j -0.0234698+0.0138877j -0.0212507-0.0366261j 
0.012136+0.019205j 0.0115679+0.00387047j -0.00503064-0.0142746j 0.0185102-0.00289309j 0.00457011+0.0112278j -0.0592315-0.0190832j 0.0980229-0.0469654j -0.114725-0.0284317j -0.0346829+0.0857212j 0.0465118-0.180893j 0.0391386+0.0194227j -0.100224+0.1381j -0.0054719+0.0896071j 0.0112159-0.031521j -0.0722035-0.159907j -0.0198483-0.0438309j 0.0121953-0.149819j -0.0691819-0.0848071j -0.0412161-0.102829j -0.0416899+0.0305337j -0.0268807-0.0513153j 0.00395858-0.0236781j 0.13432+0.057258j 0.171742+0.0667044j 0.0675602+0.0129369j -0.0351656+0.00196849j -0.161694-0.0479231j 0.236017+0.0689734j -0.0938286-0.0423065j 0.0876545-0.113499j -0.040612-0.0151822j 0.155978+0.212038j 0.0510735+0.152877j -0.192943+0.0310589j 
0.00696079-0.00794228j -0.000950532+0.00922289j 0.0226364+0.00453333j 0.0030702+0.0370238j -0.0667688+0.00121805j -0.0107757-0.00847087j 0.022764-0.0132793j -0.0226244-0.00429288j -0.00556664+0.0220589j -0.00783806-0.0594813j 0.0125498+0.0120302j -0.0294864+0.0374669j 0.00224724+0.028014j -0.0860988+0.0659284j -0.0223298-0.0649401j 0.00768518+0.213595j 0.00735379-0.0545685j -0.0529799-0.109404j -0.0594019+0.145873j 0.0152669-0.114192j 0.0682352+0.135383j 0.157326+0.0615222j 0.166746+0.0741086j -0.211824-0.067582j 0.26821+0.0715548j -0.223863-0.0485276j -0.0318942+0.146768j -0.1371+0.0631219j -0.0278979+0.0275569j 0.0471568+0.0643333j 0.18085+0.293396j -0.104008+0.0575155j 0.212192-0.068192j -0.0313084+0.00840323j 
0.0399408-0.0262163j 0.0194869-0.0418355j 0.00399094-0.00397638j -0.00765664-0.011911j -0.0156906+0.0335175j -0.078881+0.0777005j 0.0249445-0.115681j 0.0171876+0.0216381j 0.0441432+0.0261098j 0.0977243+0.0488381j 0.00956778-0.00441j -0.0250839+0.0698153j -0.018425+0.121058j 0.0349724-0.107474j -0.101173-0.127505j -0.0648115-0.0866898j -0.0964556-0.0840722j 0.109216+0.136595j -0.150729-0.040289j -0.107383-0.00246572j 0.150584+0.164516j -0.199131-0.0375013j 0.0516438-0.0918196j -0.0333916-0.237092j 0.0218938-0.0755632j -0.0316546-0.00246246j 0.0418298-0.165448j -0.115022+0.262244j 0.125588-0.251201j -0.266133-0.000125236j -0.0364659+0.0303363j 0.184535-0.119864j 0.18421+0.0639502j 0.182028+0.283797j 
0.0174222-0.0140497j 0.00577131+0.0314329j 0.0102613+0.0098663j 0.0224516-0.0336458j 0.0272725-0.0312401j -0.0419156+0.0300658j 0.026857-0.060229j 0.0166536+0.0125594j 0.0208125+0.0167932j 0.0509249-0.00511587j 0.00579691-0.00147486j -0.00493886+0.0281576j -0.0283696+0.0591748j -0.0607408+0.126442j -0.0258491-0.100294j 0.0757565+0.184282j -0.0515617-0.0413479j 0.126584+0.0372631j -0.0482874+0.0631304j -0.338064-0.0145268j -0.0128579-0.254093j 0.0961151-0.00972615j -0.0465747-0.282483j 0.0754557+0.0645364j 0.106653+0.299816j 0.0999462-0.350825j 0.24346+0.0578486j 0.0336819-0.149282j 0.0944267+0.044882j -0.0298067+0.00870129j 0.254442-0.0131613j 0.099648+0.120872j -0.0753113-0.226339j 0.0722428+0.0943656j 
-0.0154412-0.00377451j -0.00429331+0.0265737j 0.0060062+0.0101246j 0.00818119-0.0034966j -0.000212148-0.0220879j 0.00510633+0.0201314j -0.0150075-0.0230213j 0.0241341+0.00741145j 0.0201706+0.00137141j -0.00766624+0.0357356j -0.00305206-0.00446143j 0.0180584-0.0102691j 0.00991289+0.017856j -0.0622436+0.0476906j -0.0278524-0.0367872j 0.00327044+0.0873927j -0.105915+0.00973322j -0.0869583+0.153296j -0.0506307-0.00739537j 0.00869464-0.118881j -0.365954+0.277742j 0.273821-0.268116j -0.0925509-0.0283468j -0.188779+0.0479671j -0.14517-0.0335227j 0.140343-0.054182j -0.0423859-0.207821j 0.365907+0.315827j -0.108971-0.13198j 0.0898494+0.0229246j 0.0664653-0.0055583j 0.0802153+0.0545341j -0.0479901-0.0915323j -0.00571724+0.0367218j 
-0.0307995+0.0621233j -0.0204668+0.000360556j 0.00437135+0.0157093j -0.00218437+0.049949j -0.000198322-0.0103921j 0.0373894-0.0735731j 0.0778916-0.00590533j 0.0794354+0.00841421j -0.00460698+0.0420854j 0.0172312-0.0234339j -0.0227215+0.0102795j -0.0292071-0.0143424j 0.00600869-0.0804899j -0.0843576+0.238446j 0.0820616-0.052713j 0.23403-0.0450667j -0.0368007-0.0344344j 0.0697421-0.112415j -0.2745+0.0326766j 0.0674659+0.101056j -0.0801781-0.327131j -0.108567+0.130232j 0.0969507+0.00544292j 0.038148-0.327843j -0.248416-0.145753j 0.0782451-0.0412895j -0.264589+0.0763004j 0.225807+0.0405532j 0.0609268+0.0406145j -0.153924+0.0516487j 0.0525629-0.193525j 0.0509853+0.20031j -0.0540044+0.00553573j -0.0530816-0.0485462j 
-0.00444779-0.00336348j 0.00716264+0.0144401j 0.0020198+0.00465976j 0.00316814+0.00422013j -0.0159723+0.000894403j -0.0328295+0.0133026j 0.00143121-0.00538881j -0.0205121-0.00576743j -0.00332379+0.000241375j 0.0165431-0.0352112j -0.00153542+0.002231j -0.00780586+0.0180382j -0.035135+0.0141095j -0.0142936-0.0446254j 0.0175651-0.00805222j -0.0879575+0.0136724j 0.0932013-0.00698539j 0.276986-0.281857j -0.155428+0.189938j -0.206248+0.236698j -0.109976+0.207755j 0.193346-0.147087j 0.174997+0.0202553j 0.0340057+0.13463j -0.235956-0.307548j 0.248502+0.296373j 0.201922+0.0865405j -0.0818841-0.0999485j 0.0766199+0.0683045j -0.0554957-0.0369104j -0.0301031+0.037679j -0.0119943-0.0341957j -0.0297869+0.000121147j 0.0408519+0.0163773j 
-0.0196017+0.0237535j 0.03815+0.00946828j -0.00171577-0.0165329j 0.0015832-0.0227693j -0.0173513+0.0116318j 0.0757443-0.146169j 0.0920992+0.0049262j 0.0952187-0.0136954j -0.0183743+0.05036j 0.00361728-0.0360813j -0.0290464+0.00593297j -0.0393234+0.00305171j 0.0732678-0.18624j 0.0911882-0.147313j 0.212548-0.0265252j -0.0785672-0.0247577j -0.250191-0.0300219j -0.129221-0.34679j 0.0329226+0.113885j -0.11481+0.134821j 0.0840506+0.0731851j -0.029975-0.166186j 0.0572003-0.295968j -0.0948019-0.0553494j 0.333037-0.0127469j -0.1319+0.108702j -0.0241807-0.0570218j 0.219039-0.0109808j 0.00272172+0.0495169j -0.104976+0.107633j -0.0269828+0.140919j -0.0430514+0.116859j 0.0547831+0.179605j -0.0857962-0.0786835j 
-0.0437511+0.0173101j 0.0280471+0.0351616j -0.0176887+0.00462321j 0.0116398-0.0037362j -0.011203+0.0070194j -0.10151+0.0146562j 0.0251585-0.0659844j -0.0253815+0.00555435j 0.00615186+0.00814068j 0.0242309+0.00191941j 0.0171638-0.00512416j -0.0329771+0.0173608j -0.0238664-0.000985584j 0.230296+0.0817198j -0.00899342-0.0469243j 0.141546-0.292818j 0.0581897-0.0221657j 0.0315698+0.0274837j 0.118153+0.123092j -0.0387521-0.140005j 0.328029-0.0146856j -0.205193+0.0504164j 0.184317-0.0374278j -0.231562+0.120612j -0.115505+0.0244399j -0.0933768+0.130545j 0.0646778+0.0954129j -0.0160876+0.181062j 0.0648396-0.142424j 0.0260495+0.0849784j -0.00334745-0.19583j 0.0536392+0.0835053j -0.0476451-0.00836846j -0.0189753+1.8223e-05j 
-0.0764941+0.0163787j -0.00150859+0.0308248j -0.000326731+0.00550107j -0.00439447+0.00758523j 0.00976279-0.010913j 0.124378+0.0144147j -0.0524135+0.117799j 0.0178183-0.0482199j -0.0162732-0.0339781j -0.0397885-0.0071076j -0.00585008+0.0106141j 0.0349637-0.0375689j 0.176671+0.107787j 0.0728816+0.0251254j -0.142166+0.260445j 0.0725441-0.0531493j -0.0900698-0.187889j -0.262128+0.00273328j 0.181838-0.0323189j 0.266882-0.0745671j 0.00271318-0.0425839j 0.0934703-0.0484309j 0.216359-0.0799263j 0.126811-0.0500169j -0.0147434-0.0147373j -0.0483208+0.129841j 0.0214192+0.126892j 0.0210167+0.0164635j -0.0923019+0.14585j -0.053049-0.186195j 0.00693496-0.0818834j 0.00807119-0.128124j -0.0515901-0.101236j 0.0684986+0.0209256j 
