0.0095312+0.0100851j -0.00175226-0.00682992j -0.0263543+0.000359286j -0.0116141-0.000548169j 8.05732e-05-0.00737234j 0.0485555-0.00096915j 0.00775609+0.0250444j 0.025325-0.00731439j -0.00267531+0.00244451j -0.0128184-0.00943274j 0.000435009+0.0209805j -0.0102632-0.00797167j 0.0272542+0.0318549j -0.0149099+0.0519022j -0.0111087-0.00120808j 0.00457191+0.0105387j 0.0165821+0.00134296j 0.0214195+0.0094427j -0.0161989-0.00190645j 0.0228952-0.00143479j 0.00645493-0.0097979j 0.010994-0.00276869j -0.00768347-0.00319125j 0.0102783+0.00292192j 0.0136022-0.0105379j -0.0114736-0.00157234j -0.00551158-0.0137036j 5.71801e-06-0.00118865j -0.00191825+0.00156478j 0.00329769+0.0023772j 0.0103455-0.00211661j 0.0234149+0.00733455j 0.0302228+0.00236509j 0.0123385-0.00271348j 0.0218082-0.0091411j 0.000252368-0.0108788j -0.0391954-0.0172913j 0.00591561-0.00757939j 0.000397868+0.012171j -0.0170804-0.0172927j -0.00322423-0.00234779j 0.0032276-0.0139902j 0.0566774-0.0057592j 0.00812638-0.0450161j -0.0281871-0.00583685j 0.0442308-0.00495662j 0.0165765+0.00708643j -0.0159019-0.00049564j -0.0249931-0.00246181j 0.0187843+0.00264462j -0.0142723-0.000554743j 0.00466865+0.00275812j -0.00165+0.000684173j -0.0278349+0.00133507j -0.0075082+0.0119064j 0.0092921-0.00364217j -0.00358946+0.00180179j -0.000832842+0.00302751j 0.014036-0.00296395j 0.0139072-0.00245349j -0.0197996+0.00253131j 0.0111502-0.00622138j 0.00165113-0.000114302j -0.0736359-0.00580973j 0.0162417+0.000560718j -0.00945061+0.000577366j -0.0696158+0.00207264j 0.122768-0.00121598j -0.0503519-0.00506609j 
0.00156054+0.00139171j 0.00772586+0.00700079j -0.028973+0.00102689j -0.00510234+0.000977791j 0.00267583-0.0105096j 0.0261245+0.00302952j 0.00359905+0.015574j 0.0167359-0.0070973j -0.0046413-0.00287143j -0.00323268+0.024573j -0.00320459+0.00182209j -0.0215433-0.0337294j 0.0151084-0.0555211j 0.0209959-0.000337996j -0.00552583+0.00401814j -0.0069668-0.0262901j 0.0225316-0.0187346j 0.0161967+0.00469383j 0.0124761+0.0036056j 0.0135277-0.0084167j 0.0112434+0.0114204j -0.00422099-0.00133272j -0.0113177+0.00687942j 0.0166953+0.00587961j 0.00293874-0.00305334j -0.00817316+0.0035648j -0.0199689+0.0150955j 0.0173384-0.00436305j -0.00183726+0.00239189j 0.00233343-0.00341974j 0.00499397-0.00559998j -0.0203744-0.00227044j -0.00961807-0.00345938j 0.0065916-0.0024907j -0.0281288-0.0134333j -0.015285-0.00182995j -0.0131092+0.0169208j -0.0213255+0.00108518j 0.0314531-0.0159799j 0.00309603-0.000507697j -0.0289227+0.0191118j 0.0200039-0.00838679j 0.00334511-0.0291726j -0.0435371-0.0224778j 0.0059927+0.0100708j 0.0239158+0.0270792j -0.0668728+0.00544243j 0.00611587-0.00139751j -0.00433208+0.00607141j -0.00788698+0.00309901j 0.014183+6.90211e-05j 0.00495068+6.03524e-06j -0.00655315-0.00195731j 0.00171389-0.000583623j 0.0132599+0.00519079j 0.0110167+0.000285763j 0.0152527+0.00192765j -0.00187118+0.00165356j -0.0126314-5.0847e-05j 0.0269027+0.00535712j -0.0177083-0.00390331j -0.0415813-0.00367242j 0.0534643-0.00347939j 0.0339623-0.0045661j -0.000137071+0.000406998j -0.00315415+4.31064e-05j -0.0857213+1.76336e-05j -0.0109265-0.00512454j -0.11901-0.000537601j 
0.00371272-0.00670652j -0.00215384+0.00306394j -0.0269019+0.000918764j -0.0220386-0.00160983j -0.000942095+0.0105989j 0.0435347+0.0163322j 0.00312324+0.0262327j 0.0198923-0.0142734j 0.00818297+0.00690643j -0.0175259-0.00581101j -0.000255839+0.0530622j -0.0101307+0.0145228j 0.0196099-0.00852736j -0.00953733+0.0301036j -0.0130222+0.000301571j -0.0194771+0.00383787j -0.0139881-0.0279181j 0.00872657+0.00134468j 0.0205813+0.00524245j 0.0131323-0.00663315j 0.0353132-0.00869611j 0.00533122-0.00474872j -0.0325522-0.00362716j 0.0207007-0.00407833j 0.0149045-0.00135199j -0.000595692+0.000265968j 0.0285843+0.00549642j -0.0377085-0.00236016j 0.00428065+0.00069598j 0.00219134+0.00328728j 0.00280361+0.00254039j 0.0241035+9.32899e-05j 0.0266649+0.00367616j -0.00726104-0.0126598j 0.00923227-0.00350953j -0.0138568-0.00971556j 0.0237758+0.00797873j 0.00143032-0.00242216j -0.0430282-0.0189363j -0.0405386+0.0109625j 0.00230241+0.00430991j -0.0549028+0.00729385j -0.0247464-0.0008237j -0.00748792+0.0328342j -0.00137369+0.0138829j -0.00644431+0.0151535j -0.0429214-0.00846792j 0.010555-0.00089634j 0.0289318+0.00751536j -0.0058458-0.000819456j -0.00852335+0.00312711j -0.00598452-0.000404428j 0.0149482-0.000113569j 0.0114118-0.00295463j 0.0140345-0.0127999j -0.00918911+0.0036429j 0.0244413+0.000585689j -0.0101219-0.000439133j -0.0189395+0.00349873j -0.00262683+0.0046822j -0.0447488-0.00707879j 0.00374695+0.00832889j 0.0136215+0.000703649j 0.0394466+0.0078282j 0.00147612+0.000313446j 0.00927374-0.000305332j 0.0378276-0.00700496j -0.155373-0.000880629j 0.0223696+0.00366908j 
0.0180434+0.00194048j -0.0224346-0.00713079j -0.0399365-0.00952669j -0.0349342-0.0142665j -0.00147047-0.0494177j 0.0816119-0.0187338j 0.00453051+0.0417228j 0.0439986-0.0104325j -0.0134751+0.00812689j -0.0294736+0.00547611j 0.00153649-0.0186045j -0.00369627-0.016979j 0.0209177-0.0124323j -0.0164434-0.0136203j -0.035904-0.000983387j -0.0266547+0.00873643j -0.023872-0.00918516j 0.0360615+0.0294076j -0.0225213+0.000939236j 0.000430646+0.00593856j 0.000921348-0.00435783j -0.015713-0.00360525j 0.00209442-0.00571532j -0.0387978-0.00025768j 0.0198806-0.0102165j 0.00772902+0.000375248j 0.0364723-0.00268079j 0.0344814-0.000561945j -0.00384644+4.60174e-06j -0.00347527-0.00157187j 0.0226048-0.00353318j -0.0413584-0.00183381j -0.0191011+0.0113443j 0.00240781+0.00443061j -0.0123234-0.0118087j -0.0021893-0.00331532j -0.00154736-0.013598j -0.00500703-0.00668901j -0.0160119+0.00416764j 0.0156959+0.00791592j -0.0263033-0.00485052j -0.00143374+0.00265161j -0.0201054+0.0210295j 0.00735863+0.0169171j -0.0072147-0.0114896j 0.00206752-0.0174561j -0.000433882-0.00503851j -0.00765792+0.00154603j 0.00277795-0.00264274j -0.013998+0.000396132j 0.00566881+0.000257406j 0.0028683-0.00123094j -0.00879494+0.000309874j 0.00349943+0.00124435j -0.0149883-0.00355828j 0.0198294+0.000828658j -0.0039836+0.000168613j 0.0160894+5.34057e-05j 0.00241814+0.0011392j 0.0103302-0.00259139j -0.00418023-0.00244034j 0.0236252+0.00589675j -0.0222765+0.00348224j -0.00310084+0.00946335j -0.0104583-0.000556661j 0.00914327-8.21476e-05j 0.0637579+0.000489439j -0.00156546+0.00239172j 0.111358+0.000295799j 
-0.00904659-0.000552018j 0.0132493+0.00294234j -0.00959565-0.0250559j -0.00658295-0.0139934j -0.00147045-0.0218765j -0.00476717-0.0370136j -0.00338158-0.00485663j 0.00486792+0.00846073j -0.00376226+0.0142942j -1.62155e-05-0.0437322j 0.00624364-0.0186173j -0.0180702+0.0287507j 0.00769608+0.0096099j 0.0024134-0.00542631j -0.000612585-0.00486454j -0.00249565+0.0175327j 0.0053927-0.00382732j -0.0125827+0.0112416j -0.0427065-0.000847497j -0.0348888+0.00632212j -0.0156585+0.00209227j 0.00527662-0.00333222j 0.0411349-0.00502884j -0.0207133-0.00608992j -0.0504255+0.000765601j 0.0291643-0.00239985j -0.000362252+0.000689697j 0.0322634+0.0080171j 0.00297459-0.00567244j -0.00826662-0.00222152j -6.75098e-05+0.00141435j 0.00861444+0.00717172j 0.0120452+0.00194964j 0.010004-0.0087935j -0.011868+0.00318608j -0.0119028-0.00583883j 0.00235314+0.0101493j 0.0226567+0.00226763j -0.00732666-0.0097784j -0.040598+0.0090225j 0.0278469+0.0141159j -0.0404003-0.00203548j 0.0287212-0.025472j -0.0270589-0.000492548j 0.0171208+0.0245155j 0.0152799+0.0157273j -0.0239192+0.00443911j -0.0214607+0.0017485j 0.0111606+0.00616285j -0.00910519-0.00103319j -0.00763076+0.00138813j -0.00455423-0.000276833j 0.00719117-0.000105779j 0.0424471-0.0028331j 0.0234829-0.0042754j -0.0168885+0.00126519j -0.0265731-0.00208623j -0.00619047+0.00159572j -0.0298609+0.0040965j 0.0135538+0.00588916j -0.0201558-0.00136784j 0.00113694+0.000902586j 0.0143847-0.00421294j 0.024861-0.00102418j -0.00319181+0.000719268j -0.0111194-0.000916535j -0.0371882-0.00366613j -0.0975877-0.00336871j -0.102532+0.00167182j 
0.00705117+0.0105172j -0.00761493-0.00169325j 0.0255405-0.00560319j 0.00811288-0.0025106j 0.000116906+0.0133466j -0.0223793-0.00852361j -0.0011246-0.018252j -0.0114333+0.0150051j -0.0010983-0.0103455j 0.00851433-0.0053023j -0.000896021-0.0382414j 0.0170628-0.00518395j -0.0113532-0.0405772j 0.0020936+0.0771681j -0.00437878-0.0209535j 0.0349959-0.0281276j -0.00380929+0.0100844j -0.0187036-0.00741427j -0.00780964+0.00495869j -0.0062291+0.0143005j -0.00325491-0.00842908j -0.00362559+0.00793369j -0.0053388-0.00825469j -0.0187579-0.011379j 0.00299489-0.0140704j 0.0042482+0.0115956j -0.0150514-0.016097j 0.0299623-0.00681223j -0.0142995-0.00591041j -0.00168793-0.00065851j 0.0226397-0.00551186j -0.0209965+0.000470452j 0.0112534-0.000940868j 0.00451148-0.00636032j 0.0142891-0.0346334j -0.0410045-0.0306805j 0.0201368-0.00236586j -0.00775393+0.00921813j -0.0188134-0.0201384j -0.0146431-0.0114197j 0.00123596-0.00875362j -0.0249012-0.00828721j -0.0771253-0.00807634j 0.0247659-0.0119276j -0.0642851+0.00156631j -0.0106855+0.00589247j -0.0428941+0.018081j -0.00810165-0.00301563j 0.00650872-0.00214226j 0.00608991+0.00414644j 0.0301196-0.00162156j 0.0149356-0.0017841j -0.0242576+0.00323148j -0.0301034+0.00130337j -0.0268183-0.0103764j 0.0101821+1.80764e-05j 0.0702002-0.000252409j 0.00117196-0.00101564j -0.0254488-0.0022944j 0.00305565-0.00698362j -0.0101825-0.00268056j 0.045582+0.00119782j 0.0581079-0.000152001j -0.064538+0.00115142j -0.00173886+0.00171635j 0.0229413-0.000410931j -0.0119-0.0028708j -0.0413332+0.000257739j 0.0565744+0.000751478j 
0.0086693-0.000756097j -0.0135187+0.00376295j 0.0349775-0.00610924j 0.00892413-0.00988972j -0.000152047+0.0126308j -0.0160475-0.00851971j -0.00620268-0.00556182j -0.00991642+0.000412592j -0.00260566-0.0195636j 0.00748631-0.000886943j -0.00981852+0.00433084j 0.00221426+0.0285478j 0.00332819-0.0137767j 0.0067131+0.0143604j -0.00385231-0.00478093j 0.01782-0.0143874j -0.0489551-0.00771593j 0.0305244+0.00311042j -0.0143347+0.00674749j -0.0074666-0.00585419j -0.0395435+0.00197519j -0.00343019-0.00264107j -0.00185911+0.00842957j -0.0118011+0.00841521j 5.42588e-05-0.0155646j -0.000648659+0.00249602j 0.000308516-0.0052062j -0.0398288-0.0129281j -0.00207499-0.00206284j 0.00221705-0.00845639j -0.020549-0.0131728j -0.00203785-0.0224792j 0.0101167+0.0148577j -0.0284394+0.00563584j 0.0214587-0.00582997j 0.00514534+0.001906j -0.00436534-0.00598535j 0.0306685-0.00957859j -0.0312656-0.0107039j -0.00888735+0.0302393j -0.0660765+0.00623258j -0.0131666-0.0044927j 0.036252+0.0256099j -0.0471082+0.000498927j 0.0279385-0.0224312j 0.0188094-0.00224359j -0.0362764-0.00509725j 0.00146017+4.9904e-05j 0.0198963-0.00474652j -0.0185503+0.00279002j 0.0047347-0.00116895j -0.00756199-0.00266319j 0.0020994-0.000377586j -0.0105827+0.00257633j 0.00954211+0.00449452j 0.048216-0.00318642j 0.0220627+0.00153613j -0.00520066+0.00247071j -0.00299557+0.00011652j 0.104318-0.00238317j -0.00116376-0.00280249j 0.0551155+0.00516992j 0.0177757+0.00873631j 0.0647181+0.0103699j -0.0067528-0.00140402j 0.0102748+0.00140227j 0.0321212+0.00789376j 0.0667109+8.96969e-05j 0.0764168-0.000552379j 
-0.00668742+0.000657708j 0.00343391-0.0112753j -0.00919224+0.0135886j -0.00493159+0.0112762j 0.00994576-0.0104853j 9.81269e-05+0.0203593j -0.00724967-0.00462698j 0.00539975-0.0033189j -0.00247906-0.00876714j 0.00220259+0.0247818j -0.0126392-0.0265688j -0.00818715-0.0284856j 0.00752064+0.0379204j 0.00868406+0.00689579j 0.00580769+0.0112237j 0.0313468+0.0276066j -0.0306535+0.0139209j 0.0256097-0.00617796j 0.024926-0.00604959j -0.0263123-0.000130942j 0.0240042-0.00913271j -0.00686011+0.0140787j 0.0137116-0.0151972j 0.0120568-0.00449624j 0.0280175+0.00977484j -0.0202374+0.00326373j -0.00186852-0.0151043j 0.0250118-0.0019054j -0.00818262-0.00446988j -0.0114287+0.00383244j -0.00453823+0.00577319j 0.0355595-0.006666j -0.0629888+0.00313564j -0.0225547+0.0220418j -0.0110089-0.00705543j -0.00687153-0.0104936j 0.0518865-0.0158765j -0.0841828-0.0154689j 0.0501011-0.00101839j -0.0291424-0.0224531j -0.0106708-0.00967487j -0.0698537+0.00499896j 0.0431274+0.00435238j 0.0342205+0.00299203j -0.0177635+0.0172228j 0.0213609-0.01727j 0.0556007+0.0065867j 0.0115059-0.000408754j 0.000646975+0.00334141j 0.00667782-0.00221493j -0.0120851+0.00112291j 0.00101557-0.000609072j 0.000613785-0.000454766j -0.00113558-0.00210176j 0.0263065-0.00269509j -0.0116164+0.00211116j -0.0253093+0.00232724j -0.0271663+0.00175055j 0.051144+0.000114283j 0.0628766-0.0100919j 0.0323752+0.00873062j 0.0621561+0.00530966j -0.0311863-0.00140371j -0.0551013+0.00524489j 0.00460422+0.000403173j -0.00657199-0.0012455j -0.00649645-0.00582722j -0.0917904-0.00221966j -0.0231982+0.00122048j 
-0.00453499-0.00538343j -0.000678556-0.00318365j 0.0130581-0.00901871j 0.0104973+0.00400416j -0.00351176+0.00218136j -0.0216558+0.0240233j -0.00480587+0.00169636j -0.0105778+0.0165005j 0.00486912+0.00797484j 0.00535492+0.0347716j -0.00211451-0.0433325j 0.000212757+0.033829j 0.00242988-0.00281931j 0.00234855+0.0326082j 0.00868969-0.0037977j -0.0022367+0.00482068j 0.00927028-0.00461196j -0.0249634-0.00115613j 0.016244-0.0103167j -0.00265971-0.00475728j -0.00370833+0.00372489j 0.00874959-0.00387795j 0.00143307-0.0116656j -0.0270398+0.0103062j 0.00896845-0.00324647j 0.0185373+0.00181762j 0.0239831+0.00753138j -0.000437766+0.00915j 0.00488334+0.00652247j 0.00602099+0.00361749j -0.00825843+0.0148848j -0.0114166-0.00938052j -0.0446923+0.0205508j -0.0407593-0.0192751j 0.0186687+0.00903334j 0.0256267-0.00873887j -0.0120761-0.00627513j -0.0399776+0.00396955j -0.00998589+0.00721236j 0.0101158+0.0103793j -0.036116+0.00953593j -0.0142654+0.00283681j 0.0585308+0.0100009j -0.0278098+0.00740865j 0.0487208+0.00914369j 0.011869-0.00358472j -0.0212538-0.00430399j 0.0318053-0.00064061j 0.0111024+0.00414468j -0.00536716-0.000199534j 0.0062703+0.00190495j -0.0136478+0.00292238j 0.0304137+0.00168936j 0.0146349-0.000258259j 0.0157284-0.00282104j 0.0159485+0.00124164j -0.02801+0.00561784j -0.00392983+0.0028004j -0.0351567-0.00065771j -0.0181695+0.00287379j -0.0821736-0.00441568j 0.00993627+0.00185689j -0.012608+0.00173788j -0.0240034+0.0030587j 0.00194996-0.000318643j 0.00821436+0.000497025j -0.00241508-0.00237905j -0.00857882-0.000405056j 0.0147645-0.000356853j 
-0.0022907-0.00654199j 0.0170994+0.000574432j -0.0217942-0.00349141j 0.0028816+0.000554672j 0.00200433+0.0135164j 0.00856157+0.0144371j 0.000303621+0.0254627j 0.00889352-3.37272e-05j -0.00131445+0.00110124j -0.0101159+0.0068469j 0.00440297-0.0359769j -0.00440053+0.0159961j -0.000698616-0.0149115j -0.00125065+0.0325625j 0.0109026-0.00198169j -0.0129374-0.000895779j -0.0101205-0.00887993j 0.0269203-0.0009094j -0.00519451-0.00866549j -0.023187+0.00255143j 0.0413953-0.00526798j -0.000955921-0.00620995j 0.0317468-0.0173403j 0.0525851+0.00790704j -0.00805035-0.00502777j -0.00861108-0.00477934j -0.00540537+0.00785491j -0.0097852+0.00973167j 0.00444904+0.00821571j -0.00359175-0.000909931j -0.0219498+0.00897832j -0.00514825-0.00682867j 0.0111481+0.0099234j -0.00432309-0.0120215j 0.00395275+0.0145052j 0.00150126+0.00438189j -0.0315729-0.0132672j 0.00108783+0.0082832j -0.00944354+0.0273244j -0.0296013-0.0128192j -0.00562544+0.00604702j 0.115911-0.0107903j -0.0236599-0.00229309j -0.00755577-0.0126057j -0.00157999-0.000383301j -0.029334-0.0109021j 0.0597967+0.00112575j 0.00379656-0.00228458j -0.00863675+0.00559577j -0.0203598-0.00032922j -0.00426931+0.00174472j 0.000829701+0.000866233j -0.0130324-0.0013152j -0.012389+3.70357e-05j 0.0503308+0.00865119j -0.00975504-0.0042554j -0.0220759+0.00405129j 0.0164769+0.00328836j -0.0676074-0.00423907j -0.00295256+0.00144843j 0.0439223+0.00151118j 0.0465136-0.00629835j -0.0434578-0.00617229j -0.00971166-0.00331276j 0.0101233+6.05816e-05j 0.00844571+0.000545944j 0.00726556+0.00292342j -0.0108321-0.000763134j -0.0865094+2.02726e-05j 
-0.00582886+0.0027085j 0.00509784+0.00207579j -0.0128776-0.00699982j -0.0026056-0.0253184j -0.00675287-0.00887955j -0.00447046-0.0073286j 0.0149764-0.014093j -0.00564754-0.0121835j 0.010619-0.0400969j -0.00905391+0.0294071j 0.00513998+0.0121324j 0.00139305+0.0118574j -0.00164463+0.0201219j 0.00724985+0.00810435j -0.000358365+0.0156346j -0.0137705-0.00339375j 0.0379309-0.00504467j -0.04234+0.00733944j -0.0184438+0.0067872j -0.0238368-0.00369009j 0.046604-0.000638337j 0.0447809+0.0116909j 0.00952802-0.00224827j -0.0212128-0.00211876j 0.0394678+0.00673956j 0.0177652-0.00503858j 0.00517931+0.0115147j 0.00614709+0.00669331j -0.020809-0.011901j 0.0180475-0.0307406j -0.00464641-0.0273977j -0.0183464-0.0118373j 0.0173383+0.0064948j -0.0291536+0.00955672j -0.00646467+0.000229987j -0.00164301+0.0156492j -0.0402296-0.00483941j -0.015589-0.00205945j 0.0029311-0.00488103j -0.00358677-0.0058127j 0.0185639+0.00964972j 0.0308034+0.00375931j -0.00110839-0.0131668j 0.0176398-0.00789111j -0.00645801+0.0105263j -0.00100096+0.0103296j 0.0217115-0.00267384j 0.00573294+0.00111024j -0.0143152+0.00660457j 0.00929157+0.00106651j -0.00725271+0.00134923j -0.0203862-0.00218579j 0.0295913-0.00482505j -0.0174228-0.00490655j 0.0120944+0.000296779j 0.0361307+0.00338724j -0.0172509+0.00132617j -0.0483109+0.00173661j -0.0291459+0.00297494j -0.057447-0.000233927j 0.0221816+0.00143825j -0.0592371-0.00631252j -0.00397861-0.0063097j -0.0385048-4.70455e-05j 0.00116641+0.000567789j -0.00852766-0.00101807j -0.0131393-0.00410438j -0.0316031-6.01264e-05j -0.0118417-0.000306189j 
