-0.0705853-0.00898421j 0.00275053+0.160546j -0.0873224-0.0964199j 0.444938+0.343642j 0.255019+0.277232j 0.458454-0.519502j -0.0438928+0.0170725j -0.073125-0.0338897j 0.0204357+0.0247001j -0.00668032-0.0272525j -0.0650145+0.0357683j 0.0668926+0.0766011j 0.0217006-0.027544j -0.0188047-0.155168j -0.0859879+0.0285632j 0.012397-0.0032189j 0.0142736-0.00492222j -0.00385269-0.00331392j 0.0170522+0.0250193j -0.00616002-0.00811644j -0.0100041+0.00932844j 0.00851732+0.00566242j -0.00187644+0.0031026j 0.0327744-0.0272544j -0.0250762+0.0176899j 0.00430907+0.00366186j -0.0110023-0.019102j -0.0109182-0.0221091j 0.0226323+0.0191671j 0.0107194+0.00265441j 0.0380552+0.0222012j -0.0189471-0.0273308j 0.0103525-0.0339705j 0.00719603-0.036374j 0.0394599-0.0238373j -0.00861245-0.00775891j 9.62269e-05+0.0146676j 0.0425127+0.00311825j 0.0107245+0.0248594j 0.00642226-0.0113451j 
-0.0735766+0.0115756j -0.0231862-0.127611j 0.370314+0.565007j 0.398068-0.106758j -0.428493+0.401392j -0.0400594-0.00185652j 0.0958371+0.0482962j 0.052106+0.0338336j 0.0491918-0.108948j -0.0509345-0.0232875j -0.00526431-0.085253j -0.016744-0.0755021j -0.046801-0.000923351j 0.022243+0.0314721j 0.0254434-0.0187644j -0.022904-0.00647209j -0.0362152+0.0120336j -0.00619475-0.00401204j 0.0132156+0.0333868j -0.00738339+0.00578977j -0.0234699-0.0161712j -0.0116661-0.0455145j 0.00903385-0.0115439j 0.0509765-0.0211536j -0.00200503+0.0122813j -0.00249679-0.00129329j -0.0103825+0.00883314j 0.0323291-0.0178935j -0.00289024+0.00768192j 0.0150563+0.00692732j 0.0192925+0.0252573j -0.0358935-0.0340156j -0.0234372+0.00012298j 0.0134284-0.00485056j 0.00393029-0.000213179j 0.00153071-0.000853593j -0.017111+0.0296874j -0.0144217-0.00648919j -0.00687263-0.0151328j -0.00866023+0.00791935j 
-0.0105595+0.021195j 0.00294021-0.00996276j -0.0317028+0.0998881j 0.0725745-0.118918j 0.0522159-0.0387502j 0.0777462+0.120013j 0.0239894-0.0965068j 0.0125223-0.268202j 0.00736392+0.101415j -0.00985132-0.0779306j 0.00294953-0.24317j -0.00482564+0.468423j -0.0103045+0.0436006j 0.00382684+0.0627157j 0.0070673+0.663478j 0.03468-0.068367j 0.0421017+0.0310767j -0.0437122-0.00972996j 0.01836+0.0205086j 0.00721237+0.0203223j -0.0531001-0.0532753j 0.0107247+0.0171587j -0.0361596-0.0709719j 0.00173846-0.0311365j -0.0173532-0.0462386j -0.00316669-0.00904008j 0.00169816+0.0183733j 0.0250413-0.0328981j -0.0414266-0.160606j -0.0315755-0.0125214j 0.00215811+0.0595799j 0.010497+0.0453201j -0.00211372+0.0225144j -0.0229373+0.147042j -0.0436326+0.0467962j 0.00853795-0.00853998j -0.0177909+0.0589084j 0.0203131+0.0157845j 0.0630908+0.198448j 0.0719474-0.100421j 
-0.00300828-0.0730333j 0.00111783+0.00458877j -0.0394562+0.0977018j 0.00138866-0.0205524j 0.0595759+0.0373078j 0.0545264-0.0166647j 0.0107522-0.191857j -3.80899e-05-0.508614j 0.0124235+0.190546j -0.0113484+0.188608j -0.00948723+0.174295j 0.0156304-0.273346j -0.0077067-0.548546j -0.00311084+0.358565j -0.012236-0.0869814j 0.0421474-0.0515224j 0.0517053+0.0943361j -0.0253762-0.0842387j -0.0248441-0.0442253j 0.0148674+0.0509199j -0.0446879-0.0278224j 0.00632613+0.0319657j 0.0239383-0.116439j -0.0209724-0.0100928j 0.00143437-0.0615512j 0.00368922+0.0100652j 0.00875425+0.0247503j 0.0331123-0.0471686j 0.0474306-0.00336923j -0.0255644+0.0834346j 0.00715425+0.0120529j -0.0217466-0.000788078j 0.00851568+0.0192234j 0.0261392+0.0977272j -0.0319086-0.0704852j 0.0174952+0.0786385j -0.0386284-0.0141039j -0.0510263+0.0481643j 0.0391706+0.0210748j 0.00344064-0.0765169j 
0.0108628+0.0356818j 0.00010405+0.010898j -0.0659994+0.0759444j -0.0603889+0.017649j 0.10089+0.0120439j 0.0354663-0.0346716j 0.0101673-0.637153j -0.0201733+0.269186j 0.0186508-0.0859385j -0.000535572-0.473846j -0.00806886-0.293435j 0.00397068-0.286929j 0.0108015-0.0338957j -0.00633669+0.0209185j -0.0113149+0.061584j 0.0845989+0.151488j 0.0614006+0.0839371j 0.0621519-0.104717j 0.00667092+0.059767j 0.0304866+0.100962j -0.0160955+0.0462776j -0.0563411+0.0239411j 0.0325416-0.0717755j 0.0101912+0.00435583j 0.0084039+0.00407584j -0.00671271-0.0145866j 0.00828648+0.038105j 0.0615375+0.0342257j 0.00398549-0.00530726j 0.0534781+0.080632j -0.00908172-0.0199712j -0.0039079-0.0199435j -0.0248212+0.0315591j 0.0458782+0.0300062j -0.0369229-0.0366746j 0.0156986+0.0438171j 0.00966261-0.0114834j -0.0268562+0.0501054j 0.0198075-0.0153009j 0.00171401-0.0599932j 
-0.00151253+0.00589414j -0.0078707+0.0172941j 0.0355983-0.0169256j -0.0205057-0.00146578j -0.0165746-0.0298564j 0.0267143-0.0292204j -0.0636814+0.127058j -0.0645933+0.0685518j 0.0223194-0.0648724j -0.00819073+0.0706307j -0.0385985-0.0133182j 0.0658799+0.0174029j 0.00848862+0.12251j -0.0400267+0.0584303j -0.0643614-0.0468382j -0.04349+0.0293353j -0.0470513-0.00630807j 0.082645-0.0844152j -0.00643231-0.00419865j -0.0100976+0.00097771j 0.0694046+0.00438596j -0.0097463-0.0432057j 0.122129-0.101961j 0.00803864+0.00861707j 0.0304773+0.0111162j -0.00730971-0.0233207j -0.023316+0.0843545j -0.00700582-0.0347988j 0.254163-0.112793j 0.0425944-0.00927252j -0.0690746-0.0383861j -0.0293089-0.0412103j 0.0552553+0.136628j 0.0670231+0.0925584j 0.0664398+0.134314j 0.104995+0.374225j 0.0517502+0.118372j -0.189441+0.0543968j -0.153596+0.145821j -0.194963-0.543564j 
-0.0106317-0.0080767j -0.0162509-0.0284379j -0.00883464-0.00178162j 0.0286458-0.00298615j 0.030727-0.00527019j 0.00265722+0.0450515j -0.0354286+0.106468j -0.0315156+0.0246839j -0.0194589-0.0430368j 0.0352495+0.0485928j -0.0314239-0.00243757j -0.00302738-0.0149185j 0.0739046-0.0084639j 0.0714412+0.0377025j -0.0299925+0.130969j -0.0262451+0.0467572j -0.048675+0.0474333j 0.0445629-0.15794j 0.00738094-0.00628618j -0.0321654-0.00814675j 0.0902419-0.0359526j -0.033763-0.0136025j 0.083578-0.214374j 0.0273579+0.0325227j 0.0375277+0.0444568j -0.00440903-0.0291141j 0.0847048+0.0870651j -0.0496729-0.0978675j -0.146846-0.166116j 0.0300757+0.0651311j -0.018596-0.153974j -0.035686-0.141528j -0.113762-0.0502052j 0.160211+0.00430397j -0.0485855-0.124136j -0.583195+0.0506793j -0.0228946-0.0696805j 0.145699+0.344552j -0.0468831-0.166173j -0.0902187+0.107292j 
-0.0188864-0.00784635j 0.00737467-0.0222405j 0.0152685+0.00695542j 0.007623+0.00799836j 0.00808131-0.00431774j -0.013293+0.0158742j -0.0411037+0.0100669j -0.0166315-0.110265j 0.000571339+0.00196281j 0.0131458+0.0136578j 0.0479277-0.0827513j -0.0287567+0.117783j 0.007026-0.0358637j -0.0620449-0.0369674j 0.0126133+0.0977941j -0.0476006+0.0230398j -0.0608617+0.0184882j 0.0592711-0.0690872j 0.00227996+0.000727455j -0.00626309-0.0118802j 0.0945798+0.0253399j -0.0346754-0.0193205j 0.0944219-0.0536565j 0.015524+0.0314783j 0.0461069+0.0710158j -0.0345198-0.0272818j 0.0758217+0.0349128j -0.0738065-0.0758103j -0.13604+0.25902j 0.0316432+0.126383j -0.108964-0.24188j -0.0891825-0.166467j -0.12596+0.025415j -0.074773+0.123147j 0.221642-0.154745j 0.474384-0.0863961j 0.103149-0.0816134j 0.123273+0.0694619j -0.117637-0.410209j 0.096213-0.0619977j 
-0.00807252+0.0310129j 0.0307398-0.00684213j -0.00324601+0.00958822j -0.0204082-0.00141714j -0.010701+0.0138696j -0.0240444+0.00457207j 0.00469187+0.0834244j -0.0192589+0.0458407j -0.0451837-0.00730249j 0.0435369-0.0152492j -0.0584152-0.0163941j -0.0177776+0.0305622j 0.00438814-0.0485856j -0.000532802+0.0114509j 0.00567194+0.0409868j 0.00466589+0.0393353j -0.0117263+0.0713289j 0.0122107-0.117842j -0.00384293+0.00044693j -0.0151637+0.000473417j 0.0174028-0.121633j -0.0149871+0.0445323j -0.03223-0.244708j -0.0248148+0.00788779j -0.0451509+0.013723j -0.0091806+0.0268265j 0.0157161-0.136j 0.0339047+0.0572839j 0.0908964+0.13455j 0.0821864-0.015893j 0.599143-0.0863089j 0.524921-0.0601852j -0.00530012+0.210564j 0.0423678-0.103487j -0.0280995-0.14057j 0.118101-0.000643153j -0.0158047-0.0750136j 0.0593357-0.0927029j -0.109532+0.0751458j 0.00126037+0.0215724j 
-0.00193919-0.000180531j 0.024522+0.0193098j 0.0356031+0.00249899j 0.0430598+0.0245749j 0.0204531-0.0392632j -0.00219637+0.0416744j -0.00852368-0.00264545j 0.0257962+0.00502288j -0.00340743-0.0139126j 0.0152458-0.0167985j -0.0216178+0.0146837j 0.0251841+0.026446j -0.0198347+0.00652156j -0.0117145+0.0110829j -0.000148929+0.0101545j -0.0100939+0.00782963j 0.0100366-0.017521j -0.0221074+0.00295406j -0.276671+0.149667j 0.00602372-0.0188638j 0.00395183-0.0230933j -0.00634811-0.00333914j 0.0161824-0.0097834j -0.10912-0.268669j 0.0463221+0.123055j 0.557938+0.306144j 0.125199+0.0739952j -0.0247013-0.00542034j 0.0192545+0.00369085j 0.0293325+0.03364j 0.121966-0.0106916j -0.153138-0.00679846j -0.00458244+0.0029736j 0.0160517+0.0502086j 0.0558956+0.228249j 0.00741962+0.0172627j -0.122733-0.474776j -0.00247167-0.00626553j 0.00172329+0.0159256j -0.00415052-0.0223048j 
0.0394528+0.0179948j -0.0175351-0.00573784j -0.0145348+0.0122673j 0.0154547-0.0172703j 0.0203793-0.00500223j 0.012554+0.031467j -0.0361112-0.0280129j 0.00691756-0.104065j 0.0056865+0.00273185j 0.0103235+0.00512173j 0.016924+0.00758305j 0.0114156+0.00173604j 0.011896-0.0737793j -0.00108247+0.0438416j -0.00580181+0.07382j -0.0524877+0.0344483j -0.104863+0.035201j 0.128408-0.146364j -0.0272301+0.00939246j -0.044039-0.0174656j -0.00976928+0.277819j -0.0218035-0.0764257j -0.240188+0.00395411j 0.222467+0.111196j 0.469168+0.28114j 0.0530827+0.0171651j -0.16023-0.0503183j -0.0525601+0.211124j -0.00968068-0.0549701j 0.0773323+0.12482j 0.0327714+0.130905j 0.0337585+0.0668818j 0.130736+0.152567j -0.104455-0.323596j 0.050021+0.228177j -0.0461728-0.121218j 0.0181722+0.0898144j 0.0057964+0.00557709j 0.0139645-0.0567268j -0.00340212-0.0427165j 
-0.00116544+0.00136343j 0.0208756-0.0223259j -0.00434197-0.0360185j 0.0219486-0.0473593j -0.0463664-0.0252716j 0.0389171+0.00465614j 0.00669825-0.0225339j -0.0106637+0.0326536j 0.0121247-0.00371382j 0.0170069+0.00624518j -0.00775734-0.0209307j -0.0196443+0.0169428j -0.00506275-0.0197806j -0.0143724-0.00746274j 0.00226503-0.00666036j 0.00484644-0.0135329j -0.0053174+0.0189852j 0.0034056-0.0125827j 0.122083-0.516707j -0.0118946+0.04943j -0.0107766+0.0114639j -0.00335558+0.000151854j 0.00646134+0.00840589j 0.172461-0.0210548j -0.0665402-0.00658811j 0.594689-0.289093j 0.134799-0.0763319j -0.00564585-0.0347699j 0.0332105-0.00264055j 0.0163289-0.0260084j -0.0725877+0.191339j 0.0839605-0.221235j -0.00503529-0.00453267j -0.0162788-0.00248924j -0.118137-0.0662188j 0.0164468-0.00304885j 0.245206+0.102964j 0.0147334-0.00882347j -0.00318277-0.0145047j 0.0162572+0.00906604j 
0.0230608-0.0358715j 0.0142783-0.0147457j 0.000732183+0.0171744j 0.00131587-0.00390601j -0.00616191+0.0181171j -0.0075366+0.0098755j -0.0119087+0.0550825j -0.022-0.0339289j -0.0519415+0.0183485j 0.0274898-0.0285887j -0.0166569-0.00722823j -0.00585331+0.00348365j -0.00301062-0.079653j 0.000629661+0.0369488j 0.0116039+0.0529743j -0.0297426+0.0853968j -0.0451648+0.188309j 0.0295043-0.35543j -0.00367159+0.0188816j -0.0357237-0.0126687j 0.113576+0.0844709j -0.0672443+0.0648705j -0.114479+0.246266j -0.269156+0.0919696j -0.573796+0.214998j 0.0408738-0.0365939j -0.104337+0.181074j 0.0572022+0.171133j -0.0491677+0.0575115j 0.145444-0.149715j -0.0729697+0.0839654j -0.0749946+0.0367701j 0.10527-0.00421809j -0.154399-0.0835415j 0.0660084+0.029703j -0.0487978-0.010585j 0.0347507+0.0151507j -0.00752404-0.031828j -0.0414965+0.0246781j -0.0116423-0.00955842j 
0.0099245+0.00197913j -0.0268633+0.0006003j 0.0297641-0.051769j 0.0211977+0.0237229j -0.0288048-0.0244699j -0.012346-0.0105605j 0.0506405+0.120531j -0.038743+0.00500385j -0.0277148+0.039081j -0.042905+0.0496666j -0.00625579+0.00965624j -0.0236737+0.031043j -0.0121866+0.0424655j 0.00937437-0.0295944j 0.0178506-0.0188679j 0.143441+0.00223735j -0.0777338+0.245259j 0.0841158+0.103925j 0.0478613+0.0253143j 0.744076+0.174615j -0.0456656+0.0399202j -0.0682251-0.0869706j 0.00102349+0.0177523j 0.0225631+0.0241499j 0.0277484+0.094129j 0.0249254-0.00185584j -0.0268365+0.0112928j 0.0303683+0.236123j -0.0304168-0.0478694j 0.035326+0.261706j 0.00152288-0.0118089j -0.0184247-0.0430534j -0.0163298-0.0687193j -0.00858016+0.0982589j 0.016302-0.0895603j -0.0223529+0.043989j 0.00316196-0.022092j -0.00275556-0.0453709j -0.0212895+0.0604196j -0.00418009+0.0321499j 
-0.00766554+0.00713315j 0.000512909+0.0299435j -0.0328555-0.00340073j 0.00635188-0.022084j -0.00907223+0.0291541j 0.00205264+0.00540433j -0.0365236-0.0168788j -0.00508451-0.0559348j -0.080319+0.0653631j -0.00781191-0.137551j 0.0020599-0.028656j 0.00610873-0.0785009j -0.0136926-0.0933013j 0.0106039+0.0578917j -0.00691811+0.0711056j -0.124921+0.509868j -0.155628-0.148427j -0.198865+0.149818j 0.0322338-0.0646526j 0.270181-0.337036j -0.0413227-0.108622j 0.152668-0.219258j -0.00631372+0.0588185j 0.00456546-0.0374688j -0.0217141-0.0821247j 0.00284309+0.00310279j 0.010794-0.000796843j -0.162983-0.0563202j 0.0693081+0.00194263j -0.230721-0.141218j 0.0131383+0.0147766j 0.0291966+0.0317724j 0.0570771+0.0275261j -0.0734527-0.0375884j 0.0598898+0.0424238j -0.0251626+0.0106318j -0.00257318+0.0106492j 0.0169697+0.00114617j -0.0312427-0.00319703j -0.0100872-0.0248978j 
-0.00317607-0.0012527j -0.010728-0.00905172j -0.00335826-0.00367551j 0.0061053+0.000146315j 0.00975426+0.00251754j 0.00931317+0.000441207j -0.0522785+0.0357916j -0.033231-0.0205327j -0.00548108-0.00437172j -0.00223782-0.012218j 0.00315705-0.0220289j 0.0154002+0.00381841j -0.00708928-0.0218647j -0.0280052-0.00596486j 0.034542+0.00300334j -0.0720791+0.14241j -0.0659539-0.00474222j 0.0184629-0.0567822j 0.0110795-0.0194968j 0.0452305-0.0796796j 0.0338557-0.00610819j 0.0261688-0.0591383j 0.0284111-0.0332933j 0.00628669+0.0260922j -0.00499667+0.039326j -0.00444958-0.0190393j -0.00603237+0.0316172j -0.0610303-0.0103419j -0.0140613+0.0134377j -0.0125438-0.00510563j -0.00158868-0.063413j 0.00578036-0.0533394j -0.0433933+0.0118091j -0.00680967-0.0484949j 0.0261396-0.0454528j -0.118084+0.00408145j 0.00945846-0.0188342j -0.0287907+0.134989j -0.110385-0.068713j -0.04999-0.107183j 
0.00463233-0.00223729j 0.00960871+0.00194634j -0.0129254+0.00890714j 0.00997934-0.00776671j 0.00103356-0.00571377j -0.0190596-0.000449078j 0.0167959-0.0256688j 0.0289183+0.00263644j 0.00857034+0.00672544j -0.00524694-0.000708021j 0.0262817+0.0295217j -0.020255-0.0258214j -0.003994-0.00173523j 0.0144473-0.0227265j -0.00740317-0.0210567j 0.0106817-0.0219038j 0.0227921-0.0139898j -0.0221007+0.0390256j 0.00028054+0.000990091j -0.0201954-0.00324154j -0.0270929-0.000543524j 0.00895245+0.0117486j -0.0349055+0.0309341j 0.0115663-0.00247535j 0.0223342-0.00485485j 0.00313317+0.00837949j -0.000134813-0.0207389j 0.00210214+0.00435247j -0.0603165-0.0342816j -0.0213166-0.0144251j -0.0111889+0.0280636j -0.0154845+0.0246249j 0.0144208-0.0536761j 0.0346092-0.0644542j -0.000542291-0.00209069j -0.0890485+0.0227003j -0.00424501-0.0062244j -0.0407724-0.07163j -0.0185119-0.060996j 0.122448-0.000435793j 
-0.0105235+0.00189935j -0.0274675-0.00299976j -0.000872014+0.00501308j 0.00761584-0.0055687j 0.00247625-0.00946063j -0.00161871-0.0225034j 0.0318011-0.0132279j 0.00536487+0.0139159j -0.00362601+0.000734752j 0.00073681+0.00272295j -0.00888266-0.00431505j 0.0030386-0.00845848j -0.00713825-0.00596667j -0.0323611+0.00973308j 0.00270078-0.0539643j 0.0442101-0.0456032j 0.0189896+0.00277015j -0.0216175+0.0291017j -0.00130979+0.00461519j -0.00104173+0.0398954j -0.00542963-0.0119016j -0.0236892+0.0204918j 0.013151-0.0190423j 0.00278848-0.0168865j 0.0123237-0.0411952j -0.011616-0.00060874j 0.0368556+0.00699376j 0.00406372-0.033654j 0.0293632-0.0205245j 0.0058823+0.0236472j -0.0692433+0.00453366j -0.0566519+0.00544193j 0.0466637-0.0422406j 0.0251232+0.0494295j -0.0420859+0.029791j 0.0607932+0.0551573j -0.0147859+0.0239261j -0.0346091-0.0813182j 0.018227+0.0579758j 0.0204511-0.0400787j 
