-0.146559+0.0123889j 0.515685-0.46654j -0.477388-0.519334j -0.0484558+0.102727j -0.0437995+0.0544486j -0.0972712-0.0261548j -0.0964295-0.0218737j 0.0625038-0.0381038j -0.00778337+0.0806083j 0.0124049-0.0180789j -0.0210032-0.00982185j 0.00947728+0.0333371j 0.00167493-0.00662973j -0.025195+0.0119744j -0.0060322-0.0167897j 0.0394085-0.0260468j 0.00221653+0.00980624j -0.0313164-0.0268287j -0.00200349+0.0265016j -0.00318108-0.00548672j 0.0105782+0.0200609j 0.0237056-0.0349061j 0.0246801+0.0116249j 0.0143322+0.00695161j 
-0.00122692-0.0030538j 0.112823+0.0720367j -0.0787439+0.0681568j 0.249505+0.0182494j 0.608551+0.0103918j 0.0164453-0.000403204j -0.125592+0.000963966j -0.142063-0.00207751j -0.674291+0.00496912j -0.0530847+0.048275j -0.12861+0.0614671j -0.0371476-0.00860277j 0.00665672-0.000891232j -0.145537+0.0371811j -0.0281758-0.037653j -0.0199931-0.00231534j 0.0522843-0.01051j -0.0564252-0.024096j 0.0557749+0.0399087j 0.0200901-0.012453j -0.015094-0.00186469j -0.0448066+0.0482383j -0.0982932+0.02912j -0.0303424-0.0741399j 
-0.000887007-3.35417e-05j -0.0771411-0.0662178j 0.0241226-0.0850048j -0.623147-0.0172512j 0.300388+0.0121467j 0.0868984+0.00311282j -0.0944112+4.469e-05j -0.655665+0.00534289j 0.118787+0.00743507j 0.172768-0.0787682j 0.0944045-0.00795214j 0.0377211+0.0659922j 0.0777883-0.0259986j 0.0191189+0.00250064j 0.0402491+0.0200654j 0.0170875+0.0524426j -0.0103993+0.00386726j 0.0191841-0.0102157j 0.0178504-0.0283109j 0.00785319+0.00845138j 0.0636228-0.0505628j 0.0214515+0.0102368j 0.0167977-0.0602629j 0.0313554+0.032463j 
-0.015838-0.00219969j -0.0152307+0.0392985j -0.0333218-0.0239845j 0.0503236+0.0763569j 0.00218737+0.0734899j 0.0390115+0.0161883j 0.0973766+0.0382454j 0.0173494-0.0123717j -0.0411342+0.0441919j 0.0441008+0.0736606j 0.115521+0.157495j 0.0847667+0.0358996j -0.0397811-0.0488568j 0.151615+0.250063j 0.103359-0.0282957j -0.0158413+0.0357424j 0.0379462-0.072564j 0.22088-0.138121j -0.0432377-0.00609166j 0.390437-0.287816j 0.0446461-0.0114316j 0.0533812+0.246723j 0.212098+0.00135024j 0.534345-0.188083j 
-0.0039636-0.0195527j -0.0156671-0.0134814j 0.0100036-0.0267969j 0.102837+0.0106928j 0.110036+0.0270397j 0.00955281-0.0248871j 0.0463346-0.0857727j 0.000126369+0.0193758j 0.00819812+0.0224013j 0.040204-0.00131915j 0.158682+0.00361938j 0.0566379+0.0155718j -0.0908507+0.00364704j 0.350219+0.0438235j 0.000732754-0.00617782j 0.0338833-0.00682094j -0.0377941+0.0288235j -0.0960414-0.0972545j -0.0132162+0.106542j 0.191398+0.755684j 0.00144946+0.0384322j 0.261378+0.0356094j 0.0923437-0.088657j -0.0418649-0.17551j 
0.0403787-0.0306466j -0.00174518-0.0156681j 0.0183345-0.00971629j -0.000944138+0.0620055j -0.0429824-0.00388591j 0.0541401+0.0173102j 0.0219069-0.00525837j 0.0187546-0.0257591j 0.0615647+0.0165445j 0.0795704+0.0945823j 0.148284+0.186456j 0.114495+0.00179046j 0.0122869+0.122297j -0.10512-0.168808j 0.243929-0.138298j -0.0141361+0.0362795j 0.346256-0.464789j -0.0811348+0.0907887j 0.0225772+0.217471j -0.0796636+0.085652j 0.261923-0.0465178j 0.102342-0.050932j -0.45257+0.134155j 0.101164-0.0411734j 
0.028339+0.0433905j 0.00065899+0.00344199j 0.00882957+0.00447687j 0.0844871+0.0281529j -0.00703664+0.00829807j 0.0257456-0.0473043j 0.0129678-0.0354603j -0.006971-0.0107022j 0.0489254+0.0106376j 0.112484+0.0480406j 0.377236+0.0502157j 0.118626-0.00189623j 0.0587067+0.108867j -0.224785+0.0180469j -0.0780863-0.165684j 0.0819191-0.00453143j 0.24384+0.686951j 0.0953552+0.0708095j 0.258802+0.0673675j -0.0487924-0.0211072j -0.00185993-0.151819j 0.0493207-0.0161426j -0.0555987+0.17743j 0.0137486-0.0689092j 
-0.0132644+0.0218285j -0.0317904-0.0319949j 0.0390125-0.0244211j -0.0955976+0.0522081j 0.0110466-0.0199212j 0.0414029+0.0524524j -0.00782758-0.000227252j -0.0353095-0.0270041j 0.0339313+0.00820578j 0.0485139+0.170125j -0.152748-0.136249j 0.244381-0.0660147j -0.241049+0.653234j -0.0319146+0.22765j -0.0593688-0.0054661j 0.0581289-0.134288j -0.104249-0.0126751j 0.000157276-0.0332715j -0.01617-0.0177375j 0.0157808+0.00240218j -0.411334+0.09224j 0.0516764-0.0220695j -0.17294-0.0120836j 0.0711692+0.0117606j 
0.0240431+0.00413776j -0.0283438+0.0200131j -0.0190048-0.0245837j -0.0575481-0.0493472j 0.031209+0.00831116j -0.0346031+0.0708356j 0.0126506+0.0127065j 0.0801875+0.013133j -0.0647208+0.000350572j -0.529864-0.141337j 0.195354+0.0103336j 0.00525736+0.234212j 0.340075+0.399273j 0.0811517+0.107899j 0.0274156-0.0617006j 0.261301+0.149195j 0.0349505-0.0354977j -0.0224627-0.00457232j -0.082687-0.0028453j -0.000297312-0.00294375j 0.135552-0.265247j -0.0561563+0.0273977j 0.0705221-0.151302j -0.0443785+0.0699404j 
0.00718798-0.00468704j 0.00265393-0.00957006j -0.00330663-0.00549933j -0.00297472+0.0260596j -0.012936+0.00986394j 0.00200636+0.0157312j -0.0147004+0.0301695j 0.00932897-0.00468954j -0.0334733-0.0369408j 0.0242007+0.0270085j 0.00354607+0.017611j 0.00377847+0.00863339j -0.00959509-0.00308587j -0.0370155-0.0153175j -0.00277048+0.00696804j -0.00895126-0.0177055j 0.0310621+0.0142702j -0.0333006+0.0551124j 0.0304026+0.0235133j -0.0422363+0.0934797j 0.00854449+0.00982962j 0.0664732+0.0512311j -0.037234+0.0368823j 0.0387171-0.0196897j 
-0.00229013+0.0101862j -0.010953-0.00688244j 0.00195003+0.0179126j 0.00859659-0.0296108j 0.0268171-0.0322431j -0.0110073+0.00728049j -0.0162057-0.00709586j 0.00967139+0.00563898j -0.0162144+0.0195998j -0.0199204-0.0169664j -0.0139338-0.0355829j -0.0203347+0.000370985j -0.0109257+0.0131251j 0.0270182-0.0406267j -0.036524+0.0127382j 0.00713113-0.00531451j -0.00964831+0.0172417j -0.0684146-0.0167633j 0.0316774+0.0203149j 0.0593276+0.0864589j -0.00687797+0.0142758j -0.0578434+0.053864j -0.00782343+0.0238127j 0.0216253+0.0879597j 
