0.0648278-0.00771413j 0.0728647-0.136373j 0.110637-0.0427389j -0.0170566+0.192263j -0.0194068-0.0266407j 0.036532+0.0739798j -0.0529664+0.223756j -0.0821759-0.0059117j -0.00282841-0.16367j 0.202317-0.0542483j -0.365293-0.0374018j -0.156869-0.187752j 0.105899+0.00915627j -0.19253-0.27337j -0.0986311-0.0243224j 
0.114142-0.0749773j 0.0435617-0.254488j 0.0184117-0.108871j 0.00314028+0.0433319j -0.131344-0.156425j 0.404281+0.10997j -0.143972-0.103589j 0.0055556+0.0595777j -0.0612544+0.270375j -0.0940662-0.120356j 0.0724607-0.188404j 0.0872834-0.355724j -0.356967-0.0714996j -0.207977+0.0750972j 0.260339+0.301918j 
-0.0241823+0.000454861j -0.0579171-0.0105595j -0.0645657-0.0852501j 0.249611+0.0898959j 0.281651+0.17884j -0.100213+0.143093j 0.127769-0.387724j -0.0107875-0.0382109j 0.213721-0.0614839j 0.0509292-0.00989305j 0.0225989-0.146762j -0.0360117-0.112394j 0.115787-0.0337132j -0.0243475-0.0133871j -0.0888064+0.0191221j 
0.0783591-0.101158j 0.0218507-0.223146j -0.0450444-0.0500802j 0.0073337-0.179133j -0.253301+0.000845397j -0.281187+0.028606j -0.0288159-0.358147j 0.207932-0.0134461j 0.0514754-0.406454j -0.228866-0.0379098j 0.278373+0.0324355j -0.0186941-0.0874234j 0.072481-0.0622511j 0.0764054+0.277722j 0.0769943+0.0640024j 
0.0895302+0.0214532j 0.0356752-0.0367609j 0.105401+0.0281743j -0.0295847+0.122688j 0.00351661+0.162658j -0.0650201-0.0034539j 0.219514+0.0167225j 0.0281748-0.0353263j 0.132889+0.370599j 0.0757696+0.151861j 0.290148-0.181867j 0.252046-0.11733j -0.0577449+0.0842704j 0.051501-0.00826001j 0.0229014+0.00857242j 
0.212381-0.282801j -0.23965+0.0175538j 0.339897-0.0427262j -0.0767083-0.364106j 0.0197443-0.188253j -0.0943367+0.111414j 0.0941416+0.322192j -0.0281401-0.0814668j 0.157095-0.0456316j 0.449611-0.0913552j 0.128022-0.134644j 0.00297673+0.128304j -0.0124257-0.0993327j 0.0824719+0.243124j 0.0954273+0.0279519j 
0.13478-0.0165734j 0.189514-0.300729j 0.145383+0.00673604j -0.183491+0.139977j -0.42019+0.0322561j -0.219614-0.037727j -0.00923008+0.187018j 0.10427-0.00402737j -0.0498861-0.268068j -0.0110714+0.0610298j -0.0093146+0.0110573j -0.0187142-0.219667j 0.112613+0.0324927j -0.0836905-0.114478j -0.0525753+0.0113022j 
-0.0389589+0.0244216j -0.00905143+0.0691761j -0.0570789+0.0345931j -0.0142423-0.054686j 0.0113743+0.0209328j -0.0184996-0.0562105j 0.023452-0.0743225j 0.0479721-0.00162854j -0.00760389+0.0797853j -0.102858+0.029893j 0.147112+0.0661937j 0.0971058+0.0545586j -0.0374186+0.0680844j 0.0948401+0.0596441j 0.026891-0.0926375j 
-0.0279149+0.0395444j 0.0374154+0.0349198j -0.0247296+0.0371543j -0.0287582+0.0501624j 0.0355115+0.0358976j -0.0731136-0.0348687j 0.0247325+0.0284596j 0.0178856-0.0393119j 0.00153825-0.0713092j 0.0148844+0.0643313j -0.0353318+0.06531j -0.00447372+0.036636j 0.0216133-0.00686956j 0.0155377-0.0658544j 0.00574467-0.0340434j 
-0.000848153+0.00476974j 0.0125052-0.000237136j -0.0183402+0.00363642j 0.0140557-0.0108283j 0.0324485-0.0118176j -0.00935322+0.0460124j 0.00856973-0.0862131j 0.00185533-0.0150062j 0.0504173+0.00127267j -0.028256-0.0127089j -0.0557345+0.00358743j -0.0343007-0.00690617j 0.0182668+0.00483096j 0.0245844+0.011944j 0.0163434-0.0298352j 
-0.000636154+0.0056785j 0.0247195-0.0220714j -0.00653332+0.00224083j -0.00861505+0.0475464j 0.0154972+0.000406588j 0.0126234+0.00607175j 0.00896146+0.028604j -0.0215864-0.0136963j 0.0310021+0.0117215j -0.0352413-0.0123755j 0.0142374-0.00573871j -0.0153218-0.00753015j 0.00359735+0.00581093j 0.0229792+0.00200074j -0.00851612+0.000207531j 
