1.01036-0j 0.10312-0j 0.104188-0j 0.00859331-0j 0.0106337-0j 0.00620298-0j 0.0595362-0j 0.0736723-0j 0.0429755-0j 
0.00300703-0j -0.7068-0j 0.684976-0j -0.119053-0j -0.00300655-0j 0.166613-0j 0.00868236-0j 0.000219263-0j -0.0121508-0j 
-0.0106337-0j -0.0988948-0j 0.104172-0j -0.399479-0j 0.474154-0j -0.288359-0j -0.000626596-0j 0.000743725-0j -0.000452301-0j 
-0.0103054-0j -0.104172-0j 0.105163-0j 0.403619-0j -0.479067-0j 0.2564-0j 0.000633089-0j -0.000751432-0j 0.000402172-0j 
0.0736723-0j -0.00721224-0j 0.00759707-0j 0.000626596-0j -0.000743725-0j 0.000452301-0j -0.412412-0j 0.489504-0j -0.297695-0j 
0.0713976-0j -0.00759707-0j 0.0076694-0j -0.000633089-0j 0.000751432-0j -0.000402172-0j 0.416686-0j -0.494577-0j 0.264701-0j 
-0.00101257-0j -0.00762249-0j -0.00677769-0j 0.0601315-0j -0.144262-0j 0.165651-0j 3.07752e-05-0j -7.38331e-05-0j 8.47796e-05-0j 
0.00072353-0j -0.0105598-0j -0.0106693-0j -0.161506-0j 0.103083-0j 0.0601315-0j -8.26586e-05-0j 5.27574e-05-0j 3.07752e-05-0j 
-1.82719e-05-0j -0.0125338-0j -0.0126637-0j -0.103083-0j 0.00249697-0j 0.144262-0j -5.27574e-05-0j 1.27795e-06-0j 7.38331e-05-0j 
-0.00868236-0j 0.0416486-0j 0.0420802-0j -0.013601-0j 0.00868096-0j 0.00506389-0j -0.0942308-0j 0.0601435-0j 0.0350837-0j 
0.000219263-0j 0.0494339-0j 0.0499462-0j -0.00868096-0j 0.000210279-0j 0.0121488-0j -0.0601435-0j 0.00145686-0j 0.0841697-0j 
0.0121508-0j 0.0300635-0j 0.0267316-0j 0.00506389-0j -0.0121488-0j 0.01395-0j 0.0350837-0j -0.0841697-0j 0.0966488-0j 
0.0491149-0j 0.00501277-0j 0.00506471-0j -0.000809886-0j 0.000516915-0j 0.000301534-0j -0.00561105-0j 0.00358129-0j 0.00208909-0j 
-0.00124034-0j 0.0059498-0j 0.00601146-0j -0.000516915-0j 1.25213e-05-0j 0.000723413-0j -0.00358129-0j 8.67498e-05-0j 0.00501195-0j 
-0.0687354-0j 0.00361841-0j 0.00321738-0j 0.000301534-0j -0.000723413-0j 0.000830667-0j 0.00208909-0j -0.00501195-0j 0.00575503-0j 
