0.13891+0.0504029j 0.136423+0.377168j -0.312406+0.375912j -0.18361+0.274842j 0.182663+0.134449j 0.398359+0.273973j 0.283836-0.0187582j 0.0932416+0.235733j 0.248627-0.0997251j 0.573445-0.28639j -0.0640385-0.308292j 0.695827-0.35991j -0.183064+0.990494j -1.65583-1.45854j 1.06741-1.42859j -0.0151785-0.164467j 0.296454-0.418097j 0.76976-0.118802j 0.515321-0.130418j 0.327224+0.360624j -0.548344-0.572229j 0.0896601-0.0325366j 0.481786-0.0716814j 0.18936+0.379042j 0.226882-0.24774j -0.324026+0.267354j 0.020627-0.282128j 0.0325939-0.378863j 0.330245+0.215379j 0.301416-0.104346j -0.47758+0.854049j 0.0359404+0.105725j 0.206472+0.432555j -0.0895396-1.24301j 2.38175+0.842557j 1.43085-2.75097j 0.974857+2.33155j -0.0469801-0.0744463j -0.172196+0.101562j -0.198121+0.221716j 0.228672+0.15229j -0.231843-0.29098j -0.251002+0.0824042j 0.415813-0.254676j -0.381767-0.19848j 0.089578+0.342414j 0.159622-0.182271j 0.162782+0.298033j -0.301496+0.609258j 0.182686+0.0410673j 0.395855+0.492097j -0.501995-0.339923j 0.386746-0.0831541j -0.392449+0.0867805j 0.371309-0.138059j -0.209706-0.519097j -0.0591096+0.221457j -0.103866-0.2193j -0.438883+0.341325j 0.368515-0.373184j 0.675363+0.275404j 0.14615-0.635206j 0.192734+0.00473136j 0.244075-0.725769j -0.0503912-0.00724254j -0.196003-0.649697j -0.241568-0.2478j 0.0372233+0.182534j 0.225522+0.219392j 0.306067-0.00989159j -0.208794+0.178926j 0.352345-0.0205047j -0.41807+0.2191j -0.0278536-0.0535853j -0.0866615+0.193367j -0.000267011-0.402396j 0.104077-0.691143j 0.0701233-0.180345j 0.105015+0.250186j 0.450472+0.194131j 0.301469+0.190835j 0.486964-0.830098j -0.0273553+0.628513j 0.0575401-0.170725j 0.111949-0.778909j 1.28153+0.91713j 0.629789+1.12548j -0.61397-0.0454167j 1.41908-0.425539j -1.87398+0.554996j 1.1694-0.875575j -2.34097+0.481986j 1.04552+3.83375j -0.29194+0.46262j -2.07678+1.4742j 
0.346088-0.0464152j 0.374936+0.273007j -0.119117+0.0430347j -0.0404425+0.0376687j -0.268821+0.266896j -0.41837+0.537121j 0.0394811+0.457915j -0.126478+0.425084j 0.277755+0.527209j 0.772892+0.610788j 0.0632797+0.201424j 0.901787-0.761497j -0.0392836-0.368633j -0.0258543+0.987763j -1.15583-1.46732j -0.34341-0.417648j -0.0120639-0.897472j 0.416761-0.332183j 0.141614-0.262005j -0.396243+0.0975391j 0.333546-0.00980131j 0.0461177+0.240646j 0.160406+0.792386j -0.525199-0.131987j 0.174894+0.68949j -0.642715-1.14872j 0.44102+0.120265j 0.780968+0.153983j 0.352941+0.429502j 1.45059-0.383816j -0.735095+0.883777j 0.127976+0.165772j -0.399606-0.685729j -1.64556-0.00661077j -1.034+0.762944j 0.00924868-1.11423j 1.52131-2.72346j -0.0753154-0.275339j -0.103794+0.118551j -0.424876+0.400951j 0.084936+0.29078j -0.512901-0.270856j -0.386903+0.241245j 0.426475+0.0934786j -0.452862-0.150202j -0.272342+0.156854j 0.462658-0.215705j 0.111675+0.272511j 0.254891+0.264283j 0.153371+0.135031j 0.351917-0.134176j 0.309912-0.562161j 0.269041+0.40682j -0.280663-0.57025j -0.357023-0.167125j 0.231523-0.224616j -0.0880122-0.0687954j -0.102613+0.267524j 0.912783+0.148575j 0.118903+0.378875j 0.253796+0.478705j -0.494129+0.847692j -0.0606112+0.289222j 0.492248+0.34962j 0.115664-0.178266j 0.475464-0.16485j 0.471088+0.611164j -0.234098-0.199799j -0.328437+0.018595j -0.961978+0.124905j 1.21053+0.289014j 0.338281+0.58572j 0.271327-0.676421j 0.05429-0.569324j 0.0414939-0.0190297j -0.990274+1.14464j 1.10643-0.644365j 0.607397+0.116245j 0.272371-0.220443j 0.180983-0.323093j -0.269578+0.78043j -0.375681-0.331315j -0.494637-0.83143j -0.771035-1.98794j 0.894424+0.441835j -0.806039+0.049557j -0.840968+1.16306j -2.81006+0.0371277j 0.00630719+1.05069j -0.78428-1.45287j 0.369817+0.806408j 0.808206+0.392206j 1.15251-1.28595j -1.48664+1.20695j 1.68499+2.64279j 
0.271024-0.36723j 0.128148+0.02108j -0.514368-0.271043j -0.39719+0.0398835j -0.105247+0.178864j -0.062264+0.328603j -0.265527+0.124299j 1.24176+0.354422j -0.355027+0.0658595j -0.459143+0.332513j 0.356512+1.15951j -0.870634-0.782527j -0.751042+1.02832j -1.07375-0.00595707j 0.160932+1.53933j -0.814857-0.0353848j -0.41969-0.317032j 0.0951406+0.549941j 0.0508363+0.160107j -0.724983+0.569052j 0.638061-0.476746j -0.13488+0.0116496j -0.375894+0.0439541j 0.458535+1.0422j -0.0362904+0.362681j 0.118981+0.000982148j -0.508558+0.774958j -0.0358747+1.31405j 0.117355-1.95943j -0.320969-0.380159j -0.166863+0.139145j -0.862333+0.196571j -0.611397+0.88225j -2.61321-0.518796j 0.408939+0.575777j 0.970804-1.08682j -2.25052-1.32574j -0.22832-0.505127j -0.308868-0.0352833j -0.412847+0.709885j 0.276993+0.506375j -0.0284713-0.102039j -0.0424259+0.0161074j 1.01505+0.246918j 0.0731566+0.216066j -0.627552+0.499984j 0.125325-0.287904j -0.590922+0.109018j -0.126028-0.439115j -0.158957+0.119644j -0.516816-0.106824j 0.287119-0.57912j 0.148773-0.0322042j 0.321038-0.106174j -0.160526+0.472073j 0.499972-0.128965j -0.00917405-0.186827j 0.178323+0.10328j -0.357897-0.249512j -0.984449+0.203858j -0.0123761+0.496348j 0.34702-0.018625j -0.487522-0.178822j -1.49593+0.836429j 0.244876+0.373866j -0.519546+1.56204j -0.685708-0.223259j 0.479387-0.35009j 0.0503979-1.23559j 1.12477-0.707726j -0.588871+0.65804j 1.52813-0.919455j 0.825107+0.788476j -0.110003+0.295363j 0.274739+0.0941661j -0.148225-1.64326j -0.512064-1.87586j -0.14652+0.129657j 0.0219449-0.398133j 0.445272+1.1207j -0.664004-0.775076j 1.07849-0.0706033j 1.03659-0.458858j -0.774501-0.264311j -1.4098+0.720306j -0.972436+0.0896896j -0.182435-0.344625j -0.375993+1.66345j 0.511983+0.591207j 0.939013+0.452669j 2.04361-0.683486j 0.0745287-0.0767247j 0.0471461+0.688002j 0.617238+1.30802j 1.03138-0.846643j 
0.166426-0.213824j -0.0179398+0.0860768j -0.253465-0.312028j -0.566486-0.340297j 0.00704343-0.388067j -0.557648+0.441059j -0.0157175-0.116949j -0.169347+0.902077j 0.128617-0.0303684j 0.288555-1.06062j 0.434942-1.06829j -1.00978+0.956832j 1.30954+1.00774j -1.06158+0.208412j -0.952924+0.968156j -0.524838-0.0260587j -0.0385888-0.261656j 0.122266+0.213546j 0.118468+0.631116j -0.0763375-0.39969j 1.10466-0.359464j -0.380237-0.20605j -0.770624+0.466583j -0.62312+0.912798j 0.249863+0.466719j -0.882326-0.594609j 0.118458-0.0355144j -0.0263678-1.06483j 0.439545+1.03897j 0.0344501-0.264528j 1.86376-0.756591j 0.0153198+0.00323057j 1.20336+0.934303j 1.42101-0.914011j 2.31504+0.0418969j -2.29243-0.236713j -0.191959-1.32918j -0.186174-0.318008j -0.199235+0.05369j -0.374248+0.285822j 0.00949616+0.28399j -0.493299-0.112226j -0.233568+0.24755j -0.125578+0.127473j -0.288525-0.566838j -0.0784514-0.224657j 0.622909+0.327511j 0.142259-0.637066j 0.0250917-0.0347966j -0.524068-0.0799388j -0.0846587-0.0735365j 0.749172+0.441928j -0.348834+0.175701j 0.986512-0.458066j -0.0498695+0.233207j 0.813742-0.619786j -0.184884-0.513145j 0.243503-0.489104j 0.365268-0.892849j -0.350011+0.591494j -0.0393238+1.18912j 0.780647+0.895018j -0.134927-0.0902557j 0.515358+0.903191j -0.260568+0.21165j 0.727645+0.08382j 0.1069+0.167284j 0.0235808+0.398859j -0.713832+0.845552j -0.35672+0.132155j -0.602411+0.0723295j 1.30944+0.738923j -0.272038-1.24383j 0.999866+0.76347j -0.742531-0.669086j 0.931932-0.289496j 1.35576-1.21243j -0.272791+0.306057j -1.55566+0.761476j -0.859303+0.402965j 0.409427-0.375677j 0.151087+0.325542j 0.161499+1.33767j 1.826+1.30079j -0.280772-0.565054j 1.10348+0.34871j -0.608389+0.507908j 2.25503-1.772j 1.04145+0.16951j -0.16929-0.476421j -0.747835-2.40953j 0.936575+0.647129j 1.96061-0.873071j 0.695994+0.343084j 1.06566+0.463209j 
-0.155887-0.240405j -0.142158+0.295025j -0.440325+0.046219j 0.138115+0.347031j -0.527878-0.150304j -0.790793-0.242967j 0.0775057+0.956473j 0.125276-0.55178j -0.307424-0.667807j 0.534742+0.688672j -1.77348+0.501421j -1.17083+0.170676j -0.83398+0.520571j -0.396863+1.37048j 1.20977+0.0466558j -0.203441+0.477349j 0.412827+0.0638761j 0.640785+0.40519j 0.0503887-0.399275j 0.0655816-0.129483j 0.126863+0.691066j -0.321616+0.21191j -0.876695+1.0705j 0.617725-0.531422j -0.0563244-0.5063j -0.796314-0.984639j 0.453379-0.916997j 0.904547-0.473652j 0.838872-1.46664j -1.54125+0.096793j -1.83123+0.709551j 0.425908-1.7041j -0.559666-0.589244j 0.509619+1.13063j 0.57226-0.912385j -0.104445-0.530834j -0.533083+0.43707j -0.536154-0.259127j -0.284448+0.272442j 0.212933+0.0796146j 0.0823531-0.0343937j 0.362851-0.963321j -0.481287-0.454257j -0.0632741-0.0737276j 0.148528-0.322095j 0.292547+0.236664j 0.178416+0.290613j 0.577829-0.229491j 0.615784-0.0527388j -0.0112495-0.0216907j 0.232996-0.349456j -0.124818+1.53334j -0.657784-0.0655464j -0.065874-0.24629j 0.0880269-0.266718j -0.829075-0.392354j -0.339513+0.0235279j -0.073564-0.156747j 0.839656-0.134511j 1.07128+0.111655j 0.833186-0.664618j -0.030763+0.846528j -0.428366+0.725086j 1.69921+0.0171987j -0.469876-0.975858j 1.87895-0.155717j -0.103839-0.460207j -1.42787+0.0147037j 1.18583+0.535684j -0.105771-0.281878j 0.0815455+0.511512j 0.557885-0.0224978j -0.213906+1.36144j -1.54934+0.251223j 0.159529-0.0409025j -1.22649+0.00738622j 0.392186-0.254386j -0.277334-1.3106j 0.838382-1.20607j -0.26894+0.311176j -0.115323-0.0990813j 1.44535+0.283492j 0.648423+1.96286j -0.349565-0.679542j -0.0303945-0.113769j 1.28301+0.55534j -1.25129-1.62409j -0.793977-0.0259177j 0.283871+0.732433j 3.1795-0.795058j 0.399966-1.50137j 0.0790147-1.12011j -0.0107449-0.09753j -0.439601+0.198451j 0.0748351+0.242353j 
-0.118618-0.356717j -0.0389379+0.498481j -0.28896+0.243394j -0.749194+0.758675j 0.128607-0.672763j -0.0292223-0.299048j 0.41048-0.35626j 0.56309+0.0575165j -0.0660163+0.556755j 0.550599+0.943372j 1.51649-0.199608j 0.506675-0.953816j -0.277658-0.0465812j 1.25291+0.354034j 0.573601+0.804443j -0.423471+0.688182j 0.33797-0.044866j 0.597135+0.341444j 1.19066+0.184828j 0.51045-0.677251j -0.160076-0.209389j -0.0201963+0.0479794j -0.132724-0.336778j 1.25677+0.348612j -0.441519+0.322421j -0.395947-0.698943j 0.0202477-0.516051j -0.885013-1.16808j -1.61915-1.52585j 3.39378-1.03632j -0.637611+0.526397j -0.529249-0.172838j -0.895855+0.479129j 1.45184-0.738785j 0.299599+0.237155j -1.33577+1.49772j -0.639578+0.060657j -0.738154-0.400122j -0.446368+0.34281j 0.133996+0.454525j 0.280162+0.167379j 0.118016-0.0862931j 0.0363443-0.0592602j -0.607765+0.544475j -0.259947-0.44738j 0.0597164-0.346945j 0.513381+0.153855j 0.20671-0.47402j -0.362242+0.299784j -0.0608916+0.327419j 0.119408+0.261055j -0.826034+1.27755j -0.528284-0.0424984j -0.884214+0.926991j 0.444943-0.748236j -0.708424-1.46206j 0.110907+0.813272j -0.294769+0.174622j 0.490285+0.572604j 0.120832-0.798865j 1.86278+0.0803346j -0.217308+0.349375j -0.144186-0.737282j 0.341939-0.554402j -0.392144+0.144423j -0.113342-0.311447j 0.608676+1.65794j -0.0707205+0.27621j -0.0855988+0.458591j -3.03105-0.608823j -0.388248-0.0185454j 0.164126-0.371146j 1.19876+0.351623j 1.00875+0.278473j 1.49328-0.0697275j -0.676099-0.519005j 0.252584-0.470881j -1.22522+1.44754j 0.868914+0.0646002j 0.440717-0.911143j 0.575957+0.872807j 0.987038-0.302106j -1.0452-0.380593j 0.341441-0.0780868j 2.00025-1.1829j -0.701618+1.64525j -0.342329+0.714867j -0.0687632-0.34374j 0.886409+1.09998j -0.309291-1.36106j -0.26359-0.306778j 1.27636-0.556196j -0.377858-1.2754j -0.723675-0.6214j -0.0606338+0.344576j 
-0.0416126+0.00119745j 0.11024+0.142967j -0.0766545-0.104592j 0.107948-0.170602j -0.274131+0.131636j -0.0856304-0.152248j -0.125888-0.333195j 0.839969-0.301055j -1.65499+0.6055j 0.637401-1.12014j -0.475911-0.791516j 0.643364+0.082721j -0.995815+0.438463j 0.679486+0.570924j 0.153263-0.215653j 0.0655182+0.0849035j 0.0756435-0.276437j -0.0434158+0.0105874j -0.296502+0.28111j -0.52154-0.183685j 0.238148-0.0268134j -0.0355574+0.0298978j -0.0740355-0.248843j 1.20617+0.0975333j -1.36217-0.727005j -0.555087+0.422471j -1.30029+0.951328j 0.0403796-0.70864j 0.708984+0.702959j 0.306704-0.328041j -0.713863+0.545729j 4.80468+0.187955j -1.74337+1.92941j 0.747097-0.325759j -0.633024-0.333955j -0.372496-0.0583458j -0.0747236+0.129867j -0.138404+0.113701j 0.0367502+0.0943545j -0.307273+0.0287204j -0.0702083+0.190012j -0.277141+0.0154349j -0.0825573+0.204115j -0.149839+0.0507302j 0.308619+0.379755j -0.0762009-0.212341j -0.179926-0.0257883j -0.647989-0.154604j -0.14792-0.534025j -0.188859+0.184795j -0.502152+0.00963124j 0.617362-0.27113j 0.0157354+0.373256j 0.447791+0.0070695j 0.148709-0.690916j -0.308962-0.629384j 0.45423+0.0703417j -0.433193-0.242913j -0.0695361+0.345569j -1.24684-1.07785j 0.585334-0.147825j -0.154223-0.352661j 1.15913+0.0191802j -1.24159+0.404711j -0.260971+0.82891j 0.0476618+0.143506j -0.0762609+0.0712583j 0.648539+0.531252j -0.185551+0.21552j 0.135156-0.099524j 0.483222-0.341817j 0.0116199+0.365264j 0.103011-0.322121j -1.10219-1.39794j -2.42272-1.98602j 0.448682+0.643187j 0.0629147+0.0656321j 4.00065-1.20551j -1.34856+0.776071j 0.946082+0.978617j -0.891003-1.47221j 0.332259-1.62525j 1.05689-0.324729j -0.621208+0.185718j -1.6097+1.54151j -0.145212-0.343768j -1.54377+0.25254j 0.487261+0.470937j 0.226104+0.122561j -0.607276-1.40429j -0.27414+0.0555904j -0.286294+0.354417j 0.240088-0.113942j 0.241168+0.0470704j -0.00342394-0.165126j 
0.15505-0.166408j -0.593082-0.255213j 0.0967256+0.734425j -0.636589-0.0493673j 1.05213+0.12066j 0.236073-0.459906j 0.623573+0.75142j 0.355795+0.293j 0.0598921+0.363535j 0.788399-0.532328j -1.55228-1.12197j 0.138164+0.244385j -1.16299+0.632273j 0.890583+0.366291j -0.816292+0.114988j -0.474416-0.00204271j 0.00586215+0.816599j 0.205224+0.0318377j 0.868163+0.333464j 1.51909+0.986974j -0.669357+0.494356j 0.24335+0.103715j 0.484314+0.225041j -0.769266+0.120701j 0.390193+1.74994j -1.38091+2.00713j 0.329989-0.495455j 0.793883-0.321797j -0.583074+1.14479j 1.38223-0.343312j -2.80079-0.30687j 0.263787-0.588863j 2.28109-0.652076j -0.734371+0.991398j -1.09345+1.35924j -1.49278+0.346036j 0.295782-0.198358j 0.31011-0.559865j -0.311581-0.243262j 0.595388+0.176392j 0.24692-0.342692j 0.63017-0.0618494j 0.239871-0.28284j -0.213449-0.0382938j -0.0166081-1.27243j 0.452385+0.472777j 0.546544+0.682288j 1.54261+0.199873j 0.169396+0.305951j 0.396385-0.266853j 0.659717-0.0185664j -1.90591+0.690708j 0.352781-0.681028j -2.24967+0.441091j -0.295529+0.526399j -0.196528-0.121081j -0.993733+0.665329j -0.180174+1.29869j -1.33806+0.478325j 1.38045+1.14717j 0.556713+0.736868j 0.325832-1.10213j -0.987878-1.11127j 2.98058-0.887451j -1.81496-0.465812j 0.602145-0.95355j 1.83439+0.291171j -1.43315+1.65187j -0.944943-0.55277j -2.5824+1.47875j -0.722636+0.669583j -0.512072+0.68741j 2.88729-0.541384j -0.877216-0.0318226j 0.000184383-1.60075j -0.846453-0.857336j 0.891736+0.90394j 1.14401-0.216105j 0.000418697-0.698393j 1.04306+0.0917824j -0.720232-1.66503j 1.69068-0.924734j 0.0871976-0.978606j 0.506101-0.471743j -1.05071-0.391149j -1.45394+1.24315j 1.0549-0.510053j -0.20988-0.576575j -0.865452-0.189019j 0.534989+1.23057j -0.0759987+0.478578j 1.0432+0.272158j 0.146205-0.916935j -0.350199-0.883712j -0.344103+0.540491j 
0.128447+0.0545674j 0.307208-0.56307j 0.150136+0.864246j 0.585294+0.0841619j -0.0383441-0.580015j -0.527095-0.665701j -0.183731+0.543445j -0.315505+1.75765j -0.625342+0.479537j -0.486233+0.319856j 0.52869+0.108025j -0.891529+1.56562j -1.38312+0.103969j -0.857494-0.733987j 0.0442501-0.623367j 0.0280818-0.31194j -0.564006+0.401207j 0.298732-1.16623j -0.818026-0.753875j 0.757947+0.367778j -1.31017+0.692844j -0.873464+0.116334j -0.649823-0.0313405j -0.160178+0.384867j -0.604296+0.277433j 0.625584-1.84412j 0.168057+0.433591j -0.251394-0.624773j -0.0663802-0.293963j 0.168871-0.607585j 0.409638-1.80104j -0.676117-0.712691j -0.260743-0.0154922j 0.600227+0.591932j 0.364255+2.71937j 1.60574-0.0111603j 0.629008+0.37707j 0.354342+0.0247758j 0.075512-0.176695j 0.911881+0.069596j 0.417831-0.61373j -0.0634409-0.18564j -0.193812+0.0539445j 0.0217165-1.44042j 0.218472+0.489389j 0.978623+0.670617j -0.515949+0.0988754j 0.159559+0.128362j 1.34822+1.12392j -0.202498-0.00659458j 1.26703-0.500512j -1.56621+0.187284j 0.468402-1.50046j -0.778908-0.433007j 0.350774-0.110263j -1.24083+1.02187j -1.12905-0.154514j -0.077924-0.527577j 0.730448-0.831652j 0.000279964-0.32127j -0.493166-1.43272j 0.148435+0.604261j -0.900366-0.176558j -0.967634-0.163673j -0.336241+0.730749j -0.293602+1.12533j -0.0660118+1.3425j 0.564369+0.335204j -0.578091+0.447636j -1.69804-0.616069j -1.03738+0.0437584j 1.71481-0.728196j 0.727925-0.818859j 0.20469+0.143819j -0.605622-0.899846j 0.279196-1.10198j 0.0414719-1.82694j 0.296764-0.226159j -0.679399+0.512499j -0.289619+0.178357j 0.335262-0.416603j 0.0116021+0.472002j 0.739483-0.264185j 1.16772+0.48786j 0.247596-0.196579j -0.963875-0.662772j -1.12024+0.294428j 0.638846-0.859098j -0.847465+2.24248j 0.355007-0.37212j 1.69158+1.30679j 0.654024-0.296219j -1.18884+0.512046j -0.694049-0.187489j -0.536692+0.103647j 
-0.0364822-0.0628742j 0.501339+0.237301j -0.127621+0.142751j 0.154709+0.284453j 0.560012+0.456998j -1.53409+0.517066j -0.788237-1.97781j 0.442673+0.214171j 0.117141-0.0426968j 0.268007+0.846818j -0.488928-0.373904j 0.566088+0.173825j 0.753314-1.01209j 0.0515885-0.489233j 0.153882+0.317208j 0.248514+0.1841j 0.039564-0.724958j 0.0716956-0.305491j 0.194894-0.633611j -0.342057+0.432094j 1.21047-0.0214406j 1.03256-0.782384j -0.416472-2.00568j 0.668954+0.0542256j -0.130712+2.00494j -0.497387-1.64843j -1.36251-1.11029j 0.696097-0.526525j 0.168369-1.08583j -0.934477+0.556555j -1.17515-1.41731j 0.039818+0.0269886j 1.89099-0.845636j 0.371203-0.60471j 0.219589-1.21343j 0.875834+0.550568j -0.104679-0.342036j -0.35077+0.415633j 0.16922+0.31593j -0.292964+0.064659j -0.0444869+0.220217j -0.0915149+0.263992j 0.132981+0.102709j 1.06665-0.0755595j -0.48731+0.300288j -0.509729+0.346347j -0.0320067-0.854963j -0.030205+0.766404j -0.396321-0.0914745j 0.593541-0.0858022j -0.594253-0.0382613j 0.0818906+0.0079766j -0.464206+0.274708j 0.708524+2.40354j -2.01118+0.944179j 0.378046+0.236926j 1.94083-0.116044j 0.595456+1.51505j 0.257601-1.49501j -1.17247-0.115811j -0.461736+0.179283j 0.407373+1.09143j 1.38514+0.0769895j -1.10824+0.364555j -0.736384-1.98671j -1.2063-0.0552558j -1.58545+0.91192j -1.57864+0.0203802j -0.894988-0.443003j 0.476718-1.38897j 1.02605+0.895883j 0.653606-0.104914j -0.486733-0.863005j 0.468414-1.18821j -1.82911+1.89433j -0.760396+0.388468j 0.140101-0.300372j -0.0745986-0.59896j 0.870233+2.02431j -1.08968+1.694j -0.768321-0.7892j 0.0567082+1.27784j -0.0334177+0.701237j 1.02646+0.283672j -1.36017+0.59543j 0.165914+0.467842j 0.859338-0.235018j 0.811141-1.19057j 0.236885-0.563799j -0.372479+0.976527j -0.10498-0.0440243j -0.361421-0.348493j -0.201429+0.219013j -0.0672537+0.514646j 0.52611-0.110482j 
0.00854589-0.056928j -0.81343-0.968601j -0.553086+0.0103786j 0.106934-0.309399j 0.147234-0.0755687j 0.0532523-0.0712606j 0.743898-1.72934j -0.143746-0.543839j -0.961792-1.21591j -0.171954+0.0841836j -0.22508+0.170575j 0.246147-0.625053j -0.351649-0.29802j -1.42639+0.968513j 0.153988-0.534961j -0.4276-0.243754j -0.331613+1.37866j 0.0746637-0.0716249j -0.842197+0.75466j -0.225286+0.960498j -0.203105-0.569383j 0.751433+0.468308j -0.436063-1.92595j -0.838135-1.98289j 0.811648-1.90371j -0.30305+0.598228j -0.0863763-2.0147j -0.423891-1.2224j 0.0192869-1.28771j 1.42519-1.76239j -0.176573-1.19545j 0.133767-1.16376j -0.984892-1.31376j -0.990025-1.24221j -0.0835538+0.159755j -0.403002-1.64662j -0.0919062+0.609015j 0.739106-0.376121j -0.0742535-0.486134j 0.481435-0.189324j 0.0948553-0.608238j -0.061683-0.106419j -0.187128+0.0195759j -0.144311-0.054268j 1.76827-0.197143j 0.556163+0.392198j -0.366259+1.15791j -0.741516+1.27293j -0.307038+0.0171237j 0.663623+1.07234j 0.143044+0.839106j -1.26989+0.257187j 0.275159+0.594288j -1.80249+2.37445j 2.38455+0.472663j -0.607634+0.746089j 0.520337+1.50146j 1.64718-0.944258j -0.510938+0.0691332j 2.16888-0.839176j 0.122052-0.979173j 0.685165-0.16439j -0.401852+0.95328j 1.90531-1.01732j -0.300174+0.0560713j 1.68239-0.587312j 0.372251-0.320342j -0.408003+0.431727j -0.534002+0.993134j -1.01644-0.106905j 0.463657-0.0178248j 0.558034-0.679329j 0.704703-0.243287j 1.60644+0.371475j 0.361537-1.43995j -0.573558+0.185299j -0.354999-0.761095j -0.263902+1.49144j -1.21852+0.599379j 0.119318+0.015806j -0.138092+0.536358j 0.624075+0.695381j 0.633525-0.882662j 0.270361-1.36833j 1.2529+0.363822j -1.59325-0.771359j 0.769122-0.13252j -2.00389-0.0910385j -0.45713-0.365226j 1.08569+0.402295j -0.304152+0.164037j -0.377155+0.312137j 0.333043+0.464874j 0.498217-0.486912j -0.767389-0.333698j 
