0.0501873+0.108518j -0.132635+0.170133j -0.0379434-0.0110881j -0.261828-0.0603079j 0.178443-0.111873j -0.181033-0.0308983j 0.105724+0.0227068j 0.216226+0.107075j -0.215517-0.0512112j -0.0484233-0.111053j -0.26534-0.112577j 0.38695+0.191482j 0.139456-0.203558j 0.156814-0.219328j 0.027083-0.090499j -0.0595716-0.437315j -0.17701-0.374261j -0.150924-0.318331j 0.0609426-0.120844j -0.15717-0.265043j -0.218664-0.154758j 0.349238+0.137127j 0.130357-0.215634j 0.21445+0.0470414j -0.0699986+0.360089j 0.465249+0.242899j -1.17475+0.333327j 1.19964-1.52416j 0.217677+0.240073j 1.33812+1.93655j 0.199501-0.53366j 0.00431172+0.0935821j -0.0470972-0.562685j -0.264675+0.465058j -0.210864+1.1578j 0.129292-0.466633j -0.0874881+0.470722j 0.190134-1.35972j -0.0981953+1.06557j 0.296866-1.81128j -0.0797644+0.164005j -0.216264+2.19692j 0.120294+1.29357j -0.371539+1.61323j -0.280692+1.2358j 0.266496-0.295532j -0.279502+1.25052j -0.0311979+0.606706j 0.98427-2.22279j -0.461169+1.5947j 0.451313-0.764042j 0.629003-1.02263j 0.160119-0.0379082j -1.12687+1.60809j 0.846356-1.5562j 0.306761-0.641823j -1.51206+2.79206j 0.0245563+0.15763j -0.724638+2.26771j -0.218907+0.984244j 0.167574+1.52749j -0.0950604+0.79382j -1.20907-0.208662j 0.565791-0.46356j -0.582151+0.450954j -0.984473+1.18324j -1.38292-1.16498j -0.139472+1.96723j -3.22714+1.83868j 
0.138587+0.1545j -0.143488+0.280034j 0.045911-0.158404j -0.288649+0.214039j 0.0368676+0.0265315j -0.332914+0.436464j -0.0755716+0.224957j -0.232819+0.682691j -0.0756498-0.278489j 0.0754689+0.407721j -0.0349368-0.117238j 0.189128-0.0459549j 0.241923+0.795066j 0.385857+0.63227j -0.014335+0.143777j 0.165511+0.695616j 0.597062+0.425824j -0.0041582+0.448664j 0.271637+0.124451j 0.368516+0.102307j 0.473057+0.0427648j -0.825331+0.392646j 0.140448-0.666464j -0.33262+0.54267j 0.608975+0.751037j -0.415729+0.676311j 1.21363-1.11872j 0.915561+0.0152771j 0.472049+0.537234j 1.72819-1.62404j -0.0863152+0.397942j -0.0316599+0.010236j 0.154242+3.01524j -0.00540917-1.35793j -0.616493-5.99026j 0.442013+0.783341j -0.0169938-2.52118j 0.42644+7.71383j 0.365245-4.2784j 0.0786241+10.1068j 0.382821-1.02893j 0.323547-11.9682j 0.314677-5.84859j 0.525984-9.31322j 0.637999-7.54752j -0.546263-0.068309j 0.51517-8.00443j -0.330608-6.5018j -0.725846+15.9071j 1.17292-10.5436j -0.655386+7.09695j -0.414884+6.4961j -0.271478+2.81938j 0.652619-6.87422j -0.666631+8.95583j -1.32458+4.36627j 1.60673-13.9984j 0.495362-0.806488j 0.336408-9.94013j 0.626871-3.1134j 0.538212-8.59475j -0.117739-2.93451j -0.777167-1.00809j -0.714541+4.89037j -0.371043-3.042j 1.3897-4.40992j 1.60228+0.853686j 0.501177+1.17744j -0.0608283+1.92571j 
-0.0399725+0.00774035j -0.156797-0.0990514j -0.0416457-0.134694j -0.165667-0.476109j 0.117092-0.012918j 0.0138265-0.0320409j -0.181461+0.0516984j -0.221977+0.0957804j 0.1451+0.21804j 0.00649188+0.0400831j -0.116532-0.198464j -0.0211326-0.152918j -0.14515-0.184399j -0.0931966-0.228452j -0.0496998-0.0889509j -0.1223-0.114623j -0.0851171+0.306813j -0.176604-0.165192j 0.402416-0.443992j 0.242307+0.353068j -0.0535935+0.422801j -0.105878-0.760152j 0.183671+0.191432j -0.822267-0.341919j 0.975187+0.336091j -0.0504625+0.748175j -0.640367-0.794325j 0.971518-1.29479j 0.133918-0.274774j -0.00437437+0.0225693j -0.00132826-0.254927j -0.0868622+0.386147j -0.622-1.49655j 0.0321195+0.313624j 0.234738+3.48535j -0.107286-0.619634j 0.279158+1.61256j -0.223729-4.62457j 0.574883+2.26417j -1.17477-6.67008j 0.0446659+0.089462j 1.67233+7.29195j 1.17881+3.48446j 1.14044+5.67896j 1.14939+4.48139j 0.113682-0.087257j 1.06327+4.70714j 0.716332+3.94053j -1.30325-9.49792j 0.934844+5.95967j -0.415694-4.38408j -0.56503-3.87504j 0.196335-1.95952j -0.0562056+4.69253j -0.906849-5.4663j 0.381049-2.28831j 1.76366+8.47028j -0.207469+2.12634j 1.60972+5.83002j 0.6177+0.732505j 2.02826+4.74249j 0.653879+1.17399j 0.796493+0.311478j 0.150667-2.41215j 0.703527+2.70147j 0.697011+0.701159j 2.71155-0.947553j 1.73503+0.791999j -1.54597-0.960322j 
-0.192884+0.15714j -0.185287-0.177125j 0.272837-0.269847j -0.459062-0.930176j -0.145339-0.324108j -0.052633-0.711864j -0.0338347-0.513606j -0.199846-1.42795j 0.337169+0.707476j -0.244132-0.187826j 0.125793+0.248703j -0.279065-0.555447j -0.714639-0.534524j -0.575719+0.0920868j -0.177456+0.0292153j -0.387365-0.498285j -0.00988725-0.568092j 0.312928+1.13306j 0.334409+0.153165j 0.493443-0.616563j -0.491419-0.411369j 0.875868-0.592042j 0.691539-0.812252j 0.842337-0.850042j -0.411332-0.225312j -0.864047-0.971334j -1.76608+0.190453j -1.20901-0.21803j -0.0145243-0.883279j 1.31485-0.115959j 0.12011-2.31132j -0.659451+0.622892j 0.0232561-9.20524j 0.0942321+4.13886j -0.79675+20.6253j -0.79043-2.69416j -0.705191+9.06129j 1.6271-27.4156j -0.749116+15.0262j 2.99497-36.7214j -0.177494+2.74611j -3.65501+42.9077j -1.82645+22.0458j -2.98018+33.3906j -2.81119+26.2218j -0.141145-0.495828j -2.54881+28.2742j -1.588+22.129j 5.18153-55.7101j -2.43473+35.2185j 2.10329-23.553j 2.27429-22.5152j -0.375684-10.1374j -2.55877+24.4859j 3.49871-29.6074j 1.50215-15.3683j -6.60088+46.0386j 0.328264+0.937428j -5.04419+34.0802j -1.90751+8.08468j -4.12041+29.0922j -0.663538+10.9451j -0.777685-2.03885j 2.56109-16.374j 1.14116+5.57042j -0.926676+10.5202j 1.12555-0.0358517j 1.39962-4.16831j -1.06389+1.15685j 
0.140815+0.126057j -0.230995+0.18959j -0.055942-0.29748j -0.0496156+0.342085j 0.150094+0.193792j -0.0793678+0.240725j 0.0986237-0.224615j -0.170394+0.323774j 0.276696-0.286313j -0.339459-0.154375j 0.1772-0.275672j -0.207312+0.303932j -0.258749+0.174888j -0.343573+0.320516j 0.216689+0.19987j 0.116679+0.674939j -0.210903+0.510551j 0.550187+0.317312j 0.479524+0.738777j -0.609427-0.367861j 0.147143+0.116647j -0.65404+0.154611j -0.841433+1.15115j 0.0476199+0.135252j -1.61771+0.299522j 0.096245+1.24995j -1.13141+0.0747573j -0.861121-1.23238j 0.140626+0.438875j 0.312085+0.0634578j 0.0241979+1.14579j -0.0726229+0.0339988j -0.00654435+4.22627j -0.0368231-2.41514j 0.565393-9.11923j 0.730341+1.12926j 0.0887278-4.25293j -0.954224+11.6017j 0.348075-6.74064j -0.746551+16.3707j 0.154206-1.80044j 1.89915-18.6579j 0.775476-9.09183j 0.956066-14.0284j 1.00746-12.083j 0.425276+0.300607j 0.882441-11.668j 0.907787-9.60399j -2.41674+23.1502j 1.16848-15.054j -1.43443+9.22306j -1.1112+9.79322j -0.517816+4.26598j 1.11069-10.4775j -2.10667+12.7208j -2.09919+5.79814j 3.94951-20.4992j -0.967091-0.699935j 2.58824-14.8916j -0.489455-2.56176j 1.18794-10.547j 0.505656-4.46651j 2.3083-0.00207173j -2.28612+7.68199j -0.375794-3.0069j -1.23691-4.61263j -0.999661-2.50818j 0.393313+2.57463j 0.483275-0.357205j 
-0.135296+0.158168j -0.207068-0.0897411j -0.300194-0.0585982j -0.0304477-1.05584j 0.21067-0.129436j -0.350418-0.91807j 0.25567-0.901798j 0.224669-1.68072j 0.0504161+0.70927j -0.0542388-0.637269j 0.37249+0.117097j -0.0897855-0.728435j -0.0499009-1.27764j -0.645466-0.826649j -0.340263+0.357253j 0.133123-0.0815808j 0.337006-1.34444j -0.624854+0.925088j 0.122476+0.248488j -0.425474+0.26155j -0.305395+0.536843j -0.492625+0.119205j 0.0372815+0.705493j -1.54178-0.8564j -0.863433-0.340039j 0.973994-0.193759j 0.306798-0.168313j -0.594474-0.94432j -0.148474-1.35369j -0.154998+1.07168j 0.742926-3.59928j -0.103772+1.49441j -0.441597-16.2919j 0.343017+7.05326j -0.0433315+32.4169j -0.564924-4.54903j -0.58484+14.3381j 1.22626-43.0844j -0.787679+24.7204j 2.63564-57.9308j -0.130537+4.29328j -2.86215+67.9226j -1.83526+34.7022j -2.77722+51.9275j -3.17183+41.8096j 0.0518811+0.223417j -2.99853+44.0355j -1.96691+35.4958j 6.15389-87.1298j -2.77276+55.7611j 4.03301-36.3125j 2.92336-35.9273j 1.59407-16.304j -1.99601+38.851j 4.70837-48.1056j 2.15411-24.03j -8.11227+72.6855j 0.788048+2.55171j -2.91511+51.6545j -0.138713+15.6647j -6.79007+43.1509j -0.193415+15.3613j -1.16801-0.806525j 3.12217-25.8797j -2.63754+8.37717j -2.41008+15.3644j 0.0900052+1.20221j 0.510176-3.85467j -0.466543+0.406874j 
-0.210804+0.0945362j -0.0682525+0.0847375j -0.0215825-0.0333148j -0.114095+0.323231j 0.122691+0.0348034j 0.267716+0.0858561j -0.118915-0.120567j 0.0937246+0.0857403j -0.111346-0.0454457j 0.162329+0.116292j -0.0411071-0.37945j 0.0116986+0.137376j -0.0511137-0.20057j 0.00117143-0.161354j -0.0107491-0.110085j -1.00747-0.0990941j -0.719099-0.00178206j -0.0775067+0.325762j 0.703886-0.460679j -0.912542-0.486968j 0.159493-0.329298j -1.27014-0.444097j 0.659758-0.539104j 0.813287+0.932908j 0.72036+0.278058j -0.713519+0.864886j -1.05691-0.214427j 0.117648+0.898283j -0.0333698-0.0171165j 0.516654+0.213124j 0.202164+0.597654j -0.0459492-0.109665j 0.984837+2.57019j -0.833314-1.27784j -1.15661-4.97189j 0.357711+0.278736j -0.722867-2.11952j 1.3062+6.35987j -1.37908-3.57276j 2.24801+8.37918j -0.361307-0.50762j -2.6507-10.2546j -1.05807-5.16747j -1.68841-8.39224j -1.58885-6.89009j 0.293134+0.0429246j -1.53312-7.54214j -1.39887-5.88915j 4.38236+13.8524j -1.94313-7.58607j 1.37518+5.33627j 1.08269+5.05406j 0.687295+2.85232j -0.860248-4.78573j 1.3741+7.1932j 0.378618+3.05302j -2.11855-9.94669j 1.25519-0.853016j -2.29881-9.13216j -0.0940684-1.1875j -0.592096-7.11516j -1.15778-1.41687j -0.998075-1.45693j 0.86552+4.46453j -2.15618-1.04263j -0.449924-4.28095j 1.03035+0.039046j -0.814226-0.463095j -1.0805-0.364488j 
-0.0458443+0.00680581j -0.209887-0.384987j -0.381895-0.294381j -0.2784-1.65034j 0.145106-0.533295j -0.0169303-1.25083j 0.200271-1.02768j 0.237197-2.63914j 0.0457806+1.7163j -0.287744-0.41689j 0.107856+0.279585j 1.14903-0.778299j -0.785753-2.12983j 0.0301892-1.41001j -0.080014-0.126796j -0.35263-0.698048j -0.301564-0.453087j 0.0432211-0.0976275j 0.189753+0.761894j 0.243715-0.742654j -0.796839-0.666455j -0.586766-0.100258j 0.577153+1.74549j 1.63283-0.864751j -0.617817+0.352589j 0.6107-1.66963j -0.322122+0.494259j 0.727967+0.384611j -0.0562045-2.00292j -0.698524-0.392657j 0.460532-6.30138j -0.632874+2.53269j -1.61893-28.6045j 0.663537+12.4041j 1.47659+58.3143j -1.97277-8.31546j -0.19524+25.4701j 0.0319716-74.921j 0.591434+42.6867j 1.84035-102.675j 0.0354549+8.1591j -1.86018+120.133j 0.395028+61.7471j -2.16423+92.453j -2.93807+74.0659j 0.455129-0.898118j -1.98111+78.1036j -1.80612+62.0395j 6.70852-154.497j -4.14638+99.0074j 5.02063-65.1874j 2.55794-62.0226j 1.74851-25.5968j -2.22238+69.1544j 4.85782-83.5869j 3.02233-41.7431j -8.26294+128.664j -1.09674+4.91882j -7.62082+90.4747j -3.63667+24.5574j -6.86214+76.927j -4.00687+26.7683j -1.87935-0.904466j 5.84277-48.2526j -1.64426+13.3795j -3.86926+30.8412j 2.30445+2.93452j 0.179003-7.91858j 0.279724+2.09193j 
-0.0394417-0.0127089j -0.051052+0.00654475j -0.144791+0.114962j -0.143569-0.275772j 0.177155+0.188062j -0.0443038+0.0647129j 0.229515-0.187571j 0.155766-0.328836j -0.0109021-0.00422422j -0.0413246-0.0265054j -0.0294231+0.389506j 0.0370387-0.145044j -0.0203576-0.163866j -0.17785-0.246173j 0.130341+0.220934j -0.189699+0.158143j -0.0997117+0.374158j -0.711612-0.304955j 0.282666-0.322423j -0.462032-0.582578j 1.94868+0.506485j 0.947292-0.0297565j -0.128239-0.302405j 0.764391-0.764039j -1.28366+0.550772j 0.984953+0.337432j 0.0448932-0.915026j -0.330173+0.363347j -0.0506119-0.377095j -0.383654+0.185985j 0.288645-1.40728j 0.176926+0.432634j -0.106485-6.02998j 0.411145+2.22292j 0.0782578+12.041j -0.0347445-1.55355j -0.0945762+5.15007j 0.242127-15.2019j -0.221788+8.62277j 0.70611-20.8148j -0.525636+1.71813j -0.858106+24.4505j -0.213788+11.9051j -0.731315+18.7266j -0.770861+15.2031j -0.0261015+0.0164061j -0.548169+15.813j -0.441505+12.3291j 2.72363-30.986j -0.598557+20.3605j 1.87134-13.1196j 0.0637527-14.8621j 0.902163-4.52387j -0.778999+14.0576j -0.68838-16.6287j 1.34988-7.5493j -2.45036+25.8439j -0.970606+1.24618j -2.48094+18.1386j -1.75575+4.58982j -2.4532+15.45j 3.35454+7.83154j 0.540329-1.28343j 3.65159-10.1083j -0.32773+1.95636j -1.44119+5.86493j 0.520905+1.08117j 0.335362-1.79248j 0.215912+0.188553j 
-0.214515-0.205004j 0.190768-0.256811j 0.212521+0.136326j -0.224447-0.0145695j -0.0850891-0.156523j 0.138083+0.0316038j -0.0976409-0.251003j -0.094269-0.0791179j -0.282192-0.462903j -0.666036+0.112092j -0.561587-0.0350154j 0.631241-0.275126j 0.0223118-0.254093j -0.163164+0.577606j 0.60152-0.365803j 0.090626-1.37953j 0.652193+0.0187324j -1.02562+0.144716j -0.218812-0.616445j -0.494898-1.04858j -0.325587-0.125872j 0.0113661+0.800261j -1.47066+0.0289381j -0.102159-0.199296j -0.552672-0.275717j -1.86853+0.15114j -0.416986-0.13769j -0.726937-0.140987j -0.0546752-0.510988j -0.0922036-0.200515j -0.540147-0.50605j -0.124583-0.327739j 0.266485-2.06553j 0.100723+0.998233j -0.241735+5.09504j -0.627613-0.798957j -0.540532+2.10232j 0.935991-6.05215j -0.715309+3.92565j 1.76903-8.56446j 0.013604+0.493964j -0.588868+10.0189j -0.544746+5.22136j -1.16839+8.07692j -1.24289+6.56958j 1.4013-0.739295j 0.393381+7.39624j -0.255209+3.60944j 1.70775-12.2377j -0.388995+7.89085j 0.0376725-5.94372j 1.11981-4.53906j 0.898243-1.50305j -0.80652+6.423j 0.788051-7.04078j 1.57346-3.29926j -2.94498+9.11042j -0.705713+0.575881j -0.550068+6.85482j 1.0165+1.21262j -2.55077+5.57054j 0.0227781+2.34967j 0.387689+1.32355j -0.627131-5.24131j 0.891847-0.212227j -1.00309+0.998242j 0.431731-0.526758j 0.615235-1.08267j -0.146374+0.527423j 
-0.0868306-0.00114085j 0.15829+0.657586j 0.149627+0.762768j 0.0150005+2.0195j 0.135453+1.13732j 0.137148+1.8585j 0.0923146+1.27686j -0.0325927+3.15437j 0.232892-2.23258j 0.547414+0.663538j -0.0842145-0.464588j -0.118193+0.302374j 0.673332+3.10841j 0.0327722+0.938241j 0.475953-0.423067j 0.94674+0.582364j 0.164721+1.55458j -0.000747448+0.855729j -0.498961+0.135317j 0.199435-0.171402j 0.102729-0.445764j -1.0288+0.831952j -0.0694954+1.24959j 0.453358+2.36975j 1.12284+0.0817332j -1.41286+1.71817j 0.396558-0.267928j 0.00706216-0.391757j 0.116605+2.19508j -0.447338+0.618215j 0.0387573+6.3867j 1.51747-2.74871j 2.30539+29.9509j -0.575515-13.5185j -2.29258-61.5111j 2.60993+8.96348j -0.0647215-27.229j 1.0406+80.3291j -1.39879-45.9793j -0.497861+109.56j 0.728499-8.59521j -0.187587-128.052j -0.117625-66.9963j 1.31545-98.4697j 2.50381-80.3533j -0.491932+0.452423j 1.92379-83.7258j 1.77688-66.2551j -4.93021+165.18j 3.29661-105.238j -3.90463+69.0473j -1.31829+65.7654j -0.92108+28.9526j 4.44202-75.6075j -2.95338+89.6404j -2.91028+44.4655j 8.6535-137.31j 0.222437-4.34203j 7.03481-99.8053j 1.87065-26.87j 7.388-81.7794j 1.50834-30.1305j 2.69705+2.20205j -2.42535+52.4194j 2.51068-16.1949j 4.94752-32.1435j -1.71104-3.61283j -0.196257+8.40162j 0.568102-2.74092j 
