-0.660725-0.00583159j -0.276014+0.000267498j 0.0980277-0.00013992j -0.0642568-0.000880182j 0.00645596+4.23357e-05j 0.130787+0.00321492j 0.154317+0.00079794j -0.0379338+0.00118358j 0.0433222-4.37775e-05j 0.0177422-0.00155039j 0.0181402-0.00091408j -0.00339312+0.00244219j -0.00654223-0.00166888j 0.0305282-0.0037012j -0.0415269+0.000599473j -0.00490776-0.00103976j -0.00621776-0.00556194j 0.026298+0.000756072j -0.0138749-0.000126994j -0.0104581-0.000106639j 0.00297123+0.00117892j 0.0186894+0.0011542j -0.0070904+0.000176326j 0.0569318+0.000555632j 0.0697821+0.00161146j 0.0651853+0.00187765j 0.109479-0.00125148j 0.0804184+0.000419895j 0.00550424-0.00115754j -0.019227-0.00146107j -0.0199949+0.0016661j -0.00039782+0.000315146j -0.0032178+0.00151604j -0.0239232+0.00173946j -0.00992289+0.000211794j -0.0182435-0.00137995j 0.0505089+0.000849099j 0.0166753-0.00112357j 0.0105732-0.000146895j 0.0396421+0.00192096j 0.0989541+0.00105509j -0.02034-0.00306475j 0.0442956+0.00452595j -0.136148-0.000455115j -0.0444875-0.000599704j 0.010483-0.00147861j -0.00634858+0.000818808j -0.0812773-0.00145153j 0.013141-0.000475302j -0.0659808+0.00307387j -0.0745626-0.00133991j -0.00336666+0.00058656j 
-0.434318+0.0130086j 0.202848+0.00212222j 0.0945846-0.00199319j -0.100617+0.00118526j 0.000682748+0.00040707j 0.118341-0.00240727j -0.0778948-0.00285787j 0.0703838+0.000883246j 0.0273566-0.000683827j -0.0311906-0.000910807j -0.0138441-0.00024534j 0.0120776-0.000274465j 0.0147628+0.00022114j 0.0160422+0.000347545j -0.0107677+0.000888695j 0.0257569-0.000385588j -0.0154283+0.000677092j 0.0123966-0.000602796j -0.0254832+8.49413e-06j 0.0455317+0.000634455j 0.0483456-0.00126344j 0.0334583-0.000829652j -0.0217091+4.40138e-05j 0.060878-0.00305589j -0.0215951-0.00359301j 0.146815-0.00195754j -0.160193-0.00255735j -0.0195781-0.00178585j -0.0315936-0.00039465j -0.0371955+0.000865685j 0.0403516+0.000718863j 0.0809826-6.71929e-05j 0.0302665+0.000125054j 0.040226+0.0010242j 0.0201887+0.000664002j -0.00959216+0.00114825j 0.00927344-0.00103582j -0.0320467-0.00100362j -0.0135312-0.00049078j 0.0130771-0.00161745j 0.0136734-0.00407511j -0.0115963-0.000577236j 0.17924-0.00272436j 0.0740837+0.00319177j -0.00832069+0.00145484j -0.0306206-0.000394866j 0.00189815+0.000960107j -0.0267854+0.00395874j -0.076052+0.00101403j 0.134833+0.00162549j -0.0181773+0.00271446j 0.0351042-0.000393296j 
0.260704+0.0041122j 0.04054+0.000479791j -0.000449085-0.00188801j -0.0838272+0.00298472j 0.0548501+0.00373284j -0.00206848+0.00423892j -0.0399743-0.000503948j -0.0109238-0.000242419j -0.0241215-0.00218469j 0.0202801+0.000547877j 0.00485057-0.000272282j -0.00912368+0.00266936j 0.00943014-0.00194532j -0.0044501-0.00453242j 8.72602e-05+0.0012119j -0.00855609-0.000827777j 0.00190094-0.0057786j -0.00562301+0.00119794j 0.00893672+0.000961493j -0.00845553-0.00109127j -0.00668337+0.00134868j -0.000892438+0.00108449j -0.0031676+0.00110594j -0.0017209+0.00144882j 0.00239844+0.00308466j -0.0169164+0.000669678j 0.00394953+0.000924435j -0.0233819-4.76634e-05j 0.0115977+9.49001e-05j 0.0158837-0.000184306j -0.0147905-0.000220121j -0.00717372-0.000274861j -0.00281886+0.000416316j -0.00610097+0.000311452j 0.000739461-0.000122303j -0.000839603-0.00136047j -0.0109207+0.000169298j -0.000843125-0.000396741j 0.00234616+0.000450711j -0.00747536+0.0011426j -0.0150399+0.000465513j 0.0231083-2.41292e-05j -0.0263562-9.70064e-05j 0.0304731-0.000366694j 0.0138171+5.7147e-05j 0.00414238+3.21749e-05j -0.00205203-1.22976e-05j 0.0157547-0.000373257j -0.00680667-0.00012905j -0.00288865-0.000960578j 0.0249949+6.88191e-05j -0.00146911-0.000134396j 
0.159129+0.00427456j -0.00473199+0.000168169j 0.0107907-0.00483078j -0.124528-0.00278359j 0.0716164-0.00349623j 6.43482e-06+0.00131753j -0.0145213-0.000136239j -0.0234195-0.000950199j -0.0255943-0.00225407j 0.0334972+0.00134934j 0.00953436-0.000606611j -0.0136417+0.00331727j 0.0164898-0.00217945j -0.00127736-0.00659769j -0.00607908+0.00125474j -0.01285-0.000859207j 0.00195618-0.00714324j -0.0031125+0.000466561j 0.0101122+0.00119508j -0.0117132-0.00124913j -0.00833968+0.00259817j 0.00144914+0.00201828j -0.0043402+0.000875407j 0.0058471+0.00282047j 0.00714628+0.00407699j -0.0185023+0.000867897j 0.0236136+0.00175715j -0.0134728-8.15785e-06j 0.0154285+2.87417e-05j 0.0152688-0.000749654j -0.0234079-0.000277584j -0.00831191-0.00014612j -0.0108676+0.000898518j -0.0128804+0.000402325j -0.00301998-0.000385035j 0.00564291-0.00197824j -0.00556146+0.000391051j 0.00649233-2.52474e-05j -0.00123567+0.000607043j -0.0130346+0.00157134j -0.00595174+0.00110369j 0.0223818+0.000225498j -0.027576+0.000260151j 0.0117908-0.00056285j 0.00806672-5.11487e-05j 0.00842237-0.000182154j -0.00133142-0.000861075j 0.00639846-0.000839046j -0.00284353-0.000341264j -0.0150474-0.000766951j 0.0151319-0.000147775j -0.00268231-4.59695e-05j 
0.0105586+0.00991455j -0.361137-0.000149266j 0.0155411+0.00235758j -0.00228282-0.000960155j -0.0107878+0.000600401j -0.0195088-0.000600779j 0.197606+0.00102009j -0.0784639-0.00122969j -0.0181277+0.000931284j 0.034148+6.41764e-05j 0.0343117-1.18969e-05j -0.0232472-0.00160398j -0.0274681+0.00101041j 0.00495303+0.00289165j -0.0221098-0.00100686j -0.0338435+0.000723117j 0.0173758+0.00375628j -0.0174668+7.09101e-05j 0.0195229-0.00059247j -0.0672731+0.000190042j -0.0583951+0.000498043j -0.0314008-0.000961174j 0.0296176-0.000877225j -0.0388759+0.00131986j 0.0836969+0.000584254j -0.117579+0.00104713j 0.290317+0.000840403j 0.0667707+0.00268291j 0.0464791+0.00125707j 0.0308769+0.000287888j -0.0712257-0.00116656j -0.125621+0.000308607j -0.0322736-0.00107002j -0.0549688-0.00194894j -0.0292193-0.000838671j -0.00611646-0.000209752j 0.000778596+0.00122059j 0.0459185+0.00165906j 0.0322782-1.39589e-05j 0.000945953+0.00134109j 0.0551729+0.00452533j -0.0108428-5.69855e-05j -0.21095+0.00415178j -0.217548-0.0039565j -0.0113539-0.00247994j 0.0434139+0.000998296j -0.00689782-0.000437076j -0.0196608-0.00571664j 0.138834-0.00139763j -0.258751-0.000657347j -0.026843-0.00507981j -0.0662966+0.00111667j 
0.333196-0.00018681j -0.187019+0.00151645j -0.139952-0.00169944j -0.0641003+0.00450697j 0.0172448-0.0029148j 0.248101-0.00203632j 0.0524293-0.000209639j -0.0522345+0.00274186j -0.0109013+0.0017988j 0.0499426-0.00504871j 0.0223072-0.00272118j 0.0296487+0.000415372j 0.0462148-0.00185979j 0.00549373-0.00165091j -0.029133+0.000839657j -0.0161029-0.00119518j -0.0274616-0.00180493j 0.0822142-0.00169549j -0.0240916-0.00130719j 0.104142+0.00230486j 0.067947-0.000879345j 0.00021933-0.000990774j -0.0348282-0.0022431j 0.125104-0.0057704j -0.0789702-0.00619419j 0.209644+0.000252212j -0.0665227-0.00753558j 0.165097-3.84997e-06j 0.00331365-0.00333396j 0.0641206-0.00427461j -0.0498923+0.00364336j 0.169616+0.00168352j -0.0304374+0.0024792j -0.0508143+0.00395237j 0.00234086+0.0013957j 0.0161124+0.00059575j 0.121684+0.000507156j 0.0104496-0.00280927j -0.0195007-0.00229557j 0.0321295+0.000912489j 0.0680801-2.61579e-05j 0.0363505-0.00402474j 0.164047+0.0066612j -0.22583+0.00267581j -0.131429-0.000290647j 0.0641005-0.0046484j -0.00129454+0.00033464j -0.11365-0.0014187j -0.0286576-0.00102092j -0.0263363+0.00944092j -0.241062-0.000860332j 0.044357+0.00133828j 
-0.0768323-0.000333893j -0.0991501+0.000809042j -0.0251017-0.00229386j 0.298083+0.000486754j 0.0678253+0.00122684j -0.606009-0.00108906j 0.0335539+0.000368624j 0.0616197-0.000159079j 0.0104715-0.000913994j -0.076762-0.00129416j -0.0791845-0.00447421j 0.0349328-0.000958838j 0.00734112-0.00204798j 0.0480463-0.00447478j 0.138873-0.000298359j 0.0574686+0.000604433j -0.0287946-0.00227981j -0.0101848-0.00403166j 0.0145+0.000805172j -0.0332017+0.000325208j 0.0557794+0.0027125j 0.0527234-0.000391716j 0.0446325-0.0034823j -0.0370122-0.00142253j -0.172179-0.00562182j -0.105057-0.00169755j -0.102621-0.00240541j 0.0811762+0.000714148j -0.0465305-0.000968169j -0.0311844-0.00148568j 0.0383347+0.000931844j 0.0395909+0.000785523j 0.0155887-0.00148486j 0.0465054-0.00077664j -0.00553827-0.000123749j 0.0142819+0.00390065j 0.0355547-7.81368e-05j -0.033805+0.00192866j -0.0222164-0.000290089j -0.043081-0.00339258j 0.00614335-0.0017956j -0.0749556-0.0024527j -0.00588191+0.00212798j -0.0988658+0.000427455j -0.049063-0.000729222j -0.00408796-0.000549808j 0.0134073+0.00132335j -0.0400289+0.000531479j 0.0682921+0.000790399j -0.011526+0.00518219j -0.124798-0.00145068j -0.00277736+0.000894969j 
0.00555939+0.000186816j 0.0476397+0.00178583j 0.243295+0.00265029j -0.305744+0.00419866j -0.19958-0.00496615j -0.263493+0.00252218j -0.106111-0.00155291j -0.0233988-0.000824907j -0.0328396+6.71447e-05j 0.0476578-0.000272515j -0.0374368-0.00512173j -0.01629-0.00124836j 0.0621401-0.00434005j 0.0616497-0.00100942j 0.0295843-0.00315285j 0.0177808+0.00089816j 0.00856207+0.0050159j 0.00468997-0.00430397j 0.00365768-6.32371e-05j -0.0323768+0.00107345j 0.113726+0.00569352j 0.0719883-0.00469716j -0.0212089-0.00638959j 0.140024+0.00122684j -0.14694+0.00220805j 0.0598531+0.00597527j 0.203682+0.00279572j -0.00995231-0.000276528j 0.0211646-0.000696764j 0.0276696+0.000541296j -0.0102253+0.00236491j 0.0664938+0.00059241j 0.00696355+0.0045853j -0.0137781+0.000192467j -0.0366941-0.00194513j -0.000875265-0.00181661j 0.0392714+4.13944e-05j 0.0406105+0.0018019j 0.033449+0.00673304j -0.0426285+0.00415324j 0.00472496+0.00167574j 0.0518611+0.00220959j 0.00261184+0.000273097j 0.0372223-9.70432e-05j -0.0115139+0.000629509j 0.0215004-0.00197382j -0.00726319-0.00172165j -0.0185374+0.000822934j -0.0680486-0.000355669j 0.0706496+0.00154568j -0.0266822+0.00164349j 0.0389148-0.000168674j 
-0.00935126+0.000538138j 0.070303-0.000871865j -0.183671+0.00159967j 0.368951-0.00039241j -0.446846-0.00232748j 0.134879+0.00364235j 0.0125081+0.000899776j 0.0349639-0.00106813j 0.0539998-0.00520109j -0.114606+0.00281771j -0.0172686-0.000665283j 0.0343235+0.0014614j -0.101489-0.00402166j -0.147542-0.0022937j 0.00808468+0.000899132j 0.0718394-0.00264669j 0.0551357+0.000924556j -0.00471459+0.0013104j -0.0316328-7.10661e-05j 0.0873185+0.000578116j 0.00490667-0.0021034j -0.0730989-0.000877416j -0.00808648+0.000250721j -0.0521214-0.004218j -0.0894257-0.00201416j 0.0523126+0.00351066j 0.0730041-0.00176856j 0.022924+0.000688851j -0.0349978+7.37552e-06j -0.0494163+0.00143623j 0.0844875+9.94121e-05j -0.00878218-0.000596694j 0.0260879+0.00248496j 0.0283018-0.0030061j -0.00284246+0.000712702j 0.000908235+0.00406741j -0.0297092-0.00062589j 0.02671-0.00139582j 0.0249017+0.00243093j 0.0266971+0.000922218j -0.0260098-0.000546197j -0.0585514-0.000615169j -0.0242184+0.00036926j -0.0412272-0.000225496j 0.000481662-0.000424764j -0.0443856+0.00221115j 4.11957e-05+0.000853875j 0.0398207+0.00215953j 0.0581129+0.00122591j 0.0250816-0.000251282j 0.000150573-0.000226199j -0.0134285-4.19708e-06j 
0.0654331-0.000673723j -0.0469176-0.00349422j 0.183217+0.00140726j -0.0625824-0.00364915j -0.380898+0.00276787j 0.0484151-0.000309895j 0.00611806+0.000445809j -0.076235-0.00267945j -0.0485346-0.00160851j 0.00447252+0.00531497j -0.0137966-0.000289525j -0.0583975+0.000989495j -0.0648889-0.000956893j -0.0600154-0.00212777j 0.0323845-0.00176969j 0.0374611-0.00156788j 0.118278-0.000734518j -0.0370625-0.00222702j 0.0535435+0.00609329j -0.137956-0.0011944j -0.00910658-0.00106802j 0.0322073+0.00136057j 0.00868632-0.0031569j 0.0884406-0.00539482j 0.0363023-0.00824278j 0.0554226-0.00346151j -0.042242-0.00379556j 0.0132239+9.53849e-05j 0.00531567-0.000269866j 0.00748043+0.0015279j -0.00930314+0.001489j -0.0365342-0.00152646j -0.0056287+0.000616379j -0.0209721+0.00242503j 0.000768103-0.000449579j -0.0126232-0.00462675j -0.0134584+0.00123709j 0.00138402-0.0017505j 0.00246778-0.00033654j -0.0203537+0.00142847j 0.0449561+0.00108297j -0.00872396-0.00069774j -0.0170916+0.000558518j 0.0225635-0.000471933j 0.0141432-1.49733e-05j -0.00649211+0.000278486j -0.00897858-0.000722043j -0.00580533-0.000124925j 0.0275143+0.000508101j -0.0137261-0.000375728j 0.0355174-0.000545765j -0.0197985-9.15911e-05j 
0.00784736-0.000488573j -0.0321168-0.000170491j -0.124267-0.001096j -0.219749-0.000885413j -0.26194+0.00087957j 0.0587913-0.000968595j 0.0224997+0.000664474j -0.046491+0.000786688j 0.0411616+0.00205487j 0.00181816+0.00214447j 0.0243012+0.000957502j 0.00504502+0.00115842j 0.000359667+0.00234034j -0.0521889-0.00133778j -0.0294881+0.00245866j 0.00313648+0.000172715j 0.00367034-0.0010993j -0.0332596-0.00302633j -0.0282243-0.00368211j 0.0374504+0.0011507j 0.0518158-0.0030862j -0.0152222+0.00332175j -0.0724121-0.00129109j -0.018315+0.00353783j 0.00472971+0.000845861j -0.0201137-0.00329443j 0.00171767+0.000316436j -0.00726505-5.45152e-05j 0.0174955+0.000186393j -0.00652228-0.00133863j -0.00318311-0.00181412j -0.00140222+0.000557762j 0.00661168+0.000571958j -0.00782298-0.00227288j -0.0122878+0.000650744j -0.00249276+0.00596625j -0.0113522-0.000848848j 0.0319833+0.000146907j -0.000333616-0.00106854j 0.0171777-0.000936091j 0.00076736-0.00172506j -0.00461235-0.00164797j 0.0336151+9.30778e-06j -0.0158778+0.000337611j -0.00188778+2.91257e-05j -0.00425446+0.000297951j -4.55297e-05+0.00102904j -0.00314858+0.000716259j -0.0123593+0.000211442j 0.00671361+6.08509e-05j -0.000494417+0.000268253j 0.0040255-5.55969e-05j 
