-0.0272225-0.0228847j -0.0593511-0.0717862j -0.105375+0.0406883j -0.0605738-0.0075645j 0.000181471-0.0104909j -0.384548+0.0821651j 0.0369322+0.080475j 0.19703+0.0283294j -0.414108+0.0480443j 0.609569-0.0646556j -0.143546+0.0353091j -0.579353-0.0308358j 0.217973+0.097168j -0.0692539-0.00907925j -0.268605+0.0788007j -0.709605-0.0977406j 0.791893+0.0491366j -0.879259+0.0144083j -0.642899-0.0672864j -0.0988305-0.0235398j -0.354505-0.00338163j -1.09351-0.0582133j -0.860398-0.0320622j -0.426783-0.0915514j -0.675021-0.0533817j 1.67332+0.110345j 0.265192+0.0152764j 0.338817+0.0103449j -0.0767298-0.00797863j 0.939982+0.0297087j 0.561823+0.0433618j -1.11565-0.0740034j 1.02308+0.0669819j -0.36928-0.148957j -1.05541-0.140206j 0.0488781+0.0475852j 0.474065+0.0820277j -1.11221-0.0314452j 1.12156+0.0917059j -0.469889-0.151415j -0.9042-0.164191j -0.0898688+0.0407798j 0.357432+0.114681j -0.212462-0.0345729j 1.79338+0.254393j -0.82774-0.125389j 0.515539+0.150775j -1.00862-0.0736008j 1.38661+0.0302557j -0.293747+0.0825556j 0.000363811-0.100362j -0.864812-0.116427j 1.06024-0.145809j -0.844231-0.0219698j 1.07753-0.329291j -0.214799+0.0388536j 0.316456+0.0863054j -0.176281+0.0808998j 0.481406-0.0597615j -0.0360765+0.0593727j 0.110391-0.35943j -0.252036-0.316265j 0.0493434+0.162552j 0.350249-0.129965j 0.530991+0.215906j 0.497616+0.251387j 0.0386432+0.459499j 0.355631+0.0310603j 0.754014+0.287581j -0.513658+0.0779754j 
0.0507432+0.0169526j -0.232491-0.00217979j -0.933424+0.115945j -0.0214505-0.114239j -0.124385-0.0527383j -2.11185+0.000706693j 0.361502-0.180983j 1.45719+0.0271813j -2.25016+0.0935832j 3.16161+0.0612347j -0.540984-0.0154592j -4.28531+0.0825742j 1.53786+0.0414186j 0.13743-0.00412763j -1.46526+0.0343068j -5.18765+0.0827977j 4.81206+0.0226161j -5.57966-0.104771j -4.22433+0.0304506j -0.328097-0.0369096j -1.83119-0.0319506j -7.02985-0.0450601j -5.54184-0.0300274j -2.96847+0.01652j -4.68369-0.0467247j 10.6771+0.139883j 1.67201-0.0120899j 2.31407+0.0923913j -0.286434+0.0383529j 5.68973+0.08132j 3.25433+0.0437698j -7.01832-0.118256j 6.78308+0.0853359j -3.16097+0.0291101j -6.45874-0.0229405j -0.219087+0.181224j 3.19559+0.123638j -6.94342-0.0884308j 7.11542+0.00708503j -3.13802+0.00964104j -5.73169+0.00160693j -0.313907+0.00829453j 2.34063-0.0135753j -1.61409+0.0643886j 10.8087-0.155283j -4.67152+0.0152652j 3.04066-0.0810498j -5.62786+0.146225j 7.05225-0.0146855j -1.98458+0.204582j 0.582091+0.0759844j -4.092-0.00750551j 5.75335-0.0535392j -4.65694+0.0778733j 5.09656+0.140558j -1.51582+0.176469j 0.191683+0.0200082j -1.34968+0.0646506j 4.17664+0.216336j -0.633288-0.0108191j 3.15917-0.170485j -2.028-0.237491j 1.50449+0.460927j 0.288398+0.176984j 2.45282-0.498056j 0.373959-0.674835j 0.214211+0.105267j 1.57418+0.0795821j 0.251412-0.63362j -0.504523+0.344328j 
-0.0494476+0.0661701j -0.414696+0.0768916j -1.88881-0.00701082j -0.0591027+0.00754366j -0.0932217+0.0834975j -3.66686-0.0230457j 0.775039-0.0392352j 2.58058-0.0999471j -3.99251-0.016872j 5.4703-0.0521357j -0.947532-0.00589709j -7.66254+0.21149j 2.58814-0.0513907j 0.244017-0.103509j -2.61739-0.0099222j -9.15231+0.219085j 8.45808-0.120668j -9.83734+0.232815j -7.57518+0.198333j -0.34656-0.0851358j -3.09926-0.0398341j -12.3926+0.230611j -9.788+0.21465j -5.46702+0.204983j -8.29275+0.187632j 18.7634-0.422989j 2.92214+0.0782586j 3.99753-0.013406j -0.595096+0.123313j 9.97049-0.174726j 5.70095-0.175302j -12.1244+0.314347j 11.5733-0.221922j -5.45112+0.0870753j -11.3328+0.448643j -0.403775-0.0542928j 5.45187-0.10369j -11.6234+0.290071j 12.0762-0.221304j -5.67565+0.281456j -9.74899+0.368924j -0.529245-0.0882255j 4.05858-0.226583j -2.58131-0.0421032j 18.6132-0.440222j -8.42454+0.117543j 5.44543-0.0387521j -9.66203+0.292538j 12.3253-0.153342j -3.10914-0.0601389j 0.523214-0.0704988j -7.31315+0.111474j 9.86184-0.375045j -7.9725+0.193299j 8.78199-0.237237j -2.6339-0.232643j 0.294897-0.602832j -2.29366+0.0223079j 7.42905-0.189814j -0.897209+0.186755j 5.06876-0.0566915j -3.88674-0.347367j 3.18993-0.0679284j 0.619463+0.213603j 3.62095-0.261915j -0.294116+0.237272j 0.417242+0.0592423j 1.95824-0.162384j 0.953167+0.217399j 0.0288841-0.407632j 
-0.0265065+0.0134873j 0.56466+0.00328364j 2.34848+0.0574025j 0.174814+0.0872948j 0.112997+0.00499774j 5.14731+0.0134938j -0.918184+0.0396537j -3.5791-0.038262j 5.54176-0.048003j -7.6484-0.0772417j 1.34172+0.006626j 10.4917+0.0797123j -3.68569-0.0764532j -0.309607+0.0396918j 3.49448+0.0241757j 12.6579+0.257025j -11.7818-0.0880214j 13.7451+0.341063j 10.5072+0.116451j 0.480309+0.126981j 4.21885+0.0650979j 17.2231+0.228587j 13.5956+0.182029j 7.53357-0.00610256j 11.5736+0.061488j -26.1524-0.357823j -3.7781+0.178566j -5.7442+0.00361432j 0.730449+0.171711j -13.9278-0.0619317j -8.10693+0.0492977j 16.9712+0.239284j -16.2593-0.464269j 7.66042+0.0741597j 16.0632+0.14765j 0.203331+0.0421764j -7.67481-0.0858957j 16.0866+0.376998j -16.9901-0.0899804j 7.98047+0.127398j 13.7602+0.26965j 0.803343-0.108669j -5.49775-0.179716j 4.06597+0.260651j -26.0651-0.487796j 11.2055+0.191106j -7.35962+0.132437j 13.7448+0.267576j -17.1558-0.398836j 4.35261+0.100091j -0.576615-0.374515j 10.5732+0.157211j -13.6333-0.20192j 11.7284+0.111729j -13.0833-0.437653j 3.40588+0.244225j -0.456179+0.106353j 3.68125-0.117295j -10.9373-0.0160478j 1.58875+0.013983j -7.6752+0.281294j 5.54394+0.179211j -3.60691-0.3883j -1.07016-0.455089j -5.07265+0.0882731j 0.668021+0.615007j -0.229966-0.21132j -2.04827+0.0838897j -0.674726+0.522177j -0.195137+0.335494j 
-0.0054775-0.031972j 0.721628-0.0449433j 2.23769-0.00730681j 0.205848+0.150413j 0.148702-0.0343875j 4.92772+0.0904939j -0.970969+0.00153228j -3.56836-0.0241986j 5.44202+0.058804j -7.57033+0.00951249j 1.33489-0.0341258j 10.3407+0.0998909j -3.66811-0.111775j -0.262776-0.00194455j 3.41398-0.0528351j 12.4045+0.156602j -11.5684-0.0536607j 13.4424+0.0530431j 10.2299+0.0617121j 0.644362-0.0118812j 4.09843-0.0477801j 16.829+0.0652166j 13.2797+0.184341j 7.28249+0.108654j 11.2537+0.0833373j -25.3591-0.188778j -3.81092+0.0144898j -5.53953-0.0677222j 0.746939+0.0678703j -13.7887-0.20678j -7.73208+0.149926j 16.5858+0.209471j -15.9577-0.257446j 7.58294+0.182327j 15.5626+0.221685j 0.217717-0.0197939j -7.14732-0.112929j 15.8177+0.0738855j -16.6008-0.240201j 7.84798+0.0632233j 13.1438-0.0122294j 0.604136-0.216105j -5.49353-0.313208j 3.83617+0.0574345j -25.4917-0.421395j 11.1413+0.27307j -7.27119-0.134449j 13.1431+0.397339j -16.6879-0.327791j 4.61891+0.355516j -0.449361+0.0380307j 9.95815+0.170042j -13.6897-0.137056j 11.7641+0.236759j -12.4343+0.0221533j 3.23736+0.24994j -0.321227-0.304876j 3.76235-0.0933288j -10.1163+0.0447994j 1.53171-0.0715118j -7.44719-0.228442j 5.88682-0.237772j -3.48353-0.272605j -1.02988+0.0116189j -5.16591+0.246044j -0.292605-0.218176j -0.310834+0.305125j -2.73704+0.0516816j -0.848136-0.336657j 0.168962+0.158281j 
-0.0321236+0.0555398j -1.70942+0.0408885j -5.90079+0.0794567j -0.334004-0.0436382j -0.610586-0.0288334j -12.7554+0.0615578j 2.45789-0.219911j 8.92769+0.0441657j -13.8707+0.098376j 19.2435-0.116143j -3.38949+0.0475591j -26.2132+0.0411631j 9.16807+0.027393j 0.910107+0.0196946j -8.78149+0.0346196j -31.6041+0.0369779j 29.3911-0.0646121j -33.9632-0.0120863j -25.8954+0.000869026j -1.15438-0.071374j -10.7607+0.22031j -42.5974-0.0631221j -33.5856+0.00167565j -18.5589+0.0755996j -28.6124-0.0906825j 64.6595+0.163675j 9.67404+0.114606j 14.1407-0.00835817j -1.6623-0.110283j 34.0634+0.277586j 19.6467+0.0774529j -42.3137-0.0565486j 40.2697+0.307012j -18.9229-0.17379j -39.5277-0.109719j -0.496301-0.00245386j 18.9684+0.164028j -40.281-0.324045j 42.0338+0.251193j -19.4814+0.0363232j -34.1425-0.0188265j -1.71026+0.153121j 14.0013+0.0988812j -9.75095+0.174411j 64.409+0.689915j -28.231-0.193419j 18.3656+0.367713j -33.9233-0.433847j 42.5134+0.186319j -10.7157-0.0533799j 1.28405-0.234336j -26.0537-0.371387j 34.079+0.0678909j -29.0845+0.10306j 31.4489+0.352112j -8.5166-0.157235j 0.790583+0.0932678j -8.86914+0.229324j 26.1723-0.0322806j -3.45874+0.252892j 19.2947+0.310662j -14.0561+0.172488j 9.19718-0.236162j 2.36975+0.121223j 12.2279+0.910765j -0.343783+0.236999j 0.614452+0.267774j 5.8414+0.365136j 1.42346+0.186114j 0.217559-0.001821j 
0.054495-0.094678j -0.128741-0.0988579j -0.921172-0.00640751j -0.0314863-0.181446j -0.0699893-0.0556773j -1.99424-0.100642j 0.313369-0.0739765j 1.4212+0.0493051j -2.03114-0.0661773j 2.98765+0.201827j -0.554842-0.0771567j -4.04099-0.088419j 1.35557+0.0667567j 0.0495142+0.0637102j -1.2529+0.00393785j -4.837-0.333721j 4.42083+0.263256j -5.28858-0.327723j -3.91659-0.215969j -0.377905-0.0542575j -1.83749-0.142224j -6.53177-0.389892j -5.15151-0.244078j -2.89182-0.10338j -4.31621-0.184498j 10.2239+0.483262j 1.54619-0.0631596j 2.28997+0.163516j -0.250681+0.0222989j 5.33075+0.315814j 2.92189+0.286336j -6.64014-0.417449j 6.35198+0.368647j -3.00521-0.262421j -5.94539-0.404087j -0.225941+0.0349976j 3.0675+0.448339j -6.45727-0.343448j 6.28965+0.709831j -2.98389-0.163796j -5.20746-0.439026j -0.293389+0.114222j 2.09159+0.168383j -1.80836-0.215752j 10.1191+0.72838j -4.41316-0.15587j 3.21497+0.332361j -5.37637-0.493518j 6.44558+0.23171j -1.6043-0.319233j 0.045341+0.145235j -4.1223-0.189451j 5.249+0.0749354j -4.82813-0.197106j 4.79978+0.0750818j -1.29782-0.0454095j 0.368154+0.25326j -1.08702-0.150927j 4.46342+0.707169j -0.437597-0.162825j 2.99937+0.364633j -1.99537+0.00482236j 1.38058+0.216645j 0.21005-0.185611j 1.71594+0.0589943j -0.583592+0.0853589j 0.241351-0.0964069j 0.990863+0.381336j 0.0627973+0.04193j 0.194055-0.0697481j 
-0.0573672+0.0340321j -2.17375+0.0629454j -7.41624+0.0228146j -0.454083-0.0950214j -0.629129+0.0427641j -16.0966+0.0956154j 3.04182-0.0980661j 11.2764+0.0135954j -17.5576+0.043878j 24.3345-0.154455j -4.29305+0.0705347j -33.1972+0.150804j 11.4865+0.176456j 1.22566+0.0911014j -11.1141+0.170137j -39.8591+0.212227j 36.923+0.111079j -43.0819-0.166302j -32.8514+0.0454223j -1.56413+0.0964618j -13.3153-0.00157119j -53.9189+0.0478112j -42.6151-0.0436346j -23.4974+0.0325406j -36.1236+0.0699308j 81.7317+0.203345j 12.2805-0.0418189j 17.7318+0.0594388j -2.30379-0.120826j 43.2635+0.349806j 24.9293+0.0764081j -53.1774-0.511879j 50.9008+0.151707j -23.7752-0.0162764j -49.8899-0.247401j -0.822991-0.0212378j 23.9519+0.297276j -50.999-0.230314j 53.1781+0.22632j -25.0436-0.043256j -43.2215-0.345689j -2.073+0.0714581j 17.8001+0.220081j -12.2847+0.0665299j 81.517+0.652107j -35.6088-0.518371j 23.7399+0.165616j -42.7624-0.544392j 53.8409+0.428212j -13.1444+0.0161729j 1.5141+0.0595491j -32.6413+0.253417j 42.7524-0.0587255j -37.088-0.315511j 39.942+0.451694j -11.0385-0.484813j 0.903236-0.0636253j -11.1488-0.387572j 33.0905-0.0287551j -4.05703-0.177803j 24.4292+0.35927j -17.4126-0.746738j 11.0363+1.24534j 3.05618+0.282832j 15.7992-0.198509j -0.547556+0.0595571j 0.286455+0.213404j 7.00945+0.197427j 2.00419-0.0331853j 0.236042+0.166297j 
-0.025721+0.119628j -2.14684+0.0693418j -7.7626+0.0124449j -0.451603-0.0883742j -0.669148+0.0636858j -16.5926-0.0152522j 3.14621-0.169879j 11.5896+0.17825j -18.0074+0.0125184j 25.0856+0.0995806j -4.38381-0.0036677j -34.2007-0.152605j 11.8842+0.182454j 0.937235-0.149449j -11.585+0.078019j -41.0299-0.0516603j 38.0206+0.336473j -44.3303-0.148527j -33.8207-0.269026j -1.77206-0.0935616j -13.8149-0.0580986j -55.4513-0.331644j -43.9542-0.238066j -24.1559-0.259573j -37.1109-0.292629j 84.292+0.685147j 12.7036-0.0697676j 18.2503+0.321273j -2.45864+0.0497165j 44.7016+0.474821j 25.6032+0.440722j -54.7397-0.478266j 52.2586+0.532516j -24.6616-0.241995j -51.5749-0.67287j -0.43457-0.132616j 24.6126+0.60589j -52.431-0.829874j 54.7175+0.846828j -25.7947-0.326132j -44.7899-0.58547j -2.51461+0.205668j 18.1071+0.482903j -12.742-0.27775j 84.3187+0.954294j -36.9944-0.719961j 24.1661+0.290001j -43.9571-0.355157j 55.0394+0.727183j -13.8352-0.00988979j 1.82076+0.266085j -33.7173-0.656864j 44.0977+0.596053j -38.2498-0.787724j 41.2115+0.510689j -11.6529-0.423181j 1.32938+0.24044j -11.9127-0.248238j 34.3529+0.684974j -4.83221+0.0122634j 24.9955+0.832963j -17.9162-0.713773j 11.6026-0.283507j 3.10995+0.13404j 16.8+0.372392j -0.494716+0.317372j 0.406734-0.0831305j 7.21338+0.0545207j 2.02561+0.122232j 0.292382+0.269324j 
0.0133091-0.0640092j 0.538005-0.0232352j 1.69278-0.0298513j 0.0617711+0.0795513j 0.034328-0.00710802j 3.59481-0.0398165j -0.712409-0.0160964j -2.49314-0.0461079j 3.94856+0.0976446j -5.35968-0.0161191j 0.995234-0.0551478j 7.49208+0.164262j -2.48916-0.173479j -0.131274-0.0557818j 2.6225-0.0411146j 9.01661-0.0620243j -8.4455-0.0696318j 9.80465+0.0706214j 7.51895+0.182893j 0.442904-0.0160827j 3.01216+0.127765j 12.3586+0.0620255j 9.39642+0.0080131j 5.35841+0.232404j 8.13964+0.00132677j -18.4565-0.157032j -2.93298+0.0616674j -3.82947+0.0784951j 0.695138-0.0232849j -9.83551-0.0118854j -5.79131-0.297111j 12.1023+0.104536j -11.4965-0.149913j 5.34831+0.0865812j 11.2276+0.00917207j 0.180005-0.0539845j -5.31429-0.102506j 11.3889-0.0215998j -11.9592+0.0543537j 5.62204+0.248109j 9.79598+0.216043j 0.366363-0.169593j -3.94019-0.0288946j 3.02965-0.025958j -18.3584-0.437723j 8.16774+0.322701j -5.21797-0.434099j 9.8989-0.135277j -12.2483-0.089101j 3.24722+0.379516j -0.812967-0.232377j 7.56864-0.125603j -9.33847-0.409972j 8.31452+0.054637j -8.71368-0.205218j 2.89422-0.0389873j 0.220127+0.374915j 2.38568+0.179705j -7.78056-0.506903j 0.999278+0.0713091j -5.11408+0.31235j 4.45169+0.137763j -2.64072-0.132012j -0.816108+0.131248j -3.26838-0.131617j 0.179965+0.314178j -0.207234-0.0583298j -1.42246-0.127157j -0.508693-0.381546j 0.165389-0.0639621j 
0.120499+0.120577j 3.52825-0.0665416j 11.7229-0.0642816j 0.666206+0.154134j 1.10934+0.0158227j 25.7399-0.27916j -4.93867+0.18656j -18.035+0.207772j 27.8645-0.281748j -39.0172+0.532026j 6.96101-0.168437j 52.9926-0.576636j -18.2146-0.0945876j -1.80844-0.0395543j 17.7024-0.242126j 63.7404-0.652596j -58.9192+0.315055j 68.747-0.293857j 52.3894-0.0067415j 2.44708-0.0255261j 21.3626-0.0590587j 86.081-0.235662j 67.8594-0.0911482j 37.6422+0.0930643j 57.6643-0.20431j -130.566+0.236001j -19.2698+0.0177061j -28.3433+0.137874j 3.81334+0.15821j -69.1087+0.0857095j -39.7367+0.304444j 85.0104+0.00383661j -81.0514-0.0425588j 38.3381-0.0897946j 79.7383+0.00863267j 1.22258+0.100699j -38.2523-0.15862j 81.2324+0.20343j -84.7703-0.277221j 39.7031-0.104158j 69.0404+0.258967j 3.39256-0.358712j -28.2372-0.243509j 19.4977+0.207222j -130.362-0.272691j 57.7725+0.0438159j -37.5105+0.0288505j 68.1516-0.120892j -85.7033-0.128986j 21.5139+0.059242j -2.5295+0.111212j 52.3467+0.513693j -68.5189-0.135446j 58.3898+0.571894j -64.0488-0.426746j 17.9031+0.0275701j -1.47392-0.0612453j 18.5331-0.515531j -53.0343-0.745408j 6.57446+0.0738494j -38.9362-0.546088j 27.7545+0.39682j -18.4341+0.0546173j -4.88588+0.0316603j -25.6705+0.191626j 1.19258+0.0475959j -0.584601-0.0953179j -11.6272-0.0926491j -3.39719+0.181933j -0.223023-0.151857j 
