-0.00571744-0.0601571j 0.0209204-0.178091j -0.137386+0.177035j -0.066164+0.163539j -0.0894333-0.0241801j -0.218815+0.0108294j 0.0532163-0.0917979j 0.0223078-0.0739443j -0.0670021-0.0745164j -0.0918495+0.114399j 0.0417327+0.139371j 0.569221+0.103737j -0.240249+0.70102j 0.608602-0.148564j 0.949053-0.620648j 0.0965414-0.0488493j -0.252971+0.099644j -0.398206-0.0678405j -0.273735+0.0897489j 0.170033+0.214223j -0.390228-0.316363j 0.00539539+0.0364849j 0.159465-0.228667j -0.216628-0.0540183j -0.106993-0.256092j -0.30525-0.213088j 0.131363+0.0381161j -0.00775505-0.230179j 0.0924573-0.00369324j -0.288461-0.742691j 0.788862-0.280121j 0.387478-0.150723j 0.237904+0.879144j -1.09562+0.0901623j -0.587383+0.899497j -1.81281+1.26149j -0.154483-1.18267j 0.0174543-0.0667282j -0.0763708-0.015782j 0.139357-0.0772534j 0.0273666+0.1111j 0.0438252-0.253647j 0.121332+0.101383j -0.272291+0.118932j -0.150374-0.133093j 0.00533209+0.184658j 0.111524-0.0717693j -0.0585915+0.252109j -0.383094+0.416666j -0.0750512-0.0809759j 0.145364+0.45738j -0.273917-0.213241j -0.174689+0.00382614j -0.202412+0.121532j -0.369132+0.137669j -0.185408-0.251961j -0.00807823+0.185179j 0.0596909+0.0820427j -0.462085+0.68949j 0.0955187-0.40015j 0.371674+0.0633107j -0.167334-0.743371j 0.0416127+0.0220404j 0.235+0.424902j 0.0701245+0.104398j 0.223367+0.0756878j 0.637462+0.164138j 0.187161+0.0142765j -0.229686+0.324423j 0.640344-0.529164j -0.337277-0.758366j 0.557877+0.10633j 0.0776799+0.693486j -0.255063-0.160886j -0.126534-0.418407j -1.01431-0.255703j 0.362427-0.498961j -0.424924-0.0908915j 0.140262+0.319634j -0.871455+0.273454j 0.00855499-0.720987j 0.161534+0.907199j 0.932948-0.856826j -0.432759-0.781092j 1.14897+0.195609j -0.0227334-1.25357j -0.228845-0.362288j -1.51207+0.01214j 1.21395-0.177072j -0.0878932-0.326546j -1.12149+0.735196j 0.927594+0.696928j 0.216676-1.89589j -0.254772+0.242436j -1.17728+0.0391767j 
0.165042+0.10844j 0.209864+0.198685j -0.0462823-0.054865j -0.140899+0.0271879j -0.136667+0.0954896j -0.225564+0.10863j -0.193715-0.195046j 0.314567-0.554143j -0.137673-0.145599j -0.239982-0.311564j 0.457237-0.167491j 0.197266+0.0808218j 0.617946+0.100671j -0.302196+0.00252504j 0.0676661+0.509883j -0.0635941+0.361331j 0.143657-0.50632j 0.228451-0.271941j -0.0855419-0.255121j 0.19266+0.0846841j -0.0259342-0.264155j 0.0464839+0.115243j -0.172415-0.390006j -0.829215+0.0465731j 0.312423-0.333169j -0.0712651-0.659506j 0.0100883-0.374187j -0.450633+0.163087j -0.107832+0.197821j -0.297228-0.788929j -0.396088+0.682875j -0.0175114-0.858193j 0.985821-0.508751j 0.446735+1.3717j -0.572121+0.485225j 0.719768-0.339574j 0.268413-0.374141j -0.078399+0.0473861j -0.00390725+0.0385623j -0.306436-0.00293447j 0.100997-0.174457j 0.272677+0.391193j -0.327621+0.0472914j 0.152042+0.0877089j 0.448565+0.0436902j 0.130231+0.0512853j -0.23743+0.2051j -0.183998-0.161024j -0.491587-0.424904j 0.103582+0.0152088j -0.523286+0.240135j -0.179197+0.407834j 0.117767+0.250131j 0.436174+0.327615j -0.373887-0.161129j 0.0379209-0.774981j 0.052881+0.0746165j -0.147399+0.142359j -0.856432+0.341149j -0.251982+0.255996j 0.514544+0.434094j 0.36054-0.853701j 0.219894+0.00230488j -0.293665-0.632908j 0.103112+0.0749521j -0.668518-0.0909514j 0.563632+0.0110196j 0.0966706+0.00589656j 0.648971-0.123036j 0.401791-0.591926j 0.0474671-0.166469j 1.29439-0.111581j 0.206236-0.539698j -0.598575+0.625188j -0.112273-0.155552j -0.213794-0.0898823j 0.953499-1.42971j -0.181172+0.975278j 0.408721+0.632298j 0.551766+0.211857j -0.62685+0.345328j 0.682857-0.453914j -0.00513278-0.240443j -0.00179106+1.0147j -0.0812918-1.28669j 0.0313656-0.0446388j -1.05007-0.142018j 1.47607+0.420072j 0.171869-0.505683j 0.0256811-1.06131j 0.158819+0.657046j -0.527822-0.0132781j -0.612334+0.386276j 0.322085-0.737048j -0.569123-0.151966j 
-0.226437+0.111101j 0.0202808+0.160039j -0.282373-0.24293j -0.242633-0.0735891j -0.111264-0.208766j 0.0529014+0.26612j -0.631194-0.0183806j 0.161752-0.164103j -0.0046655-0.0278266j -0.0699467+0.412073j 0.0741624-0.0201349j -0.225472-0.734156j -0.74887-0.614465j 0.509348-0.386027j 0.323873-0.11979j -0.411107-0.297093j 0.294302-0.0336543j 0.107396-0.446676j -0.065062-0.260441j -0.354946+0.616627j -0.0804362+0.279869j -0.101782+0.159474j -0.324528-0.910269j -0.388116+0.152802j 0.476072-0.177102j -0.0497417+0.78647j -0.301741-0.438242j -0.58578-0.16401j 0.198062-1.09966j -0.481108+0.172337j 0.690006+1.09168j -1.35428+0.406475j -0.77815-0.0896304j -1.1206-0.429923j 0.94755+0.128173j -0.105333+1.05094j 0.32637-0.516368j 0.245958-0.299859j -0.133124-0.21366j 0.249912-0.354021j 0.136116+0.197461j 0.280638+0.0793148j -0.145009+0.0894868j -0.658259-0.382883j 0.816978+0.248608j -0.484028+0.333646j -0.346665+0.280605j -0.264637+0.382944j -0.0507875-0.113416j -0.0670395+0.00682293j -0.201886+0.0342116j -1.24285+0.106099j -0.334596+0.814786j -0.217075+0.635717j -0.243232-0.506532j 0.0869829-0.711877j -0.0859318+0.153714j -0.706719-0.0665921j 0.5358+0.121865j -0.200022+0.202894j 0.551672+0.346899j -0.399584+0.439586j 0.185702+0.309782j -0.144186-0.804104j 0.37795-0.730147j -0.701899-0.258841j 0.790477-0.320947j -0.464293-0.735482j 0.186396+0.268436j 0.179537-1.017j 0.555057+0.110725j -0.487555-0.0861191j 0.264766+0.0699054j 0.751811+0.796486j 0.341151-0.550008j 0.347299-0.944446j -0.172274+0.308361j 0.678003-0.477745j 1.07483+0.29354j 0.149165-0.716203j -0.256482-0.274196j -0.374825-0.640445j 0.326568-0.267476j 0.10616-0.324818j 0.0124267-0.457809j -1.15039-0.315635j 0.0117334+0.521258j -0.463592+0.146089j -0.660643-0.0771152j -0.716704-0.104628j 0.0740608-0.348185j 0.259876-0.803377j -0.544359-0.495294j 0.651941-0.227309j -0.607101-0.664686j 
-0.221637+0.0809537j -0.0697147+0.043903j -0.0280764-0.183184j -0.335656-0.425108j 0.087447+0.162149j 0.182156-0.259549j -0.0124058+0.487209j -0.268579+0.0922745j 0.0784133-0.120034j -0.766362-0.314015j 0.321652-0.30932j 0.101588-0.124241j 0.171273+0.858141j 0.474669+0.184728j 0.108015+0.208095j -0.342496-0.346829j 0.25395+0.219244j 0.149258+0.00890903j 0.308744-0.686132j 0.0178178-0.189115j 0.412169+0.0532942j 0.521209-0.0661582j -0.274701+0.554497j -0.258688-0.428751j 0.132462-0.294296j 0.0321566+0.0670982j -0.897274-0.320361j 1.03537+0.647453j 1.04282+0.23181j -0.700019-1.07774j -0.291497-0.311523j -0.328454-0.878207j -0.0331186+0.891234j 0.530147-0.467969j -0.585427-0.322265j -0.176443+0.4964j 0.582924-0.00786498j 0.174116-0.240306j -0.0735298-0.172502j 0.32148-0.31454j 0.0692454+0.220716j -0.597443-0.0311248j 0.180394-0.337263j 0.452796+0.261379j 0.265723+0.271109j 0.241966-0.168865j -0.0838712+0.288664j -0.12368-0.619613j 0.478484-0.319769j 0.482101+0.1222j -0.0690991-0.342198j 0.187641+0.185778j 0.158213+0.391766j 0.265488-0.875819j -0.168021+0.181498j 0.560869-1.16326j -0.575554-0.125082j 0.471276+0.510394j -0.408274-0.159961j 0.107341+0.557676j 0.272552+1.21291j 0.557355-0.022955j -0.471021-0.543146j -0.398714+0.114091j 0.518227+0.495457j 0.0559792+0.376807j 0.507447-0.36229j 0.766603-0.18825j -0.767127-1.05478j 0.0227892-0.62127j -0.129081-0.147479j -0.434365-0.847201j -1.37817+0.267744j 0.158197-1.06672j -0.806266-0.0112862j -0.00437533+0.202964j -1.32051+0.0719619j -0.924006+0.0389184j -0.417751-0.958775j 0.034665+0.0627606j 0.154174-0.280002j -0.175853-0.0925879j 0.281525-0.0505019j 0.547631+0.232639j 0.0201574+0.156248j -0.072905-0.388416j 0.474974-0.526144j 0.397433-0.752776j 0.562465+0.332654j 0.334376+0.68681j -0.124728+0.5771j -0.040933+0.159406j 0.107146-0.108367j 0.408642+0.175951j 0.146513-0.595836j 
0.033589+0.0819399j 0.0832721-0.137248j 0.0151831+0.0860003j 0.200324-0.263045j 0.0787467+0.182098j 0.301241-0.143789j 0.212897+0.0882691j 0.402828-0.0956663j -0.744818-0.899909j 0.114444+0.147946j -0.78158-0.588408j -0.0532546-0.268909j -0.381481+0.451877j -0.218391+0.0598163j -0.109244-0.0565928j -0.114893+0.109627j -0.270423-0.0092055j -0.167085+0.0948535j 0.664662+0.024822j 0.24414-0.0527881j 0.576686+0.160064j 0.0817527-0.0506453j 0.106861+0.567597j -0.780766-0.213814j -0.0726892-0.987082j -0.411644+0.340487j 1.13929+0.792513j -0.763626-0.244494j 0.990193+0.251649j 0.452129+0.667489j 0.454202-0.00837523j -1.56022-1.29775j 0.13179+0.0194068j 0.134835-0.195409j -0.188303-0.417519j 0.140666-0.29803j -0.13044+0.0526765j -0.146684-0.188278j -0.114856+0.052653j 0.0500659+0.250115j -0.140171-0.0530234j -0.155792-0.641141j 0.373142+0.0846274j -0.0889937+0.677538j 0.127824+0.193358j 0.418925+0.292283j -0.128358-0.142506j 0.00722001-0.278215j 0.278536-0.904733j 0.0925429+0.0314402j -0.463761-0.46659j 0.822716-0.0502528j 0.200306-0.447103j 0.161674-0.474269j -0.280701+0.126632j -0.159613-0.402083j -0.0161418-0.0119354j 0.011695+0.0403304j 0.170195+0.487367j 0.475991-1.38383j 0.539255-0.00164736j -0.403613-0.14612j -0.1037+1.56063j 1.10489+0.286605j -0.97321+0.0245083j -0.368277-1.19409j -0.0131361+0.0574899j -0.532456+0.69323j -0.149076-0.819264j 0.18636+0.369044j 0.259438+0.0029528j -0.213341-0.215463j -0.886637-0.120153j 0.203105+0.61593j 0.0221346+0.698754j 0.159739-0.375011j -0.20448+0.221093j 0.956567+0.474112j 0.041141-0.29949j 0.103225-0.0750229j -0.772384-1.02892j -0.0307683+0.246645j 0.556338+0.466999j 0.079437-0.267991j 1.82648-0.828099j 0.075524-0.116155j 0.789769-0.243417j -0.130572-0.251604j 0.229377+0.296719j 0.0486735+0.403418j -0.109866+0.093288j -0.153292+0.260357j 0.217632+0.192945j -0.227073-0.0146479j 0.0389017+0.206548j 
0.151359+0.273308j 0.354237-0.303906j 0.231012+0.172301j -0.0261047+0.0628063j 0.231582+0.362123j 0.354035+0.156153j 0.136129-0.697477j 0.350213+0.0738638j 0.358184+0.907906j -0.577921+0.120423j 0.0372629+0.550007j -0.0861633-0.368341j -0.312784+0.17091j -0.29588-0.286278j 0.0740082-0.48021j -0.38623+0.480187j -0.65492-0.318179j -0.154561+0.288191j 0.0317554+0.369671j 0.385824-0.382023j 0.459403+0.0445242j -0.0181995-0.636074j -0.539008-0.241764j -0.329135-0.704002j -0.286009+1.07936j -1.37114+0.0246304j 0.150647-0.160724j 0.130727+0.817011j 0.687069-1.00589j -0.0287676-0.0204861j -0.46024+0.354298j -0.0234888-0.589292j -0.669783-0.100211j -0.238351-0.44484j -0.283376-0.241146j 0.542248-0.363336j -0.550175-0.462223j -0.460055-0.568156j -0.392568+0.17104j -0.348965+0.46134j -0.187435-0.307482j -0.11704-0.502023j 0.261702+0.0732795j -0.248881+0.524266j -0.832592-0.336437j 0.47382+0.247038j 0.821955-0.531107j -0.569991+0.301633j 0.154977-0.302742j 0.00075976-0.818731j -0.081016-0.323228j 0.427777+0.730054j 0.582812-0.244811j 0.428279+0.896295j 0.513232+0.655049j 0.40389-0.113817j 0.771015+0.274345j 0.428846-0.368221j 0.262239+0.494818j -0.295373-0.294158j 0.0583993+0.377905j -0.655578-0.172575j 0.0911015-0.0312295j 0.50107+0.0231561j 1.70398+0.718276j 0.0692834+0.0589668j 0.0192844+0.466785j 1.44418-1.03522j -0.379171+0.199437j 0.517324+0.170665j 0.583178-0.0453869j -0.0362961+0.0873775j -0.0971145+0.31194j 0.11067-0.462769j 0.732815-0.287864j 0.331369-0.82271j 0.195893+0.0315659j -0.436601-0.811008j -0.384203+0.626698j 0.716544-0.0512976j 0.230937-0.644036j 0.258819-0.844118j -0.0509579+0.743064j -0.293177-0.29186j 0.763796+0.426361j -0.365867-0.503675j 0.553693-0.450416j -0.620241+0.398905j 0.331238+0.230887j 0.068942+0.813685j 0.196974+0.0517534j -0.0247223+0.241562j 0.111728+0.124476j -0.485303-0.314891j -0.490418+0.56659j 
0.0464643+0.109847j 0.257141-0.118695j -0.0314919-0.686487j 0.0518977-0.050131j -0.198497+0.254962j -0.557847+0.074526j 0.233081-0.369954j -0.0239032+0.09096j 0.171352+0.634672j 0.469933+0.229621j 0.0124773-0.229844j 0.146143-0.643565j -0.183328+0.112883j -0.0386812+0.0962571j 0.339334+0.086825j -0.420001+0.204574j -0.0298304-0.280316j 0.385724-0.551853j -0.77297-0.164698j 0.028555-0.611947j -0.336258+0.160231j -1.02407+1.30879j 0.719779+0.678082j 1.32992-0.534319j 0.0667376-0.141808j 0.148807+0.302964j 0.728039-0.168746j 0.103685+0.831491j -0.441371-0.0466415j -0.291842-0.921108j 0.606626-0.498586j 0.584213-0.194684j 0.197916+0.0489234j -0.898461-0.507785j 0.107037-0.0408789j 0.0619875-0.279851j 0.359529-0.390712j -0.282762-0.399524j -0.252171+0.0394213j -0.270587-0.168819j 0.0868803-0.0896033j 0.0178752+0.704825j -0.463417-0.182678j 0.0625857-1.03403j -0.297461-0.970762j -0.579403-0.547784j 0.149685+0.157014j 1.43498+0.245574j -0.626315-0.00602308j -0.796545+0.722914j 0.000187213+0.22083j 0.0702488-0.479931j -0.223503-0.50489j -0.00724739-0.254083j -0.321101+0.933082j 1.26263+0.122922j 0.395686+0.00529457j 0.526443+0.538732j 0.250112+0.231875j 1.35463-0.104415j -0.805198+0.904755j -0.279016+0.0957103j -0.486336+1.36702j -0.283731+0.366743j -0.442884+0.170188j -0.585844-0.1421j -0.0445269-0.548831j -0.121331+0.452162j -0.187579-0.392292j -0.309143-0.238236j 0.0466517+0.205628j 0.601833-0.693144j -0.382486+0.00169547j 0.395867-0.673377j 0.538865-0.238063j 0.119997+0.34881j -0.615025-0.978895j -0.147115-0.802805j -0.497001-0.113744j -0.106669-0.379529j 0.145241+0.143763j -0.645583+0.216742j -0.286969+0.466256j -0.315407-0.36435j -0.0800952+0.53583j 0.334816+0.824209j -0.335343+0.156517j -0.436705+0.115114j -0.0657336-0.426963j 0.387071-0.139015j 0.406283-0.341028j 0.2191+0.0745216j 0.3852-0.0125947j 0.0358936-0.0870764j -0.155098-0.297889j 
0.0471899-0.154343j -0.385303+0.0019603j -0.0665162-0.117628j -0.0614884+0.090103j -0.799641+0.31464j 0.639941-0.0469568j 0.880119-0.803317j -0.291366-0.197024j -0.550908+0.0771236j 0.155253+0.00720419j -0.111661+0.0564441j -0.587124+0.0497181j -0.105687-0.166361j 0.15632+0.178395j -0.227268-0.00880935j 0.406862-0.0715288j 0.290114+0.457579j 0.0175474-0.246275j -0.0963183+0.0867918j 0.374062+0.234312j 0.464797+0.622054j -0.93165+0.98949j 0.48042-0.761091j -0.474775+0.19682j -0.686033+0.409007j 0.130153-0.239406j -1.35413+1.19835j -0.0168994+0.450715j -0.172755-0.62662j 0.554999-0.447989j 0.200238-0.15924j -0.33466-0.118152j 0.269942-0.192193j -0.327299+0.56167j 0.269754-0.0218047j -0.34831+0.143122j -0.155103+0.311312j -0.00282456+0.446724j 0.245962+0.0974436j 0.449669-0.252932j 0.0713168+0.304064j 0.298921-0.0976392j -0.0773487+0.143984j -0.358858-0.0472028j 0.450424+0.31847j -0.203222+0.113425j -0.737892-0.280579j 1.44213+0.610289j 0.247145-0.478358j -1.10744+0.704413j -0.197217-0.445804j 0.236604+0.356931j 0.808407-0.226758j -1.25144+0.638494j 0.164964-0.351004j -0.356548+0.132542j -0.0301463+1.04163j 0.0351621-0.615217j -0.0884251-0.169883j 0.24067-0.193209j 0.13372-0.310521j 0.0109839-0.0636777j 0.195581-0.148245j -0.232032+0.441365j 0.950381+1.17387j -0.0294594+0.670773j 0.328146-0.709895j 1.57542-0.0799764j 0.649852-1.00427j -0.576468-0.853724j -0.494439+0.15419j -0.131652+0.462706j -0.635946-1.18571j 0.032787+0.0844169j -0.0266236+0.123881j -0.251715+0.321399j 0.528251+0.278528j 0.129235+0.333243j -0.28278-0.360891j 0.0380525-0.647602j -0.288777-0.0521606j -0.697963-0.186535j 0.196274+0.35006j -0.00411819-0.0109044j 0.231644-0.216366j 0.0646707+0.423045j -0.317928+0.221566j 0.111096+0.130203j -0.306768-0.0970758j 0.00486595-0.601286j -0.261106-0.27897j 0.0030148-0.293254j -0.174793-0.143203j 0.0506399+0.194266j 0.21801+0.076219j 
-0.173828+0.178629j 0.331904+0.162719j -0.586983+0.583969j 0.28159-0.709041j -0.00317462+0.11916j -0.0253326-0.497751j 0.129649-0.118388j -0.480859-0.377051j 0.560575-0.392882j 0.101156-0.219993j -0.121214+0.524579j 0.206164-0.0188972j -0.292577+0.315866j -0.0477466-0.215597j 0.222957+0.190034j -0.611825-0.283729j -0.200654-0.825565j -0.836713+0.344253j 1.13375+0.088111j -0.314799+0.417832j 0.415979-1.36421j -1.65792+0.0873175j -0.341574+0.303204j 0.236476+1.11594j -0.686572+0.430584j 0.342979+0.362804j -0.0731995-0.276552j 0.535238+0.338982j -0.478167+0.810219j 0.297315+0.824365j -0.0429028-0.11221j -0.13984+0.169005j -0.677599-0.751074j 0.0206647-0.217336j -0.231448-0.611377j 0.347083+0.0585781j 0.358378-0.230126j 0.516025-0.714188j -0.294844-0.411256j -0.928073+0.467475j -0.00533492-0.637728j -0.116312-0.651035j 0.479954+0.172379j -1.08548+0.122262j 0.438255+0.411183j -0.222287+0.54836j -0.647848-0.237277j -0.201185+0.670173j -0.930601-0.0282568j -0.495059-0.174594j -0.474818+0.738245j 0.8835-0.554363j 0.302252-0.305505j -0.65609-0.842868j 1.53738-0.358486j -0.114766+0.26481j -0.515112-0.0563114j 0.629341-0.988675j -0.362309-0.968598j -0.649332-0.151332j -0.372128-0.167993j 0.718005+0.109784j 0.60846+0.182398j 0.211916-0.699081j 0.475507-0.588816j -0.641979-0.01445j 0.716026-0.145206j -0.374234-0.638566j 0.111261+0.0162018j -0.0247498-0.966583j -0.44862-0.317761j 0.531957-0.0254422j 0.399962-0.0420865j -0.742568+0.0566419j 0.0117024+0.101792j -0.767468+0.42879j 0.050093-0.518539j -0.266615+0.347275j -0.0884075+0.550791j 0.192259+0.913267j -0.417092+0.0299985j 0.841045+0.133866j -0.597778-0.0654244j -0.321772-0.535198j 0.396269-0.445414j -0.0533297+0.159264j 0.507928+0.39893j -0.674247+0.242693j -0.183508+0.293331j -0.772404+0.260154j -0.119122+0.0424754j -0.160208+0.232006j 0.252164+0.139026j 0.00656968-0.231922j -0.229341-0.243928j 
-0.254066+0.463527j -0.0940861+0.0221629j 0.649644-0.0662332j -0.233843+0.31082j 0.665807-0.0868199j -0.404469+0.5427j 0.259512-0.165199j -0.467705-0.646187j 0.244858-0.188344j -0.171925+0.0442932j -0.222555-0.223197j 0.210408-0.0288323j 0.127555+0.126891j 0.294427-0.337054j -0.263643+0.107981j -0.472677-0.473735j 0.439061-0.0607304j 0.796606+0.584005j -0.355651+1.42919j 0.712872-0.0896498j -0.461343-0.358908j 0.598061+1.25004j -0.223812+0.601908j -0.3394-0.449338j -0.339379-0.190978j -0.141424-0.968599j -0.32055-0.566914j 0.189695+0.221448j -1.21051+0.333973j 0.362555+0.164093j 0.108178+0.362544j 0.0417931-0.137729j 0.345104-0.112072j 0.148851-0.512719j -0.33894-0.195345j 0.217065+0.656946j 0.0530168+0.336178j 0.913842-0.388436j -0.0665461-0.488572j -0.953882-0.619707j 0.597249-0.341297j 0.0417966+0.58747j -0.393032-0.150364j 0.871818+1.40624j -1.40883+0.800692j 0.928956-0.0980647j 0.0367659-1.55527j -0.0284171+0.720635j -0.418986+0.179915j -0.881679-0.508132j -0.189045+0.14195j -0.332393-0.435063j -0.270977-0.220113j 0.0213209+0.907509j 0.24119-0.712924j -0.526882-1.36635j 0.601524+0.105378j -0.754995-0.578201j 0.0695471-0.00572968j -0.385582-0.434273j 1.51937-0.050192j 0.249777-0.0782579j 0.635125+0.393529j 0.148808-0.406476j -0.190163+0.12782j -0.670342+0.0534174j 0.329017+0.0927172j -0.140724+0.317705j 0.0457452+0.428549j 0.186522-0.34021j 0.220284+0.815619j 0.674509-0.0353254j 0.500908+0.270296j -0.291967-0.288426j -0.00401647-0.0172252j 0.958193+0.233691j 0.409675-0.521441j -0.319044+0.048146j -0.35567+0.319043j -0.259679+0.139084j -0.0958364-0.213816j -0.15858+0.128756j -0.496848-0.34125j 0.0349494-0.189902j 0.120705+0.222041j -0.558734+0.53685j -0.165269+0.0683547j -0.107614+0.0967643j 0.349447+0.0418589j -0.116282-0.055581j -0.231805+0.485336j -0.175565+0.160342j -0.223074+0.038672j 0.0665966-0.010044j 0.0128143+0.02915j 
-0.909059-0.534749j 0.606267+0.130639j -0.492825-0.573809j -0.490533+0.220923j -0.0735522-0.44868j -0.506727+0.0050193j 0.129553-0.308092j -0.101432-0.0900329j -0.181274-0.203799j -0.544984+0.0107773j -0.113458+0.0136902j 0.117387+0.318225j -0.265729-0.197463j -0.0116402+0.257127j 0.0286008-0.0547155j 0.117243-1.17916j -1.83212-1.06325j 0.324141+0.244025j 0.834519-0.247791j -0.0667926-0.952768j 0.848033-0.228018j 0.465295-0.248145j 0.505354+1.15442j 0.485117-0.522789j 0.382365+0.0624084j 0.458208-0.836042j -0.095049+0.247101j 0.208845+0.455255j 0.0476375+0.0291724j 0.536586+0.190222j -0.393851+0.611591j -0.103644+0.0712954j 0.0999279-0.196369j 0.435969+0.129714j 0.489914-0.121208j -0.312313-0.152675j -0.0263859-0.00154997j 1.44772-0.00553765j 0.27741-0.91382j 0.923342+2.03226j -1.20049-0.29278j 0.374027+1.51304j -0.730647-0.00698076j 0.40667+0.225412j 1.84542-0.10839j 0.31556-0.187597j -0.793206+1.22207j 0.610309+0.890452j -0.266443+0.680316j -0.542357+0.64133j 0.638021+0.436708j 0.0916338+1.04804j 0.546633+0.237336j 1.06117+0.115107j 0.205793+0.054996j -0.0377969-0.434225j 0.252714-0.395634j -0.264188+0.109442j 0.809026-0.0139944j -0.322024+0.685481j 0.239966-0.138572j -0.180688+0.677957j -0.0732022+0.123276j -0.512515-0.890328j -0.0820081-0.126038j -0.820929-0.120625j -0.434035-0.157227j -0.313964+0.0112086j 0.198076-0.146035j -0.440569+0.210681j -0.395966+0.604739j 0.185725+0.0490677j 0.0651649-0.400928j 0.0106358-0.182252j -0.032389+0.266283j 0.399717+0.851534j 0.152669-0.0131868j -0.10758-0.018273j -0.470162-0.282269j 0.238714+0.246092j 0.0225123-0.177895j 0.543346-0.223203j -0.0508669-0.287218j 0.119101+0.10966j 0.149161-0.042463j -0.313718-0.609463j -0.0531793+0.127833j 0.0888251-0.0541326j -0.267659-0.0290997j -0.196978-0.235679j 0.0343042-0.204384j -0.0542301-0.0202633j 0.10017+0.128823j 0.0232955-0.078598j 0.0411971-0.108274j 
