0.552952-0j -0.0962648-0j -0.0006891-0j -6.09073e-07-0j 0.024484-0j 9.05133e-05-0j 3.72461e-08-0j -3.85212e-06-0j -0.00377435-0j -5.77817e-06-0j 2.04005e-07-0j 0.000384016-0j 2.23476e-07-0j -2.58408e-05-0j 1.0345e-06-0j 
-5.89229e-05-0j -0.000492426-0j -0.00123622-0j 0.000109395-0j -0.00206565-0j -0.00297061-0j -2.05276e-05-0j 0.000691877-0j 0.409831-0j -0.0628159-0j 0.00680533-0j -0.0126032-0j -0.000123166-0j 0.00464125-0j -0.000570147-0j 
0.000668325-0j 0.00329785-0j 0.00246786-0j 2.53922e-05-0j 0.0090081-0j -0.00146504-0j -3.14064e-06-0j 0.000160595-0j -0.818146-0j -0.0145805-0j 0.00104119-0j -0.00621564-0j -1.88438e-05-0j 0.0010773-0j -8.723e-05-0j 
2.43833e-08-0j -1.27142e-05-0j -0.000223965-0j -0.00130837-0j 3.06008e-06-0j -0.000852896-0j -0.00475101-0j 9.18023e-05-0j -0.00124248-0j 0.244871-0j -0.0263569-0j 0.000123166-0j -0.0140145-0j 0.000615829-0j 0.00220817-0j 
-6.7627e-07-0j 0.000250915-0j 0.00262823-0j 0.00488678-0j -4.81503e-05-0j 0.00659716-0j -0.001259-0j -0.000342882-0j 0.0145805-0j -0.914594-0j -0.00698449-0j -0.000952688-0j -0.0037138-0j -0.00230012-0j 0.000585157-0j 
-2.0433e-08-0j -3.6265e-07-0j -3.14064e-06-0j -1.21636e-05-0j 0.000115026-0j 0.00109123-0j 0.00298846-0j 0.00697848-0j 0.00104119-0j 0.00698449-0j -0.990736-0j -0.000103212-0j -0.000399738-0j -0.00051606-0j -0.00185043-0j 
-3.22805e-06-0j -4.07666e-05-0j -0.000209933-0j -0.000258782-0j -0.000229837-0j -0.00107185-0j 0.000100564-0j -0.00163668-0j -0.00114985-0j -0.00245503-0j 0.000550814-0j 0.347398-0j -0.0460949-0j -0.0109792-0j 0.00279314-0j 
5.40897e-05-0j 0.000452034-0j 0.00113482-0j -0.000100422-0j 0.00189621-0j 0.00272694-0j 1.88438e-05-0j -0.000635125-0j 0.00621564-0j -0.000952688-0j 0.000103212-0j -0.883832-0j -0.00863729-0j -0.00426055-0j 0.00052338-0j 
-2.23832e-08-0j 1.16713e-05-0j 0.000205594-0j 0.00120105-0j -2.80907e-06-0j 0.000782937-0j 0.0043613-0j -8.42722e-05-0j -1.88438e-05-0j 0.0037138-0j -0.000399738-0j 0.00863729-0j -0.982801-0j -0.000565315-0j -0.00202704-0j 
-1.09045e-07-0j -1.93536e-06-0j -1.67607e-05-0j -6.49141e-05-0j -1.36851e-05-0j -0.000129828-0j -0.000355549-0j -0.000410553-0j -9.18023e-05-0j -0.000615829-0j -0.00194742-0j -0.000550814-0j -0.00213329-0j 0.254635-0j -0.00987523-0j 
3.02437e-06-0j 3.81944e-05-0j 0.000196687-0j 0.000242454-0j 0.000215335-0j 0.00100422-0j -9.42192e-05-0j 0.00153342-0j 0.0010773-0j 0.00230012-0j -0.00051606-0j 0.00426055-0j -0.000565315-0j -0.951062-0j -0.0026169-0j 
1.03614e-07-0j 1.83897e-06-0j 1.59259e-05-0j 6.16809e-05-0j 1.30035e-05-0j 0.000123362-0j 0.00033784-0j 0.000390104-0j 8.723e-05-0j 0.000585157-0j 0.00185043-0j 0.00052338-0j 0.00202704-0j 0.0026169-0j -1.02017-0j 
