1.01011+0.00244949j -0.0626325-0.0714087j 0.0855508-0.0742506j 0.019665+2.56732e-05j -0.0515725+0.00784733j 0.00192789-0.0400819j -0.00666453+0.0606503j -0.04267-0.0116255j -0.0259068+0.00138431j -0.00340781+0.00177475j -0.0099947+0.0162853j -0.0124816-0.00441358j -0.001244+0.00466899j 0.0118625-0.0252608j 0.035502+0.0203385j 0.0196635-0.0235782j -0.000229972-0.000110674j 0.0082148+0.0307151j 0.0376606-0.0105811j -0.00369642-0.00365058j 0.00277432+0.0227922j 0.0134005-0.000568374j -0.00418031-0.0157891j -0.000905361-0.00301689j 
0.00321935-0.0114563j -0.502388+0.477539j 0.460693+0.518166j 0.0999161-0.00700872j 0.0212946+0.00541968j 0.0120424-0.0272393j -0.010774-0.0156725j 0.107668+0.0326152j -0.152864+0.0031343j -0.0223252+0.0191231j -0.0283057+0.0301376j -0.0159655-0.0112511j -0.00286329+0.0219776j -0.0243204+0.0306491j -0.00308654+0.0104984j -0.0248695+0.00199789j 0.0010014+0.00350368j -0.0189042-0.0131176j 0.000579796-0.0150814j 0.0135186+0.0184536j -0.0141789-0.0215606j 0.0351855-0.0142731j -0.00269974-0.0406932j -0.0285201-0.01129j 
0.0158985-0.0397646j -0.0635715+0.0257454j 0.0200362+0.0627374j -0.0846284-0.164988j -0.163778-0.256462j 0.133729-0.0819128j 0.367706-0.251189j -0.0727243+0.0317243j -0.181876-0.258698j -0.00277293+0.014426j 0.0209739-0.0105702j 0.00192221-0.0121628j 0.0104273+0.0239345j 0.0264149+0.00296214j 0.00312509+0.00575764j -0.00489462+0.0131195j -0.0392099-0.03853j -0.00210671-0.0234415j 0.00815017-0.0627367j -0.107164-0.0553198j -0.029666+0.00319921j 0.00900512+0.0895506j 0.035414+0.0500985j -0.16505-0.00115208j 
0.0680827-0.000641652j 0.0245839-0.0614079j -0.0576605-0.0147511j 0.00274519+0.154189j -0.297145+0.0458925j -0.206061+0.122863j -0.177867-0.415769j -0.163238-0.0157281j -0.20623+0.167598j 0.00873819-0.0426265j -0.0296661+0.0144833j -0.0182039+0.0281089j -0.0232411-0.0326389j -0.0126375+0.00853349j -0.000727349+0.00423467j 0.00936818-0.0327538j 0.0282429-0.0304372j -0.0157109-0.0328517j -0.0353047-0.00518836j 0.0427055-0.133343j -0.0222228-0.0311035j 0.0823698-0.0485364j -0.00658706-0.0441143j 0.0506426+0.0400748j 
-0.0112501+0.0441186j -0.0177326-0.0733336j -0.0823823+0.0282147j -0.194159-0.185082j -0.0633367+0.222995j 0.305867-0.240635j -0.228121-0.0793322j 0.157212+0.284666j -0.122942+0.0833173j 0.0103232+0.0116363j -0.0124078+0.0387023j 0.0140331-0.0056499j 0.0335419+0.0812006j -0.0017039+0.0167755j -0.0100302+0.031391j -0.0211291+0.0525714j -0.029438-0.0709546j -0.0077939-0.000378985j -0.0175781-0.0579843j 0.0040364-0.0912999j 0.0694942+0.0219465j 0.0213916-0.0108486j 0.113883-0.0147307j -0.0231141+0.0356348j 
0.0224723+0.0410831j -0.0124519+0.097095j 0.0960342+0.00230391j 0.25739-0.149998j -0.0854077+0.0692733j 0.277865+0.38908j -0.091896+0.00074985j -0.241896+0.21373j 0.081723-0.0468551j -0.0776547+0.0720298j -0.0107099-0.0129773j 0.0252988-0.00591624j 0.0317642-0.116099j 0.00194658-0.0135032j -0.0248206-0.0171539j -0.0792078-0.00500223j -0.0269147+0.0738988j -0.0131745+0.0141483j 0.0716986-0.00519431j -0.00849243+0.0371505j -0.0371613+0.082695j -0.0506798+0.00751971j 0.00406726+0.0844063j -0.0295992-0.0420381j 
0.0132445-0.00736082j -0.0210267+0.00448208j -0.00299444-0.0151902j -0.00819483-0.00124473j -0.0146642-0.0222912j 0.0302739-0.0234523j 0.072526-0.0453677j -0.0135774+0.0126139j -0.0392939-0.09253j 0.0905121+0.0234051j -0.119314-0.000398615j -0.0632729-0.0671235j 0.00783447-0.073953j -0.13331+0.0455823j -0.10392-0.106822j -0.0102488+0.0230249j 0.0175137+0.0999274j 0.163765+0.229902j 0.107197+0.0681298j 0.174871+0.315217j 0.0314771+0.0831956j -0.15646+0.180914j -0.0021912+0.111215j -0.00401704+0.0113433j 
0.0187236-0.00640923j -0.0104326+0.0281766j -0.0246576+0.0084705j 0.0193387-0.0757828j 0.0270691-0.0771384j 0.0107921-0.0163558j 0.0422906-0.0364275j -0.00797932-0.0160975j -0.0948248+0.0328504j 0.0136696+0.00783492j -0.0867458-0.0526491j 0.044823+0.0239408j 0.0301287+0.0917037j -0.271136-0.104991j 0.0760452+0.0378921j -0.0163967-0.00432548j 0.010412-0.166148j -0.134431+0.1877j -0.0980349+0.111594j 0.489406-0.212932j 0.128766-0.073939j -0.157031-0.262689j 0.0278337-0.160949j 0.293571-0.216276j 
0.0378626-0.00435959j -0.00797531-0.0189945j 0.0214719-0.0113999j -0.0155978-0.0110575j -0.0182446+0.0137606j -0.026847+0.017808j -0.000121271-0.00276446j -0.00102064-0.0528317j 0.0222557+0.0162074j -0.132062-0.0584145j 0.125587+0.0262836j 0.0755561+0.149401j 0.044411+0.165603j -0.0440132+0.0303565j 0.0746241+0.227528j 0.0269097-0.0497661j -0.115732-0.3453j 0.248527-0.00995605j -0.13698+0.22803j -0.16427+0.225093j 0.00170685-0.0577734j 0.104475+0.153648j -0.0813139+0.080034j -0.113781+0.132627j 
0.0402055-0.000367663j 0.0144834+0.00986102j -0.010669+0.0184115j 0.0212494+0.0146731j 0.00460866-0.0298527j 0.00577804-0.00782173j 0.00645555-0.00443268j 0.00288316+0.0394716j -0.0225652-0.00143739j 0.125212+0.0807465j -0.0283061-0.00132307j -0.0575788-0.215332j -0.0157576-0.304341j 0.111001+0.0146123j 0.219945+0.0539661j -0.196963+0.235121j 0.386706-0.186127j -0.0344461-0.191487j 0.157732+0.12734j -0.158148-0.0717766j 0.138529-0.0858514j 0.0950919-0.104747j -0.128592+0.101246j 0.0301455-0.0391409j 
0.0282634-0.00517263j 0.0193767+0.0270389j -0.00408856+0.00786145j -0.0195343+0.0361516j 0.000100455-0.0646952j 0.0128763+0.0460175j 0.0552039+0.0406885j -0.0733744+0.0259558j 0.0852219-0.0465782j -0.0721069-0.0160179j 0.272836+0.129542j -0.065646-0.0570952j 0.0854106-0.210894j -0.00400281-0.166212j -0.154249+0.215212j -0.123732+0.0505984j -0.449907+0.0241207j -0.116605+0.0140693j -0.163358-0.276161j -0.0240182-0.22297j -0.0405007+0.107887j -0.000846853-0.0212994j 0.251248-0.172805j -0.0581122+0.0394675j 
-0.00556766+0.00993165j -0.0287198+0.0119888j -0.0088304-0.0130764j -0.018832+0.077567j -0.00988318+0.0759584j -0.0280298+0.00427165j -0.105848-0.0246112j -0.0168388+0.0312015j -0.000533943+0.0523391j 0.0294703+0.0194853j 0.0439075+0.0429402j -0.0782405-0.0921945j 0.0902674-0.177226j -0.201485-0.0942618j -0.0548226+0.131669j -0.128038+0.108052j -0.13775-0.164712j 0.190948+0.276732j -0.0381051+0.153229j 0.192053+0.305455j 0.116112+0.0702099j -0.158212+0.186927j 0.0100407+0.0475015j -0.0207505+0.0193461j 
-0.021756-0.0015443j 0.0372127-0.0183749j 0.00461966+0.032405j 0.0542766-0.022475j -0.0152137-0.0403664j -0.00968717-0.0399024j 0.0397901-0.00177528j 0.0838972-0.00150138j -0.033525-0.00676545j 0.23799+0.145501j 0.147753+0.1894j 0.269512-0.150698j -0.509092-0.117438j -0.107481-0.0599056j -0.0209827+0.198481j -0.221494-0.246003j -0.124403-0.237875j 0.0591269-0.0551653j -0.0972727+0.168906j 0.0034673-0.051643j -0.192141+0.102181j 0.0705601-0.0599357j -0.124919+0.0712217j 0.0347962-0.0368093j 
-0.0439124+0.00207669j -0.00911447+0.0264112j -0.0028364-0.01291j -0.00616212-0.0874939j 0.011334-0.0632825j 0.0895337+0.0600921j 0.0630992+0.0161363j -0.0832526+0.028675j 0.0214348-0.0350329j -0.177245-0.0871389j 0.0711594-0.0137924j -0.0938517+0.0791628j 0.31288-0.000973694j -0.0114803-0.049634j 0.179385+0.231658j -0.0448569+0.225803j 0.0382838-0.361723j 0.037764-0.0390386j -0.0861262+0.125782j -0.0563214-0.0538991j 0.224999-0.135734j 0.0634989-0.0514618j 0.0146449-0.0534838j 0.012212+0.0113556j 
-0.0161931-0.00900532j 0.00343363+0.0184085j -0.026032+0.0155579j -0.0417796+0.173183j 0.00592187-0.0161542j -0.128392-0.0370377j -0.0234351-0.0176893j -0.0109996-0.0222622j 0.00845444+0.0253357j 0.0898919+0.0946079j 0.0471965+0.0397482j -0.145893-0.23995j 0.0630811-0.397659j 0.028577-0.0812214j -0.0108262+0.0312404j -0.187911+0.218005j 0.0401578+0.0478226j -0.0457255+0.0202185j 0.0964362-0.0855812j -0.0094635-0.00278621j 0.0935417+0.0557451j -0.0471972+0.0258975j 0.064989+0.00724788j -0.0153483+0.0150645j 
-0.00431959+0.00146377j 0.016363+0.00046349j -0.0153818+0.0096336j 0.00707173-0.022966j -0.00311421-0.00616702j -3.64395e-05-0.00313488j -0.0154228-0.00148236j 0.0159244+0.0115186j -0.019638-0.00333255j 0.017686+0.0111123j -0.00211014+0.000268539j 0.0315307-0.00391062j -0.0502379+0.0246237j 0.0149851-4.81725e-05j 0.0225544-0.00250415j -1.8026e-05-0.0292281j 0.0309431-0.0253913j -0.0391333-0.0501457j -0.021606+0.00373661j -0.00811319-0.110277j -0.0121688-0.0190435j 0.107823-0.0941327j 0.0220047-0.0219247j 0.0924139+0.133122j 
-0.0145843-0.0128986j 0.0165696+0.00821414j -0.0238165+0.00585543j -0.0124664+0.00224212j -0.0141814-0.00305119j -0.00779404+0.00392255j -0.0202762+0.00028103j -0.00408408-0.0103518j 0.0010927+0.0156823j -0.0196469-0.0139362j 0.0236138+0.00497313j -0.00624303+0.0220764j 0.0128256-0.00543302j 0.0357187-0.00511503j -0.0106847+0.0244272j -0.00369276+0.00468672j -0.0200581+0.0231065j 0.00408721-0.0509667j 0.0517439-0.0497232j -0.0666473-0.0303094j -0.0319095-0.0115396j 0.00221279-0.017937j 0.0370714+0.0812122j 0.0257511-0.0712983j 
-0.00507742-0.00295213j -0.00771546+0.0127496j -0.0168908-0.00973374j 0.0109583-0.00316346j 0.0132496-0.0103168j -0.00144054-0.018324j -0.00143403-0.0337645j -0.0103439+0.0034071j 0.00884145-0.00976136j 0.0017891+0.000324961j -0.0123688-0.00938474j 0.00625467-0.0131974j 0.0136687-0.0172645j -0.0286792-0.0198194j 0.0232531-0.0271553j -0.0100432+0.0126929j -0.00096025+0.0321751j -0.0867977+0.0719835j 0.000683852+0.000997862j 0.0854585+0.0155564j 0.00849459+0.00997119j -0.0502259-0.0555358j -0.0109575+0.0331948j -0.0689181+0.0158434j 
0.0015384+0.00161637j 0.000516831-0.0259346j -0.0189261-0.0124898j -0.0260055-0.00123512j -0.02809+0.00375935j -0.00405844-0.0262173j -0.0178457-0.0517847j 0.00847487+0.00551123j -0.043104+0.0224323j -0.000900501+0.00853397j -0.00177019-0.0243265j 0.0025284-0.00259571j -0.00109987+0.0114951j -0.00725061-0.0280123j 0.00704546-0.0108053j 0.00258323-0.000538571j 0.00615106-0.00394338j -0.0131334+0.0243661j -0.008616+0.012338j 0.0374729+0.00392669j 0.0118909+0.000664907j -0.0538094+0.0150743j -0.0252097-0.00813629j -0.00842473-0.0551525j 
-0.00408728-0.00156094j -0.00779401-0.0080714j 0.0249019+0.0079773j 0.00563641+0.00838861j -0.00112915-0.0220812j 0.0164081+0.019512j -0.0193816-0.031338j -0.00325455-0.0144818j 0.00343373-0.00822615j -0.00273323-0.00435503j -0.000303819-0.000669821j 0.00122021+0.00791444j 0.00106407+0.000419242j 0.00474135+0.00595472j -0.00741601+0.00218943j -0.01764+0.00153282j 0.000786715-0.0120116j 0.0101969-0.00846753j -0.0138967+0.0117124j -0.0124626-0.00571933j 0.012432+0.0397062j -0.000149524+0.00975558j -0.00211022-0.0220275j 0.00974659-0.00385355j 
0.00516356+0.0214702j -0.0142379+0.00965869j -0.00201436-0.00861363j 0.000600869-0.0189514j 0.0196257-0.0124361j -0.00386686+0.00233299j 0.000718761-0.0144679j 0.0101279-0.00715385j -0.000631421+0.00739616j -0.00833018-0.00814808j 0.0128208-0.006704j -0.0301394+0.0276301j 0.0134639+0.02806j 0.0169579-0.0111407j -0.0520358+0.0256886j 5.05076e-05-0.00182689j -0.0361111-0.0389655j 0.0169019+0.0368314j 0.00398785-0.0108768j 0.0290832-0.0337266j 0.0219767+0.00247435j -0.027119-0.0112032j -0.0475038+0.0471941j 0.0817743-0.0255171j 
0.02923+0.0156205j 0.00229769-0.000592493j -0.00026389+0.00306176j -0.00409702-0.010594j -0.00637022-0.00691834j -0.00642001-0.014255j -0.00270395-0.0112667j -0.00720781-0.00606792j -0.000901081+0.00146151j -0.0166667-0.0102327j 0.012909-0.0055383j 0.0111029+0.0189638j 0.0159554+0.000765042j 0.00100675-0.00868829j 0.0223326+0.0121944j -0.0223194+0.00630596j -0.00557978-0.00462523j -0.0140983-0.0114504j 0.0091438+0.011721j -0.00743802-0.0138106j -0.0146028+0.0273755j -0.00555824-0.0233926j 0.0108073+0.0455496j -0.0163035-0.0203383j 
0.00411688-0.00324303j -0.00412163-0.00255809j 0.01016-0.00267543j 0.00728886-0.0129709j 0.00680142-0.0282118j -0.0081546+0.00120638j -0.0303267+0.00875452j 0.000905226+0.0001186j -0.00967659-0.0261702j 0.00415278+0.00810628j 0.000294893-0.0122258j 0.0080339-0.0198851j -0.00774817-0.0100902j 0.023598-0.0223259j 0.0137234-0.03308j 0.00672256+0.00366516j 0.0122653+0.0187829j 0.0320621+0.0706561j -0.0156934+0.0282655j 0.0778516-0.0148863j 0.0232198-0.00663071j -0.106548+0.0251451j 0.00264535-0.00580461j 0.0334496+0.00384878j 
0.002609+0.0130791j 0.0149717-0.0250178j -0.0132433-0.0169864j 0.00221155-1.87957e-05j -0.00149681+0.0042366j -0.00414824+0.0315076j 0.0150813-0.0257051j -0.0081214+0.0128256j 0.00228546+0.000986805j 0.00305888-0.0184044j 0.000122463+0.0228203j -0.0143185+0.0118572j 0.00711849+0.00236052j 0.00316575-0.00383753j -0.0091903+0.00635627j -0.00179684+0.00158889j -0.0159129+0.0022854j 0.0154055-0.00446156j -0.025969+0.000812138j -0.00549046-0.0156647j -0.00519+0.0122437j 0.0158034+0.00418993j 0.0167543-0.0199706j 0.00763708+0.0231105j 
-0.00176963-0.00857077j 0.00852633+0.00366508j 0.00760057+0.0172043j -0.0186796-0.00549552j 0.0391496+0.0151773j -0.0130128+0.00851394j 0.0348716-0.0119275j 0.0356039+0.0128623j 0.0147446+0.0137836j 0.00269119+0.00913256j 0.00889025-0.010912j -0.00543795+0.00116498j -0.0010143+0.00243496j -0.00492416-0.00201591j 0.0335927-0.00519821j -0.00639393+0.0066823j 0.0123051+0.0108329j 0.0131568-0.000196385j 0.000689746+0.0139144j 0.0075692-0.00963868j -0.0300368+0.0098315j -0.0245664-0.00171521j 0.0125356+0.0138957j 0.00260915-0.0103242j 
