0.061529+0.0149618j 0.0799384-0.00382218j 0.0142493+0.00869795j 0.0719347-0.00788067j -0.0376462-0.0127538j 0.0135665+0.000149114j -0.00468604+0.00228042j -0.0200092+0.00754394j 0.0442841-0.00759268j 0.0300415+0.00111093j 0.0226658+0.000818216j 0.0631336+0.001451j 0.021331-0.000437427j 0.0404123-0.00175335j -0.019871+0.00661161j -0.00920388+0.00203433j -0.0105519-0.00788945j 0.0193259+0.0130461j -0.12138+0.00583116j -0.0451756-0.0108235j 0.0108447-0.00506456j -0.0364903-0.00483223j 0.0373767-0.00788962j 0.0299666-0.00138203j -0.00357703-0.00495275j 0.0169201-0.00346846j 0.0347732-0.00322867j -0.0134926-0.000557659j 0.0316131+0.00198305j 0.0104242+0.000722083j 0.012743+0.00631476j -0.0148141+0.00290692j 0.039036-0.00378448j -0.0823486-0.00628498j 0.096219+0.0135767j 0.0158185-0.00512893j 0.0127605+0.0149214j -0.0141316+0.060613j 0.0531018+0.0195704j -0.0223312+0.000255631j 0.047806-0.0281384j -0.0176963-0.0177903j -0.0232973+0.0570106j -0.00589614+0.0521694j -0.00356846-0.00288136j -0.0287756+0.0115715j -0.00259991-0.0150219j -0.0160371-0.016678j 0.00828328-0.0195695j -0.014717+0.029937j -0.0269473-0.00855427j 0.003807+0.0166797j 0.00935858-0.0279109j 0.00870204-0.0296734j -0.0345056+0.00694642j 0.0373251+0.00671514j 0.00274117-0.132046j 0.0307072-0.0769833j 0.0902644+0.0568244j 0.0257572-0.0456258j 0.0229893+0.015607j -0.0181118-0.00741851j 0.0254123+0.00913194j -0.0334609-0.00466336j 0.00230907+0.0324996j 0.0262924-0.0040271j -0.00237437+0.0490936j 0.000183491-0.010287j 0.0159853+0.0122215j 0.022779-0.0101532j -0.00529467-0.00278222j -0.00738894-0.0125616j -0.00966676-0.0012807j -0.0125858-0.00595748j -0.0194628-0.00383048j -0.00220855-0.033094j 0.0182816+0.0128267j -0.00601641+0.00864942j -0.0114679-0.00480655j -0.0157423+0.018837j -0.0141503-0.0210329j 0.00570489-0.0281923j 0.0260381+0.0183628j 0.00230116-0.0156208j 0.00259954-0.0288895j -0.000318634+0.218431j 0.00748472-0.0132071j -0.00738178+0.135792j -0.0740541+0.16817j 0.0134158+0.0429461j -0.0658244-0.085492j 0.0778505+0.104002j 0.133133-0.0252401j -0.227927+0.064143j -0.194549-0.100653j 
0.087073-0.00754983j -0.021189-0.0189551j 0.0535594-0.0024145j 0.0236548-0.00346222j 0.00189122-0.000366615j 0.0283227+0.00545563j 0.0355138-0.00320855j -0.00162667+0.00113662j 0.0404693+0.00933571j -0.0193416-0.00754605j 0.0012742-0.00125895j -0.00881234+0.00193965j -0.0101352-0.00381954j -0.0305364-0.000754484j 0.0208584-0.00513741j -0.00187949-0.0165237j -0.0749597-0.0137052j -0.0642141+0.00525614j 0.0336174+0.00419454j -0.0635187+0.00916942j 0.0558699-8.03815e-05j 0.0104989-0.00292851j 0.0350441+0.00327496j 0.0264771+0.0084961j 0.0153906-0.0068381j -0.00549256-0.00139727j 0.00993227-0.00170051j 0.00650548-0.000850552j -0.0177005+0.00144274j 0.000587595+0.0022787j -0.0256749+0.00244192j 0.0228447+0.0032485j -0.057839+0.00272538j -0.00425533+0.00173473j 0.000336328+0.0204448j 0.151981+0.0102969j -0.0131346+0.0661973j -0.0246493+0.0256751j -0.0645673+0.0118159j 0.014003-0.00510881j 0.10049-0.00234544j 0.00606241-0.0081334j -0.00419383+0.0391375j -0.00304584+0.0392097j -0.0142781+0.00475021j -0.0267526-0.00307769j 0.0365458-0.00696755j -0.00914324-0.0188913j -0.0191742-0.00929604j 0.00811163+0.00898985j 0.00561837-0.0110002j -0.000188128-0.0106345j 0.009717+0.00414022j -0.0147912+0.00184578j 0.00057801+0.00250189j -0.0109181+0.0302337j -0.00574224+0.0019641j -0.0272957+0.118942j -0.0139093-0.0122698j -0.0025972-0.08015j -0.0871019+0.00794629j 0.00963163+0.0520973j 0.0367038+0.0479169j 0.0225611+0.00486562j 0.0270235+0.00109747j -0.0103563+0.0107842j -0.000389817-0.0283142j 0.0155451+0.0102724j -0.00667371+0.000275719j -0.0270546+0.0367245j 0.00734893-0.0221285j 0.00266652+0.00588549j -3.885e-05-0.00919896j 0.020858+0.0167195j 0.0143167-0.00368823j 0.0136305+0.00932071j -0.0128959-0.0162552j -0.00441186+0.0481257j -0.00518326-0.0166724j 0.00762808-0.0141893j -0.00737193-0.0274243j 0.0209478+0.0231731j 0.0161589-0.0181996j -0.0196336+0.00246876j -0.0257825+0.0169987j -0.072417+0.0313468j 0.0316823-0.0851622j 0.07912+0.207914j 0.0251826-0.246936j 0.00323266-0.00696196j -0.00100164+0.00213599j -0.0116841+0.0274153j 0.100396-0.118859j 0.229036+0.109743j -0.226772+0.0542639j 
0.0736537-0.00516736j -0.0508498-0.0186639j 0.022994-0.00442696j 0.0569235+0.0219274j 0.0756018-0.00493938j 0.0217081-0.00212426j 0.131543-0.00821915j 0.165834-0.00179796j -0.00610916+0.00120057j -0.0879958+0.0015939j 0.0394815+0.00225654j -0.00083438+0.00755399j -0.00473338+0.00128245j -0.14964+0.00512873j 0.139042-0.00343691j 0.223716-0.0149188j -0.110836+0.00820563j -0.374586-0.0109987j 0.490681+0.00308951j 0.123034-0.00921621j 0.200495-0.000969367j -0.0486397+0.00251819j 0.0479867+0.00199398j -0.0920257+0.00983005j 0.10011-0.0048751j -0.118721+0.003676j 0.00270173+0.00239724j 0.0290467-0.0048315j -0.0823696+5.28563e-05j 0.0548147+0.00241382j 0.199042-0.00498983j -0.045221+0.00294589j 0.00254364-0.000916829j 0.129992-0.006347j 0.0524014+0.0106613j 0.013698+0.0121052j -0.0123056+0.0121645j -0.00833679+0.00855781j 0.0165699-0.00846094j 0.0432659-0.0055719j 0.0248179+0.0133202j 0.0184137+0.0160316j -0.00245163+0.00690839j 0.00411697+0.00674302j 0.00874919-0.035681j -0.0597239-0.00226484j 0.0304693-0.00951208j -0.0100329-0.0101287j 0.00161096-0.00603835j 0.00718877+0.0193485j 0.0172869-0.0167799j -0.0458684+0.0230725j -0.0307007+0.016688j 0.0340009+0.0156881j -0.0617374-0.00790516j -0.0406783+0.0155724j -0.0207344+0.0363704j 0.0145994+0.172794j -0.0154837-0.0640388j -0.031501-0.0504077j -0.0583461-0.00294856j -0.00379166-0.0106056j 0.0301011+0.00167769j 0.0348432-0.000872613j 0.0373504+0.0124908j -0.0179336+0.00230321j -0.0062197-0.0436944j 0.0141544-0.0145795j -0.00677759-0.018158j 0.00379465+0.0232833j -0.00890333-0.0110049j -0.0026719+0.00257543j -0.0170623-0.0123851j 0.0109218+0.0184288j -0.00483719+0.00128413j -0.0391913-0.0141688j -0.000717301-0.0074556j -0.016365+0.00539158j 0.0203114-0.0132075j 0.00648304-0.0684583j 0.0240524-0.0591638j -0.00661074+0.0616487j -0.0094771-0.0978142j -0.0334113+0.0451821j -0.0434371+0.00639059j -0.0753962-0.00262659j -0.00988085-0.0270144j 0.120474-0.0319607j 0.0571983+0.0944681j 0.00882789+0.00389016j 0.0109089-0.0154207j -0.0346591+0.00619853j -0.0275588-0.0215328j -0.0600472-0.0103358j 0.000613125-0.0213232j 
-0.0926361-0.00655608j -0.258532+0.000849931j 0.0118782+0.00397207j -0.071029-0.00786775j -0.00613574+0.00370991j -0.13069+0.0053398j -0.0175526+0.00162208j -0.0774094+0.000645472j -0.243008+0.00756377j 0.0632066-0.00322858j -0.112953-0.000555692j -0.353284-0.0039119j -0.0274247-0.00305716j -0.0660074-0.00309244j 0.0111655-0.00283426j 0.0321239+0.00770239j 0.285399+0.00374565j 0.204148-0.00785024j 0.155935-0.00300544j 0.281302-0.00727675j -0.217624+0.00320046j -0.0316122+0.00699861j -0.05346+0.00175712j -0.104127+0.00294097j -0.071634-0.00619446j -0.015399-0.00827165j -0.185159-0.00819084j 0.0289825+0.000806887j -0.0682302-0.00438145j -0.00625699-0.00145291j 0.0561999+0.00261087j 0.112246+0.00522641j 0.0649299-0.00473348j 0.0777244+0.00434188j -0.140729+0.00257478j -0.062496+0.0192214j -0.021966+0.0230609j 0.0396067-0.0118307j 0.0286593-0.00769179j -0.0209948-0.00257694j 0.100995+0.0139641j -0.0685358+0.00401811j -0.00742447-0.0116602j 0.00844619-0.0173956j 0.0251593+0.029967j -0.0477069-0.0039382j 0.0198589+0.00429289j -0.027828-0.00130384j 0.0077822-0.00229314j -0.00270883-0.0254664j 0.00773497+0.013264j -0.00756098-0.0189506j 0.0185761-0.000523546j 0.0229037+0.0142378j -0.0674667+0.0114984j -0.113776-0.00785422j 0.00426714+0.114131j -0.00447727-0.0480088j -0.0812475+0.00456089j -0.0428648+0.0228491j 0.094121+0.0069682j 0.0291937-0.0556765j -0.0226234-0.0548653j 0.00369098-0.00659865j -0.0473909+0.00685001j -0.022423-0.0111869j 0.00400171+0.0104587j -0.0210877-0.0348691j -0.0155635-0.000949791j -0.0192058+0.0203308j 0.0143508+0.00769959j 0.00861575-0.0107548j 0.0304605-0.0288243j 0.0118834-0.0150495j 0.0327797+0.00170735j 0.00837458+0.0605845j -0.0312189+0.0132363j 0.0244908-0.0446495j 0.0172901+0.0208175j 0.0176219-0.000194426j 0.0382082+0.0289228j -0.0155752+0.0649463j -0.0699966-0.00624711j 0.0653978+0.00712638j 0.00333139+0.0326514j -0.0161167+0.0061523j -0.125878-0.00929877j -0.00580853-0.0203053j 0.0099888-0.0149766j -0.00401889+0.00512064j 0.0185402-0.0542164j -0.0514648+0.0783651j -0.0649783-0.0628321j -0.00242447+0.0151505j -0.0698205-0.0154751j 
-0.0332957-0.00727782j -0.0417821-0.00220152j 0.0292116+0.00329841j -0.0654832+0.00450049j 0.144953-0.000426857j 0.371118-0.00299073j -0.226422-0.00134156j 0.0118318+0.00235191j -0.449676+1.28135e-05j 0.177949-0.00227262j -0.0930074-0.00186907j 0.236316+0.000177843j 0.115781-0.00897305j 0.154717-0.000134668j -0.426807-0.00243792j 0.225653-0.00255362j -0.196565-0.000282473j -0.114064-0.00194524j 0.0347037+0.00394672j 0.0489655+0.0023026j -0.0508519-0.00216311j 0.0553432-0.00478151j 0.171877-0.000246889j 0.0620751+0.00135512j -0.124137-0.000487223j -0.0932669+0.00216008j -0.0298864-0.00137758j 0.00138792-0.00117085j -0.0265058-0.000174233j 0.0419148+0.00151519j -0.0975967+0.00359382j 0.0104336+0.00117642j 0.099596-2.8912e-05j -0.0294009+0.0105627j -0.0704638+0.00335799j -0.0268939-0.00355628j -0.0305056+0.0064542j 0.00949457-0.0144287j 0.0228502-0.000937611j -0.0451479-0.00654129j -0.0109155+0.00224555j -0.0137015-0.00999603j 0.00538217+0.0237623j 0.00635543-0.0502232j -0.0290719-0.0122344j 0.0134193+0.00949978j 0.0521124+0.0637898j -0.00618467+0.0647956j -0.0468298+0.0217726j -0.0123868+0.0669429j 0.00375443-0.0365224j -0.00257177+0.0369084j -0.00760522-0.0282484j 0.00104707-0.0586145j -0.0180203-0.0346168j 0.00923041+0.00495908j 0.00735088+0.0159154j -0.0138476+0.0120309j -0.0288209-0.00472093j -0.0105826-0.0117557j 0.0120318-0.00370041j -0.00689108-0.0258593j -0.00114524-0.0201459j 0.0124012-0.00157374j -0.000298087+0.00998839j 0.00524377-0.00372629j -0.0017396+0.00408866j -0.00296679-0.015438j 0.0127041-0.000740215j 0.0151151+0.0156354j 0.00519035-0.0249353j -0.00378925-0.0166148j 0.013392+0.000800456j 0.00122083+0.00401489j -0.0053418-0.00713719j -0.00222212+0.0343157j 0.00428971+0.0152123j -0.000920095+0.053878j 0.00115366+0.0126001j 0.00772004+0.0235446j 0.037984-0.00390409j -0.00139646+0.0155484j -0.0276951+0.0207062j 0.0135459-0.00293728j -0.032152-0.0120169j -0.00418965-0.00321225j -0.0219927-0.00696889j -0.00678338-0.0102698j 0.000937445+0.001327j -0.00339206-0.00083103j 0.0022508-0.00298397j -0.00869495+0.00609298j -0.00976047-0.00332098j 0.00248723+0.000765036j 0.000961937-0.00281588j 
-0.172488-0.0139617j -0.0613702-0.00479123j 0.056227-0.00446235j -0.131877+0.014334j 0.254854+0.00543209j -0.309344-0.000563467j 0.0737199-0.0105535j 0.280735-0.00518176j -0.0105387-0.00435182j -0.0406876+0.00185878j 0.256019-0.00304031j 0.557349-0.00428169j 0.0642012-0.00267989j 0.130613-0.000937534j 0.215764+0.0135068j 0.0594263+0.00485982j -0.00524729-0.00238777j 0.0336554-0.00192085j -0.154752+0.00108463j 0.125234-0.00414716j -0.228273+0.000165142j 0.0270327+0.00100118j -0.113345-0.00220218j -0.0892607-0.00495979j -0.00660988+0.000648784j -0.0330904-0.0064963j -0.043386-0.00551254j 0.0261809-0.00120814j -0.110259-0.00123628j -0.00362304-0.00215648j 0.0312639-5.65648e-05j 0.0255824+0.0022614j 0.0804172-0.000612514j -0.053945+0.0041593j -0.062534-0.00577595j -0.0115434-0.0026596j -0.0285047+0.0033767j 0.00966526-0.0202868j 0.0853657-0.00667427j 0.0274032+0.00503837j 0.0242045+0.00451023j 0.0840011+0.0309647j 0.0253707-0.0563666j -0.00121768-0.0205745j 0.00966233-0.0851321j 0.0180453-0.0015146j -0.00514718-0.0348209j 0.00769692-0.0212924j 0.000194114-0.0204595j -0.00306973+0.00974911j 0.00422664-0.00212985j -0.00527712+0.0878237j -0.0372275-0.0312928j 0.00894785+0.0251863j 0.0447733-0.00354069j 0.0124117-0.000857848j 0.00529084-0.00370868j 0.0124717-0.001237j -0.014252+0.00704885j 0.00733082-0.0311207j 0.0340022-0.00165027j -0.00331222-0.0267479j -0.00291456-0.0139746j -0.00851359+0.00647687j -0.00693759-0.00523259j -0.0296878+0.000412568j -0.00984852-0.00567687j -0.00240745-0.0078083j 0.00114202-0.010362j -0.00247411-0.0130924j 0.0109943+0.0163509j -0.0152318-0.00168757j -0.00351893+0.00112921j 0.0142919-0.000437484j 0.0169179-0.0215217j 0.00154716+0.01994j 0.00217634-0.00830196j 0.00705485-0.0278304j 0.0390952+0.025382j 0.0108769-0.0244756j 0.00834625+0.018585j -0.00625893+0.037213j -0.0201379+0.00542573j -0.00379058+0.00583573j -0.0024818+0.0206132j -0.0187538-0.00266476j -0.0506282-0.00642698j -0.0170972-0.00794881j 0.0101687-0.00862889j -0.00117561+0.00241795j 0.00822297-0.0217704j -0.0191935+0.0279677j -0.0204041-0.0220935j 0.0114854+0.00630577j -0.0216318-0.00602355j 
0.338719-0.00890404j -0.14653-0.0100522j 0.131096+0.00524191j 0.0373844+0.0017249j 0.536715-0.00415121j -0.00398402+0.00447494j 0.103948+0.00324325j -0.204017-0.00172725j 0.045947+0.00494604j 0.0353117+0.00393678j -0.042567+0.00129283j 0.0631048+0.00483085j -0.136564-0.000362098j 0.0726765+0.00183202j -0.0129398+0.00502591j -0.103856+0.0054508j 0.168643-0.00163791j 0.234005+0.0032652j -0.0360062+0.00389281j -0.274783+0.00106812j 0.074734+0.00323684j -0.132886+0.00269516j 0.305002+0.00455139j -0.0964383+0.00603383j 0.110804-0.00212314j -0.144579+0.00282468j -0.0154705-0.00280668j 0.0338963-0.00319043j -0.0444565-0.00106225j -0.0296659+0.00160079j -0.0302685+0.00433898j 0.0998249+0.00350921j 0.11163-0.00282147j 0.0324448+0.00396321j 0.127254+0.00791189j 0.0509119+0.00728783j 0.00437027+0.0574133j -0.0531229-0.0272123j -0.00176691+0.0101227j 0.0256746-0.0117646j -0.00366459-0.00102968j -0.0159373-0.0193235j 0.00323044+0.0473068j 0.000305283+0.00224394j 0.0033301+0.0360181j 0.0124236+0.0123977j -0.0307582-0.017712j 0.0252361-0.0297749j 0.00636467-0.0410857j -0.00885285+0.00463433j -0.00441639-0.00389203j 0.00597358+0.0576313j 0.0059417-0.035177j -0.0309863+0.00271861j -0.00628619-0.00976517j -0.0395588-0.0154187j -0.00409595+0.0616518j -0.0314079-0.0122887j -0.0305785-0.00549784j -0.0367682+0.0170722j -0.00480473+0.00304972j 0.0393533+0.00824257j -0.0412624+0.00603531j 0.0134436+0.00415722j 0.0153029+0.0209228j -0.0105416-0.00158214j -0.0261637-0.0121962j 0.00788525-0.025334j -0.00305863-0.0228574j 0.0157574+0.0227429j 0.0057511-0.0187994j 0.00227325-0.0223476j -0.00259778-0.000943553j 0.000665715+0.0158035j -0.0103787+0.0238973j -0.014829+0.0101809j 0.00750876+0.0120789j -0.0065974+0.017166j 0.000147519-0.00310522j -0.000573728-0.00342897j 0.0241207-0.00228445j -0.00119153+0.0679931j 0.0164816-0.0184065j 0.0253899+0.0142593j -0.030642+0.0225103j -0.0287448-0.00852914j -0.0296076-0.0102596j 0.0408486-0.0315526j 0.0468789+0.0254339j 0.00296434-0.00378848j 0.0059567-0.00152241j -0.0237605-0.00205167j -0.0222343-0.00388884j -0.0100832-0.0024819j 0.0114493-0.00387946j 
-0.0633515+0.00920625j -0.102838-0.0172887j -0.0201314-0.0219363j -0.0635505+0.00893834j 0.169126+7.82961e-05j -0.0915323-0.00293707j 0.00355969+0.00464182j -0.0260213-0.00354575j -0.0957204-0.00182794j 0.014927+0.00279794j -0.0295914+0.00130042j -0.0877139+0.000606249j -0.0149283+0.0176738j -6.0277e-05+0.00267063j -0.0305573-0.00332386j 0.00361218-0.0270947j 0.194846-0.00179156j 0.164964-0.00349889j 0.05972+0.00535905j 0.104836+0.0100671j -0.183476+0.000669723j 0.018168-0.00364844j -0.0136553-0.00343211j 0.0160847-0.000125367j -0.0553528+0.00469403j -0.0177651+0.0102878j -0.0430222+0.00876999j -0.0108145+0.000518877j -0.036613+0.00394417j 0.0351656-0.00378887j -0.0194435-0.0149857j -0.125429+0.00121816j 0.124888+0.000278281j 0.104975+0.0025014j -0.0469873-0.00571549j -0.111917-0.00733066j 0.00679382-0.0121438j 0.008829+0.0223129j -0.0339657-0.0124257j 0.0196241-0.00266834j -0.0415217-0.000648205j 0.0357603+0.0139648j 0.0306237-0.0220434j 0.0408823-0.034481j 0.00495785+0.0253439j 0.100509+0.0133943j -0.0153488+0.00939729j 0.0104754+0.00833164j -0.0155403+0.0104191j -0.0166834-0.0574427j -0.00104749+0.0180509j 0.0263802-0.017232j 0.05789+0.00509326j 0.0164187-0.0662342j -0.0470713-0.0300073j 0.0248083+0.0432872j 0.0633373-0.26344j 0.0395095+0.244188j 0.0777793-0.0618653j 0.0322894-0.0459734j -0.207578-0.0155713j -0.0943545+0.0778369j 0.113077+0.07288j -0.00276795+0.0179048j 0.154539-0.000604079j 0.0170806+0.00781393j 0.0138454-0.00542604j 0.00321655+0.0390781j -0.00653288+0.0291221j -0.0577284+0.00342865j -0.0170023-0.00187149j 0.0155606+0.0385961j -0.0312371+0.00705279j 0.00930009+0.00338318j -0.00534324-0.0229155j -0.000463783-0.0800717j 0.0113158-0.0434054j -0.0384961+0.101014j 0.0112759-0.0387685j -0.0194485-0.0340174j -0.0511446-0.0833005j 0.058851-0.146244j 0.0177276-0.0368414j -0.107495-0.0121882j -0.075433-0.0833084j -0.0396526+0.0133497j 0.1954+0.013714j 0.0578755+0.05324j -0.0686333+0.0426908j -0.0045748+0.00819155j -0.0140574+0.0663917j 0.0690363-0.0919535j 0.121712+0.076724j 0.00416196-0.0278733j 0.0349803+0.00804468j 
0.0016464-0.0205025j 0.0795568-0.0225664j 0.0147175-0.00581788j 0.032505+0.027471j -0.197622+0.00117856j -0.0296453-0.00180233j -0.0799189-0.0109514j -0.0918588+0.00345849j 0.00867706-0.000571223j 0.0876567-0.00254869j 0.00767332+0.00300557j -0.00479432+0.00126238j 0.073975+0.000622543j 0.0710533-0.000709506j -0.0771076-0.00761176j -0.0627269-0.0136643j 0.0215537+0.0139745j 0.104883-0.0114695j -0.293534+0.00346884j 0.00848882-0.00671125j -0.037847-0.00331919j 0.0333495+0.0053915j 0.00712994-0.00339463j 0.0740248+0.00682602j -0.0343625-0.0100765j 0.107889-0.00330634j 0.00706549-0.00518968j -0.024785-0.00035522j 0.072218-0.00318702j 0.0321959+0.00202945j 0.107982-0.000585583j -0.0188592+0.00214944j 0.041802+0.00427582j -0.11639+0.0011771j 0.0831268+0.00350149j -0.069135+0.00987019j 0.00298437+0.0381408j 0.011102-0.0073108j 0.184887-0.0133135j -0.0656825-0.00182001j -0.0339047+0.0156428j -0.165277+0.0364695j -0.0701818-0.0246522j -0.0576177-0.0168448j 0.00939552-0.0763746j -0.0872597-0.00169812j -0.091123-0.0138672j -0.0102624-0.0154731j 0.0768303-0.00277924j -0.00741964+0.0339651j -0.0370499-0.0239529j 0.00374908+0.0408495j -0.0477942+0.0137175j 0.0124256+0.0332297j 0.0436703-0.0181488j 0.00437169+0.0159367j 0.0438508+0.092688j -0.0652302+0.240443j -0.0762742-0.0891305j -0.0514611-0.0795068j -0.14259-0.0142123j 0.00194911-0.0411959j -0.00423227-0.00110349j 0.063571-0.0015541j 0.12135+0.0225164j -0.0200436+0.00177045j -0.00329957-0.0739532j 0.0432056-0.00413968j -0.019339-0.0226531j -0.0647882+0.0511986j 0.0289061-0.0372536j 0.00993196+0.00548413j -0.0223399-0.0417787j 0.0513657+0.0374128j -0.00906667+0.0191486j 0.0419847+0.00479106j -0.0274341-0.0229608j 0.00756809-0.019345j 0.00739512-0.0140756j 0.048636-0.116441j -0.0104151-0.0842632j 0.00735461+0.12819j 0.0136044-0.175634j -0.0831564+0.0537057j 0.0052175+0.0236326j -0.152441-0.0290418j -0.000984776-0.0356157j 0.143357-0.0400642j 0.149047+0.103003j 0.0042256+0.00416021j 0.0386118-0.0323393j -0.07172+0.029527j -0.0482377-0.0560373j -0.020385+0.00370449j -0.00827116-0.0348403j 
-0.0203298+0.00472729j -0.00141094-0.0106905j 0.0079637-0.00726439j -0.0023815-0.00292483j -0.0338476-0.00294138j -0.130226-0.00444826j 0.0530909+0.00375219j 0.0245481+0.00815315j 0.12605+0.00485191j -0.0454348-0.00659732j 0.0515052+0.00270782j 0.00658448+0.00041846j 0.039526-0.0178071j -0.00824803-0.00322956j 0.0266315-0.0149384j -0.0476981-0.0142146j 0.0119576-0.0241841j -0.0403515+0.0046906j -0.0463669+0.00937487j -0.0220889+0.0151143j 0.0299932-0.00209168j 0.0879872-0.0138032j 0.0112242+0.000769168j 0.207167-0.000531875j -0.0659705+0.00287714j 0.0484618+0.00630681j 0.0523298+0.00223984j -0.00402763+0.000557085j 0.0580756-0.00392293j 0.0887717+0.00173948j -0.00639056+0.00621829j -0.00563121+0.000565791j 0.130923-0.0159296j 0.119006+0.0266791j -0.0452487+0.0178908j -0.117517+0.0140178j 0.0169906-0.00427453j -0.00144095+0.00363768j -0.0734975-0.00551275j 0.15898-0.0166621j 0.0843481-0.0081353j 0.119964-0.0340062j 0.0354119+0.103668j 0.0251484-0.0181504j 0.0804803+0.00871553j -0.0624316+0.00928809j -0.103153+0.0992974j 0.0138978+0.0498516j 0.0170259+0.00711783j -0.057167+0.14857j -0.154492-0.0543106j 0.0781833-0.0145851j 0.161251-0.0866469j -0.0200626-0.238438j -0.184377-0.111927j 0.103199+0.0134821j -0.0150491+0.218168j -0.160922-0.0302832j -0.165192-0.00225274j -0.117834-0.00709478j -0.0395116+0.0197318j 0.0143066-0.062659j -0.00911262-0.0459565j 0.0774334-0.00442073j -0.0995662+0.0273526j 0.00513874-0.000987946j 0.0203361+0.0140388j -0.0450897-0.036272j 0.0271972+0.0289645j -0.0219559+0.083985j 0.0326687-0.067682j -0.0225241-0.017153j 0.0159604-0.00350661j 0.0297663+0.00851463j 0.0286274-0.0720124j -0.00792737+0.0940362j -0.0276751+0.0273486j -0.0111786+0.197339j 0.00401429+0.0122847j 0.00976159+0.143721j 0.108452-0.0711845j 0.0154306-0.0117194j -0.0956548-0.00828909j 0.106387+0.00731018j -0.198645-0.0884481j 0.0300922-0.00775583j -0.00809772-0.00400827j 0.000185251-0.0153039j -0.0223914+0.00774962j 0.00495253-0.0249693j -0.013866+0.0204125j -0.032143-0.0329996j -0.0137128+0.0218079j 0.0111801-0.0108546j 0.0438171+0.00309224j 
0.0352812+0.0257898j -0.0474087+0.00691619j 0.0535009-0.018555j 0.00533025-0.0045574j 0.0285569-0.000614487j 0.0133486-0.0106644j -0.00282549+0.0160904j 0.0496836-0.00438238j -0.107727-0.00537369j 0.034816+0.00982012j 0.0233671+0.00609662j 0.0348205-0.00212383j 0.0400564+0.016149j 0.00758013+0.0059381j -0.00385847-0.0146074j -0.0277872-0.0109183j 0.0131436-0.0190871j 0.049742-0.000314167j -0.0553082+0.00324393j 0.051681-0.0123358j -0.149739-0.00113907j -0.0546393-0.0063097j -0.0262815-0.0124275j 0.0332463-0.000994703j -0.0150697-0.00129026j 0.151391+0.00017552j -0.00478537+0.00556876j -0.0222267+0.00108521j -0.0249782+0.0025422j 0.116024-0.00152839j -0.0335776+0.00776663j 0.0366719-0.00208955j -0.18714-0.0157295j 0.254829-0.0138053j 0.285126+0.00812562j 0.330968+0.00158299j -0.0501509-0.104403j -0.0815408-0.000716862j -0.0992429-0.0105872j -0.151696+0.00630409j 0.100157+0.0111165j 0.0691834+0.00705707j -0.0229431-0.115453j 0.0104432+0.0482798j -0.0627631+0.0576794j 0.0107603-0.00616956j 0.184474-0.0283012j -0.0820413-0.0581033j -0.0425689-0.0154256j -0.00657904-0.0916137j 0.0168166+0.0702692j -0.0251688-0.0864664j 0.00958256-0.0669396j 0.101168-0.179726j -0.0590512-0.0686727j 0.200783+0.0300907j -0.0420645+0.0708804j -0.115134+0.0352206j -0.0917739-0.0340861j -0.0269108+0.0257444j -0.0663006-0.00363234j 0.0508918-0.0715096j -0.0147147-0.0827915j 0.0507513+0.00612013j -0.05221-0.00396635j 0.0167935-0.0349725j -0.00319574+0.0629783j -0.0130072-0.0101364j 0.00138846+0.0568354j 0.000746345-0.0666527j -0.0449748+0.0831828j 0.020141+0.0222834j -0.0136641-0.0171688j 0.0026236-0.0600409j -0.0362422-0.0757805j -0.036954+0.0194635j 0.0106613+0.042771j 0.0212198-0.124624j 0.00620493+0.00365255j 0.0042789-0.0363376j 0.0444264-0.0486035j -0.0315215-0.102236j -0.0282526-0.108588j 0.00185692+0.0125905j 0.127126-0.0268717j 0.0155092-0.0183075j 0.13357+0.00851882j 0.0985421+0.0512121j 0.0396065-0.0409804j 0.0187347-0.00648955j -0.0210669-0.0196461j -0.00111651+0.0219295j -0.00152438-0.0424428j 0.0127165+0.0229319j -0.0244588+0.00758813j 
