-0.144244+0.00229506j 0.987654+0.00303547j 0.0994365+0.0749185j -0.0891888+0.0185037j -0.0309625+0.0930768j 0.071571-0.0807112j 0.0298164+0.000711706j 0.0126618-0.0440672j 0.0325354+0.0145094j -0.0293335+0.00942959j -0.0394591-0.0148759j 0.0121608-0.00762624j -0.000184085+0.0470576j -0.00323199-0.0296646j -0.0314149+0.000199284j -0.00510005+0.00568462j -0.00626612+0.0188426j -0.0148394-0.00548147j 0.00328088-0.00132324j 0.00714201-0.0113845j -0.0251424-0.0115085j 0.0117024+0.00895502j -0.00973246+0.019178j 0.00539995+0.0100709j 0.0166981+0.0137898j 0.00168253+0.00158532j -0.0134031-0.00502702j 0.0122994-0.0216634j 0.00218659+0.0109371j 0.0181633+0.00479103j -0.0146234+0.013843j -0.019264+0.0116118j -0.00688639+0.0238796j -0.00407479-0.0190186j 0.0173971+0.000529748j -0.0145165-0.018917j 0.0113868-0.00240781j 0.0185633+0.00997071j -0.00713841+0.00906371j 0.00106486+0.00407279j 
-0.0148748-0.069684j 0.0293148-0.00989821j 0.103999-0.0969644j -0.203138+0.293j 0.383325-0.423983j 0.50922+0.451951j 0.0503113-0.00323024j -0.00813298-0.00954412j -0.0684963-0.00121764j 0.0295065+0.0147538j 0.0222144+0.0388485j -0.00081507+0.00378574j -0.0193698-0.00160218j 0.0987303+0.0321803j -0.148751+0.0251024j -0.00846781+0.00711635j -0.00486278+0.00322725j -0.0043008-0.00646496j 0.00319391-0.0191407j 0.0341305-0.0330148j -0.00228241+0.0147623j -0.0218093+0.00291103j 0.00524327-0.000201831j 0.00988342+0.015231j 0.0116308+0.0182793j 0.00933256-0.0312482j -0.000495544+0.0011313j -0.00840939+0.0162699j 0.0143132-0.00300781j -0.0378303+0.0152604j 0.0215565-0.0127916j 0.0263755-0.000429961j -0.0103804+0.0113455j 0.0106716+0.0126585j 0.0217387+0.010386j 0.0359697+0.039764j -0.0205391-0.00556871j 0.0237964-0.00653751j -0.0209443+0.0512779j 0.0157786+0.0248317j 
0.00647421-0.0756463j 0.0237593+0.00922738j -0.539357+0.380948j 0.245808+0.548389j 0.306853+0.222089j 0.0181219-0.0236868j -0.151539+0.018336j -0.0577728+0.00873076j 0.0204742+0.00760747j -0.00608376-0.00425281j -0.07339-0.0413935j 0.120829+0.0450838j -0.0317834+0.00235532j -0.0947754-0.00809436j 0.0426467-0.00817758j 0.0419268-0.0192095j 0.0310353-0.0301048j 0.0168514+0.00929423j 0.0041606+0.0211703j 0.0334172-0.0470366j 0.001498-0.00179106j 0.0117176-0.0106755j -0.033126+0.00890436j 0.00563671+0.0255072j 0.0197047+0.0106922j 0.00149474-0.0232798j 0.0072462-0.010971j 0.00588227+0.00799663j 0.0228605+0.0298733j 0.00103809-0.00418995j 0.0276539-0.00703156j 0.0137646-0.0193936j 0.00319405+0.00147404j -0.00907679-0.0225548j 0.0204837-0.00594478j 0.034417+0.0323964j 0.0203318-0.00696613j 0.00393735+0.0122045j 0.0226765-0.0132537j -0.0111621-0.00914918j 
-0.0124156+0.013239j 0.00156063+0.0460216j -0.0421149+0.0323263j 0.0476321-0.0269357j -0.0599498+0.0819217j -0.0858486-0.0873706j 0.0138626+0.071439j -0.0787053-0.0433321j -0.020786-0.144022j 0.0476991+0.195962j 0.165342+0.0780086j 0.112907+0.109631j -0.318415+0.201042j 0.163229-0.112968j 0.150625+0.249783j -0.0236487-0.016701j -0.0156116+0.0105429j -0.00733703+0.0210261j -0.00134071+0.00459211j -0.0103857+0.00245162j -0.0126042-0.00484181j -0.0363368+0.00872436j -0.00284449+0.00622843j -0.0100708-0.0132378j -0.00100959+0.0106542j 0.00235141+0.00621568j 0.0190771+0.00513997j -0.0398652+0.0289163j 0.0100871-0.00218402j -0.03649-0.00271582j -0.0253753-0.0122948j 0.0272338+0.027834j 0.0313773+0.0263609j 0.00183166-0.0732471j 0.0709311+0.0900499j 0.0106224-0.0265367j -0.155301-0.00879828j -0.0169405-0.0358894j 0.0662964+0.0759531j -0.181317+0.00747492j 
-0.0186227-0.0118091j 0.0575767+0.00667414j -0.00589208+0.0422787j 0.0086462-0.0508872j 0.00804263+0.0873149j -0.118595+0.0150325j -0.0560514-0.000514972j 0.0570779-0.0134426j 0.127693+0.00409369j -0.174621+0.0767526j -0.167474+0.142872j -0.110413+0.102191j -0.233473-0.31912j 0.0707082+0.250823j -0.24841+0.15322j 0.0120907-0.04055j -0.0143124+0.0144611j -0.014379+0.0133699j 0.00192546-0.00980484j -0.0111957+0.00241804j 0.00292791+0.00501904j -0.0145094+0.0137338j -0.000791437-0.000128688j 0.00410518+0.026802j -0.00715501-0.0148682j 0.0128038-0.019872j 0.00531841-0.0108102j -0.0123573-0.0437441j -0.0038233+0.0101793j -0.0139596+0.00748834j -0.00547286+0.0293916j -0.0159844-0.0319807j -0.0153908-0.00123195j 0.0535983+0.0151462j -0.0469817-0.137117j 0.0253046+0.0218064j -0.0492807+0.181069j 0.029727-0.037946j -0.0885803+0.0890285j -0.032714-0.0148696j 
0.0339011-0.0386695j 0.0166307-0.00833653j -0.0426436-0.00157734j 0.00275348+0.0425611j -0.00584559+0.0125973j 0.0150983-0.0202837j 0.0482714+0.0979717j -0.152338-0.0622889j -0.0711854-0.224258j -0.332038+0.0542168j 0.212055-0.250505j -0.0177666-0.119288j -0.00794594-0.264985j -0.208994-0.159496j -0.0542344+0.0234627j -0.00863958-0.0239097j -0.00923658+0.0141795j -0.0120605+0.0268398j 0.00685096+0.02081j 0.0128134-0.0125421j -0.00173201-0.0123802j -0.0310295-0.00738329j -0.0109702+0.0156068j -0.0356064-0.0530664j 0.00567581+0.0142782j -0.0288423-0.0339954j 0.0108256-0.00662393j -0.00375947+0.0549045j 0.0101092-0.0090383j 0.0175145-0.0513701j -0.047947-0.0499972j 0.0542759+0.0206043j 0.00178297-0.0250151j 0.0457153+0.00920506j 0.027903+0.0435365j -0.0401416-0.0213202j 0.00722066+0.0419048j 0.0753269-0.00874633j 0.0870899+0.0223524j -0.0387824+0.00627827j 
0.0327652+0.0386046j 0.00694617-0.00031564j -0.0229978+0.0518733j 0.0278061-0.00300765j 0.0328335+0.047939j -0.0555298+0.0129205j -0.0393227+0.0709974j 0.0386162-0.0287516j 0.277814-0.104877j -0.0961272-0.335218j 0.170227+0.25698j 0.192704+0.0386679j 0.198615-0.0551558j 0.179019-0.193296j -0.0547349-0.000261549j 0.00877613-0.0452643j -0.0480346+0.0254842j -0.036393+0.0338955j 0.00773271-7.43365e-05j 0.0268544-0.0136865j 0.0119853+0.00888213j -0.0144671-0.000741575j -0.00809408+0.00997593j -0.0104384+0.0681345j 0.00515151-0.0315687j -0.0144487+0.0396536j 0.0103806+0.00669933j -0.0330549-0.0343829j -0.0182361+0.0252794j 0.0394406+0.0129424j -0.00131404+0.0580715j 0.053678-0.0764893j 0.0265014-0.0100361j 0.0129918+0.0322959j -0.0545145+0.0203111j 0.0153283-0.0273992j -0.0340322+0.061607j 0.0378038+0.013477j 0.00772877+0.062111j -0.0252787-0.0128507j 
-0.027644+0.01537j 0.0404941-0.0172541j -0.0186767-0.0864123j -0.0732042+0.033032j -0.0404214+0.0061562j 0.0395231+0.000124853j 0.161355+0.219448j -0.32576+0.257468j 0.18664+0.0356858j 0.0658836-0.0801322j -0.184325-0.129947j 0.0707993+0.28575j -7.21029e-05-0.00513836j -0.0308396+0.0211036j -0.0113526-0.00972357j -0.0401581-0.0647818j 0.00613051-0.0679225j -0.0517423+0.0449899j 0.0307736+0.117797j -0.00671329-0.00395572j -0.0315859+0.0374907j -0.00823538-0.0163074j -0.0486456+0.0686793j -0.0276244-0.0523282j 0.012055+0.0250861j 0.0208234+0.0211589j 0.0231947+0.00214499j 0.0104868+0.0418695j -0.0976446-0.0476768j -0.0260341-0.037552j 0.00328424-0.00490202j 0.0103436+0.033251j 0.0247713-0.00408988j 0.0516627-0.003692j 0.0735064+0.0148497j 0.0141686-0.00410946j 0.0454765-0.0012227j 0.022593-0.0105199j 0.0512095-0.0120477j -0.0134279+0.0115834j 
0.0140046+0.0132601j 0.0172164+0.0527521j 0.0102032-0.0951819j -0.0717898-0.00319766j -0.0527431-0.00739679j 0.0284471-0.00727832j 0.232661-0.131363j 0.236628+0.329863j -0.0421731-0.230464j -0.117171+0.0218056j -0.108423+0.113435j 0.261053-0.131896j -0.0498134-0.00979828j -0.0533161+0.033159j 0.0159293+0.0145144j -0.122553+0.09735j -0.0383184-0.0130852j 0.0689717+0.033084j -0.0144308+0.10617j 0.0067296-0.0213933j 0.0379763+0.0223837j -0.00508963+0.00332305j 0.0946484+0.0396463j 0.0148839-0.0372063j -0.00549758+0.0235906j 0.00162489+0.0173237j -0.013294-0.0109344j 0.0443117+0.0100361j -0.0332665+0.0963094j -0.0471268+0.0208951j 0.0289623-0.0504886j -0.0120166+0.024225j -0.0186778-0.0156196j -0.0170821-0.0533002j 0.0275851-0.050209j -0.022318-0.00115696j 0.0172705-0.0682947j -0.0304165-0.00928389j -0.013579-0.05705j 0.0219734+0.00926493j 
0.00353735-0.00106573j 0.0193057-0.0172696j 0.0199434-0.00600343j -0.0166708+0.00858153j 0.0237263-0.00259383j 0.00953942-0.015441j -0.00709487-0.0114652j 0.0275973+0.00275065j 0.00833526+0.0396995j -0.00844391-0.0565872j -0.0595986-0.0140674j -0.0354238-0.0258997j 0.106271-0.0750364j -0.0644316+0.051686j -0.0580185-0.122996j 0.0429679+0.0112299j -0.0450734+0.00016321j -0.0383204-0.0276494j -0.00193084+0.0204568j -0.00255168+0.00556506j -0.000128042+0.0501288j -0.068604-0.00826211j -0.000249337-0.0242601j 0.0016622-0.0309294j -0.00937822+0.0173266j -0.00143802-0.00698664j 0.0422111+0.05496j -0.0228844+0.0956257j 0.0210016-0.0153036j -0.0948283+0.103136j 0.0180479-0.0320243j -0.00153728+0.0309936j 0.111615+0.116617j -0.208973-0.0912885j 0.181298+0.179513j -0.075672-0.0275979j -0.137597-0.28208j -0.0895604+0.163181j 0.0144149-0.196432j 0.0218026-0.0764229j 
0.00733486+0.00661481j 0.0125161-0.00897305j 0.00146385-0.0212596j -0.00300575+0.0154653j 0.0148247-0.0415035j -0.0221966+0.00614592j 0.00651202-0.0376794j -0.00137469+0.0250018j -0.0146832+0.0636597j 0.0160594-0.081212j -2.65599e-06-0.0474743j 0.00672872-0.0497979j 0.0685319-0.0486547j -0.0442824-0.000698024j -0.0911262+0.00767002j 0.0174339+0.00647783j -0.0245897-0.0203928j 0.00154924-0.0112899j -0.00234034-0.0076043j -0.0175132-0.00132244j -0.0538107-0.0291201j -0.0246663-0.0285679j 0.0230743+0.00286339j 0.00178946+0.0258457j -0.00584775-0.00856965j 0.0190433+0.0175896j -0.0451158-0.0227728j -0.194203-0.116148j 0.0268787+0.0106736j -0.232029-0.0277092j 0.032702+0.0491324j -0.00614712-0.0575735j -0.00890513+0.116742j 0.0938411-0.259461j 0.128625-0.000511643j 0.0290554-0.0855779j -0.474986+0.303293j -0.196431-0.108884j 0.102617+0.177737j -0.293263+0.257725j 
