-0.00465355+0.00243831j -0.0149489+0.0108886j 0.00315336-0.00150446j -0.0200816+0.0150643j 0.124691-0.0541986j -0.00096356+0.00509305j -0.0372033-0.00512001j -0.00900263+0.00128928j 0.052496+0.00197598j -0.0131604-0.00119694j -0.101633-0.0018363j 0.818294-0.0080441j -0.0763033-0.00682868j 0.0645496+6.4686e-05j 0.115019+0.00810218j 0.0385564+0.001071j -0.0328636+0.000642087j 0.0722981+0.00601349j 0.0336441+0.00215439j 0.0342204+0.0024008j 0.0343912+0.00123326j 0.0242905-0.000621174j -0.00592466-0.00254641j -0.0239443-0.00259397j 0.0335943+0.00373378j 0.024354+0.00625744j -0.0367766+0.00359401j 0.0232221+0.00389033j 0.0953956+0.00473406j -0.0505253-0.0154793j -0.0276962-0.0381108j -0.0553416+0.191581j -0.0260975-0.35421j -0.266816-0.043192j 
-0.0257879+0.0101553j -0.0579317+0.0167656j 0.0066559-0.000618383j -0.124175+0.019334j 0.0658188+0.00494028j 0.0115952+0.0030519j -0.105619+0.00183997j -0.00523431-0.00125293j 0.151232-0.00322044j -0.0178553+0.00420955j -0.879427+0.00430505j -0.220788-0.0147864j -0.0852737-0.00490594j 0.0283616-0.00029946j 0.178052+0.00668543j 0.0296017-0.00373482j -0.022034+0.0029351j 0.0661544+0.00918742j 0.0634382+0.00675584j 0.0627686+0.00650124j 0.0202527-0.00797524j 0.0354646-0.0148287j -0.0195109-0.00496555j -0.031376-0.00667498j 0.0207244+0.0167551j 0.0229591+0.0241394j -0.0350602-0.0297354j 0.00308263-0.0278272j 0.0466117-0.0175566j 0.053577-0.0486466j -0.00113057-0.232906j 0.0884685+0.0468649j 0.0592673+0.0025391j -0.0299987-0.0197013j 
-0.00722813+0.0037485j -0.0167244+0.00656874j 0.102732-0.00984632j 0.0692867+0.00264949j 0.0441168+0.01337j 0.000450458+0.00153754j -0.024266-0.00165283j 0.0573087-0.00158163j 0.0649967+0.000977935j -0.964062+0.00190915j 0.0525179-0.00245638j -0.0406398+0.0014109j -0.00354447-0.0022384j 0.0113549+1.75024e-05j 0.0187403+0.00326048j -0.0106932-0.00314627j 0.0632945+0.00566549j 0.0992658+0.0201162j -0.0201116-0.0204837j -0.0626707-0.0106351j 0.0413214-0.039053j -0.0483502+0.00802868j -0.0436949-0.0287422j -0.0436343+0.0204716j 0.00162363+0.034443j -0.000266522+0.0140627j 0.00513193+0.114521j 0.0138382+0.0751603j 0.00991882+0.000182055j -0.00757507+0.0414252j -0.00765144-0.0070919j 0.0012878-2.72926e-05j 0.00710122-0.0192854j -0.0197707-0.00185605j 
-0.0330421+0.00916199j -0.0759011+0.00846536j 0.00804905-0.000123106j -0.0726166+0.000530533j 0.0388262+1.3499e-05j 0.0131317+0.000458435j -0.0963292+0.0039102j 0.00907217-0.00136168j 0.923438-0.00243431j 0.0867074+0.000898363j 0.283448+0.00532238j -0.0968042-0.00317187j -0.0786129-0.00327962j 0.0126759+6.52309e-05j 0.106572+0.00574322j 0.0145665-0.00882098j -0.0132094+0.00126618j 0.0703087+0.0228061j 0.0553043+0.0155011j 0.0574867+0.0221668j 0.029505-0.0246903j 0.061661-0.0265002j 0.0206634+0.0539389j 0.0417467-0.0539872j 0.0142704+0.0419365j 0.00340264+0.0647791j -0.00351332+0.00552962j 0.00684077-0.0132913j 0.00807816-0.0414764j -0.00737274-0.00541561j 0.00415173-0.0328315j 0.0372992+0.0232389j 0.0265647-0.0121467j -0.0305128-0.0068223j 
0.0245819-0.00792326j -0.0594687+0.00507622j -0.127027+0.0041041j 0.02948+0.00520017j -0.00495098-0.00713573j -0.0186518-0.00208988j 0.0164844+0.00135742j -0.952879+0.00321955j 0.0281847-0.000541047j -0.0885441-0.00141236j 0.00113257+0.00113362j -0.0131275-0.00129523j 0.066816+0.00368752j -0.0194347-5.63317e-05j -0.0165286+0.00308632j 0.0554992+0.00501865j -0.207086-0.0266441j 0.00535632-0.00849823j -0.0687411+0.0549793j 0.00256181-0.049914j 0.0036819+0.00106026j -0.00196428+0.0339509j 0.0235599+0.0266696j 0.00642151-0.0447159j 0.00877636+0.0443034j -0.00910298-0.0576132j -0.0079931+0.00171048j -0.00106712-0.0518074j 0.00279052+0.00833946j -0.0141852-0.0096157j 0.000902019+0.00876778j -0.00121806-0.000693236j -0.00524669+0.00233367j 0.000346534+0.000852976j 
-0.0786748+0.0151599j -0.215169+0.00287715j -0.000664699-0.00100818j -0.0426734-0.00146039j 0.026903+0.000808896j 0.00252463-0.00230289j -0.813509+0.00744842j -0.0176818-0.00321726j -0.252616-0.0022136j 0.0246884+0.000603999j 0.208384+0.00348367j -0.0809416-0.00161723j -0.0350307-0.00510997j 0.0226711-0.00256019j 0.392995+0.0244282j 0.0854416-0.0761844j -0.0356393-0.019323j 0.000287452+0.00520212j -0.00231115+0.0446859j -0.00178678-0.0198773j -0.0094226-0.0239433j -0.0162017-0.0342836j 0.00498024+0.00613725j 0.00495195+0.00881919j -0.012292+0.0365283j -0.0050269+0.0320578j 0.0176755+0.00112301j -0.0151555-0.00990502j -0.0456102-0.0273437j -0.00877526-0.00723458j 0.0136547-0.0473794j 0.0588317+0.0244809j 0.042662-0.0124386j -0.0300888-0.00689699j 
0.416955-0.00491132j 0.00843818+0.00224533j -0.00715668-0.000184432j 0.0152295+0.00228232j -0.0100669-0.00216552j -0.534471+0.0163799j -0.156818+0.0027623j 0.063584-9.3861e-05j 0.0976+5.63864e-05j 0.00641344+0.00054395j -0.074766+0.000587535j 0.0509259-0.00390063j 0.687174+0.0237863j -0.1106+0.0730826j -0.0177672-0.00144889j 0.0313468+0.0498659j 0.025812+0.00892703j 0.0400475-0.0130583j 0.0375496+0.0161387j 0.0299988-0.0282248j 0.0144526+0.0283179j 0.0246759+0.0350917j -0.0143209-0.0135574j -0.00409995-0.000729491j 0.00924522-0.0119996j 0.0200618-0.0290216j -0.0105138+0.00756325j 0.00149654+0.00565452j 0.0505692+0.0207946j 0.0133353+0.00752883j -0.0186916+0.0297645j -0.0335912-0.0150611j -0.0303756+0.00628736j 0.0123977+0.00405542j 
0.0234639+0.000880375j 0.0315048+0.0087921j -0.00740883-0.00169294j 0.0275071+0.0121541j -0.104051-0.0724614j -0.0116795+0.00679919j 0.0634631-0.00787867j 0.00276369+0.00257465j -0.0662669+0.00379365j 0.0331834-0.00407457j 0.0712368-0.00387215j -0.451044-0.00599676j 0.0715768-0.00476885j -0.0427916+0.00112622j -0.102923+0.00345751j -0.0246943+0.00285632j 0.0232405-0.00109669j -0.0540347-4.28502e-05j -0.0248148-0.00150285j -0.025764-0.000239934j -0.020762+0.00357731j -0.0138141+0.0041904j 0.00253652-0.000375525j 0.0141618+0.00301062j -0.025552-0.00392268j -0.0203766-0.00718856j 0.023634-0.00522927j -0.0147888+0.00189615j -0.0541129+0.00713927j 0.0279616+0.00955784j 0.0497079+0.0501598j -0.0268013+0.262259j 0.0297877-0.485405j -0.55184-0.0235873j 
0.0453256+0.0143559j 0.0456071+0.0295676j -0.00469581-0.00231853j 0.0516442+0.0529179j -0.0204579+0.0140944j -0.0323373+0.0110272j 0.0972708-0.00371571j -0.00274189+0.000527937j -0.0685704-0.00321874j 0.000851703+0.00846059j 0.192384+0.00236932j 0.0718331-0.0304279j 0.0729641-0.00393662j -0.0141994-0.000590454j -0.094878-0.00064648j -0.00615055+0.00832287j 0.0141953+0.00280004j -0.016454-0.00766993j -0.0216831-0.0058117j -0.0192833-0.00181195j -0.00219933+0.0096285j 0.000119423+0.01288j -0.00951229-0.00998903j 0.00621597+0.0026816j -0.0114316-0.0245035j -0.0148741-0.0302405j 0.0291771+0.020327j 0.0251681+0.00808969j 0.035344-0.0032132j 0.0265875-0.122683j 0.0699205-0.628829j 0.549957+0.057165j 0.297879+0.0437165j 0.0156663-0.0303292j 
0.00218309-0.00936906j -0.00200847-0.0217158j 0.0216929+0.0610089j 0.0092507-0.0281687j 0.00505261-0.0716721j -0.0118232-0.00330092j 0.00808431+0.00439735j 0.037026+0.00298351j -0.00130747-0.00281984j -0.093468-0.00152796j -0.000281568+0.0112098j -0.0303788-0.00994178j 0.0120516+0.0041419j -0.000963486-0.00107578j -0.00115386-0.00721479j -0.00443439+0.00112885j 0.0173647+0.00427255j 0.00943504+0.00387136j 0.00585656-0.00951374j 0.00354179-0.00417713j -0.0121163+0.00143111j -0.000335058+0.00388506j -0.0237834-0.0146983j 0.00721849-0.00998124j 0.0188291+0.00477596j 0.0125336-0.0182837j 0.134489-0.536161j 0.0808173-0.386853j 0.028478-0.032996j -0.632776-0.155195j 0.126207+0.035953j -0.00257715+0.0338268j 0.00253123+0.0189168j -0.00128172+0.000357307j 
0.03064+0.0204141j 0.00633659+0.0131108j -0.0165871-0.079871j 0.0063945+0.00721134j -0.00863046+0.0351224j -0.0247562+0.00878311j 0.0270477+0.00160012j -0.0447067-0.00301866j -0.0201821-0.00107444j -0.0115641+0.0010574j -0.0308931+0.0104819j 0.049623+0.00160189j 0.041528-0.00407299j -0.000713074+0.00164615j -0.0124239-0.00505684j 0.0147792+0.00781223j -0.0112134+0.0104568j 0.020302-0.00719989j -0.00294316-0.00280093j 0.019804-0.0161775j 0.014755+0.0127844j 0.0360527+0.0139286j -0.0326995-0.00425267j 0.00222308-0.00860707j 0.0429792-0.158266j -0.233489+0.631614j -0.156469-0.114913j 0.285783+0.132562j -0.539033-0.17976j -0.0290777-0.00797869j 0.0152787+0.00691408j 0.00125827+0.0119138j -0.00446548+0.0116951j 0.0137252-0.00477028j 
0.0231457+0.0134065j 0.0259954+0.038288j 0.00704393+0.0522073j 0.00333563-0.0159575j 0.00555131-0.00254423j -0.0181654+0.00439468j 0.046487+0.00324823j 0.023891-0.00287496j -0.0233014-0.00443567j 0.00877813+0.00639651j -0.0476642+0.0145816j 0.0751732-0.0050565j 0.0226135-0.000462152j 0.00335052+0.000329854j -0.0138448-0.000303551j 0.00572792+0.0130685j 0.0168394-0.00230407j 0.0310425+0.00116733j 0.0158272-0.00925094j 0.0170054-0.00056856j 0.0153533+0.0320097j 0.0216596+0.0183106j -0.0553457-0.0294244j 0.0966789-0.158035j -0.242511+0.605864j -0.00309465+0.164693j 0.320736+0.130843j -0.422074-0.169481j -0.316472-0.148299j -0.00266676+0.019369j 0.012877+0.00450211j -0.00528289+0.0105315j -0.0130593+0.0153897j 0.022151-0.00481682j 
