-0.00210553-0.137044j 0.215973-0.22043j -0.00709283+0.147495j -0.296165+0.0255374j 0.537217-0.116037j -0.0845252-0.139083j -0.187606+0.0430301j 0.0821179-0.088562j 0.0728724-0.0475536j -0.00162525+0.0214095j 0.0493978+0.0195108j 0.013358-0.00634443j 0.00419062-0.057069j -0.0222188-0.0342951j -0.0132864+0.0403113j -0.0474889-0.0253223j 0.0906416+0.0264763j -0.0787816-0.0496595j 
-0.105811+0.233052j -0.24945+0.0608105j 0.161244-0.0687146j -0.00298673+0.267808j 0.232598+0.539829j -0.281512+0.0113143j -0.160804-0.393717j 0.00442031+0.0895872j 0.0506747+0.00342817j -0.00446323-0.0378777j 0.0227865-0.0349878j 0.0448895-0.00478648j 0.00545234-0.0134352j 0.0115262-0.0465848j 0.141301-0.00254519j 0.0792925-0.0748104j -0.0562497-0.0959643j -0.0356459-0.0729711j 
0.0535937+0.0663987j -0.0269958+0.0551701j -0.116867-0.067833j 0.00408285-0.033457j -0.130147+0.107256j -0.0124638-0.0189673j 0.0452951-0.0690191j 0.00144481+0.0303966j -0.0136275+0.0148375j -0.0133149+0.0288163j 0.0399612-0.0422815j -0.0451393+0.0530511j -0.00988027+0.00942561j -0.0678621-0.0523514j -0.0303592-0.00839886j -0.0224943-0.0355021j 0.00688023+0.00759246j 0.00452831-0.0185953j 
-0.124595+0.266484j 0.0767556-0.260888j 0.0346306-0.569159j -0.356315-0.0620865j 0.124893-0.186328j -0.128404-0.374661j 0.0698419-0.0394508j 0.080562+0.0407436j 0.076348-0.00825139j -0.00611877+0.0248301j 0.00703637+0.00897162j 0.0843668-0.0410687j 0.0697828-0.0354061j -0.0419437-0.0937467j 0.0650256+0.0319415j -0.00275018-0.00747812j 0.0515016-0.0061954j -0.0248502-0.0562839j 
-0.311209+0.0643368j -0.208926-0.017072j 0.549849-0.0134101j 0.19423+0.210113j 0.0753168-0.130884j -0.0415385+0.11638j -0.0506447-0.00422922j -0.165158-0.032956j -0.00095605-0.0187236j 0.0761498+0.0248473j -0.0205664-0.0565842j -0.02563+0.0364193j 0.0354018-0.0348745j 0.042229+0.0152455j 0.0449302-0.040901j 0.0415873+0.038041j -0.0802992-0.0314938j 0.00648844+0.0652737j 
0.0303649-0.06674j 0.0406625+0.0186453j 0.0353029+0.0613277j 0.0464692-0.00756102j -0.0444547-0.0415644j 0.0284913+0.0494925j -0.0389708+0.0266146j -0.0272126-0.0449899j 0.01839-0.188586j 0.0683811+0.0104696j 0.126298-0.0998386j 0.0253388-0.165617j 0.0229967-0.182956j -0.229711-0.100705j 0.153495-0.140127j 0.453697-0.167623j -0.160214+0.0416674j 0.296849-0.0923781j 
-0.00222642-0.025899j 0.0935617-0.0506168j -0.0532455+0.0292421j -0.0954899-0.0262023j 0.0589877-0.0545589j -0.00479142-0.00433076j -0.0876557+0.0130773j 0.0574479+0.140198j -0.0808396+0.278497j 0.0713742-0.0651868j -0.203124+0.00608901j -0.0988245+0.0869536j -0.207071+0.0585844j 0.0590369-0.102872j -0.019145-0.17828j 0.308287+0.244059j -0.131363-0.0168059j 0.27431+0.280524j 
0.0417736-0.0271164j 0.0936566-0.00489961j -0.0185747+0.0482242j -0.00919099+0.0294159j -0.0129085-0.0538423j 0.00106561-0.0563872j 0.0658112+0.108979j 0.00907339+0.180655j -0.105338+0.152503j 0.0449903-0.0334006j 0.00904083-0.180525j -0.0242801-0.185022j 0.2255+0.537131j -0.0517056-0.0885506j 0.300899-0.0669323j -0.062273-0.265271j -0.228188-0.354791j -0.104844-0.0726807j 
-0.000408333-0.0232536j 0.0237079-0.0199536j -0.00997454-0.0191255j -0.0267816+0.0213347j 0.00803041+0.0106369j -0.0292592+0.00350594j -0.0528917+0.000421148j -0.0175483-0.0225267j -0.0329711-0.0470903j 0.190112-0.0415293j -0.312323-0.049684j 0.32176-0.135005j -0.0689465-0.00703436j -0.0470074+0.467935j 0.0909421+0.0253685j 0.131535+0.0204723j -0.0296466+0.00642344j 0.10325-0.120136j 
-0.0126119-0.012799j 0.0453408-0.012414j -0.0498835-0.0179028j -0.023661-0.0208224j -0.000545247+0.0123341j -0.0209141-0.021503j -0.00369481-0.01848j -0.123759-0.10736j 0.0407641-0.0842331j 0.0975782-0.0816859j 0.00992943+0.306874j -0.0752006-0.358996j 0.109707-0.110149j 0.448412+0.0316332j 0.084196-0.0624444j 0.164517+0.0377435j -0.0219476+0.0594623j -0.00282201-0.0144788j 
0.0765299-0.038941j 0.0548989-0.0324396j -0.00429937+0.0888754j 0.0870034-0.0765242j -0.0272316-0.0273803j 0.0811473+0.0721894j 0.0538944+0.0757971j -0.030886+0.284395j 0.115072-0.274329j 0.049869-0.372632j 0.130541-0.0225656j 0.260295-0.0178173j 0.254928-0.325073j -0.0421658-0.0913915j 0.208513+0.23109j -0.0654238+0.0628028j 0.0223841-0.0672514j -0.0628969-0.0493697j 
0.00287342-0.00932696j -0.0441532+0.0183727j 0.0328406-0.00241473j 0.0232833+0.0205482j -0.00109445+0.00412521j 0.00299535+0.0076641j -0.0138741-0.00264172j 0.0492839-0.146358j 0.0475261-0.129084j -0.0926991+0.0884081j 0.109213+0.0356956j 0.0365524-0.0761805j 0.00423679-0.0666156j -0.0575864+0.00225998j 0.0022802+0.0181748j 0.00161081-0.112438j 0.0564257+0.125559j 0.163398-0.134192j 
-0.00527235-0.0294722j 0.190276-0.0556365j -0.0943804-0.0175969j -0.102513-0.0514443j 0.0165767+0.0285643j -0.0780986-0.0596819j -0.0576054-0.0337394j -0.41334+0.0534722j -0.0854263-0.0560237j 0.490075+0.00742285j -0.0237476-0.203977j -0.194588+0.0294369j 0.111482-0.19241j -0.0566467+0.0146164j 0.00148953-0.103559j 0.109421-0.0651142j -0.0423829+0.0333609j 0.0799742-0.0113161j 
0.00318161-0.000671003j 0.0108846+0.00632455j 0.00933563+0.00673251j -0.00614527+0.00332952j -0.0199425-0.0169996j -0.0312249+0.0139024j 0.00160785-0.0422825j 0.00571908-0.00549777j 0.00918738-0.0158606j -0.00495065+0.00646132j 0.0196284+0.000198457j 0.00453798-0.0068267j 0.00921087-0.0141724j -0.0127938-0.00656556j 0.00930009+0.0094103j 0.003739-0.0231342j 0.0094642+0.00935478j 0.031484-0.00501243j 
0.0100434+0.0110034j 0.00442184+0.00030858j 0.00030049+0.0102198j 0.000852162+0.00551814j 0.000921029-0.00412417j 0.0216999-0.000998488j -0.00910157+0.0145895j 0.069487+0.103078j -0.0184213+0.067678j -0.0378896-0.0662028j -0.0438581-0.0120201j 0.0316875-0.019311j 0.0221771+0.0853038j -0.00576269-0.0601764j 0.114205+0.0640959j 0.0868822-0.00185027j 0.0271895-0.0927297j 0.0393439+0.131121j 
0.0104018+0.00767889j 0.0163568-0.00588162j 0.0147138-0.010292j -0.0104825+0.021047j -0.0262631+0.0176119j 0.0143502-0.00503952j 0.00239667-0.025203j -0.00915553-0.0176194j 0.00235045-0.00160937j 0.00674162+0.0173684j 0.00280178+0.00228827j -0.0102044+0.0148279j -0.0102904-0.0132294j 0.00709502+0.0148711j -0.0265194-0.0130754j -0.0320085+0.0067579j -0.00488522+0.000605546j -0.0123188-0.023077j 
0.00194009+0.0095576j -0.0158884+0.0109232j 0.0017927-0.00710256j 0.00921374-0.00277448j -0.00639592+0.00385674j 0.0240555-0.00796629j 0.030726+0.0259379j 0.0123759+0.00921041j 0.00941221+0.0173475j -0.0304064+0.0106431j 0.00629472+0.0219523j 0.0200087+0.0148528j 0.00226504-0.00984941j -0.0105742+0.00812629j -0.00908697+0.0227921j 0.00787241-0.0252591j -0.00455992-0.0735096j -0.107629+0.0152487j 
0.00467579+0.0012386j 0.000226179-0.00947836j 0.00622094+0.027355j 0.0102569+0.00915399j 0.0257035-0.00824267j -0.00667246+0.00143302j -0.00763045-0.0011515j 0.0126696+0.020952j -0.00487645+0.00174576j 0.00198238+0.00584106j 0.00447335-0.0236945j 0.0306693+0.049163j 0.0108421-0.012233j -0.0677398+0.0114199j 0.00196455+0.00505287j 0.00362216-0.0349724j -0.00939154-0.0653425j -0.0176909-0.00809511j 
0.000918556+0.00758957j 0.00247653-0.00157709j -0.00344556+0.012042j 0.00519524+0.00785092j 0.000626644-0.0128157j -0.03435+0.00890435j 0.00578705-0.0466137j 0.00694727-0.000332724j 0.00894725+0.00140799j -0.016676+0.00134514j 0.00845917+0.0211323j 0.00142612-0.00503252j 0.00400495-0.00532064j 0.00995387-0.0103898j 0.00153052-0.00039701j 0.0155636+0.00417054j 0.000646424-0.0202501j -0.0216404-0.002339j 
0.0169951+0.00066698j 0.010757-0.0194741j 0.00419584-0.0120251j 0.0156859+0.00606692j -0.00790967+0.00666121j 0.000421195-0.027536j -0.015459-0.00781581j 0.0249928+0.0305042j -0.00657387+0.00386325j -0.0131906-0.0297286j -0.0108667+0.0474188j 0.021186+0.0134048j 0.0208973+0.0257249j 0.020506-0.011861j 0.0267103-0.0351758j 0.0285076-0.0103425j -0.0325332-0.0708678j 0.0450073+0.0101443j 
3.85884e-06-0.00620317j -0.00783517-0.0229067j 0.00300894+0.00844184j 0.00682021+0.0100343j 0.0176776+0.014524j -0.00386725-0.0138466j -0.0167694-0.03317j -0.029624-0.0312587j 0.0024084+0.0116856j 0.0190083+0.0194684j -0.00241236-0.0366885j -0.0315371-0.0304626j -0.0340886-0.00313027j 0.0203592-0.00132895j -0.0234084+0.0367276j -0.0178736+0.0402424j 0.0166069+0.0843025j -0.030979+0.005101j 
-0.0116097+0.00870132j -0.0125953+0.0147571j -0.0114049-0.0146247j 0.0521748+0.00896961j 0.00186813-0.00661411j -0.00855812+0.0267824j 0.0116067-0.0114691j -0.00323612+0.0131271j 0.023756+0.018658j -0.00107734+0.0248264j -0.0117+0.0203455j 0.0144961+0.00878697j -0.0167287-0.0259114j 0.00132882+0.0184015j -0.00136868+0.0518685j -0.0070482-0.00466442j 0.0356775-0.00336547j -0.00492246+0.014402j 
