-0.000397784+0.00698005j -0.00620206-0.00100155j -0.00395485+0.00126316j 0.00284623+0.00758807j -0.00162425+0.000256613j 0.00248999+0.0012502j -0.00370809-0.00850213j -0.00338545+0.00236387j 0.000356874-0.00261403j 0.00311297-0.00198217j 0.00135793-0.00457213j 0.00418638+0.00709326j -0.00385707+0.00364587j 0.000716581-0.0050286j -0.00199235-0.000836129j 0.00160671+0.00128753j -0.000422943+0.000230685j 0.000743387+0.00385639j -0.00270745-0.000756352j -0.00118188+0.00504014j 0.000686976-0.0016042j 0.00102377-0.001744j -0.00303391+0.00225366j -0.000465614-0.00398784j 0.000575314+0.0013547j 0.000755889+0.00445532j 0.000814533-0.00217002j 0.00150054-0.00259305j 0.000193605-0.00105421j 0.00192781-0.00257537j -0.0021593+0.00152762j -0.000787221-0.000505655j 0.000927534-0.00078242j -0.00101881+0.00117617j -0.000254154+0.00221996j -0.000891379+0.00109646j -0.000214467+0.00578953j 0.000870938-0.00310322j -1.73439e-05+0.000893091j 0.000147031-0.0027812j -8.50702e-05+0.00323349j 0.000774344-0.00233556j -0.000643113-0.00136875j -0.000698612-0.000375933j -0.00161218+0.00155045j 0.000612591-0.00602671j 0.00117376+0.000822766j 0.000124614-0.00209194j -0.000286832+0.00223105j 0.00108566+0.000904441j 0.000282049-0.000442412j 5.74201e-05+0.00385443j 0.00216017-0.000737106j -0.00064175-0.00187314j 0.00288602+0.00258766j 7.95829e-05+0.000294393j -0.00109505+0.00246563j -0.000617577-0.001016j 0.00310475-0.00016767j 0.00221984+0.0015973j -0.000124583+0.00190445j -0.00133436-0.00213164j 0.00142422-0.00492294j -0.00110412-0.00933941j 0.00074812+0.0015784j -0.00795799+0.0103944j -0.000322699-0.0131799j 0.00382339-0.0132714j -0.0103301+0.00784539j 0.00597451+0.00273904j -0.00220256-0.0395245j 0.00127644-0.0118833j 0.00471615+0.0317378j -0.00648422-0.060344j -0.022921+0.0234179j 0.0124506+0.0759237j 0.0537204-0.0361079j 
-0.00642037-0.00103371j 0.000549733-0.0070494j -0.00251986-0.00716407j -0.0049334+0.000964599j 0.00067996-0.00402882j 0.00230534+0.00535404j 0.00410493-0.000627443j -0.00067819-0.00797638j -0.00129004+0.00127497j 0.00148896+0.000771227j 0.00321156+0.00273979j -0.0025259+0.00605125j -0.00142972-0.0064714j 0.00145803+0.00182496j 0.000579412-0.00386711j 0.000438991+0.00207155j 0.000167949+0.00306148j 0.000420202-0.000417886j 0.000843368-0.00513897j -0.0035653+0.0002266j -0.000300972+0.000803121j 0.000394245+0.00101394j -0.0018223-0.00603071j 0.000764305-0.00189182j -0.000996812+0.00334457j -0.00117873+0.00178274j 0.000878101+0.000881973j 0.00148826+0.00186653j 0.00173038-0.000926778j 0.000917407+0.00495444j -0.0010521-0.00259621j -0.000387622-0.00122302j -0.000207957+0.00182224j 1.56785e-05-0.00161589j -0.00177088+0.000914967j -0.00108224-0.00151241j -0.00211202+0.000710586j 0.00210107+0.0026635j -0.000374978+0.00113189j -4.32316e-05+0.00224271j -0.000495963-0.00146739j 2.84507e-05+0.00135093j 0.00183833-0.00198775j 0.000331982-0.00112701j -0.000546415-0.00180886j 0.00335286-0.000863745j -0.00116475+0.00355578j -1.0326e-05-0.00104737j -0.00220323+0.000427375j -0.000661837+0.0025574j -2.57167e-05-0.000572066j -0.000902336+0.00104294j 0.000566692+0.0034136j -0.000295488-0.00128363j -0.0030232+0.00481902j -0.000551681+0.000452493j -0.00185904-0.00157069j -0.0026113-0.00107916j 0.000429672+0.000558493j 0.000328806+0.000998667j 0.00128977+0.0015892j 0.000709842-0.00676996j 0.00352491+0.00419239j 0.00184935-0.00079238j -0.000253095+0.00206426j 0.0001069-0.0149876j 0.00901269-0.0130007j 0.00946549-0.003707j 0.00505321-0.0104217j 0.00426432+0.00648874j 0.00267282+0.00972923j -0.00272051-0.0515936j 0.00458352-0.0098313j -0.0230938+0.0176306j 0.00850222+0.0650445j -0.0536659+0.0351284j 0.0121653+0.074817j 
-0.00570906-0.000612925j -0.00012824-0.00444278j 0.00104822-0.00294641j -0.00199718-0.00391924j 0.00404378+0.00255867j 0.00424937+0.00254164j 0.00197746+0.00315368j 0.0065847-0.00340119j 0.00143786+0.0106738j 0.00200176-0.00497145j 0.00576996-0.000122262j 0.00172576-0.000502863j 0.00497738-0.00311815j -0.00245387+0.000557896j 0.00401558+0.000826417j -0.00140412-0.00259723j -0.000336349-0.00134275j -0.00134302-0.00948417j -0.00109846-0.00730192j -0.00199773+0.00550505j -0.00221739+0.00672845j -0.00329963+0.00552456j -0.00114077-0.00219625j -0.00406281+0.00652885j 0.00111407+0.0039161j 0.00102397-0.000755845j -0.00076387+0.00351967j -0.0030465-0.000147234j 0.00165159+0.00081116j -0.00189662-0.00174765j 0.00151164-0.00205523j 0.000640631+0.00373144j 0.00203525+0.00362769j -0.000348639-0.00536205j -0.000708558+0.00289121j -0.000139071+0.00201464j 0.00174574-0.0102449j 0.00184809+0.000415722j 0.00180395+0.000332196j 0.000914344+0.00461112j -0.00230297-0.00588956j -0.0023242+0.00487864j 0.00066716-0.00346821j -0.00166284+0.0027428j 0.00276255+0.00308038j -0.00413735-0.00187795j -0.00112079+0.00567081j -0.00239339+0.000123843j -0.0019858+0.000608206j -0.00162467-0.00576234j 0.00308621-0.00144788j 0.000369365-0.00826604j -0.0018626-0.00546329j 0.0005816+0.0124402j -0.00285212+0.00393039j -0.00087962+0.00414794j 0.000828427+0.00233219j -0.00393187+0.0224408j -0.00412947+0.00454832j -0.00579902-0.00407985j 0.00234644-0.00983809j -0.00348096+0.00855994j -0.00184814+0.0206959j -0.004975+0.022156j 0.00188131+0.00953877j -0.0123538-0.0344291j -0.00269562-0.00750972j -0.00905848-0.00400449j -0.00242385+0.00288958j -0.0067141-0.0524503j 0.0161261-0.0424607j 0.0149948+0.0126468j 0.0227623-0.02823j -0.0107966-0.0775594j 0.0520009-0.0409359j -0.000565364-0.00555303j -0.00143959+0.0113525j 
0.00132964-0.00480246j 0.00554701+0.0016472j -0.00176245+0.00508932j 0.00219837-0.000636309j -0.00636633-0.000960046j -0.00226665+0.00172274j 0.00216387+0.00236974j -0.00289406+0.00782357j -0.00476153-0.00339754j 0.000417721+0.00686173j -0.00232952+0.00974037j -0.00538045-0.000853239j -0.000157153+0.00666426j -0.000544318+0.000685738j 0.00130761+0.00441554j -0.000565268+0.00214098j 0.00116207+0.000838235j 0.00025647+0.000379415j 0.00132481+0.00547441j 0.000704048-0.00433551j -0.000476021-0.00309418j -0.000424656-0.00571119j 0.00157221+0.00336993j -0.00087551-0.00446895j -0.00147087-0.00457497j -0.000346366-0.00186132j -0.00369371-0.000107523j -0.000241887-0.00185668j -0.00202746+0.0022412j 0.000651496+0.000236182j 0.00269662+9.17471e-05j 0.00144967-0.00266342j -0.00046103+0.000807665j 0.00145337-0.00236169j 0.00248905-0.000829585j -2.28966e-05+0.00130446j 0.00229393+0.00288787j 0.00133633-0.00239109j -0.00184217+0.000263176j 0.0018224-0.00362512j -0.000680955-0.000214934j 0.000209092-0.00270531j -0.00274685+0.00159003j -0.000788959-0.00233456j 0.000403282+0.00448474j -0.00157498-0.00208686j 0.000549708-0.00622197j 0.00129838+0.00326476j 0.0019813-0.00233043j 0.00357975-0.000334947j -0.00139876+0.0103152j 0.00168733-0.0059755j 0.00175805-7.83999e-05j -0.000951456+0.00718855j 0.000952927-0.00105997j 0.000583077-0.00056126j 0.00196602+0.00240586j 0.000451149-0.0103667j -0.00918167+0.00878636j -0.0025442+0.00265136j -0.000408493+0.00249553j -0.0062875+0.0153957j -0.0080985-0.0205859j -0.000908247+0.0123055j -0.00946894-0.004442j -0.00900447-0.0101249j 0.00369005+0.0446817j 0.010231-0.0235706j -0.0033607-0.017777j -0.0213488+0.022562j -0.0197788-0.0583991j 0.000855327-0.0163486j -0.00454786-0.0754749j 0.0493515-0.0245005j 0.00691648+0.0511662j 0.00343616-0.0114081j -0.000243877-0.00595449j 
-0.00214778-0.00128587j -0.000198068-0.00196613j -0.00379409+0.00334103j 0.00568663+0.00150944j -0.00592789-0.00219803j -0.000332787+0.00759983j 0.0024401+0.000792172j -0.000844352+0.00292926j -0.000115916-0.00363315j 0.00256142+0.00178004j 0.000455044+0.0104363j -0.00376373+0.000923134j 0.00136644+0.00149496j -0.000326958+0.00315423j 0.00351236-0.00219358j 0.00029383+0.00889519j 0.00275597+0.00560495j -0.00155974+0.00400537j -0.00143978+0.00834755j 0.00388181+0.000154789j 6.72413e-05+0.00106904j -0.000649416-0.00164145j 0.00156909+0.00514705j -0.00200826-0.00124464j -0.00138298-0.0040758j -0.000505941-0.00186256j -0.00626622+0.0048532j 0.00080108+0.00438645j -0.003247+0.00471996j 0.00259871+0.00761704j 0.00227852-0.00574006j -0.000674159-0.00654515j -0.00114503-6.60866e-06j -0.000419238-0.00430636j 0.00241007-0.00253933j 0.000887709+0.00044782j 0.00222755+0.00308343j 0.00141335-0.00627614j -0.00299092-0.00301706j 0.000181286-0.00870968j -0.000862374+0.00216149j -0.000153667+0.00224741j -0.000174618+0.00620523j -0.00037273-0.00391702j 0.000174343-0.000160234j -0.0010277+0.0111814j 0.00225045-0.0111634j 0.0013113+0.000125074j 0.00268375-0.0117491j 0.00281817+0.00404489j -0.00679917+0.013831j -0.00294206-0.00231522j 0.00314304+0.0109542j 0.005482+0.0038289j -0.00305354+0.0124824j 0.00287663-0.000509503j 0.00414501-0.00350882j -0.004674-0.0134655j 0.00110705-0.011629j 0.000588787+0.0130739j 0.009605+0.0361191j 0.014544+0.0053649j 0.00252295-0.0288457j -0.00100696+0.0230353j -0.00159043+0.0366082j -0.00784352+0.00608488j -0.0091075+0.00759684j 0.00880994+0.0172419j 0.00276021+0.00641849j -0.0139452-0.069684j 0.00948383-0.00500195j -0.000562253-0.0614996j -0.0477391+0.0253967j -0.00213433-0.00274025j 0.004155+0.0136491j 0.00099977+0.000210928j -0.00398482+0.00614601j 
-0.00545853-0.00240501j 0.00132435-0.00200828j -0.00405868-0.0041437j -0.0037558-0.00173018j -5.16386e-05-0.00610215j -0.00200757-0.00458947j -0.00163682+0.00494767j -0.00377664-0.00442844j 0.000164192+0.000748704j 0.00257833-0.00176099j -0.000220901+0.00342635j -0.00405457-0.00263841j 0.0011811+0.000935067j 0.00307167+0.00937425j -0.000583304-0.00754809j 0.0018763-0.00201568j -0.00307171+0.0061789j -0.00198663-0.00839726j -0.00251948+0.00465022j 1.82699e-05-0.00119986j -0.00176243-0.000676382j -0.00298057-0.00517869j 0.00272765+0.00260411j 0.00311754+0.00546711j -0.00361234+0.0022109j -0.00250017-0.0114816j 0.00393763+0.000895756j -0.00203122-0.00347579j 0.00135684-0.0108208j -0.00120053+0.00559187j 0.000571734-0.0020843j -0.00279108-0.00290754j 0.00248742-0.00641585j 0.0020977+0.00537546j 0.00270449-0.00362632j 0.00437248+0.0030817j 0.00141877-0.00331927j -0.00392759-0.00973682j 0.000932581-0.00294504j 0.000675169+0.00529227j 0.000844063-0.00118976j -0.00226185-0.00153015j -0.00278466+0.0110517j 0.00302953-0.00131793j 0.0023131-0.0100541j -0.00392036+0.0105875j -0.00218363-0.000177494j 0.00590143-0.000683291j 0.000396181+0.0130452j 0.00447034-0.00912369j 0.00414144-0.000902196j -0.00144798-0.0181383j 0.000419992+0.000608408j -0.0046846+0.0160499j 0.00987703-0.0116235j -0.000541968-0.00824187j 0.00630716-0.0108555j -0.00668679-0.00390881j 0.00904351+0.0348483j -0.00137848-0.0291533j 0.00345382-0.00374681j -0.00572916-0.0249967j -0.0018068-0.0318239j 0.00506139+0.00698065j -0.00626717-0.0297071j -0.000724145+0.0540794j 0.0147314-0.0263311j -0.00814171+0.00618927j -0.000906718-0.033633j -0.0136628+0.0253002j 0.00829984+0.0647444j 0.0487361-0.0242347j 0.0032812-0.0233777j 0.00272715+0.00450776j 0.00901252-0.00383139j 0.00649498-0.00871443j -0.000482743+0.00729002j 
-0.0022766+0.00305387j -0.00726228-0.00250691j -0.000524588-0.00541615j -0.00164493+0.00331664j 0.00173522-0.00290558j -0.00453496+0.004719j -0.0026329+0.00381453j 0.00196118-0.00521433j 0.00459084-0.00041879j -0.00183343-0.0104173j 0.00209951-0.000975747j 0.00381341+0.000556738j 0.00469253-0.00383739j -0.00119369-0.00183488j -0.00214567-0.00518855j 0.00258021-0.00377771j -8.57069e-05+0.00841067j -0.00280683-0.00619192j -0.00064905-0.00177375j 0.000844224+0.00506799j -0.00199294+0.00570235j -0.00357613+0.00508539j -0.00285982-0.00405713j -0.000661701+0.000580806j 0.000861497+0.00756752j -0.000897892+0.00144952j -0.00275881-0.00296335j -0.00216773-0.000949133j -0.00153243-0.00159881j -0.00088902+0.00531196j 0.000767766-0.00152402j 0.00104566+0.00743532j 0.000323703+0.00306649j 0.00375501-0.00553884j -0.00131531+0.0029257j 0.00305109-0.00624223j 0.0019031-0.00529346j 0.00138707+0.00747108j -0.00125903-0.00243076j 0.000565935+0.00602272j 0.00105984-0.00523618j 0.000582596+0.0123517j 0.00162531-0.00773371j -0.00192472-0.00264452j 0.000580314+0.00676435j -0.00247737+0.00348596j 0.00174881+0.00536064j -0.00174614-0.0117491j -0.00101769-0.00168068j -0.00208321-0.0101716j -0.0110472+0.010388j -0.00450625-0.00230901j 0.00521774-0.0053712j -0.00212305+0.00751174j 0.0070492+0.00731333j -0.00630479+0.0062318j -0.000862533-0.00976228j 0.0102547+0.0266806j -0.00352588-0.012272j 0.00282168+0.00575032j 3.21231e-05+0.0532618j -0.00389688-0.00787675j -0.00348584-0.00423125j -0.00211172+0.0163102j 0.0172916-0.0443461j -0.0179766-0.0106164j 0.0137004+0.0469286j -0.0127007-0.0608493j 0.0140539+0.00305196j 0.0091401+0.0534126j 0.0471443-0.0295749j -0.00429121-0.0317957j -0.00400369-0.00956174j -0.00643376-0.0044222j -0.000189152-0.00678752j -0.000866019+0.00667293j -0.00507462+0.00775043j 
-0.00409123-0.00157602j -0.00190133-0.00131886j 0.000491468+0.000258793j 0.00021057-0.00413614j 0.00168109-6.76336e-05j 0.000441474+0.00432725j 0.00552623+0.00285201j -0.00185768-0.00444461j 0.00616628+0.00122934j -0.001607-0.0032233j -0.00286279+0.0050155j -0.0025847-0.0087837j 0.00151998-0.00218076j 0.00427919+0.006912j 0.00505478-0.00529552j 0.0037729+0.00880621j 0.00349458-0.000932328j 0.000396738+0.000194806j -0.000680735+0.004241j 0.00719577+0.00172264j 0.00108776+0.00504088j 0.000196434+0.000687928j 0.0042247+0.00948869j 7.93749e-05+0.00916817j -0.00141205-0.00343764j -0.000760398-0.00798213j -0.000628572+0.0116553j 0.00136828+0.00307519j -0.00132109+0.00543709j 0.00360106+0.00328072j 0.00086785-0.00639538j -0.00294982+0.00136178j -0.000453104+0.006872j 0.00057841-0.00211272j 0.0025893+0.00133332j 0.000530491+0.00439879j 0.000771211-0.000376917j -0.00400723-0.0104063j -0.00236643-0.00561448j -0.000548249-0.0032885j -0.00314044-0.00591347j 0.00030122+0.00723065j 0.00176062-0.00181232j 0.00280506-0.000947399j -0.000850686+0.00883827j 0.00251979-0.00113593j 0.00146262-0.00888853j -0.00243288+0.00649226j 0.00346366-0.0113293j 0.00689523-0.00632082j 0.00613562+0.00458999j 0.0044109-0.019264j 0.0170869+0.00560647j 0.00510907+0.0221947j 0.00832963+0.0220419j 0.00278999-0.0029942j 0.000750977+0.0146187j -0.00292488-0.0124503j 0.00595144-0.0162238j -0.00530353+0.0109648j -0.0111079-0.0325747j 0.0019595+0.0222985j 0.00112826-0.00690675j 0.00446309-0.0279299j -0.00655275-0.0330897j -0.00444866-0.0172736j 0.0116581-0.0363437j -0.0221524+0.0531735j 0.0146814+0.0588028j -0.0347252+0.00965358j 0.00962342-0.00121071j -0.00351237-0.00342583j 0.0151826+0.00425677j 0.00992534-0.0111366j 0.00873413-0.00614393j 0.00616873-0.00533958j 0.000433621+0.0052195j 
-0.000882439-0.00233976j -0.00378216-0.00224611j -0.00316634-0.00718118j -0.00271691+9.09162e-05j -9.88479e-05-0.00451697j 0.00525527+0.000493677j -0.00162732+0.00134506j -0.00153386-0.0085947j -0.0079977-0.00162864j -0.00114692+0.00535701j -0.00150241+0.00296781j 0.00295461-0.00219455j -0.000823214-0.00441541j -0.00290133+0.00325212j -0.00163874-0.000315309j 0.0031229-0.00224754j -0.000125963-0.00378813j 0.00272928-0.00202229j 0.000403156-0.00506537j -0.00288508-0.00891947j 0.000223464-0.000850792j -0.0014613-0.00123385j -0.00326767-0.00632331j -0.00265791-0.00336563j 0.00157932+0.00173736j 0.00208844-0.00179226j 0.00133365-0.00372479j -0.00288213-0.00145357j 0.00313195-0.00426518j -0.00117007-0.000200814j -0.00419359+0.00188338j 0.00271818+0.00685124j -1.64839e-05+0.00452817j 0.00485183+0.000197708j 0.00237671-0.00459291j -0.00469315-0.00430077j -3.96871e-05+0.00275696j 0.000374273+0.00773216j -0.00018962-0.00500151j -0.00265108+0.0108123j 0.00341215-0.00759423j -0.00192439-0.00269684j 4.37467e-05+0.00478378j 0.00681306-0.0147541j 0.0104896-0.013323j -0.00363925-0.00177703j 0.00783589-0.00309307j -0.00880853-0.00282817j 0.00305693-0.00295661j -0.00363223-0.00815188j -0.000619778-0.0334126j 0.00180724-0.00624361j 0.00113926+0.00503474j 0.00925511+0.00182047j 0.00236084-0.0229844j -0.000428588+0.00530826j -0.005283+0.00323835j -0.00556298-0.0103992j -0.0111952-0.0225996j -0.00536902-0.0122757j 0.00030086-0.012848j -0.00573193-0.00933977j -0.0082827-0.0297633j -0.000593601-0.0440974j 0.010689+0.0156173j -0.0120287-0.0237294j 0.00533834+0.000856869j 0.00963211+0.0360393j 0.00981805-0.0121042j 0.0126169+0.0124509j 0.00638306+0.00585638j 0.0253342+0.0158481j -0.0278378-0.00579797j -0.0207719+0.0156249j 0.00598564+0.00617578j 0.00797421+0.00435497j -0.0140798+0.0114859j 
0.00213334+0.000250055j -0.00126699-0.00435041j -0.00150277+0.00151411j 0.00885123+0.00520763j -1.71863e-05-0.00394648j 0.00236003+0.00620927j -0.00504235-0.00520626j 0.00070166+0.00624298j 0.00275422-0.00296928j 0.00764099+0.00430279j 0.00052012+0.0137762j -0.00140408+0.0134456j 0.00311281+0.00726614j -0.000530118+0.000116237j 0.00298115-0.00417254j 0.00129719+0.00695192j -0.00594218+0.00816988j -0.00017177+0.00152843j -0.00560583+0.00499913j -0.0013141-0.0038232j 0.00147489-0.00656014j -0.000793274-0.0130929j 0.00437477-0.00101005j 0.000558574-0.0128499j -0.00367513+0.00421526j 0.00297488-0.000241264j 0.000793387+0.00302287j -0.000819935-0.00304488j 0.00504842-0.00513763j -0.00554632+0.011256j 0.000536561-0.00063147j -0.000423103-0.0065486j 0.00312983+0.00246017j -0.00161637+9.92007e-05j 9.37378e-05-0.00504047j -0.0003028-0.001407j 0.000222122+0.0126061j -0.00243098-0.0039628j -0.00459006+0.00564615j -0.00207779+0.000815631j 0.00224841-0.0061131j -0.00511196+0.00347913j -0.00105364+0.00655825j 0.0010093-0.00971373j 0.00229075-0.00834761j -0.00243241+0.00807504j -0.00638059-0.00377353j -0.0034178-0.0109549j -0.00899246+0.000589888j -0.00579907+0.00671805j 0.00428858+0.02322j 0.0027731+0.00146788j -0.00209165+0.00633862j 0.00610825+0.0166061j -0.00238154-0.0027241j 0.00586601-0.019369j 0.00429598-0.0147436j 0.00197625-0.0179456j 0.00604578-0.00103886j 0.00424886-0.0114325j 0.00320175-0.0030921j 0.00123528+0.0198479j 0.00801763-0.00626141j 0.0098931-0.01852j -0.0126061-0.0267015j 0.00255581-0.0103329j -0.0197896-0.0326679j -0.00274556-0.00745519j -0.0195716-0.00366564j -0.0182469+0.00236832j 0.0228933+0.00820532j -0.017871-0.00876926j -0.0252789-0.0173215j -0.0160842-0.0102106j -0.02416+0.023064j -0.0123484+0.0121252j -0.0134378-0.000834134j 
0.00342614+0.00483365j -0.00255981-0.00235637j 0.00232213-0.00246694j -0.00473416+0.00477832j 0.00301961+0.00273987j -0.00850528+0.0041871j -0.00337367-0.00130366j 0.00263488-0.00371577j 0.00234483+0.0045943j -0.00491348-0.00844434j -0.00688712-0.00557336j 0.00027884+0.00186933j 0.00368385+0.000205174j -0.00392146-0.00271187j -0.00205499-0.0033659j 0.00209556-0.00292081j -0.00196215+0.000885959j -0.00142198-0.00560076j -0.0044049-0.013215j 0.000988082+0.00837261j 0.00150654+0.00716007j -0.00142478+0.00428311j 0.00116919+0.00190397j 0.00370193-0.000673921j -0.00120163+0.00979138j -0.00195299+0.0036597j -0.0024704+0.00680986j -0.0010843-0.000598658j 0.000454342+0.000414206j -0.000799122+0.00247965j -0.000240718-0.00752292j 0.00437232+0.00619224j 0.00340612+0.0085141j 0.00503968-0.00847583j 0.00128155+0.00558823j -0.000955354-0.00873459j -0.00266349-0.00467981j -0.0027701-0.00570783j -0.00319483+0.00545343j -0.00228242+0.00499377j 0.00434999-0.00653625j 0.00548795+0.00767099j -0.00196511+0.000892344j 0.000207992+0.000710083j 0.0020721+0.00146969j 0.00328043-0.00094581j 0.00813703-0.000397396j -0.00216312-0.00636627j 0.00889515-0.00431904j -0.00263657-0.0200367j -0.00456061+0.00710447j 0.00358234-0.00852377j -0.00305672-0.00543614j -0.000136732+0.00942141j 0.00717911-0.0122492j -0.00268103+0.0273574j -0.00351464+0.0245417j -0.00529943-0.0190282j 0.00065309+0.00470771j -0.0105648-0.00335683j -0.00215493-0.0333692j 0.00578574-0.00643162j 0.00695663-0.0327421j -0.0107309-0.0119306j 0.0255878+0.0523962j -0.00171522+0.0138493j 0.0202465-0.00259651j -0.0182647+0.0297616j 0.032811-0.0148375j 0.00288252-0.00655935j 0.010347+0.000141888j -0.0373257-0.0100057j 0.00735566-0.00476234j 0.0104205-0.0170608j -0.0132208-0.0115412j -0.0160593+0.00691214j 0.000117017-0.00620942j 
