0.105839-0.220339j -0.360233+0.0772296j 0.469924-0.095468j -0.131292-0.276523j -0.0216623+0.0587943j 0.0249904+0.00698854j 0.0474399-0.023667j 0.0452951-0.018332j 0.0335063+0.0564639j -0.0129319+0.0314068j 0.0797161+0.0460251j -0.0221819-0.0078498j 0.00327282-0.0791101j -0.0132601+0.0192904j 0.00472774+0.0145897j -0.0354088+0.0130531j 0.0121785+0.0124196j -0.0232658-0.0110144j -0.0313862-0.027688j -0.00468829+0.010818j -0.0254972-0.00102668j -0.0171621+0.0116875j 0.0104525-0.0178916j 0.0403018-0.0193903j -0.00784691+0.0102623j -0.0330684-0.0136126j 0.0190259-0.01137j 0.00590594+0.0206887j 0.0248867+0.00165794j 0.0223334-0.00249282j -0.00323684+0.00111169j 0.0507615-0.0140076j 0.00136506+0.0127377j 0.00421256-0.0240823j 
-0.228273+0.241646j 0.126719+0.324625j 0.073342+0.655348j -0.374993+0.146957j 0.176876+0.35439j 0.080337+0.0079687j -0.0506241-0.0149142j -0.0398187-0.0188973j -0.00819987+0.017189j -0.0593528+0.0352264j 0.0223635-0.0756793j 0.0327001+0.0380037j -0.0588063-0.0320937j 0.0327423-0.0213205j -0.00477832+0.00189427j 0.0241723+0.00254059j 0.00998102-0.00126535j 0.0198393-0.0176931j -0.0141926+0.0176659j -0.00499854-0.00464617j 0.0289152-0.0240572j 0.00667762+0.00521633j 0.0235978-0.0141891j 0.0447504+0.0394682j -0.00954579+0.00399853j -0.00474443+0.036767j 0.0155968+0.00789018j 0.0153002+0.0242447j -0.0122254-0.0104483j 0.0123709+0.0125492j 0.00541134+0.0262974j -0.0126733-0.0079968j 0.0211618+0.00630976j 0.00266946+0.0202675j 
-0.0863457+0.147832j 0.319929-0.129655j -0.471455-0.0405923j 0.194677+0.244658j 0.0056689-0.132868j -0.090882-0.0546961j -0.040209+0.0349594j -0.0297715+0.0406551j 0.0916622+0.0245162j -0.0364552+0.0413015j -0.0741208+0.00724278j -0.0148967-0.024052j 0.0290008+0.0415736j -0.059385-0.00563154j 0.000691423-0.000737276j 0.0142204-0.00639245j 0.000364432-0.0150253j 0.0073414+0.0249716j -0.0287069+0.0238112j -0.0114897-0.0153003j 0.0125566+0.0011875j -0.0139654-0.015856j 0.0330594+0.00317272j -0.0164941+0.00242017j -0.0246054-0.0126158j 0.0084682+0.00422214j -0.00670381+0.0108034j 0.0464619-0.0208843j -0.0182838+0.00664743j -0.00482529-0.0224465j 0.00991703-0.0170968j 0.0123902+0.00779933j -0.02536-0.0211171j 0.00486979-0.0154294j 
-0.0504708+0.0208431j 0.0196834+0.0140292j 0.0285893+0.0212795j -0.0179775-0.0251791j -0.0655126+0.00968461j -0.0223916+0.160481j 0.226133-0.161639j 0.240105+0.0767824j 0.0842689-0.142183j 0.526527-0.11774j 0.0196005+0.146124j -0.0567797+0.103266j -0.161954+0.0822941j -0.00632268+0.0133697j 0.108756-0.0765113j -0.0243759-0.00271184j -0.00216402+0.0296054j 0.0430382+0.0220811j -0.0134634+0.00604638j 0.0404215-0.0148823j -0.0527767-0.0202386j -0.00929937+0.0417924j -0.00492866+0.00281398j -0.00380478-0.012783j 0.00165805-0.047658j 0.00844232+0.00130859j 0.0129609+0.0330475j 0.0491319+0.00609068j -0.011435+0.0673542j -0.0893134-0.0119399j -0.000638157-0.00448418j 0.00340824+0.0024733j -0.133953-0.0301204j -0.122608-0.0593035j 
-0.00085029-0.000883058j -0.072697-0.0265149j 0.0427269-0.0267361j -0.00971209+0.00303964j 0.0578741+0.060244j -0.10295+0.22986j 0.178562+0.018487j -0.132227+0.249195j 0.129884-0.00393472j -0.232578-0.512964j -0.272014-0.0870372j -0.0228963+0.0160024j 0.106075+0.38445j -0.0100318+0.00852197j -0.0610646-0.00783098j 0.0158165-0.00777635j 0.00231624+0.0390632j -0.00687915+0.0433777j -0.00290597+0.0141801j -0.0379178+0.0280522j 0.0447988-0.0221769j 0.020143-0.0325217j -0.0304852+0.0105467j -0.00155196+0.0247073j -0.00788699+0.0200456j -0.0459373+0.033924j -0.00360635-0.0552692j 0.0318313-0.0555746j -0.205377+0.000581233j -0.10809+0.114854j 0.0515694+0.0058795j -0.0119898-0.0175777j -0.0768927-0.128283j 0.0500447+0.115787j 
-0.0216974-0.0220411j -0.0187146+0.027833j 0.0122726+0.0130689j -0.0159605+0.0091106j 0.03101+0.0052849j -0.0418087-0.0791144j -0.0389246+0.0344194j -0.022343+0.0080343j 0.111489+0.089049j -0.135146+0.0984986j 0.0129166+0.0197165j -0.0233192-0.0300599j 0.0408866-0.0694573j -0.00242978-0.00726407j -0.019257+0.0290092j 0.00796847-0.00516569j -0.0137548+0.0384754j 0.0611258-0.058144j -0.029584+0.0332944j -0.0275591+0.0339029j -0.00772091+0.0169687j 0.0150902-0.00452928j -0.03041+0.0553177j -0.0390064-0.0430983j -0.00363548+0.00840543j -0.0222386-0.013458j 0.0893444+0.0552694j 0.024795+0.0300799j -0.0355229-0.00214036j -0.0240122-0.0456233j 0.00820809+0.00172167j -0.00215377+0.00301137j -0.0122088-0.0122254j 0.0091165-0.028138j 
-0.0568083-0.0171584j 0.0936522-0.0201342j -0.00981688+0.050809j -0.00181747+0.10286j 0.03045+0.0361735j 0.0876194-0.21273j 0.116974-0.269828j 0.303912+0.0332505j 0.0736903+0.545251j 0.115903-0.212032j -0.0026058+0.360368j -0.126519-0.0753912j 0.0780121+0.0124099j -0.00902935-0.00816069j 0.10464-0.0220775j -0.0193427+0.00692527j -0.00904233+0.0418178j -0.0231591+0.0325559j 0.0172062-0.0137683j 0.0877156-0.04998j -0.0392018+0.0102608j -0.0757376+0.0509797j 0.0653166-0.0331603j -0.0285252-0.0647082j 0.0644343-0.0437523j 0.0302547-0.0206186j 0.0554111+0.0927631j 0.029001+0.0250256j 0.094842+0.0568338j -0.015031-0.00389009j -0.0170535-0.0125224j 0.00402956+0.00799312j -0.0880313-0.00354709j -0.0367834-0.0838201j 
-0.117704-0.028714j -0.0839862+0.0948426j 0.054655+0.0285555j -0.0641136-0.0120331j 0.0595388+0.0381871j -0.293282+0.0731087j 0.0949111+0.0517604j -0.026584+0.192397j 0.536901+0.0211017j -0.085148+0.120175j -0.0907808+0.0289428j -0.226498-0.0305796j -0.0296852+0.0314596j -0.0404547+0.00396428j 0.0158038+0.0166922j 0.0121533-0.012325j -0.0925916-0.0211477j 0.00517254+0.0701538j -0.0560039-0.0227927j 0.0394837-0.0128255j -0.0345572-0.0357216j 0.0449717-0.0249452j 0.015973-0.0412904j -0.0466602+0.000502682j -0.0360812+0.0389391j -0.0149843+0.015577j 0.0353993+0.000955224j 0.0382923+0.0308056j -0.0698037+0.0629836j -0.064351-0.036825j 0.0223998-0.00606742j -0.00371915+0.00923703j -0.124226-0.055911j -0.00597873-0.0854429j 
0.00713182-0.0180421j -0.00422402+0.00354767j 0.00737294+0.00150559j -0.0017947-0.00508325j 0.00839603-0.0069856j 0.0514109-0.107512j -0.112358-0.00986248j -0.00760003-0.054683j -0.00810864+0.0739258j -0.0127942+0.0816393j 0.0257399+0.0418623j -0.0120085-0.0486227j 0.100233-0.0325005j -0.0162586+0.00412761j -0.0180119+0.071401j -0.0195772-0.0200723j -0.0889213-0.0196765j -0.0634035+0.00919091j -0.0430776+0.00167956j 0.0138289+0.0519302j 0.0114874-0.0816888j -0.0428697-0.112754j 0.0337487+0.0476855j 0.0477521+0.039588j 0.057973+0.166119j 0.030708+0.0360099j -0.177245-0.133021j 0.0111535-0.0118173j -0.0796149+0.194194j -0.517905+0.0684695j 0.0569361-0.0159846j -0.0938146+0.0299243j -0.161228+0.0968074j -0.41558-0.0253227j 
-0.0178032-0.00474981j 0.0191874+0.00356023j 0.011827+0.00633705j 0.0246769-0.0107765j 0.0126606-0.0265731j -0.0146136+0.0192417j 0.0262894+0.00106685j 0.00613049+0.0155811j 0.00930236-0.0193349j 0.0183352-0.0233928j -0.0127477-0.0106573j -0.00383428+0.00158948j -0.0441318+0.00175955j -0.0405028+0.00445352j 0.0155242-0.000949976j -0.00854079-0.111463j 0.0397707+0.0080414j 0.0193064-0.0125324j -0.0907233-0.00922414j 0.0442748-0.124091j 0.0745416-0.0966599j 0.0591969+0.13264j -0.00988924+0.0942047j -0.19136-0.12514j 0.0240932+0.111158j 0.244127-0.150273j 0.0708334-0.0842804j -0.490984+0.0464637j -0.0100925-0.0185119j -0.034153+0.055985j -0.156115+0.0381131j -0.426336+0.0287393j 0.0539942-0.00782776j 0.0601251+0.044728j 
0.00782483+0.00420352j -0.0130679+0.0135813j -0.00110944+0.00611671j 0.0016971+0.000139098j 0.0285168+0.0133147j -0.0616659+0.048837j 0.00224659+0.0597729j -0.0929568-0.0119612j -0.0667714-0.0495088j -0.0761303-0.0149523j -0.0133083+0.00686508j 0.0388059+0.0190745j 0.114365+0.0741885j 0.0414325+0.00277315j -0.0232462-0.20328j -0.0016297+0.111033j 0.049251+0.0339884j 0.0734408-0.0350664j 0.0176908+0.0159428j 0.0203251-0.139262j -0.159204+0.19119j -0.126621-0.000224131j 0.0526177-0.146705j -0.0267796+0.0354063j 0.248149+0.0969514j 0.00430328-0.0700975j 0.19105-0.0690003j -0.016842-0.0436768j 0.216769+0.0214166j -0.115333-0.376508j -0.0304746+0.0715144j -0.062114-0.127091j 0.0801968+0.0940307j -0.0908197-0.308841j 
