8.41985e-15+0.125946j 3.81539e-15-0.0595019j -8.59953e-17-0.0103108j 9.02351e-17-0.0652539j -4.00846e-17-0.0525277j -1.67695e-16-0.0315145j -3.62633e-18-0.0499778j -5.78107e-17+0.06146j 9.32912e-17-0.0663494j 2.81691e-17-0.0315248j 6.43708e-18+0.0677157j 7.78822e-17-0.0132455j 8.17184e-18+0.0703632j -7.16238e-17-0.0855964j 2.02323e-16+0.0054185j -1.03251e-16-0.0150501j 1.24916e-17-0.0182872j -7.37688e-16-0.0260212j -1.8188e-16-0.0247615j -2.9131e-16+0.0126219j 2.03061e-16+0.0163388j 6.88637e-16-0.0259381j -3.35595e-16+0.0251649j 1.15092e-15+0.0566004j -2.59723e-16-0.031226j -3.09236e-17+0.0360126j 1.90655e-16+0.0426289j -7.12713e-16-0.00626518j -6.96815e-16-0.0171645j 4.08068e-16+0.042703j -1.25236e-15+0.0351092j 2.00322e-17+0.0137775j -3.51766e-16-0.00174643j 2.91976e-16+0.018644j -1.19426e-14+0.016923j 2.9474e-16-0.00525536j 2.5357e-16-0.0322435j 8.5027e-16-0.0567634j -6.5704e-16-0.0250454j 1.70062e-15-0.0650397j 2.3884e-15+0.0286933j -2.83083e-16-0.00701365j 4.20381e-17+0.00197689j 6.86248e-16+0.00704533j 3.18948e-15+0.0212658j 2.53532e-16-0.00521076j 2.89457e-16-0.0107454j 8.16071e-17-0.00516867j 9.96217e-16+0.0096071j -1.73006e-16-0.0154941j 5.31822e-16+0.0710861j 4.60187e-16+0.0327258j 1.32081e-16+0.0134465j 5.5708e-15-0.0502709j 8.05948e-16-0.027027j -1.0245e-15+0.00139701j -6.00384e-17-0.0147852j -1.72172e-16+0.00140031j 9.40752e-17+0.0176065j 9.20041e-19+0.0327251j 1.33151e-16+0.025542j 1.50877e-16+0.0194237j -2.01129e-17+0.0331878j -4.77038e-17-0.0270706j 3.93607e-17-0.0187701j -2.47185e-17-0.0503453j 7.71552e-18+0.0103881j 1.99269e-17-0.00136502j 4.20973e-18+0.0494895j -6.71631e-18-0.069902j 2.73037e-15+0.0520947j -6.31997e-15-0.0766536j 
-7.61086e-15-0.0360646j -3.44096e-15-0.118675j 5.60523e-17-0.026357j -8.00869e-17+0.0324554j -8.22517e-17-0.116488j -1.48478e-16-0.0398094j 6.42454e-18-0.014201j 7.66503e-18+0.0114063j 3.73325e-17-0.0684972j 3.67833e-17+0.0234898j 1.32241e-17+0.0332576j 2.16809e-16-0.0376319j -3.05307e-17-0.119729j -3.15195e-17-0.0270251j -1.5666e-16-0.0372188j 2.38052e-16-0.00211774j -2.59312e-17-0.029074j -7.11898e-16-0.0233468j -2.77652e-16-0.0332412j -2.28739e-16+0.00178302j 1.91993e-16+0.0701658j 2.65339e-16-0.0190301j 3.53135e-17-0.00234658j -1.91958e-16-0.0127131j -1.07391e-16-0.0046933j -2.15606e-16-0.0304092j -1.3262e-16-0.0547776j -1.02992e-16-0.00455694j -1.23336e-16-0.00507611j 6.40048e-16+0.00707749j -8.01367e-16+0.0153536j 2.33406e-16-0.0227469j -4.53944e-16+0.00461917j 1.63475e-16+0.0397566j -6.45995e-15+0.00908118j -2.41644e-16+0.000308591j 7.04121e-16-0.0339571j -5.10266e-16+0.0146084j 1.42948e-17-0.0102788j 1.31331e-15+0.0506104j 2.29803e-15-0.0431607j -1.64514e-16+0.00915814j -1.16626e-17+0.00210596j -2.41456e-16+0.0100901j -7.85227e-16-0.00812371j 4.35079e-17+0.00693991j 6.23312e-16-0.0134363j 6.41666e-16-0.0368967j 8.9658e-16+0.00683797j -1.27804e-16+0.0130924j 7.47784e-17+0.00411235j 1.66399e-16+0.0262525j 1.01114e-16+0.0137332j -3.83137e-16+0.00336464j -3.57295e-16+0.0100651j 1.17229e-15-0.00167836j -1.147e-16-0.00405273j -1.97848e-16-0.0257487j 1.28768e-16+0.0381881j 1.11069e-16+0.0257611j -1.53642e-16-0.0385336j -1.42774e-16-0.00156886j 4.66554e-17-0.0224759j 9.32584e-17+0.0480917j -7.82458e-17+0.0388537j 5.68492e-18+0.0155343j -3.68671e-18-0.0259593j -4.86311e-17-0.0305361j 6.80898e-17-0.0119169j 5.62826e-17-0.0411562j 5.42036e-17+0.0924766j -1.04638e-16+0.0386963j 
3.86965e-15+0.0112609j 1.72349e-15+0.0752909j -2.53388e-17+0.133445j 4.72186e-17+0.085301j 1.8696e-18-0.0138522j -5.83676e-17-0.0318203j 4.04831e-17-0.0430614j 7.23012e-17-0.0612029j 9.78639e-17-0.0502063j -3.12636e-17-0.0361215j 5.2636e-17+0.0604552j 4.87004e-17-0.00340763j -2.74403e-17+0.0348798j -8.00721e-17-0.0242462j 2.34462e-16+0.0470049j -2.28425e-16+0.00112602j -1.47525e-16+0.00633676j -8.1867e-17-0.010227j -9.46096e-17+0.0209603j 6.16609e-16-0.0062272j 5.18876e-16-0.0380449j 3.38333e-15-0.109739j -8.53126e-16+0.00487174j 1.24931e-15+0.05551j -2.4476e-16-0.0280803j -2.86188e-16+0.0149292j 1.36354e-16-0.00598179j 2.42916e-16+0.00062964j -1.36569e-16+0.0405606j 2.44954e-17+0.0444746j 4.92253e-16-0.0153772j -7.54017e-16+0.00304036j -6.4887e-16-0.0358658j 3.89572e-16+0.00992643j -2.24143e-14+0.0318404j 4.58274e-16-0.0165399j 3.85368e-16-0.0399641j -7.84719e-16+0.0217739j 2.55886e-16-0.0185929j 9.00789e-16-0.0323392j 1.41858e-15+0.0121943j -3.2167e-16-0.00904523j -8.67505e-17+0.00743492j 6.8362e-17-0.0663083j -1.31705e-16+0.0121227j 1.16937e-16+0.0293842j -2.67449e-17-0.00814624j 2.76501e-16-0.0202585j 7.45082e-15+0.0714742j 3.76309e-16-0.0035552j 1.0768e-16-0.0183956j 7.01009e-17+0.0238274j -6.00401e-17-0.00286524j -1.50955e-15+0.0115696j 4.82381e-16-0.00756688j 1.42185e-14-0.0199953j 3.13983e-17-0.0275466j 7.98931e-17+0.03566j -7.29897e-17-0.0039624j 1.87204e-17-0.00105596j -1.84483e-16-0.0312954j -2.02697e-16-0.0252179j 6.97744e-17+0.01121j 4.4862e-17+0.0196181j 1.03368e-18-0.0587443j -1.55551e-18+0.0262213j -4.43198e-17-0.023127j -1.80158e-17+0.0986291j 9.82758e-17-0.0867555j 1.27348e-16+0.0439746j 3.83497e-16-0.0944848j -9.06657e-16-0.0545871j 
-1.93467e-15-0.0518111j -7.97906e-16+0.065144j -1.63083e-16-0.0311068j -1.01425e-16-0.0760517j 1.1508e-16+0.0639429j 5.58219e-17+0.0130651j 3.25673e-18+0.00557478j -1.81544e-17-0.071168j -1.54722e-17+0.0742505j -9.03977e-17-0.0366885j -1.40934e-16-0.0632872j -1.09282e-16+0.0303207j 2.0909e-16+0.0606447j 3.14842e-16+0.0742715j 8.41042e-17-0.0158796j -2.74184e-16-0.0293871j 1.09444e-16+0.0535505j 1.39373e-15+0.0638385j 5.02778e-16+0.0182981j -5.294e-17+0.0160386j -4.82704e-16-0.0411805j -1.52709e-15+0.0533065j 1.41246e-16-0.040875j 1.23422e-16-0.00300759j -4.97999e-18-0.0379362j -5.51024e-16+0.0201712j 2.26108e-16-0.0236922j 2.77957e-16-0.0170219j 3.85031e-16+0.0371781j -3.16772e-16-0.0270856j -4.81515e-16+0.0092022j 2.01484e-16-0.00358237j 1.85291e-16+0.00194426j 1.78172e-16+0.00773527j 2.84522e-14-0.0407397j -2.90504e-16-0.0030587j -2.85483e-16+0.0286224j 4.82369e-16-0.0241754j -9.33408e-17+0.0184858j -6.19262e-15+0.0213639j -9.75658e-15+0.035602j 6.84277e-16-0.00443832j 8.69108e-17-0.0422492j -5.17144e-16-0.0432566j -3.37164e-15-0.0154816j -1.69087e-17-0.0304943j 4.77745e-16-0.00635308j 4.43444e-16-0.0176798j -2.16978e-15-0.0212159j 2.17303e-16+0.0148231j -8.5057e-16-0.066971j -7.68011e-16-0.0524829j -3.09871e-16-0.0614609j -5.18263e-15+0.0461831j -8.8476e-17+0.00854554j -1.7232e-14+0.0245502j 1.39934e-16+0.0302903j 3.575e-16+0.0154554j -1.91273e-16-0.036301j -1.20963e-16-0.0246041j -4.95279e-17+0.0219846j -1.40049e-16-0.0450114j -1.06876e-16-0.0416081j -2.36634e-17-0.00963807j 3.95429e-17+0.00639743j 2.19041e-17+0.011638j 1.04453e-16+0.0252826j -6.5993e-17-0.0162832j 2.87433e-17+0.0716859j -1.46816e-16+0.0163932j -2.39737e-15-0.04647j 5.57791e-15+0.0656657j 
-9.61559e-15-0.106666j -4.3995e-15-0.0102182j 2.55269e-16+0.0138774j 3.19971e-17+0.122541j -1.96124e-16-0.00464016j 6.43253e-17+0.0228475j -2.58903e-17+0.00409422j -1.93937e-17-0.0227096j -1.65766e-16+0.0493138j 1.16311e-16+0.0180416j 1.07625e-16+0.0143488j 1.2445e-16-0.0269599j -3.20589e-16-0.163971j -4.84687e-17+0.0278675j -4.7992e-16-0.0609824j 6.17504e-16+0.0281722j -1.15637e-16-0.00278571j -3.72523e-16-0.0229211j -1.53081e-16+0.0103289j 8.37864e-17-0.00749249j 2.62919e-16+0.017606j 4.69807e-16-0.0169773j 1.72205e-16-0.00215625j -1.3343e-15-0.0691675j 2.68218e-16+0.0403565j -3.71994e-16-0.0435931j -6.84808e-17-0.0713914j -5.05864e-16-0.0477834j -1.01498e-16-0.0412796j 1.16251e-15-0.00434003j 1.82164e-15-0.0498135j 2.42226e-16-0.0668913j 1.54096e-16+0.0130375j -6.89417e-17-0.00858701j 1.05385e-15-0.0013589j -4.57867e-17+0.00715818j -2.82116e-17+0.00651241j -7.3826e-16+0.0417334j 6.15633e-16-0.00148251j -9.7352e-18+0.0283294j -3.09076e-16-0.0179698j -2.13758e-17+0.00280423j -1.40384e-16+0.0310259j 1.79118e-16-0.0316577j 7.25685e-16+0.0120316j -2.77924e-16+0.0283188j -9.55732e-16+0.025891j -4.87476e-16+0.022469j -3.58502e-16-0.00491098j 4.2805e-17+0.0186517j -1.36492e-16-0.0418813j -1.06199e-16+0.0366306j -4.22462e-17-0.0111041j -4.62899e-15+0.0414608j -4.70584e-16+0.0195613j 2.33632e-14-0.032947j -4.44649e-17+0.00224011j -2.40725e-16-0.0125626j 1.19132e-17+0.022193j 7.39312e-17+0.0216889j -1.85072e-16-0.0150616j -8.99173e-17-0.0146609j 7.03282e-18-0.00176153j 2.06868e-16+0.0493276j -1.68586e-17+0.0404084j 8.50512e-17+0.0258928j -1.30605e-16-0.025567j 3.02679e-17+0.00536936j -9.17859e-17-0.0836951j 8.03821e-17+0.0559775j -1.36451e-15-0.00580007j 3.37358e-15+0.0491248j 
2.12891e-15-0.00934811j 9.63263e-16+0.0742581j 6.05942e-17-0.00385659j -1.07484e-16+0.00705881j 8.8652e-17+0.109403j 1.9362e-16+0.0553079j -2.26243e-17+0.0202459j -8.42286e-18+0.0238481j -1.86307e-16+0.072745j -2.14694e-18-0.0229613j -1.44084e-16-0.0854602j 1.15523e-16-0.0220021j 1.98884e-16+0.00117599j -2.82225e-17+0.0723187j 4.29003e-17+0.00973391j -4.3118e-17+0.00363092j 7.18327e-17+0.0508963j 3.20048e-16-0.000475736j 1.3703e-16+0.0154721j -3.33769e-17-0.00401855j -2.06399e-16-0.0282333j -1.58212e-15+0.0648081j 7.47386e-16+0.0165493j -1.22506e-15-0.0559916j 4.81183e-17-0.0196334j 1.2808e-16-0.00369142j -1.76086e-16+0.0222386j 2.74637e-17+0.0181961j 1.35274e-16-0.0293663j 4.63594e-17+0.0165308j 1.32733e-15-0.027201j -7.99537e-17+0.00267683j 3.09721e-16+0.0188495j -1.83884e-16-0.0183135j -1.04944e-14+0.0145126j 6.8749e-16-0.00927569j -1.13096e-15+0.0516264j -4.49192e-17+0.0154811j 3.14803e-16+0.0082375j 8.75656e-17-0.0107063j 1.00572e-16+0.00569101j 2.2063e-16-0.0081529j 1.59617e-16-0.0294266j 3.25466e-16+0.0148809j 1.97001e-15+0.0112167j -2.60789e-17+0.0126172j -3.0362e-16-0.004765j -7.04022e-16+0.042028j 4.09657e-16+0.00477536j 5.03819e-17-0.0052955j 9.23832e-17-0.00148512j -1.52387e-17+0.0146836j 6.86304e-17-0.00653223j -8.08888e-16+0.00698599j -3.05545e-16+0.00589143j 1.13526e-14-0.0159084j -1.09253e-17-0.0315401j -1.52133e-16+0.00525435j 4.9574e-17+0.0326008j -5.97005e-17-0.0216486j 7.1979e-17+0.0317786j 1.05634e-16-0.000908502j -3.81914e-17+0.0140901j -1.69104e-16-0.0410706j -7.75936e-18-0.00312706j -5.30096e-17-0.032759j -2.60147e-17+0.00828197j 9.74611e-17+0.00660447j 7.72113e-18-0.0160403j -7.48793e-17+0.0429452j -9.07922e-17-0.0497167j 9.74771e-17-0.0194843j 
3.81583e-15+0.044475j 1.8099e-15+0.0043088j -1.06567e-16+0.058625j 2.13149e-16-0.0267075j 2.82077e-17-0.139426j -2.36672e-16-0.0757585j 3.27607e-17+0.0183164j 9.16149e-17-0.0444659j 1.17152e-16-0.0632265j 1.19264e-16-0.0696673j -1.98368e-16+0.064641j 2.11791e-17-0.00317595j -1.07773e-16+0.0266383j 1.01614e-16-0.114609j 2.60646e-16+0.0392363j -1.70115e-16+0.0232754j -4.76248e-17+0.0143575j 6.11857e-16+0.0471315j 3.7609e-16+0.0324729j 2.09823e-16+0.0164209j 1.38853e-16+0.0207234j 1.96239e-15-0.0680757j -8.57083e-16+0.00450545j 1.59329e-15+0.0839449j -2.41289e-16-0.0191877j -1.39364e-15+0.0672603j 8.82176e-16-0.0304477j 5.82781e-16+0.0119249j -7.0907e-17+0.0654852j -5.41982e-16+0.0344873j -1.42623e-15+0.0241401j -2.10375e-16+0.0174397j -1.6954e-16-0.0121281j 4.89989e-16-0.0154125j 1.50968e-14-0.020959j -2.91262e-16-0.00667536j 5.80572e-16-0.0508039j 1.68507e-16-0.0230675j -2.67302e-16-0.0188298j -1.30719e-15-0.00279179j -2.34766e-15+0.0108702j 1.30258e-16-0.0232571j 1.70972e-16-0.0340455j 5.01987e-16-0.0495645j 1.76574e-15+0.0212922j 3.68139e-16-0.00466163j 9.76077e-16-0.0211889j 1.08688e-15-0.064022j 3.79859e-15+0.0346975j -5.81613e-17-0.00685331j 1.65672e-16+0.0494194j 1.36101e-16+0.0226727j -4.40775e-17-0.0632146j 3.73065e-15-0.0364224j 2.96573e-15-0.0709198j -9.72112e-15+0.01384j 1.12854e-17-0.0441829j 6.43087e-17+0.0827452j -1.66957e-16-0.00792557j -1.60088e-16+0.0341477j -4.62546e-16-0.0389264j -2.69879e-16-0.0534633j -5.17275e-17-0.053713j -6.43237e-17-0.0379205j 1.38406e-16-0.0636696j -1.14788e-17+0.0899983j -3.457e-17-0.0195809j -1.52029e-17+0.0302343j -9.33744e-17+0.0351237j 8.99982e-17-0.0437122j 7.14632e-16-0.039138j -1.56137e-15-0.0427944j 
-2.58943e-16-0.0223377j -4.99847e-17+0.0429744j -7.67122e-17+0.0300682j 1.12396e-16-0.0272095j 8.47998e-17+0.108163j 9.11969e-17+0.0273189j 1.99343e-16-0.196402j -4.1283e-19-0.035123j -1.41807e-16+0.0639182j -1.03788e-17-0.00696311j -7.78764e-17-0.0426646j -4.37113e-16+0.0656374j 7.70769e-17+0.0746576j 2.3148e-16+0.0802283j 2.24834e-16-0.00375448j -2.01776e-16-0.040782j -6.19015e-17+0.0470523j -1.03239e-16-0.0274621j -9.46405e-17-0.00794336j 3.28428e-16+0.0147274j 5.88581e-16-0.102161j 3.14867e-15-0.0884069j -6.8838e-16+0.00367094j 5.83435e-16+0.0187523j -1.40549e-16-0.0242937j -7.19034e-16+0.0134105j 2.85331e-16-0.0364365j 3.64018e-16+0.00342029j 1.69262e-16+0.0256567j 1.50147e-17+0.0200401j -6.80946e-16+0.00421694j 1.50292e-17-0.0366214j -6.101e-16-0.00365808j 3.91321e-16+0.042837j -2.89043e-14+0.0404945j 8.71398e-16-0.00560823j -1.29461e-15+0.068913j -4.63774e-16+0.0344876j 4.81389e-16+0.0192101j 9.33319e-17-0.0121263j 1.89944e-16+0.00903689j -5.39242e-17+0.0263301j -2.33199e-17+0.00333537j -9.56656e-16-0.0604195j -6.35484e-15-0.0309095j 1.48646e-16-0.0409031j 1.06775e-16-8.1477e-05j 3.37268e-17+0.00723155j 4.17792e-15+0.0395506j 4.57109e-16+0.0424666j -8.18199e-16-0.0825264j -6.09651e-16-0.0584837j -1.49579e-16+0.00276441j -5.47022e-15+0.0475267j 3.34857e-17+0.00916337j 2.04605e-14-0.0287418j -5.70912e-17+0.046761j -3.24641e-17-0.0874064j 1.64754e-16-0.00846564j -2.68308e-17-0.0211833j -7.65176e-17+0.0419958j -8.91851e-17-0.0676061j -1.66362e-17+0.0528852j 1.52299e-16+0.0738148j -1.95984e-16+0.0711574j 2.70182e-17-0.108582j 1.76312e-18+0.0211038j -3.24798e-17+0.0877195j -8.03167e-17+0.02591j 3.30637e-18-0.000761931j -1.85348e-15-0.0273208j 4.17397e-15+0.0539122j 
5.09503e-15+0.0461602j 2.20631e-15+0.0348877j -9.87009e-17-0.0468188j 2.42029e-16-0.0882864j -1.25214e-16+0.0679154j 3.89167e-17-0.022336j -1.33138e-17+0.0386085j -1.06901e-16+0.0257852j 1.52631e-16-0.0127382j -4.93438e-17+0.0221864j 3.22929e-18-0.0204565j 4.45675e-16-0.0540499j -2.52134e-16+0.091074j 1.36963e-16-0.00883689j 3.919e-17+0.030906j -5.19914e-16-0.023523j 1.69391e-16-0.0619533j 1.34435e-16+0.0151879j -3.40486e-17-0.0341537j -1.32388e-16-0.0393451j -6.86668e-16+0.00872674j -4.36354e-15+0.148769j 1.07507e-15+0.0259172j -1.4015e-15-0.0574346j 1.27121e-16-0.0433633j 5.36897e-16+0.00452302j -6.14672e-16+0.0667814j 4.02885e-18+0.0351397j 1.90319e-16-0.00395048j -2.49846e-16-0.00601896j 1.51459e-16+0.001379j -1.66716e-16+0.0181516j 2.43391e-17+0.00447243j -2.40847e-18+0.00436308j 1.62888e-14-0.0232377j -2.76686e-16+0.00493929j -1.87981e-16+0.00472367j 1.36161e-15-0.0537968j -7.26327e-16+0.00339321j 2.12737e-15-0.056367j 2.79126e-15+0.0208396j -6.03132e-17-0.0163226j 3.19527e-16-0.0373124j 7.73442e-16+0.0302501j 4.53062e-15+0.0247791j -1.27156e-16+0.0260231j 6.29704e-16-0.0263474j 2.90516e-16-0.0184082j -1.56447e-15-0.0140965j 2.99856e-16-0.0402111j 1.91646e-16-0.0422879j -9.25405e-17-0.00458635j -2.29409e-16+0.0770962j 2.33384e-15-0.0191124j 5.96322e-16-0.0139099j -2.41154e-14+0.0340072j 1.17674e-16+0.00634208j 1.40736e-17+0.0686424j -5.4884e-17-0.0651737j -1.81992e-16+0.0136597j 1.75046e-16+0.0452622j 2.69716e-16+0.0322812j 5.76936e-17-0.0284485j 1.04687e-16-0.065268j 1.59235e-16-0.0261479j 2.04028e-16-0.0486915j 4.2003e-17+0.00678404j -9.92775e-17-0.000362493j -2.42839e-16+0.0700136j -1.59168e-16+0.00557202j -8.29777e-17-0.0259564j 6.5027e-16-0.00226979j 
-1.73565e-15-0.000634509j -7.38766e-16-0.0445194j 1.13391e-16-0.0911264j -1.80225e-16-0.0301365j 2.6575e-17+0.0158983j 1.7856e-17+0.0646262j -1.90576e-16+0.126608j -9.0038e-17+0.0313898j -1.90519e-16+0.0465035j 3.23009e-17+0.0160314j 1.76132e-16-0.0310742j -3.55924e-16+0.0459657j 2.35375e-16-0.0441084j -8.17523e-17+0.0708998j 2.15984e-16-0.0241559j -3.0385e-16-0.0724139j 3.67144e-17-0.0499723j 2.07003e-16+0.00422594j 1.85444e-16-0.0158517j -1.37321e-15+0.0502021j -6.4569e-16+0.00978189j -4.13843e-15+0.121598j 1.07581e-15-0.0461241j -1.0189e-15-0.0622005j 1.6475e-16-0.0120601j 9.33044e-16-0.035987j -4.35003e-16+0.0290343j -1.42356e-15-0.0631818j -3.72671e-16-0.0978404j 8.0471e-16-0.0626693j 4.79639e-16+0.0169603j 6.42187e-16+0.0321279j 6.57254e-16+0.0140848j -5.28102e-16+0.0172998j 5.55885e-15-0.00844465j 2.73125e-16-0.0210322j 3.25471e-16-0.0056384j -8.62331e-16+0.024148j 6.00363e-16-0.0330195j -1.5241e-15-0.00665415j -2.36772e-15+0.0164786j 5.8261e-17+0.00716074j -5.60922e-16+0.0456675j 6.36981e-16+0.0709971j 3.26365e-15+0.00988655j -5.74835e-17-0.0443673j -1.01273e-15+0.0440376j -6.74086e-16+0.0213314j -5.00213e-15-0.0495643j -6.8333e-16+0.055456j -1.56426e-16+0.0907731j 2.4176e-16-0.031627j 2.31089e-16-0.00790125j 1.33537e-15-0.00957215j -1.20062e-15+0.0242888j 1.95372e-15-0.00272125j -8.25512e-17+0.0497565j 1.47328e-16+0.0012676j -3.30689e-16+2.33091e-06j -2.82489e-17-0.00285788j 2.72249e-16+0.0207565j 2.17973e-16+0.0439059j -1.64472e-16+0.0308471j -9.22583e-17-0.00249194j 5.9473e-17+0.000734465j -1.35944e-16+0.0614643j -3.02731e-17+0.0355176j 1.51905e-16-0.0962214j 7.12313e-17+0.0256825j -3.98058e-17-0.0189432j 5.68567e-16+0.0628196j -1.49159e-15+0.00289241j 
-8.8109e-15-0.0786497j -4.06278e-15-0.0625137j 2.11177e-17-0.0466196j 2.19085e-16-0.063086j 1.14786e-16-0.105596j -8.83247e-17-0.0843334j -4.01181e-17-0.00380968j 9.06523e-16-0.172774j 7.2783e-17-0.028859j 3.34779e-16-0.0459211j -2.25727e-16+0.10924j -5.59636e-17+0.0141692j -8.07898e-17-0.00589302j 2.07577e-16-0.00481814j 8.20862e-17-0.0842708j 2.8279e-16-0.0285615j 6.41214e-18-0.0399495j 3.12586e-16+0.038253j 3.0477e-16-0.0351037j -1.5819e-15+0.0795827j -4.898e-16+0.0187682j -1.6946e-15+0.0282671j 3.01712e-17-0.0597556j 1.14193e-15+0.0449179j 8.2473e-17-0.058815j -1.14646e-15-0.00889137j 8.5358e-16-0.122612j 4.4496e-16-0.10688j -5.95993e-16+0.115689j 1.00152e-15-0.0415282j -4.68947e-15+0.0810391j 1.38129e-15-0.085336j -5.71078e-16-0.0510125j 1.28359e-15+0.0732802j 8.34724e-14-0.117874j -1.20211e-15-0.0100415j 1.10907e-15-0.0385918j 1.44957e-15-0.0983067j -5.5969e-16-0.0329346j -7.24013e-15-0.00455774j -1.23569e-14+0.0627832j 4.86142e-16+0.00366301j -4.75152e-17-0.0280527j 1.3824e-15-0.0951534j 2.24632e-15+0.0335895j -6.3674e-17-0.0273517j 2.61043e-16+0.0166024j 2.00688e-15-0.0971423j -4.9212e-15-0.0550647j -3.21943e-16+0.0627479j -7.74956e-16-0.106299j -7.65485e-16-0.0457353j -1.30696e-16-0.0508757j -1.06471e-14+0.0920943j -1.65258e-15+0.0499919j -2.96091e-14+0.0418308j -8.75709e-17+0.05863j 2.90036e-16+0.0344572j -1.22665e-16-0.0535472j -1.13696e-16+0.0656719j -1.88527e-16-0.00755404j 2.83244e-17-0.0364253j 2.52764e-16-0.0780335j -8.6623e-17+0.0776618j 1.62429e-16-0.00958547j -2.30298e-16+0.0753769j -2.55882e-17+0.0109211j 1.17552e-16-0.0526641j -3.14833e-16+0.085979j -1.55024e-16-0.0178893j -2.6732e-15+0.0343407j 5.9091e-15+0.112083j 
