-6.91119e-14+0.0948241j -1.55716e-14-0.0123531j 1.61271e-16-0.00854508j -5.05106e-16+0.0324012j -2.82e-16-0.0149134j 1.25672e-16-0.0330858j 2.3617e-16-0.047434j 2.20084e-17+0.0143437j 1.74947e-16+0.0708476j -1.23207e-15+0.0681083j -1.7944e-16+0.0669692j -3.61564e-16+0.0266905j -1.78979e-16-0.00598666j 1.50122e-16-0.0322149j 5.78001e-16-0.0276286j -3.18121e-15+0.0491963j -4.01311e-18+0.0486995j 2.75177e-15+0.025646j 4.93205e-16-0.00601396j 6.16013e-16-0.0643685j -3.56714e-16+0.0258803j -3.41501e-16+0.0283665j 9.20742e-17-0.00046905j 1.98698e-16+0.00191526j 3.62926e-16-0.0132536j -9.29324e-17-0.00640521j 1.36043e-16+0.0126577j -2.55835e-16+0.00755977j -1.43317e-16+0.0164566j -2.36027e-16+0.0213058j -7.0421e-17-0.00493019j 1.17775e-16+0.000393021j -3.49261e-16+0.0166142j -2.59508e-16-0.00165174j 3.82364e-17+0.00470522j 2.67229e-16-0.00450664j -4.32315e-16+0.0165087j -2.36404e-15+0.0497371j -7.71731e-15+0.0482557j 3.24892e-14-0.0114504j -1.54441e-16+0.0148718j -8.65715e-17-0.000530097j -9.94554e-17+0.0115084j -6.53213e-17-0.00157123j -2.01941e-16+0.00537945j -1.04056e-16+0.00235108j 1.02513e-16-0.00141345j -8.61262e-17-0.0142397j -4.14321e-17+0.00462415j 4.91024e-17+0.00304306j -5.3961e-17-0.00521946j 3.32162e-16-0.00616929j 1.34277e-16-0.0175181j 3.45103e-17+0.000130397j -1.52342e-16-0.00150877j -7.61091e-17+0.000608614j 6.24776e-18-0.00539561j 1.01161e-16-0.019223j 3.69027e-16-0.0120508j 5.0917e-16-0.0167355j -4.22814e-16+0.0297226j -6.59795e-17+0.00464674j 8.78398e-17-0.0027209j 8.63097e-17-0.0220112j -1.85548e-16+0.00966055j 1.68573e-16-0.0183721j 8.24515e-17+7.23287e-05j -4.41889e-17+0.00493601j -2.52471e-16+0.0261494j -4.8098e-17+0.00971757j -1.18417e-16+0.0297004j -1.23917e-16+0.0172659j 7.16309e-17-0.0120185j 2.46278e-16-0.038815j 1.28709e-16+0.00715481j 2.52749e-14+0.0186503j -1.16018e-13+0.0541601j 
-2.24397e-14+0.0086077j -5.13837e-15+0.0941194j 3.9168e-17+0.0113019j -2.4455e-16+0.0157898j -1.75064e-16+0.0710079j 3.13726e-17+0.0220836j 2.24604e-16+0.0172489j -2.77826e-17-0.0205698j -3.83011e-16-0.0703021j -9.50545e-16+0.0920078j -3.01088e-16-0.0373207j -4.75168e-16+0.0271894j -1.55434e-16+0.0261608j 2.59621e-16+0.0168225j 4.61862e-16-0.0459107j -1.91534e-15+0.0287635j -3.20967e-16-0.0347116j -5.33504e-15-0.0459951j -7.41567e-16-0.0402657j 3.163e-16-0.00711756j 1.80088e-16-0.0208971j -3.46145e-16+0.0524727j -2.92974e-17-0.00638548j -7.79314e-16-0.0168035j 4.50449e-17-0.00668659j 1.51857e-16-0.0157109j -3.10155e-16-0.00352264j 1.77563e-16+0.0121933j -1.4343e-16-0.00218997j -1.95894e-16+0.0130508j 3.20917e-16+0.00537303j 3.09845e-15-0.00876966j -3.96946e-16+0.0377794j -1.66887e-16-0.00372995j 7.99155e-17-0.00468175j 3.24583e-16-0.0116006j -1.77895e-16+0.00149776j 8.61978e-18-0.0128227j 2.05865e-15-0.0139681j -8.65638e-15+0.00262916j -1.96146e-16+0.00516742j -3.86082e-18+0.000378049j -8.7364e-17-0.00502922j 6.66194e-17+0.00266108j -6.14382e-17+0.0191737j -1.23057e-16+0.00468916j 6.10044e-17-0.0129509j 1.49818e-16+0.0102192j -1.34677e-16+0.00471282j -9.24825e-17-0.0082153j -1.42826e-16+0.0253094j -7.61645e-16+0.0142235j 1.2042e-16-0.000498827j 7.23114e-16+0.00671566j -8.02591e-17+0.0217057j -2.01294e-16+0.0276887j -2.97826e-17+0.00245689j -5.36412e-17+0.0216678j 1.37541e-16-0.00855246j -2.07686e-17+0.00161352j -1.47334e-16-0.00616022j 1.08122e-15-0.0318376j -1.8458e-16+1.47921e-06j 4.72427e-17-0.0117983j -7.38591e-17+0.0133506j 1.1695e-16-0.00197982j 4.08434e-17-0.019785j 1.48128e-17-0.00429586j -1.24312e-16+0.0209144j -5.68021e-17-0.00465601j -4.13863e-17-0.0110609j -1.86725e-16+0.0242158j -5.18412e-17+0.000806553j 1.8329e-16+0.00381856j 8.9539e-17-0.0386062j -1.72954e-14+0.0560175j 7.61864e-14-0.0205725j 
-8.67651e-15+0.00308501j -1.88595e-15+0.0385008j 2.4437e-16-0.100053j -2.38877e-16-0.0359467j -1.43222e-17+0.0144335j -2.96476e-17-0.0353833j -2.12053e-17-0.0148007j -9.82996e-17-0.0762914j 4.90806e-17+0.00865211j -5.64406e-17+0.0266968j 2.52738e-17+0.0316453j -4.36232e-17+0.00273925j -5.95899e-17+0.0246183j 2.61985e-16+0.0238198j 1.99675e-16-0.0279474j -4.78251e-15+0.0945726j 2.80528e-17+0.0325926j 2.83453e-15+0.0243252j 1.76862e-15+0.0735024j -5.00431e-16-0.0114383j -2.08087e-17-0.0337663j -1.65904e-16-0.0192978j 8.39051e-17-0.0110832j 2.31938e-16+0.00349387j 2.36385e-16-0.0028934j -8.81769e-17+0.00556164j 2.36975e-16-0.000715856j -2.37007e-16-0.0172047j 7.03955e-17-0.000861781j 2.88691e-17-0.00852625j -9.65914e-17+0.00575005j 1.22185e-14-0.0428408j -9.0069e-16+0.0296727j 7.2617e-17+0.00220146j -3.6498e-17-0.00438612j 1.88758e-16-0.0106515j 3.25968e-16-0.0186965j -3.64132e-15-0.00171863j 1.75439e-16-0.0243552j 7.85968e-15-0.0135856j -3.72511e-17-0.00271201j -7.3613e-16+0.0192833j -1.63902e-16+0.0124273j -5.89833e-17-0.00943628j 1.3043e-16+0.0159963j 3.13379e-16-0.0110365j 4.0756e-17+0.00411057j 1.83188e-16+0.0166551j -1.2702e-16+0.0129249j 2.65774e-16-0.0182573j 2.37319e-16-0.0297594j -1.14999e-16+0.0081098j 4.17152e-17+0.00934371j 7.12112e-16+0.00925265j -3.4587e-17-0.0181755j -9.85773e-17+0.0522851j -1.34802e-16-0.00864927j -9.93916e-17+0.031035j -2.43397e-17-0.0130291j -4.8631e-17-0.000929403j -5.875e-17+0.0105907j 4.43101e-16-0.0120083j -8.92437e-17+0.0194616j 2.39412e-16+0.0244742j -8.48269e-17-0.0489934j -6.16483e-17-0.0177441j -3.67593e-17-0.0251588j -1.17282e-17-0.00350294j -5.3535e-17-0.0217079j 2.83115e-17+0.0345435j -7.97307e-18-0.0417533j 8.76181e-17+0.0124762j 8.43836e-17-0.0537587j 1.02823e-17+0.0328839j 6.27697e-17+0.00097015j -1.20451e-14+0.0537031j 5.41539e-14-0.0115076j 
-1.69807e-14+0.0253005j -3.85174e-15-0.0104929j -2.15075e-16-0.0219918j 1.10764e-16-0.0854412j -7.84257e-18+0.00921048j 2.45519e-17+0.0138828j 5.78052e-17+0.0105097j 1.72004e-16+0.0495787j -1.45456e-16-0.028495j -1.94041e-17-0.0676585j 1.45426e-16+0.0483025j 1.18791e-16+0.0165047j -7.76915e-17+0.0165251j -2.10511e-16-0.0277524j 1.67025e-17+0.0578827j 3.83783e-16-0.0102753j 5.62828e-16+0.0754702j 1.72359e-15+0.0134979j 4.3715e-16+0.0260698j -2.30243e-17+0.0667779j 3.31909e-16-0.0321898j -4.71644e-17-0.00304415j -1.49993e-16-0.0105876j -1.21964e-15-0.0233115j 1.222e-15-0.053294j -2.30748e-16-0.0299952j -7.80729e-17-0.0120916j 3.64856e-16+0.0130298j 1.20379e-16+0.0207124j 1.10498e-17+0.0231685j 2.51889e-17-0.0020866j 1.45333e-15-0.00521147j -1.36649e-16+0.00449199j 6.28423e-16+0.00931619j 7.41231e-18+0.0153591j 1.70279e-16-0.0184022j 9.56679e-18-0.0106119j 3.07249e-16+0.0258456j -6.36046e-15+0.0272956j 2.38386e-14-0.00985848j -1.35371e-16+0.0273959j -6.00425e-16+0.013094j -1.82408e-16+0.00414993j 1.59201e-16+0.0136204j -1.08947e-16-0.0224324j 3.41894e-16-0.00323047j 2.82146e-16-0.0141383j -5.4121e-16-0.0171028j 2.23347e-16+0.0469102j -1.83377e-16-0.00704763j -7.66623e-17+0.0104777j -8.25141e-16+0.0155689j 3.35083e-17-0.00271855j -4.20188e-16-0.00588615j -4.5865e-17+0.0110149j -7.72275e-18-0.021406j 9.25997e-17-0.00765782j 5.50765e-17-0.0433548j 1.04259e-16+0.010392j 1.30722e-16-0.00643714j -7.79537e-17+0.0230254j -9.33154e-16+0.0283287j 9.43842e-17-0.0153132j -2.32184e-16-0.0183779j 5.88276e-17+0.00757485j 4.18953e-17-0.00469323j 4.10898e-17+0.0118268j -1.17647e-17+0.0106339j 1.87221e-17+0.00467024j 2.20102e-17+0.00886832j -4.0041e-17-0.00981501j 1.59392e-16-0.00789429j 1.19551e-16-0.0538268j 9.1336e-17+0.0460381j 3.21915e-17-0.00685747j 2.12672e-14+0.0189414j -9.56269e-14+0.0455922j 
9.96692e-14-0.141834j 2.21077e-14+0.0334853j -3.28696e-16+0.0157577j 3.38649e-16-0.0691355j 5.77222e-17+0.0754375j 1.88905e-17+0.0677896j 7.68479e-17+0.0639259j -1.01319e-16-0.0261257j -6.4931e-16-0.128874j 2.17299e-16-0.0879373j -3.14368e-16-0.130168j -4.12709e-17-0.0292406j 8.1995e-17-0.00382808j 5.31551e-17+0.0531201j -2.34781e-16+0.0304412j 4.35023e-15-0.0815533j -2.44139e-16-0.0663598j -7.15805e-15-0.0664245j -3.0028e-16+0.0178582j -2.06677e-16+0.0987183j 4.50328e-16-0.0428778j -2.96729e-16-0.03251j -1.7833e-16+0.0320225j -3.95239e-16-0.0082325j 3.23481e-16-0.0088411j 4.31653e-16+0.00295725j -4.37289e-16-0.0162807j 3.40755e-16-0.00527685j 9.48937e-17-0.0422185j -1.96562e-17-0.0285193j 4.26144e-16+0.0151971j -9.83475e-16+0.00367933j 1.92302e-16-0.0152149j 2.05476e-15+0.0212694j -9.25686e-17-0.00785008j -5.48365e-17-0.00652118j 6.05456e-16-0.039747j 1.93045e-15-0.0739018j 1.11034e-14-0.0777251j -4.58982e-14+0.0133857j -1.46427e-16-0.0135131j 9.65486e-18+0.00245115j -5.48429e-17-0.0155662j 2.56968e-16+0.0126695j 1.05422e-16-0.0157859j 3.57325e-16-0.0142416j 1.2268e-16-0.00196197j 7.06561e-17+0.0167626j -1.81561e-17+0.00459563j -9.39088e-17-0.00408962j -1.24647e-16+0.00920222j -1.11984e-15+0.0199544j 5.6721e-17+0.0319119j -1.48246e-16-0.000862334j 7.26852e-17+0.00616241j -1.4978e-16-0.00478397j 8.71137e-17+0.0216312j -1.14165e-16+0.0273082j -5.44046e-16+0.0349628j -8.69992e-16+0.0381985j 3.4596e-16-0.0502963j 1.76959e-17+0.00248433j -1.13462e-16-0.00769747j 3.0771e-16+0.0372892j 1.15566e-16+0.00767118j -1.15182e-17+0.0244857j 3.5504e-17-0.00493145j 6.46657e-17+0.0180732j -1.39684e-16-0.0403988j -9.70097e-18-0.0186471j -8.46996e-17-0.0371461j -4.49822e-17-0.0184618j 6.51645e-17-0.00329444j 9.83429e-17+0.0820968j 6.87234e-17-0.02256j -3.63091e-14-0.0258075j 1.63126e-13-0.0762578j 
-4.8217e-14+0.0333955j -1.05667e-14+0.142401j 5.84682e-17+0.0277162j 8.91342e-17+0.0321079j 6.86149e-17+0.11643j -8.48456e-17+0.018661j 2.39816e-17+0.0134591j -5.27409e-17-0.0135341j -3.96121e-16-0.0867818j -2.56833e-16+0.157053j -1.12339e-16-0.0441756j -3.55956e-16+0.0615869j -1.41888e-16+0.0411127j 2.42337e-16+0.0225889j 6.34057e-17-0.068422j -1.78953e-15+0.0339399j -2.43705e-16-0.038696j -8.04373e-15-0.0677749j -1.68798e-15-0.0742781j -2.3044e-17-0.0279276j 3.19252e-16-0.0233664j 1.29417e-16+0.0923203j -1.49784e-16-0.00934088j -1.37455e-15-0.027525j -1.65551e-16-0.00826059j 3.27149e-17-0.0300769j -2.1765e-16+0.0034901j 1.75147e-16+0.013886j 1.40635e-17-0.00135174j -4.84489e-17+0.0280858j 5.26382e-16+0.00861418j 2.35426e-15-0.00510339j -3.5622e-17+0.0558236j -1.85823e-16-0.00497945j 2.13917e-16-0.0130575j 6.5781e-16-0.0318552j -1.51714e-16+0.000897018j -4.43784e-15-0.00530638j 1.04818e-14-0.0111635j -2.82941e-14+0.0156448j -3.61206e-16+0.0215926j 7.64887e-17-0.00208467j -8.88082e-17-0.00990649j 2.07612e-16+0.014051j 1.23585e-16+0.0376352j -2.80192e-16+0.0122551j -5.90725e-18-0.0215096j 1.76134e-16+0.0116353j -1.04225e-16+0.0101689j -2.03482e-16-0.0161722j -1.23444e-16+0.040007j -1.57481e-15+0.0308392j 5.23969e-17+0.00436112j 9.53089e-16+0.00798905j -1.01959e-17+0.0294852j -3.37319e-17+0.0343121j -6.11622e-17-0.000814527j -9.21199e-18+0.0231171j 6.44816e-17-0.0165109j -1.56259e-16+0.00208735j -2.60252e-17-0.00922043j 1.36226e-15-0.04646j -2.53437e-16-0.00351997j -2.71626e-16-0.0283469j 5.65564e-17+0.0325625j 1.34932e-17-0.00501461j -7.62389e-17-0.0345641j 8.51894e-18-0.00609232j 2.16803e-16+0.039589j -6.18894e-17-0.0117302j 1.10306e-16+0.00189993j 1.02181e-16+0.0361642j -1.20777e-16-0.00167482j -8.50891e-17+0.000176011j -5.05859e-17-0.0637545j -2.1791e-14+0.0860002j 9.83512e-14-0.0234139j 
-2.26468e-14+0.0344639j -5.27443e-15-0.0162438j -1.13287e-16-0.000644092j -9.21289e-17-0.0332279j 4.32995e-16+0.0698689j -2.16936e-17-0.0110631j -2.09048e-16-0.0283701j -1.91185e-18+0.000843128j 6.82084e-16+0.0601382j -3.60232e-17+0.0132763j -9.09726e-17-0.018968j 1.58874e-16+0.0211858j -3.33263e-16-0.0469596j -1.15932e-16-0.00734003j -1.64793e-16-0.00367017j 1.14376e-15-0.0245791j 4.76932e-16+0.0353442j -2.78749e-15-0.0236134j 3.20095e-16+0.0152041j -4.18087e-16-0.0517983j -3.27726e-17+0.0150887j 2.05901e-16+0.0197175j 3.40818e-16+0.0760389j 8.15227e-16+0.0136249j 8.81756e-16-0.0525662j 1.38828e-16-0.000490121j 2.73955e-16+0.0274387j -1.99937e-17+0.0053873j -1.21281e-16-0.052214j 1.03515e-16+0.00684833j 8.28587e-16+0.0256465j -4.36969e-15+0.0166654j 4.68071e-16-0.0111224j 2.69089e-15+0.0300166j 1.50928e-16+0.00239061j 3.1252e-16-0.0331955j 8.74261e-17-0.0257667j -3.23435e-15+0.0291073j 9.93062e-16+0.0279006j 5.2955e-15+0.00236639j -1.24185e-16+0.0254513j -2.20501e-16+0.0077713j -9.45074e-17+0.00365894j 3.11239e-16+0.0186112j -1.0195e-16-0.00554441j 4.94058e-17-0.00192396j 7.79741e-17+0.00392142j -3.42455e-16-0.0143526j 2.60539e-16+0.0156976j 1.23456e-16+0.00333082j -1.55264e-16-0.0248314j -5.88428e-16+0.0141019j 2.24847e-16+0.0204649j -2.38502e-16-0.000958966j -7.11116e-17-0.0108726j -1.1893e-16-0.0219762j 9.26133e-17+0.000309782j -1.65943e-16-0.0270314j -2.02994e-16+0.0337368j -4.08943e-16+0.0256442j 1.92932e-17-0.00607682j -6.45763e-16+0.0263462j -1.81545e-16-0.0297418j -2.24841e-17-0.00132929j 2.478e-16+0.0309064j -6.19255e-17-0.00984179j -3.8582e-18-0.00630434j 2.88568e-16+0.0449833j 2.40883e-17+0.00932865j 7.08135e-17+0.00764761j 2.11273e-16+0.0364347j 4.3286e-16+0.00192971j -1.2402e-16-0.0484541j 2.71779e-16+0.0377082j -6.12193e-17-0.0171509j 2.00395e-14-0.00921077j -9.04429e-14+0.0371756j 
1.07696e-15-0.00129941j 1.69694e-16-0.000110446j -2.55481e-17-0.00144438j -1.31125e-16+0.00109255j -2.14692e-17-0.0194943j 6.67215e-16-0.0878945j -2.15699e-17+0.0186985j -8.33294e-17+0.0299098j -1.77689e-17+0.0740475j 1.7859e-16-0.0293766j 8.46774e-18+0.0165315j -4.83579e-16+0.0426135j -3.18459e-16+0.0392518j -1.77706e-16+0.0161003j -3.04512e-16+0.0425113j 2.63266e-15-0.0434496j 4.05146e-17+0.0211773j 2.92443e-15+0.029324j -8.91862e-17-0.0281002j 4.59566e-16-0.0449103j 3.26077e-19-0.00731454j 2.08467e-17+0.0114534j 2.24608e-16-0.0285476j 6.90293e-16+0.0164056j -1.62013e-15+0.0462902j 8.29829e-17-0.0178971j 8.77408e-16+0.036473j -1.10876e-15-0.04913j 3.78632e-16+0.00726704j 3.58513e-17+0.000256809j 4.68016e-17+0.0149001j -4.65312e-15+0.0137835j 2.81762e-16-0.0387938j -2.26582e-15-0.0311813j 5.86339e-16-0.0117701j 1.34732e-15-0.0543632j -1.6317e-16-0.00369166j -1.02692e-14+0.00442924j 2.92178e-14+0.0139551j -8.48954e-14+0.0606868j -6.89553e-16+0.0295807j 4.20569e-16-0.00437864j 2.86151e-16-0.0157215j 1.29499e-16+0.0214684j -2.8194e-16+0.0606417j -1.15994e-15+0.0340502j -5.36535e-16+0.0121185j 2.24976e-16+0.0144745j 1.55256e-16-0.000487036j 2.2026e-16-0.0153805j 1.81484e-16-0.0313051j -1.69551e-15+0.0318456j -1.49109e-16+0.0316165j -3.21215e-16-0.00183944j 8.50307e-17-0.0241805j 2.37605e-16-0.0216905j 1.77279e-16-0.0529909j 1.56224e-16-0.00844368j 4.36413e-16-0.0342015j -2.03846e-16+0.0100991j 3.49847e-16-0.0126371j 5.49066e-16-0.0103279j -1.85519e-16+0.0260259j -2.2433e-16-0.0342125j -4.90568e-17-0.0247383j -6.57695e-17+0.0187989j 1.95229e-16-0.0184689j 2.51411e-16-0.0408709j 9.96932e-17+0.01393j 2.57e-18+0.0157283j -3.75661e-16+0.0213458j 1.38682e-16-0.0378311j 2.14594e-16-0.00542079j 8.6198e-18+0.00197602j 1.25738e-16-0.0196132j -1.05425e-14+0.0150382j 4.75434e-14-0.0170973j 
-6.35525e-15+0.00930834j -1.45054e-15-0.00314679j -2.03836e-16-0.00292518j 2.08714e-16-0.053632j -1.04296e-16-0.0536501j -1.34191e-16+0.00887814j 4.27853e-17+0.106537j 8.31394e-17+0.013047j 3.36514e-16+0.0415068j 4.7011e-17-0.0432163j 3.68797e-17+0.0083647j 2.11882e-16-0.037264j 1.35936e-16+0.00989913j -1.67272e-16-0.0310329j 1.16036e-16+0.0814469j 4.84551e-16-0.00671162j -2.51796e-16-0.0451229j 1.76519e-15+0.0160855j -6.94519e-16-0.0377645j -4.90488e-17+0.00321126j 4.11446e-16-0.0317696j 1.32518e-16+0.0220383j 6.14691e-18-0.0204443j 1.09761e-15+0.0292243j 1.07846e-15-0.0319484j -2.66928e-17+0.0238611j -1.3808e-16+0.00856852j 3.54965e-16+0.0312746j -2.20481e-16-0.0147316j -7.04636e-17+0.0086647j -2.11579e-16+0.00732328j 7.1251e-15-0.0305833j -6.05338e-16-0.0595344j -2.56553e-15-0.028645j 1.18146e-16+0.00861251j -2.98846e-16+0.0180949j -7.1984e-16+0.0350052j 2.17165e-14-0.00480885j -2.52155e-14+0.0656505j 4.34832e-14-0.00513574j 8.77314e-17+0.0244644j -6.19073e-16+0.01832j -7.46489e-17+0.018658j -2.46354e-16-0.00552161j -5.65158e-17+0.00533331j -6.96848e-16+0.0374606j -1.62294e-16-0.00315842j -9.89316e-17-0.0072952j 9.47924e-17+0.0171959j 8.69215e-17+0.00664384j 2.45467e-17-0.000696475j 2.13793e-15-0.0386731j 6.31895e-17-0.0179982j 8.35182e-16+0.0103412j -8.33395e-17+0.0091566j 1.1979e-16-0.0159681j -1.09294e-17-0.0515612j 1.04563e-16-0.0408801j 5.71165e-17+0.00501857j 3.54277e-16-0.0191375j -1.96917e-16+0.0351801j -3.08033e-16+0.00323847j 1.49989e-16-0.0189624j -5.72682e-16-0.0455826j -1.76652e-16-0.0505681j 3.80527e-17+0.0290382j 3.2577e-17+0.0237304j -1.34695e-16-0.0307326j 1.87308e-16+0.0330829j 1.00343e-16+0.0416223j -3.42056e-17-0.0608696j -4.23738e-16-0.0334338j 4.67613e-17+0.00630202j -2.26617e-17+0.034251j -2.49801e-17-0.0215951j 2.12583e-14+0.0296976j -9.55712e-14+0.0478968j 
1.59836e-14-0.0182891j 3.82801e-15-0.0110223j -3.68535e-16+0.0126422j -1.12796e-15+0.0310336j -7.51671e-16+0.0270383j 4.09442e-16-0.0119414j -5.84113e-16+0.0170567j 2.83273e-15-0.089869j -2.23012e-15+0.0752399j -4.93425e-16+0.0147882j 2.04165e-15-0.0676292j 1.03612e-15-0.027178j 1.68481e-15-0.0465755j 1.21761e-15-0.0424085j 2.00398e-15-0.0578841j 1.0369e-16+5.46565e-05j 2.40318e-15-0.0883308j -1.43312e-15-0.0167099j 7.80295e-17+0.00502151j 2.72018e-15-0.0833643j -1.22962e-15+0.0268736j -2.27967e-16+0.011682j -9.05121e-16+0.0326679j 8.02631e-16+0.0557552j -5.02059e-16+0.0113474j -1.11962e-15+0.0394669j 1.69959e-16-0.00486225j 5.72123e-16-0.0165141j 1.30879e-15-0.0484191j 2.57474e-15-0.070273j -5.99148e-16+0.0536628j -6.55224e-15+0.0233249j 7.65367e-16-0.00220958j -1.25721e-15-0.0239895j -3.42269e-16+0.0181201j -1.37168e-15+0.0269796j -2.38016e-16+0.00444418j 1.85973e-14-0.0331j -1.39375e-14+0.0252507j 6.58908e-15+0.00899528j 8.21402e-16-0.0140151j 1.70739e-16+0.00106654j -2.09908e-16+0.0101664j 2.59198e-16-0.00942329j -1.09247e-15+0.0333573j -1.3556e-15+0.0179077j -7.63186e-16+0.0137506j 4.21153e-16-0.00499474j 1.42246e-15-0.0422744j -6.30716e-16+0.0310619j 1.65725e-15-0.0462257j 4.11671e-15-0.0473668j -4.90311e-16+0.0185001j 2.59166e-16+0.0128189j 7.64804e-16-0.0188379j 1.826e-16-0.00606378j 3.42399e-16-0.00722471j -6.45389e-16+0.0144145j -2.74305e-15+0.0573017j -1.68606e-15+0.0269122j 1.28105e-15-0.032995j 7.20184e-16-0.0109163j 9.81341e-17-0.00538135j -7.31542e-16+0.0307513j -4.46436e-17+0.00531122j -6.46871e-16+0.0194774j 9.10256e-17-0.00405438j -1.25594e-15+0.0361946j -3.59036e-16+0.010923j -1.37126e-15+0.0452163j -4.35198e-16+0.0140593j 6.11667e-17-0.00219961j -6.43865e-16+0.0173061j -2.27182e-16+0.00812721j 8.85443e-16-0.0292179j 1.75096e-15-0.0291383j -3.34467e-15-0.00497416j 
5.31393e-15-0.0124666j 1.13315e-15+0.0246002j 6.73946e-16-0.171331j -6.14801e-16-0.0528306j 3.40476e-17-0.00843836j 2.28174e-16-0.0750247j 1.08734e-16-0.0428866j 7.37653e-17-0.118776j -8.25243e-17+0.00313113j 2.564e-17-0.0286565j 4.79834e-17+0.0477217j -3.77932e-18+0.00539547j -4.81754e-17+0.0295645j 5.64792e-17+0.0155576j 4.24825e-16-0.0392857j -7.85595e-15+0.15117j 2.35683e-16+0.0786126j 5.77379e-15+0.0495767j 3.36759e-15+0.147454j -8.04258e-16+0.00144909j -3.98758e-17-0.06739j -2.26274e-16-0.060201j 2.45826e-16-0.035471j 8.65613e-16+0.0183215j 2.91815e-16-0.00643578j -3.9336e-16+0.00237607j 6.8939e-16-0.0106682j -5.56748e-16-0.0496262j 1.41814e-16+0.0229263j 1.88448e-16-0.0383713j 6.15178e-17+0.023174j 1.70401e-14-0.0585464j -1.22289e-15+0.0450589j -2.0886e-15-0.0188549j 7.39456e-17+0.0323955j 1.8371e-16-0.0101158j 2.18852e-16-0.0126693j -4.6249e-16-0.0207488j -9.10046e-16-0.0384903j 4.97441e-15-0.0140433j 4.5586e-16-0.0331326j -9.93919e-16+0.0278925j -7.12173e-17+0.00488337j 5.92369e-17-0.0200318j 8.55164e-17+0.0270467j 7.45316e-16-0.033461j -1.57491e-16+0.0194416j 1.83477e-16+0.0338421j -1.86963e-16+0.0184595j 6.34972e-16-0.0337583j 5.89291e-16-0.0702073j -3.02936e-16+0.0148572j -9.96572e-17+0.0170993j 9.3367e-16+0.0135796j 1.08464e-16-0.0367744j -4.45798e-16+0.0768317j -2.23025e-16-0.00212489j -4.01835e-16+0.0636646j 1.07511e-16-0.0277518j -1.97579e-16+0.00951134j 1.01436e-16+0.00732581j 4.01484e-16-0.0013441j -2.17979e-16+0.0574428j 4.39126e-16+0.0594377j 6.14359e-17-0.0709742j -1.92906e-17-0.0203885j 7.15641e-17-0.0419434j 1.23312e-16-0.000567406j -2.04596e-17-0.0477924j 7.5206e-17+0.0591662j -5.13349e-17-0.0469201j 1.89411e-16+0.00887163j 2.34506e-16-0.0874284j 9.49161e-17+0.0325652j -1.1009e-17+0.0260931j -2.28795e-14+0.0619993j 1.03002e-13-0.0306604j 
