-0.0590704-0j -0.0730959-0j -0.0426393-0j -0.00736065-0j -0.00858742-0j -0.0052587-0j -0.00751399-0j -0.00309936-0j 0.443672-0j -0.000669824-0j 0.501181-0j -0.000756647-0j 0.409213-0j 0.413454-0j -0.0006178-0j 0.358061-0j -0.000624202-0j -0.000540575-0j 0.295385-0j -0.000445951-0j 0.0943771-0j -0.000142484-0j -0.00344811-0j 0.0582756-0j -5.07954e-05-0j -0.00381636-0j 0.0644993-0j -0.00301709-0j -5.62202e-05-0j -0.0020114-0j -0.00304836-0j 0.0509912-0j -0.00351994-0j 0.0339941-0j 0.0515196-0j -4.4446e-05-0j -0.00124449-0j -2.96307e-05-0j -0.0020533-0j -4.49066e-05-0j -0.00217785-0j 0.0594897-0j 0.0210328-0j -5.18537e-05-0j -0.00127041-0j 0.0347023-0j 0.0368074-0j -1.8333e-05-0j -3.0248e-05-0j -0.000331419-0j 0.021471-0j -3.20828e-05-0j 0.00560123-0j -1.8715e-05-0j -4.88226e-06-0j 
0.00852608-0j 0.0105505-0j 0.00615445-0j -0.101251-0j -0.118126-0j -0.0723369-0j -0.10336-0j -0.0426338-0j 0.000669824-0j 0.429789-0j 0.000756647-0j 0.485498-0j 0.0006178-0j 0.000624202-0j 0.396407-0j 0.000540575-0j 0.400515-0j 0.346857-0j 0.000445951-0j 0.286142-0j 0.000142484-0j 0.0914238-0j 0.000497692-0j -0.0083847-0j 0.0998813-0j 0.000550844-0j -0.00928016-0j 0.00043548-0j 0.110548-0j 0.00029032-0j 0.000439993-0j -0.00733661-0j 0.00050806-0j -0.00489108-0j -0.00741264-0j 0.0873961-0j 0.000179626-0j 0.0582641-0j 0.000296368-0j 0.0883018-0j 0.000314346-0j -0.00855938-0j -0.0030262-0j 0.101962-0j 0.000183369-0j -0.00499297-0j -0.00529585-0j 0.036049-0j 0.0594779-0j 4.78362e-05-0j -0.00308924-0j 0.0630858-0j -0.000805905-0j 0.0368001-0j 0.0096002-0j 
0.0485778-0j 0.00104149-0j -0.068308-0j 0.00605318-0j 0.000122356-0j 0.0043246-0j -0.00596516-0j -0.00746983-0j 0.00381636-0j 0.000550844-0j 7.46923e-05-0j 1.07809e-05-0j 0.00351994-0j -0.00343318-0j 0.00050806-0j 5.33627e-05-0j -0.000495538-0j 7.70225e-06-0j -0.00494959-0j -0.000714412-0j -0.0031769-0j -0.000458546-0j -0.40936-0j 0.000501272-0j 4.17727e-05-0j -0.00784998-0j 9.61249e-06-0j -0.35819-0j 8.01041e-07-0j -0.238794-0j 0.349362-0j 0.000438613-0j -0.00724028-0j 0.000292409-0j -0.000427802-0j 3.65511e-05-0j -0.147746-0j 2.43674e-05-0j 0.474866-0j -3.56502e-05-0j 0.249596-0j 8.86589e-06-0j 0.000180919-0j 7.38825e-07-0j 0.44202-0j -0.000581485-0j -0.000305637-0j 1.50765e-05-0j -4.84571e-05-0j 0.192641-0j -0.000541264-0j -2.54697e-05-0j -0.000235893-0j -4.51053e-05-0j -1.96578e-05-0j 
-0.00858742-0j -0.000184111-0j 0.0120753-0j 0.0504545-0j 0.00101986-0j 0.0360464-0j -0.0497208-0j -0.0622626-0j 0.0644993-0j 0.00928016-0j 0.00126236-0j 0.000181628-0j 0.0594897-0j -0.0580234-0j 0.00855938-0j 0.000901871-0j -0.00834841-0j 0.000129761-0j -0.0836518-0j -0.0120358-0j -0.053692-0j -0.00772522-0j -0.000501272-0j -0.399457-0j 0.00105932-0j -9.61249e-06-0j -0.00766007-0j -0.000438613-0j 2.03137e-05-0j -0.000292409-0j 0.000427802-0j -0.349525-0j -8.86589e-06-0j -0.233017-0j 0.34091-0j 0.000926905-0j -0.000180919-0j 0.000617936-0j 0.000581485-0j -0.000904058-0j 0.000305637-0j -0.00706512-0j -0.144172-0j 1.8736e-05-0j 0.000541264-0j 0.463379-0j 0.243558-0j 0.000382329-0j -0.00122883-0j 0.000235893-0j 0.431326-0j -0.000645891-0j 0.18798-0j -0.00114383-0j -0.000498504-0j 
0.000715618-0j 1.53426e-05-0j -0.00100627-0j -0.012792-0j -0.00025857-0j -0.00913902-0j 0.012606-0j 0.0157857-0j 5.62202e-05-0j 0.110548-0j 1.10032e-06-0j 0.00216361-0j 5.18537e-05-0j -5.05756e-05-0j 0.101962-0j 7.86108e-07-0j -0.099449-0j 0.00154576-0j -7.29144e-05-0j -0.143375-0j -4.68002e-05-0j -0.0920253-0j 4.17727e-05-0j -0.00105932-0j -0.386781-0j 8.01041e-07-0j -2.03137e-05-0j 3.65511e-05-0j -0.00741698-0j 2.43674e-05-0j -3.56502e-05-0j -0.000926905-0j 7.38825e-07-0j -0.000617936-0j 0.000904058-0j -0.338433-0j 1.50765e-05-0j -0.225622-0j -4.84571e-05-0j 0.330092-0j -2.54697e-05-0j -1.8736e-05-0j -0.000382329-0j -0.00684091-0j -4.51053e-05-0j 0.00122883-0j 0.000645891-0j -0.139597-0j 0.448674-0j -1.96578e-05-0j 0.00114383-0j 0.235829-0j 0.000498504-0j 0.417638-0j 0.182015-0j 
0.0296544-0j -0.0356508-0j 0.0214057-0j 0.00369517-0j 0.00431103-0j -0.00776957-0j -0.00366477-0j 0.00155593-0j 0.0023297-0j 0.000336263-0j 0.00263168-0j 0.00037985-0j -0.00208759-0j 0.00217102-0j -0.000301317-0j -0.00553344-0j 0.00031336-0j -0.000798683-0j -0.0015069-0j -0.000217502-0j 0.000495569-0j 7.15292e-05-0j 0.00173101-0j 0.000306002-0j 2.55002e-05-0j 0.00191588-0j 0.000338682-0j -0.00147152-0j 2.82235e-05-0j 0.00100976-0j 0.00153033-0j -0.00026013-0j -0.00171677-0j 0.000178501-0j 0.000270527-0j -2.16775e-05-0j -0.00307042-0j 1.48751e-05-0j 0.00103079-0j 2.25439e-05-0j -0.00321771-0j -0.000303485-0j -0.000542778-0j -2.52904e-05-0j -0.000619614-0j 0.00018222-0j -0.000568817-0j -4.52315e-05-0j 1.5185e-05-0j 0.000166378-0j -0.000109533-0j -4.74014e-05-0j 2.94118e-05-0j -9.12778e-06-0j 2.45098e-06-0j 
-0.0299617-0j 0.035791-0j -0.0194182-0j -0.00373346-0j 0.00420478-0j -0.00266732-0j 0.00380896-0j -0.00743016-0j -0.00235384-0j -0.000339748-0j 0.00256681-0j 0.000370487-0j -0.00217102-0j 0.0021922-0j -0.00031336-0j 0.00183382-0j 0.000316417-0j 0.000264689-0j -0.00140704-0j -0.000203089-0j -0.0052505-0j -0.000757845-0j -0.00174895-0j -0.000309173-0j -2.57644e-05-0j 0.00186865-0j 0.000330335-0j -0.00153033-0j 2.75279e-05-0j -0.00102022-0j 0.00154526-0j -0.000270527-0j 0.00172352-0j -0.000180351-0j 0.000273166-0j -2.25439e-05-0j -0.000631229-0j -1.50293e-05-0j -0.000935084-0j 2.27638e-05-0j 0.00110399-0j 0.000304678-0j -0.000111587-0j 2.53898e-05-0j -0.00304559-0j -0.000165301-0j 0.000195159-0j -9.29888e-06-0j -1.37751e-05-0j -0.00305566-0j -0.000538389-0j 1.62633e-05-0j -0.000540169-0j -4.48657e-05-0j -4.50141e-05-0j 
-0.0049424-0j 0.0059418-0j -0.00356761-0j 0.0290385-0j 0.0338783-0j -0.0610572-0j -0.0287996-0j 0.0122273-0j -0.000388283-0j 0.0053411-0j -0.000438613-0j 0.00603341-0j 0.000347931-0j -0.000361837-0j -0.00478602-0j 0.000922239-0j 0.00497731-0j -0.012686-0j 0.00025115-0j -0.00345473-0j -8.25949e-05-0j 0.00113615-0j 0.0416491-0j 0.00240472-0j 0.00060968-0j 0.0460971-0j 0.00266154-0j -0.0354055-0j 0.000674792-0j 0.0242953-0j 0.0368206-0j -0.00204423-0j -0.0413065-0j 0.00140275-0j 0.00212594-0j -0.000518283-0j -0.0738761-0j 0.000355647-0j 0.0248015-0j 0.000538998-0j -0.0774201-0j -0.00238494-0j -0.00426542-0j -0.000604664-0j -0.0149083-0j 0.00143198-0j -0.00447005-0j -0.00108143-0j 0.000363056-0j 0.00400316-0j -0.000860769-0j -0.00113331-0j 0.000231132-0j -0.000218235-0j 5.86001e-05-0j 
-0.00302659-0j 0.00363859-0j -0.00218471-0j -0.000377137-0j -0.000439993-0j 0.000792978-0j 0.000374034-0j -0.000158802-0j 0.0457026-0j -3.43197e-05-0j 0.0516266-0j -3.87683e-05-0j -0.0409529-0j 0.0425898-0j 3.0753e-05-0j -0.108551-0j -3.19822e-05-0j 8.15152e-05-0j -0.0295614-0j 2.21987e-05-0j 0.00972176-0j -7.30042e-06-0j -0.00017667-0j 0.00600296-0j -2.6026e-06-0j -0.000195538-0j 0.00664406-0j 0.000150186-0j -2.88055e-06-0j -0.000103058-0j -0.000156189-0j -0.00510306-0j 0.000175217-0j 0.00350173-0j 0.00530702-0j 2.21245e-06-0j 0.000313373-0j -1.51818e-06-0j -0.000105205-0j -2.30088e-06-0j 0.000328406-0j -0.00595357-0j -0.0106479-0j 2.58119e-06-0j 6.32391e-05-0j 0.00357468-0j -0.0111587-0j 4.61642e-06-0j -1.54981e-06-0j -1.69809e-05-0j -0.00214876-0j 4.83788e-06-0j 0.000576981-0j 9.316e-07-0j -2.50152e-07-0j 
0.00499362-0j -0.00596516-0j 0.00323636-0j -0.0293394-0j 0.0330433-0j -0.0209611-0j 0.0299327-0j -0.0583899-0j 0.000392307-0j -0.00539645-0j -0.000427802-0j 0.0058847-0j 0.000361837-0j -0.000365367-0j -0.00497731-0j -0.000305637-0j 0.00502587-0j 0.00420423-0j 0.000234506-0j -0.00322579-0j 0.000875084-0j -0.0120374-0j -0.0420807-0j -0.00242964-0j -0.000615998-0j 0.0449609-0j 0.00259594-0j -0.0368206-0j 0.00065816-0j -0.0245471-0j 0.0371799-0j -0.00212594-0j 0.0414689-0j -0.00141729-0j 0.00214668-0j -0.000538998-0j -0.0151877-0j -0.000359332-0j -0.0224987-0j 0.000544257-0j 0.0265626-0j 0.00239431-0j -0.000876903-0j 0.000607041-0j -0.0732787-0j -0.00129902-0j 0.00153366-0j -0.000222325-0j -0.000329346-0j -0.0735209-0j -0.00423093-0j 0.000388836-0j -0.00424492-0j -0.00107269-0j -0.00107623-0j 
0.00305795-0j -0.0036529-0j 0.00198186-0j 0.000381045-0j -0.000429148-0j 0.000272232-0j -0.00038875-0j 0.000758337-0j -0.0461762-0j 3.46754e-05-0j 0.0503541-0j -3.78127e-05-0j -0.0425898-0j 0.0430053-0j 3.19822e-05-0j 0.0359747-0j -3.22942e-05-0j -2.70147e-05-0j -0.0276024-0j 2.07276e-05-0j -0.103001-0j 7.73472e-05-0j 0.000178501-0j -0.00606517-0j 2.62957e-06-0j -0.000190719-0j 0.0064803-0j 0.000156189-0j -2.80955e-06-0j 0.000104126-0j -0.000157712-0j -0.00530702-0j -0.000175906-0j -0.00353801-0j 0.0053588-0j 2.30088e-06-0j 6.44245e-05-0j 1.53392e-06-0j 9.54366e-05-0j -2.32332e-06-0j -0.000112675-0j 0.00597698-0j -0.00218903-0j -2.59134e-06-0j 0.000310839-0j -0.00324277-0j 0.00382851-0j 9.49063e-07-0j 1.40591e-06-0j 0.000311867-0j -0.0105618-0j -1.65986e-06-0j -0.0105967-0j 4.57909e-06-0j 4.59423e-06-0j 
