-0.141006-0j -0.150173-0j -0.11263-0j -0.113797-0j -0.0983116-0j -0.121654-0j -0.0919621-0j -0.0709651-0j 0.570297-0j -0.107289-0j -0.0657009-0j 0.40464-0j -0.093878-0j -0.0387227-0j 0.330387-0j -0.0568986-0j 0.333811-0j -0.0536446-0j -0.0574883-0j 0.289089-0j 0.238486-0j -0.093878-0j 0.0761975-0j -0.0361336-0j -0.0331909-0j -0.0547621-0j -0.0383255-0j -0.058084-0j -0.0547621-0j -0.0338823-0j -0.0387227-0j -0.0225882-0j -0.00883904-0j -0.00749862-0j -0.039124-0j -0.0169412-0j -0.0176781-0j -0.0139758-0j -0.00389765-0j -0.00631492-0j -0.00170522-0j -0.000256834-0j 
0.159283-0j 0.00293914-0j 0.127229-0j -0.124093-0j 0.111055-0j 0.00238097-0j -0.308314-0j -0.15616-0j 0.0719717-0j 0.00209982-0j 0.074217-0j -0.00591229-0j -0.102372-0j -0.128194-0j 0.093878-0j -0.445793-0j -0.0915641-0j -0.17985-0j 0.434805-0j 0.0014232-0j -0.132007-0j -0.00545309-0j -0.084729-0j 0.000707194-0j -0.111276-0j 0.35765-0j 0.0432933-0j 0.187986-0j -0.0597169-0j 0.332911-0j 0.000757866-0j -0.07478-0j 0.145089-0j 0.00847059-0j -0.0860933-0j -0.018474-0j -0.0781482-0j -0.0462678-0j -0.0258832-0j -0.0349257-0j -0.0132168-0j -0.00256086-0j 
0.130054-0j 0.13851-0j -0.100925-0j 0.104959-0j -0.178323-0j -0.109011-0j 0.0848195-0j 0.0654533-0j 0.0587647-0j -0.194607-0j -0.178344-0j 0.093878-0j -0.0841216-0j 0.0357151-0j 0.146451-0j -0.0509854-0j -0.152304-0j -0.244085-0j 0.0530232-0j -0.19739-0j -0.0537545-0j 0.165434-0j 0.0176781-0j -0.263278-0j -0.15045-0j -0.0993308-0j 0.513221-0j -0.157668-0j 0.242077-0j -0.0303611-0j 0.345189-0j -0.102778-0j 0.00815252-0j -0.0612614-0j 0.208856-0j -0.107598-0j 0.0311527-0j -0.0633505-0j -0.00706979-0j -0.0171417-0j -0.00152801-0j 0.000236886-0j 
-0.131402-0j 0.135096-0j -0.104959-0j 0.105983-0j 0.180171-0j 0.10944-0j -0.0856985-0j -0.059376-0j -0.0593736-0j -0.189811-0j -0.0612259-0j 0.0915641-0j 0.0874313-0j -0.170553-0j 0.152304-0j -0.0530232-0j -0.15379-0j 0.246615-0j 0.0535405-0j 0.0654165-0j -0.0501923-0j -0.166084-0j -0.187298-0j -0.256789-0j -0.0309302-0j 0.090108-0j 0.17619-0j 0.0540954-0j -0.251602-0j -0.149234-0j -0.0685063-0j 0.490801-0j -0.149727-0j -0.00698788-0j 0.0643763-0j 0.0157778-0j 0.339731-0j -0.0615558-0j 0.198576-0j -0.10697-0j -0.0625358-0j -0.0163362-0j 
-0.113797-0j -0.00209982-0j 0.267516-0j 0.0886565-0j -0.0793414-0j 0.0050063-0j -0.074217-0j 0.111566-0j -0.0514191-0j -0.00150019-0j -0.0470714-0j -0.0014232-0j -0.21525-0j 0.0915864-0j 0.19739-0j 0.135144-0j 0.0654165-0j -0.0432933-0j 0.0447876-0j -0.00090265-0j -0.277562-0j 0.00386325-0j 0.0605333-0j -0.000505244-0j -0.334627-0j 0.0860933-0j -0.0274583-0j 0.0401723-0j -0.125562-0j -0.235852-0j -0.00676398-0j 0.0534254-0j 0.0349257-0j -0.357191-0j 0.0546037-0j 0.420648-0j -0.164316-0j 0.412941-0j 0.0184919-0j 0.0221513-0j -0.02779-0j 0.00182956-0j 
0.093878-0j -0.194766-0j -0.0728515-0j 0.0680237-0j 0.0654533-0j 0.153287-0j 0.0612259-0j 0.181621-0j 0.0424186-0j -0.139148-0j -0.128735-0j -0.132007-0j -0.0545192-0j 0.0308652-0j -0.0537545-0j -0.0368032-0j 0.0501923-0j 0.0357151-0j 0.0343643-0j 0.277562-0j -0.149159-0j 0.118288-0j -0.162524-0j -0.0468632-0j -0.108601-0j 0.140153-0j -0.0750956-0j -0.102185-0j -0.0318029-0j -0.0262382-0j 0.246816-0j 0.0180047-0j -0.256871-0j -0.0442208-0j -0.294689-0j -0.0697344-0j 0.145634-0j -0.0547478-0j -0.252326-0j 0.540104-0j 0.197644-0j -0.0771138-0j 
-0.0299945-0j 0.125011-0j -0.0239584-0j -0.253837-0j -0.0209126-0j 0.10127-0j -0.019562-0j 0.192261-0j -0.0135529-0j 0.0893122-0j -0.0139758-0j 0.084729-0j -0.209405-0j 0.153362-0j -0.0176781-0j -0.0121034-0j -0.187298-0j -0.0114112-0j -0.128234-0j 0.0605333-0j 0.162524-0j 0.0781482-0j -0.202795-0j 0.0300792-0j -0.00706029-0j 0.148363-0j -0.00815252-0j -0.129563-0j -0.122153-0j 0.134192-0j 0.0322345-0j 0.0894614-0j -0.265526-0j -0.00159509-0j 0.105996-0j -0.0377891-0j -0.187044-0j 0.0553514-0j 0.0110057-0j -0.189701-0j 0.366641-0j 0.558481-0j 
0.0185209-0j 0.019725-0j 0.0147938-0j 0.0149471-0j 0.0129131-0j 0.0159791-0j -0.0602672-0j 0.00932114-0j 0.00836862-0j -0.0703117-0j -0.0430569-0j 0.0133691-0j -0.0615227-0j -0.0253768-0j 0.0109158-0j 0.00747354-0j 0.0110289-0j 0.00704612-0j 0.00755099-0j 0.00955133-0j 0.00787944-0j 0.0123307-0j 0.00251752-0j 0.00474609-0j 0.00435956-0j 0.00719291-0j 0.00503399-0j 0.00762924-0j 0.00719291-0j 0.00445039-0j 0.00508616-0j 0.00296693-0j 0.00116099-0j 0.00098493-0j 0.00513887-0j 0.00222519-0j 0.00232199-0j 0.00183569-0j 0.00051195-0j 0.000829454-0j 0.000223978-0j 3.37347e-05-0j 
-0.0204988-0j -0.000378251-0j -0.0163737-0j 0.0159701-0j -0.0142921-0j -0.000306418-0j -0.0133691-0j 0.020097-0j 0.0829075-0j -0.000270236-0j -0.00955133-0j 0.00101919-0j 0.0131747-0j 0.0164979-0j 0.0480304-0j -0.00827169-0j -0.0468465-0j -0.00779863-0j 0.00806781-0j 0.000728146-0j -0.0675382-0j -0.000236456-0j -0.0433495-0j -9.1012e-05-0j -0.00482515-0j 0.0155084-0j -0.00557161-0j 0.00815142-0j 0.00768523-0j 0.0144357-0j -9.75332e-05-0j 0.00962378-0j 0.00629134-0j -0.00109012-0j 0.0110797-0j 0.0023775-0j 0.0100572-0j 0.00595441-0j 0.00333103-0j 0.00449475-0j 0.00170093-0j 0.000329568-0j 
-0.0162058-0j -0.0172594-0j 0.012576-0j -0.0130787-0j -0.0112989-0j 0.0135837-0j 0.0313685-0j -0.008156-0j -0.00732254-0j -0.0123307-0j 0.022223-0j 0.0347185-0j 0.0104822-0j -0.00445039-0j 0.00927942-0j -0.0440647-0j -0.00965031-0j 0.0182983-0j 0.0458258-0j 0.0245964-0j 0.00669824-0j -0.0311104-0j -0.00220283-0j -0.00415283-0j -0.0556405-0j 0.0186795-0j 0.0129634-0j -0.0583097-0j 0.00611463-0j -0.0112283-0j 0.0218719-0j -0.00259606-0j 0.00301502-0j 0.00763366-0j 0.0132335-0j 0.0134076-0j 0.0019739-0j 0.00789397-0j -0.000447956-0j 0.00213599-0j 0.000190402-0j -2.95179e-05-0j 
