-0.412196-0j -0.00790435-0j -0.360672-0j -0.240448-0j 0.351782-0j -0.00729043-0j -0.148769-0j 0.478156-0j 0.251325-0j 0.445081-0j 0.193975-0j -0.0549092-0j -0.00103822-0j -0.0464165-0j 0.0452724-0j -0.0423722-0j -0.000908445-0j -0.00060563-0j 0.059582-0j -0.0302722-0j 0.0417561-0j -0.000374715-0j 0.0522888-0j 0.0425674-0j 0.0386391-0j 0.0127975-0j -0.0362051-0j -0.00522576-0j -0.000677545-0j -9.77952e-05-0j -0.0298677-0j 0.0291315-0j -0.00431103-0j 0.00420478-0j -0.0267145-0j -0.0182902-0j -0.00385591-0j -0.00263996-0j -0.000572749-0j 0.0375648-0j -8.26692e-05-0j -0.000522846-0j 0.00542201-0j -0.0184797-0j -7.54663e-05-0j -0.0174228-0j 0.0254901-0j -0.00266732-0j 0.0169934-0j -0.00251477-0j 0.00367918-0j 0.0319198-0j -0.000373539-0j 0.00245279-0j 0.00460723-0j -0.00538991-0j -5.39157e-05-0j 0.0346472-0j 0.0105141-0j -0.000777967-0j 0.0222383-0j 0.00500089-0j 0.00151758-0j 0.0228046-0j 0.00320983-0j 0.00329156-0j 0.0140554-0j 0.00376105-0j 0.00202873-0j 0.000542861-0j 
0.0419376-0j 0.0464165-0j -0.0356508-0j 0.0244636-0j 0.0370757-0j -0.0415926-0j -0.0743878-0j 0.0249733-0j -0.0779564-0j -0.0150116-0j 0.00403088-0j -0.263413-0j -0.287467-0j 0.216332-0j -0.224978-0j -0.20327-0j 0.244373-0j -0.167689-0j -0.146728-0j 0.4274-0j 0.201597-0j 0.5099-0j -0.0855912-0j 0.308514-0j 0.0460177-0j -0.0104432-0j 0.00368358-0j -0.0506701-0j 0.00397872-0j -0.05473-0j -0.00295229-0j 0.00307029-0j 0.0406107-0j -0.0422339-0j 0.00271798-0j 0.00186088-0j -0.0373877-0j -0.0255976-0j -0.00326759-0j 0.00196194-0j 0.0449479-0j 0.00307029-0j -0.0269879-0j -0.00553344-0j -0.0422339-0j -0.00172217-0j -0.00261003-0j 0.0761161-0j 0.001791-0j 0.0236896-0j 0.0359026-0j 0.00110813-0j -0.00645567-0j -0.0246364-0j -0.015243-0j -0.00377622-0j 0.0888021-0j -0.00175805-0j -0.00544599-0j 0.0519444-0j 0.000578164-0j 0.0241831-0j 0.0749133-0j -0.00232998-0j -0.00795303-0j 0.0320504-0j -0.000283763-0j 5.57695e-05-0j 0.00390335-0j -0.000767147-0j 
-0.0423722-0j 0.0452724-0j -0.0370757-0j -0.0247171-0j 0.0374374-0j 0.0417561-0j -0.0152929-0j -0.0226545-0j 0.0267466-0j -0.0737863-0j -0.0740302-0j 0.266142-0j -0.280381-0j 0.224978-0j -0.227173-0j 0.205376-0j -0.245334-0j -0.163556-0j 0.133104-0j 0.146728-0j -0.209529-0j -0.101195-0j 0.40873-0j 0.0950942-0j 0.501838-0j 0.293328-0j -0.00372175-0j 0.0511952-0j 0.00388065-0j -0.053381-0j -0.00307029-0j 0.00310024-0j 0.0422339-0j -0.0426459-0j -0.00274615-0j -0.00188016-0j 0.0377751-0j 0.0258629-0j 0.00328044-0j -0.00177978-0j -0.0451246-0j 0.00299461-0j 0.0244821-0j -0.00189964-0j -0.0411929-0j -0.001791-0j 0.00271271-0j 0.0261309-0j 0.00180848-0j 0.0246364-0j -0.0373152-0j -0.00529171-0j 0.00213946-0j -0.0248768-0j 0.072791-0j -0.000554063-0j -0.0294296-0j -0.00164155-0j 0.00111894-0j 0.00762151-0j -0.00612559-0j 0.0225806-0j -0.0153917-0j -0.00378058-0j 0.0842616-0j 0.0520044-0j -0.00536422-0j -0.00221747-0j 0.0737885-0j 0.0305028-0j 
0.0241368-0j 0.0267145-0j 0.0211197-0j -0.0694584-0j 0.0213385-0j -0.0484563-0j 0.00871142-0j -0.0282662-0j 0.015245-0j 0.0088929-0j 0.00231993-0j 0.00321529-0j 0.0035089-0j 0.00271798-0j 0.00274615-0j -0.00487948-0j 0.00307029-0j -0.0100976-0j 0.001791-0j -0.00348607-0j -0.00498113-0j 0.00126643-0j -0.00205461-0j 0.00127955-0j 0.000578164-0j 0.000127473-0j -0.202687-0j 0.000306002-0j -0.218927-0j 0.00033052-0j -0.167208-0j -0.168941-0j 0.000252439-0j 0.000255055-0j 0.294117-0j -0.102394-0j -0.000444036-0j 0.000154587-0j -0.185066-0j -0.107955-0j 0.000279399-0j 0.33224-0j 0.000162983-0j -0.103455-0j -0.000501592-0j 0.481176-0j -0.147823-0j 0.000156189-0j 0.486163-0j -0.000726445-0j 0.000223173-0j -0.0609741-0j 0.237364-0j -0.000733973-0j 9.20542e-05-0j -0.0301743-0j -0.000358355-0j 0.195815-0j -0.0609741-0j 4.5555e-05-0j 0.0625639-0j -0.000295628-0j 9.20542e-05-0j -0.043562-0j -9.44544e-05-0j 6.57667e-05-0j -0.0160714-0j -0.00306869-0j 2.42635e-05-0j 4.63288e-06-0j 
-0.00348384-0j -0.00385591-0j -0.00304836-0j 0.0100255-0j -0.00307995-0j 0.00699407-0j -0.00125738-0j 0.00407987-0j -0.00220042-0j -0.00128358-0j -0.000334853-0j 0.0442285-0j 0.0482673-0j 0.0373877-0j 0.0377751-0j -0.0671205-0j 0.0422339-0j -0.138899-0j 0.0246364-0j -0.0479532-0j -0.0685188-0j 0.0174206-0j -0.0282626-0j 0.0176011-0j 0.00795303-0j 0.00175348-0j -0.000306002-0j -0.196344-0j -0.00033052-0j -0.212076-0j -0.000252439-0j -0.000255055-0j -0.161976-0j -0.163654-0j 0.000444036-0j -0.000154587-0j 0.284913-0j -0.0991896-0j -0.000279399-0j -0.000162983-0j -0.179274-0j 0.000501592-0j -0.104577-0j -0.000156189-0j 0.321844-0j 0.000726445-0j -0.000223173-0j -0.100217-0j 0.000733973-0j 0.466119-0j -0.143198-0j -9.20542e-05-0j 0.000358355-0j 0.470949-0j -0.059066-0j -4.5555e-05-0j 0.229936-0j 0.000295628-0j -9.20542e-05-0j -0.0292301-0j 9.44544e-05-0j 0.189688-0j -0.059066-0j -6.57667e-05-0j 0.0606061-0j -0.0421988-0j -2.42635e-05-0j -4.63288e-06-0j -0.0155685-0j -0.00297266-0j 
-0.0298677-0j -0.000572749-0j 0.0253903-0j -0.0174228-0j 0.0254901-0j 0.000513226-0j 0.0529785-0j 0.0346472-0j -0.0535962-0j -0.0313325-0j 0.0140554-0j -0.00397872-0j -7.52296e-05-0j 0.00326759-0j 0.00328044-0j -0.00307029-0j 6.3952e-05-0j -4.38839e-05-0j 0.00431731-0j 0.00645567-0j -0.00293951-0j 0.00013344-0j 0.00378885-0j -0.00907769-0j -0.00272008-0j 0.000927309-0j 0.250813-0j -0.000378658-0j 0.00469372-0j -7.08623e-06-0j -0.20102-0j -0.20181-0j 0.000303485-0j 0.000304678-0j 0.185066-0j 0.126706-0j -0.000279399-0j -0.000191291-0j -0.00385479-0j -0.260231-0j 5.81968e-06-0j 0.00362204-0j 0.000392878-0j -0.376768-0j -5.46829e-06-0j -0.117261-0j 0.171557-0j 0.000568817-0j -0.117722-0j 0.000177033-0j -0.000259004-0j -0.221126-0j -0.00761579-0j 0.000177729-0j 0.000333839-0j -0.25712-0j 1.14978e-05-0j 0.233187-0j 0.357965-0j 0.000388181-0j -0.154057-0j -0.000352048-0j -0.000540429-0j 0.464945-0j 0.000232584-0j -0.00070194-0j 0.0945976-0j -0.0260548-0j -0.000142817-0j 3.93357e-05-0j 
0.0174228-0j -0.0375648-0j 0.015245-0j 0.0101633-0j 0.0138295-0j -0.0346472-0j 0.00628823-0j 0.0398827-0j 0.00988026-0j 0.00768529-0j -0.0730968-0j 0.00232092-0j -0.00493407-0j 0.00196194-0j 0.00177978-0j 0.001791-0j -0.00431731-0j -0.00287821-0j 0.0049697-0j 0.00127955-0j 0.00164155-0j -0.0017808-0j 0.00090288-0j 0.00355053-0j -0.00531537-0j -0.00894728-0j -0.146307-0j 0.000220884-0j 0.307846-0j -0.000464763-0j -0.120697-0j -0.109491-0j 0.00018222-0j 0.000165301-0j -0.107955-0j -0.0739117-0j 0.000162983-0j 0.000111587-0j 0.260231-0j -0.299555-0j -0.000392878-0j 0.237558-0j 0.000452247-0j -0.0746777-0j -0.000358647-0j -0.0704068-0j -0.0958043-0j 0.000112743-0j -0.0638696-0j 0.000106295-0j 0.000144638-0j -0.0526941-0j 0.169719-0j 9.64256e-05-0j 7.95537e-05-0j -0.021781-0j -0.00025623-0j -0.276289-0j -0.0395173-0j 3.28833e-05-0j 0.292475-0j 0.000417121-0j 5.96603e-05-0j -0.0376465-0j -0.000441558-0j 5.68359e-05-0j 0.506381-0j 0.396927-0j -0.000764497-0j -0.000599251-0j 
0.00431103-0j 8.26692e-05-0j -0.00366477-0j 0.00251477-0j -0.00367918-0j -7.40778e-05-0j -0.00764679-0j -0.00500089-0j 0.00773594-0j 0.00452245-0j -0.00202873-0j -0.05473-0j -0.00103483-0j 0.0449479-0j 0.0451246-0j -0.0422339-0j 0.000879703-0j -0.000603653-0j 0.0593875-0j 0.0888021-0j -0.040435-0j 0.00183556-0j 0.0521181-0j -0.12487-0j -0.0374166-0j 0.0127558-0j 0.000378658-0j 0.242964-0j 7.08623e-06-0j 0.00454684-0j -0.000303485-0j -0.000304678-0j -0.194729-0j -0.195495-0j 0.000279399-0j 0.000191291-0j 0.179274-0j 0.122741-0j -5.81968e-06-0j -0.000392878-0j -0.00373416-0j 5.46829e-06-0j -0.252088-0j -0.000568817-0j 0.00350869-0j -0.000177033-0j 0.000259004-0j -0.364978-0j -0.000177729-0j -0.113592-0j 0.166188-0j -0.000333839-0j -1.14978e-05-0j -0.114039-0j -0.214206-0j -0.000388181-0j -0.00737747-0j 0.000352048-0j 0.000540429-0j -0.249074-0j -0.000232584-0j 0.22589-0j 0.346763-0j 0.00070194-0j -0.149236-0j 0.450395-0j 0.000142817-0j -3.93357e-05-0j 0.0916374-0j -0.0252395-0j 
-0.00251477-0j 0.00542201-0j -0.00220042-0j -0.00146695-0j -0.00199611-0j 0.00500089-0j -0.000907628-0j -0.00575658-0j -0.00142609-0j -0.00110928-0j 0.0105506-0j 0.0319258-0j -0.0678714-0j 0.0269879-0j 0.0244821-0j 0.0246364-0j -0.0593875-0j -0.0395917-0j 0.0683616-0j 0.0176011-0j 0.0225806-0j -0.0244961-0j 0.0124197-0j 0.0488399-0j -0.0731164-0j -0.123076-0j -0.000220884-0j -0.141729-0j 0.000464763-0j 0.298213-0j -0.00018222-0j -0.000165301-0j -0.11692-0j -0.106064-0j -0.000162983-0j -0.000111587-0j -0.104577-0j -0.0715988-0j 0.000392878-0j -0.000452247-0j 0.252088-0j 0.000358647-0j -0.290181-0j -0.000112743-0j 0.230124-0j -0.000106295-0j -0.000144638-0j -0.0723408-0j -9.64256e-05-0j -0.0682036-0j -0.0928063-0j -7.95537e-05-0j 0.00025623-0j -0.0618709-0j -0.0510452-0j -3.28833e-05-0j 0.164408-0j -0.000417121-0j -5.96603e-05-0j -0.0210994-0j 0.000441558-0j -0.267643-0j -0.0382807-0j -5.68359e-05-0j 0.283323-0j -0.0364684-0j 0.000764497-0j 0.000599251-0j 0.490535-0j 0.384506-0j 
0.0170137-0j 0.0188307-0j -0.0441834-0j 0.00992468-0j -0.0446413-0j 0.0173682-0j 0.00614058-0j 0.0101314-0j 0.010746-0j 0.00626851-0j 0.00163529-0j 0.00226642-0j 0.00247339-0j 0.00191588-0j 0.00193573-0j -0.00519073-0j -0.00642321-0j 0.00144281-0j -0.00374687-0j 0.00124951-0j 0.00178538-0j 0.000892692-0j 0.000736434-0j 0.000901943-0j 0.000407541-0j 8.98544e-05-0j 0.0014944-0j 0.000215698-0j 0.00161413-0j 0.00023298-0j 0.00123281-0j 0.00124559-0j 0.000177941-0j 0.000179785-0j 0.00110266-0j -0.00523615-0j 0.000159156-0j -0.000755773-0j 0.00136448-0j 0.000795944-0j 0.000196945-0j -0.00369681-0j 0.000114885-0j -0.00226382-0j -0.000533588-0j 0.000719142-0j -0.00323471-0j -0.000326755-0j 0.000726594-0j 0.000103799-0j -0.00046689-0j -0.00133425-0j 0.000889892-0j 0.000104875-0j -0.000192582-0j 0.000222473-0j 0.000128445-0j 0.000734124-0j 0.000449557-0j 3.21112e-05-0j 0.000234556-0j 0.000105962-0j 6.4888e-05-0j 0.000321179-0j 3.38552e-05-0j 4.63582e-05-0j 0.000118493-0j 2.26252e-05-0j 1.7103e-05-0j 3.26567e-06-0j 
-0.00300763-0j -0.00332884-0j 0.0078106-0j -0.00175445-0j 0.00789154-0j -0.00307029-0j -0.00108551-0j -0.001791-0j -0.00189964-0j -0.00110813-0j -0.000289082-0j 0.0188911-0j 0.0206162-0j 0.0159692-0j 0.0161347-0j -0.0432658-0j -0.0535387-0j 0.0120261-0j -0.0312309-0j 0.0104149-0j 0.0148815-0j 0.00744077-0j 0.00613832-0j 0.00751788-0j 0.00339694-0j 0.000748955-0j 0.0252564-0j 0.0036339-0j 0.0272801-0j 0.00392506-0j 0.0208355-0j 0.0210514-0j 0.00299781-0j 0.00302888-0j 0.0186358-0j -0.0884948-0j 0.00268132-0j -0.0127326-0j 0.0230607-0j 0.013452-0j 0.00331797-0j -0.0624788-0j 0.00193548-0j -0.0382603-0j -0.00898946-0j 0.012154-0j -0.054669-0j -0.0055049-0j 0.01228-0j 0.00174872-0j -0.00786578-0j -0.0225498-0j 0.0150398-0j 0.00176685-0j -0.00324447-0j 0.00375996-0j 0.00216393-0j 0.0124072-0j 0.00759785-0j 0.000540984-0j 0.00396417-0j 0.00178516-0j 0.00109318-0j 0.00542817-0j 0.000570366-0j 0.000781005-0j 0.00200263-0j 0.000382383-0j 0.000288138-0j 5.50173e-05-0j 
