-0.179135-0.123916j -0.112142+0.153333j -0.0854059-0.196954j -0.261067+0.251294j 0.406151+0.17813j -0.117913+0.488597j 0.421431+0.0231469j -0.00800062-0.188191j 0.0695855+0.146013j 0.114959+0.0476486j -0.0558547-0.121884j 0.00457873+0.0141554j -0.0206275-0.0717907j 0.0530574-0.0124065j 0.0397541-0.0309801j -0.0716796+0.118789j 0.0258806+0.0647342j -0.00210826+0.000566503j -0.0605674+0.00202116j -0.0763457+0.0164424j -0.00381956-0.0317047j 0.0457161+0.06267j 0.0029037+0.00757843j 0.0237679-0.0463205j 0.00274962-0.0459874j -0.013676+0.0087725j 0.0228789-0.038022j -0.00106509+0.00927071j 0.0114512-0.0152648j 0.0301686+0.0353669j 0.0223946+0.0466643j -0.0146001+0.0718328j 0.0547561-0.0167411j 0.00324393+0.0265288j 0.0179418+0.0242593j -0.0723008+0.0262663j 
0.039646-0.0465261j 0.0173806+0.00259748j 0.153392+0.056325j -0.0301099-0.0828015j 0.149501+0.0525926j 0.0994659+0.208084j 0.111356-0.0195277j -0.0273065-0.0449658j -0.133081-0.147016j -0.252932+0.0404186j 0.166856+0.00949831j 0.279572+0.0286261j -0.0518913+0.106707j 0.0481713-0.109539j 0.0865294-0.376762j 0.182838-0.254994j -0.0985736+0.0560319j -0.176219-0.0578668j 0.0170223-0.117736j -0.153942-0.0261812j 0.00190487-0.0058304j -0.120037-0.0953831j -0.00361427+0.00174109j -0.153804-0.0200045j -0.0301069+0.0279726j 0.018929-0.0354932j 0.000586161+0.1381j -0.023743+0.0403937j -0.10361-0.0498852j -0.091138-0.054046j -0.00904326-0.0958113j 0.0806388+0.00950221j -0.095168+0.0824725j -0.197312-0.0288889j -0.00842992-0.0516057j 0.267403-0.0405596j 
-0.115681-0.100083j 0.0506117+0.0111301j -0.130494-0.0400755j -0.0769599+0.0920171j -0.118575+0.0273982j -0.0803669-0.0534498j -0.0483511+0.00987969j -0.316244-0.0349593j -0.0444686-0.355206j 0.0967834+0.029951j 0.263486-0.00554621j 0.155343+0.0795785j -0.00946598+0.0054472j 0.180958-0.4085j -0.00916535+0.224137j 0.0314304-0.0190589j -0.0027122+0.215089j 0.129237+0.0879758j -0.333593-0.0653761j 0.170956-0.0641011j -0.1196+0.00819058j -0.0753748+0.0980658j 0.0340934-0.0836954j -0.0187079+0.0114908j -0.0168251-0.00116322j -0.0627202-0.0749039j -0.0304887+0.0398343j 0.00653746-0.0499492j -0.0423691+0.0465254j 0.021076-0.0190943j 0.150975+0.0529752j 0.00848426+0.0400238j -0.102326+0.021233j -0.00853066-0.0238784j -0.0602358+0.0362512j -0.0466388-0.00224346j 
0.0291256-0.00185606j 0.0289819-0.0175508j 0.0865948+0.0682646j 0.0314486-0.0358438j 0.07364-0.0111825j -0.0412008+0.04626j -0.00614736-0.0312215j -0.0196057+0.0172961j -0.0200939-0.114056j -0.126397-0.0277877j 0.0751249+0.0552402j 0.118738+0.102059j -0.0608092+0.0352732j -0.0134417-0.084028j -0.0679367-0.222282j 0.181481-0.181167j 0.0537461+0.0427184j -0.0651848-0.102097j -0.0251479-0.123023j -0.0175228-0.0583908j 0.141403+0.014632j -0.0893905+0.105281j 0.0393402+0.123028j -0.171842+0.0310854j -0.0318232+0.0392894j -0.16376+0.163149j 0.171085-0.147842j 0.100573-0.0324423j 0.201832+0.0257263j 0.105984+0.0433367j -0.0765783+0.0331913j -0.185153-0.0263249j 0.113381-0.0155636j 0.282098+0.00660401j 0.0707009+0.0286916j -0.298311+0.0437427j 
0.0272454+0.0240345j -0.0237516+0.0201642j -0.046875+0.0129086j 0.0064052-0.0298475j 0.00725679+0.0380747j -0.046971+0.0525837j -0.0806391-0.0437671j 0.0492516+0.115892j 0.000196415+0.0480888j 0.0610793-0.116206j -0.144615+0.00157792j -0.0354721+0.0850643j -0.045889-0.0164727j -0.0689805+0.130261j -0.134664-0.122697j -0.0443423-0.0216705j -0.021965-0.0752234j -0.0693341-0.211782j 0.0699442-0.0881751j -0.194628+0.026526j -0.0587885-0.0449558j -0.234106+0.0764264j -0.0213758-0.0519173j -0.178154+0.247517j -0.0268968+0.0149052j -0.162358-0.113195j -0.119329+0.018276j -0.0458226+0.0176464j -0.0830381+0.0825783j 0.0458118+0.115088j 0.223188+0.0321349j 0.0933349+0.149373j -0.27874+0.037148j -0.054028-0.129338j -0.207733+0.0920523j -0.118908-0.0109839j 
0.0109802-0.0115281j 0.0476474-0.021106j 0.0301364+0.00873098j 0.00914899+0.0135348j -0.0341195-0.0216123j 0.0924537+0.0123321j -0.0280445-0.0227153j 0.000306627+0.0181447j -0.0819389-0.0511197j -0.0284395+0.0569954j 0.0416829+0.0570769j -0.010558+0.0196443j 0.0756691+0.0103954j 0.0226053-0.0107844j 0.100884+0.0633192j -0.0252753-0.0546424j -0.0801109-0.0776797j -0.0197845-0.0508399j 0.0248017-0.0400361j 0.0254155-0.149984j -0.10186-0.182603j -0.0845935+0.0275182j -0.176145+0.137911j 0.14417-0.135948j -0.0151128+0.000946015j -0.0737735+0.266347j 0.242453-0.00148939j 0.0028463-0.0316377j -0.00242338+0.154727j 0.0118017+0.450821j -0.0366098+0.141875j 0.226209+0.388529j 0.14753-0.181329j -0.159476-0.0186023j -0.00570006+0.0640417j 0.00477224+0.039117j 
-0.0275926-0.0219261j -0.0399988-0.0108341j 0.076364-0.0435015j -0.113858-0.0514672j -0.0404713+0.0133363j 0.149647+0.0828987j 0.0488838-0.0560979j -0.0810493+0.109855j -0.0592127-0.0393742j 0.015359-0.0769506j 0.0647868-0.0255545j -0.0113371+0.0824809j 0.0494765-0.113263j 0.0622159+0.00324687j 0.0787571+0.135427j -0.0932206-0.000546309j -0.10713-0.00256318j 0.0685341-0.0829495j 0.0904284-0.0613865j 0.073364+0.0721896j 0.0926019+0.129996j 0.0809486+0.101691j 0.0126794+0.021742j -0.0889711+0.100125j 0.0698692+0.0638685j 0.0408351-0.287899j -0.0269753-0.31227j 0.0903781+0.116124j 0.143738+0.18882j -0.0184677-0.0123541j -0.362527-0.316885j 0.0720132+0.0616663j 0.0210294-0.109229j -0.00918765-0.209722j -0.0731969+0.0606466j -0.000561718-0.00931959j 
0.0325151+0.022986j -0.0205395+0.0903557j 0.0128325-0.0355715j 0.0551978+0.0678034j 0.0329309+0.0149688j 0.0224752+0.0625587j 0.0404687-0.0173629j 0.149577-0.079565j -0.0660686-0.00243983j -0.0487363+0.124385j 0.0125961+0.195466j -0.110967+0.0111327j -0.0158133+0.00713962j -0.12621+0.0440138j 0.0605312+0.0219659j 0.0394396-0.0134349j 0.0245619-0.113279j -0.0129341+0.125931j -0.0769046+0.0247045j 0.24366-0.350456j -0.127019+0.251249j -0.12702-0.106269j 0.0745856+0.180453j -0.0953866+0.357472j 0.159438+0.137662j 0.0116042-0.0796212j -0.0841463-0.0148623j 0.181754+0.141379j -0.220171+0.156863j 0.173319-0.191716j 0.0212765+0.0850056j -0.0584691+0.120762j 0.0466494-0.0240137j -0.105012+0.0495948j 0.0212354+0.0204934j -0.00182471-0.0018312j 
0.129981+0.0155493j 0.012024+0.00744166j 0.177133+0.0671319j -0.0144682-0.0577107j 0.0343116-0.0515234j 0.0966609+0.0130535j 0.108509-0.0509159j 0.242584+0.0505442j 0.0763958+0.0503873j -0.0227584-0.0611844j 0.05084-0.0789502j -0.141503+0.0681025j -0.0261956-0.0182278j -0.0443203+0.0310685j 0.076482+0.0537572j -0.00991409-0.0326011j 0.234551+0.187818j 0.111546-0.0227668j -0.195311-0.0817809j 0.0813098+0.00295853j -0.139871-0.082619j -0.239839+0.0575257j 0.175066-0.0942102j 0.0434136-0.00366248j -0.308373-0.392774j -0.000952708-0.0467367j -0.0626826+0.021623j -0.0360389-0.266383j -0.146174+0.0877488j 0.1315+0.0299394j -0.0252724-0.121054j -0.0339993+0.00576909j -0.000752702-0.0158928j -0.0749149-0.0567994j -0.00718195+0.0269828j -0.0020621+0.0039997j 
-0.0343568-0.0104831j -0.00495246+0.0170318j -0.0601318-0.0400008j -0.0291677-0.0209783j -0.02378+0.0158765j 0.0376463-0.00898747j 0.0114683+0.0175791j -0.0576608+0.0263902j -0.0319967+0.00498083j 0.0347177+0.0038056j -0.0175741-0.0215267j 7.90226e-05-0.0203115j 0.0522203-0.0220587j 0.0325787+0.023593j 0.0302782+0.0811823j -0.0425735+0.0201606j -0.0961486-0.0660298j -0.0593347-0.0151639j -0.00925617+0.0367437j -0.0989054+0.0234008j -0.105589-0.0578403j 0.012787-0.105534j -0.0229129-0.116518j 0.0145194+0.0320261j 0.0326271+0.0233162j 0.0626272-0.119176j -0.077191+0.137225j -0.0611502+0.0449702j -0.0904787+0.0181149j -0.0390972+0.0578345j 0.0771226+0.0069361j 0.168753+0.127514j -0.138034+0.0678034j -0.135558-0.0567952j -0.0162023-0.00981317j 0.145264-0.122638j 
0.0470574-0.0107772j 0.00313886-0.0233693j 0.0923013+0.0289797j 0.0259387-0.0494863j 0.0411246-0.02862j 0.0808781-0.000699824j 0.0405046+0.0427685j 0.0353961-0.0547216j -0.0225751+0.00373614j -0.090546+0.0660102j 0.0773271+0.00337106j 0.0174473-0.0925915j 0.038999+0.0848456j 0.00775643-0.0142779j 0.134835-0.0209003j 0.0464354-0.0209985j -0.0123216+0.0388457j -0.0811342+0.1486j 0.00440565+0.0773108j 0.0414457+0.0408085j 0.013048+0.0484092j 0.0764068-0.104197j 0.0119024-0.0312575j 0.0698891-0.0933916j -0.0298991-0.0485726j 0.0925693-0.0682472j -0.0955311+0.0537475j -0.0228615+0.011059j 0.000668516-0.00472477j -0.00826681-0.0501974j -0.0442052-0.094392j -0.0169755-0.0288472j 0.0587032+0.0143069j -0.0605485+0.00754744j 0.0526681-0.168878j 0.0758661-0.0197788j 
