-0.00841217-0j -0.00599109-0j -0.000864739-0j -0.00344811-0j -0.00348384-0j -0.000609545-0j -0.000615862-0j -5.07954e-05-0j -5.13218e-05-0j -0.00243053-0j -0.00300763-0j -0.000405089-0j -0.00175445-0j -0.000248065-0j -0.000501272-0j -5.06361e-05-0j -0.000306965-0j -0.000292409-0j -2.98376e-06-0j -0.000179063-0j -6.2659e-05-0j -3.69222e-06-0j -3.65511e-05-0j -2.15379e-06-0j -0.00187678-0j -0.00218957-0j -0.000302864-0j -0.00134083-0j -0.00191588-0j -0.000247287-0j -0.000790259-0j -0.000353341-0j -3.56928e-05-0j -0.000216376-0j -3.09109e-05-0j -0.000288502-0j -0.000309173-0j -3.64288e-06-0j -0.00017667-0j -4.16416e-05-0j -0.000127527-0j -1.66274e-07-0j -0.000252439-0j -3.60627e-05-0j -2.55002e-05-0j -2.20838e-05-0j -3.64364e-05-0j -4.25003e-06-0j -0.000104126-0j -3.15549e-05-0j -2.6026e-06-0j -1.93986e-07-0j -1.50293e-05-0j -1.18792e-07-0j -1.30157e-05-0j -3.71878e-06-0j -1.69738e-07-0j -1.53392e-06-0j -7.00134e-08-0j 
-0.0627147-0j 0.000947275-0j -0.0130304-0j 0.000545194-0j 0.000550844-0j -0.0045443-0j -0.00459139-0j -0.00115214-0j -0.00116408-0j 0.000384301-0j 0.000475548-0j -0.00302003-0j 0.000277403-0j 3.92226e-05-0j -0.0037371-0j -0.000763014-0j 4.85354e-05-0j -0.00217997-0j -9.03939e-05-0j 2.83123e-05-0j -0.000944182-0j -0.000111857-0j -0.000550773-0j -6.52497e-05-0j -0.0720495-0j -0.0840577-0j -0.00225792-0j -0.0514746-0j -0.0735505-0j 3.90995e-05-0j -0.030338-0j -0.00263424-0j -0.00053784-0j -0.00161314-0j -0.000230448-0j 4.56161e-05-0j -0.00230496-0j -8.26276e-05-0j 2.79341e-05-0j -0.00062748-0j -0.000950747-0j -6.30322e-06-0j 3.99141e-05-0j -0.000268856-0j -0.000384252-0j -0.00016464-0j -0.000549045-0j -9.63989e-05-0j 1.64637e-05-0j -0.000235249-0j -5.9032e-05-0j -7.35376e-06-0j -0.00022647-0j -4.50324e-06-0j -9.70352e-05-0j -8.4349e-05-0j -6.43454e-06-0j -3.47922e-05-0j -2.65411e-06-0j 
0.00105152-0j -0.0715973-0j 0.000108092-0j 0.000431014-0j 0.00043548-0j -0.00728445-0j -0.00735994-0j 6.34943e-06-0j 6.41523e-06-0j -0.0587666-0j -0.07272-0j 5.06361e-05-0j -0.04242-0j -0.00596008-0j 6.2659e-05-0j -0.000605134-0j -0.00737523-0j 3.65511e-05-0j 3.7297e-07-0j -0.00430221-0j -0.000748815-0j 4.61527e-07-0j -0.000436809-0j 2.69224e-07-0j 0.000234597-0j 0.000273697-0j -0.00732279-0j 0.000167604-0j 0.000239485-0j -0.00295524-0j 9.87824e-05-0j -0.00854325-0j 4.4616e-06-0j -0.00523165-0j -0.000742673-0j -0.00344778-0j -0.00747535-0j -4.35348e-05-0j -0.00211132-0j 5.2052e-06-0j -0.00308342-0j 2.07843e-08-0j -0.00301681-0j -0.000866452-0j 3.18752e-06-0j -0.000530592-0j 4.55455e-06-0j -5.07906e-05-0j -0.00124437-0j -0.000758146-0j -3.11027e-05-0j 2.42483e-08-0j 1.87866e-06-0j 1.4849e-08-0j -0.000312719-0j -4.44417e-05-0j 2.12173e-08-0j -1.83313e-05-0j 8.75168e-09-0j 
0.000701014-0j 0.000499258-0j 7.20616e-05-0j -0.0832509-0j -0.0841136-0j 5.07954e-05-0j 5.13218e-05-0j 4.23295e-06-0j 4.27682e-06-0j 0.000202544-0j 0.000250636-0j -0.00978044-0j 0.000146204-0j 2.06721e-05-0j -0.0121027-0j 4.21968e-06-0j 2.55804e-05-0j -0.00705989-0j 2.48647e-07-0j 1.49219e-05-0j 5.22158e-06-0j 3.07685e-07-0j 3.04592e-06-0j 1.79483e-07-0j 0.000156398-0j 0.000182464-0j 2.52386e-05-0j 0.000111736-0j 0.000159656-0j -0.00597048-0j 6.58549e-05-0j 2.94451e-05-0j -0.000861765-0j 1.80314e-05-0j 2.57591e-06-0j -0.00696556-0j 2.57644e-05-0j 3.03574e-07-0j -0.00426552-0j -0.00100539-0j 1.06273e-05-0j 1.38562e-08-0j -0.00609487-0j 3.00523e-06-0j -0.000615675-0j 1.84032e-06-0j -0.000879718-0j 3.54169e-07-0j -0.002514-0j 2.62957e-06-0j 2.16883e-07-0j 1.61655e-08-0j -0.000362865-0j 9.89933e-09-0j 1.08464e-06-0j 3.09898e-07-0j 1.41448e-08-0j 1.27826e-07-0j 5.83445e-09-0j 
0.0144644-0j -0.000108092-0j -0.0693569-0j -6.22114e-05-0j -6.28561e-05-0j 0.00104809-0j 0.00105895-0j -0.0124852-0j -0.0126145-0j 0.00848223-0j 0.0104962-0j 0.000696533-0j 0.0061228-0j -4.47564e-06-0j 0.000861916-0j -0.00406129-0j -5.53832e-06-0j 0.000502784-0j -0.00147709-0j -3.23069e-06-0j -0.00502559-0j -0.0018278-0j -0.0029316-0j -0.00106622-0j -3.38612e-05-0j -3.95047e-05-0j -0.10073-0j -2.41916e-05-0j -3.45666e-05-0j -4.4616e-06-0j -1.4258e-05-0j -0.117518-0j -0.00286276-0j -0.0719649-0j 5.315e-05-0j -5.2052e-06-0j -0.102828-0j -0.000895395-0j -3.18752e-06-0j -0.00333989-0j -0.0424145-0j -0.000137668-0j -4.55455e-06-0j 6.20083e-05-0j -0.00204525-0j 3.79722e-05-0j -0.0029224-0j -0.00104463-0j -1.87866e-06-0j 5.42573e-05-0j -0.000639701-0j -0.000160612-0j -0.00120543-0j -9.83544e-05-0j 2.238e-05-0j -0.000914049-0j -0.000140536-0j -0.000377026-0j -5.7968e-05-0j 
0.00826338-0j 0.0119329-0j 0.00171691-0j 0.0103704-0j 0.0104779-0j -0.0572449-0j -0.0578381-0j 0.000151808-0j 0.000153381-0j -5.06361e-05-0j -6.2659e-05-0j -0.0574457-0j -3.65511e-05-0j 0.000993347-0j -0.0710855-0j -0.00961175-0j 0.0012292-0j -0.0414665-0j 1.19104e-05-0j 0.000717036-0j -0.0118939-0j 1.47384e-05-0j -0.00693813-0j 8.59741e-06-0j -3.90995e-05-0j -4.56161e-05-0j 0.000297507-0j -2.79341e-05-0j -3.99141e-05-0j -0.0711048-0j -1.64637e-05-0j 0.000347091-0j -0.0102306-0j 0.000212549-0j -0.0058363-0j -0.0829556-0j 0.000303705-0j -0.00104087-0j -0.0507997-0j -0.0119357-0j 0.000125272-0j 8.30522e-07-0j -0.0725861-0j -0.00680902-0j -0.00730907-0j -0.00416966-0j -0.0104437-0j -0.00121434-0j -0.0299403-0j -0.00595789-0j -0.000743631-0j 9.68943e-07-0j -0.00430781-0j 5.93354e-07-0j -0.00245751-0j -0.00106255-0j 8.47825e-07-0j -0.00043828-0j 3.4971e-07-0j 
-6.19615e-05-0j 0.012745-0j -6.36941e-06-0j -2.53977e-05-0j -2.56609e-05-0j 0.0012967-0j 0.00131014-0j -3.74144e-07-0j -3.78021e-07-0j -1.79026e-05-0j -2.21533e-05-0j -2.98376e-06-0j -1.29228e-05-0j -0.101256-0j -3.69222e-06-0j 0.000107719-0j -0.125298-0j -2.15379e-06-0j -2.19775e-08-0j -0.0730903-0j 0.000133296-0j -2.71957e-08-0j 7.7756e-05-0j -1.58642e-08-0j -1.38238e-05-0j -1.61277e-05-0j -2.2308e-06-0j -9.87618e-06-0j -1.41118e-05-0j 0.00052606-0j -5.82081e-06-0j -2.6026e-06-0j -2.62902e-07-0j -1.59376e-06-0j -0.0126173-0j 0.000613737-0j -2.27728e-06-0j 7.7496e-06-0j 0.000375836-0j -3.0672e-07-0j -9.39329e-07-0j -1.22472e-09-0j 0.00053702-0j -0.0147201-0j -1.87827e-07-0j -0.00901421-0j -2.6838e-07-0j 9.0412e-06-0j 0.000221509-0j -0.0128801-0j 5.53658e-06-0j -1.42885e-09-0j -1.10701e-07-0j -8.74985e-10-0j -0.00531278-0j 7.91105e-06-0j -1.25024e-09-0j 3.26314e-06-0j -5.15698e-10-0j 
-0.00209505-0j 1.04012e-05-0j 0.0204523-0j -0.000864204-0j -0.000873159-0j -0.000151808-0j -0.000153381-0j -0.0554282-0j -0.0560027-0j 4.21968e-06-0j 5.22158e-06-0j 0.0145645-0j 3.04592e-06-0j 4.30669e-07-0j 0.0180226-0j 0.00119762-0j 5.32925e-07-0j 0.0105132-0j -0.01345-0j 3.10873e-07-0j 0.00148197-0j -0.0166435-0j 0.000864485-0j -0.00970871-0j 3.25829e-06-0j 3.80134e-06-0j -7.54283e-05-0j 2.32784e-06-0j 3.32618e-06-0j -6.19779e-05-0j 1.37198e-06-0j -8.79997e-05-0j -0.12187-0j -5.38886e-05-0j -7.69837e-06-0j -7.23075e-05-0j -7.69998e-05-0j -0.00397513-0j -4.42791e-05-0j -0.142181-0j -3.17608e-05-0j -0.00189367-0j -6.32691e-05-0j -8.98144e-06-0j -0.087068-0j -5.49998e-06-0j -0.124409-0j -0.00463766-0j -2.60972e-05-0j -7.85876e-06-0j -0.00283997-0j -0.00220928-0j -0.051316-0j -0.0013529-0j -3.24157e-06-0j -0.00405795-0j -0.00193312-0j -0.00167382-0j -0.000797371-0j 
-0.00147626-0j -0.00212049-0j 0.0070787-0j 6.34943e-06-0j 6.41523e-06-0j 0.0205607-0j 0.0207738-0j 0.00127426-0j 0.00128747-0j 4.47564e-06-0j 5.53832e-06-0j -7.10896e-05-0j 3.23069e-06-0j 0.00835003-0j -8.79689e-05-0j -0.0796719-0j 0.0103326-0j -5.13152e-05-0j 0.000150755-0j 0.00602737-0j -0.0985889-0j 0.00018655-0j -0.0575102-0j 0.000108821-0j 3.45594e-06-0j 4.03193e-06-0j -5.315e-05-0j 2.46904e-06-0j 3.52794e-06-0j -8.75249e-05-0j 1.4552e-06-0j -6.20083e-05-0j 0.000292179-0j -3.79722e-05-0j -0.0991598-0j -0.000102112-0j -5.42573e-05-0j -0.0175653-0j -6.25308e-05-0j 0.000340876-0j -2.238e-05-0j 1.40506e-05-0j -8.93483e-05-0j -0.115686-0j 0.000208743-0j -0.0708432-0j 0.000298266-0j -0.0204928-0j -3.68543e-05-0j -0.101226-0j -0.0125493-0j 1.63924e-05-0j 0.000123029-0j 1.00383e-05-0j -0.0417535-0j -0.0179312-0j 1.43434e-05-0j -0.00739626-0j 5.91633e-06-0j 
0.000247335-0j 8.7894e-05-0j -0.00364092-0j -5.29119e-07-0j -5.34602e-07-0j -0.00171342-0j -0.00173118-0j 0.0202385-0j 0.0204482-0j -3.7297e-07-0j -4.61527e-07-0j 1.19104e-05-0j -2.69224e-07-0j 7.31669e-06-0j 1.47384e-05-0j 0.020383-0j 9.05394e-06-0j 8.59741e-06-0j -0.0542394-0j 5.28147e-06-0j 0.0252226-0j -0.0671179-0j 0.0147132-0j -0.0391521-0j -2.87995e-07-0j -3.35994e-07-0j 8.90481e-06-0j -2.05754e-07-0j -2.93995e-07-0j 3.6279e-06-0j -1.21267e-07-0j 1.03889e-05-0j -0.000150282-0j 6.3619e-06-0j -0.000174689-0j 4.23255e-06-0j 9.09032e-06-0j -0.138765-0j 2.5919e-06-0j -0.000175329-0j 3.74957e-06-0j -0.0157823-0j 3.70348e-06-0j -0.000203804-0j -0.000107367-0j -0.000124804-0j -0.000153413-0j -0.161892-0j 1.52761e-06-0j -0.000178328-0j -0.0991383-0j -0.0184127-0j -6.32796e-05-0j -0.0112754-0j -7.35566e-05-0j -0.141656-0j -0.0161111-0j -0.05843-0j -0.00664551-0j 
-1.38505e-05-0j 3.4262e-08-0j 0.00034112-0j 1.97191e-08-0j 1.99235e-08-0j -1.00361e-06-0j -1.01401e-06-0j -0.00383124-0j -0.00387095-0j 1.38998e-08-0j 1.72001e-08-0j -6.66972e-07-0j 1.00334e-08-0j 1.41864e-09-0j -8.25336e-07-0j 1.99748e-05-0j 1.75548e-09-0j -4.81446e-07-0j 0.0321141-0j 1.02403e-09-0j 2.47176e-05-0j 0.0397392-0j 1.44186e-05-0j 0.0231812-0j 1.07329e-08-0j 1.25218e-08-0j -4.9866e-07-0j 7.66799e-09-0j 1.09566e-08-0j 1.41419e-09-0j 4.51935e-09-0j -5.8177e-07-0j 1.408e-05-0j -3.5626e-07-0j -5.08943e-08-0j 1.64989e-09-0j -5.09049e-07-0j -0.000274764-0j 1.01035e-09-0j 1.64267e-05-0j -2.09972e-07-0j -0.168137-0j 1.44365e-09-0j -5.93766e-08-0j 1.00592e-05-0j -3.63606e-08-0j 1.43733e-05-0j -0.000320558-0j 5.95476e-10-0j -5.19546e-08-0j -0.000196301-0j -0.19616-0j 5.9287e-06-0j -0.120123-0j -2.14302e-08-0j -0.000280489-0j -0.17164-0j -0.000115696-0j -0.0707979-0j 
