0.0066194+0.00434067j 0.00468762-0.00438626j 0.000682463-0.00427122j -0.00369205-0.00224194j -0.00013458+0.000431918j 0.00044385+0.00439221j -0.00418858-0.0039555j -0.00142909-0.00258577j 0.00195234+0.000703305j 0.000127374+0.00169517j 0.00552015+0.00590892j 0.00280608-0.000717863j 0.000985008-0.00317791j 0.0017318-0.00474837j 0.00314251+0.00104023j -0.00035279-0.00112751j -0.000531728+0.00224194j 0.000888797+0.00131588j -0.00329348-0.0042411j 0.000283291+0.00189848j 0.0012949+0.000837755j -0.00130813+0.00115577j -0.0013333-0.0019143j 0.00183977-0.00226146j -0.00042292+0.00173502j -0.000683391-0.00368167j -0.00349434-0.00571894j 0.0011992-0.000189474j -0.000569114-0.00269753j -0.000598182+0.000388773j 0.000164931-0.000548084j -0.00290988-0.00287876j 0.000595326-0.00261774j -0.00163192-0.00212543j -0.00200241-0.000741371j -0.00416744+0.000645806j -0.00105372+0.00114468j -0.00110199-0.00417462j 0.000918882-0.00136992j 4.05396e-05-0.00137193j -0.00366818-0.0017709j 5.64458e-05-0.00287781j 0.00441791+0.00279564j -0.00181224-0.0035835j 0.00413102-0.000254339j 0.00187171-0.00246112j -0.00200118-0.00219906j 0.000599819+0.00141175j 0.000947383-0.00232942j -0.00238604+0.00178085j 0.00460394+0.00801742j 0.000108664+0.00285365j 0.00367486+0.00272099j -0.00405813-0.00247709j 0.000713323-0.00607603j 0.00704758-0.00634177j -0.00429598-0.0100734j -0.00671024+0.00136214j -0.00528979-0.01449j -0.00866227-0.00857226j -0.00669142+0.00420461j 0.000130119+0.00271095j 0.00960944+0.00388315j 0.0032052-0.00211437j 0.0053222+0.0023242j -0.0110848-0.00101287j 0.00775226+0.00341064j 0.075423-0.00319179j 0.0170087+0.0517706j 
0.00617653-0.00400552j -0.00585711-0.0055856j -0.00481003-0.00342768j -0.00144161+0.0036412j 0.00204189+0.00133512j 0.00304052+0.00330654j 3.34911e-05+0.00472875j -0.00217381-0.00245436j 0.00216405+0.00411897j -0.00346297-0.000256475j -0.00235721-0.000824483j 0.00285601+0.00430713j 0.00339188-0.00275626j 0.000408052+0.00489235j 0.00223297+0.00479196j 0.0040167+0.00267587j -0.00354696-0.00175828j 0.00183524-0.0020069j 0.00263779-0.00166415j -0.000744349+0.00119079j 0.00149804+0.00148545j 0.000984173-0.00221317j 0.00120485+5.44282e-05j 0.00148767+0.00190329j -0.00387701-0.00293788j 0.00251527-0.00197376j 0.00176089-0.000622322j -0.000517235+0.00168591j 0.00359946+0.000947738j 0.000303082-0.000107147j 0.000182464+0.00192875j 0.000398886-0.00350677j 0.000297313+0.000102732j 0.000982069-0.00204293j -0.00205621-0.000796035j -0.000265558-0.00305833j 0.00106518-0.00309623j 0.00332651-0.000582541j 0.00182102-0.00025592j 0.000415759+0.000588933j -0.00109156-0.00400737j -0.000259867+0.000268068j -0.000961761+0.00256601j 0.000425264-0.00408255j 0.00302142+0.00560331j 0.00119793+0.00570556j 0.00166582-0.000888414j -0.000215184-0.00100686j 0.00244127+0.00260208j 0.000451983-0.00350087j -0.00349206+0.00337108j -0.00074536+0.00172619j 0.00149312+0.00599071j -0.00182944-0.00348896j 0.00662977+0.00592972j 0.00369478+0.0113935j 0.00438058-0.007637j -0.00536901-0.0131561j 0.00979318+0.00316236j 0.00259748-0.00743888j -0.00866121-0.00943602j -0.00651786-0.00288259j -0.00389522+0.000323891j 0.0124856+0.00345095j 0.00299515+0.00207204j 0.00564363+0.00245143j 0.0143451-0.000294312j -0.0172301-0.0533022j 0.0797171-0.00315696j 
0.00270933+0.0040704j 0.00525468-0.000496202j -0.00369388-0.00101723j -0.000646126+0.00390772j -0.00212612-0.00637997j -0.000690703+0.00185071j -0.00468624+0.00221544j -0.00442528+0.00217663j -0.000173378+0.00390612j 0.00405976+0.00700895j 0.00592959-0.00225178j -0.0024739-0.00403959j -0.000736467+0.000995951j 0.000109361+0.000325797j 0.000816416+0.00200233j -0.000175441-0.00149689j 0.000378019+0.00242358j 0.00165563+0.000291279j -0.0017662-0.00137053j -0.0032913-0.000817871j -0.00189758-0.000706185j 0.00270468-0.00294141j -0.00345507+0.00162467j -0.00230001-0.00195662j 0.00190176+0.00440206j 0.00295606+0.0027326j -0.000575046-0.00265964j -0.000651047+0.00043874j -0.00156432-0.00137867j 0.00081702-0.00123346j -0.000304861+0.00090075j -0.00118487-0.00372876j -0.00144143-0.00429199j 0.00343944-0.00495539j -0.00877373+0.00147959j 0.00293531+0.00124469j 0.00351001-0.00141902j 0.000953344-0.00228233j 0.00155358+0.00245569j -0.000526659-0.000782473j -0.000365101-0.00235466j -0.000972189-0.000442166j 0.00200334+0.0101612j -0.00366852-0.0050138j -0.00171475+0.00224815j -0.00274998-0.000453037j -0.00293208+0.00408415j 0.000869753+0.0119336j 0.000490108+0.00343335j -0.00460852-0.0191166j 0.000456786+0.00482154j 0.000822482-0.00371168j -0.00210039+0.00264489j -0.00556288-0.00420446j 0.00786423+0.0029842j -0.00550479+0.00920294j 0.00445271+0.0158331j 0.0153142+0.00932878j -0.0150164+0.0105582j 0.0185122+0.0180529j 0.00688768-0.0041279j -0.00895179-0.00633833j 0.0070551-0.00682176j -0.00432817+0.00414902j -0.0115023+0.000392872j 0.000880055+0.0436636j 0.0777197+0.00856127j -0.0230755-0.0212j -0.0667586+0.00762974j 
-0.00613706+4.54464e-05j 0.00281136+0.00441997j 0.00350663-0.00205205j -0.00615132+0.000861976j 0.00406149-0.000448836j -0.00570448-0.00477935j -0.00192012+0.000470743j -0.0010001-0.00212591j -0.00891584-0.00491797j -0.00151636-0.00185662j -0.00166842-0.00110323j -0.00394415-1.78273e-05j -0.000212905+0.00228363j -0.00276883-0.000929232j -0.00208098-0.00072931j 0.00238315+0.00164135j 0.00118961+0.000699096j 0.00268099+0.0035284j -0.0042929-0.00297056j 0.00282249+0.00730864j -0.000431039-0.0022776j -0.00189509-0.00625071j 0.00280762+0.00161681j 0.000447253+0.00182584j 0.00243362-0.000751895j -0.000700183-0.00414864j -0.00277068-0.00555007j 0.00445075+0.00281394j 0.000575756-0.00157737j 0.00159555+0.00253568j -0.000465227-0.002555j -0.000494321-0.000866882j 0.000142018+0.000725845j -0.00227143-0.00362733j -0.00226456+0.00849415j 0.0023927-0.00566671j -0.00145176-0.00248692j -0.0019704-0.000193465j 0.00107328+0.000106941j 0.00282845+0.000560538j 0.000671951+0.00201252j -0.0026946-0.00223131j 0.00727456+0.000535675j -0.00152937-0.000520281j -0.000190347+0.0015685j -0.000274279+0.000159415j 0.00371338+0.00454222j 0.0047573-0.00302254j 0.00123123-0.0050748j -0.00992689+0.0014206j 0.00392837+0.00383367j -0.00821585-0.00352244j 0.000101052+0.00147419j 0.00556517+0.00598958j -0.000687637-0.00468595j 0.00981261+0.0144598j 0.0123361-0.000659822j 0.00286153-0.0117459j 0.0101373+0.0148588j 0.0163592-0.00455322j -0.0128971-0.0135136j 0.00825314-0.00246071j 0.00421175+0.00207807j 0.00637117+0.005359j -0.00927488+0.00112984j -0.0581254-0.0105136j 0.00250997+0.0524458j -0.0649012+0.00861892j 0.0242936+0.0195913j 
-0.00328111-0.000791033j 0.00216959+0.00107694j -0.00157025-0.00271354j 0.00137171+0.00527937j -0.00503047-0.00370339j -0.00461859+0.00216258j -0.00220824+0.00273832j 0.00258002+0.000230856j -0.00293713-0.00117376j 0.00345391+0.000325579j 0.000885981-0.00438039j -0.00591177-0.000941319j -0.00095763+0.00110111j -0.00305232-0.00375058j -0.0026098-0.00108662j -0.00384514+0.000282069j 0.0035359+0.000697335j 0.000924809+0.00467636j 0.00193125+0.000821121j -0.00664681-0.00354576j -0.00084558-0.000316111j 0.00296561+0.000685596j -0.0021478+0.00263835j -0.00160344-0.00147498j 0.00258112-0.00140186j -0.00115089-0.00303267j -0.00126275-0.00879682j -0.000431687+0.000323096j -0.00392533-0.000193481j -0.000966143+0.00124226j -0.00284984-0.00176513j 0.00139661-0.00442439j -0.000419081-0.00359051j 0.00114176-0.000714825j -0.00442036-0.00341498j 0.00116988+0.00211591j 0.00203865+0.0055105j 0.00217056-5.34944e-05j 0.00262218-0.00155587j -0.00202025-0.0070352j -0.00149242+0.00392099j 0.00126766-6.63764e-05j 0.00350797-0.010595j -0.00552579-0.00487516j -0.00424716-0.0108053j -0.00464929-0.00870912j -0.00251334+0.00389386j -0.00172996-0.0087919j -0.00444759-0.0142575j 0.00105009+0.00598942j -0.00674014+0.0112749j 0.000953866+0.00504471j -0.0045051+0.00466149j -0.00462103+0.00851292j -0.00567998-0.0199161j 0.00727156+0.00836085j 0.00988855-0.0290097j 0.0149824-0.0234156j 0.0133099-0.00414265j 0.00730902-0.0350844j 0.00108955-0.00760807j -0.0107345+0.00205511j 0.0136998+0.00872956j -0.0324048+0.00875603j 0.0356333+0.0511739j -0.0525888-0.00589139j -0.0177277-0.00695367j 0.0222764-0.00540329j -0.0294976+0.000302353j 
0.00311813-0.00115178j -0.00412907-0.00441063j -0.00471535-0.00606394j -0.00326941+0.00270598j 0.00416462-0.00264913j -0.00578491-0.00130894j 0.00587922-0.00314123j -0.00392618-0.00145411j -0.000119325+0.00337749j -0.00106888-0.00592128j -0.00686364+0.0061853j -0.00257814+0.000858321j 0.00417514+0.00346398j 0.00249286-0.00351125j 0.00350603+0.00621531j 0.00684361+0.00464707j -0.00039298+0.00369769j 0.00215859+0.00813261j 0.0018313+0.0004853j 0.000705475+0.000399156j -0.000609297+0.00318463j -0.00282487-0.00128499j 0.00537286+0.0039037j -0.000530527+0.00201716j 0.000966429-0.00813999j 0.00461958+0.00239981j 0.00180315+0.00171377j 0.00128176-0.00488714j 0.00467914+0.00590121j 0.0021734+0.00133793j 0.00354349+0.00223926j 0.000614764-0.00402023j -0.00367541-0.00295024j 0.00331386-0.00447164j 0.00165911+0.00653866j 0.00759929-0.00435675j -0.000130111-0.00192086j 0.00422657-0.00370788j -0.00293675-0.00708638j 0.00252198+0.00171217j 0.00316821+0.00838749j 0.00306057-0.00347441j -0.00644728-0.0021156j 0.0016633+0.00706294j -0.00173906+0.00533405j -0.00467894-0.00741516j 0.00767278+0.015199j 0.00400109+0.00828179j -0.000853384-0.00548906j -0.0135175+0.00605523j -0.00342614+0.00432729j 0.00165309-0.00553705j -0.000720292+0.00356886j 0.00979097+0.00438274j -0.00844693-0.00705406j -0.000426832-0.0276316j -0.00157697-0.00574051j 0.00269692+0.0167531j 0.0161288-0.0283458j -0.00764769-0.000838867j -0.0147724+0.0205972j 0.00704644-0.00196717j -0.0280702+0.00889426j -0.0183808-0.0465207j -0.0526643+0.00909416j -0.0464412+0.00192995j -0.00974436-0.0237247j -0.0504775-0.0019438j -0.0114986+0.00141784j 
0.00432122+0.00417246j 0.00415004-0.000284177j -0.00474616-0.000738053j -0.000408387+0.000277467j -0.000760969+0.000563703j 0.00587692-0.00256349j 0.00198105+0.00100813j -0.000904035-0.0044599j 0.00313297+4.66907e-06j 0.00768856+0.00606254j 0.00147672-0.000790587j 0.00545361+0.000137372j -0.00155454-0.00149818j 0.00212984+0.0025768j 0.00538666+0.00297533j -0.00073044+0.0013216j -0.000912618-0.000258348j -0.000277272-0.00192687j 0.00396598+0.00236316j -0.000395322+0.00593442j 0.00343688-0.00219086j -0.00167889-0.000943094j 0.00116903-0.00341287j 0.00271123+0.00130308j -0.000455928+0.000177544j 0.00111089-0.00532222j 4.44323e-05+0.0037844j -0.00387218-0.00295204j 0.00128828-0.00632674j 0.000748638+0.00366158j 0.002391-0.00466733j 0.000137995+0.00820007j -0.00180247+0.00152205j -0.00247932+0.000814511j 0.0058349-0.00861095j -0.00686212+0.000686229j -0.000765985-0.00162169j -0.00126833+0.00414495j -0.00342507+0.00362239j -0.00309786+0.00228606j 0.000200224+0.000204688j 0.00228214-0.00600823j -0.000304571+0.00384162j -0.00158184-0.0031126j 0.00302527+0.00854936j -0.00335973-0.00286665j 0.00846051+0.00365277j -0.000425798-0.00708977j -0.00552573-0.0110013j 0.00974912+0.0229349j 0.00479807+0.00268998j -0.00399521-0.00647555j 0.015395-0.00271274j -0.00436035+0.00688452j -0.0142519-0.0215657j -0.00291783+0.00581331j 0.0111039+0.0196234j 0.0015309+0.00442175j -0.00230106+0.0339757j 0.000874304+0.00163809j 0.00534142-0.00661545j -0.00765055+0.0114425j -0.0370835-0.0446639j 0.0481599-0.00738701j 0.0297056+0.000918368j -0.0718831+0.0148133j -0.0272463-0.0176003j 2.4228e-05-0.001354j 0.0306572-0.0044314j 
-0.00472048+0.00219238j 0.00537924+0.00227739j 0.00199233-0.00628105j -0.00798185+0.00199525j 0.000809196-0.00196182j -0.00302391-0.00196397j -0.00289484+0.00389648j 0.000418044+0.00211328j -0.0109121-0.000804557j -0.00204539+0.00140732j 0.00216064-0.00196466j -0.00192545+0.00163613j 0.000767004+0.000755638j -0.00695983-0.00447361j -0.000719169-0.00103836j 0.000536176-0.006034j 0.00132766+0.00304838j 0.00386882-0.00146569j -0.00452254+0.00613747j 0.00361422+0.00548206j -0.000207371-0.00344197j 0.00164352-0.00546074j 0.00185668+0.00115724j 0.00363158-0.000317867j -0.0012331+0.00200594j -0.00729978-0.00615916j -0.0047272-0.00903787j 0.00149372+0.00138848j -0.0016501-0.0043641j 0.00347581-0.0014966j -0.00455692+0.00107444j 0.00326342-0.00313552j 0.00318333+0.00233648j 0.000759717-0.000423506j -0.00712631+0.000809241j 0.00307777+0.000864547j 0.000158939-0.00404555j -5.50294e-05-0.00749415j 0.00168623-0.00193927j 0.00167405+0.00181033j 0.00554764-0.00216572j -0.00499535-0.00578505j 0.000930446+0.0130925j -0.000658627+0.0030231j 0.000265356+0.00861044j -0.00393793+0.0084716j 0.00369122-0.00776786j -0.0122713+0.00986609j -0.0139171+0.00552018j 0.0230664-0.0040926j 0.00125447-0.0129992j -0.0164347-0.00986382j -0.00393393-0.00984108j 0.0197701+0.00564727j 1.89396e-06+0.0336447j 0.00120349-0.00427714j -0.00148706-0.0028822j -0.0136794-0.0135399j 8.16829e-06-0.0055531j -0.0010538-0.00343525j -0.00457656+0.00920304j -0.0141239-0.0360214j 0.0437536-0.0168118j 0.04746+0.011123j -0.0575808+0.00289068j 0.0149992+0.0287979j -0.0619841+0.00540948j 0.00702736-0.00540084j -0.00108549+0.00150408j 
0.00367865-0.001937j -0.00255622+0.000465233j -0.010496+0.00028941j 0.00306841+0.00334437j -0.00322409+0.00117916j 0.00380964-0.000178305j 0.000888117+0.00165101j -0.000960274-0.00619062j 0.00212312-0.00610583j 0.00458511+0.00374569j -0.0044741-0.00429978j 0.00121217+0.00256722j -0.00356583+0.000698308j 0.000416341+0.00706352j 0.0033592-0.000926602j 0.00210415+0.000583119j -0.000297521-0.00103711j 0.00399493+0.000282687j 0.00685409-0.00459143j -0.00886706-0.00161693j 0.00309956+0.00292568j 0.000424038-0.000208071j -0.00148409+0.00151637j -0.00167529+0.00408103j -0.00243885-0.000797392j 0.000940187-0.00469252j -0.00149246-0.00336943j -0.00120299+0.00268153j -0.0019141-0.000770116j 0.00296141-0.00220851j -0.00351987-0.00211617j -0.000116521+0.00465866j -0.0065447+0.00229597j 0.00337011-0.000866503j 0.00503896+0.00011141j 0.00777595+0.00542122j 0.00487159-0.00130688j 0.00460241+0.01056j 0.00046989+0.00799415j -0.0087806+0.00301481j -0.00296487-0.00807001j -0.00153111+0.00842246j 5.78788e-05-0.000861786j -0.0186861-0.00643497j -0.0109944-0.00279922j -0.0121017-0.00709697j 0.00965205+0.00437289j 0.00405349-0.0117713j -0.0111818-0.00613869j -0.000708593+0.000788295j 0.00430439-0.0242167j 0.00281479-0.0126756j 0.00836714-0.0136251j -0.00599871+0.0265412j -0.0150933+0.0228886j 0.00925072-0.00463646j -0.0165927-0.00995962j -0.00255245-0.0368458j 0.0042971+0.015461j 0.0139648-0.0122748j 0.00209939+0.0183105j -0.066444+0.00788537j 0.00298607-0.00893407j -0.0367733-0.00426244j -0.00622616-0.0099986j -0.00777326+0.000288054j 0.020447+0.00182639j -0.0102935+0.00126196j -0.00938281-0.0113618j 
0.00314701-0.00193836j 0.000544943-0.00301692j 0.00451787-0.00328157j -0.0079709-0.000923879j 0.00341593+0.000836945j -0.00205616+0.00210961j -0.010149-0.000885748j -0.000672006+0.00134172j 0.000555728-0.00387553j -0.0149376-0.00629335j 0.00791841+0.00236097j 0.0011176+0.000978037j 0.000905503-0.00779918j -0.00895532+0.000544735j 0.000972681-0.00191762j 0.00493255+0.000896129j -0.000139143+0.00223326j 0.00925212+0.000159121j -0.00472774-0.00717205j -0.000598742+0.00215242j 0.00353626+0.000271382j 0.000993937-0.00789452j 0.000879138+0.00175857j 0.00189369+0.000288777j -0.00752401-0.00568878j -0.00586639-0.00404639j -0.0074659-0.00197602j 0.00549162+0.00510922j 0.00317748+0.00330604j 0.00254882+0.00370675j -0.00454362+0.00685192j -0.000461225-0.00632901j -0.00231195-0.00250828j -4.99294e-05-0.0042915j -0.00430614-0.00131079j -0.00258723-0.00472802j 0.00679931-0.00137019j 0.00653754+0.00233482j 0.0100521+0.00254707j 0.00399009+0.0153434j -0.00342875-0.00949994j -0.00680107+0.00224849j -0.00493544-0.00306412j -0.00969741-0.00263279j -0.0041626+0.0159128j -0.00940058+0.00426464j -0.000200894+0.00821197j -0.0113104-0.0105903j -0.00361237+0.00817478j 0.00392528+0.0045216j 0.00285549-0.00576456j -0.00179873+0.00499316j 0.00309365+0.0196251j -0.00490493-0.0140651j 0.00637613+0.0158453j -0.0200248-0.00370707j -0.0142308-0.0250453j 0.0177075-0.0130099j -0.0204975-0.0198954j 0.0122496+0.0145991j -0.0475032+0.00046526j -0.0205323-0.0177618j -0.0381626+0.00247988j -0.0116895+0.00709091j 0.0148717-0.0099111j -0.00531296-0.00441493j 0.0012903+0.0106694j -0.012596-0.0110143j 0.0109497-0.00313413j 
0.00272432-0.00108833j -0.00326502-0.00156143j -0.00424101-0.00423389j -0.00456683+0.00378949j 0.00490666-0.00308867j 0.0042857+1.13686e-05j 0.00209603+0.00541166j -0.00477166+0.00234246j -0.00539822-0.000585905j -0.00862205+0.00256146j -0.00568331+0.00220387j 0.00107052+0.0034091j -0.00145648+0.00160245j 0.000251226+0.00130834j -2.56631e-05+0.00140432j 0.00386645+0.000754931j -0.00534209-0.00584777j -0.00307277+0.00111381j 0.000399192-0.00544071j 0.00665207+0.00516734j -0.00354581-0.00353909j -0.00257516-0.00713305j 0.00315639+0.00163723j 1.23789e-05+0.00238377j -0.00695579-0.0056772j -0.00183017+4.2576e-05j 0.00513498-0.00522397j 0.00188764+0.0133658j -0.00238836+0.0041056j 0.00217368-0.000343848j -0.00241056-0.00106199j 0.00510916-0.00677428j 0.00430468+0.0033173j 0.00387938+0.000712432j -0.000996373+0.00658612j 0.0154636-0.00333102j -0.000939429+0.0080022j 0.00064106+0.00645087j 0.00287336+0.0097259j 0.00177652-0.00327529j 0.00374428+0.000185858j -0.0151459-0.014208j -0.00673162-0.0106674j 0.00542117-0.000592189j -0.00876831-0.0217841j 0.0136032-0.00292051j -0.0135746-0.00490113j 0.00974204-0.0123932j 0.00688946-0.00584382j 0.0077269+0.0104194j 0.00161059-0.00613268j 0.0074478+0.00952625j -0.0129424-0.00245138j 0.00236144+0.000443151j 0.0199747-0.0259761j -0.00769631+0.023176j -0.0391447-0.0144021j -0.00806505+0.000999248j 0.0162353+0.0168153j 0.0370312-0.021104j 0.00553827+0.017355j 0.0599294+0.00606634j 0.0461152-0.0080325j 8.09365e-06-0.0168294j 0.0252093+0.0135411j 0.043681+0.00509166j -0.0198299+0.00127779j -0.015119-0.00185432j -0.00404937-0.00737649j 
