0.201998-0j -0.0147314-0j 0.0256009-0j 0.100971-0j -0.0121528-0j 0.00176305-0j 0.014729-0j 0.0148816-0j -0.000759549-0j -0.00076742-0j 0.00174497-0j 0.0582959-0j 0.0589-0j -0.00744203-0j -0.00751915-0j 
-0.968484-0j -0.0015191-0j -0.0051002-0j 0.000429507-0j -2.55753e-05-0j 0.0248932-0j -0.0706186-0j 0.0684382-0j -7.83245e-05-0j 7.59061e-05-0j -0.0256863-0j 0.0121508-0j -0.0117756-0j -0.00076742-0j 0.000743725-0j 
0.0015191-0j -0.999838-0j 2.61027e-06-0j -0.00297571-0j 0.000177191-0j -6.32551e-06-0j -0.0105229-0j 0.010198-0j -0.103646-0j 0.100446-0j 6.52704e-06-0j 0.00088614-0j -0.000858779-0j 0.00531684-0j -0.00515268-0j 
-0.176713-0j -9.04413e-05-0j -0.656283-0j -0.00180909-0j 7.15649e-05-0j -0.145625-0j -0.0128853-0j 0.013008-0j -4.66314e-06-0j 4.70754e-06-0j 0.144252-0j 0.00108893-0j -0.0010993-0j -4.56893e-05-0j 4.61243e-05-0j 
0.174901-0j 8.95137e-05-0j -0.677192-0j -0.00186673-0j 7.3845e-05-0j -0.144252-0j -0.0122326-0j 0.0128853-0j -4.42693e-06-0j 4.66314e-06-0j 0.136945-0j 0.00103377-0j -0.00108893-0j -4.33749e-05-0j 4.56893e-05-0j 
0.014729-0j 0.102046-0j 0.00186673-0j -0.699437-0j -0.00088614-0j 0.000128556-0j 0.0978646-0j -0.103086-0j -0.0101465-0j 0.0106879-0j -0.000122044-0j -0.00407724-0j 0.00429479-0j 0.000520499-0j -0.000548271-0j 
-0.0148816-0j -0.103103-0j 0.00180909-0j -0.677841-0j -0.000858779-0j 0.00012978-0j 0.103086-0j -0.104068-0j -0.0106879-0j 0.0107897-0j -0.000128556-0j -0.00429479-0j 0.00433568-0j 0.000548271-0j -0.000553491-0j 
0.000877051-0j 0.00607639-0j 7.3845e-05-0j 0.00088614-0j -0.716825-0j 3.80744e-06-0j -6.13414e-05-0j 6.46144e-05-0j -0.00030051-0j 0.000316545-0j -3.61458e-06-0j 0.0701745-0j -0.0739188-0j -0.00294439-0j 0.00310149-0j 
-0.00088614-0j -0.00613936-0j 7.15649e-05-0j 0.000858779-0j -0.694692-0j 3.84369e-06-0j -6.46144e-05-0j 6.52296e-05-0j -0.000316545-0j 0.000319558-0j -3.80744e-06-0j 0.0739188-0j -0.0746227-0j -0.00310149-0j 0.00313102-0j 
