0.335394-0j -0.0315821-0j -2.82969e-05-0j -2.48213e-09-0j 0.00380161-0j 1.6779e-06-0j -2.8082e-08-0j -0.000277251-0j -4.21231e-08-0j 1.27344e-05-0j -3.36985e-07-0j 
-0.000551609-0j 0.276803-0j -0.0351512-0j -1.56072e-05-0j -0.00797912-0j 0.00208953-0j 6.15247e-07-0j 0.00180319-0j -8.76727e-05-0j -0.000166931-0j 7.38296e-06-0j 
1.02822e-07-0j -0.0003507-0j 0.197801-0j -0.0252502-0j 1.55529e-05-0j -0.0117162-0j -5.22054e-06-0j 0.000107377-0j 0.00149569-0j 0.000465548-0j -6.26465e-05-0j 
-2.83562e-05-0j -0.000302653-0j -0.000588366-0j -5.32819e-07-0j 0.24311-0j -0.0204732-0j 0.00173008-0j -0.00576478-0j -9.04225e-06-0j 0.00108658-0j -7.2338e-05-0j 
2.86611e-09-0j -7.30606e-06-0j -0.000176268-0j -0.00105946-0j -0.000124423-0j 0.141842-0j -0.0119864-0j 9.04225e-06-0j -0.00595142-0j 7.92423e-05-0j 0.000501172-0j 
-1.00744e-06-0j -1.79903e-05-0j -0.000107377-0j 4.52112e-06-0j -0.000152386-0j -0.00060102-0j 5.11507e-05-0j 0.200946-0j -0.0146547-0j -0.00456142-0j 0.000613808-0j 
-2.17523e-08-0j -5.83674e-07-0j -7.00409e-06-0j -2.80164e-05-0j -6.60352e-06-0j -7.92423e-05-0j -0.000316969-0j -6.86258e-05-0j -0.000475454-0j 0.143736-0j -0.00380363-0j 
