-0.228265-0j -0.163081-0j -0.266309-0j -0.233021-0j -0.0961162-0j 0.114869-0j -0.0271801-0j -0.0332887-0j -0.0237826-0j -0.0274618-0j -0.0196196-0j -0.00626857-0j 
0.210536-0j -0.438964-0j -0.476213-0j -0.20615-0j 0.0886509-0j 0.0271801-0j 0.0466194-0j 0.0307032-0j -0.0640156-0j -0.0491069-0j -0.0173572-0j 0.00578169-0j 
-0.75251-0j 0.184219-0j 0.00613936-0j -0.252481-0j -0.316861-0j 0.0332887-0j 0.0307032-0j -0.00223961-0j 0.000548271-0j -0.0297552-0j -0.0429686-0j -0.0276018-0j 
-0.184219-0j -0.110563-0j -0.00438617-0j -0.526419-0j 0.226376-0j -0.0237826-0j 0.0640156-0j -0.000548271-0j -0.000329057-0j 0.0212581-0j -0.0895887-0j 0.0197197-0j 
-0.212718-0j -0.151973-0j -0.461509-0j 0.216969-0j -0.419049-0j -0.0274618-0j 0.0491069-0j 0.0297552-0j 0.0212581-0j -0.0495745-0j -0.0160902-0j -0.0607299-0j 
0.151973-0j -0.316861-0j -0.343748-0j -0.130958-0j 0.0787166-0j 0.0196196-0j -0.0173572-0j -0.0429686-0j 0.0895887-0j 0.0160902-0j -0.0478157-0j -0.0522468-0j 
-0.0485561-0j -0.0346902-0j 0.220815-0j -0.51531-0j 0.379141-0j -0.00626857-0j -0.00578169-0j 0.0276018-0j 0.0197197-0j -0.0607299-0j 0.0522468-0j -0.0649051-0j 
