0.00803566+6.245e-17j -0.0165967-0.00466782j -0.0282674-0.0157655j -0.0565728-0.0137836j -0.0248398+0.00228619j 0.0205536+0.0230914j -0.0231103+0.0073629j 0.0487196+0.0345j 0.0372658-0.00986472j 0.0436642-0.00212762j 0.00689269+0.0317754j 0.0557352-0.0186073j -0.000749333-0.04288j 0.114615+0.0424283j -0.0210418+0.00205008j -0.112823+0.014109j -0.026677-0.0133532j 0.165397-0.241162j 0.145516+0.119288j -0.0992167-0.455681j 0.0365043-0.131184j 0.0774957+0.123363j 
-0.0165967+0.00466782j -0.122149+1.38778e-16j -0.0296045-0.0147213j -0.172962-0.0302998j -0.0370405+0.0428551j -0.0102008-0.0113856j -0.0278216+0.0137767j 0.0722028+0.0918486j 0.104253+0.000362041j 0.0277874-0.0595273j -0.0677163-0.0315211j 0.0394849-0.0280646j 0.0524663-0.107525j 0.0283799+0.140687j -0.104998-0.00953171j 0.000578594-0.0913933j -0.0938245-0.349221j -0.00256638-0.0316667j -0.184028+0.115915j -0.299068+0.0762339j 0.0130762+0.374416j 0.0366794-0.13076j 
-0.0282674+0.0157655j -0.0296045+0.0147213j -0.0200726+4.71845e-16j -0.00136099-0.0175014j -0.0190388-0.0564134j 0.0290699+0.0141042j 0.0240334-0.124503j -0.0603664-0.0134619j 0.0295062+0.0370334j 0.0207454+0.105387j 0.0622202+0.0537663j 0.0405048+0.261006j 0.118339+0.181524j 0.00692212+0.112526j -0.0173313+0.0144368j 0.057711+0.134368j -0.238588-0.0403883j -0.200845-0.054809j -0.0455982+0.0751736j 0.0532652-0.299757j 0.298917-0.0768081j 0.0991068+0.45597j 
-0.0565728+0.0137836j -0.172962+0.0302998j -0.00136099+0.0175014j -0.0872127-6.66134e-16j -0.0391829+0.069542j -0.0352189-0.0535954j -0.0473471-0.00228562j -0.0569621+0.078187j -0.0483822+0.0432008j -0.0223385-0.0468996j -0.0885696-0.135675j -0.0326298+0.030121j -0.0012586+0.0455004j -0.205282+0.0858845j 0.300127-0.0333232j -0.127881+0.00824561j -0.315015+0.0762155j 0.0213768-0.0430053j 0.120081-0.470886j -0.0458711+0.0749698j 0.18464-0.114702j -0.144622-0.119596j 
-0.0248398-0.00228619j -0.0370405-0.0428551j -0.0190388+0.0564134j -0.0391829-0.069542j -0.000699688-8.32667e-16j 0.0699792-0.123915j 0.0418201-0.0496543j -0.074021+0.0223348j 0.0260381+0.0814805j 0.0289905-0.153448j 0.181826-0.0415836j 0.0624251-0.0726885j 0.279086-0.0442119j -0.0169936+0.0886983j 0.0464232+0.0444807j -0.00941877+0.0486758j 0.0905737-0.0290298j 0.0995223+0.465616j -0.0222528+0.0454503j 0.200625+0.0540556j -0.00247387-0.0300941j 0.166281-0.240313j 
0.0205536-0.0230914j -0.0102008+0.0113856j 0.0290699-0.0141042j -0.0352189+0.0535954j 0.0699792+0.123915j 0.0519852+1.11022e-15j -0.0047952+0.0636848j 0.102629+0.0690425j -0.103814-0.135703j 0.0696419-0.0490909j 0.0537726+0.000425041j 0.0156216+0.0248575j -0.0910999+0.0821431j -0.150999-0.0120398j -0.181631+0.0594176j -0.053769-0.0767103j 0.162504+0.197593j 0.0902896-0.0270417j 0.314598-0.0778956j 0.239246+0.0416596j -0.0937106-0.349398j -0.0271172-0.0145792j 
-0.0231103-0.0073629j -0.0278216-0.0137767j 0.0240334+0.124503j -0.0473471+0.00228562j 0.0418201+0.0496543j -0.0047952-0.0636848j 0.0907052+5.9952e-14j 0.0381011+0.00968798j 0.0416755-0.0306983j -0.238663-0.00106889j 0.246277-0.0464194j -0.201014-0.022291j 0.102698-0.136686j 0.0409523-0.0612637j 0.0273745+0.00655593j 0.109612+0.597358j -0.0530386-0.0774352j -0.010319+0.0497124j 0.12768-0.00888816j -0.0572455-0.133577j 0.000766774-0.0914501j -0.112856+0.0132706j 
0.0487196-0.0345j 0.0722028-0.0918486j -0.0603664+0.0134619j -0.0569621-0.078187j -0.074021-0.0223348j 0.102629-0.0690425j 0.0381011-0.00968798j 0.0185906-2.66454e-15j 0.282784-0.0385101j 0.166009-0.0317434j 0.164847-0.00243607j -0.169122+0.0713861j -0.106492+0.077339j -0.357985-0.0544815j 0.0570474-0.331175j -0.0249391-0.00951184j 0.177412-0.0601574j -0.0486524-0.0403725j 0.307482-0.0348505j -0.0164248+0.0113725j 0.103921+0.0163049j 0.0256461+0.000103543j 
0.0372658+0.00986472j 0.104253-0.000362041j 0.0295062-0.0370334j -0.0483822-0.0432008j 0.0260381-0.0814805j -0.103814+0.135703j 0.0416755+0.0306983j 0.282784+0.0385101j 0.0882363-9.71445e-16j 0.0956011+0.0707294j 0.0215765+0.00327751j 0.136485-0.0806224j 0.100938-0.0598786j -0.197929+0.270887j 0.343486+0.0811286j 0.040829-0.0561478j -0.155207-0.0103182j -0.0225212+0.0897875j 0.192264-0.0813862j -0.00321279-0.10768j 0.0210718+0.141704j 0.112445+0.0442086j 
0.0436642+0.00212762j 0.0277874+0.0595273j 0.0207454-0.105387j -0.0223385+0.0468996j 0.0289905+0.153448j 0.0696419+0.0490909j -0.238663+0.00106889j 0.166009+0.0317434j 0.0956011-0.0707294j -0.0769857+1.54824e-14j 0.10527+0.0174214j 0.00862602+0.0885518j 0.0630431-0.0231486j -0.085803+0.0502061j -0.12174+0.0816163j -0.102355+0.13728j 0.094437-0.0811726j -0.275525+0.0406038j -0.00793777+0.0495616j 0.118018+0.182199j -0.0549789+0.102833j -0.00202721+0.0422229j 
0.00689269-0.0317754j -0.0677163+0.0315211j 0.0622202-0.0537663j -0.0885696+0.135675j 0.181826+0.0415836j 0.0537726-0.000425041j 0.246277+0.0464194j 0.164847+0.00243607j 0.0215765-0.00327751j 0.10527-0.0174214j 0.0342668-2.5368e-13j -0.0504609-0.00140998j -0.107849-0.0179471j 0.0313268+0.00260136j -0.164251+0.00438803j 0.244797-0.0457431j 0.0533898+0.00220605j 0.184665-0.0432479j 0.0896649+0.134765j -0.0623014-0.0573897j -0.0675982-0.034233j 0.00701698+0.0314783j 
