0.97836-9.75782e-19j 0.161162+0.0152802j -0.126303+0.0062062j -0.0412726+0.0363276j 0.0307042+0.0324205j 0.0201107-0.0094251j -0.00123131-0.000802343j 0.04581-0.0408631j 0.0305917+0.0343458j 0.000228605-0.0174744j -0.0206515-0.0108959j -0.0071248+0.0271229j 0.00352835+0.0131227j -0.00237761+0.0217705j 0.0288482-0.00418575j -0.00125923-0.012743j -0.0305825-0.000175715j 0.00312333-0.00928336j 0.0275489+0.00977591j -0.00566671+0.0209359j -0.00635+0.0284544j -0.0012091-0.0241717j 0.0228996+0.00662568j -0.00466997+0.00662345j 
0.161162-0.0152802j 0.00640682-6.59195e-17j 0.0206836+0.000193823j -0.0282913+0.0152803j 0.00470919-0.021495j -0.0533377+0.0492602j -0.0396828-0.0239573j -0.0533915+0.132451j 0.139274+0.0813299j 0.014649-0.0264751j 0.00719271+0.00919109j 0.0138408-0.0206789j -0.0014427+0.0534942j 0.00507961+0.0189934j 0.0142776-0.00619437j 0.00301019-0.0039298j -0.00213948+0.00302825j 0.0139228-0.010685j -0.00865303+0.00480496j 0.00702417-0.0555496j -0.0120235-0.0800057j -0.000612717-0.0193422j 0.0364813-0.0286084j -0.00641119+0.0453089j 
-0.126303-0.0062062j 0.0206836-0.000193823j -0.00576601-1.43982e-16j 0.087685-0.034454j 0.0293544+0.100905j 0.0373977-0.0378246j 0.048796+0.0492801j -0.00997448-0.0270187j -0.0266359-0.0139949j -0.0370462+0.0612156j -0.0244536+0.00518866j -0.00684088-0.0239149j 0.01147+0.0553982j -0.0184366+0.0492169j -0.00826225+0.0134296j -0.00235618+0.0388147j 0.000620104+0.00724342j -0.0083711-0.00121218j 0.0161242-0.0117384j -0.0096971-0.063941j 0.00495818+0.0142909j -0.00129591-0.0182105j -0.0146582-0.00109384j -0.000955192-0.0173695j 
-0.0412726-0.0363276j -0.0282913-0.0152803j 0.087685+0.034454j -0.052538-2.498e-16j 0.0310635-0.0117271j -0.11409+0.0100142j -0.0320439+0.00502108j -0.373153+0.249024j 0.26045+0.385323j 0.0134141+0.0233262j 0.00293523+0.00152627j 0.0227583+0.035945j 0.00191692-0.0140813j 0.000294469+0.0145641j 0.00785306+0.0116454j -0.00407117-0.0358058j -0.00799518-0.00896741j 0.000641676+0.0434115j -0.0164944+0.00165465j 0.0089952+0.00740518j -0.0446382-0.0856563j -0.0316405+0.061135j 0.157742-0.135492j -0.195135-0.0960401j 
0.0307042-0.0324205j 0.00470919+0.021495j 0.0293544-0.100905j 0.0310635+0.0117271j 0.00794674+1.22125e-15j 0.070331+0.0417771j 0.0881705+0.0873924j 0.246304+0.37865j 0.364428-0.293305j -0.0125772-0.000395854j 0.00571033-0.0110509j -0.0115918-0.0122986j 0.0106175-0.00978881j 0.000502032+3.34349e-05j 0.00899713-0.0370494j 0.0117553-0.0277216j -0.00333815-0.0192169j 0.0104966-0.0178246j -0.0102234-0.00950889j 0.0167112+0.00537276j -0.015858-0.180559j 0.0046474+0.00246783j 0.146324-0.0437463j -0.0112207+0.00490535j 
0.0201107+0.0094251j -0.0533377-0.0492602j 0.0373977+0.0378246j -0.11409-0.0100142j 0.070331-0.0417771j -0.451997-1.66533e-16j 0.0145191-0.486961j 0.156861+0.068765j -0.0288235-0.0708815j 0.0348311+0.0342567j -0.00114511+0.00866419j 0.0254615+0.0508481j 0.0070532+0.0147617j 0.00398821+0.0239729j -0.012781+0.0333838j 0.0147777-0.0262414j 0.0206188-0.0193946j -0.0195953+0.0371291j -0.0566674+0.0244085j 0.0223047+0.00527807j -0.00354656+0.00142183j -0.064224-0.0377008j -0.00819968-0.00822363j -0.0131344-0.00274951j 
-0.00123131+0.000802343j -0.0396828+0.0239573j 0.048796-0.0492801j -0.0320439-0.00502108j 0.0881705-0.0873924j 0.0145191+0.486961j -0.463402+8.32667e-16j 0.0753671-0.0744622j 0.01078+0.0114836j 0.00894691+0.0159089j 0.0130416-0.00455085j -0.0215017+0.0140559j -0.0117523+0.00284301j -0.0115416+0.0297449j 0.00141235-0.0817654j 0.0180448-0.0845557j 0.02312+0.0246317j 0.0307262-0.0120581j -0.10933-0.0064671j -0.00576064+0.0152661j -0.0263654-0.0340794j 0.00914792-0.0262492j 0.0447707-0.0261183j -0.00745761-0.00315082j 
0.04581+0.0408631j -0.0533915-0.132451j -0.00997448+0.0270187j -0.373153-0.249024j 0.246304-0.37865j 0.156861-0.068765j 0.0753671+0.0744622j 0.00681506+7.49401e-16j -0.0108357-0.0230754j 0.0990499+0.109773j -0.0179831+0.11556j -0.0296179+0.022295j 0.00519105-0.0138748j -0.0380842+0.0321066j -0.0161729+0.0345339j 0.0118598+0.0237075j -0.00662259+0.0123906j -0.0348341-0.00158136j 0.0216182+0.00392565j -0.013944-0.00457912j 0.00782721+0.0127495j -0.0284115-0.0112244j -0.0238136+0.00787358j -0.00336732+0.00407042j 
0.0305917-0.0343458j 0.139274-0.0813299j -0.0266359+0.0139949j 0.26045-0.385323j 0.364428+0.293305j -0.0288235+0.0708815j 0.01078-0.0114836j -0.0108357+0.0230754j 0.0083463+4.996e-16j -0.0410292+0.047365j -0.073768+0.106907j 0.00535122-0.0214577j 0.0346109+0.0396804j -0.126364-0.0326808j 0.0233323+0.0394734j -0.0167131+0.0472106j 0.0246522+0.00746497j -0.0278525+0.0138125j 0.0743734-0.011811j -0.0162253+0.0106753j 0.0139592+0.0202923j 0.00569098+0.0141666j -0.0257096+0.0171482j 0.00358311-0.00435354j 
0.000228605+0.0174744j 0.014649+0.0264751j -0.0370462-0.0612156j 0.0134141-0.0233262j -0.0125772+0.000395854j 0.0348311-0.0342567j 0.00894691-0.0159089j 0.0990499-0.109773j -0.0410292-0.047365j -0.0105084-6.66134e-16j -0.0135909+0.00269481j -0.0169408+0.000362499j -0.00557318+0.000950856j 0.00641659-0.000425352j -0.0372569+0.00148588j -0.00725864+0.00331932j -0.00346994+0.000451637j -0.0227723+0.00274198j -0.0196175-0.00603483j 0.00921833+0.00174669j -0.165469-0.0547266j -0.0652163+0.0720273j 0.354495-0.323716j -0.362295-0.523446j 
-0.0206515+0.0108959j 0.00719271-0.00919109j -0.0244536-0.00518866j 0.00293523-0.00152627j 0.00571033+0.0110509j -0.00114511-0.00866419j 0.0130416+0.00455085j -0.0179831-0.11556j -0.073768-0.106907j -0.0135909-0.00269481j 0.0218819+1.99146e-15j -0.0265865-0.00265774j 0.0163822+0.00782732j -0.0057837-0.014241j 0.0496475+0.0102539j 0.0657848+0.0280197j 0.00417809-0.00443768j 0.0375641-0.0229664j 0.117394-0.0142645j -0.0273439-0.00206144j 0.335545-0.204028j 0.0901039+0.177201j 0.0665355+0.030076j -0.433022+0.283837j 
-0.0071248-0.0271229j 0.0138408+0.0206789j -0.00684088+0.0239149j 0.0227583-0.035945j -0.0115918+0.0122986j 0.0254615-0.0508481j -0.0215017-0.0140559j -0.0296179-0.022295j 0.00535122+0.0214577j -0.0169408-0.000362499j -0.0265865+0.00265774j -0.0306521+9.99201e-16j -0.0094713-0.0237699j 0.0134424+0.00571814j -0.0684489-0.00369959j 0.0116077-0.0510182j 0.00649431+0.00285192j -0.100048+0.0789004j -0.430927+0.150934j 0.0455829-0.0168911j 0.0410043-0.0890642j -0.176794-0.607267j -0.076425-0.161017j -0.0842938+0.11029j 
0.00352835-0.0131227j -0.0014427-0.0534942j 0.01147-0.0553982j 0.00191692+0.0140813j 0.0106175+0.00978881j 0.0070532-0.0147617j -0.0117523-0.00284301j 0.00519105+0.0138748j 0.0346109-0.0396804j -0.00557318-0.000950856j 0.0163822-0.00782732j -0.0094713+0.0237699j -0.0355444+6.05072e-15j -0.00258065-0.0101448j -0.00175428-0.00730536j 0.0203191-0.055358j 0.464266-0.0272444j 0.00965394-0.00132405j -0.0533929+0.0793563j 0.0502298+0.657487j 0.0965873+0.17582j -0.011829-0.0184618j -0.0764879+0.0861346j -0.0379511-0.0411931j 
-0.00237761-0.0217705j 0.00507961-0.0189934j -0.0184366-0.0492169j 0.000294469-0.0145641j 0.000502032-3.34349e-05j 0.00398821-0.0239729j -0.0115416-0.0297449j -0.0380842-0.0321066j -0.126364+0.0326808j 0.00641659+0.000425352j -0.0057837+0.014241j 0.0134424-0.00571814j -0.00258065+0.0101448j 0.0048209-1.08247e-15j -0.0130673+0.0259166j -0.0409997+0.0720704j 0.153264-0.0173767j 0.0223328-0.0157959j 0.212785+0.0581399j -0.0167928+0.23222j -0.357245-0.460845j -0.0209978+0.108875j 0.24508-0.276737j 0.0790044+0.145341j 
0.0288482+0.00418575j 0.0142776+0.00619437j -0.00826225-0.0134296j 0.00785306-0.0116454j 0.00899713+0.0370494j -0.012781-0.0333838j 0.00141235+0.0817654j -0.0161729-0.0345339j 0.0233323-0.0394734j -0.0372569-0.00148588j 0.0496475-0.0102539j -0.0684489+0.00369959j -0.00175428+0.00730536j -0.0130673-0.0259166j 0.171063+5.00988e-15j 0.403293-0.0954378j -0.019537-0.00490918j 0.120907+0.0481184j -0.00564675-0.035371j 0.00427005-0.0379754j -0.151127-0.0363123j -0.444646+0.165663j -0.109194+0.00860743j -0.038024+0.00402128j 
-0.00125923+0.012743j 0.00301019+0.0039298j -0.00235618-0.0388147j -0.00407117+0.0358058j 0.0117553+0.0277216j 0.0147777+0.0262414j 0.0180448+0.0845557j 0.0118598-0.0237075j -0.0167131-0.0472106j -0.00725864-0.00331932j 0.0657848-0.0280197j 0.0116077+0.0510182j 0.0203191+0.055358j -0.0409997-0.0720704j 0.403293+0.0954378j -0.139702+2.94209e-15j 0.0260144-0.0119394j -0.208979+0.624391j -0.0124683-0.228987j 0.0145064+0.0329555j -0.0210055-0.0311258j -0.00832958-0.0342105j 0.0217857+0.0110014j -0.00768714-0.00934017j 
-0.0305825+0.000175715j -0.00213948-0.00302825j 0.000620104-0.00724342j -0.00799518+0.00896741j -0.00333815+0.0192169j 0.0206188+0.0193946j 0.02312-0.0246317j -0.00662259-0.0123906j 0.0246522-0.00746497j -0.00346994-0.000451637j 0.00417809+0.00443768j 0.00649431-0.00285192j 0.464266+0.0272444j 0.153264+0.0173767j -0.019537+0.00490918j 0.0260144+0.0119394j 0.0614221+1.70707e-14j -0.0196062+0.0183525j -0.0576833-0.0106515j -0.483178+0.0317781j -0.0235268+0.0186515j 0.00585231+0.00192507j -0.0132196+0.0149027j -0.0024787-0.0060508j 
