0.0065864+3.79904e-16j 0.0301798+0.00125297j 0.000652621-0.000238109j 0.0332817+0.00169493j -0.0175581+5.82998e-05j 0.0596301+0.00335716j -0.800989-0.00958774j -0.0310068-0.00285887j -0.0633439-0.00595201j -0.0135427+0.00178584j -0.0458094-0.00532738j -0.035016-0.00317043j -0.005149-0.0039473j 0.0476644+0.00202217j 0.0561487+0.00687441j -0.0330188-0.0111505j 0.077254+0.0108592j -0.124384+0.026935j 
0.0301798-0.00125297j 0.0889143-1.81279e-16j 0.0130925-0.000787711j 0.0982093+0.000481857j -0.0170387+0.000699953j 0.899928+0.00193471j 0.149671+0.00324759j -0.0669681-0.00523566j -0.110721-0.00858379j -0.00836521+0.00428375j -0.0453124-0.00422751j -0.0740508-0.00521895j -0.0193242-0.00657951j 0.0415384+0.00117678j 0.052716+0.00475032j 0.0689771+0.0092524j 0.114953-0.014734j 0.00184923+0.00801226j 
0.000652621+0.000238109j 0.0130925+0.000787711j 0.0417349+7.38168e-15j 0.0453495+0.000589406j -0.958025-0.000433229j -0.029422+0.000920357j 0.0444698+0.000841442j -0.00548331-0.000391777j -0.0125667-0.000828541j 0.0571736+0.00612725j -0.104947-0.00956536j 0.0588138+0.00778303j -0.0692748+0.000329927j 0.0337311+0.000582018j 0.00877308-0.00301397j -0.115609+0.00844316j -0.00425211+0.00128463j 0.00152522+0.000798472j 
0.0332817-0.00169493j 0.0982093-0.000481857j 0.0453495-0.000589406j 0.948492+7.52089e-15j 0.0592569+2.75194e-05j -0.188369-0.000506829j 0.0766308+0.000171814j -0.0599226-0.00490765j -0.0775223-0.00613651j -0.00468716+0.00350474j -0.0675023-0.000841093j -0.102052-0.00247171j 0.084323+0.0012167j 0.0531594-0.00269053j 0.0598541-0.00397087j -0.00239401+0.00365593j -0.00267306-0.00682759j 0.00430254+0.00345693j 
-0.0175581-5.82998e-05j -0.0170387-0.000699953j -0.958025+0.000433229j 0.0592569-2.75194e-05j -0.0674141-3.77244e-14j 0.0147286+0.000343419j 0.00208376-0.000522597j 0.038959+0.00176163j 0.00298437-0.00192161j -0.197605-0.00743724j -0.00945495+0.0020109j 0.0431343+5.43416e-05j 0.0528736+7.1487e-06j 0.0535546-0.00987192j -0.0472355+0.00745072j 0.0181334-0.00573365j -0.00145559+0.000564183j 0.00120709+0.000180676j 
0.0596301-0.00335716j 0.899928-0.00193471j -0.029422-0.000920357j -0.188369+0.000506829j 0.0147286-0.000343419j -0.159982-7.28584e-17j 0.0697963+4.5577e-05j -0.0634976-0.0084461j -0.315366-0.0108392j -0.065134+0.00661411j -0.0145713+0.00592058j -0.0152061+0.00356012j -0.0155899+0.00810434j 0.0052902-0.0046525j 0.00332208-0.00685188j -0.00311696+0.00342635j -0.0111966-0.00763707j 0.00354122+0.00275274j 
-0.800989+0.00958774j 0.149671-0.00324759j 0.0444698-0.000841442j 0.0766308-0.000171814j 0.00208376+0.000522597j 0.0697963-4.5577e-05j -0.0290258+2.28983e-15j 0.55575+0.0225827j 0.0275317-0.0126502j -0.00698557+0.0128404j -0.0035685-0.00649436j -0.00773069-0.00394076j 0.000977575-0.00371714j 0.00420475+0.00173449j 0.00834615+0.0056186j 0.00223756-0.00105791j 0.0071376+0.00394297j 0.000600466-0.000924599j 
-0.0310068+0.00285887j -0.0669681+0.00523566j -0.00548331+0.000391777j -0.0599226+0.00490765j 0.038959-0.00176163j -0.0634976+0.0084461j 0.55575-0.0225827j 0.0427266+1.34615e-15j 0.060443+7.36613e-05j 0.00887509-0.00141489j 0.0331767+0.000897665j 0.0250328+0.000131455j 0.00269807+0.00109078j -0.0293709+0.000207471j -0.0335033-0.00126403j 0.0169431+0.0027986j -0.0338538-0.00360886j -0.0241082-0.00569666j 
-0.0633439+0.00595201j -0.110721+0.00858379j -0.0125667+0.000828541j -0.0775223+0.00613651j 0.00298437+0.00192161j -0.315366+0.0108392j 0.0275317+0.0126502j 0.060443-7.36613e-05j 0.0627713-9.58435e-17j 0.00562401-0.000680429j 0.0165764+0.000264563j 0.0235934+0.000399483j 0.00226874+0.000306224j -0.0115984-0.000255713j -0.0138681-0.000499086j -0.00864803-0.00170999j 0.0243761+0.00127351j -0.0171887-0.00320367j 
-0.0135427-0.00178584j -0.00836521-0.00428375j 0.0571736-0.00612725j -0.00468716-0.00350474j -0.197605+0.00743724j -0.065134-0.00661411j -0.00698557-0.0128404j 0.00887509+0.00141489j 0.00562401+0.000680429j 0.0113529-2.22587e-16j -0.00716942-0.000584572j 0.00629152+0.000254114j -0.00548234-2.01694e-05j -0.000272897+0.000587261j 0.000373762+0.000335867j 0.0209217+8.88847e-05j 0.00543659+0.00114008j 0.00446288+0.0014196j 
-0.0458094+0.00532738j -0.0453124+0.00422751j -0.104947+0.00956536j -0.0675023+0.000841093j -0.00945495-0.0020109j -0.0145713-0.00592058j -0.0035685+0.00649436j 0.0331767-0.000897665j 0.0165764-0.000264563j -0.00716942+0.000584572j 0.00221264+1.78893e-17j 0.00536893+0.000236275j -0.000329969-0.000244182j -0.00424145-0.00030516j 0.0210824+3.73839e-05j -0.000603056-0.000220237j 0.00808394+0.000631925j -0.00689293-0.000743501j 
